# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L3213	［ファル］：そう、覚えていないのね‥‥。
L3452	ファルは黙って、私をこの部屋へ案内した。ここは、私が最初に目覚めた部屋だったか‥‥‥‥。
>>	파르는 말없이, 나를 이 방으로 안내했다. 여기는, 내가 처음 눈을 뜬 방이었던가‥‥‥‥.
L3455	ここで待っていなさい、そう言い残すと、ファルは足早に部屋を退出していった。
>>	여기서 기다리고 있어라, 그렇게 말을 남기고, 파르는 빠른 걸음으로 방을 나갔다.
L3458	看護の者をよこすという事だったが‥‥‥‥。
>>	간호할 사람을 보내 준다는 얘기였는데‥‥‥‥.
L3462	［コウジ］：看護、か‥‥‥‥。
>>	［코우지］：간호인가‥‥‥‥.
L3465	あらためて、自分の姿を確認してみる。
>>	새삼스레, 내 모습을 확인해 본다.
L3468	薄手のシャツ１枚に、丈の比較的短いズボン、それに胸についたネームプレート‥‥それが、私の身につけているモノの、全てだった。
>>	얇은 셔츠 한 장에, 길이가 비교적 짧은 바지, 거기에 가슴에 달린 명찰‥‥그것이, 내가 몸에 걸친 것의, 전부였다.
L3471	身体に異状はなさそうだった。そこらへんを、少し歩いてみる。
>>	몸에 이상은 없어 보였다. 근처를, 조금 걸어 본다.
L3474	コッ‥‥コッ‥‥コッ‥‥‥‥。
>>	또각‥‥또각‥‥또각‥‥‥‥.
L3477	意味もなく部屋を歩き回ると、硬い音が部屋に響きわたる。
>>	의미도 없이 방을 걸어 다니자, 딱딱한 소리가 방에 울려 퍼진다.
L3480	今は、ブーツのような靴を借りて、かろうじて素足という事態だけは免れていた。
>>	지금은, 부츠 같은 신을 빌려, 간신히 맨발이라는 사태만은 면하고 있었다.
L3483	どうやら、自分の名前もわかった。ここが、どこなのかも判明した‥‥。
>>	어쨌든, 내 이름도 알았다. 여기가, 어디인지도 밝혀졌다‥‥.
L3486	しかし‥‥‥‥。
>>	하지만‥‥‥‥.
L3489	逆に言えば、分かっているのは、それだけとも言える。
>>	뒤집어 말하면, 알고 있는 건, 그것뿐이라고도 할 수 있다.
L3493	［コウジ］：まぁ、いいさ‥‥。
>>	［코우지］：뭐, 됐어‥‥.
L3496	改めて部屋を見回してみる。意外に綺麗に片づいた部屋だった。
>>	새삼 방을 둘러본다. 의외로 말끔히 정돈된 방이었다.
L3499	右側には、ついたてのようなモノが置いてある。しかし、誰かと相部屋、という訳でもなさそうだ。
>>	오른쪽에는, 칸막이 같은 것이 놓여 있다. 하지만, 누군가와 같은 방을 쓰는 것도 아닌 듯하다.
L3502	左側に視線を移すと、何かの端末のような機械が目に入ってきた。しかしディスプレイ上には、何も表示されていない。
>>	왼쪽으로 시선을 옮기자, 무언가 단말기 같은 기계가 눈에 들어왔다. 하지만 디스플레이에는, 아무것도 표시되어 있지 않다.
L3505	質素、という言葉が相応しい部屋だった‥‥。
>>	소박이라는 말이 어울리는 방이었다‥‥.
L3509	［コウジ］：これで、ドアにカギが掛かっていたら、ほとんど監禁だな‥‥。
>>	［코우지］：여기에, 문까지 잠겨 있다면, 거의 감금이군‥‥.
L3512	言ってみて、改めて気付いた。そうか、その可能性もあるな‥‥。
>>	말해 보고, 새삼 알아차렸다. 그런가, 그럴 가능성도 있군‥‥.
L3515	　◆ ドアを開けてみよう。
>>	　◆ 문을 열어 보자.
L3518	　◆ ここで待つように言われたのだから、じっと待ってよう。
>>	　◆ 여기서 기다리라고 했으니, 얌전히 기다리자.
L3521	ドアを開けてみよう。
>>	문을 열어 보자.
L3524	確認するのは、決して無為ではないように思えた。
>>	확인해 보는 것이, 결코 헛된 일은 아닌 듯싶었다.
L3527	あの、ファルという女性が、私をどのように扱うかによって、私の、ここでの立場が見えてくるような気がする。
>>	그, 파르라는 여성이, 나를 어떻게 다루는지에 따라, 이곳에서의 내 입장이 보일 것 같은 기분이 든다.
L3530	そう考えると、私はドアのスイッチを押そうとした。その時‥‥‥‥。
>>	그렇게 생각하고, 나는 문의 스위치를 누르려 했다. 그때‥‥‥‥.
L3533	ウィーン‥‥‥‥。
>>	위잉‥‥‥‥.
L3536	［女の声］：きゃっ！
>>	［여자 목소리］：꺅!
L3539	甲高い声をあげて、女性がドアの前に尻餅をついていた。どうやら、私とほぼ同時にドアを開けようとしたらしい。
>>	새된 소리를 지르며, 여성이 문 앞에 엉덩방아를 찧고 있었다. 아무래도, 나와 거의 동시에 문을 열려 했던 모양이다.
L3542	ここで待つように言われたのだから、じっと待ってよう。
>>	여기서 기다리라고 했으니, 얌전히 기다리자.
L3545	ここはスペースシップの中、しかも場所は恒星の真上ときている。
>>	여기는 스페이스십 안, 게다가 위치는 항성 바로 위다.
L3548	この部屋から出ることができたとしても、ただそれだけということだ。
>>	이 방에서 나갈 수 있다 한들, 그저 그뿐이라는 얘기다.
L3552	［コウジ］：生殺与奪は、完全に向こうが握っているということか。
>>	［코우지］：생살여탈권은, 완전히 저쪽이 쥐고 있다는 건가.
L3555	私は、わざと声に出して言ってみた。これは、考えすぎというものだろうか‥‥。
>>	나는, 일부러 소리 내어 말해 보았다. 이건, 지나친 생각인 걸까‥‥.
L3558	幸い、ベッドは柔らかく寝心地は良さそうだった。
>>	다행히, 침대는 푹신하고 잠자리도 좋아 보였다.
L3561	私は、ヒンヤリとしたシーツの上へ仰向けに倒れ込むと、手を頭の後ろで組んで天井を見つめた。
>>	나는, 서늘한 시트 위로 벌렁 드러누워, 두 손을 머리 뒤로 깍지 끼고 천장을 바라보았다.
L3565	［コウジ］：（ま、慌てる必要は無いさ‥‥‥‥。）
>>	［코우지］：（뭐, 서두를 필요는 없어‥‥‥‥.）
L3568	そんな事を考えていたとき、
>>	그런 생각을 하고 있을 때,
L3571	ピーピッ、ピーピッ‥‥‥‥。
>>	삐삑, 삐삑‥‥‥‥.
L3575	［コウジ］：な、何だ‥‥！？
>>	［코우지］：뭐, 뭐지‥‥!?
L3578	頭の上の辺りから、音が聞こえてくる。良く見ると、モニターらしきものとパネルが、壁に付いていた。
>>	머리 위쪽에서, 소리가 들려온다. 잘 보니, 모니터인 듯한 것과 패널이, 벽에 붙어 있었다.
L3582	［コウジ］：そういえばさっき、あのファルという女性も‥‥。
>>	［코우지］：그러고 보니 아까, 그 파르라는 여성도‥‥.
L3585	私は、さきほどのエンジンルームでの事を思い出した。確か、このあたりのボタンを‥‥‥‥。
>>	나는, 아까 엔진 룸에서 있었던 일을 떠올렸다. 분명, 이 근처 버튼을‥‥‥‥.
L3588	［女］：あっ、お休みでしたか？
>>	［여자］：앗, 쉬고 계셨나요?
L3591	モニターの中で、金髪の女性が微笑んでいる。あまりにナチュラルな笑みだったので、こっちもうっかり微笑み返してしまう。
>>	모니터 속에서, 금발 여성이 미소 짓고 있다. 너무나 자연스러운 미소여서, 이쪽도 무심코 미소로 답하고 만다.
L3595	［コウジ］：い、いや‥‥少し、休んでいたけどね。
>>	［코우지］：아, 아니‥‥조금, 쉬고 있긴 했지만.
L3598	［女］：これから、そちらへ伺おうかと思っているのですが、構わないでしょうか？
>>	［여자］：지금부터, 그쪽으로 찾아뵐까 하는데, 괜찮으실까요?
L3602	［コウジ］：えっ？　これから？
>>	［코우지］：어?　지금부터?
L3605	［女］：差し支えるのなら、また後ほどにしますが。
>>	［여자］：곤란하시다면, 나중으로 미룰게요.
L3608	意外に低い物腰に、さきほどの疑惑が、ずいぶんと馬鹿馬鹿しいものに思えてくる。
>>	의외로 겸손한 태도에, 아까의 의혹이, 퍽 어리석은 것처럼 느껴져 온다.
L3611	モニターの中の女性は、笑みを崩さず、じっと私の返答を待っている。
>>	모니터 속 여성은, 미소를 잃지 않고, 가만히 내 대답을 기다리고 있다.
L3615	［コウジ］：いや、全く構わない。
>>	［코우지］：아니, 전혀 상관없어.
L3618	［女］：では、これから伺いますね。
>>	［여자］：그럼, 지금 찾아뵐게요.
L3621	目を細めて笑うと、モニターの中の女性は忽然と姿を消した。
>>	눈을 가늘게 뜨고 웃더니, 모니터 속 여성은 홀연히 모습을 감췄다.
L3625	［コウジ］：（確か‥‥トレイシー、という名前だったか‥‥。）
>>	［코우지］：（분명‥‥트레이시라는 이름이었던가‥‥.）
L3628	そんなことを考えていると、
>>	그런 생각을 하고 있자니,
L3631	［トレイシー］：きゃっ！
>>	［트레이시］：꺅!
L3634	ドアが開くと同時に、女性の悲鳴が聞こえてきた。私は慌てて身を起こすと、ドアの方を見やった。
>>	문이 열림과 동시에, 여성의 비명이 들려왔다. 나는 황급히 몸을 일으키고는, 문 쪽을 바라보았다.
L3637	ドアの前には、さきほどのモニターの中の女性が、腰をさすりながら座っていた。
>>	문 앞에는, 아까 모니터 속 그 여성이, 허리를 문지르며 앉아 있었다.
L3640	どうやら、何かにつまづいてしまったらしい。
>>	아무래도, 뭔가에 걸려 넘어진 모양이다.
L3644	［女］：こ、コウジさん‥‥ですね？
>>	［여자］：코, 코우지 씨‥‥맞으시죠?
L3648	［コウジ］：そうだけど、あなたは？
>>	［코우지］：그렇긴 한데, 당신은?
L3651	私は、彼女に手を差し伸べながら、確認のために彼女の名前を聞いた。
>>	나는, 그녀에게 손을 내밀며, 확인차 그녀의 이름을 물었다.
L3654	その女性は私の手を握りながら、すみません、と一言いうとゆっくりと立ち上がった。
>>	그 여성은 내 손을 잡으며, 죄송해요, 하고 한마디 하고는 천천히 일어섰다.
L3657	［女］：どうも、ごめんなさい。
>>	［여자］：고마워요, 죄송해요.
L3661	［コウジ］：あ、あなたは‥‥？
>>	［코우지］：다, 당신은‥‥?
L3664	［女］：私はトレイシー‥‥あなたのお世話を、仰せつかっていますわ。
>>	［여자］：저는 트레이시‥‥당신을 돌보라는 분부를 받았어요.
L3667	トレイシーと名乗る目の前の女性は、首をちょっとだけ傾けて、ニコリと微笑んだ。
>>	트레이시라 이름을 밝힌 눈앞의 여성은, 고개를 살짝만 기울이고, 방긋 미소 지었다.
L3670	鮮やかな金髪だった。かき上げるとサラサラと音がする、そんな感じだ。
>>	선명한 금발이었다. 쓸어 올리면 사락사락 소리가 나는, 그런 느낌이다.
L3673	小さめの眼鏡を掛け、優しそうに微笑んでいる彼女を見ると、自然と不安がなくなっていく、そんな気もした。
>>	조그마한 안경을 끼고, 상냥하게 미소 짓는 그녀를 보고 있으면, 자연히 불안이 사라져 가는, 그런 기분도 들었다.
L3676	［トレイシー］：どうです、ご気分は？
>>	［트레이시］：어떠세요, 기분은?
L3679	そう言いながら、トレイシーはベッドのシーツを整え、替わりの衣服を椅子の上に畳んでいる。
>>	그렇게 말하면서, 트레이시는 침대 시트를 정돈하고, 갈아입을 옷을 의자 위에 개고 있다.
L3682	てきぱきとした動作が、なかなか心地よかった。
>>	척척 해내는 동작이, 제법 기분 좋았다.
L3686	［コウジ］：気分は、それほど悪くはないけど‥‥。
>>	［코우지］：기분은, 그리 나쁘지 않은데‥‥.
L3689	［トレイシー］：それは良かったですね。
>>	［트레이시］：그건 다행이네요.
L3693	［コウジ］：君が看護婦の‥‥トレイシー、さん？
>>	［코우지］：네가 간호사인‥‥트레이시, 씨?
L3696	［トレイシー］：トレイシーで構いません。それに、看護の資格も持っている、というだけですわ。
>>	［트레이시］：트레이시라고 불러 주세요. 게다가, 간호 자격도 갖고 있다, 그것뿐이에요.
L3700	［コウジ］：だけ？　そのほかに、なにか‥‥。
>>	［코우지］：그것뿐?　그 밖에도, 뭔가‥‥.
L3703	［トレイシー］：私は、プロフェッサの助手を務めさせて貰っています。
>>	［트레이시］：저는, 프로페서의 조수를 맡고 있어요.
L3707	［コウジ］：ぷ、プロフェッサって‥‥？
>>	［코우지］：프, 프로페서라니‥‥?
L3710	［トレイシー］：ファルネリアのことです。
>>	［트레이시］：파르네리아 말이에요.
L3714	［コウジ］：あ、あのファルという女性が、プロフェッサ‥‥！？
>>	［코우지］：그, 그 파르라는 여성이, 프로페서‥‥!?
L3717	［トレイシー］：はい、そうです。
>>	［트레이시］：네, 그래요.
L3720	どうも、話が呑み込めなかった‥‥。
>>	도무지, 이야기가 이해되지 않았다‥‥.
L3723	さきほどファルは、『調査隊』という言葉を使用していた。学術調査員、ということだろうか。
>>	아까 파르는, 『조사대』라는 말을 썼다. 학술 조사원이라는 뜻일까.
L3726	そして‥‥‥‥。
>>	그리고‥‥‥‥.
L3729	そして、唯一の生き残りが、この私だと‥‥‥‥。
>>	그리고, 유일한 생존자가, 바로 나라고‥‥‥‥.
L3733	［トレイシー］：あの、コウジさん、どうかなさいましたか？
>>	［트레이시］：저, 코우지 씨, 무슨 일 있으신가요?
L3737	［コウジ］：トレイシー。
>>	［코우지］：트레이시.
L3740	［トレイシー］：は、はい‥‥。
>>	［트레이시］：네, 네‥‥.
L3744	［コウジ］：教えて欲しいんだ。私の事を‥‥。
>>	［코우지］：알려 줬으면 해. 나에 대해‥‥.
L3748	［トレイシー］：こ、コウジさんの事を‥‥ですか？
>>	［트레이시］：코, 코우지 씨에 대해‥‥말인가요?
L3752	［コウジ］：そうだ、私はいったいどこで‥‥‥‥。
>>	［코우지］：그래, 나는 대체 어디서‥‥‥‥.
L3755	ピーピッ‥‥ピーピッ‥‥。
>>	삐삑‥‥삐삑‥‥.
L3758	［トレイシー］：あら、誰かしら‥‥。
>>	［트레이시］：어머, 누구실까‥‥.
L3761	［ファル］：トレイシー、まだそこにいたの？
>>	［파르］：트레이시, 아직 거기 있었어?
L3764	［トレイシー］：プロフェッサ‥‥何かあったのですか？
>>	［트레이시］：프로페서‥‥무슨 일 있었습니까?
L3767	モニターの中には、さきほどの赤毛の女性が映し出されていた。ファルだ。
>>	모니터 속에는, 아까 그 붉은 머리 여성이 비치고 있었다. 파르다.
L3770	何か、慌てているような、そんな感じがする。
>>	뭔가, 당황한 듯한, 그런 느낌이 든다.
L3773	［ファル］：恒星の磁気嵐だわ‥‥かなり、大型なのよ。
>>	［파르］：항성의 자기 폭풍이야‥‥꽤나, 대형이야.
L3776	［トレイシー］：わかりました、すぐにブリッジへあがります。
>>	［트레이시］：알겠습니다, 곧장 브리지로 올라가겠습니다.
L3779	［ファル］：ランファは、そっちにいる？
>>	［파르］：란파는, 그쪽에 있어?
L3782	［トレイシー］：いえ‥‥こちらにはいませんが。
>>	［트레이시］：아뇨‥‥이쪽에는 없습니다만.
L3785	［ファル］：そう、どこに行ったのかしら‥‥じゃ、ブリッジで待っているから‥‥。
>>	［파르］：그래, 어디로 간 걸까‥‥그럼, 브리지에서 기다릴 테니‥‥.
L3788	プツッ‥‥。
>>	뚝‥‥.
L3792	［トレイシー］：ではコウジさん、急用ができてしまったので‥‥失礼します。
>>	［트레이시］：그럼 코우지 씨, 급한 일이 생겨서‥‥이만 실례할게요.
L3796	［コウジ］：あっ、待ってくれ。
>>	［코우지］：앗, 잠깐 기다려 줘.
L3799	［トレイシー］：はい？
>>	［트레이시］：네?
L3803	［コウジ］：磁気嵐、という話だったけど、大丈夫なのかい？
>>	［코우지］：자기 폭풍이라던데, 괜찮은 건가?
L3806	［トレイシー］：はい、少しシップを恒星から浮上させることになりますが‥‥。
>>	［트레이시］：네, 배를 항성에서 조금 부상시키게 되는데요‥‥.
L3810	［コウジ］：浮上、ね‥‥。
>>	［코우지］：부상이라‥‥.
L3813	上も下もない宇宙空間で使うには、不適当な気もするが、恐らく慣習的なものなのかもしれない。
>>	위도 아래도 없는 우주 공간에서 쓰기에는, 부적절한 것 같기도 하지만, 아마 관습적인 것인지도 모른다.
L3816	［トレイシー］：通信機能が、磁気嵐の間だけ使用不能になりますけど、安全に影響はありません。大丈夫です。
>>	［트레이시］：통신 기능이, 자기 폭풍 동안만 사용 불능이 되지만, 안전에 영향은 없어요. 괜찮아요.
L3819	私が不安そうに言ったせいなのだろう、トレイシーは私に微笑みかけると、大丈夫の部分を強調して言った。
>>	내가 불안한 듯 말한 탓이겠지, 트레이시는 내게 미소 지어 보이고는, 괜찮다는 부분을 강조해 말했다.
L3822	［トレイシー］：では、これで‥‥。
>>	［트레이시］：그럼, 이만‥‥.
L3826	［コウジ］：磁気嵐、か‥‥‥‥。
>>	［코우지］：자기 폭풍인가‥‥‥‥.
L3829	磁気嵐が、いったいどういう性質のものなのか、私にはわからない。それ故、不安も増大してくる。
>>	자기 폭풍이 대체 어떤 성질의 것인지, 나로서는 알 수 없다. 그래서, 불안도 커져 간다.
L3832	しかし安全に影響は無いと言うのなら、そうなんだろう。
>>	하지만 안전에는 영향이 없다고 한다면, 그런 것이겠지.
L3835	もっとも影響があるとしても、私にはどうにもならないのだが‥‥。
>>	하기야 영향이 있다 한들, 나로서는 어쩔 도리도 없지만‥‥.
L3841	あたりは再び静寂に包まれ出した‥‥。
>>	주위는 다시 정적에 휩싸이기 시작했다‥‥.
L3844	室温はかなり低く、あれほど暑かったのがウソのようだ‥‥。
>>	실온은 꽤 낮아서, 그토록 더웠던 게 거짓말 같다‥‥.
L3847	　◆ 部屋に閉じこもっていてもしょうがない。出てみよう。
>>	　◆ 방에 틀어박혀 있어 봐야 소용없다. 나가 보자.
L3850	　◆ 少し、休んだ方がいいかもしれない。
>>	　◆ 조금, 쉬는 편이 좋을지도 모른다.
L3853	部屋に閉じこもっていてもしょうがない。室外に出てみよう。
>>	방에 틀어박혀 있어 봐야 소용없다. 밖으로 나가 보자.
L3856	そう思うと、私はドアのそばまで歩いていった。歩きながら、少し考え事をしてみる‥‥。
>>	그렇게 생각하고, 나는 문 옆까지 걸어갔다. 걸으면서, 잠시 생각에 잠겨 본다‥‥.
L3859	しかし、分かっているのは自分の名前と、この場所、だけだった。
>>	하지만, 알고 있는 건 내 이름과, 이 장소, 그뿐이었다.
L3863	［コウジ］：（調査隊の生き残り、とか言っていたな‥‥。）
>>	［코우지］：（조사대의 생존자라고 했던가‥‥.）
L3866	そうだ、確かファルという女性は、そんなことを言っていた。
>>	그렇다, 분명 파르라는 여성은, 그런 말을 했었다.
L3869	調査隊‥‥？
>>	조사대‥‥?
L3872	そうだ、確か第２次調査隊、というようなことを言っていた‥‥‥‥。
>>	그렇다, 분명 제２차 조사대라는 식으로 말했었다‥‥‥‥.
L3875	第２次‥‥‥‥？
>>	제２차‥‥‥‥?
L3878	すると‥‥‥‥。
