# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L11	　◆ 先に進む　　
L320	しかし、あたりを探してみても、私の衣服が見つかる気配はないようだ。
>>	하지만, 주위를 뒤져 봐도, 내 옷이 나올 기미는 없는 듯했다.
L323	（しょうがない、これで応急処置とするか‥‥。）
>>	（어쩔 수 없지, 이걸로 응급조치를 삼을까‥‥.）
L326	私は手近のシーツを身体に巻き付けてみた。
>>	나는 가까이 있던 시트를 몸에 둘러 보았다.
L329	少々動きにくかったが、もつれるほどではない。第一、素っ裸な姿を誰かに見られるよりは、ましだろう。
>>	조금 움직이기 불편했지만, 엉킬 정도는 아니다. 무엇보다, 알몸을 누군가에게 보이는 것보다야 낫겠지.
L332	（誰かに‥‥‥？）
>>	（누군가에게‥‥‥?）
L335	（誰かって‥‥いったい誰なんだ‥‥？）
>>	（누군가라니‥‥대체 누구란 말인가‥‥?）
L338	（まぁいいさ‥‥。）
>>	（뭐, 됐어‥‥.）
L341	ここにいると、際限なく悪い方向へと想像してしまうようだった。
>>	여기 있으면, 끝없이 나쁜 쪽으로만 상상하게 되는 듯했다.
L344	今は想像よりも行動のときだろう‥‥。
>>	지금은 상상보다 행동할 때겠지‥‥.
L347	ドアのところまで、ゆっくりと歩いていく。ペタッペタッという音が、室内によく響いた。
>>	문 있는 데까지, 천천히 걸어간다. 찰싹찰싹 하는 소리가, 실내에 잘 울렸다.
L350	（ずいぶんと分厚いドアだな‥‥‥‥。）
>>	（꽤나 두꺼운 문이군‥‥‥‥.）
L353	私は目の前にあるドアをしばし眺めていた。病院にしては、ややそぐわないドアだった。重く厚い。
>>	나는 눈앞의 문을 한동안 바라보았다. 병원치고는, 다소 어울리지 않는 문이었다. 무겁고 두껍다.
L356	しかし、それは私が手を掛けると、横へとスライドしていった。
>>	하지만, 그것은 내가 손을 대자, 옆으로 미끄러져 열렸다.
L359	（自動ドア、か‥‥‥。）
>>	（자동문인가‥‥‥.）
L362	やや不安に駆られながら、私は部屋を後にした‥‥。
>>	다소 불안에 사로잡힌 채, 나는 방을 뒤로했다‥‥.
L365	ナースを呼ぶことは出来ないだろうか‥‥。
>>	간호사를 부를 수는 없을까‥‥.
L368	私はベッド脇にあるはずのブザースイッチを捜してみた。
>>	나는 침대 옆에 있을 부저 스위치를 찾아보았다.
L371	（どうしたことだ‥‥。）
>>	（어찌 된 일이지‥‥.）
L374	（ブザースイッチが、無いじゃないか‥‥。）
>>	（부저 스위치가, 없지 않은가‥‥.）
L377	私はベッドを丹念に調べてみた。
>>	나는 침대를 꼼꼼히 살펴보았다.
L380	ほどよい柔らかさの枕と、真っ白なシーツ‥‥いかにも寝心地がよさそうなベッドだった。
>>	적당히 푹신한 베개와, 새하얀 시트‥‥자못 잠자리가 편해 보이는 침대였다.
L383	しかし寝心地の良さそうなベッドの脇に、ブザースイッチは見あたらなかった。
>>	하지만 잠자리 좋아 보이는 침대 옆에, 부저 스위치는 보이지 않았다.
L386	（どうやら、こうしていても、しょうがないな‥‥。）
>>	（아무래도, 이러고 있어 봐야, 소용없겠군‥‥.）
L389	ブザーが無い、ということはナースを呼べないということだ‥‥。
>>	부저가 없다는 건, 간호사를 부를 수 없다는 뜻이다‥‥.
L392	この、当たり前の結論に到達するまで、私は数秒ほど要してしまった。
>>	이 당연한 결론에 이르기까지, 나는 몇 초나 걸리고 말았다.
L395	どうやら、かなり思考能力が低下しているらしい。
>>	아무래도, 사고 능력이 꽤 떨어져 있는 모양이다.
L398	呼べないということは、設計者の手落ちなのか‥‥‥‥。
>>	부를 수 없다는 건, 설계자의 실수인 걸까‥‥‥‥.
L401	あるいは、最初から呼ぶ必要がないかの、どちらかだろう。
>>	아니면, 애초에 부를 필요가 없거나, 둘 중 하나겠지.
L404	（しかし‥‥‥‥。）
>>	（하지만‥‥‥‥.）
L407	私はぐるりと部屋を見回してから、ふと思った。
>>	나는 방을 빙 둘러보고 나서, 문득 생각했다.
L410	（ここは本当に病院なんだろうか‥‥。）
>>	（여기는 정말 병원인 걸까‥‥.）
L413	何故か私は、ここが病院か、あるいはどこかの医療センターであると信じて疑わなかった。
>>	어째선지 나는, 여기가 병원이거나, 어딘가의 의료 센터라고 믿어 의심치 않았다.
L416	それがどういった根拠をもとにしていたのか、自分でもわからない。
>>	그것이 어떤 근거에서 나온 생각인지, 나 자신도 모르겠다.
L419	（部屋の外へ出れば、何かわかるかもしれない‥‥。）
>>	（방 밖으로 나가면, 뭔가 알 수 있을지도 모른다‥‥.）
L422	無論この期待にも、何の根拠もなかったのだが、何故かそうした方が良い気がする。
>>	물론 이 기대에도, 아무 근거도 없었지만, 어쩐지 그러는 편이 좋을 것 같았다.
L425	ふと、床に目を落としてみる。
>>	문득, 바닥으로 눈을 떨궈 본다.
L428	暗い青色のタイル張りの床は、私に１つ身震いをさせた。おまけに、床にはスリッパ１つ置いてはいない。
>>	어두운 청색 타일 바닥은, 나를 한 번 몸서리치게 했다. 게다가, 바닥에는 슬리퍼 하나 없다.
L431	（まいったな‥‥‥‥。）
>>	（난감하군‥‥‥‥.）
L434	室温は決して低くはなかったが、ひんやりとした床に足を付けると、体温が急速に低下していくのがわかる。
>>	실온은 결코 낮지 않았지만, 서늘한 바닥에 발을 대자, 체온이 급속히 떨어지는 게 느껴진다.
L437	ドアのところまで、ゆっくりと歩いていく。ペタッペタッという音が、室内によく響く。
>>	문 있는 데까지, 천천히 걸어간다. 찰싹찰싹 하는 소리가, 실내에 잘 울린다.
L440	病院にしては、ややそぐわないドアだった。重く厚い。
>>	병원치고는, 다소 어울리지 않는 문이었다. 무겁고 두껍다.
L443	（誰か人がいるといいのだが‥‥‥‥。）
>>	（누구든 사람이 있으면 좋으련만‥‥‥‥.）
L446	私は、あわい期待を胸に、重い足取りで部屋を後にした‥‥。
>>	나는, 옅은 기대를 품고, 무거운 걸음으로 방을 나섰다‥‥.
L449	まずは部屋の中を色々と調べてからだ。
>>	우선 방 안부터 이것저것 조사해 봐야겠다.
L452	私は、そう考えると、部屋の中を見回し始めた。
>>	나는, 그렇게 생각하고, 방 안을 둘러보기 시작했다.
L455	右側には、何かカーテンのようなものが置いてあるようだった。
>>	오른쪽에는, 뭔가 커튼 같은 것이 놓여 있는 듯했다.
L458	（誰かいるのだろうか‥‥。）
>>	（누군가 있는 걸까‥‥.）
L461	そっと向こう側を覗いてみる‥‥誰もいない。
>>	살며시 저쪽을 들여다본다‥‥아무도 없다.
L464	どうやら、ここには私１人だけのようだった。
>>	아무래도, 여기에는 나 혼자뿐인 듯했다.
L467	視線を左に移動させる。透き通るような青い花びらが、ひっそりと息づいていた。
>>	시선을 왼쪽으로 옮긴다. 비칠 듯 투명한 푸른 꽃잎이, 조용히 숨 쉬고 있었다.
L470	（見たこともない花だが‥‥‥‥。）
>>	（본 적도 없는 꽃인데‥‥‥‥.）
L473	もっとも、私が知っている花の種類など、たかが知れている。私の知らない範疇の花なのだろう。
>>	하기야, 내가 아는 꽃의 종류라야 뻔하다. 내가 모르는 범주의 꽃이겠지.
L476	さらに左に視線を動かすと、比較的小さな机と、その上に申し訳なさそうに乗っているディスプレイが目に入ってきた。
>>	더 왼쪽으로 시선을 옮기자, 비교적 작은 책상과, 그 위에 겸연쩍은 듯 놓인 디스플레이가 눈에 들어왔다.
L479	（コンピュータ‥‥何かの端末だろうか？）
>>	（컴퓨터‥‥무슨 단말기일까?）
L482	ディスプレイ上には、何かの文字が表示されているようだった。
>>	디스플레이에는, 무언가 문자가 표시되어 있는 듯했다.
L488	文字通り解釈すれば、“夢”ということか‥‥‥。
>>	문자 그대로 해석하면, “꿈”이라는 뜻인가‥‥‥.
L491	ピピピピ、ポーン。
>>	삐삐삐삐, 핑―.
L497	どうやら、光センサを内蔵していたらしい‥‥私が端末の前に立ったので、それを感知したのかも知れない。
>>	아무래도, 광센서를 내장하고 있었던 모양이다‥‥내가 단말기 앞에 섰기에, 그것을 감지한 건지도 모른다.
L500	（この文字列は、いったい何の意味があるんだろうか‥‥。）
>>	（이 문자열은, 대체 무슨 의미가 있는 걸까‥‥.）
L503	アルファベットのようだが‥‥いや、違う。これは‥‥‥‥。
>>	알파벳인 것 같지만‥‥아니, 다르다. 이건‥‥‥‥.
L506	私がふと思い浮かんだ単語を認識しようとしたとき、ドアの外で何か物音がした。
>>	문득 떠오른 단어가 무엇인지 알아내려던 참에, 문밖에서 무슨 소리가 났다.
L509	コトッ‥‥コトッ‥‥。
>>	툭‥‥툭‥‥.
L512	（何だ‥‥‥‥？）
>>	（뭐지‥‥‥‥?）
L515	微かだが、音がしたようだ。いや、ドアの外ではない。ドアが音を立てたのだ。
>>	희미하지만, 소리가 난 듯하다. 아니, 문밖이 아니다. 문이 소리를 낸 것이다.
L518	（誰か‥‥いるのか‥‥？）
>>	（누군가‥‥있는 건가‥‥?）
L521	その想いは、私に期待と不安を抱かせた。誰かいるのか‥‥‥？
>>	그 생각은, 내게 기대와 불안을 안겼다. 누군가 있는 건가‥‥‥?
L524	どうやら私は、裸足だったらしい。
>>	아무래도 나는, 맨발이었던 모양이다.
L527	どうやら、ドアの音だと思ったのは、気のせいだったらしい。
>>	아무래도, 문소리라 여긴 건, 기분 탓이었던 모양이다.
L530	（でも誰か‥‥いたのだろうか‥‥？）
>>	（하지만 누군가‥‥있었던 걸까‥‥?）
L533	私はあたりをぐるりと見回すと、目の前の狭い通り道を進んでいった。
>>	나는 주위를 빙 둘러보고는, 눈앞의 좁은 통로를 나아갔다.
L536	外に出た途端、少しムッとした暖気に襲われた。
>>	밖으로 나서자마자, 살짝 후텁지근한 온기가 덮쳐 왔다.
L539	（暑いな‥‥‥‥。）
>>	（덥군‥‥‥‥.）
L542	室内では、どうやら冷房が効いていたらしい。
>>	실내에는, 아무래도 냉방이 들어와 있었던 모양이다.
L545	いや、室外に暖房が効いているのかもしれないが‥‥。
>>	아니, 실외에 난방이 들어와 있는 건지도 모르지만‥‥.
L548	（やけに無機質なところだ‥‥‥‥。）
>>	（유난히 삭막한 곳이다‥‥‥‥.）
L551	気温とは対照的に、冷え冷えとした廊下が、私の目の前にあった。
>>	기온과는 대조적으로, 싸늘한 복도가, 내 눈앞에 있었다.
L554	申し訳なさそうに端に置いてある観葉植物が、いくぶん私の心を安心させるが、どうも現実感に欠ける所だった。
>>	겸연쩍은 듯 구석에 놓인 관엽식물이, 다소 내 마음을 놓이게 하지만, 어딘가 현실감이 없는 곳이었다.
L557	往来の廊下という雰囲気はあるものの、人は１人としていない。
>>	사람이 오가는 복도라는 분위기는 있으나, 사람은 하나도 없다.
L560	目の前に見える廊下、ドア、椅子そして観葉植物と‥‥。
>>	눈앞에 보이는 복도, 문, 의자 그리고 관엽식물‥‥.
L563	確かに私の目の前にあるし、触ることもできる。だがこうも現実感を欠くのはいったい何故だろうか‥‥‥‥。
>>	분명 내 눈앞에 있고, 만질 수도 있다. 하지만 이토록 현실감이 없는 건 대체 왜일까‥‥‥‥.
L566	しかし、この音はいったいなんだろうか‥‥。
>>	그런데, 이 소리는 대체 뭘까‥‥.
L569	キーンという耳障りな音が、さっきから、どこからともなく聞こえてくる。
>>	삐― 하는 거슬리는 소리가, 아까부터, 어디선가 들려온다.
L572	最初は耳鳴りかと思ったが、どうやら本当に聞こえてきているらしい。
>>	처음엔 이명인가 했지만, 아무래도 정말로 들려오고 있는 모양이다.
L575	コッ‥‥コッ‥‥コッ‥‥。
>>	또각‥‥또각‥‥또각‥‥.
L578	（‥‥ん？）
>>	（‥‥응?）
L581	（な、なんだ‥‥？）
>>	（뭐, 뭐지‥‥?）
L584	廊下の向こう側から音が聞こえてきた。それは段々と近づいてくる‥‥。
>>	복도 저편에서 소리가 들려왔다. 그것은 점점 가까워진다‥‥.
L587	どうやら、誰かの足音のようだ‥‥‥‥。
>>	아무래도, 누군가의 발소리인 듯하다‥‥‥‥.
L590	　◆ この場にとどまって、あの足音の正体を確かめてやる。
>>	　◆ 이 자리에 남아, 저 발소리의 정체를 밝혀내고 말겠다.
L593	　◆ 手近なドアに、隠れた方がいいかも知れない。
>>	　◆ 가까운 문 안에, 숨는 편이 좋을지도 모른다.
L596	（暑い‥‥‥‥。）
>>	（덥다‥‥‥‥.）
L599	（やけに無機質なところ‥‥‥‥。）
>>	（유난히 삭막한 곳‥‥‥‥.）
L602	誰かの足音のよう‥‥‥‥。
>>	누군가의 발소리인 듯‥‥‥‥.
L605	この場にとどまって、あの足音の正体を確かめてやる。
>>	이 자리에 남아, 저 발소리의 정체를 밝혀내고 말겠다.
L608	そう威勢良く決めたものの、妙に緊張してしまう。恥ずかしいことに、自分の心音が耳まで届いてきそうだった。
>>	그렇게 기세 좋게 정하긴 했지만, 묘하게 긴장된다. 창피하게도, 내 심장 소리가 귀까지 들려올 것 같았다.
L611	（靴底が、床を踏む音だろうか‥‥？）
>>	（구두 밑창이, 바닥을 딛는 소리일까‥‥?）
L614	どうやらそれが一番近い解答と思えた。底の堅い、ブーツか何かをはいているのかも知れない。
>>	아무래도 그것이 가장 가까운 답인 듯했다. 밑창이 단단한, 부츠 같은 걸 신고 있는지도 모른다.
L617	コッ‥‥コッ‥‥‥‥‥‥。
>>	또각‥‥또각‥‥‥‥‥‥.
L620	不意に音が止まる。どうしたというんだ‥‥‥‥。
>>	갑자기 소리가 멎는다. 어찌 된 일이지‥‥‥‥.
L623	［女性の声］：あっ‥‥‥‥。
>>	［여자 목소리］：앗‥‥‥‥.
L626	不意に後ろから声がした。心臓が、口から飛び出しそうになるのを辛うじて押さえる。
>>	느닷없이 뒤에서 목소리가 났다. 심장이, 입 밖으로 튀어나올 것 같은 걸 겨우 억누른다.
L629	手近なドアに、隠れた方がいいかも知れない。
>>	가까운 문 안에, 숨는 편이 좋을지도 모른다.
L632	私にはまだ、どうもこの状況が良く呑み込めていなかった。異様なくらい、不安を感じる。
>>	나로서는 아직, 도무지 이 상황이 잘 이해되지 않았다. 이상할 만큼, 불안이 느껴진다.
L635	ドアの中から様子をうかがってみるのも、１つの手だろう。
>>	문 안에서 상황을 살펴보는 것도, 한 가지 방법이겠지.
L638	不意に音が止まる。どうしたというんだ‥‥‥？
>>	갑자기 소리가 멎는다. 어찌 된 일이지‥‥‥?
L641	声だ‥‥しかも女性の‥‥？
>>	목소리다‥‥게다가 여자의‥‥?
L644	私はドアの窓の端から、彼女の様子をうかがった。
>>	나는 문에 난 창 끄트머리로, 그녀의 모습을 살폈다.
L647	ちょうど、私がいたはずの部屋から出てくると、その女性はキョロキョロとあたりを見回した。
>>	마침, 내가 있던 그 방에서 나오더니, 그 여자는 두리번두리번 주위를 둘러보았다.
L650	もしかすると、私のことを捜しているのだろうか‥‥？
>>	어쩌면, 나를 찾고 있는 걸까‥‥?
L653	あまりにドアに寄り掛かり過ぎたので、思わず手でスイッチを押してしまったらしい。
>>	너무 문에 기댄 나머지, 그만 손으로 스위치를 눌러 버린 모양이다.
L656	［目の前の女性］：あっ‥‥‥‥。
>>	［눈앞의 여성］：앗‥‥‥‥.
L659	［私］：き、君は‥‥‥？
>>	［나］：다, 당신은‥‥‥?
L662	［目の前の女性］：‥‥‥‥‥‥。
>>	［눈앞의 여성］：‥‥‥‥‥‥.
L665	薄暗い場所にたたずむ女性は、少し怯えているような感じだった。
>>	어슴푸레한 곳에 우두커니 서 있는 여성은, 조금 겁먹은 듯한 느낌이었다.
L668	いやむしろ、女性というよりは、あどけなさの残る美少女、という感じだ。
>>	아니 오히려, 여성이라기보다는, 앳된 티가 남은 미소녀라는 느낌이다.
L671	私に、よほど驚いたのだろう。目の前の少女は、怪訝そうな表情をしてじっと押し黙っている。
>>	나를 보고 어지간히 놀랐던 모양이다. 눈앞의 소녀는, 의아한 표정으로 가만히 입을 다물고 있다.
L674	［私］：（それにしても‥‥‥。）
>>	［나］：（그건 그렇고‥‥‥.）
L677	特徴的な女の子だった‥‥。
>>	특징적인 여자아이였다‥‥.
L680	暗く透き通った髪の毛とは対象に、大きなレモンイエローのリボン、露出度の高い胸部分のワインレッドの色調‥‥。
>>	어둡게 비쳐 보이는 머리카락과는 대조적으로, 커다란 레몬옐로 리본, 노출도 높은 가슴 부분의 와인레드 색조‥‥.
L683	見ていて、少しクラクラしてしまいそうだった。
>>	보고 있자니, 조금 어질어질해질 것 같았다.
L686	下半身に目を移すとさらにドキッとした。左右両側に大きく切れ込んだスリットが、真っ白な太股を惜しげもなく露出している。
>>	하반신으로 눈을 옮기니 더욱 가슴이 뛰었다. 좌우 양쪽으로 깊게 갈라진 슬릿이, 새하얀 허벅지를 아낌없이 드러내고 있다.
L689	［私］：（ナース‥‥‥‥だろうか？）
>>	［나］：（간호사‥‥‥‥일까?）
L692	非現実的な場面に、これまた非現実的なナースの登場という訳だった。
>>	비현실적인 장면에, 이 또한 비현실적인 간호사의 등장인 셈이었다.
L695	大きくクリクリとした目が、また可愛らしく良く動いていた。
>>	크고 동그란 눈이, 또 귀엽게 잘도 움직이고 있었다.
L698	［目の前の女性］：ランファ‥‥。
>>	［눈앞의 여성］：란파‥‥.
L701	［私］：‥‥えっ？
>>	［나］：‥‥엇?
L704	［ランファ］：私の名前‥‥‥‥。
>>	［란파］：내 이름‥‥‥‥.
L707	［私］：そ、そうか。私は‥‥‥‥。
>>	［나］：그, 그런가. 나는‥‥‥‥.
L710	そう言いかけて、はたと気付いてしまった。私の名前‥‥‥‥？
>>	그렇게 말하려다, 문득 깨닫고 말았다. 내 이름‥‥‥‥?
L713	不思議なものだった。自分の身長や体重、趣味などは思い出すことができた。丁度資料を調べるように、自分のデータを読むことができるのだ。
>>	이상한 일이었다. 내 키나 몸무게, 취미 같은 건 떠올릴 수 있었다. 마치 자료를 뒤지듯, 내 데이터를 읽을 수 있는 것이다.
L716	だが、名前の部分になると、ちょうどそこの文字の部分に、網が掛かって読めなくなるような、そんな感じだった。
>>	하지만, 이름 부분이 되면, 딱 그 글자 부분에, 그물이 씌워져 읽을 수 없게 되는, 그런 느낌이었다.
L719	［私］：私は‥‥私はいったい誰だ？
>>	［나］：나는‥‥나는 대체 누구지?
L722	［ランファ］：‥‥‥‥‥‥。
>>	［란파］：‥‥‥‥‥‥.
L725	［私］：教えてくれないか？　私はいったい‥‥‥‥。
>>	［나］：알려주지 않겠어?　나는 대체‥‥‥‥.
L728	［私］：あっ、待ってくれ！‥‥ランファ！？
>>	［나］：앗, 기다려줘!‥‥란파!?
L731	［私］：（冗談じゃない、ここでまた１人にさせられてたまるか‥‥。）
>>	［나］：（농담이 아니다, 여기서 또 혼자 남겨질 수는 없어‥‥.）
L734	気が少し動転していたのかもしれない‥‥。
>>	조금 정신이 나가 있었던 건지도 모른다‥‥.
L737	いつの間にか、寒々とした場にきてしまった。目の前には、口から吐かれる白い煙が、ゆらゆらと揺れていた。
>>	어느새, 으스스하게 추운 곳에 와 버렸다. 눈앞에는, 입에서 나오는 하얀 김이, 하늘하늘 흔들리고 있었다.
L740	ランファと名乗る少女を捜して、あちこちをさまよっているうちに、妙な場所へ出てしまったようだが‥‥。
