# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L13684	［涼子］：くやしい！　もっと、涼子を突いて！　愛して！！
>>	［코우지］：나는 누구의 것도 되지 않는다.
L13780	［涼子］：な、何よ‥‥そ、そんな恐い顔で睨まないで。
>>	［료코］：뭐, 뭐야‥‥그, 그런 무서운 얼굴로 노려보지 마.
L13784	［コウジ］：ズにのるな。貴様は私に、その頭脳だけ貸せばいい。
>>	［코우지］：우쭐대지 마라. 네년은 내게 그 두뇌만 빌려주면 된다.
L13787	［涼子］：そ、それはちょっと酷いんじゃない？
>>	［료코］：그, 그건 좀 심한 거 아니야?
L13791	［コウジ］：別にイヤならいい。あの沙夜香とやらいう女に、話を持ちかけるまでだ。
>>	［코우지］：싫으면 관두면 된다. 그 사야카라는 여자에게 말을 꺼내면 그만이다.
L13794	沙夜香という固有名詞を出すと、途端に涼子はしおらしくなった。よほど、何らかの確執があるのかもしれない。
>>	사야카라는 고유명사를 꺼내자, 료코는 대번에 얌전해졌다. 어지간한 앙금이 있는지도 모른다.
L13797	［涼子］：わ、わかったわよ‥‥もう。
>>	［료코］：아, 알았어‥‥정말.
L13801	［コウジ］：私にとっては、どちらでもいいのだからな。
>>	［코우지］：나로서는, 어느 쪽이든 상관없으니 말이다.
L13805	［コウジ］：フン、どうだ涼子。
>>	［코우지］：흥, 어떠냐 료코.
L13808	［涼子］：な、なにかしら‥‥？
>>	［료코］：뭐, 뭔데‥‥?
L13811	私は、かねてから考えていた提案を、涼子にしてみることにした。
>>	나는 전부터 생각해 온 제안을 료코에게 해 보기로 했다.
L13814	その提案とは‥‥‥‥。
>>	그 제안이란‥‥‥‥.
L13817	　◆ 私専用の性処理玩具になれば‥‥‥‥。
>>	　◆ 내 전용 성처리 완구가 된다면‥‥‥‥.
L13820	　◆ 私と交換日記をしてくれれば‥‥‥‥。
>>	　◆ 나와 교환일기를 해 준다면‥‥‥‥.
L13823	　◆ 私に服従を誓えば‥‥‥‥。
>>	　◆ 내게 복종을 맹세한다면‥‥‥‥.
L13827	［コウジ］：私専用の性処理玩具になれば、許してやる。
>>	［코우지］：내 전용 성처리 완구가 된다면, 용서해 주지.
L13830	［涼子］：はぁ？
>>	［료코］：하아?
L13834	［コウジ］：だから、私専用の性処理玩具だ。私が望むときに、くわえて舐めてプニプニしてくれればいい。
>>	［코우지］：그러니까, 내 전용 성처리 완구다. 내가 원할 때, 물고 핥고 조물조물해 주면 된다.
L13838	［コウジ］：フン、そうすれば特別に許してやる。光栄だろう。
>>	［코우지］：흥, 그러면 특별히 용서해 주지. 영광이겠지.
L13841	［涼子］：許すって何を？
>>	［료코］：용서한다니 뭘?
L13845	［コウジ］：うむ、よくわからないが、光栄だろう。
>>	［코우지］：음, 잘 모르겠지만, 영광이겠지.
L13848	［涼子］：何が光栄なのよっ？
>>	［료코］：뭐가 영광이라는 거야?
L13852	［コウジ］：うむ、何が光栄なんだろうな。私が言いたかった事は、こんな訳のわからないことではない。
>>	［코우지］：음, 뭐가 영광인 걸까. 내가 하고 싶었던 말은, 이런 알 수 없는 소리가 아니다.
L13855	［涼子］：じゃあ、いったい何なのよ‥‥。
>>	［료코］：그럼, 대체 뭐야‥‥.
L13859	［コウジ］：うむ、それは‥‥。
>>	［코우지］：음, 그건‥‥.
L13863	［コウジ］：私と交換日記をしてくれれば、嬉しいぞ。
>>	［코우지］：나와 교환일기를 해 준다면, 기쁘겠군.
L13867	［涼子］：ぷぷっ、宏治クンって古風ねぇ、しかも肉体関係を持った後に？
>>	［료코］：푸훗, 코지 군은 고풍스럽네, 게다가 몸을 섞은 뒤에?
L13871	［コウジ］：私は手続きを重要視するのでな。
>>	［코우지］：나는 절차를 중요시하는 편이라서 말이다.
L13875	［涼子］：フフ、いいわよ。ほら、ここにノートがあるわ。じゃあ早速‥‥○月×日、晴れと。今日はとっても良い事がありました。何と、あの宏治クンと‥‥。
>>	［료코］：후후, 좋아. 봐, 여기 노트가 있어. 그럼 당장‥‥○월×일, 맑음이라고. 오늘은 아주 좋은 일이 있었습니다. 글쎄, 그 코지 군과‥‥.
L13879	［コウジ］：バカが、誰が日記を書けと言った。
>>	［코우지］：멍청한 것, 누가 일기를 쓰라고 했나.
L13882	［涼子］：な、なによぉ～。
>>	［료코］：뭐, 뭐야아～.
L13886	［コウジ］：ノータリンめ。私が言いたかった事は、こんな訳のわからない事ではない。
>>	［코우지］：얼간이 같으니. 내가 하고 싶었던 말은, 이런 알 수 없는 소리가 아니다.
L13890	［コウジ］：私に服従を誓えば、貴様には相応のメリットを約束しよう。
>>	［코우지］：내게 복종을 맹세하면, 네년에게 걸맞은 이득을 약속하지.
L13893	［涼子］：メリット？
>>	［료코］：이득?
L13897	［コウジ］：私が貴様を、あらゆる災厄から守ってやる。
>>	［코우지］：내가 네년을, 온갖 재앙으로부터 지켜 주마.
L13900	［涼子］：ま、守る？
>>	［료코］：지, 지켜 준다고?
L13904	［コウジ］：そうだ。命をかけてでも、貴様をあらゆる災厄から守る。
>>	［코우지］：그렇다. 목숨을 걸어서라도, 네년을 온갖 재앙으로부터 지킨다.
L13907	［涼子］：い、命をかけてまで‥‥？
>>	［료코］：모, 목숨을 걸면서까지‥‥?
L13911	［コウジ］：そうだ。貴様に害をなそうとする者がいれば、私はそれを全力で排除してやろう。
>>	［코우지］：그렇다. 네년을 해치려는 자가 있다면, 나는 그것을 전력으로 배제해 주지.
L13915	［涼子］：こ、宏治クン‥‥。
>>	［료코］：코, 코지 군‥‥.
L13918	涼子は、何らかの感銘は受けていたようだ。ぼーっとした表情で私を見つめている。頬もやや赤みがかっている。
>>	료코는 무언가 감명을 받은 듯했다. 멍한 표정으로 나를 바라보고 있다. 뺨도 약간 붉어져 있다.
L13921	［涼子］：ど、どうしたのかしら‥‥すっごく頼もしく見えるわ。
>>	［료코］：어, 어떻게 된 걸까‥‥굉장히 듬직해 보여.
L13925	［コウジ］：そのかわり、奴隷である貴様は、私に絶対服従だ。無論、反抗するなどということは一切許さん。
>>	［코우지］：그 대신, 노예인 네년은 내게 절대복종이다. 물론, 반항 따위는 일절 용납하지 않는다.
L13929	［コウジ］：どうだ？
>>	［코우지］：어떠냐?
L13932	［涼子］：な、なにが。
>>	［료코］：뭐, 뭐가.
L13936	［コウジ］：私は暴力で女を屈服させるのは、趣味ではないのでな。これは一種の契約だ。
>>	［코우지］：나는 폭력으로 여자를 굴복시키는 건 취향이 아니라서 말이다. 이건 일종의 계약이다.
L13940	［コウジ］：嫌ならそう言えばいい。
>>	［코우지］：싫다면 그렇게 말하면 된다.
L13943	涼子は明らかに迷っていた。私に心酔しているのは彼女の言動から、もう明らかだ。
>>	료코는 분명 망설이고 있었다. 나에게 심취해 있다는 건 그녀의 언동으로 이미 명백하다.
L13946	しかし奴隷、という言葉にある種の抵抗感を覚えているらしい。だがこのハードルを越えさえすれば、涼子は私のモノになる。
>>	하지만 노예라는 말에 일종의 저항감을 느끼는 모양이다. 허나 이 허들만 넘으면, 료코는 내 것이 된다.
L13949	［涼子］：私‥‥よくわからないわ。ど、奴隷って、どんな事をするの？
>>	［료코］：난‥‥잘 모르겠어. 노, 노예라는 게, 어떤 걸 하는 거야?
L13953	［コウジ］：言ったろう。私の言う事に絶対服従だ。
>>	［코우지］：말했잖나. 내 말에 절대복종이다.
L13957	［コウジ］：無理強いはしないが。
>>	［코우지］：억지로 강요하진 않겠지만.
L13960	［涼子］：わ、わかったわ‥‥。
>>	［료코］：아, 알았어‥‥.
L13963	涼子は、しょうがないわ、という趣でうなずいた。
>>	료코는 어쩔 수 없지 하는 투로 고개를 끄덕였다.
L13967	［コウジ］：わかった、ということは、私の奴隷になるということだな？
>>	［코우지］：알았다는 건, 내 노예가 되겠다는 뜻이렷다?
L13970	［涼子］：そ、そう改めて言われると何だか‥‥。
>>	［료코］：그, 그렇게 새삼스레 말하면 뭔가‥‥.
L13974	［コウジ］：なるのか、ならないのか。
>>	［코우지］：되는 거냐, 안 되는 거냐.
L13977	［涼子］：な、なるわ。
>>	［료코］：되, 될게.
L13981	［コウジ］：クックック、よし。契約は成立だなっ。
>>	［코우지］：크큭큭, 좋아. 계약은 성립이다.
L13985	［涼子］：宏治クン、どうするの？　これから‥‥。
>>	［료코］：코지 군, 어쩔 거야?　이제부터‥‥.
L13989	［コウジ］：ジロッ！
>>	［코우지］：째릿!
L13992	［涼子］：な、何よ‥‥その目は。
>>	［료코］：뭐, 뭐야‥‥그 눈은.
L13996	［コウジ］：貴様は私の奴隷だ。その貴様が、私と対等に話してどうするか。
>>	［코우지］：네년은 내 노예다. 그런 네년이 나와 대등하게 말해서 되겠나.
L13999	［涼子］：ど、どうすればいいの？
>>	［료코］：그, 그럼 어떻게 해야 하는데?
L14003	［コウジ］：コウジ様、と呼べ。
>>	［코우지］：코우지 님이라고 불러라.
L14006	［涼子］：ばっかみたい。
>>	［료코］：바보 같아.
L14009	バキィ！！
>>	퍼억!!
L14012	［涼子］：な、何すんのよぉ！
>>	［료코］：뭐, 뭐 하는 거야!
L14016	［コウジ］：貴様は私に絶対服従を誓ったのだ。
>>	［코우지］：네년은 내게 절대복종을 맹세했다.
L14019	［涼子］：暴力で屈服させるの、嫌いだって言ったじゃない。
>>	［료코］：폭력으로 굴복시키는 건 싫다고 했잖아.
L14023	［コウジ］：無論だ。だがこれは奴隷に対するお仕置きだ。
>>	［코우지］：물론이다. 하지만 이건 노예에 대한 벌이다.
L14026	［涼子］：‥‥わ、わかったわよ。
>>	［료코］：‥‥아, 알았다니까.
L14030	［コウジ］：貴様の鼻の穴に、私のこの７０ミリ戦車砲を打ち込んでやろうか？
>>	［코우지］：네년 콧구멍에 내 이 ７０밀리 전차포를 박아 넣어 줄까?
L14034	［涼子］：わ、わかって、ます‥‥こ、宏治様‥‥。
>>	［료코］：아, 알고, 있어요‥‥코, 코지 님‥‥.
L14038	［コウジ］：フン、それでいい。
>>	［코우지］：흥, 그럼 됐다.
L14041	［涼子］：もう、何だか涙がでてきちゃった‥‥‥。
>>	［료코］：정말, 왠지 눈물이 나와버렸어‥‥‥.
L14044	涼子は少し目をうるませながら言った。実際、泣いているのかもしれない。
>>	료코는 조금 눈물을 글썽이며 말했다. 실제로 울고 있는지도 모른다.
L14047	［涼子］：どうするの‥‥じゃなくて、どうするんですか？　これから。
>>	［료코］：어떻게 할 거야‥‥가 아니라, 어떻게 하실 건가요?　앞으로.
L14051	［コウジ］：あのジェネレータには、電送系ルーチンにまだ致命的なバグが潜んでいる。まずはデバッグからだな。
>>	［코우지］：저 제너레이터는 전송계 루틴에 아직 치명적인 버그가 숨어 있다. 우선 디버그부터다.
L14054	［涼子］：デバッグから‥‥私にできることはありますか？
>>	［료코］：디버그부터‥‥제가 할 수 있는 일이 있나요?
L14057	涼子は、再び笑顔を出しながら、せいぜい控えめに自分をアピールした。デバッグに彼女は必要だ。
>>	료코는 다시 미소를 지으며, 최대한 조심스럽게 자신을 어필했다. 디버그에는 그녀가 필요하다.
L14061	［コウジ］：ではバグを教えてやる。
>>	［코우지］：그럼 버그를 알려주지.
L14064	［涼子］：は、はい。
>>	［료코］：네, 네.
L14067	途端に目を輝かせ、涼子は私につめよってきた。フン、なかなか研究者らしいではないか。
>>	순간 눈을 반짝이며, 료코가 내게 바싹 다가왔다. 흥, 제법 연구자답지 않은가.
L14071	［コウジ］：思念体分離のルーチンで、再帰的な呼び出しをおこなっているだろう。
>>	［코우지］：사념체 분리 루틴에서 재귀적인 호출을 하고 있겠지.
L14074	［涼子］：は、はい。でもそれは、占有メモリ確保のサイズを減らす為に‥‥。
>>	［료코］：네, 네. 하지만 그건 점유 메모리 확보 크기를 줄이기 위해‥‥.
L14078	［コウジ］：わからんか、バカめ。
>>	［코우지］：모르겠나, 멍청한 것.
L14081	［涼子］：す、すみません‥‥。
>>	［료코］：죄, 죄송합니다‥‥.
L14085	［コウジ］：思念体を再帰的に呼び出せば、当然のごとくオーバーヘッドがかかる。
>>	［코우지］：사념체를 재귀적으로 호출하면 당연히 오버헤드가 걸린다.
L14088	［涼子］：は、はぁ‥‥。
>>	［료코］：하, 하아‥‥.
L14092	［コウジ］：これは思念体のみならず、被試験者さえも危険にさらすことになるのがわからんか。
>>	［코우지］：이건 사념체뿐 아니라 피시험자까지 위험에 빠뜨린다는 걸 모르겠나.
L14095	［涼子］：ということは、メモリの節約はせずに、多重ループにすれば‥‥。
>>	［료코］：그렇다는 건, 메모리 절약은 하지 말고 다중 루프로 하면‥‥.
L14099	［コウジ］：理論上は解決だ。
>>	［코우지］：이론상은 해결이다.
L14102	［涼子］：な、何だか希望がわいてきます。
>>	［료코］：왠, 왠지 희망이 솟아나요.
L14105	涼子には他にやってもらうことがあった。私はそれを彼女に伝えた。
>>	료코에게는 따로 시킬 일이 있었다. 나는 그것을 그녀에게 전했다.
L14109	［コウジ］：涼子、貴様には他にもやることがある。
>>	［코우지］：료코, 네놈에게는 달리 할 일이 있다.
L14112	［涼子］：な、何です？
>>	［료코］：뭐, 뭔가요?
L14116	［コウジ］：うむ、触媒の試験だ。
>>	［코우지］：음, 촉매 시험이다.
L14119	［涼子］：触媒の試験？
>>	［료코］：촉매 시험?
L14123	［コウジ］：思念体分離の際、精神感応者のサイコエナジーが必要不可欠だ。これにより、思念体を物理的肉体から押し出す訳だが‥‥。
>>	［코우지］：사념체 분리 시에는 정신감응자의 사이코 에너지가 필수불가결하다. 이것으로 사념체를 물리적 육체에서 밀어내는 것이지만‥‥.
L14127	［コウジ］：何よりも、思念体の被分離者と触媒の間の感応同調が、もっとも重要かつ必要不可欠なファクターなのだ。
>>	［코우지］：무엇보다 사념체의 피분리자와 촉매 사이의 감응 동조가 가장 중요하고 필수적인 팩터다.
L14130	どういうこと？　という表情で涼子は私に疑問を呈示していた。
>>	무슨 소리?　라는 표정으로 료코는 내게 의문을 표하고 있었다.
L14133	どうやらマシンの機構は酷似しているが、設計のコンセプトまで似ているという訳ではないらしい。
>>	아무래도 머신의 구조는 흡사하지만, 설계 콘셉트까지 닮은 것은 아닌 모양이다.
L14137	［コウジ］：貴様は、あのマシンをどのようなコンプセトに基づいて設計したのだ？
>>	［코우지］：네놈은 저 머신을 어떤 콘셉트에 기반해 설계한 것이냐?
L14140	［涼子］：そ、そりゃあ精神医学のために‥‥。
>>	［료코］：그, 그야 정신의학을 위해서‥‥.
L14144	［コウジ］：くだらんな。
>>	［코우지］：하찮군.
L14147	［涼子］：そ、そうですか？
>>	［료코］：그, 그런가요?
L14151	［コウジ］：資金は誰が出している？
>>	［코우지］：자금은 누가 대고 있지?
L14154	［涼子］：あなたの恋人さんのお父上。
>>	［료코］：당신 애인분의 아버님이요.
L14158	［コウジ］：恋人？
>>	［코우지］：애인?
L14161	［涼子］：恵さんでしょ？　もう、妬けちゃう。
>>	［료코］：메구미 씨잖아요?　정말, 질투 나요.
L14165	［コウジ］：なにをスねているのだ。痛いから、つねるのはやめろ。
>>	［코우지］：뭘 삐쳐 있는 거냐. 아프니까 꼬집는 건 그만둬라.
L14168	［涼子］：でも、法務局の目が厳しくて‥‥お金をドブに捨てるようなものだとか、もうヘトヘト‥‥。
>>	［료코］：하지만 법무국 눈이 매서워서‥‥돈을 시궁창에 버리는 격이라나, 정말 녹초예요‥‥.
L14172	［コウジ］：法務局‥‥？　政府機関のことか。
>>	［코우지］：법무국‥‥?　정부 기관 말인가.
L14175	［涼子］：そっ、あの沙夜香って女が来てからというもの‥‥絶対に研究を横取りにされたり、しないんだから。
>>	［료코］：맞아요, 그 사야카라는 여자가 온 뒤로‥‥절대로 연구를 가로채이거나 하진 않을 거예요.
L14178	［涼子］：ねぇ、どうしたらいいのかしら‥‥。
>>	［료코］：저기, 어떻게 하면 좋을까요‥‥.
L14182	［コウジ］：今後は、私の為だけに役立てろ。
>>	［코우지］：앞으로는 나를 위해서만 쓰도록 해라.
L14185	［涼子］：あなたの為だけ？
>>	［료코］：당신을 위해서만?
L14188	［涼子］：その、触媒というのは、なぜ必要なんですか？
>>	［료코］：그, 촉매라는 건 왜 필요한 건가요?
L14192	［コウジ］：難しいことは考えるな。あのマシンを正常に機能させるためと思っておけ。
>>	［코우지］：어려운 건 생각하지 마라. 저 머신을 정상 작동시키기 위한 것이라 여겨둬라.
L14195	［涼子］：わ、わかりました。でも‥‥その、触媒というのは？
>>	［료코］：아, 알겠습니다. 하지만‥‥그, 촉매라는 건?
L14199	［コウジ］：貴様が、あのマシンを利用するときに使用した、もう１人の人間のことだ。
>>	［코우지］：네놈이 저 머신을 이용할 때 사용한, 또 한 명의 인간을 말한다.
L14202	［涼子］：ま、舞！？
>>	［료코］：마, 마이!?
L14206	［コウジ］：そうか‥‥確か、会った事がある。
>>	［코우지］：그런가‥‥분명, 만난 적이 있다.
L14209	［涼子］：あの子の試験って‥‥。
>>	［료코］：그 애의 시험이라니‥‥.
L14213	［コウジ］：手っとり早いのが、肉体の交わりだな。これは精神を同調させる、もっとも効果的な方法だ。
>>	［코우지］：가장 빠른 건 육체의 교합이지. 이건 정신을 동조시키는 가장 효과적인 방법이다.
L14216	［涼子］：に、肉体の交わりって‥‥セックス？
>>	［료코］：유, 육체의 교합이라니‥‥섹스?
L14220	［コウジ］：世俗的な表現をすれば、そういうことだ。
>>	［코우지］：세속적으로 표현하면 그런 것이다.
L14223	［涼子］：あの子は、私の妹です。恐らく、処女で‥‥。
>>	［료코］：그 애는 제 여동생이에요. 아마, 처녀일 텐데‥‥.
L14226	涼子はかなり複雑な表情をしていた。実の妹の将来が危ぶまれるというところか。フン‥‥。
>>	료코는 꽤 복잡한 표정을 짓고 있었다. 친여동생의 장래가 위태롭다는 것인가. 흥‥‥.
L14230	［コウジ］：より都合が良いな。私という要因を、より強く植え付けられる。
>>	［코우지］：더욱 잘됐군. 나라는 요인을 더 강하게 심을 수 있다.
L14234	［涼子］：ま、宏治様ならいいかな‥‥あの子、妙に保守的なところがあったから‥‥宏治様に抱かれて、ちょうどいいかもしれないわ。
>>	［료코］：뭐, 코지 님이라면 괜찮으려나‥‥그 애, 묘하게 보수적인 데가 있었으니까‥‥코지 님께 안기는 거라면 딱 좋을지도 모르겠어요.
L14238	［コウジ］：貞操感覚のことか？
>>	［코우지］：정조 관념 말인가?
L14242	［涼子］：そうです。もっとも、彼女、宏治様のことを好いていたから‥‥。
>>	［료코］：그래요. 하긴, 그 애는 코지 님을 좋아했으니까‥‥.
L14246	［コウジ］：より好都合だな。よし、では姉妹そろって私の奴隷にしてやろう。
>>	［코우지］：더욱 잘됐군. 좋아, 그럼 자매 나란히 내 노예로 만들어주지.
L14249	［涼子］：えぇっ！？
>>	［료코］：에엣!?
L14253	［コウジ］：不服か？
>>	［코우지］：불만인가?
L14256	［涼子］：で、でも‥‥あの子が私みたいな境遇を受け入れるとは思いませんけど。
>>	［료코］：하, 하지만‥‥그 애가 저 같은 처지를 받아들일 거라곤 생각되지 않는데요.
L14260	［コウジ］：クックック‥‥。
>>	［코우지］：쿡쿡쿡‥‥.
L14263	［涼子］：ど、どうしたんですか？
>>	［료코］：무, 무슨 일이신가요?
L14267	［コウジ］：それは嫉妬だな、涼子。
>>	［코우지］：그건 질투로군, 료코.
L14270	［涼子］：ち、違います！
>>	［료코］：아, 아니에요!
L14274	［コウジ］：フン、まぁいい。とにかく舞をここへ連れてこい。
>>	［코우지］：흥, 뭐 됐다. 어쨌든 마이를 이리 데려와라.
L14277	［涼子］：こ、ここで？
>>	［료코］：여, 여기로요?
L14281	［コウジ］：そうだ、早ければ早いほどいい。向こうで何が起こっているのか、今一つ掴めんからな‥‥。
>>	［코우지］：그렇다, 빠를수록 좋다. 저쪽에서 무슨 일이 벌어지는지 아직 파악이 안 되니까‥‥.
L14284	［涼子］：向こうって‥‥？
>>	［료코］：저쪽이라니‥‥?
L14288	［コウジ］：貴様は知る必要がない。今ここに呼べ。
>>	［코우지］：네놈은 알 필요 없다. 지금 당장 여기로 불러라.
L14291	［涼子］：‥‥い、いま？
>>	［료코］：‥‥지, 지금요?
L14295	［コウジ］：そうだ。それから、私はあの機械をもう少し詳しく調べる。
>>	［코우지］：그렇다. 그리고 나는 저 기계를 좀 더 자세히 조사하겠다.
L14298	［涼子］：あのドリームプログラムマシンを？
>>	［료코］：그 ONEIROS 프로그램 머신을요?
L14302	［コウジ］：あの名前は、大宇宙海賊霊子エナジー増幅ジェネレータ２と名付ける。
>>	［코우지］：저 이름은 대우주 해적 영자 에너지 증폭 제너레이터２라 명명한다.
L14306	［コウジ］：今後、そう呼べと言っているのだ。
>>	［코우지］：앞으로 그렇게 부르라는 말이다.
L14309	［涼子］：だ、大宇宙‥‥な、なんでしたっけ？
>>	［료코］：대, 대우주‥‥뭐, 뭐였죠?
L14313	［コウジ］：バカめ、一度で覚えろ。大宇宙海賊霊子エナジー増幅ジェネレータ２だ。
>>	［코우지］：멍청한 것, 한 번에 외워라. 대우주 해적 영자 에너지 증폭 제너레이터２다.
L14316	［涼子］：わ、わかりました‥‥。
>>	［료코］：아, 알겠습니다‥‥.
L14320	［コウジ］：では、とっとと呼べ！
>>	［코우지］：그럼, 냉큼 불러라!
L14323	［涼子］：は、はい！
>>	［료코］：네, 네!
L14327	［コウジ］：（一刻の猶予もできんな‥‥。）
>>	［코우지］：（한시도 지체할 수 없군‥‥.）
L14331	［コウジ］：（本来の私の肉体に入っているのが、この肉体の‥‥脆弱な精神の持ち主であれば‥‥。）
>>	［코우지］：（본래 내 육체에 들어가 있는 것이 이 육체의‥‥나약한 정신의 주인이라면‥‥.）
L14335	［コウジ］：（ビアンカに勝てるはずも無い‥‥。）
>>	［코우지］：（비앙카를 이길 수 있을 리도 없다‥‥.）
L14339	［涼子］：いま、すぐにやって来るそうです。宏治様がお呼びよって言ったら、飛んで来るんじゃないかしら。
>>	［료코］：지금 바로 온다고 합니다. 코지 님이 부르신다고 했더니, 날아오지 않을까요.
L14343	［コウジ］：うむ‥‥。
>>	［코우지］：음‥‥.
L14346	［涼子］：これを利用します。
>>	［료코］：이걸 이용하겠습니다.
L14349	涼子の手には、何か針状のものが握られている。どうやら、舞の身体の自由を奪う気でいるらしい。
>>	료코의 손에는 뭔가 바늘 모양의 것이 쥐어져 있다. 아무래도 마이의 몸에서 자유를 빼앗을 작정인 모양이다.
L14352	なぜそんなモノを持っているのか、という質問はしないでおくことにする。何となく、想像ができたためだ。
>>	왜 그런 걸 갖고 있는지는 묻지 않기로 한다. 어쩐지 짐작이 갔기 때문이다.
L14355	［涼子］：さっきから気になってるんですけど‥‥。
>>	［료코］：아까부터 신경 쓰이는 게 있는데요‥‥.
L14358	［涼子］：その、時間を気にしていますけど、何かあるんですか？
>>	［료코］：그, 계속 시간을 신경 쓰시는데, 무슨 일이라도 있나요?
L14362	［コウジ］：うむ、早くしないと、本来の私が死ぬかもしれない。
>>	［코우지］：음, 서두르지 않으면 본래의 내가 죽을지도 모른다.
L14365	［涼子］：し、死ぬ‥‥どういうことなんですか？
>>	［료코］：주, 죽는다니‥‥무슨 말씀이세요?
L14369	［コウジ］：うむ、実はな‥‥。
>>	［코우지］：음, 실은 말이다‥‥.
