# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L8014	［沙夜香］：なにやってんのじゃないわよじゃ‥‥‥‥。
L8149	［宏治］：その後で、悲鳴が聞こえて‥‥。
>>	［코지］：그 뒤에, 비명이 들려서‥‥.
L8152	［沙夜香］：恵さんの？
>>	［사야카］：메구미 씨의?
L8156	［宏治］：そう。
>>	［코지］：네.
L8160	［沙夜香］：フフ、宏治クン、あなた、カツがれたのよ。
>>	［사야카］：후후, 코지 군, 당신, 속아 넘어간 거야.
L8164	［宏治］：担がれた？
>>	［코지］：속아 넘어갔다고요?
L8167	［沙夜香］：最近の若い女の子がやりそうな事じゃない。明日になれば、舌を出しながらやって来るんじゃない？
>>	［사야카］：요즘 젊은 여자애가 할 법한 짓이잖아. 내일이 되면, 혀를 내밀며 나타나지 않겠어?
L8171	［宏治］：そ、そんな‥‥あり得なくはないけど‥‥。
>>	［코지］：그, 그럴 리가‥‥없다고는 못 하지만‥‥.
L8174	［沙夜香］：でしょう？
>>	［사야카］：그렇지?
L8178	［宏治］：だって、結構悲鳴なんかも真に迫っていたし。
>>	［코지］：하지만, 비명 같은 것도 꽤 실감났는걸요.
L8181	［沙夜香］：じゃなきゃ、カツぐ意味ないじゃない。すぐにバレるような嘘じゃ、つまらないでしょう？
>>	［사야카］：안 그러면, 속일 의미가 없잖아. 금방 들통날 거짓말이면, 시시하잖아?
L8185	［宏治］：そりゃあそうだけど‥‥。
>>	［코지］：그야 그렇지만‥‥.
L8188	［沙夜香］：さてと、ほら、手伝ってよ。
>>	［사야카］：자 그럼, 이봐, 좀 도와줘.
L8191	沙夜香は腰をさすりながら、あたりに散らばった書類やらノート類をかき集めている。
>>	사야카는 허리를 문지르면서, 주변에 흩어진 서류며 노트 따위를 긁어모으고 있다.
L8194	［沙夜香］：ほら、ちょっとぉ、見てないで手伝ったら？
>>	［사야카］：이봐, 참 나, 보고만 있지 말고 좀 도와주지?
L8197	僕は沙夜香の傍らにひざまずいて、ノートや書類を一緒に拾い集めた。甘い香りがしてくる‥‥香水の匂いだろうか。
>>	나는 사야카 옆에 무릎을 꿇고, 노트와 서류를 함께 주워 모았다. 달콤한 향기가 풍겨온다‥‥향수 냄새일까.
L8200	僕がしばらく手を止めていると、
>>	내가 잠시 손을 멈추고 있으니,
L8203	［沙夜香］：どうしたのよ‥‥あっ、エッチなこと考えてるでしょ。
>>	［사야카］：왜 그래‥‥앗, 야한 생각 하고 있지.
L8207	［宏治］：ち、違いますよ。そ、それよりも、そうだ‥‥沙夜香さん。
>>	［코지］：아, 아니에요. 그, 그보다, 맞다‥‥사야카 씨.
L8210	［沙夜香］：な、なに？
>>	［사야카］：뭐, 뭔데?
L8214	［宏治］：何じゃないですよ。こんな所でいったい何を‥‥‥‥。
>>	［코지］：뭐냐니요. 이런 곳에서 대체 뭘‥‥‥‥.
L8217	［沙夜香］：フフ、野暮は聞きっこなし。
>>	［사야카］：후후, 촌스러운 건 묻지 않기.
L8220	そう言うと、沙夜香は僕の顔に自分のを近づけてきた。
>>	그렇게 말하고, 사야카는 내 얼굴에 자기 얼굴을 가까이 댔다.
L8223	チュッ。
>>	쪽.
L8227	［宏治］：な、何するんですか‥‥。
>>	［코지］：뭐, 뭐 하는 거예요‥‥.
L8230	［沙夜香］：フフ、口止め料よ。
>>	［사야카］：후후, 입막음 값이야.
L8234	［宏治］：く、口止め‥‥‥‥。
>>	［코지］：이, 입막음‥‥‥‥.
L8237	沙夜香は僕にウィンクしながら、身なりを整えている。それから手にしたメモ帳をあけると、ペンで何かを書き始めた。
>>	사야카는 내게 윙크하면서, 옷매무새를 다듬고 있다. 그러고는 손에 든 메모장을 펼치더니, 펜으로 뭔가를 쓰기 시작했다.
L8241	［宏治］：な、何をしてるんです？
>>	［코지］：뭐, 뭘 하시는 거예요?
L8245	［沙夜香］：宏治クン、あと数日でここを退院よね。
>>	［사야카］：코지 군, 앞으로 며칠이면 여기 퇴원이지.
L8249	［宏治］：そ、そうですけど‥‥。
>>	［코지］：그, 그렇긴 한데요‥‥.
L8252	［沙夜香］：なごり惜しいわ。はい、これ私の住所と電話番号。
>>	［사야카］：아쉽네. 자, 이거 내 주소랑 전화번호.
L8256	［宏治］：だ、ダメですよ、こ、こんな‥‥。
>>	［코지］：아, 안 돼요, 이, 이런‥‥.
L8259	［沙夜香］：馬鹿ね、なに焦っているのよ。何かあったら、ここへ電話しなさい。
>>	［사야카］：바보네, 뭘 그렇게 당황해. 무슨 일 있으면, 여기로 전화해.
L8263	［宏治］：な、何かって、何です？
>>	［코지］：무, 무슨 일이라니, 뭐요?
L8266	［沙夜香］：さぁ、性の悩みでもいいわよ。
>>	［사야카］：글쎄, 성적인 고민이라도 괜찮아.
L8270	［宏治］：沙夜香さん、真面目にですね‥‥。
>>	［코지］：사야카 씨, 진지하게 좀‥‥.
L8273	クスっと笑みをもらすと、沙夜香は僕の頬をポンと軽く叩いてドアから出ていった。
>>	킥 하고 웃음을 흘리더니, 사야카는 내 뺨을 톡 하고 가볍게 두드리고 문으로 나갔다.
L8276	沙夜香さん、いったい何をしていたんだろうか‥‥‥‥。
>>	사야카 씨, 대체 뭘 하고 있었던 걸까‥‥‥‥.
L8279	再び、あたりは静寂に包まれ始めた‥‥。
>>	다시, 주위는 정적에 잠기기 시작했다‥‥.
L8282	人の息づかいは皆無となり、無機質なコンピュータの稼働音だけが響きわたっていた‥‥。
>>	사람의 숨소리는 하나도 없이, 삭막한 컴퓨터의 가동음만이 울려 퍼지고 있었다‥‥.
L8286	［宏治］：（もう、誰もいないな‥‥‥‥。）
>>	［코지］：（이제, 아무도 없군‥‥‥‥.）
L8290	［宏治］：（恵‥‥‥‥。）
>>	［코지］：（메구미‥‥‥‥.）
L8293	僕は、コンピュータ・ルームを後にした‥‥‥‥。
>>	나는, 컴퓨터 룸을 뒤로했다‥‥‥‥.
L8297	［涼子］：あら宏治クン、どうしたの？
>>	［료코］：어머 코지 군, 무슨 일이야?
L8300	［涼子］：今日は、アレを使う日じゃないわよ。
>>	［료코］：오늘은, 그걸 쓰는 날이 아니야.
L8303	［涼子］：ちょうどいいわ、これから定例のカウンセルを行いましょう。
>>	［료코］：마침 잘됐네, 지금부터 정례 카운슬링을 하자.
L8307	［宏治］：え？　こんな夜にですか？
>>	［코지］：네?　이런 밤에요?
L8310	［涼子］：フフ、何を言っているの？　まだ真っ昼間じゃない。
>>	［료코］：후후, 무슨 소리야?　아직 대낮이잖아.
L8313	あたりを見回してみる。いつの間にか廊下には、少ないながらも人が点在していた。
>>	주위를 둘러본다. 어느새 복도에는, 적으나마 사람들이 드문드문 있었다.
L8316	ここの職員とおぼしい人たちが何人か、傍らを通り過ぎていく。
>>	이곳 직원으로 보이는 사람 몇이, 곁을 지나쳐 간다.
L8319	いきなり昼間だなんて‥‥まるで夢でも見ているかのようだった‥‥。
>>	갑자기 대낮이라니‥‥마치 꿈이라도 꾸고 있는 것 같았다‥‥.
L8322	夢‥‥‥‥？
>>	꿈‥‥‥‥?
L8326	［宏治］：い、いえ‥‥僕の勘違いだったみたいです。
>>	［코지］：아, 아니요‥‥제 착각이었나 봐요.
L8329	［涼子］：そう‥‥じゃあ行きましょう。
>>	［료코］：그래‥‥그럼 가자.
L8332	［涼子］：寝不足？　ぼーっとしているわね。
>>	［료코］：잠이 부족해?　멍하니 있네.
L8336	［宏治］：そんなこと‥‥ありません。
>>	［코지］：그런 건‥‥아니에요.
L8339	静かな昼下がり、という形容がふさわしかった。ときおり、鳥のさえずり声が聞こえてきて、つかの間の平和を満喫させてくれる‥‥。
>>	조용한 오후라는 표현이 어울렸다. 이따금, 새의 지저귐이 들려와, 잠깐의 평화를 만끽하게 해준다‥‥.
L8342	涼子はいつも通り、ペンを片手に僕の方へ向き直った。
>>	료코는 여느 때처럼, 펜을 한 손에 들고 내 쪽으로 돌아앉았다.
L8345	僕は何度、これと同じ場面に出くわしたんだろうか‥‥‥‥。
>>	나는 몇 번이나, 이와 똑같은 장면을 마주쳤던 걸까‥‥‥‥.
L8348	同じ事を何度も繰り返す既視感覚‥‥それは永久に続く苦痛以外の、何物も提供しない。
>>	같은 일을 몇 번이고 반복하는 기시감‥‥그것은 영원히 이어지는 고통 외에, 아무것도 주지 않는다.
L8351	［涼子］：もうすぐね‥‥。
>>	［료코］：이제 곧이네‥‥.
L8355	［宏治］：えっ‥‥何がですか？
>>	［코지］：네‥‥뭐가요?
L8359	［涼子］：宏治クンが、ここを去る時期のこと。
>>	［료코］：코지 군이, 여기를 떠날 시기 말이야.
L8363	［宏治］：‥‥そうですね、あと数日、ですか？
>>	［코지］：‥‥그렇네요, 앞으로 며칠인가요?
L8366	［涼子］：ええ‥‥。
>>	［료코］：그래‥‥.
L8369	涼子は少し遠い目をして、僕を見つめている。いや、僕ではなく、背後にあるもっと別のモノを見ているに違いない。
>>	료코는 조금 아득한 눈으로, 나를 바라보고 있다. 아니, 내가 아니라, 등 뒤에 있는 전혀 다른 무언가를 보고 있는 게 틀림없다.
L8373	［宏治］：涼子先生、１つ聞いていいですか？
>>	［코지］：료코 선생님, 하나 여쭤봐도 될까요?
L8376	［涼子］：なにかしら。
>>	［료코］：뭔데?
L8380	［宏治］：マインド・コントロールって、可能でしょうか？
>>	［코지］：마인드 컨트롤이란 거, 가능할까요?
L8383	［涼子］：‥‥マインド・コントロール？
>>	［료코］：‥‥마인드 컨트롤?
L8386	［涼子］：なぜ、そんなことを聞くの？
>>	［료코］：왜, 그런 걸 묻는 거야?
L8390	［宏治］：先生は以前、既視感覚ということを言われましたよね。
>>	［코지］：선생님은 전에, 기시감이라는 말을 하셨죠.
L8393	［涼子］：ええ‥‥言ったけど、それが？
>>	［료코］：그래‥‥말했는데, 그게 왜?
L8397	［宏治］：僕、考えたんですけど、既視感覚と思わせることはできないだろうかって‥‥。
>>	［코지］：제가 생각해 봤는데요, 기시감이라고 믿게 만들 수는 없을까 하고‥‥.
L8400	［涼子］：既視感覚と、思わせる？
>>	［료코］：기시감이라고, 믿게 만든다?
L8404	［宏治］：ありもしない事を、さもあったかのように思わせる‥‥だけど本人は記憶違いと思ってしまう所に、混乱が生まれる。
>>	［코지］：있지도 않은 일을, 마치 있었던 것처럼 믿게 해요‥‥그런데 본인은 기억 착오라 여기게 되는 데서, 혼란이 생기죠.
L8407	［涼子］：何のことを言っているの‥‥？
>>	［료코］：무슨 소릴 하는 거야‥‥?
L8411	［宏治］：人間の意識というのは、いったい何なんでしょうね‥‥実体が無いから、あるいは全くの虚無なのかも。
>>	［코지］：인간의 의식이란, 대체 뭘까요‥‥실체가 없으니, 어쩌면 완전한 허무일지도.
L8414	［涼子］：人間の意識とは、思念のことよ。
>>	［료코］：인간의 의식이란, 사념을 말하는 거야.
L8418	［宏治］：じゃあ思念って、何ですか？
>>	［코지］：그럼 사념이란, 뭔가요?
L8421	［涼子］：思念とは考え思う事よ。何事かを考えて、思ったところに思念は生まれるわ。
>>	［료코］：사념이란 생각하고 떠올리는 일이야. 무언가를 생각하고, 떠올린 그 자리에 사념이 태어나지.
L8425	［宏治］：思念があるところに、意識があるということですか？
>>	［코지］：사념이 있는 곳에, 의식이 있다는 건가요?
L8428	［涼子］：フフ、どちらが先かは問題じゃないの。でも人間という存在は、ある種の思念体と、考えられるわね。
>>	［료코］：후후, 어느 쪽이 먼저인지는 문제가 아니야. 하지만 인간이라는 존재는, 일종의 사념체라고 볼 수 있겠지.
L8432	［宏治］：思念体‥‥？
>>	［코지］：사념체‥‥?
L8435	［涼子］：そう。考え思う思念こそ意識であって、そこに人間が存在すると考えるのは、必然だと思うわ。
>>	［료코］：그래. 생각하고 떠올리는 사념이야말로 의식이고, 거기에 인간이 존재한다고 보는 건, 필연이라고 생각해.
L8439	［涼子］：宏治クンの言うマインド・コントロールは、その意識のベクトルを自由に変えられるという事ね。
>>	［료코］：코지 군이 말하는 마인드 컨트롤은, 그 의식의 벡터를 자유로이 바꿀 수 있다는 얘기네.
L8443	［宏治］：意識のベクトルを‥‥。
>>	［코지］：의식의 벡터를‥‥.
L8446	［涼子］：そう、もっと俗っぽい言い方をすれば、洗脳ということになるのかしら。
>>	［료코］：그래, 좀 더 속되게 말하면, 세뇌라는 게 되려나.
L8450	［宏治］：洗脳‥‥？
>>	［코지］：세뇌‥‥?
L8453	［涼子］：そうよ。
>>	［료코］：그래.
L8457	［宏治］：人間の意識を自由に操る、ということ？
>>	［코지］：인간의 의식을 자유롭게 조종한다, 는 건가요?
L8460	［涼子］：人間ではないわ。意識を操るの。意識を持つのは、何も人間だけではないでしょう？
>>	［료코］：인간이 아니야. 의식을 조종하는 거야. 의식을 가진 게, 인간만은 아니잖아?
L8464	［宏治］：に、人間だけじゃない‥‥。
>>	［코지］：이, 인간만이 아니라‥‥.
L8467	［涼子］：そう、例えば、蝶とかね‥‥‥‥。
>>	［료코］：그래, 예를 들면, 나비라든가‥‥‥‥.
L8471	［涼子］：さっ、リラックスして、宏治クン‥‥。
>>	［료코］：자, 긴장을 풀고, 코지 군‥‥.
L8475	［宏治］：（どうしたんだ‥‥身体が‥‥。）
>>	［코지］：（어떻게 된 거지‥‥몸이‥‥.）
L8478	［涼子］：これが、最後の催眠療法になるのでしょうね‥‥ゆっくりと目を閉じなさい。
>>	［료코］：이게, 마지막 최면 요법이 되겠지‥‥천천히 눈을 감으렴.
L8482	［涼子］：これからゆっくりと、３つ数えるわ。そのとき宏治クンは‥‥。
>>	［료코］：이제부터 천천히, 셋을 셀 거야. 그때 코지 군은‥‥.
L8485	だんだん、涼子の声が遠くなっていった。僕は消えゆく意識の中で、これからみる夢に思いを馳せていた‥‥‥‥。
>>	점점, 료코의 목소리가 멀어져 갔다. 나는 사라져 가는 의식 속에서, 앞으로 꿀 꿈을 떠올리고 있었다‥‥‥‥.
L8487	では、ひとつ‥‥‥<$0C>ふたつ‥‥‥‥<$0C>みっつ‥‥‥‥。
>>	그럼, 하나‥‥‥<$0C>둘‥‥‥‥<$0C>셋‥‥‥‥.
L8490	ん‥‥‥‥。
>>	음‥‥‥‥.
L8493	‥‥どこなんだ。
>>	‥‥여기가 어디지.
L8496	誰か、いるのか‥‥。
>>	누구, 있는 건가‥‥.
L8499	暖かい人の手を感じる‥‥‥‥。
>>	따뜻한 사람의 손이 느껴진다‥‥‥‥.
L8502	［トレイシー］：お気づきに、なられましたか？
>>	［트레이시］：정신이, 드셨습니까?
L8505	どうやら、私が寝ている間、彼女が看病をしていたらしかった。
>>	아무래도, 내가 자는 동안, 그녀가 간병을 하고 있었던 모양이다.
L8509	［コウジ］：君が‥‥？
>>	［코우지］：자네가‥‥?
L8512	［トレイシー］：ええ。
>>	［트레이시］：네.
L8515	トレイシーはニコッと微笑むと、私の目の前で足を組み替えた。少し焦ってしまう。
>>	트레이시는 생긋 미소 짓더니, 내 눈앞에서 다리를 고쳐 꼬았다. 조금 당황하고 만다.
L8518	彼女は、私の身体にかかっているシーツを整えながら、
>>	그녀는, 내 몸에 덮인 시트를 정돈하면서,
L8521	［トレイシー］：ここは私たちのシップです、安心して下さい。
>>	［트레이시］：여기는 저희 우주선입니다, 안심하세요.
L8525	［コウジ］：私は、いったい‥‥‥‥。
>>	［코우지］：나는, 대체‥‥‥‥.
L8528	［トレイシー］：覚えていないのですか？
>>	［트레이시］：기억나지 않으십니까?
L8532	［コウジ］：残念ながら、記憶がはっきりとしないんだ‥‥。
>>	［코우지］：유감스럽게도, 기억이 또렷하지 않아‥‥.
L8535	これは事実だった。確か私は、例のシップの中でランファと話をしていて‥‥。
>>	이건 사실이었다. 분명 나는, 그 우주선 안에서 란파와 이야기하고 있었고‥‥.
L8538	それからどうしたのか、あまりよく覚えていなかった。
>>	그 뒤에 어떻게 됐는지는, 그다지 잘 기억나지 않았다.
L8542	［コウジ］：そうだ、例のシップはどうなったんだい？
>>	［코우지］：그래, 그 우주선은 어떻게 됐지?
L8545	［トレイシー］：恒星ナーズへ墜ちました‥‥。
>>	［트레이시］：항성 나즈로 떨어졌습니다‥‥.
L8549	［コウジ］：お、墜ちたって‥‥！？
>>	［코우지］：떠, 떨어졌다고‥‥!?
L8552	［トレイシー］：エンジンの、突然の異常出力によって、操舵不能となり、恒星の重力に捕らわれました。
>>	［트레이시］：엔진의, 갑작스러운 이상 출력으로, 조타 불능이 되어, 항성의 중력에 붙잡혔습니다.
L8556	［コウジ］：結局、生存者は‥‥。
>>	［코우지］：결국, 생존자는‥‥.
L8559	［トレイシー］：今となっては、確かめる手だてがありません‥‥。
>>	［트레이시］：이제 와서는, 확인할 방법이 없습니다‥‥.
L8563	［コウジ］：そうだね‥‥。
>>	［코우지］：그렇겠지‥‥.
L8566	［トレイシー］：救難信号の件は一応、定時連絡システムが、まだ生きていたため、という理由になると思います。
>>	［트레이시］：구난 신호 건은 일단, 정시 연락 시스템이 아직 살아 있었기 때문이라는 이유가 될 것 같습니다.
L8570	［コウジ］：定時連絡システムか‥‥‥‥。
>>	［코우지］：정시 연락 시스템인가‥‥‥‥.
L8573	［トレイシー］：幸い、プロフェッサがあなたを見つけられたのは、幸運でした。
>>	［트레이시］：다행히, 프로페서가 당신을 발견한 것은, 행운이었습니다.
L8577	［コウジ］：そうかもね‥‥ランファは？
>>	［코우지］：그럴지도 모르지‥‥란파는?
L8580	［トレイシー］：ランファ‥‥？
>>	［트레이시］：란파‥‥?
L8584	［コウジ］：そうだよ、ランファはどうしたんだ。
>>	［코우지］：그래, 란파는 어떻게 됐지.
L8587	［トレイシー］：ランファは‥‥私と一緒に、ここへ残っていましたけど‥‥。
>>	［트레이시］：란파는‥‥저와 함께, 여기 남아 있었습니다만‥‥.
L8591	［コウジ］：じょ、冗談はよしてくれ。私は、彼女と話しているときに‥‥。
>>	［코우지］：노, 농담은 그만둬. 나는, 그녀와 이야기하던 중에‥‥.
L8594	［トレイシー］：冗談ではありません。彼女は、私と一緒にコンソールオペレートをしていました。
>>	［트레이시］：농담이 아닙니다. 그녀는, 저와 함께 콘솔 조작을 하고 있었습니다.
L8597	トレイシーは、ちょっぴりムッとしたような表情をしたが、眼鏡のフレームをツイと持ち上げると、すぐに元のスマイルへと戻る。
>>	트레이시는, 조금 발끈한 듯한 표정을 지었지만, 안경테를 슥 밀어 올리더니, 곧 원래의 미소로 돌아온다.
L8600	［トレイシー］：夢でも見たのではありませんか？
>>	［트레이시］：꿈이라도 꾸신 게 아닙니까?
L8603	妙だ‥‥‥‥。
>>	이상하다‥‥‥‥.
L8606	夢でもみたのだろうか‥‥‥‥。
>>	꿈이라도 꾼 걸까‥‥‥‥.
L8609	いや、この状況は、以前にも‥‥‥‥‥‥。
>>	아니, 이 상황은, 전에도‥‥‥‥‥‥.
L8612	［トレイシー］：どうなさったんですか？
>>	［트레이시］：무슨 일이십니까?
L8616	［コウジ］：なぁ、トレイシー。
>>	［코우지］：이봐, 트레이시.
L8619	［トレイシー］：なんでしょうか？
>>	［트레이시］：무슨 일이신지요?
L8623	［コウジ］：夢で見ていたことが現実になる事って、あると思うかい？
>>	［코우지］：꿈에서 본 일이 현실이 되는 일이, 있다고 생각하나?
L8626	［トレイシー］：さぁ、どうでしょう。パラ・サイコロジーの観点からですと、それは予知とカテゴライズされると思いますが。
>>	［트레이시］：글쎄요, 어떨까요. 파라사이콜로지의 관점에서는, 그것은 예지로 분류될 것 같습니다만.
L8630	［コウジ］：予知、か‥‥。
>>	［코우지］：예지인가‥‥.
L8633	［トレイシー］：予知をしても、それを忘れている場合があるのです。
>>	［트레이시］：예지를 해도, 그것을 잊고 있는 경우가 있습니다.
L8637	［コウジ］：忘れている場合？
>>	［코우지］：잊고 있는 경우?
L8640	［トレイシー］：予知夢を見ながら、それを忘れてしまうのですが、ある時ふっと、既視感覚となって思い出すことはあり得ますね。
>>	［트레이시］：예지몽을 꾸면서도 그것을 잊어버리지만, 어느 순간 문득 기시감각이 되어 떠올리는 일은 있을 수 있죠.
L8644	［コウジ］：既視感覚‥‥‥‥。
>>	［코우지］：기시감각‥‥‥‥.
L8647	［トレイシー］：既視感覚はほとんどの場合、予知夢に依存するのです。
>>	［트레이시］：기시감각은 대부분의 경우, 예지몽에 의존합니다.
L8651	［コウジ］：じゃあ、今こうして話している事が、夢である確率は？
>>	［코우지］：그럼, 지금 이렇게 이야기하고 있는 게 꿈일 확률은?
L8654	［トレイシー］：それは‥‥数学的確率論であらわされる性質のものでは、無いと思いますが。
>>	［트레이시］：그건‥‥수학적 확률론으로 나타낼 수 있는 성질의 것은 아니라고 생각합니다만.
L8658	［コウジ］：概算で構わないさ。敢えて算出するとすれば、だよ。勘でも構わない。
>>	［코우지］：어림짐작이라도 상관없어. 굳이 산출한다면 말이야. 감이라도 좋아.
L8661	［トレイシー］：可能性、というパラフレーズが許されるのであれば‥‥。
>>	［트레이시］：가능성이라고 바꿔 말하는 것이 허용된다면‥‥.
L8664	［トレイシー］：十分にあり得ると思います。
>>	［트레이시］：충분히 있을 수 있다고 생각합니다.
L8668	［コウジ］：夢と現実を見分ける方法は？
>>	［코우지］：꿈과 현실을 구별하는 방법은?
L8671	［トレイシー］：残念ながら、ありません。
>>	［트레이시］：유감이지만, 없습니다.
L8675	［コウジ］：よくある例の方法は？　ほら、夢の中で頬をつねってみるとか‥‥。
>>	［코우지］：흔히 있는 그 방법은?　왜, 꿈속에서 볼을 꼬집어 본다든가‥‥.
L8678	［トレイシー］：夢の中でも感覚器や知覚が働くことは、証明されています。ですから、その方法は無理だと思います。
>>	［트레이시］：꿈속에서도 감각기와 지각이 작동한다는 것은 증명되어 있습니다. 그러니 그 방법은 무리라고 생각합니다.
L8682	［コウジ］：じゃあ、どうすればいいのさ。
>>	［코우지］：그럼, 어떻게 하면 되는 거야.
L8685	［トレイシー］：ですから、方法が無い、というのがパラ・サイコロジーの統一的見解です。
>>	［트레이시］：그러니까, 방법이 없다, 는 것이 파라사이콜로지의 통일적 견해입니다.
L8689	［コウジ］：じゃあトレイシー、君はいったい何をよりどころにして、日々を生活しているんだい？
>>	［코우지］：그럼 트레이시, 넌 도대체 무엇을 근거로 삼아 나날을 살아가고 있는 거지?
L8692	［トレイシー］：私‥‥ですか？
>>	［트레이시］：저‥‥말입니까?
L8696	［コウジ］：そう。
>>	［코우지］：그래.
