# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L14503	［涼子］：さぁ、生まれたままの姿になりましょうね。
L14826	［涼子］：何言ってるのよ、ヌルヌルじゃない。ほーら、前後に動かしてあげるわ。
>>	［료코］：무슨 소리야, 미끌미끌하잖아.　자아, 앞뒤로 움직여 줄게.
L14829	にゅるぅ、にゅるぅ‥‥。
>>	미끄윽, 미끄윽‥‥.
L14832	［舞］：いや、あぁぁ、ダメよっ、何か変な感じがするぅ！
>>	［마이］：싫어, 아아아, 안 돼, 뭔가 이상한 느낌이 들어!
L14835	［涼子］：奴隷に一緒になってくれなくちゃ、やめない。
>>	［료코］：나랑 같이 노예가 되어 주지 않으면, 안 멈춰.
L14838	［舞］：お姉さん‥‥あっ、だめっ‥‥んもう‥‥あっ！
>>	［마이］：언니‥‥앗, 안 돼‥‥으으‥‥앗!
L14841	［涼子］：ンフフ‥‥奴隷になると言いなさい！
>>	［료코］：응후후‥‥노예가 되겠다고 말해!
L14844	［舞］：んもう‥‥ダメ‥‥なんか、変な感じ‥‥。
>>	［마이］：으으‥‥안 돼‥‥뭔가, 이상한 느낌‥‥.
L14847	［涼子］：フフ、イきそうなのね‥‥ほらっ、ほらっ。
>>	［료코］：후후, 갈 것 같네‥‥자, 자.
L14850	ぶちゅぅ、ぶちゅっ、ぶちゅっ‥‥。
>>	철퍼억, 철퍽, 철퍽‥‥.
L14853	［涼子］：アソコがヒクヒクしてるわよぉ‥‥ほら、奴隷になるって言っちゃいなさいよ！
>>	［료코］：거기가 펄떡이고 있어‥‥자, 노예가 되겠다고 말해 버려!
L14856	［舞］：なる‥‥なるから、や、ヤメ‥‥あぁぁぁぁ！！
>>	［마이］：될게‥‥될 테니까, 그, 그만‥‥아아아아아!!
L14859	［涼子］：イキなさい、舞！
>>	［료코］：가버려, 마이!
L14862	［舞］：だめぇぇ、イっちゃうぅぅぅぅぅぅっっっ！！
>>	［마이］：안 돼애애, 가버려어어어어어엇엇엇!!
L14866	［涼子］：あぁぁ、宏治様、私の口に出してっ！
>>	［료코］：아아아, 코지 님, 내 입에 싸 줘!
L14870	［コウジ］：くっ‥‥。
>>	［코우지］：윽‥‥.
L14873	ドピュドピュドピュ‥‥どぴゅっ、どぴゅっ！
>>	도퓨도퓨도퓨‥‥도퓨읏, 도퓨읏!
L14876	［涼子］：んぐっ‥‥ゴクゴクッ‥‥ゴクッ、ゴクッ。
>>	［료코］：윽‥‥꿀꺽꿀꺽‥‥꿀꺽, 꿀꺽.
L14879	どくっ、どくっ、どくっ‥‥。
>>	울컥, 울컥, 울컥‥‥.
L14882	［涼子］：んっ‥‥んぁぁ‥‥凄くたくさん出てる‥‥。
>>	［료코］：음‥‥응아아‥‥엄청 많이 나오고 있어‥‥.
L14885	［涼子］：フフ、舞にも少しあげるわ‥‥んちゅっ。
>>	［료코］：후후, 마이한테도 조금 줄게‥‥응츄읏.
L14888	［舞］：んっ‥‥んぐ、ゴクッ。
>>	［마이］：음‥‥윽, 꿀꺽.
L14892	［涼子］：す、すごいわ‥‥宏治様のが、ビクビクしてるぅ‥‥。
>>	［료코］：지, 굉장해‥‥코지 님 것이, 펄떡이고 있어‥‥.
L14895	［舞］：‥‥涼子姉さん‥‥変なの‥‥んふぅぅぅ‥‥。
>>	［마이］：‥‥료코 언니‥‥이상해‥‥응후우우‥‥.
L14898	［涼子］：ンフフ、どうしたの？
>>	［료코］：응후후, 왜 그래?
L14901	［舞］：な、何か‥‥熱いものが‥‥あっ、私の膣内に‥‥まだあるみたい‥‥。
>>	［마이］：무, 뭔가‥‥뜨거운 게‥‥앗, 내 질 안에‥‥아직 있는 것 같아‥‥.
L14904	［涼子］：それでいいのよ‥‥後始末してあげる‥‥。
>>	［료코］：그걸로 괜찮아‥‥뒷정리해 줄게‥‥.
L14907	［涼子］：あらあら、舞の膣内にもちょっと射精しちゃったみたいね。精液を垂れ流しちゃって‥‥んぐんぐ‥‥ごくっ。
>>	［료코］：어머어머, 마이의 질 안에도 조금 사정한 것 같네. 정액을 흘려버리고‥‥응그응그‥‥꿀꺽.
L14910	［舞］：あっ‥‥涼子姉さん‥‥んっ‥‥。
>>	［마이］：앗‥‥료코 언니‥‥읍‥‥.
L14913	［涼子］：綺麗になったわ‥‥。
>>	［료코］：깨끗해졌어‥‥.
L14916	［涼子］：どうしたのよ、舞チャン、急に服なんて着だして‥‥。
>>	［료코］：왜 그래, 마이짱, 갑자기 옷은 왜 입고‥‥.
L14919	［舞］：涼子姉さん‥‥。
>>	［마이］：료코 언니‥‥.
L14922	［涼子］：ん？　どうしたの、可愛い妹よ。
>>	［료코］：응?　왜 그래, 귀여운 내 동생.
L14925	［涼子］：アタタ‥‥感受性の強い年頃ねぇ‥‥。
>>	［료코］：아야야‥‥감수성이 예민한 나이네‥‥.
L14929	［コウジ］：鼻血が出ているぞ、ほらこれを。
>>	［코우지］：코피가 나는군, 자 이걸.
L14933	［涼子］：感激だわ、宏治様、優しいんですね。
>>	［료코］：감격이에요, 코지 님, 다정하시네요.
L14937	［コウジ］：セックスの後始末をしたティッシュだ。
>>	［코우지］：섹스 뒤처리한 티슈다.
L14940	［涼子］：ペッペッペッ。
>>	［료코］：퉤, 퉤, 퉤.
L14944	［コウジ］：とにかく、精神的なシンクロは、十分可能レベルにまで引き上げられた。後は‥‥。
>>	［코우지］：어쨌든, 정신적 싱크로는 충분히 가능한 수준까지 끌어올렸다. 남은 건‥‥.
L14947	［涼子］：実際に？
>>	［료코］：실제로요?
L14951	［コウジ］：そうだな‥‥。
>>	［코우지］：그래야겠지‥‥.
L14954	［涼子］：舞は、どうするんですか？
>>	［료코］：마이는, 어떻게 하실 건가요?
L14958	［コウジ］：必要に決まっている。
>>	［코우지］：당연히 필요하다.
L14961	［涼子］：でも、ちょっと涙をためて出ていっちゃいましたけど‥‥。
>>	［료코］：하지만, 눈물을 글썽이며 나가버렸는데요‥‥.
L14965	［コウジ］：だったら、さっさと追わんか！
>>	［코우지］：그럼, 당장 쫓아가지 못하겠나!
L14968	［涼子］：は、はい～。
>>	［료코］：네, 넵～.
L14972	［コウジ］：フン、私もこうしている場合ではない。
>>	［코우지］：흥, 나도 이러고 있을 때가 아니지.
L14976	［コウジ］：私のこれからすることは‥‥‥‥。
>>	［코우지］：내가 앞으로 할 일은‥‥‥.
L14979	　◆ コンピュータ・ルームへ行き、ジェネレータの調整だ。
>>	　◆ 컴퓨터 룸으로 가서, 제너레이터를 조정한다.
L14982	　◆ 舞を捜しに行こう。
>>	　◆ 마이를 찾으러 가자.
L14986	［コウジ］：コンピュータ・ルームへ行き、ジェネレータの調整だ。
>>	［코우지］：컴퓨터 룸으로 가서, 제너레이터를 조정한다.
L14989	ジェネレータの調整こそが、もっとも優先されてしかるべき行為だろう。
>>	제너레이터 조정이야말로, 무엇보다 우선되어야 할 일이겠지.
L14992	この脆弱な肉体に宿っていた、貧弱な精神の持ち主とも、コンタクトを取りたいことだしな‥‥。
>>	이 취약한 육체에 깃들어 있던, 빈약한 정신의 주인과도 접촉하고 싶으니 말이지‥‥.
L14996	［コウジ］：舞を捜しに行こう。
>>	［코우지］：마이를 찾으러 가자.
L14999	彼女無くして、ジェネレータの存在はあり得ない。精神の同調も不都合はないようだ。
>>	그녀 없이는, 제너레이터가 존재할 수 없다. 정신 동조에도 문제는 없는 듯하다.
L15002	涼子１人に任せておくのは、いささか心許ないからな‥‥。
>>	료코 혼자에게 맡겨두는 건, 다소 미덥지 못하니까‥‥.
L15005	しかし、いったいどこに‥‥‥‥。
>>	하지만, 대체 어디에‥‥‥.
L15008	そうだ、確か最初に会ったとき、彼女は屋上が好きと言っていなかったか‥‥。
>>	그래, 분명 처음 만났을 때, 그녀는 옥상을 좋아한다고 하지 않았나‥‥.
L15011	うむ、確かめてみる価値はあるな‥‥。
>>	음, 확인해 볼 가치는 있겠군‥‥.
L15014	［沙夜香］：あら、あなた‥‥。
>>	［사야카］：어머, 당신‥‥.
L15017	［沙夜香］：さっきは、涼子先生に連れて行かれて、特別病棟にでも入れられたのかと思ったけど。
>>	［사야카］：아까는, 료코 선생님한테 끌려가서, 특별 병동에라도 갇힌 줄 알았는데.
L15021	［コウジ］：特別病棟？
>>	［코우지］：특별 병동?
L15024	［沙夜香］：フフ、ちょっと、イっちゃってる人用の病棟よ。
>>	［사야카］：후후, 좀, 맛이 간 사람용 병동 말이야.
L15027	目の前の失礼な女は、私がイっちゃっていると暗喩しているらしい。私は己のことを、こやつにわからせねばならない義務感を感じた。
>>	눈앞의 무례한 여자는, 내가 맛이 갔다고 은유하는 모양이다. 나는 내가 어떤 존재인지, 이자에게 알려주어야 한다는 의무감을 느꼈다.
L15031	［コウジ］：フン、我がゆくは、星の大海のみ‥‥。
>>	［코우지］：흥, 내가 나아가는 곳은, 별들의 대해뿐‥‥.
L15034	［沙夜香］：やっぱりイっちゃってるわ、あなた。フフ‥‥。
>>	［사야카］：역시 맛이 갔네, 당신. 후후‥‥.
L15037	沙夜香は肩をしゃくりあげて、クスクス笑っている。唐突に顔をあげると、
>>	사야카는 어깨를 들썩이며, 킥킥 웃고 있다. 갑자기 얼굴을 들더니,
L15040	［沙夜香］：でも、おかしくなって、逆に頭が良くなっちゃたようね。
>>	［사야카］：그런데, 이상해지더니, 오히려 머리가 좋아진 것 같네.
L15044	［コウジ］：フン、この惑星のヤツらは、会う度に頭がおかしいとか言うのが、習慣らしいな。
>>	［코우지］：흥, 이 행성 놈들은, 만날 때마다 머리가 이상하다고 하는 게, 습관인 모양이군.
L15047	［沙夜香］：フフ、マイナスかけるマイナスはプラスになるということよ。
>>	［사야카］：후후, 마이너스 곱하기 마이너스는 플러스가 된다는 거지.
L15051	［コウジ］：‥‥つまりこの宿主の宏治とやらは元々おかしくて、私が入ったことにより天才的となった‥‥。
>>	［코우지］：‥‥즉 이 숙주인 코지라는 자는 원래 이상했고, 내가 들어와서 천재적이 되었다는 건가‥‥.
L15054	［沙夜香］：そういうところ、やっぱり普通じゃないわね。
>>	［사야카］：그런 점이, 역시 평범하지 않다니까.
L15057	［沙夜香］：それよりも、どう？
>>	［사야카］：그건 그렇고, 어때?
L15060	私ににじりよってくると、沙夜香は私に小さく耳打ちするような声で言った。
>>	내게 바싹 다가서더니, 사야카는 귓속말하듯 작은 목소리로 말했다.
L15064	［コウジ］：どう、とは？
>>	［코우지］：어때, 라니?
L15067	［沙夜香］：さっきの話の続きよ。あのマシンのこと、あなた詳しいんでしょ？
>>	［사야카］：아까 하던 얘기 계속이야. 그 머신에 대해, 당신 잘 알잖아?
L15071	［コウジ］：フン、聞いて驚け、私も同コンセプトのマシンを、製作した事がある。
>>	［코우지］：흥, 잘 듣고 놀라라. 나도 같은 콘셉트의 머신을 제작한 적이 있다.
L15074	［沙夜香］：そ、それって本当！？
>>	［사야카］：그, 그거 정말이야!?
L15078	［コウジ］：別に信じて貰う必要はないがな‥‥。
>>	［코우지］：딱히 믿어 달랄 필요는 없다만‥‥.
L15081	［沙夜香］：じゃあ、信じない。
>>	［사야카］：그럼, 안 믿어.
L15085	［コウジ］：まて、本当だぞ。
>>	［코우지］：기다려, 진짜다.
L15088	［沙夜香］：信じられないわ。
>>	［사야카］：못 믿겠는걸.
L15092	［コウジ］：本当だったら本当だ。
>>	［코우지］：진짜라면 진짜다.
L15095	［沙夜香］：ウソ、信じない。
>>	［사야카］：거짓말, 안 믿어.
L15099	［コウジ］：貴様、私のことが信じられないか！？
>>	［코우지］：네놈, 나를 못 믿겠다는 거냐!?
L15102	［沙夜香］：信じてもらう必要がないって、今言ったじゃない。
>>	［사야카］：믿어 달랄 필요 없다고, 방금 말했잖아.
L15106	［コウジ］：うむ、そういえばそうだ。じゃあ失礼する。
>>	［코우지］：음, 그러고 보니 그렇군. 그럼 실례하겠다.
L15109	きびすを返しかけた後方から、沙夜香の焦りの声がかかってくる。いちいち非合理的な行動をする女だった。
>>	발길을 돌리려던 내 등 뒤에서, 사야카의 초조한 목소리가 날아온다. 하나하나 비합리적인 행동을 하는 여자였다.
L15112	［沙夜香］：ちょ、ちょっと待ってよ。
>>	［사야카］：자, 잠깐 기다려 봐.
L15115	［沙夜香］：話がまだ済んでいないわ。
>>	［사야카］：얘기가 아직 안 끝났어.
L15119	［コウジ］：話すことなど無いがな。
>>	［코우지］：할 얘기 따위 없다만.
L15122	［沙夜香］：あるわ、例のドリームプログラムのことよ。
>>	［사야카］：있어, 그 ONEIROS 프로그램 말이야.
L15126	［コウジ］：ほぉ、なぜその事を知っている？
>>	［코우지］：호오, 어째서 그걸 알고 있지?
L15129	途端に押し黙る沙夜香を見ながら、私は侮蔑にも似た声音で彼女に言い放った。
>>	갑자기 입을 다무는 사야카를 보며, 나는 경멸에 가까운 목소리로 그녀에게 내뱉었다.
L15133	［コウジ］：フン、奸計をめぐらす小悪党か。貴様と手を組むなどあり得ないことだ。
>>	［코우지］：흥, 간계나 꾸미는 하찮은 악당인가. 네놈과 손잡는 일 따위 있을 수 없다.
L15136	［沙夜香］：だったら、例のコンピュータルームへは、一歩も立ち入らせないわよ。
>>	［사야카］：그렇다면, 그 컴퓨터 룸엔 한 발짝도 들여놓지 못하게 할 거야.
L15139	［沙夜香］：でも、私の言うとおりにしてくれれば‥‥。
>>	［사야카］：하지만, 내가 말하는 대로 해 준다면‥‥.
L15143	［コウジ］：ことわる。
>>	［코우지］：거절한다.
L15146	［沙夜香］：なんでよっ。
>>	［사야카］：어째서야.
L15150	［コウジ］：フン、じゃあ教えてやろう。貴様のことが嫌いだからだ。
>>	［코우지］：흥, 그럼 알려 주지. 네놈이 싫기 때문이다.
L15154	［コウジ］：私の奴隷になるというのなら、考えてやってもいいがな。その時は私のところへ来い。
>>	［코우지］：내 노예가 되겠다면, 생각해 줄 수도 있다만. 그때는 내게로 와라.
L15157	［沙夜香］：コンピュータ・ルームへは、誰も入れないわよっ！
>>	［사야카］：컴퓨터 룸엔, 아무도 들여보내지 않을 거야!
L15160	ウソでも、話を聞くくらいは言った方が良かったか‥‥。
>>	거짓말이라도, 얘기 정도는 들어주겠다고 해 둘 걸 그랬나‥‥.
L15164	［コウジ］：フン、恒星の影に入ったか‥‥。
>>	［코우지］：흥, 항성의 그늘에 들어섰나‥‥.
L15168	［コウジ］：ここにいても身体が冷えるだけだな‥‥。
>>	［코우지］：여기 있어 봐야 몸만 식을 뿐이군‥‥.
