# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L29334	［トレイシー］：そ、そんな‥‥‥‥くぅぅぅ！
>>	［트레이시］：심정, 헤아리고 있어요.
L29509	［コウジ］：僕だけが、おめおめと生き残るとはな‥‥笑止もいいところだ。
>>	［코우지］：나만 뻔뻔하게 살아남다니‥‥가소롭기 짝이 없군.
L29512	［トレイシー］：そんなこと言ってはいけません。生き残ったことを、神に感謝しなくては‥‥。
>>	［트레이시］：그런 말씀 하시면 안 돼요. 살아남은 걸 신께 감사드려야죠‥‥.
L29516	［コウジ］：フン、神だって？　神がいるなら、なぜ他のクルーを助けない。
>>	［코우지］：흥, 신이라고?　신이 있다면 왜 다른 크루는 구하지 않았지.
L29519	［トレイシー］：それは‥‥。
>>	［트레이시］：그건‥‥.
L29523	［コウジ］：僕だけの神か‥‥そんな都合の良い慈悲など、僕は欲しくはない。
>>	［코우지］：나만의 신인가‥‥그런 입맛에 맞는 자비 따위, 나는 원하지 않아.
L29527	［トレイシー］：コウジさん‥‥。
>>	［트레이시］：코우지 씨‥‥.
L29530	［トレイシー］：この頃から、もう‥‥？
>>	［트레이시］：이 무렵부터 이미‥‥?
L29533	［トレイシー］：そうね、そうかもしれない‥‥。
>>	［트레이시］：그래, 그럴지도 모르겠네‥‥.
L29537	［トレイシー］：私が、コウジ様という、一見して危険な匂いを放つ男性に惹かれ始めたのは‥‥。
>>	［트레이시］：내가 코우지 님이라는, 한눈에 위험한 냄새를 풍기는 남자에게 끌리기 시작한 건‥‥.
L29541	［トレイシー］：私の昔の恋人の宏治と、外観が似ていたのも遠因かもしれません‥‥。
>>	［트레이시］：내 옛 연인인 코지와 생김새가 닮았던 것도 간접적인 원인일지도 몰라‥‥.
L29544	［トレイシー］：私は、彼に惹かれていく自分を、抑えられなくなってきました‥‥。
>>	［트레이시］：나는, 그에게 점점 끌리는 나 자신을 억누를 수 없게 됐어‥‥.
L29547	［トレイシー］：彼と関係を持つのに、それほど時間はかからなかった気がします‥‥。
>>	［트레이시］：그와 관계를 갖기까지 그리 오래 걸리지 않았던 것 같아‥‥.
L29550	［トレイシー］：私は彼を励ますために‥‥。
>>	［트레이시］：나는 그를 격려하기 위해‥‥.
L29553	［トレイシー］：彼は私の、寂しさを埋めるために‥‥。
>>	［트레이시］：그는 내 외로움을 메우기 위해‥‥.
L29556	［トレイシー］：お互いに、求めあったのは、自然だったかもしれない‥‥。
>>	［트레이시］：서로를 원했던 건 자연스러운 일이었는지도 몰라‥‥.
L29559	［トレイシー］：どうしたの？　そんなに見つめられたら、恥ずかしいわ。
>>	［트레이시］：왜 그래?　그렇게 쳐다보면 부끄럽잖아.
L29563	［コウジ］：‥‥なぁ、トレイシー。
>>	［코우지］：‥‥있잖아, 트레이시.
L29566	［トレイシー］：なにかしら？
>>	［트레이시］：뭔데?
L29570	［コウジ］：こうして付き合うようになって、何回目かな‥‥？
>>	［코우지］：이렇게 사귀게 되고 나서, 몇 번째지‥‥?
L29573	［トレイシー］：何回目って‥‥？
>>	［트레이시］：몇 번째라니‥‥?
L29577	［コウジ］：セックスをしたのは、何回目かと聞いたんだ。
>>	［코우지］：섹스를 한 게 몇 번째냐고 물은 거야.
L29580	［トレイシー］：直接的ね、ずいぶんと。
>>	［트레이시］：직설적이네, 꽤나.
L29584	［コウジ］：君がそうさせる。
>>	［코우지］：네가 그렇게 만드는 거야.
L29587	［トレイシー］：３回目、くらいじゃないかしら‥‥。
>>	［트레이시］：３번째쯤 아닐까‥‥.
L29590	［トレイシー］：なぜ？
>>	［트레이시］：왜?
L29594	［コウジ］：フン、そうだな‥‥。
>>	［코우지］：흥, 그렇군‥‥.
L29598	［コウジ］：トレイシー、君は本当に素晴らしい身体をしている。
>>	［코우지］：트레이시, 너는 정말 훌륭한 몸을 가졌어.
L29601	［トレイシー］：フフ、お世辞を言ったって、何もでません。
>>	［트레이시］：후후, 빈말을 해도 아무것도 안 나와.
L29605	［コウジ］：お世辞じゃないさ。特にこれさ‥‥。
>>	［코우지］：빈말이 아니야. 특히 이거‥‥.
L29608	ぷにゅっ。
>>	몰캉.
L29612	［トレイシー］：あン‥‥フフ、コウジさんって、本当にオッパイが好きなのね。
>>	［트레이시］：앙‥‥후후, 코우지 씨는 정말 가슴을 좋아하네.
L29616	［コウジ］：柔らかくて、張りがあって、弾力がある。それに‥‥。
>>	［코우지］：부드럽고, 탱탱하고, 탄력이 있어. 게다가‥‥.
L29619	きゅっ。
>>	꾹.
L29622	［トレイシー］：あっ‥‥ち、乳首を‥‥痛っ、つかまないで‥‥。
>>	［트레이시］：앗‥‥저, 젖꼭지를‥‥아파, 잡지 마‥‥.
L29626	［コウジ］：乳首も大きくて、しこりやすい‥‥。
>>	［코우지］：젖꼭지도 크고, 잘 서는군‥‥.
L29629	［トレイシー］：あぁぁぁ‥‥そ、そんなにしごいたら‥‥んっ。
>>	［트레이시］：아아아아‥‥그, 그렇게 훑으면‥‥응.
L29633	［コウジ］：可愛いよ、トレイシー。
>>	［코우지］：귀엽구나, 트레이시.
L29636	［トレイシー］：だけど‥‥。
>>	［트레이시］：하지만‥‥.
L29640	［コウジ］：だけど、なんだい？
>>	［코우지］：하지만, 뭐지?
L29643	［トレイシー］：だけど、昔はよく友達にバカにされたわ‥‥。
>>	［트레이시］：하지만, 예전엔 친구들한테 자주 놀림받았어‥‥.
L29647	［コウジ］：なんて？
>>	［코우지］：뭐라고?
L29650	［トレイシー］：その、牛女とか、乳女とか‥‥‥‥。
>>	［트레이시］：그, 소 여자라느니, 젖 여자라느니‥‥‥‥.
L29654	［コウジ］：それは、君の本当の素晴らしさがわかっていないからさ。
>>	［코우지］：그건 네가 정말로 얼마나 멋진지 모르기 때문이야.
L29657	［トレイシー］：本当に？
>>	［트레이시］：정말로?
L29661	［コウジ］：あぁ、もう少し、乳首をしごかせてくれよ。
>>	［코우지］：그래, 조금만 더 젖꼭지를 훑게 해 줘.
L29664	［トレイシー］：いいわ、あなただったら‥‥んくっ‥‥。
>>	［트레이시］：좋아, 당신이라면‥‥응윽‥‥.
L29668	［コウジ］：ずいぶん、大きくなってきたな‥‥。
>>	［코우지］：꽤 커졌군‥‥.
L29671	［トレイシー］：あなたが、いつもそうして揉んだり、しごいたりするからだわ‥‥。
>>	［트레이시］：당신이 늘 그렇게 주무르고 훑어대니까 그렇지‥‥.
L29675	［コウジ］：フン、そうかもしれないな‥‥。
>>	［코우지］：흥, 그럴지도 모르겠군‥‥.
L29679	［コウジ］：お前には、恋人がいるそうじゃないか。
>>	［코우지］：너한테는 연인이 있다더군.
L29682	［トレイシー］：えっ‥‥？
>>	［트레이시］：엣‥‥?
L29686	［コウジ］：いると、聞いたが‥‥？
>>	［코우지］：있다고 들었는데‥‥?
L29690	［コウジ］：違うのか？
>>	［코우지］：아닌가?
L29693	［トレイシー］：ごめんなさい、隠すつもりはなかったのだけど‥‥でも、もうとっくに切れているの。
>>	［트레이시］：미안해, 숨길 생각은 없었는데‥‥하지만, 벌써 오래전에 끝났어.
L29697	［コウジ］：なぜ謝る必要がある。
>>	［코우지］：사과할 필요가 어디 있어.
L29700	［トレイシー］：だって‥‥。
>>	［트레이시］：그치만‥‥.
L29704	［コウジ］：なぁ、トレイシー‥‥。
>>	［코우지］：있잖아, 트레이시‥‥.
L29707	［トレイシー］：な、なに？
>>	［트레이시］：뭐, 뭔데?
L29711	［コウジ］：その恋人、僕と同じ名前だそうだね。
>>	［코우지］：그 연인, 나와 같은 이름이라던데.
L29715	［コウジ］：その恋人と、うまくいっていたのか？
>>	［코우지］：그 연인과는 잘 지냈나?
L29718	［トレイシー］：も、もうやめましょうよ、その話は‥‥。
>>	［트레이시］：이, 이제 그만하자, 그 얘기는‥‥.
L29722	［コウジ］：トレイシー、僕にはわかるよ。
>>	［코우지］：트레이시, 나는 알아.
L29726	［コウジ］：君は、満たされていない。
>>	［코우지］：너는 채워지지 않았어.
L29729	［トレイシー］：そ、そんなことは‥‥ないわ。
>>	［트레이시］：그, 그런 일은‥‥없어.
L29733	［コウジ］：いや、満たされていない。自分を偽る必要はないんだ。
>>	［코우지］：아니, 채워지지 않았어. 자신을 속일 필요는 없어.
L29737	［コウジ］：逆に聞かせてもらうが、なぜこうして、僕との関係を持つのだ？
>>	［코우지］：반대로 묻겠는데, 왜 이렇게 나와 관계를 갖는 거지?
L29740	［トレイシー］：そ、それは‥‥‥‥。
>>	［트레이시］：그, 그건‥‥‥‥.
L29744	［コウジ］：トレイシー、君は満たされていない。そしてその満たされぬ部分を、僕によって満たそうとしている。
>>	［코우지］：트레이시, 너는 채워지지 않았어. 그리고 그 채워지지 않은 부분을 나로 채우려 하고 있지.
L29747	［トレイシー］：ち、違う‥‥違うわ。
>>	［트레이시］：아, 아니야‥‥아니야.
L29751	［コウジ］：いや、そうさ。しかし、僕はそのことを批判しているのではない。
>>	［코우지］：아니, 그래. 하지만 나는 그걸 비난하는 게 아니야.
L29755	［コウジ］：誰しも、心の中に１つや２つは、満たされぬ想いを抱いているものだ。
>>	［코우지］：누구나 마음속에 １가지나 ２가지쯤은 채워지지 않은 바람을 품고 있는 법이지.
L29758	［トレイシー］：そうかもしれないわ‥‥。
>>	［트레이시］：그럴지도 모르겠네‥‥.
L29762	［コウジ］：恐らく、君の恋人とやらは、君の事を知ってはいない。
>>	［코우지］：아마 네 연인이라는 자는 너를 알지 못해.
L29765	［トレイシー］：ど、どういうこと？
>>	［트레이시］：무, 무슨 뜻이야?
L29769	［コウジ］：君の心の中は、恋人とやらでは満たされぬ欲望で溢れている。
>>	［코우지］：네 마음속은, 연인 따위로는 채워지지 않는 욕망으로 넘치고 있어.
L29773	［コウジ］：トレイシー‥‥。
>>	［코우지］：트레이시‥‥.
L29776	ぎゅぅぅっ。
>>	꽈아악.
L29779	［トレイシー］：あっ‥‥い、痛っ‥‥。
>>	［트레이시］：앗‥‥아, 아파‥‥.
L29782	［トレイシー］：胸をそんなに、キツく揉まないで‥‥。
>>	［트레이시］：가슴을 그렇게 세게 주무르지 마‥‥.
L29786	［コウジ］：僕なら、君のその欲望を解放してあげられる。
>>	［코우지］：나라면 네 그 욕망을 해방시켜 줄 수 있어.
L29790	［コウジ］：いや、僕しか、君の欲望は解放できない。
>>	［코우지］：아니, 나밖에 네 욕망을 해방시킬 수 없어.
L29794	［トレイシー］：な、何を言っているの‥‥コウジさん、変よ。
>>	［트레이시］：무, 무슨 말을 하는 거야‥‥코우지 씨, 이상해.
L29798	［コウジ］：フフン、まぁいいさ。
>>	［코우지］：후훗, 뭐 됐어.
L29801	［トレイシー］：おかしな人‥‥。
>>	［트레이시］：이상한 사람‥‥.
L29805	［コウジ］：フッ、今日は変わったプレイをしてみないか？
>>	［코우지］：훗, 오늘은 색다른 플레이를 해 보지 않겠어?
L29808	［トレイシー］：か、変わった‥‥？
>>	［트레이시］：새, 색다른‥‥?
L29812	［コウジ］：トレイシー、僕の前で自慰行為をしてくれ。
>>	［코우지］：트레이시, 내 앞에서 자위를 해 줘.
L29815	［トレイシー］：えぇ！？
>>	［트레이시］：에엣!?
L29819	［コウジ］：僕の見ている前で、君の恥ずかしい姿を見てみたい。
>>	［코우지］：내가 보는 앞에서, 네 부끄러운 모습을 보고 싶어.
L29822	［トレイシー］：そ、そんな‥‥イヤです。恥ずかしい‥‥。
>>	［트레이시］：그, 그런‥‥싫어. 부끄러워‥‥.
L29826	［コウジ］：何を恥ずかしがる必要がある。僕と君とは、もう他人ではない。
>>	［코우지］：부끄러워할 필요가 어디 있어. 나와 너는 이제 남이 아니야.
L29829	［トレイシー］：そ、それはそうだけど‥‥あからさまに、その‥‥行為を見られるなんて‥‥。
>>	［트레이시］：그, 그건 그렇지만‥‥대놓고, 그‥‥그런 행위를 보이다니‥‥.
L29833	［コウジ］：君の全てが見たいんだ。恥ずかしがる必要なんか、ない。
>>	［코우지］：네 전부가 보고 싶어. 부끄러워할 필요 따윈 없어.
L29837	［トレイシー］：こ、コウジ‥‥。
>>	［트레이시］：코, 코우지‥‥.
L29841	［コウジ］：君の綺麗な身体を、この僕に、見せてくれないか？　見てみたいんだ。
>>	［코우지］：네 아름다운 몸을 이 나에게 보여 주지 않겠어?　보고 싶어.
L29845	［コウジ］：ダメかい？
>>	［코우지］：안 되겠어?
L29848	［トレイシー］：わかったわ、そこまで言うなら‥‥でも、うまく出来るか、わからないわ。
>>	［트레이시］：알았어, 그렇게까지 말한다면‥‥하지만, 잘할 수 있을지 모르겠어.
L29852	［コウジ］：大丈夫だ。
>>	［코우지］：괜찮아.
L29855	［トレイシー］：あっ‥‥。
>>	［트레이시］：앗‥‥.
L29859	［コウジ］：トレイシー、君は素敵だ。君の全てを見たい‥‥。
>>	［코우지］：트레이시, 너는 멋져. 네 전부를 보고 싶어‥‥.
L29863	［トレイシー］：あぁぁぁ‥‥コウジぃ‥‥‥‥。
>>	［트레이시］：아아아아‥‥코우지이‥‥‥‥.
L29867	［トレイシー］：（コウジが見ている‥‥見ている前で、自慰をするなんて‥‥。）
>>	［트레이시］：（코우지가 보고 있어‥‥보는 앞에서 자위를 하다니‥‥.）
L29870	［トレイシー］：（死ぬほど、恥ずかしい‥‥。）
>>	［트레이시］：（죽을 만큼 부끄러워‥‥.）
L29873	［トレイシー］：（けど、彼が喜んでくれるなら‥‥。）
>>	［트레이시］：（하지만, 그가 기뻐해 준다면‥‥.）
L29876	［トレイシー］：（私のことを、より愛してくれるなら‥‥。）
>>	［트레이시］：（나를, 더 사랑해 준다면‥‥.）
L29880	［トレイシー］：（あぁぁぁ、コウジぃ‥‥‥‥。）
>>	［트레이시］：（아아, 코우지이‥‥‥‥.）
L29884	［コウジ］：服を脱いでみてくれないか？
>>	［코우지］：옷을 벗어 주지 않겠어?
L29887	［トレイシー］：あぁぁ、わかったわ‥‥。
>>	［트레이시］：아아, 알았어‥‥.
L29890	［トレイシー］：‥‥どう？
>>	［트레이시］：‥‥어때?
L29894	［コウジ］：素敵だ‥‥胸を揉んでみてくれ。
>>	［코우지］：멋져‥‥가슴을 주물러 봐.
L29897	［トレイシー］：はい‥‥。
>>	［트레이시］：응‥‥.
L29900	ふにゃっ。
>>	물컹.
L29903	［トレイシー］：（あぁぁ、この大きな胸‥‥。）
>>	［트레이시］：（아아, 이 커다란 가슴‥‥.）
L29906	［トレイシー］：（同性からは羨望と妬みを‥‥。）
>>	［트레이시］：（동성에게선 선망과 질투를‥‥.）
L29909	［トレイシー］：（異性からは好奇と羞恥の視線を受けてきた‥‥。）
>>	［트레이시］：（이성에게선 호기심과 수치의 시선을 받아 왔어‥‥.）
L29912	［トレイシー］：（だけど‥‥‥‥。）
>>	［트레이시］：（하지만‥‥‥‥.）
L29916	［トレイシー］：（コウジだけは、こんなに大きな胸に、深い愛情を抱いてくれたわ‥‥。）
>>	［트레이시］：（코우지만은, 이렇게 큰 가슴에, 깊은 애정을 품어 줬어‥‥.）
L29920	［トレイシー］：（あぁぁ、この胸は‥‥コウジのモノ‥‥。）
>>	［트레이시］：（아아, 이 가슴은‥‥코우지의 것‥‥.）
L29923	［トレイシー］：（この乳房も、この大きな乳首も、そして‥‥そして‥‥。）
>>	［트레이시］：（이 젖가슴도, 이 커다란 젖꼭지도, 그리고‥‥그리고‥‥.）
L29926	［トレイシー］：（そして、恥ずかしくて死にたいくらいの秘密‥‥。）
>>	［트레이시］：（그리고, 부끄러워 죽고 싶을 만큼의 비밀‥‥.）
L29929	［トレイシー］：（受胎もしていないのに、ときどき乳房から出てしまう母乳も‥‥‥‥。）
>>	［트레이시］：（임신도 안 했는데, 가끔 젖가슴에서 나와 버리는 모유도‥‥‥‥.）
L29932	［トレイシー］：（‥‥‥‥‥‥。）
>>	［트레이시］：（‥‥‥‥‥‥.）
L29936	［トレイシー］：（みんな、みんな、コウジのモノ‥‥‥‥。）
>>	［트레이시］：（전부, 전부, 코우지의 것‥‥‥‥.）
L29940	［コウジ］：素敵だよ、トレイシー‥‥。
>>	［코우지］：멋져, 트레이시‥‥.
L29943	［トレイシー］：あぁぁ、もっともっと、私を愛して‥‥お願い‥‥。
>>	［트레이시］：아아, 더 더, 나를 사랑해 줘‥‥부탁이야‥‥.
L29947	［コウジ］：あぁ、愛している、本当だ。
>>	［코우지］：아아, 사랑해, 정말이야.
L29950	［トレイシー］：嬉しい‥‥‥‥。
>>	［트레이시］：기뻐‥‥‥‥.
L29954	［コウジ］：もっと、乳首を両手でしごくんだ。
>>	［코우지］：더, 젖꼭지를 양손으로 문지르는 거야.
L29957	［トレイシー］：こう？　こう？
>>	［트레이시］：이렇게?　이렇게?
L29960	しゅっ、しゅっ、しゅっ。
>>	쓱, 쓱, 쓱.
L29964	［コウジ］：どんな感じが、言ってごらん。
>>	［코우지］：어떤 느낌인지, 말해 봐.
L29967	［トレイシー］：な、何だか‥‥凄く硬くなってるわ‥‥。
>>	［트레이시］：뭐, 뭔가‥‥엄청 딱딱해졌어‥‥.
L29971	［コウジ］：なぜだい？
>>	［코우지］：왜일까?
L29974	［トレイシー］：わからない‥‥わからないわ。
>>	［트레이시］：모르겠어‥‥모르겠어.
L29978	［コウジ］：少し、強くつかんでみるんだ。
>>	［코우지］：조금, 세게 잡아 보는 거야.
L29981	［トレイシー］：こう？
>>	［트레이시］：이렇게?
L29984	［トレイシー］：きゃぅっ！　な、何これ‥‥す、凄く‥‥。
>>	［트레이시］：꺄읏!　뭐, 뭐야 이거‥‥어, 엄청‥‥.
L29988	［コウジ］：どうしたんだい？
>>	［코우지］：무슨 일이야?
L29991	［トレイシー］：あぁぁぁ、何故なの‥‥何故なの‥‥凄く、気持ちいい‥‥。
>>	［트레이시］：아아아, 어째서‥‥어째서‥‥엄청, 기분 좋아‥‥.
L29995	［コウジ］：トレイシー、それは君が、僕の事を愛しているからだ。
>>	［코우지］：트레이시, 그건 네가, 나를 사랑하고 있기 때문이야.
L29999	［トレイシー］：私が‥‥コウジの事を？
>>	［트레이시］：내가‥‥코우지를?
L30003	［コウジ］：そう、愛する者に見つめられて、感じない女性がどこにいるのか。
>>	［코우지］：그래, 사랑하는 이가 바라보는데, 느끼지 않는 여자가 어디 있겠어.
L30007	［トレイシー］：あぁぁ、そうよ‥‥私、コウジの事を愛してる‥‥愛してるの‥‥。
>>	［트레이시］：아아, 그래‥‥나, 코우지를 사랑해‥‥사랑하고 있어‥‥.
L30011	［コウジ］：僕もだよ。
>>	［코우지］：나도야.
L30014	［トレイシー］：本当？　本当？
>>	［트레이시］：정말?　정말?
L30018	［コウジ］：ああ‥‥もっと、乳首を速くしごくんだ。
>>	［코우지］：아아‥‥더, 젖꼭지를 빠르게 문지르는 거야.
L30021	［トレイシー］：わかったわ‥‥だから、もっと見ていて！
>>	［트레이시］：알았어‥‥그러니까, 더 봐 줘!
L30024	［トレイシー］：な、何だか‥‥凄い‥‥感じてる‥‥私‥‥。
>>	［트레이시］：뭐, 뭔가‥‥굉장해‥‥느끼고 있어‥‥나‥‥.
L30028	［コウジ］：あぁ、君が感じているのは、僕もわかるよ。もっと見ていてあげるから。
>>	［코우지］：아아, 네가 느끼는 건, 나도 알아. 더 봐 줄 테니까.
L30031	［トレイシー］：こんなの‥‥んくっ‥‥初めてよ‥‥何故なの‥‥何故なの‥‥。
>>	［트레이시］：이런 건‥‥응윽‥‥처음이야‥‥어째서‥‥어째서‥‥.
L30035	［コウジ］：今度は、服を脱いで‥‥。
>>	［코우지］：이번엔, 옷을 벗어‥‥.
L30038	［トレイシー］：あぁぁぁ、わかったわ‥‥‥‥。
>>	［트레이시］：아아아, 알았어‥‥‥‥.
L30042	［コウジ］：足を開いて‥‥。
>>	［코우지］：다리를 벌려‥‥.
L30045	［トレイシー］：あ、足を‥‥‥‥。
>>	［트레이시］：다, 다리를‥‥‥‥.
L30049	［コウジ］：どうした？
>>	［코우지］：왜 그래?
L30052	［トレイシー］：だって‥‥だって‥‥。
>>	［트레이시］：그치만‥‥그치만‥‥.
L30056	［コウジ］：今さら何を恥ずかしがる必要がある？　さぁ、君の全てを僕に見せてくれ。
>>	［코우지］：이제 와서 부끄러워할 게 뭐가 있어?　자, 네 전부를 내게 보여 줘.
L30060	［トレイシー］：あぁぁ、コウジぃ‥‥。
>>	［트레이시］：아아, 코우지이‥‥.
L30064	［コウジ］：大丈夫だ、君のことを愛している。
>>	［코우지］：괜찮아, 널 사랑하고 있어.
L30067	［トレイシー］：あぁぁ、わかったわ‥‥足を開くわ。
>>	［트레이시］：아아, 알았어‥‥다리를 벌릴게.
L30071	［コウジ］：君のアソコを、僕によく見せるんだ。
>>	［코우지］：네 거기를, 내게 잘 보여 주는 거야.
L30074	［トレイシー］：あぁぁ‥‥そんな‥‥‥‥。
>>	［트레이시］：아아‥‥그런‥‥‥‥.
L30078	［コウジ］：さっ、早く。
>>	［코우지］：자, 어서.
L30081	［トレイシー］：はい、見て‥‥私のアソコを、見てっ！
>>	［트레이시］：네, 봐 줘‥‥내 거기를, 봐 줘!
L30085	［コウジ］：何の音だい？
