# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L15287	［コウジ］：くっ‥‥大宇宙海賊たる、この私が‥‥。
L15371	［男］：はぁ？
>>	［남자］：하아?
L15375	［コウジ］：ビアンカとの一件、こちらから見させてもらった。どうやら、意識が不定期にシンクロしているようだ。
>>	［코우지］：비앙카와의 그 건, 이쪽에서 지켜보았다. 아무래도, 의식이 부정기적으로 싱크로하고 있는 모양이다.
L15379	［男］：ま、まさか、こっちで言うところのコウジ？　宇宙海賊とかいう？
>>	［남자］：서, 설마, 여기서 말하는 그 코우지?　우주 해적이라던?
L15383	［コウジ］：それ以外に、どういうコウジがいるというのだ？
>>	［코우지］：그 외에, 어떤 코우지가 있다는 거냐?
L15387	［宏治］：オレだって宏治だ！
>>	［코지］：나도 코지라고!
L15391	［コウジ］：うむ、言われてみればそうだな。では宏治ではなくコウジであると言っておこうか、宏治。
>>	［코우지］：음, 듣고 보니 그렇군. 그럼 코지가 아니라 코우지라고 해 두지, 코지.
L15395	［宏治］：訳のわからない事を、悠長に話してる場合かよ。
>>	［코지］：영문 모를 소리를, 한가하게 떠들 때냐고.
L15399	［コウジ］：私は、質問に答えただけだが。
>>	［코우지］：나는, 질문에 답했을 뿐이다만.
L15403	［宏治］：だー、どうだっていい。それよりも、見させてもらったって言ったよな、どういうことだよ。
>>	［코지］：아-, 아무래도 좋아. 그보다, 지켜봤다고 했지, 그게 무슨 소리야.
L15407	［コウジ］：見させてもらったということだ。
>>	［코우지］：지켜보았다는 뜻이다.
L15411	［宏治］：バカにしてんのか？
>>	［코지］：날 바보 취급하는 거냐?
L15415	［コウジ］：いいか、脆弱なる者よ。
>>	［코우지］：잘 들어라, 취약한 자여.
L15419	［宏治］：何だよ、その『ぜいじゃく』ってのは。
>>	［코지］：뭐야, 그 『취약』이라는 건.
L15423	［コウジ］：脆弱というのは、身体や精神などがもろく弱いことだ。
>>	［코우지］：취약이란, 신체나 정신 따위가 무르고 약한 것이다.
L15427	［宏治］：そんなこと訊いてるんじゃねぇ。
>>	［코지］：그런 걸 묻는 게 아니라고.
L15431	［コウジ］：いいか、ビアンカを甘く見てはいけない。
>>	［코우지］：잘 들어라, 비앙카를 얕봐서는 안 된다.
L15435	［宏治］：別に、甘くなんて見ちゃいないよ。
>>	［코지］：딱히, 얕보고 있지 않아.
L15439	［コウジ］：逃げなかった事に関しては褒めてやろう。私の経歴に、傷が付くところだった。
>>	［코우지］：도망치지 않은 점은 칭찬해 주지. 내 경력에, 흠이 날 뻔했다.
L15443	［宏治］：じゃあ逃げてみるか。
>>	［코지］：그럼 도망쳐 볼까.
L15447	［コウジ］：フッ、貴様があのファルネリアを慕っているのは分かっている。故に逃げないこともな。
>>	［코우지］：훗, 네놈이 그 파르네리아를 연모하는 건 알고 있다. 그러니 도망치지 않는다는 것도.
L15451	［宏治］：ちっ、お見通しかよ。
>>	［코지］：쳇, 다 꿰뚫고 있군.
L15455	［コウジ］：いいか。この貧弱な肉体と、反射神経から推測するに、貴様の技量では決してビアンカにはかなうまい。
>>	［코우지］：잘 들어라. 이 빈약한 육체와, 반사신경으로 미루어 보건대, 네놈의 기량으로는 결코 비앙카를 당해 낼 수 없다.
L15459	［宏治］：ムカッ！　んなこと、やってみなくちゃわからないだろ！
>>	［코지］：울컥!　그런 건, 해 보지 않으면 모르는 거잖아!
L15463	［コウジ］：いや、１２０％無理だ。
>>	［코우지］：아니, １２０％ 무리다.
L15467	［宏治］：なんだよ、その２０％増しは！
>>	［코지］：뭐야, 그 ２０％ 추가는!
L15471	［コウジ］：今から言うことを良く聞け。ビアンカとの戦いは、定められた時刻に行うのだ。
>>	［코우지］：지금부터 하는 말을 잘 들어라. 비앙카와의 싸움은, 정해진 시각에 하는 거다.
L15475	［宏治］：勝手な事をいいやがるぜ。じゃあ何時何分何曜日だ。
>>	［코지］：멋대로 지껄이는군. 그럼 몇 시 몇 분 무슨 요일이냐.
L15479	［宏治］：その呼び方はやめろってば。
>>	［코지］：그 호칭은 그만두라니까.
L15483	［コウジ］：ビアンカはああ見えて、なかなか手強い。
>>	［코우지］：비앙카는 저래 봬도, 꽤나 만만치 않다.
L15487	［宏治］：そりゃ、あの体つきと、迫力を見ればわかるよ。おまけに電撃ムチまでモロにくらっちまって‥‥。
>>	［코지］：그거야, 그 체격과, 박력을 보면 알지. 게다가 전격 채찍까지 제대로 맞아 버려서‥‥.
L15491	［コウジ］：いくら私の身体をもってしても、中に入っている思念体が脆弱でかつ貧弱であれば、ヤツを倒すのは不可能だ。
>>	［코우지］：아무리 내 육체라 해도, 안에 든 사념체가 취약하고 빈약하다면, 그놈을 쓰러뜨리는 건 불가능하다.
L15495	［宏治］：喧嘩うってんのかよ、おい。
>>	［코지］：시비 거는 거냐, 야.
L15499	［コウジ］：今からそう、ちょうど１万８千秒後‥‥。
>>	［코우지］：지금부터, 그래, 정확히 １만 ８천 초 뒤‥‥.
L15503	［宏治］：は？　時間で言えよ、時間で。
>>	［코지］：하?　시간으로 말해, 시간으로.
L15507	［コウジ］：５時間後だ。こちらのジェネレータを利用して、一時的に私の意識を、そちらへ強制的にシンクロさせる。
>>	［코우지］：５시간 뒤다. 이쪽의 제너레이터를 이용해, 일시적으로 내 의식을, 그쪽으로 강제 싱크로시킨다.
L15511	［宏治］：こちらの‥‥ジェネレータ？
>>	［코지］：이쪽의‥‥제너레이터?
L15515	［コウジ］：シンクロ時間は、私の概算でおよそ３秒。そのあいだに、私がビアンカを倒す。
>>	［코우지］：싱크로 시간은, 내 어림 계산으로 대략 ３초. 그사이에, 내가 비앙카를 쓰러뜨린다.
L15519	［宏治］：冗談言うなよ、あんな凶悪な女、３秒でどうこうできるもんじゃないぜ。
>>	［코지］：농담 마, 그런 흉악한 여자, ３초 만에 어떻게 될 상대가 아니야.
L15523	［コウジ］：貴様は、私の思念がシンクロする時刻を逆算し、ビアンカとの戦いのタイミングをセッティングするのだ。
>>	［코우지］：네놈은, 내 사념이 싱크로하는 시각을 역산해, 비앙카와의 싸움 타이밍을 세팅하는 거다.
L15527	［宏治］：だいたい、何で５時間後なんだよ。
>>	［코지］：애초에, 왜 ５시간 뒤인 거야.
L15531	［コウジ］：そのあいだ、ジェネレータのシンクロ時間の計算を算出するからだ。こちらの原始的な機構は、私の天才的頭脳をもってしても、なかなかこれが困難で‥‥。
>>	［코우지］：그동안, 제너레이터의 싱크로 시간 계산을 산출하기 때문이다. 이쪽의 원시적인 기구는, 내 천재적 두뇌로도, 이게 꽤나 곤란해서‥‥.
L15535	［宏治］：さっきから聞いていて疑問なんだが、お前はいったい今、どこにいるんだ？
>>	［코지］：아까부터 들으면서 의문이었는데, 너는 대체 지금, 어디에 있는 거냐?
L15539	［コウジ］：地面の上だ。
>>	［코우지］：지면 위다.
L15543	［宏治］：おい。
>>	［코지］：야.
L15547	［コウジ］：地面の上というのは惑星上ということだ。恐らく、太古の地球ということになるだろう。
>>	［코우지］：지면 위란 행성 위라는 뜻이다. 아마도, 태고의 지구라는 얘기가 되겠지.
L15551	［宏治］：ち、ちきゅー！？
>>	［코지］：지, 지구우!?
L15555	［コウジ］：これは類推だが、恐らく貴様がいた時代の、貴様の脆弱な肉体の中に私はいる。
>>	［코우지］：이건 유추다만, 아마 네놈이 있던 시대의, 네놈의 취약한 육체 속에 내가 있다.
L15559	［宏治］：な、なんだってぇ！？
>>	［코지］：뭐, 뭐라고오!?
L15563	［コウジ］：いちいちリアクションが大きいヤツだ。恐らく我々の思念体が、そっくり入れ替わってしまったということだ。
>>	［코우지］：하나하나 반응이 큰 녀석이군. 아마 우리의 사념체가, 통째로 뒤바뀌어 버렸다는 뜻이다.
L15567	［宏治］：入れ替わった‥‥？
>>	［코지］：뒤바뀌었다‥‥?
L15571	［コウジ］：うむ、どうやら双方の時代のジェネレータが時空を越え、シンクロしてしまったのだろう。
>>	［코우지］：음, 아무래도 양쪽 시대의 제너레이터가 시공을 넘어, 싱크로해 버린 것이겠지.
L15575	［宏治］：んなご都合主義的なことが、あってたまるかよ！
>>	［코지］：그런 편의주의적인 일이, 있을 리가 있냐!
L15579	［コウジ］：現実逃避か。肉体も脆弱なれば、精神も‥‥。
>>	［코우지］：현실 도피인가. 육체도 취약하다면, 정신도‥‥.
L15583	［宏治］：うるせぇほっとけ。そんなこと、本当にあり得るのか？
>>	［코지］：시끄러워, 내버려 둬. 그런 게, 정말로 있을 수 있는 거냐?
L15587	［コウジ］：思念体は、あくまで形而上のものでしかない。
>>	［코우지］：사념체는, 어디까지나 형이상의 것일 뿐이다.
L15591	［宏治］：はぁ？
>>	［코지］：하아?
L15595	［コウジ］：つまりだ、感性形式によるアポステリオリな経験現象としてではなく、理性的思考によってのみ、初めて捉えることができる究極の事象のことだ。
>>	［코우지］：즉 말이다, 감성 형식에 의한 아포스테리오리한 경험 현상이 아니라, 이성적 사고로써만 비로소 포착할 수 있는 궁극의 현상을 말한다.
L15599	［宏治］：‥‥まぁいい、じゃあ、あり得るとしてだ。
>>	［코지］：‥‥뭐 됐다, 그럼, 있을 수 있다고 치자.
L15603	［宏治］：涼子先生はどうした？
>>	［코지］：료코 선생님은 어떻게 됐어?
L15607	［コウジ］：あぁ、あの女か。あの女なら、私の奴隷にしてやったぞ、安心しろ。
>>	［코우지］：아아, 그 여자 말인가. 그 여자라면, 내 노예로 만들어 주었다, 안심해라.
L15611	［宏治］：おい！　冗談言うな！！
>>	［코지］：야!　농담하지 마!!
L15615	［コウジ］：私はトレイシー同様、冗談とイカの頭が嫌いでな。
>>	［코우지］：나는 트레이시와 마찬가지로, 농담과 오징어 머리를 싫어해서 말이다.
L15619	［宏治］：ま、舞さんには、まさか手を出してないだろうな。
>>	［코지］：마, 마이 씨한테는, 설마 손대지 않았겠지.
L15623	［コウジ］：安心しろ、ジェネレータの触媒としての適性をみるため、肉体の交わりをしただけだ。
>>	［코우지］：안심해라, 제너레이터의 촉매로서의 적성을 보기 위해, 육체의 교합을 했을 뿐이다.
L15627	［宏治］：んぎゃおぅ！！
>>	［코지］：끄갸아악!!
L15631	［コウジ］：どうした、ひきつけか？
>>	［코우지］：왜 그러지, 경련이라도 일으켰나?
L15635	［宏治］：てめぇ、彼女はオレが狙ってたんだ！　あんな清純な子は、今時めったに‥‥。
>>	［코지］：야 인마, 그 애는 내가 노리고 있었단 말이야!　그런 청순한 애는 요즘 좀처럼‥‥.
L15639	［コウジ］：んひゃひゃ。
>>	［코우지］：응햐햐.
L15643	［コウジ］：うむ、どうやら、意識が遠のいているようだ‥‥。
>>	［코우지］：음, 아무래도, 의식이 멀어지고 있는 모양이다‥‥.
L15647	［宏治］：どういうことだ？
>>	［코지］：그게 무슨 소리야?
L15651	［コウジ］：つまり、んひゃひゃ。
>>	［코우지］：다시 말해, 응햐햐.
L15655	［コウジ］：どうやら、貴様の脆弱な肉体に入っている私の強靭な‥‥。
>>	［코우지］：아무래도, 네놈의 취약한 육체에 들어가 있는 나의 강인한‥‥.
L15659	［宏治］：形容詞ははぶけよ。
>>	［코지］：형용사는 좀 빼라.
L15663	［コウジ］：つまりだ、私の意識が回復しだしているということだ。
>>	［코우지］：요컨대, 내 의식이 회복되기 시작했다는 뜻이다.
L15667	［宏治］：今、意識が遠のくって言ったじゃないか。
>>	［코지］：방금, 의식이 멀어진다고 했잖아.
L15671	［コウジ］：夢の中での意識が遠のけば、必然的に現実の意識が回復するのは自明の理であろう。
>>	［코우지］：꿈속의 의식이 멀어지면, 필연적으로 현실의 의식이 회복되는 것은 자명한 이치겠지.
L15675	［宏治］：勝手なやつだぜ。
>>	［코지］：제멋대로인 놈이라니까.
L15679	［コウジ］：こちらにも、都合というものがある。
>>	［코우지］：이쪽에도, 사정이라는 게 있다.
L15683	［宏治］：じゃ、じゃあお前が本当にコウジだという証拠をくれ。
>>	［코지］：그, 그럼 네가 정말 코우지라는 증거를 대 봐.
L15687	［コウジ］：なんだ、それは。
>>	［코우지］：뭐냐, 그건.
L15691	［宏治］：これが夢じゃないっていう保証が欲しいんだよ。
>>	［코지］：이게 꿈이 아니라는 보증이 필요하다고.
L15695	［コウジ］：ふむ、では、トレイシーとランファのどちらかを選べ。
>>	［코우지］：흠, 그럼, 트레이시와 란파 중 하나를 골라라.
L15699	［宏治］：へ？
>>	［코지］：에?
L15703	［コウジ］：選ぶのだ。
>>	［코우지］：고르란 말이다.
L15707	［宏治］：んー、じゃあ‥‥‥‥。
>>	［코지］：음-, 그럼‥‥‥‥.
L15711	［コウジ］：よし、では惑星エイレートで過ごした時のことを言ってやれ。
>>	［코우지］：좋아, 그럼 행성 에이레이트에서 지냈던 때의 일을 말해 줘라.
L15715	［コウジ］：それで恐らく確信してもらえる事だろう。
>>	［코우지］：그것으로 아마 확신하게 될 거다.
L15719	［宏治］：なんだよ、それは。
>>	［코지］：뭐야, 그게.
L15723	［コウジ］：いいから、この通り言うのだ。ただし、他の女の前では決して言うな。いいな？
>>	［코우지］：잔말 말고, 그대로 말해라. 단, 다른 여자 앞에서는 절대 말하지 마라. 알겠나?
L15727	［宏治］：訳がわからないぞ。
>>	［코지］：영문을 모르겠다고.
L15731	［コウジ］：むっ、マズい。いいか、５時間後だ、忘れるな‥‥。
>>	［코우지］：윽, 큰일이군. 잘 들어라, ５시간 후다, 잊지 마라‥‥.
L15734	［コウジ］：‥‥‥<$0C>‥‥‥<$0C>‥‥‥。
>>	［코우지］：‥‥‥<$0C>‥‥‥<$0C>‥‥‥.
L15737	どうやら、意識が回復してきたようだった。私の浮遊していた思念が、すーっと身体に入っていく感覚が起きる。
>>	아무래도, 의식이 회복된 모양이었다. 떠돌던 내 사념이, 스르륵 몸속으로 들어가는 감각이 인다.
L15740	視覚も戻ってきたようだ‥‥ゆっくりと目を開けてみる。
>>	시각도 돌아온 모양이다‥‥천천히 눈을 떠 본다.
L15744	［コウジ］：どうやら、自室のようだが‥‥。
>>	［코우지］：아무래도, 내 방인 것 같은데‥‥.
L15747	確か、意識を失ったのは自室外だったはずだが‥‥。
>>	분명, 의식을 잃은 것은 방 밖이었을 텐데‥‥.
L15751	［コウジ］：フン、意識を失っても、何とか帰ってくるとは、さすが大宇宙海賊‥‥んひゃひゃ。
>>	［코우지］：흥, 의식을 잃고도 용케 돌아오다니, 과연 대우주 해적‥‥응햐햐.
L15754	［沙夜香］：なーに、さっきからバカな独り言を言っているのよ。
>>	［사야카］：뭐야, 아까부터 바보 같은 혼잣말이나 하고.
L15757	［沙夜香］：うふふーん。
>>	［사야카］：우후후-웅.
L15761	［コウジ］：何だ、貴様は。
>>	［코우지］：뭐냐, 네년은.
L15764	［沙夜香］：沙夜香よっ！
>>	［사야카］：사야카야!
L15768	［コウジ］：そんな事を聞いているのではない。なぜそんな格好をしている。
>>	［코우지］：그런 걸 묻는 게 아니다. 어째서 그런 꼴을 하고 있지.
L15771	［沙夜香］：んもう、つれないのね。ここまで、私が運んできてあげたのよ。
>>	［사야카］：어머, 매정하기도 해라. 여기까지, 내가 옮겨다 준 거라고.
L15775	［コウジ］：その格好と、運ぶことと、いったい何の関連があるのだ？
>>	［코우지］：그 꼴과, 옮긴 것이, 대체 무슨 관련이 있는 거지?
L15778	［沙夜香］：そんな、尖らないでよ。
>>	［사야카］：그렇게, 날 세우지 좀 마.
L15782	［コウジ］：目的はなんだ？
>>	［코우지］：목적은 뭐냐?
L15785	［沙夜香］：目的はね、あ・な・た。
>>	［사야카］：목적은 말이야, 당・신.
L15788	［沙夜香］：私ね、あなたのことを‥‥。
>>	［사야카］：나 말이야, 당신을‥‥.
L15792	［コウジ］：色仕掛けか。フン、どいつもこいつも‥‥。
>>	［코우지］：미인계인가. 흥, 하나같이 죄다‥‥.
L15795	［沙夜香］：その強がり、いつまで続くのかしらね。
>>	［사야카］：그 허세, 언제까지 갈지 모르겠네.
L15798	［沙夜香］：ウフフ、どお？
>>	［사야카］：우후후, 어때?
L15801	［沙夜香］：こう見えてもね、私は自信があるのよ。
>>	［사야카］：이래 봬도 말이야, 난 자신 있거든.
L15805	［コウジ］：パイズリのか？
>>	［코우지］：파이즈리 말인가?
L15808	［沙夜香］：違うわ！　このプロポーションにね、男どもははいつくばるのよ。
>>	［사야카］：아니거든!　이 몸매에 말이야, 남자들은 다 기어 엎드린다고.
L15812	［コウジ］：はいつくばる奴が、どうかしている。
>>	［코우지］：기어 엎드리는 놈이 제정신이 아닌 거다.
L15815	［沙夜香］：フフン、口ではそんなこと言っても、アソコはもうビンビンじゃない‥‥。
>>	［사야카］：흐응, 입으로는 그런 소리 해도, 거긴 벌써 빳빳하잖아‥‥.
L15818	［沙夜香］：ほーら、こうすれば‥‥。
>>	［사야카］：자-, 이렇게 하면‥‥.
L15821	りゅっ、りゅっ、りゅっ‥‥。
>>	쭉, 쭉, 쭉‥‥.
L15824	［沙夜香］：口で強がっても、こっちは正直よねぇ～。
>>	［사야카］：입으로는 세게 나가도, 이쪽은 솔직하네에-.
L15828	［コウジ］：私は自分を偽るのが嫌いでな。
>>	［코우지］：나는 자신을 속이는 것을 싫어해서 말이지.
L15831	［沙夜香］：本当に変ね、あなたって‥‥そんな風に感じる男性って、初めてよ。
>>	［사야카］：정말 이상하네, 당신‥‥그런 식으로 느끼는 남자는, 처음이야.
L15835	［コウジ］：倒れている人を自室に運んで、いきなりパイズリを始める女も、初めてだがな。
>>	［코우지］：쓰러진 사람을 방에 옮겨다 놓고, 대뜸 파이즈리를 시작하는 여자도, 처음이다만.
L15838	［沙夜香］：もう、こんなにビクビクしちゃってくるくせに‥‥。
>>	［사야카］：어머, 이렇게 움찔거리면서‥‥.
L15841	［沙夜香］：ほら、やせ我慢しないで、イっちゃいなさいよ。若いんだから、１回くらいどうってことないんでしょ？
>>	［사야카］：자, 억지로 참지 말고, 그냥 가 버려. 젊으니까, １번 정도는 아무것도 아니잖아?
L15844	［沙夜香］：いいのよ、このまま出しても‥‥顔にかける？　それとも口の中？
>>	［사야카］：괜찮아, 이대로 내도‥‥얼굴에 뿌릴래?　아니면 입 안?
L15847	［沙夜香］：ンフフ、じゃあ、いいわよ‥‥このまま出しても‥‥。
>>	［사야카］：응후후, 그럼, 괜찮아‥‥이대로 내도‥‥.
L15850	［沙夜香］：あン、ほら、もう先っぽがヌルヌルしてきたわ‥‥。
>>	［사야카］：아앙, 봐, 벌써 끝이 미끌미끌해졌어‥‥.
L15853	［沙夜香］：こんなに、パンパンに腫れ上がって‥‥あぁぁ、もう出そうなのね！
>>	［사야카］：이렇게, 팽팽하게 부풀어 올라서‥‥아아아, 이제 나올 것 같네!
L15856	［沙夜香］：あぁぁ、出して‥‥沙夜香の口の中に！！
>>	［사야카］：아아아, 내 줘‥‥사야카의 입 안에!!
L15859	ドクドクドク、ドクッ、ドクッ！！
>>	울컥울컥울컥, 울컥, 울컥!!
L15862	［沙夜香］：んぐ‥‥。
>>	［사야카］：읍‥‥.
L15865	［沙夜香］：んぐ、ごく、ごくっ‥‥。
>>	［사야카］：읍, 꿀꺽, 꿀꺽‥‥.
L15868	［沙夜香］：コホコホッ‥‥ごく‥‥。
>>	［사야카］：콜록콜록‥‥꿀꺽‥‥.
L15871	［沙夜香］：ずいぶん、たまっていたようね。
>>	［사야카］：꽤나, 쌓여 있었던 모양이네.
L15875	［コウジ］：フン、やけに手慣れているな。
>>	［코우지］：흥, 유난히 손에 익었군.
L15878	［沙夜香］：どう？　私の気持ち、わかってもらえたかしら。
>>	［사야카］：어때?　내 마음, 알아줬으려나.
L15882	［コウジ］：フン、おい女。
>>	［코우지］：흥, 이봐 여자.
L15885	［沙夜香］：な、なによ‥‥急に。
>>	［사야카］：뭐, 뭔데‥‥갑자기.
L15889	［コウジ］：こんなので私を誘惑したつもりか。
>>	［코우지］：이런 것으로 나를 유혹했다고 생각하나.
L15892	［沙夜香］：男のなんて、みんな同じよね、アソコをビクビクさせてイっちゃったくせに。
>>	［사야카］：남자란 건, 다 똑같다니까, 거길 움찔거리면서 가 버려 놓고선.
L15896	［コウジ］：では、私が普通の男と違うのを、見せてやろう。
>>	［코우지］：그럼, 내가 보통 남자와 다르다는 것을, 보여 주지.
L15899	［沙夜香］：な、なによ‥‥きゃぁぁっ！！
>>	［사야카］：뭐, 뭐야‥‥꺄아아앗!!
L15902	［沙夜香］：や、やめて‥‥痛っ！
>>	［사야카］：그, 그만‥‥아파!
L15906	［コウジ］：フン、処女でもあるまい、演技はやめろ。
>>	［코우지］：흥, 처녀도 아닐 텐데, 연기는 그만둬라.
L15909	［沙夜香］：そ、そんな‥‥まだ十分濡れてない‥‥。
>>	［사야카］：그, 그런‥‥아직 충분히 젖지 않았‥‥.
L15912	ずりゅぅぅぅぅぅぅぅぅっっ！！
>>	쭈우우우우우우욱!!
L15915	［沙夜香］：きゃぁぁぁっ！　い、痛いぃぃっ！！
>>	［사야카］：꺄아아앗!　아, 아파아아!!
L15918	ずちゅっ、ずちゅっ、ずちゅっ‥‥。
>>	질컥, 질컥, 질컥‥‥.
L15921	［沙夜香］：痛っ‥‥痛いわ、やめっ‥‥あぁぁぁぁっ！！
>>	［사야카］：아파‥‥아파, 그만‥‥아아아아앗!!
L15924	［沙夜香］：止めて！　お、お願い‥‥くぅぅっ！
>>	［사야카］：멈춰!　제, 제발‥‥크으윽!
L15928	［コウジ］：フン、だんだん、濡れてきたではないか。
>>	［코우지］：흥, 점점, 젖어 오지 않나.
L15931	［沙夜香］：そ、そんな‥‥痛っ！　あぁぁぁ、いやぁぁぁっ！！
>>	［사야카］：그, 그런‥‥아파!　아아아, 싫어어어!!
L15934	［沙夜香］：お願い‥‥やめっ‥‥痛っ、いやよ、いやぁっ！！
>>	［사야카］：제발‥‥그만‥‥아파, 싫어, 싫어어!!
L15938	［コウジ］：フン、女の悲鳴は心地よいＢＧＭだ。そのうち歓喜の悲鳴にかわるものだ。
>>	［코우지］：흥, 여자의 비명은 기분 좋은 ＢＧＭ다. 머지않아 환희의 비명으로 바뀌지.
L15941	［沙夜香］：か、変わるわけ‥‥あぁぁぁぁっ！！
>>	［사야카］：바, 바뀔 리가‥‥아아아아앗!!
L15945	［コウジ］：貴様が始めたことだ。自業自得だろう。
>>	［코우지］：네년이 시작한 일이다. 자업자득이겠지.
L15948	［沙夜香］：くぅぅぅ‥‥。
>>	［사야카］：크으으‥‥.
L15952	［コウジ］：なんだ、嬉し泣きか。
>>	［코우지］：뭐냐, 기뻐서 우는 건가.
L15955	［沙夜香］：お、お願い‥‥くぅぅ‥‥あぅ、あぅ‥‥。
>>	［사야카］：제, 제발‥‥크으‥‥아윽, 아윽‥‥.
L15959	［コウジ］：フン、では膣内に出してやろう、特別になっ！
>>	［코우지］：흥, 그럼 안에 내주지, 특별히 말이다!
L15962	［沙夜香］：いや‥‥だ、ダメよ！　膣内はダメ！！
>>	［사야카］：싫어‥‥안, 안 돼!　안에는 안 돼!!
L15966	［コウジ］：心にも無いこと言うな。
>>	［코우지］：마음에도 없는 소리 마라.
L15969	［沙夜香］：いやよ‥‥膣内なんて、絶対だめぇっ！！
>>	［사야카］：싫어‥‥안에는, 절대 안 돼애!!
L15973	［コウジ］：遅いな‥‥くっ。
>>	［코우지］：늦었군‥‥크윽.
L15976	［沙夜香］：いやよ、いやぁぁ！　妊娠しちゃうぅっ！！
>>	［사야카］：싫어, 싫어어!　임신해 버린단 말이야!!
L15979	どぷっ、どぷっ、どぷっ！！
>>	콸, 콸, 콸!!
L15982	［沙夜香］：いやぁぁぁぁぁっ、膣内にドクドク入ってくるぅぅっ！！
>>	［사야카］：싫어어어어어, 안에 울컥울컥 들어와아아!!
L15985	ぐったりとした沙夜香の目には、大粒の涙が浮かんでいる。どうやら、こればかりは本当のようだった。
>>	축 늘어진 사야카의 눈에는, 굵은 눈물이 맺혀 있다. 아무래도, 이것만은 진짜인 모양이었다.
L15988	無論、そんなことに憐憫や同情をかける謂れは私にはない。この女の、自業自得なのだ。
>>	물론, 그런 것에 연민이나 동정을 베풀 이유는 내게 없다. 이 여자의, 자업자득이다.
L15991	沙夜香は緩慢な動作で、ゆっくりと衣服を着用していく。服を着けると、私の方へキッと向き直った。
>>	사야카는 굼뜬 동작으로, 천천히 옷을 걸쳐 간다. 옷을 다 입자, 내 쪽으로 홱 돌아섰다.
L15994	［沙夜香］：酷いことをするのね、でも、これで私の‥‥。
>>	［사야카］：지독한 짓을 하네, 그래도, 이걸로 내‥‥.
L15998	［コウジ］：何を寝ぼけたことを言っている。くれると言うモノはもらうがな。
>>	［코우지］：무슨 잠꼬대 같은 소리를 하는 거냐. 준다는 건 받아 두겠다만.
L16001	［沙夜香］：くっ‥‥。
>>	［사야카］：큭‥‥.
L16005	［コウジ］：フン、涼子の方がまだ可愛げがあったな。
>>	［코우지］：흥, 료코 쪽이 그나마 귀여운 구석이 있었군.
