# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L21913	［ランファ］：コウジ様っ、その涼子せんせって、いったい誰なんですか？
L21958	［ランファ］：な、何よそれぇ‥‥看護はトレイシーの役目じゃない。
>>	［란파］：뭐, 뭐야 그게‥‥간호는 트레이시 역할이잖아.
L21961	［トレイシー］：私はジェネレータ計測結果のまとめに忙しいのです。
>>	［트레이시］：나는 제너레이터 계측 결과 정리로 바빠요.
L21965	［ランファ］：プリプリよぉ、コウジ様ぁ‥‥。
>>	［란파］：삐졌어요, 코우지 니임‥‥.
L21969	［トレイシー］：こら、コウジ様にお願いしてもダメです。
>>	［트레이시］：이봐, 코우지 님께 부탁해도 소용없어요.
L21973	［ランファ］：ねぇ、コウジ様ぁ‥‥ウルウル。
>>	［란파］：저기, 코우지 니임‥‥글썽글썽.
L21977	［宏治］：行ってきなよ、ランファ。
>>	［코지］：다녀와, 란파.
L21980	［ランファ］：えぇぇ～！！
>>	［란파］：에에에～!!
L21984	［トレイシー］：さっ、コウジ様もああおっしゃってる訳だし。
>>	［트레이시］：자, 코우지 님도 저렇게 말씀하시잖아요.
L21987	［ランファ］：もうプリプリよぉ。
>>	［란파］：진짜 삐졌어어.
L21990	［トレイシー］：ファルネリア様は、ＶＩＰルームにおいでです。よろしく頼むわ。
>>	［트레이시］：파르네리아 님은 ＶＩＰ 룸에 계세요. 잘 부탁해요.
L21993	［ランファ］：しょうがないわねっ、じゃあ今から行く。
>>	［란파］：어쩔 수 없네, 그럼 지금 갈게.
L21997	［トレイシー］：よろしくね‥‥あっ、コウジ様。
>>	［트레이시］：잘 부탁해요‥‥아, 코우지 님.
L22001	［トレイシー］：私、心の底からコウジ様のことをご心配申し上げて‥‥。
>>	［트레이시］：저, 진심으로 코우지 님을 걱정하고 있었는데‥‥.
L22004	［ランファ］：ハイハイ、雑音は消さないとねっ。
>>	［란파］：네네, 잡음은 꺼버려야지.
L22007	［ランファ］：何かあったら、ベッド傍らのコンパネを利用して下さい。もう飛んでやって来ますからっ！
>>	［란파］：무슨 일 있으면 침대 옆 콘솔 패널을 써주세요. 바로 날아올 테니까요!
L22010	［ランファ］：じゃ、また来ますねっ。
>>	［란파］：그럼, 또 올게요.
L22013	ランファという女性がいなくなると、あたりは途端に静寂が訪れた。
>>	란파라는 여성이 사라지자, 주위에 순식간에 정적이 찾아왔다.
L22016	しばらく寝てしまったんだろうか‥‥オレの足下に、キチンと畳まれた着替えが置いてあった。ランファという女性が、置いていったのかもしれない。
>>	잠시 잠들어버렸던 걸까‥‥내 발치에 단정히 개어진 갈아입을 옷이 놓여 있었다. 란파라는 여성이 두고 간 건지도 모른다.
L22019	［ランファ］：あーん、困りますぅ。
>>	［란파］：아아앙, 곤란해요.
L22022	［ランファ］：ファルネリア様ぁ‥‥。
>>	［란파］：파르네리아 니임‥‥.
L22025	オレは無駄なことはしない主義だ。左へ曲がるのはよすことにした。
>>	나는 쓸데없는 짓은 하지 않는 주의다. 왼쪽으로 도는 건 그만두기로 했다.
L22028	今度は、どこへ通じているのかな‥‥。
>>	이번엔 어디로 통하는 걸까‥‥.
L22031	ゴキッ！！
>>	빠각!!
L22034	頬を伝う涙の感触を感じながら、オレはコブシを抱えてうずくまった。痛かった‥‥無茶苦茶、痛い。
>>	뺨을 타고 흐르는 눈물의 감촉을 느끼며, 나는 주먹을 감싸 쥐고 웅크렸다. 아팠다‥‥엄청나게, 아프다.
L22038	［ランファ］：あっ、コウジ様ぁ！
>>	［란파］：앗, 코우지 니임!
L22042	［宏治］：やぁ‥‥。
>>	［코지］：여어‥‥.
L22046	［宏治］：爆発するとか、以前言っていたじゃないか。
>>	［코지］：폭발한다고 전에 말했잖아.
L22050	［宏治］：まぁ、いいか‥‥それよりもさ、ランファ。
>>	［코지］：뭐, 됐나‥‥그보다 말이야, 란파.
L22054	［宏治］：聞きたいことがあるんだ。
>>	［코지］：묻고 싶은 게 있어.
L22057	［ランファ］：何でも任せて下さい！
>>	［란파］：뭐든 맡겨주세요!
L22061	［宏治］：ふぅ‥‥聞きたいことってのはさ‥‥。
>>	［코지］：후우‥‥묻고 싶은 건 말이야‥‥.
L22065	［宏治］：あー、小難しい説明は無しね。トレイシーに聞くからさ。
>>	［코지］：아아, 어려운 설명은 됐어. 그건 트레이시한테 물을 테니까.
L22068	　◆ ファルネリア、君はいったい‥‥。
>>	　◆ 파르네리아, 너는 대체‥‥.
L22071	　◆ テレパスというのは‥‥。
>>	　◆ 텔레파스라는 건‥‥.
L22074	　◆ エンコーダというのはいったい‥‥。
>>	　◆ 인코더라는 건 대체‥‥.
L22077	　◆ これから‥‥。
>>	　◆ 앞으로‥‥.
L22081	［宏治］：これから、どうするんだい？
>>	［코지］：앞으로 어떻게 할 거지?
L22085	［宏治］：無論、そういう約束だからね。
>>	［코지］：물론, 그런 약속이니까.
L22089	［宏治］：ああ、オーケーだ。
>>	［코지］：아아, 오케이다.
L22093	［宏治］：‥‥残念だけど、あいつは返せない。
>>	［코지］：‥‥유감이지만, 그건 돌려줄 수 없어.
L22097	［宏治］：そんな恐そうな顔をするなよ。別にあれを悪用するつもりはないぜ。
>>	［코지］：그렇게 무서운 얼굴 하지 마. 딱히 그걸 악용할 생각은 없어.
L22101	［宏治］：さっきも言ったろう？　そのエンコーダとやらを利用してやるってヨコシマな輩は、いくらでも出てきそうなもんだって。
>>	［코지］：아까도 말했잖아?　그 인코더인지 뭔지를 이용해먹으려는 사악한 무리는 얼마든지 나올 거라고.
L22105	［宏治］：うん、とりあえず君には悪いけど、破棄させてもらう。あんなの、百害あって一利無しだ。
>>	［코지］：응, 일단 너한텐 미안하지만 폐기하겠어. 그런 건 백해무익이야.
L22108	《何たる無様な醜態だ‥‥。》
>>	《이 얼마나 꼴사나운 추태인가‥‥.》
L22112	［宏治］：えっ？　何か言った？
>>	［코지］：어?　뭐라고 했어?
L22116	［宏治］：ま、いいか。とにかくだ、人間には、ちょっと過ぎたシロモノだぜ。そうは思わないかい？
>>	［코지］：뭐, 됐나. 아무튼 인간에겐 좀 과분한 물건이야. 그렇게 생각하지 않아?
L22120	［ファル］：コウジ‥‥強い決意の色が見える‥‥。
>>	［파르］：코우지‥‥강한 결의의 색이 보여‥‥.
L22124	［宏治］：不満かい？
>>	［코지］：불만이야?
L22128	［ファル］：ううん、私、コウジに謝らなくちゃいけない‥‥。
>>	［파르］：아니, 나, 코우지한테 사과해야 해‥‥.
L22131	［ファル］：あなたの言うことは正しいわ。私は本当に近視眼になっていた‥‥。
>>	［파르］：네 말이 옳아. 나는 정말로 근시안이 되어 있었어‥‥.
L22135	［宏治］：近視眼？
>>	［코지］：근시안?
L22138	［ファル］：ええ。さっきは、あなたのせいにしてしまったけど、エンコーダが、ああなる可能性を考えなかった訳じゃないの‥‥。
>>	［파르］：응. 아까는 네 탓으로 돌려버렸지만, 인코더가 그렇게 될 가능성을 생각 안 한 건 아니야‥‥.
L22142	［宏治］：ファル‥‥。
>>	［코지］：파르‥‥.
L22145	［ファル］：ただ、あのエンコーダは、今までにない切り口で斬新だった‥‥それに目を奪われて、本質を見忘れてしまったのね。
>>	［파르］：다만, 그 인코더는 지금까지 없던 접근이라 참신했어‥‥거기에 눈이 팔려 본질을 잊어버린 거야.
L22148	［ファル］：科学は、人類の発展とその豊富に寄与すべきであって、科学者個人の売名や、自己満足の為に行われてはならないのよ。
>>	［파르］：과학은 인류의 발전과 풍요에 이바지해야지, 과학자 개인의 명성이나 자기만족을 위해 행해져선 안 돼.
L22152	［宏治］：そ、そうだね。（そこまでは考えなかったけど‥‥。）
>>	［코지］：그, 그렇네. （거기까진 생각 못 했지만‥‥.）
L22156	［ファル］：コウジ、私は自分が恥ずかしい。あなたに諭されるまで、自分の愚に気付かなかった‥‥。
>>	［파르］：코우지, 나는 내가 부끄러워. 네가 타이르기 전까진 내 어리석음을 몰랐어‥‥.
L22159	［ファル］：どのような非難をされても、私は享受しなくてはならないんだわ‥‥。
>>	［파르］：어떤 비난을 받더라도 나는 받아들여야만 해‥‥.
L22163	［宏治］：そんなに思い詰める必要は、無いんじゃないかな。
>>	［코지］：그렇게까지 자책할 필요는 없지 않을까.
L22167	［宏治］：過ちを認めて恥じ、なおかつそれを正そうなんてことは、今時誰もしないぜ。
>>	［코지］：잘못을 인정해 부끄러워하고, 게다가 그걸 바로잡으려는 건 요즘 아무도 안 해.
L22171	［宏治］：気付いても、無頓着なやつだっているだろうし、そういう意味じゃファルは何倍も素敵だ。
>>	［코지］：깨닫고도 무심한 녀석도 있을 테고, 그런 의미에선 파르는 몇 배나 멋져.
L22175	［ファル］：ウソ‥‥コウジ、本気？　誠実の色が見える‥‥信じられない‥‥。
>>	［파르］：거짓말‥‥코우지, 진심이야?　성실의 색이 보여‥‥믿기지 않아‥‥.
L22179	［宏治］：あのなぁ、オレが誠実だと、何か困るの？
>>	［코지］：저기 말이야, 내가 성실하면 뭔가 곤란해?
L22183	［ファル］：ううん、でもさっきコウジが言ったこと、信じられるような気がする‥‥。
>>	［파르］：아니, 그래도 아까 코우지가 한 말, 믿을 수 있을 것 같아‥‥.
L22187	［ファル］：あぁ、どうしよう‥‥コウジが凄く素敵に見えてきたわ‥‥。
>>	［파르］：아아, 어쩌지‥‥코우지가 굉장히 멋져 보이기 시작했어‥‥.
L22191	［ファル］：あぁ、コウジ‥‥‥‥。
>>	［파르］：아아, 코우지‥‥‥‥.
L22194	ファルが目をつぶった時、オレはイケると確信した。固く目を閉じ、肩を震わせるファルを、そっと抱き寄せる。
>>	파르가 눈을 감았을 때, 나는 되겠다고 확신했다. 굳게 눈을 감고 어깨를 떠는 파르를, 살며시 끌어안는다.
L22197	［ファル］：お願い‥‥優しくして‥‥。
>>	［파르］：부탁이야‥‥상냥하게 해줘‥‥.
L22201	［宏治］：もももも、もちろんさっ‥‥。
>>	［코지］：무무무무, 물론이지‥‥.
L22204	マズい、どもってしまった。
>>	이런, 말을 더듬어 버렸다.
L22207	とにかく女なんて久しぶりの２乗くらいだった。上手くリードできるかなと、いささか不安になる。
>>	어쨌든 여자는 오랜만의 제곱쯤이었다. 잘 리드할 수 있을까 싶어 조금 불안해진다.
L22210	手を背中にそっと這わせて、徐々にその位置を下げていく。ファルの身体がビクビクと痙攣するのがわかった。
>>	손을 등에 살며시 대고 서서히 그 위치를 낮춰 간다.
L22213	オレは、ボリュームのあるヒップを持ち上げるように揉みしだく。
>>	나는, 풍만한 엉덩이를 들어 올리듯 주무른다.
L22217	［ファル］：あぁぁ、コウジ‥‥コウジ‥‥。
>>	［파르］：아아아, 코우지‥‥코우지‥‥.
L22220	うっと嗚咽を洩らすファルの柔らかい唇に、オレは自分自身のそれを重ね合わせた。
>>	흐윽, 하고 흐느끼는 파르의 부드러운 입술에 나는 내 입술을 겹쳤다.
L22223	［ファル］：んっ‥‥んん‥‥‥‥。
>>	［파르］：응‥‥으응‥‥‥‥.
L22226	舌を軽く差し込んでみる。抵抗が無いとわかるや、オレは根本近くまで、舌を彼女の口腔へと差し込んでいた。
>>	혀를 가볍게 밀어 넣어 본다. 저항이 없다는 걸 알자 나는 더 깊이 혀를 밀어 넣고 있었다.
L22229	それに同調して、ファルも遠慮がちに自分のを絡ませてくる。オレは遠慮無く、その柔らかい舌に自分のを絡ませた。
>>	거기에 맞춰 파르도 조심스럽게 자기 혀를 얽어 온다. 나는 거리낌 없이 그 부드러운 혀에 내 것을 휘감았다.
L22233	［ファル］：んあぁぁ、コウジ‥‥無茶苦茶にしてっ！
>>	［파르］：응아아아, 코우지‥‥엉망으로 만들어줘!
L22236	オレはファルの舌をからめ取り、吸い取り、ねぶり、唾液を彼女の口腔へ流し込みながら、右手を彼女のふくよかな胸に、左手を尻の割れ目に差し込んだ。
>>	나는 파르의 혀를 얽어 잡아, 빨아들이고, 핥으며, 침을 그녀의 구강으로 흘려 넣으면서, 오른손을 포동포동한 가슴에, 왼손을 엉덩이 틈에 집어넣었다.
L22239	［ファル］：ひっ‥‥そ、そこは‥‥ダメよ、ダメ‥‥。
>>	［파르］：히읏‥‥거, 거긴‥‥안 돼, 안 돼‥‥.
L22242	ファルは、尻を振りながらイヤイヤをしたが、そのたびにオレの指は、彼女の割れ目の奥深くへと侵入していった。
>>	파르는 엉덩이를 흔들며 싫다고 했지만, 그럴 때마다 내 손가락은 그녀의 틈 깊숙이 파고들었다.
L22245	震えているのがわかる。尻の割れ目に這わせる指が、柔らかい蕾の上を通る度に、ファルは電気が流れたように身体を硬直させた。
>>	떨리고 있는 게 느껴진다. 엉덩이 틈을 훑는 손가락이 부드러운 봉오리 위를 지날 때마다, 파르는 전기가 흐른 듯 몸이 굳었다.
L22248	［ファル］：あぁぁ、お願い‥‥優しくしてね‥‥。
>>	［파르］：아아아, 부탁이야‥‥상냥하게 해줘‥‥.
L22252	［宏治］：こんなもん？
>>	［코지］：이 정도?
L22255	と言いながら、オレはファルの緊張をほぐすように、彼女の柔らかい胸を揉み、布の上から乳首をこすり、舌を口腔でうごめかす。
>>	그렇게 말하며, 나는 파르의 긴장을 풀듯, 부드러운 가슴을 주무르고, 옷 위에서 젖꼭지를 문지르며, 혀를 구강 안에서 꿈틀거리게 한다.
L22258	［ファル］：んんっ‥‥んっ、んっ‥‥。
>>	［파르］：으응‥‥응, 응‥‥.
L22262	［ファル］：あぅっ‥‥こ、コウジ‥‥あっ、あっ‥‥。
>>	［파르］：아읏‥‥코, 코우지‥‥앗, 앗‥‥.
L22265	オレが口を離すと、そのまま彼女の舌が追ってきた。絡めた舌が離れるとき、唾液が糸を引きながら滴り落ちる。
>>	내가 입을 떼자 그대로 그녀의 혀가 따라왔다. 얽힌 혀가 떨어질 때, 침이 실을 늘어뜨리며 떨어진다.
L22268	ファルは舌を突き出したまま、恍惚とした表情をしていた。口の端からよだれが流れ出ているのを、拭おうともしない。
>>	파르는 혀를 내민 채 황홀한 표정을 짓고 있었다. 입가에서 침이 흘러내리는 것도 닦으려 하지 않는다.
L22271	オレはゆっくりと服を脱がしにかかった。胸と腰に回した手を、ゆっくりと動かし始める。しかし‥‥。
>>	나는 천천히 옷을 벗기기 시작했다. 가슴과 허리에 두른 손을 천천히 움직이기 시작한다. 그런데‥‥.
L22274	ヤケに際どい服装だった。セパレートタイプで、胸の３分の２は露出していた。おまけに下半身は、ハーレムパンツとおぼしいＶカットの布地が付いているだけ‥‥。
>>	지독하게 아슬아슬한 옷차림이었다. 세퍼레이트 타입이라 가슴의 3분의 2는 드러나 있었다. 게다가 하반신은 하렘 팬츠로 보이는 Ｖ컷 천이 달려 있을 뿐‥‥.
L22277	［ファル］：あまり見ないで‥‥恥ずかしいわ。
>>	［파르］：너무 보지 마‥‥부끄럽잖아.
L22281	［宏治］：１つ聞いてもいいかな‥‥。
>>	［코지］：하나 물어봐도 될까‥‥.
L22285	［宏治］：学生とかに講義するときも、この格好なの？
>>	［코지］：학생들한테 강의할 때도 그 차림이야?
L22289	［ファル］：ち、違うわ‥‥これは部屋着よ。コウジが急にやってきたから‥‥。
>>	［파르］：아, 아니야‥‥이건 실내복이야. 코우지가 갑자기 찾아왔으니까‥‥.
L22293	［宏治］：ふーん、オレはまた、その格好で性教育でも‥‥。
>>	［코지］：흐응, 난 또 그 차림으로 성교육이라도‥‥.
L22295	［ファル］：ば、バカ言ってると‥‥<$0C>んっ。
>>	［파르］：바, 바보 같은 소리 하면‥‥<$0C>읍.
L22298	オレはファルの言葉を唇でふさいだ。この可愛い口は、小言を言うよりはキスをした方が断然良かった。今度は、彼女の方からも舌を差し込んでくる。
>>	나는 파르의 말을 입술로 막았다. 이 귀여운 입은 잔소리를 하기보다 키스를 하는 편이 단연 나았다. 이번에는 그녀 쪽에서도 혀를 밀어 넣어 온다.
L22301	柔らかいファルの身体を抱き上げると、オレは身体をやや斜めに傾けた。そこにはちょうど良い具合に、ベッドが待っている。
>>	부드러운 파르의 몸을 안아 올리고 나는 몸을 약간 비스듬히 기울였다. 거기에는 마침 알맞게 침대가 기다리고 있다.
L22304	ばふっ。
>>	푹.
L22307	あっ、と細い声を出すと、ファルはベッドの上に大の時に倒れ込んだ。横になっても、バストの形が崩れないのはさすがだ。
>>	앗, 하고 가는 소리를 내며 파르는 침대 위에 대자로 쓰러졌다. 누워도 가슴 모양이 무너지지 않는 건 역시 대단하다.
L22310	面白いように機能的な服だった。チョンチョンと要所の止め金を外すだけで、するりと衣服が分離していく。
>>	놀라울 만큼 기능적인 옷이었다. 톡톡 몇 군데 잠금쇠만 풀면 스르륵 옷이 분리되어 간다.
L22313	オレはファルを、生まれたままの姿にすると、その姿に見入った。
>>	나는 파르를 태어난 그대로의 모습으로 만들고, 그 자태에 넋을 잃었다.
L22316	［ファル］：恥ずかしいじゃない‥‥嫌いになっちゃうわヨ。
>>	［파르］：부끄럽잖아‥‥싫어져 버릴 거야.
L22320	［宏治］：ファル、オレもう我慢できないぜ。
>>	［코지］：파르, 나 이제 못 참겠어.
L22323	［ファル］：あら、意外に経験浅そうね。フフ、いいわ、お姉さんがリードしてあげる。
>>	［파르］：어머, 의외로 경험이 얕아 보이네. 후후, 좋아, 누나가 리드해 줄게.
L22327	［宏治］：言ったなっ！
>>	［코지］：말 잘했어!
L22330	オレはファルをうつ伏せにすると、尻を抱えた。あンという悩ましい声を聞きながら、アソコに自分のモノをこすりつけ、具合を確かめてみる。準備は万端だ。
>>	나는 파르를 엎드리게 하고 엉덩이를 안았다. 아앙 하는 교태로운 신음을 들으며, 거기에 내 것을 문질러 감촉을 확인한다. 준비는 완벽하다.
L22333	ずぷぷぷぷぷぷぷっ‥‥‥‥。
>>	쭈뿌뿌뿌뿌뿌뿌뿌뿍‥‥‥‥.
L22336	［ファル］：あっ、あぁぁぁぁぁぁっっ！！
>>	［파르］：앗, 아아아아아아앗!!
L22339	オレのモノは、ファルのアソコにするりと滑り込んだ。中は火傷をしそうなほど熱い。
>>	내 것은 파르의 거기에 미끄러지듯 들어갔다. 속은 화상을 입을 듯 뜨겁다.
L22342	［ファル］：深いわ‥‥凄く、太くて‥‥あっ、あっ‥‥。
>>	［파르］：깊어‥‥엄청, 굵고‥‥앗, 앗‥‥.
L22345	オレは彼女の肉のうごめきに、背筋を指先で撫でられたようにゾクゾクしてしまった。
>>	나는 그녀의 살이 꿈틀대는 감촉에, 등골을 손끝으로 쓰다듬는 듯 오싹해지고 말았다.
L22348	ファルの微妙な肉圧は、動いていないときでも常に変化し、微妙な圧力をオレのモノにかけ続けている。
>>	파르의 미묘한 조임은, 움직이지 않을 때도 늘 변하며, 미묘한 압력을 내 것에 계속 가하고 있다.
L22351	オレは心地よい圧力を感じながら、ゆっくりと引き抜いていった。カリの部分が見えだしたところで止めた。
>>	나는 기분 좋은 압력을 느끼며, 천천히 빼냈다. 귀두 부분이 보이기 시작한 곳에서 멈췄다.
L22354	［ファル］：あはぁ、中に‥‥そのまま中に‥‥。
>>	［파르］：아하아, 안에‥‥그대로 안에‥‥.
L22357	ずりゅぅぅっ。
>>	쭈우우욱.
L22360	［ファル］：んぐぅぅ！　いいわ、そうよっ‥‥もっともっと、動かしてっ！
>>	［파르］：응구우우!　좋아, 그래앗‥‥더더, 움직여엇!
L22363	ずるりと先っぽまで引き抜き、そのまま根本まで突き入れる。オレはこの単純な反復運動に、いい知れない快感を覚えていた。
>>	주르륵 귀두까지 빼고, 그대로 뿌리까지 밀어 넣는다. 나는 이 단순한 반복 운동에, 형언할 수 없는 쾌감을 느끼고 있었다.
L22366	それくらい、ファルの中は気持ちよかった。
>>	그만큼, 파르의 안은 기분 좋았다.
L22369	［ファル］：あはぁぁ、もっと‥‥もっと奥まで‥‥あぁぁぁっ！！
>>	［파르］：아하아아, 더‥‥더 깊숙이‥‥아아아아앗!!
L22373	［宏治］：ヌルヌルして、キツくて気持ちいいぜ、ファルの。
>>	［코지］：미끌미끌하고, 조이고 기분 좋구나, 파르 건.
L22376	［ファル］：そうよ、私のはヌルヌルして、気持ちいいのっ！　もっともっと、突き入れてっ！！
>>	［파르］：그래, 내 건 미끌미끌해서, 기분 좋아앗!　더더, 찔러 넣어엇!!
L22379	出し入れするたびに、中の赤い肉壁が、白濁した粘液と一緒に、オレのモノに絡み付き淫靡な姿を見せていた。
>>	넣고 뺄 때마다, 안의 빨간 살벽이, 희뿌연 점액과 함께, 내 것에 달라붙어 음란한 모습을 드러냈다.
L22383	［宏治］：もっと締めてみろよっ！
>>	［코지］：더 조여 봐앗!
L22386	［ファル］：あぁぁ、こ、これ以上は‥‥。
>>	［파르］：아아아, 이, 이 이상은‥‥.
L22390	［宏治］：自分でアソコをいじってみな。
>>	［코지］：스스로 거기 만져 봐.
L22393	［ファル］：んふぅぅ‥‥こう？　こう？
>>	［파르］：응후우우‥‥이렇게?　이렇게?
L22396	ファルは右手の指の腹で、赤くパンパンに膨れ上がった豆粒ほどの神経を、盛んにこすっていた。そのたびに、肉ヒダはオレのものを中でしごきあげる。
>>	파르는 오른손 손가락 배로, 빨갛게 빵빵하게 부풀어 오른 콩알만 한 그곳을, 열심히 문지르고 있었다. 그럴 때마다, 살주름이 내 것을 안에서 훑어 올린다.
L22399	ファルの尻は、オレの思うように変形し、肉棒をしごきあげ、盛んに振ってオレを誘っていた。
>>	파르의 엉덩이는, 내가 바라는 대로 일그러지고, 육봉을 훑어 올리며, 열심히 흔들어 나를 유혹하고 있었다.
L22402	この白くて量感ある尻を見ていると、ムラムラっときてしまう。
>>	이 하얗고 풍만한 엉덩이를 보고 있으면, 확 달아오르고 만다.
L22405	ピシィッ！
>>	피시잇!
L22408	［ファル］：痛っ！
>>	［파르］：아파!
L22412	［宏治］：プロフェッサのくせに、なんだよ、このイヤらしい尻は！？
>>	［코지］：프로페서 주제에, 뭐야, 이 야한 엉덩이는!?
L22415	［ファル］：あぁ、そんな強く叩かないで‥‥後が付いちゃう！
>>	［파르］：아아, 그렇게 세게 때리지 마‥‥자국이 나잖아!
L22419	［宏治］：この尻で、何人の学生をたぶらかした？
>>	［코지］：이 엉덩이로, 학생 몇 명이나 홀린 거냐?
L22422	［ファル］：そんな‥‥たぶらかすなんて事‥‥。
>>	［파르］：그런‥‥홀리다니 그런 일‥‥.
L22425	ずりゅっっ！！
>>	쭈욱!!
L22428	［ファル］：あぅっ！　ふ、深すぎるぅぅっ！！
>>	［파르］：아윽!　너, 너무 깊어어엇!!
L22432	［宏治］：正直に言わないと、今度は尻の穴に入れるぜ。
>>	［코지］：솔직히 말하지 않으면, 이번엔 엉덩이 구멍에 넣을 거야.
L22435	［ファル］：い、言うわ。さ、３人くらい‥‥。
>>	［파르］：말, 말할게. 세, 세 명 정도‥‥.
L22439	［宏治］：こいつ、３人も‥‥。
>>	［코지］：이 여자, 3명이나‥‥.
L22442	オレはファルの顔を無理矢理後ろにねじ曲げると、乱暴に唇を吸った。夢中で舌を差し込んでくるファルを横目に、オレは大きな乳首をつまみ上げる。
>>	나는 파르의 얼굴을 억지로 뒤로 비틀어 꺾고, 난폭하게 입술을 빨았다. 열중해 혀를 밀어 넣는 파르를 곁눈으로 보며, 나는 큰 젖꼭지를 집어 올린다.
L22445	［ファル］：んっ‥‥んんんんんっっ！
>>	［파르］：읍‥‥으으으으으읏읏!
L22449	［宏治］：このオッパイで、何人の男のをはさんでやった！？
>>	［코지］：이 가슴으로, 남자 몇 명의 것을 끼워 준 거냐!?
L22452	硬くしこった乳首を指先でしごきながら、オレはファルに訊ねた。
>>	단단히 선 젖꼭지를 손가락 끝으로 훑으며, 나는 파르에게 물었다.
L22455	［ファル］：は、はさむなんて、そんなイヤらしいこと、私はしないわ！
>>	［파르］：끼, 끼우다니, 그런 야한 짓, 나는 안 해!
L22458	ビシィィッ！！
>>	철써어억!!
L22461	［ファル］：きゃぅっ！　お、お願い、もうお尻を叩かないで‥‥。
>>	［파르］：꺄윽!　제, 제발, 더 이상 엉덩이 때리지 마‥‥.
L22464	涙を目にためて懇願するファルを見ていると、ムラムラとサディスティックな欲望が突き上げてくる。
>>	눈물을 글썽이며 애원하는 파르를 보고 있으면, 달아오르는 사디스트적 욕망이 치밀어 오른다.
L22468	［宏治］：じゃあ、本当のことを言うんだ！　何人はさんでやった？
>>	［코지］：그럼, 진짜를 말해!　몇 명한테 끼워 줬어?
L22471	［ファル］：あぁぁ、私とした人は、みんなはさんであげたわっ！
>>	［파르］：아아아, 나랑 한 사람은, 전부 끼워 줬어!
L22475	［宏治］：オレとどっちが良い？
>>	［코지］：나랑 어느 쪽이 좋아?
L22479	［ファル］：フン、コウジなんか、下の下‥‥。
>>	［파르］：흥, 코우지 따위, 최하급이지‥‥.
L22482	ビシィィッ！
>>	철써어억!
L22486	［ファル］：あぅぅっ！　ウソよウソ‥‥あぁぁ、コウジが１番よっ！
>>	［파르］：아우우윽!　거짓말이야 거짓말‥‥아아아, 코우지가 １등이야!
L22490	［宏治］：イクときはどうした？　正直に言ってみろ。
>>	［코지］：갈 때는 어떻게 했어?　솔직히 말해 봐.
L22493	［ファル］：そ、そんな‥‥。
>>	［파르］：그, 그런‥‥.
L22496	ずりゅっ、ずりゅっ、ずりゅぅぅぅぅっ！！
>>	쭈욱, 쭈욱, 쭈우우우우욱!!
L22499	［ファル］：んあぅぅぅっ！！　い、イクときはみんな、私の顔にかけるか、口の中に出すわっ！
>>	［파르］：응아우우윽!!　가, 갈 때는 다들, 내 얼굴에 뿌리거나, 입안에 싸!
L22503	［宏治］：どっちがいい？
>>	［코지］：어느 쪽이 좋아?
L22507	［ファル］：あはぁぁぁ、コウジぃぃ‥‥。
>>	［파르］：아하아아아, 코우지이이‥‥.
L22511	［宏治］：顔と口、どっちちがいいか、言ってみな！
