# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L26854	レロっ！
>>	［비앙카］：나한테 물어도 곤란하다. 취사 관련은 서툴러서 말이지.
L27064	［ファル］：お醤油とって頂戴、お醤油。
>>	［파르］：간장 좀 줘, 간장.
L27067	［ランファ］：あーーーーっ！　お味噌汁こぼしちゃったよぉ～！
>>	［란파］：아아아아앗!　된장국 쏟아버렸어어～!
L27070	［トレイシー］：しょうがないわねぇ、ほら、フキフキ。
>>	［트레이시］：어쩔 수 없네요, 자, 쓱쓱.
L27073	［ランファ］：んっ、もう、私の肌はデリケートなんですからねっ。もうちょっと優しく拭いてっ。
>>	［란파］：읏, 정말, 제 피부는 예민하다고요. 좀 더 부드럽게 닦아줘요.
L27076	［ファル］：ちょっとトレイシー、このネギはみじん切りよ。
>>	［파르］：잠깐 트레이시, 이 파는 잘게 다지는 거야.
L27079	［トレイシー］：あら、すみません‥‥。あっ、ビアンカさん、卵といて下さいな。
>>	［트레이시］：어머, 죄송해요‥‥. 앗, 비앙카 씨, 계란 좀 풀어주세요.
L27082	［ビアンカ］：炊事関連は苦手なのに‥‥。
>>	［비앙카］：취사 관련은 서투른데‥‥.
L27085	チャッチャッチャッチャッ‥‥。
>>	착착착착‥‥.
L27088	［トレイシー］：まぁ、手さばきは、ランファよりも上手ですわ。
>>	［트레이시］：뭐, 손놀림은 란파보다 능숙하시네요.
L27091	［ランファ］：なによぉ、トレイシー、プリプリよぉ。私だってねっ！
>>	［란파］：뭐야아, 트레이시, 삐졌어어. 나도 한다고!
L27094	［トレイシー］：はいはい、ランファは食べるのはお上手よ。
>>	［트레이시］：네네, 란파는 먹는 건 잘하죠.
L27097	［ファル］：ほらほらランファ、そんな顔をしてないで、そろそろ食器を並べて頂戴。これと‥‥んしょ、はい、これ。
>>	［파르］：자자 란파, 그런 얼굴 하지 말고, 슬슬 식기를 늘어놔 줘. 이거랑‥‥영차, 자, 이거.
L27100	［ランファ］：えー、私が盛るのぉ？
>>	［란파］：에에, 내가 담는 거야아?
L27103	［ファル］：トレイシーと私は、忙しいのよ、見ればわかるでしょ？
>>	［파르］：트레이시랑 나는 바쁘거든, 보면 알잖아?
L27106	［ビアンカ］：私は、炊事関連は苦手だぞ。
>>	［비앙카］：나는, 취사 관련은 서투르다고.
L27109	［ランファ］：プリプリよぉ！　ぶー。
>>	［란파］：삐졌어어!　부우.
L27112	［トレイシー］：なんです、食事中に下品ですよ。
>>	［트레이시］：뭐예요, 식사 중에 상스럽네요.
L27115	［ファル］：味見をしてみましょう。んっ、デリーシャス！
>>	［파르］：맛 좀 볼까. 음, 딜리셔스!
L27118	［ランファ］：あー、それは私のオカズよぉ！
>>	［란파］：아아, 그건 내 반찬이야아!
L27121	［ファル］：カラアゲの１つくらいなによ。
>>	［파르］：가라아게 하나쯤이 뭐 어때서.
L27124	［ランファ］：私、おなか空いてたのにぃ‥‥。
>>	［란파］：나, 배고팠는데에‥‥.
L27127	［ビアンカ］：そんな目をしても、私のはやらぬぞ。
>>	［비앙카］：그런 눈으로 봐도, 내 건 안 준다.
L27131	［トレイシー］：さぁ、コウジ様、そろそろお席に‥‥。
>>	［트레이시］：자, 코우지 님, 슬슬 자리에‥‥.
L27134	［ファル］：じゃあ、私の‥‥。
>>	［파르］：그럼, 내 옆이‥‥.
L27137	［ランファ］：ランファの隣が空いてるよっ！
>>	［란파］：란파 옆이 비었어요!
L27141	［ビアンカ］：コウジは、私の隣がいいと言っているぞ。
>>	［비앙카］：코우지는 내 옆이 좋다고 하잖나.
L27144	［ランファ］：ずるいですぅ、ランファの隣が‥‥。
>>	［란파］：치사해요, 란파 옆이‥‥.
L27148	［トレイシー］：はい、コウジ様。お座りになってくださいね。
>>	［트레이시］：자, 코우지 님. 앉으세요.
L27151	［ビアンカ］：あっ、トレイシー、いつの間に‥‥。
>>	［비앙카］：앗, 트레이시, 어느 틈에‥‥.
L27154	［ファル］：じゃあ、反対側には私が座るわね。
>>	［파르］：그럼, 반대쪽엔 내가 앉을게.
L27157	［ランファ］：ランファが座るのっ！
>>	［란파］：란파가 앉을 거예요!
L27160	［ファル］：ちょっとランファ‥‥んっ、ちょっとあなた、ここは私の椅子よっ。
>>	［파르］：잠깐 란파‥‥읏, 이봐, 여긴 내 의자야.
L27163	［ランファ］：ずるいですぅ、椅子を移動させるなんて。
>>	［란파］：치사해요, 의자를 옮기다니.
L27166	［ファル］：ちょっとあなた、お尻が大きいわよ。
>>	［파르］：이봐, 엉덩이가 너무 크잖아.
L27169	［トレイシー］：ほらほら、２人とも椅子取りゲームじゃあるまいし。
>>	［트레이시］：자자, 두 분 다. 의자 뺏기 놀이도 아니고.
L27172	［ファル・ランファ］：あなたに言われたくない！
>>	［파르・란파］：너한테 그런 말 듣고 싶지 않아!
L27175	ズズズズズ、ドン。
>>	즈즈즈즈즈, 쿵.
L27178	［ビアンカ］：ふぅ‥‥。
>>	［비앙카］：후우‥‥.
L27181	［ファル］：あっ、ビアンカさん、ずるいわ！
>>	［파르］：앗, 비앙카 씨, 치사해!
L27184	［ランファ］：椅子ごと移動させるなんて‥‥ずるいですぅ！
>>	［란파］：의자째로 옮기다니‥‥치사해요!
L27188	［トレイシー］：はい、コウジ様、あーーーん。
>>	［트레이시］：자, 코우지 님, 아―――앙.
L27191	［ファル］：それは私の役目よ、トレイシー。
>>	［파르］：그건 내 역할이야, 트레이시.
L27195	［ビアンカ］：コウジは私の手から食べたいんだよなっ。
>>	［비앙카］：코우지는 내 손에서 받아먹고 싶은 거지?
L27198	［ファル］：私よねっ！
>>	［파르］：나잖아, 그렇지!
L27201	［ランファ］：ランファですぅ‥‥。
>>	［란파］：란파예요‥‥.
L27204	［トレイシー］：無論、私ですわ。
>>	［트레이시］：물론, 저지요.
L27208	［宏治］：あの爆発で、例のエンコーダが吹き飛んでからというもの‥‥。
>>	［코지］：그 폭발로 문제의 인코더가 날아간 뒤로는‥‥.
L27211	［ビアンカ］：すまぬ、私のせいで‥‥。
>>	［비앙카］：미안하다, 나 때문에‥‥.
L27215	［宏治］：い、いやビアンカは悪くないって‥‥。
>>	［코지］：아, 아니 비앙카 잘못이 아니라니까‥‥.
L27219	［宏治］：もともと破壊するはずだったエンコーダだ、オレにとっては望ましい結果のはずだったけど‥‥。
>>	［코지］：원래 부술 예정이던 인코더니까, 나한테는 바람직한 결과였을 텐데‥‥.
L27223	［コウジ］：《フン、まぁシンクロはすぐに出来るようにはなったがな。》
>>	［코우지］：《흥, 뭐 싱크로는 금방 할 수 있게 됐다만.》
L27227	［宏治］：いつまで、この状態は続くのかな‥‥。
>>	［코지］：언제까지 이 상태가 계속되려나‥‥.
L27231	［宏治］：夜は夜で、疲れるんだよなぁ‥‥。
>>	［코지］：밤은 밤대로 피곤하단 말이지‥‥.
L27235	［ファル］：コウジ、どうしたのよ？　湿っぽい顔しちゃって。
>>	［파르］：코우지, 왜 그래?　우중충한 얼굴을 하고서.
L27238	［トレイシー］：どこか痛むのですか？　何だったら私が看病‥‥。
>>	［트레이시］：어딘가 아프신가요?　뭣하면 제가 간병을‥‥.
L27241	［ランファ］：ランファが元気づけてあげるわっ！
>>	［란파］：란파가 기운 나게 해 줄게요!
L27245	［ビアンカ］：ジロッ、コウジはな、私と‥‥。
>>	［비앙카］：힐끔, 코우지는 말이다, 나랑‥‥.
L27249	［宏治］：‥‥という訳らしい。ふぅ‥‥。
>>	［코지］：‥‥라는 모양이다. 후우‥‥.
L27252	［ファル］：ほら、洗ってあげるわ。
>>	［파르］：자, 씻겨 줄게.
L27256	［宏治］：わははは、くすぐったいよ。
>>	［코지］：와하하하, 간지러워.
L27259	［ファル］：だーめ、ちゃんと洗わないと、お口でしてあげないから。
>>	［파르］：안―돼, 제대로 안 씻으면 입으로 해 주지 않을 거야.
L27263	［宏治］：えっ、ホント？　じゃあ、飲んでくれる？
>>	［코지］：엇, 정말?　그럼, 마셔 줄래?
L27266	［ファル］：しょうがないわねぇ‥‥ウフフ、いいわよ、飲んであげる。
>>	［파르］：어쩔 수 없네‥‥우후후, 좋아, 마셔 줄게.
L27270	［宏治］：いょっしゃーっ。
>>	［코지］：좋았어―앗.
L27273	［ファル］：なにリキんでんのよ、まったく‥‥。
>>	［파르］：뭘 그렇게 힘주는 거야, 참‥‥.
L27276	ブクブクブクブク‥‥。
>>	부글부글부글부글‥‥.
L27280	［宏治］：わははは、くすぐったいよ、ファル。
>>	［코지］：와하하하, 간지러워, 파르.
L27283	［ファル］：お尻も洗ってあげるわ。むこう向いて。
>>	［파르］：엉덩이도 씻겨 줄게. 저쪽 봐.
L27287	［宏治］：こう？　わはははは。
>>	［코지］：이렇게?　와하하하하.
L27290	［ファル］：んもう、雰囲気ないわね。
>>	［파르］：정말이지, 분위기 없네.
L27294	［宏治］：だってさ、くすぐったいんだから、しょうがない‥‥うっ。
>>	［코지］：그치만 간지러운걸, 어쩔 수 없잖아‥‥읏.
L27298	［ファル］：コウジのって、かわいいわね。ちっちゃくて。
>>	［파르］：코우지 건 귀엽네. 조그맣고.
L27302	［宏治］：尻の穴が大きかったら、不気味だぞ。
>>	［코지］：엉덩이 구멍이 크면 그게 더 징그럽지.
L27305	［ファル］：んもう‥‥もっと感じてよっ。
>>	［파르］：정말‥‥좀 더 느껴 보라니까.
L27309	［宏治］：感じてるって。
>>	［코지］：느끼고 있다니까.
L27312	［ファル］：どれどれ‥‥す、凄いわ‥‥こんなに硬くて‥‥。
>>	［파르］：어디 보자‥‥대, 대단해‥‥이렇게 딱딱해서‥‥.
L27316	［宏治］：ちょっと、そんなに上下にしごいたら‥‥感じちゃうぜ。
>>	［코지］：잠깐, 그렇게 위아래로 훑으면‥‥느껴 버린다고.
L27319	［ファル］：フフ、ほら、今度は前向いて。
>>	［파르］：후후, 자, 이번엔 앞을 봐.
L27322	［ファル］：フフ、こんなにそびえ立っちゃって‥‥。
>>	［파르］：후후, 이렇게 우뚝 솟아서‥‥.
L27326	［宏治］：しょうがないだろ、ファルが刺激するんだから。
>>	［코지］：어쩔 수 없잖아, 파르가 자극하니까.
L27329	［ファル］：ほら、してあげるから、私の顔の前に‥‥。
>>	［파르］：자, 해 줄 테니까, 내 얼굴 앞으로‥‥.
L27333	［宏治］：こう？
>>	［코지］：이렇게?
L27336	［ファル］：パクッ。
>>	［파르］：덥석.
L27339	ワチュワチュワチュ‥‥。
>>	츄릅츄릅츄릅‥‥.
L27343	［宏治］：んぉぉ、こ、このまったりとした舌使いと、なま暖かい口腔の感覚といったら‥‥。
>>	［코지］：으오오, 이, 이 끈적한 혀놀림과 미지근한 입안의 감촉이란‥‥.
L27346	［ファル］：もうひょっひょ、あひひはいへ。
>>	［파르］：홈 허, 하히 허혀.
L27349	［ファル］：あひほ、ひはふほ！
>>	［파르］：하히, 허히하호!
L27353	［宏治］：あぁ、脚を開くのね。
>>	［코지］：아아, 다리를 벌리라는 거구나.
L27356	クリクリッ。
>>	문질, 문질.
L27360	［宏治］：ぬぅ、あ、アヌスまで‥‥。
>>	［코지］：으윽, 아, 항문까지‥‥.
L27363	［ファル］：ンフフ‥‥。
>>	［파르］：응후후‥‥.
L27367	［宏治］：で、出そうだよ、ファル‥‥このまま出していい？
>>	［코지］：나, 나올 것 같아, 파르‥‥이대로 싸도 돼?
L27370	［ファル］：うん。
>>	［파르］：응.
L27374	［宏治］：で、でるぞ！
>>	［코지］：나, 나온다!
L27377	［ファル］：もう、こんなに大量に射精するなんて‥‥。
>>	［파르］：정말, 이렇게 많이 사정하다니‥‥.
L27381	［宏治］：ご、ゴメン‥‥あんまり気持ちよかったもんだから。
>>	［코지］：미, 미안‥‥너무 기분 좋았단 말이야.
L27384	［ファル］：フフ、いいわ。でも、まだまだいけそうね。
>>	［파르］：후후, 괜찮아. 그런데 아직 더 갈 수 있겠네.
L27388	［宏治］：あぁ、いけるぜ。ファル！
>>	［코지］：그래, 갈 수 있어. 파르!
L27391	［ファル］：あン、ダメよ！
>>	［파르］：앙, 안 돼!
L27395	［ファル］：もう、ケモノよぉ、コウジったらぁ！
>>	［파르］：정말, 짐승이라니까, 코우지도 참!
L27399	［宏治］：オレはケモノだ、がるるるる。
>>	［코지］：나는 짐승이다, 그르르르르.
L27402	［ファル］：バカね‥‥あぁぁ、もっと突いて、激しくっ！
>>	［파르］：바보‥‥아아아, 더 박아 줘, 격하게!
L27406	［宏治］：こうか、こうか！？
>>	［코지］：이렇게, 이렇게!?
L27409	［ファル］：あぁぁ、そうよ、そうよっ、もっとグリグリしてっ！
>>	［파르］：아아아, 그래, 그래, 더 문질러 줘!
L27413	［宏治］：こうかぁぁっ！？
>>	［코지］：이렇게에엣!?
L27416	グリグリグリ！！！
>>	문질문질문질!!!
L27419	［ファル］：あふぅぅぅ‥‥もっと胸も揉んでちょうだい！
>>	［파르］：아후우우‥‥가슴도 더 주물러 줘!
L27422	むにゅっ、むにゅっ。
>>	물컹, 물컹.
L27425	［ファル］：もっと強くよっ！
>>	［파르］：더 세게!
L27428	ぎゅぅぅぅっっ！！
>>	꽈아아악!!
L27431	［ファル］：あはぁぁっ！　痛いけど、気持ちいいわっ！　乳首も、乳首もひねってぇ！！
>>	［파르］：아하아앗!　아프지만 기분 좋아!　젖꼭지도, 젖꼭지도 비틀어 줘!!
L27434	むぎゅぅぅぅっっ！！！
>>	꽈아아악!!!
L27437	［ファル］：あぁぁぁ、いいわ、すごいわっ！　感じちゃう！！
>>	［파르］：아아아아, 좋아, 굉장해!　느껴져 버려!!
L27441	［宏治］：ヌルヌルして、ぎゅぅぎゅぅ締め付けてくる‥‥ファルのアソコが。
>>	［코지］：미끈미끈하고 꽉꽉 조여 온다‥‥파르의 거기가.
L27444	［ファル］：気持ちいいって、言ってっ！
>>	［파르］：기분 좋다고 말해 줘!
L27448	［宏治］：気持ちいいよ、最高だよ！
>>	［코지］：기분 좋아, 최고야!
L27451	［ファル］：私も、私も気持ちいいわっ！
>>	［파르］：나도, 나도 기분 좋아!
L27455	［宏治］：ねぇ、ファル。
>>	［코지］：있잖아, 파르.
L27458	［ファル］：な、なに‥‥あっ、あっ‥‥。
>>	［파르］：뭐, 뭔데‥‥앗, 앗‥‥.
L27462	［宏治］：お尻でしちゃ、だめ？
>>	［코지］：엉덩이로 하면, 안 돼?
L27465	［ファル］：えー、アナルセックス！？　ホントにケダモノね、あなたって。
>>	［파르］：에에―, 애널 섹스!?　정말 짐승이네, 너란 사람.
L27469	［宏治］：な、何だよ‥‥別に、いいかなって‥‥うじうじ。
>>	［코지］：뭐, 뭐야‥‥그냥, 괜찮을까 해서‥‥우물쭈물.
L27472	［ファル］：んもう、しょうがないわねっ。
>>	［파르］：정말이지, 어쩔 수 없네.
L27476	［宏治］：えっ？　いいの？
>>	［코지］：엇?　괜찮아?
L27479	［ファル］：フフ、いいわよ。でも、優しくしてね。
>>	［파르］：후후, 좋아. 대신 살살 해 줘.
L27483	［宏治］：うん、するする。
>>	［코지］：응, 그럴게 그럴게.
L27486	ぐぐっ‥‥‥‥。
>>	꾸욱‥‥‥‥.
L27489	［ファル］：痛っ‥‥ちょ、ちょっとそんなにいきなりは‥‥。
>>	［파르］：아파‥‥자, 잠깐 그렇게 갑자기는‥‥.
L27492	ぬりゅぅぅぅぅぅぅぅ‥‥‥‥。
>>	미끄으으으으으으윽‥‥‥‥.
L27495	［ファル］：あっ、ダメ‥‥あぁぁぁぁっっ！！
>>	［파르］：앗, 안 돼‥‥아아아아앗!!
L27499	［宏治］：もう全部入っちゃったよ。
>>	［코지］：벌써 전부 들어가 버렸어.
L27502	［ファル］：あ、イヤっ、まだ‥‥んっ、まだちょっと、キツいわ‥‥。
>>	［파르］：아, 싫어, 아직‥‥읏, 아직 좀 빡빡해‥‥.
L27506	［宏治］：ゆっくり、動かすね。
>>	［코지］：천천히 움직일게.
L27509	ずっ、ずっ‥‥ずりゅっ、ずりゅっ‥‥。
>>	쭉, 쭉‥‥쭈욱, 쭈욱‥‥.
L27513	［ファル］：んっ‥‥何だか、変な感じよ、コウジ‥‥。
>>	［파르］：읏‥‥왠지 이상한 느낌이야, 코우지‥‥.
L27517	［宏治］：どんな感じ？
>>	［코지］：어떤 느낌인데?
L27520	［ファル］：く、口じゃ表現できない感じなの‥‥あっ、あっ！、あっ！
>>	［파르］：마, 말로는 표현 못 할 느낌이야‥‥앗, 앗!, 앗!
L27524	［宏治］：こっちも、結構ヌルヌルして、ギュウギュウ締め付けてくるね‥‥。
>>	［코지］：여기도 꽤 미끈미끈하고 꽉꽉 조여 오네‥‥.
L27527	［ファル］：あっ、あっ‥‥そ、そんなに速く動いたら‥‥ダメ‥‥何だか、変になっちゃいそうよぉっ！
>>	［파르］：앗, 앗‥‥그, 그렇게 빨리 움직이면‥‥안 돼‥‥왠지 이상해질 것 같아!
L27531	［宏治］：お、オレも何だか‥‥くっ！
>>	［코지］：나, 나도 왠지‥‥윽!
L27534	［ファル］：あぁぁ、そんなに突き上げたら‥‥うっ！
>>	［파르］：아아아, 그렇게 밀어 올리면‥‥읏!
L27538	［宏治］：まだまだ、イッたらダメだぜ。
>>	［코지］：아직 멀었어, 가면 안 되지.
L27541	［ファル］：もう、のぼせちゃいそう‥‥。
>>	［파르］：이제 현기증 날 것 같아‥‥.
L27545	［宏治］：じゃあ、この格好のまま、ベッドへ行こう。
>>	［코지］：그럼, 이 자세 그대로 침대로 가자.
L27548	［ファル］：えぇ！　こ、この格好のまま？
>>	［파르］：에엣!　이, 이 자세 그대로?
L27552	［宏治］：そう。その方が、いいじゃん。
>>	［코지］：그래. 그 편이 좋잖아.
L27555	［ファル］：だ、誰か来たら、どうするのよ。カギ掛けてないわよ、部屋のドア。
>>	［파르］：누, 누가 오면 어쩌려고. 잠그지도 않았어, 방문.
L27559	［宏治］：チッチッチ。だから刺激的なんだろ？　ほら、いくぜ。
>>	［코지］：쯧쯧쯧. 그러니까 자극적인 거잖아?　자, 간다.
L27562	［ファル］：あン、ダメだったらぁ。
>>	［파르］：앙, 안 된다니까아.
L27566	［宏治］：転ばないでくれよ。ファルが転んだら、アレが骨折しちまうよ。
>>	［코지］：넘어지지 마. 파르가 넘어지면 그게 부러진다고.
L27569	［ファル］：骨折なんてする訳ないでしょ！
>>	［파르］：부러질 리가 없잖아!
L27572	［ファル］：ったくもぉ、しょうがないんだから‥‥。
>>	［파르］：정말이지, 어쩔 수 없다니까‥‥.
L27576	［宏治］：なんか、つながったまま歩くのって、結構感じるかも。
>>	［코지］：뭔가, 이어진 채로 걷는 거 꽤 느껴지는데.
L27579	［ファル］：わ、私はそれどころじゃないわ。歩きにくくて‥‥。
>>	［파르］：나, 나는 그럴 상황이 아니야. 걷기 힘들어서‥‥.
L27583	［宏治］：人間には四つん這いは向いてないんだよね。
>>	［코지］：인간한테 네발로 걷는 건 안 맞는단 말이지.
L27586	［ファル］：あン‥‥そ、そんなに揺らしたら、お尻の穴が広がっちゃう！
>>	［파르］：앙‥‥그, 그렇게 흔들면 엉덩이 구멍이 벌어져 버려!
L27590	［宏治］：よし、ベッドだ！
>>	［코지］：좋아, 침대다!
L27593	［ファル］：あぁぁ、もう‥‥無茶苦茶にしてっ！
>>	［파르］：아아아, 정말‥‥엉망으로 만들어 줘!
L27597	［宏治］：よしっ！　こうかっ！？
>>	［코지］：좋았어!　이렇게!?
L27600	［ファル］：もっと、脚をいっぱいに広げて頂戴！
>>	［파르］：더, 다리를 활짝 벌려 줘!
L27603	ぐぐぐぅぅぅっ！！
>>	꾸꾸꾸우우욱!!
L27606	［ファル］：そのまま突き入れてっ！
>>	［파르］：그대로 밀어 넣어 줘!
L27609	ずりゅっっ！！！
>>	쭈욱!!!
L27612	［ファル］：あはぁぁぁっ！　奥まで当たってるぅっ！！
>>	［파르］：아하아아앗!　안쪽까지 닿고 있어!!
L27616	［宏治］：すっごく締め付けてるぜ、アソコが‥‥。
>>	［코지］：엄청 조여 오는데, 거기가‥‥.
L27619	［ファル］：そうよ、そうよっ、あっ、あっ‥‥もっともっと、速く動かしてっ！
>>	［파르］：그래, 그래, 앗, 앗‥‥더 더, 빨리 움직여 줘!
L27623	［宏治］：くのっ、むんっ、くっ。
>>	［코지］：크읏, 흐읍, 윽.
L27626	［ファル］：あぐぅぅっ‥‥も、もうダメ‥‥イっちゃいそう‥‥あぅ！！
>>	［파르］：아그으윽‥‥이, 이제 안 돼‥‥가 버릴 것 같아‥‥아읏!!
L27630	［宏治］：オレも、限界だよ‥‥ファル‥‥。
>>	［코지］：나도 한계야‥‥파르‥‥.
L27634	［ファル］：コウジぃ、キスして‥‥お願い‥‥キスしながら、射精してっ！
>>	［파르］：코우지이, 키스해 줘‥‥부탁이야‥‥키스하면서 사정해 줘!
L27638	［宏治］：いいぜ。
>>	［코지］：좋아.
L27641	［ファル］：んっ‥‥んんんんっ‥‥。
>>	［파르］：읏‥‥으으으읏‥‥.
L27645	［宏治］：んぐっ、んぐっ。
>>	［코지］：읍, 읍.
L27648	［ファル］：んふあぁぁ‥‥もっと唾液を飲ませてっ！
