# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L16148	［コウジ］：どうしたのだ。
>>	［메구미］：어째서라니‥‥화낼 거야!
L16250	恵のこめかみに血管が浮き出したところで、やめておいた。
>>	메구미의 관자놀이에 핏줄이 불거지는 것을 보고, 그쯤에서 그만두었다.
L16253	ほとんど半裸の恵に、幾重にも巻き付いている革ベルトを、さっさと解いていった。
>>	거의 반라인 메구미의 몸에 몇 겹으로 감겨 있는 가죽 벨트를, 척척 풀어 나갔다.
L16256	［恵］：アタタタ‥‥。
>>	［메구미］：아타타타‥‥.
L16259	どこかの拳法家のような声を出しながら、恵は腕や太股をこすっていた。所々、青くアザになっているようだ。
>>	어딘가의 권법가 같은 소리를 내면서, 메구미는 팔과 허벅지를 문지르고 있었다. 군데군데, 퍼렇게 멍이 든 모양이다.
L16263	［コウジ］：よく１人で縛れたものだ。
>>	［코우지］：용케 혼자서 묶었군.
L16266	［恵］：バカ言ってないで。あの沙夜香にやられたのよっ！
>>	［메구미］：바보 같은 소리 하지 마. 그 사야카한테 당한 거라고!
L16270	［コウジ］：ほぉ、沙夜香に。
>>	［코우지］：호오, 사야카에게.
L16273	［恵］：あの女、私がパパに言ってやるって言ったら、あわてちゃってさ。
>>	［메구미］：그 여자, 내가 아빠한테 이른다고 했더니, 당황하더라니까.
L16277	［コウジ］：パパ？
>>	［코우지］：아빠?
L16280	［恵］：私のお父さんは、ここのスポンサーなのっ。沙夜香が慌てるわけよ。
>>	［메구미］：우리 아버지는, 여기 스폰서란 말이야. 사야카가 당황할 만하지.
L16284	［コウジ］：なにをだ。
>>	［코우지］：무엇을 말이냐.
L16287	［恵］：あのヒトね、ここの研究を自分のものにしたいのよ。
>>	［메구미］：그 사람 말이야, 여기 연구를 자기 것으로 만들고 싶은 거야.
L16291	［コウジ］：フン、なかなか見所があるな、あの女。
>>	［코우지］：흥, 제법 볼 만한 구석이 있군, 그 여자.
L16294	［恵］：あのねぇ、他人様の研究を横取りしようって魂胆なのよ。
>>	［메구미］：저기 말이야, 남의 연구를 가로채겠다는 속셈이라고.
L16298	［コウジ］：それのどこが悪いのか。横取りされるような間抜けが悪いのだ。
>>	［코우지］：그게 뭐가 나쁘다는 거냐. 가로채이는 얼간이가 나쁜 것이다.
L16302	［恵］：‥‥宏治、なんか変わったわねぇ。
>>	［메구미］：‥‥코지, 뭔가 변했네.
L16306	［コウジ］：私は私だ。変わりようがないが。
>>	［코우지］：나는 나다. 변할 도리가 없다만.
L16309	［恵］：もう、ばっかねぇ‥‥。
>>	［메구미］：정말, 바보 같긴‥‥.
L16312	恵は露骨に呆れ顔をしながら、私の傍らへやってきた。
>>	메구미는 노골적으로 어이없다는 얼굴을 하면서, 내 곁으로 다가왔다.
L16315	［恵］：それよりさ、何なの、コレ。
>>	［메구미］：그보다 말이야, 뭐야, 이거.
L16319	［コウジ］：何、とは？
>>	［코우지］：뭐, 라니?
L16322	恵はアゴをしゃくりながら、目の前の機械を指し示す。
>>	메구미는 턱짓을 하면서, 눈앞의 기계를 가리킨다.
L16325	［恵］：これって一体‥‥。
>>	［메구미］：이건 대체‥‥.
L16329	［コウジ］：これか、これは大宇宙海賊霊子エナジー増幅ジェネレータ２だ。
>>	［코우지］：이거 말이냐, 이건 대우주 해적 영자 에너지 증폭 제너레이터２다.
L16332	［恵］：なによ、そのいかれた名前は。
>>	［메구미］：뭐야, 그 정신 나간 이름은.
L16336	［コウジ］：そういえば、貴様の父親とやらが、こいつの資金を出しているのか？
>>	［코우지］：그러고 보니, 네놈의 아버지라는 자가, 이 물건의 자금을 대고 있는 것이냐?
L16339	［恵］：よくわからないけど、このセンター全体にね。
>>	［메구미］：잘은 모르지만, 이 센터 전체에 말이야.
L16343	［コウジ］：フン、そうか‥‥。
>>	［코우지］：흥, 그런가‥‥.
L16347	［恵］：それより宏治、さっさとこんなとこ、出ちゃいなさいよ。
>>	［메구미］：그보다 코지, 얼른 이런 데서 나가 버려.
L16351	［コウジ］：コンピュータルームをか？
>>	［코우지］：컴퓨터룸을 말이냐?
L16354	［恵］：違う。もうこのセンターにいる必要はなくなったわ。
>>	［메구미］：아니. 이제 이 센터에 있을 필요는 없어졌어.
L16358	［コウジ］：どういうことだ。
>>	［코우지］：무슨 소리냐.
L16361	［恵］：だから、あなたがここにいる必要がないってこと。
>>	［메구미］：그러니까, 네가 여기 있을 필요가 없다는 거야.
L16365	［コウジ］：ここにいてはいけないのか？
>>	［코우지］：여기 있으면 안 되는 것이냐?
L16368	［恵］：いけない訳じゃないけど‥‥。
>>	［메구미］：안 되는 건 아니지만‥‥.
L16372	［コウジ］：では私に構うな。
>>	［코우지］：그럼 나에게 참견하지 마라.
L16375	［恵］：なによそれぇ、あなたの為に言ってるんじゃない。
>>	［메구미］：뭐야 그게, 널 위해서 말하는 거잖아.
L16378	顔にやや険をうかべて、恵は猛烈に抗議してきた。
>>	얼굴에 다소 험한 기색을 띠고, 메구미는 맹렬히 항의해 왔다.
L16382	どうも解せなかった。この恵とやらいう女は、宏治という脆弱な男の恋人ではなかったのか‥‥。
>>	아무래도 납득이 되지 않았다. 이 메구미라나 하는 여자는, 코지라는 취약한 남자의 연인이 아니었던가‥‥.
L16386	［コウジ］：（だが、この当たり方はどうしたことだ‥‥。）
>>	［코우지］：（하지만, 이 대하는 태도는 어찌 된 일인가‥‥.）
L16389	ふむ、ロジカルに分析してみよう。
>>	흠, 논리적으로 분석해 보자.
L16392	恵の言動から解釈するに、この脆弱な肉体に宿っていた精神は、同様に脆弱でかつ貧弱であったに違いない。
>>	메구미의 언동으로 해석하건대, 이 취약한 육체에 깃들어 있던 정신은, 마찬가지로 취약하고 빈약했음에 틀림없다.
L16395	それに対する、いらだち、怒り、そして不安を言動の端々に見て取ることができる。
>>	그에 대한, 초조함, 분노, 그리고 불안을 언동 곳곳에서 읽어 낼 수 있다.
L16399	［コウジ］：（だとすれば‥‥‥‥。）
>>	［코우지］：（그렇다면‥‥‥‥.）
L16402	恵の、あの突き放したかのような言動は、男に強力な吸引力で引っ張って欲しい事の、裏返しなのではないか‥‥？
>>	메구미의, 그 밀쳐 내는 듯한 언동은, 남자가 강력한 흡인력으로 이끌어 주기를 바라는 마음이 뒤집혀 나온 것이 아닐까‥‥?
L16405	だとすればつじつまが合う。
>>	그렇다면 앞뒤가 맞는다.
L16409	未練がましく、文字どおり女々しく突っかかってくるのは、私‥‥すなわち宏治とやらいう脆弱な精神に対する、メタモルフォーゼとも言うべき変貌の期待感に他ならない。
>>	미련스럽게, 문자 그대로 계집애처럼 대들어 오는 것은, 나‥‥즉 코지라는 취약한 정신에 대해, 메타모르포제라 할 만한 변모를 기대하고 있기 때문임에 틀림없다.
L16413	［コウジ］：フッフッフ‥‥完ぺきなロジックだな。
>>	［코우지］：후훗훗‥‥완벽한 논리로군.
L16416	［恵］：ど、どうしたのよ、急に。バッカみたい。
>>	［메구미］：뭐, 뭐야 갑자기. 바보 같아.
L16419	間違いない、この女は、犯されるのを待っているのだ。自分を屈服させ、引っ張っていってくれる男が現れるのを‥‥。
>>	틀림없다, 이 여자는, 범해지기를 기다리고 있는 것이다. 자신을 굴복시키고, 이끌어 줄 남자가 나타나기를‥‥.
L16423	［コウジ］：恵、貴様の父親は、確かこの世界の権力者だったな。
>>	［코우지］：메구미, 네놈의 아버지는, 분명 이 세계의 권력자였지.
L16426	［恵］：そういう言い方は誤解を生むわ。主権在民、権力者は国民で、政治家は公僕に過ぎないのよ。
>>	［메구미］：그런 말투는 오해를 낳아. 주권재민, 권력자는 국민이고, 정치가는 공복에 지나지 않아.
L16430	［コウジ］：フン、しゃらくさい事を言う。
>>	［코우지］：흥, 건방진 소리를 하는군.
L16433	［恵］：でもね、パパにかかったらね、こんな医療センター、一発でつぶれるわ。
>>	［메구미］：하지만 말이야, 아빠 손에 걸리면, 이런 의료 센터, 단번에 망해.
L16437	［コウジ］：（なるほど、ファザーコンプレクスだな、これは。）
>>	［코우지］：（과연, 파더 콤플렉스로군, 이건.）
L16441	［コウジ］：（意外に扱いやすそうだ。しかも、父親が権力者か‥‥クックック。）
>>	［코우지］：（의외로 다루기 쉬울 듯하다. 게다가, 아버지가 권력자라‥‥큭큭큭.）
L16444	利用しない手はない。そう断定すると、私は恵の手を握って、少し乱暴に引き寄せた。
>>	이용하지 않을 이유가 없다. 그렇게 단정하고, 나는 메구미의 손을 잡아, 조금 난폭하게 끌어당겼다.
L16446	［恵］：あっ、痛っ‥‥<$0C>んっ！？
>>	［메구미］：앗, 아파‥‥<$0C>읍!?
L16449	私は有無を言わさず、唇を重ね合わせた。すかさず舌を送り込み、彼女の舌を絡め取る。
>>	나는 다짜고짜, 입술을 포개었다. 곧바로 혀를 밀어 넣어, 그녀의 혀를 휘감아 낚아챈다.
L16452	［恵］：んんっ、んんんんっっ！
>>	［메구미］：읍, 으으읍!
L16455	身体をばたつかせているが、意外に力は強くない。本気で嫌がるなら、私の舌を噛みきればいい。
>>	몸을 버둥거리고 있지만, 의외로 힘은 세지 않다. 진심으로 싫다면, 내 혀를 깨물어 끊으면 될 일이다.
L16458	そうしないところを見ると、どうやら私の予想通りというところか。
>>	그러지 않는 것을 보면, 아무래도 내 예상대로인 모양인가.
L16461	［恵］：んっ‥‥‥‥。
>>	［메구미］：응‥‥‥‥.
L16464	堅く握っていたコブシもとかれ、今は私の首の後ろに回され、情熱的に抱擁されている。
>>	굳게 쥐고 있던 주먹도 풀려, 지금은 내 목 뒤로 둘러져, 정열적으로 끌어안고 있다.
L16467	私は少し乱暴に、彼女の胸をはいだ。ブチブチとボタンが弾け飛び、中のこぶりな胸があらわになる。
>>	나는 조금 난폭하게, 그녀의 옷가슴을 벗겼다. 투둑투둑 단추가 튕겨 날아가고, 안의 자그마한 가슴이 드러난다.
L16470	素早く乳首の先を指でひねりあげる。マゾの女をどうすれば良いか、私は熟知している。
>>	재빨리 젖꼭지 끝을 손가락으로 비틀어 올린다. 마조 여자를 어찌하면 되는지, 나는 훤히 알고 있다.
L16473	［恵］：い、痛いじゃない！
>>	［메구미］：아, 아프잖아!
L16476	私は恵の非難の声を無視して、背中から手を回し、襟元に指をひっかけると、一挙に服を下に引き下ろした。
>>	나는 메구미의 비난하는 목소리를 무시하고, 등 뒤로 손을 돌려, 옷깃에 손가락을 걸고는, 단숨에 옷을 아래로 끌어내렸다.
L16479	ビリビリビリっ！！！
>>	찌지지직!!!
L16482	［恵］：きゃぁぁっ！　ら、乱暴は、やめてっ！
>>	［메구미］：꺄아앗!　나, 난폭하게 구는 건, 그만둬!
L16486	［コウジ］：フン、誰がご主人様か、これからたっぷりと教えてやる、恵‥‥。
>>	［코우지］：흥, 누가 주인님인지, 지금부터 실컷 가르쳐 주마, 메구미‥‥.
L16489	［恵］：な、なによ、それ‥‥。
>>	［메구미］：뭐, 뭐야, 그게‥‥.
L16492	狼狽と困惑をたたえる目の中に、私は恍惚の光も見て取った。間違いない、この女はマゾだ。
>>	당황과 곤혹을 머금은 눈 속에서, 나는 황홀의 빛도 읽어 냈다. 틀림없다, 이 여자는 마조다.
L16496	［コウジ］：さぁ、しゃぶってもらおうか。
>>	［코우지］：자, 빨아 주어야겠군.
L16499	［恵］：い、いやよ‥‥。
>>	［메구미］：시, 싫어‥‥.
L16503	［コウジ］：フン、口でいってもわからないらしいな‥‥。
>>	［코우지］：흥, 말로 해선 모르는 모양이군‥‥.
L16506	私は再び恵の乳首をひねりあげると、もう片方の手を彼女の下半身へのばす。
>>	나는 다시 메구미의 젖꼭지를 비틀어 올리고는, 다른 한 손을 그녀의 하반신으로 뻗는다.
L16509	そこはしっとりと濡れそぼっており、硬い木の芽のような突起物を素早く探し出すと、それを指先でひねりあげる。
>>	그곳은 촉촉이 흠뻑 젖어 있었고, 단단한 나무 새순 같은 돌기물을 재빨리 찾아내고는, 그것을 손끝으로 비틀어 올린다.
L16512	［恵］：んきゃぅぅっ！！
>>	［메구미］：흐꺄아앗!!
L16515	恵はガクガクと膝を震わせ、口元からはよだれをながし、目からは涙を溢れさせている。しかしその表情は恍惚のそれだ。
>>	메구미는 덜덜 무릎을 떨고, 입가로는 침을 흘리며, 눈에서는 눈물을 흘러넘치게 하고 있다. 그러나 그 표정은 황홀 그것이다.
L16519	［コウジ］：もう一度言う、しゃぶれ。
>>	［코우지］：한 번 더 말한다, 빨아라.
L16522	［恵］：わ、わかったわ‥‥。
>>	［메구미］：아, 알았어‥‥.
L16525	ギュッ！
>>	꽉!
L16528	［恵］：んあぅぅっ！！！
>>	［메구미］：흐아아앗!!!
L16532	［コウジ］：言葉遣いが、なってないな。
>>	［코우지］：말버릇이, 글러먹었군.
L16535	［恵］：あはぁぁ、わ、わかりました‥‥。
>>	［메구미］：아하아아, 아, 알겠습니다‥‥.
L16538	恵は私の前にひざまずくと、邪魔らしいキュロットとパンティを自発的に脱ぎだした。太股の内側は粘液ですでに濡れている。
>>	메구미는 내 앞에 무릎 꿇고는, 거추장스러운 퀼로트와 팬티를 자발적으로 벗기 시작했다. 허벅지 안쪽은 점액으로 이미 젖어 있다.
L16541	恵は私の下半身から目的の肉棒を取り出すと、ためらわず口に頬張った。
>>	메구미는 내 하반신에서 목적한 육봉을 꺼내고는, 망설임 없이 입에 머금었다.
L16544	恵は亀頭の先を、しっぽりと濡れた唇で万遍なく愛撫していた。ときおり出す舌先でチロチロとなめながら、口を肉棒に沿ってスライドさせる。
>>	메구미는 귀두 끝을, 촉촉이 젖은 입술로 고루 애무하고 있었다. 이따금 내미는 혀끝으로 날름날름 핥으면서, 입을 육봉을 따라 미끄러뜨린다.
L16547	じゅるっ、じゅるっ‥‥。
>>	쭈릅, 쭈릅‥‥.
L16550	唐突に、亀頭の先に唇を当てたかと思うと、口を開けて一挙に口腔に肉棒を飲み込んだ。
>>	갑자기, 귀두 끝에 입술을 댔나 싶더니, 입을 벌려 단숨에 구강으로 육봉을 삼켰다.
L16553	決して短くはない肉棒が、たやすく恵の口の中へと消えていく。
>>	결코 짧지 않은 육봉이, 손쉽게 메구미의 입 속으로 사라져 간다.
L16556	［恵］：んっ‥‥。
>>	［메구미］：응‥‥.
L16559	恵は頬をすぼめながら、頭をゆっくりと持ち上げていった。それに付随して、根元まで飲み込まれた私のモノが、ゆっくりと彼女の口腔から姿を現し始める。
>>	메구미는 볼을 오므리면서, 머리를 천천히 들어 올려 갔다. 그에 따라, 뿌리까지 삼켜졌던 내 것이, 천천히 그녀의 구강에서 모습을 드러내기 시작한다.
L16562	カリの部分にまで唇がやって来ると、彼女は頭の動きを停止させた。先っぽに、ねっとりと舌を這わせはじめる。
>>	귀두 테 부분까지 입술이 오자, 그녀는 머리의 움직임을 멈췄다. 끝부분에, 끈적하게 혀를 기어가게 하기 시작한다.
L16566	［コウジ］：むぅっ‥‥。
>>	［코우지］：으윽‥‥.
L16569	それが終わると再び、頭を前に動かし私のモノを口腔へと呑み込んでゆく。
>>	그것이 끝나자 다시, 머리를 앞으로 움직여 내 것을 구강으로 삼켜 간다.
L16572	単調な動作だったが、次第に速度があがってくると、しびれにも似た感覚が下半身から伝わってくる。
>>	단조로운 동작이었지만, 점차 속도가 올라오자, 저림과도 닮은 감각이 하반신에서 전해져 온다.
L16575	舌をねっとりと肉棒に絡め、付け根からザラリとなめあげるテクニックに、不覚にも呻いてしまう。
>>	혀를 끈적하게 육봉에 휘감고, 뿌리에서부터 까끌하게 핥아 올리는 테크닉에, 나도 모르게 신음하고 만다.
L16578	［恵］：んっ、んっ、んっ‥‥。
>>	［메구미］：응, 응, 응‥‥.
L16581	頭を前後に動かしながら、ときおり舌先で、亀頭の先をねぶる動作を加えてくる。なかなかシャレたテクニックを使う女だ。
>>	머리를 앞뒤로 움직이면서, 이따금 혀끝으로, 귀두 끝을 핥는 동작을 더해 온다. 제법 세련된 테크닉을 쓰는 여자다.
L16585	［コウジ］：フン、欲しいか、恵。
>>	［코우지］：흥, 갖고 싶으냐, 메구미.
L16588	［恵］：んっ、んっ。
>>	［메구미］：응, 응.
L16592	［コウジ］：何が欲しいか、言ってみるがいい。
>>	［코우지］：뭐가 갖고 싶은지, 말해 보아라.
L16595	［恵］：あふぅ‥‥。
>>	［메구미］：아후우‥‥.
L16598	私のモノを口からはずすと、恵は口から垂れ流れるよだれを手の甲でぬぐい取ると、
>>	메구미는 내 것을 입에서 빼내더니, 입가로 흘러내리는 침을 손등으로 닦아 내고는,
L16601	［恵］：ご主人様の精液よっ！
>>	［메구미］：주인님의 정액이야!
L16604	と言い放つと、再び私のモノを口腔一杯に頬張った。
>>	하고 내뱉고는, 다시 내 것을 구강 가득 머금었다.
L16608	［コウジ］：（フン、意外に簡単に落ちたな‥‥しかし、それにしても。）
>>	［코우지］：（흥, 의외로 쉽게 넘어갔군‥‥하지만, 그건 그렇다 쳐도.）
L16611	どうも、こういうジゴロのような真似は好かない。必要があるとはいえ、女へ必要以上に譲歩するような気がする。
>>	아무래도, 이런 지골로 같은 흉내는 마음에 들지 않는다. 필요하다고는 해도, 여자에게 필요 이상으로 양보하는 듯한 기분이 든다.
L16615	［コウジ］：（フン、まぁ微々たる事だ‥‥。）
>>	［코우지］：（흥, 뭐 미미한 일이다‥‥.）
L16618	この女は私に必要で、私はそれを利用する。極めて合理的な言動である。
>>	이 여자는 나에게 필요하고, 나는 그것을 이용한다. 극히 합리적인 언동이다.
L16621	［恵］：あぁぁ、早くぅ‥‥早く頂戴！　精液を恵に、頂戴っ！
>>	［메구미］：아아아, 빨리이‥‥빨리 줘!　정액을 메구미에게, 줘!
L16624	犬のように舌を這わせる恵を見ながら、股間の下部分がゾクゾクとしてくる。
>>	개처럼 혀를 대고 핥는 메구미를 보면서, 사타구니 아랫부분이 오싹오싹해져 온다.
L16627	私は限界を感じとると、恵の口内から、肉棒を引き抜いた。
>>	나는 한계를 느끼자, 메구미의 입 안에서, 육봉을 뽑아냈다.
L16630	［恵］：んぐっ。
>>	［메구미］：읍.
L16634	［コウジ］：出すぞっ！
>>	［코우지］：싼다!
L16637	［恵］：ああン、恵にかけてぇっ！
>>	［메구미］：아앙, 메구미에게 뿌려 줘!
L16640	ドクッ、ドクッ、ドクッ！
>>	울컥, 울컥, 울컥!
L16643	［恵］：あふぅぅぅ‥‥あぁぁぁ、ご主人様ぁぁ‥‥。
>>	［메구미］：아후우우‥‥아아아, 주인니임‥‥.
L16646	［恵］：凄く良かったわぁぁ‥‥もっともっと、欲しいのぉ‥‥。
>>	［메구미］：엄청 좋았어어‥‥더, 더 갖고 싶어어‥‥.
L16649	精液を顔にかけられ、もはや心身ともに私の奴隷へと昇華した恵に、私は声をかけた。
>>	정액을 얼굴에 뒤집어쓰고, 이제는 심신 모두 내 노예로 승화한 메구미에게, 나는 말을 걸었다.
L16653	［コウジ］：後ろを向いて、尻を出せ。
>>	［코우지］：뒤를 돌아, 엉덩이를 내밀어라.
L16656	［恵］：は、はい‥‥。
>>	［메구미］：네, 네에‥‥.
L16659	言われたとおり、四つんばいになり、尻をこちらへ向けて振る恵を見て、考えが変わった。
>>	시킨 대로, 네발로 엎드려, 엉덩이를 이쪽으로 향해 흔드는 메구미를 보고, 생각이 바뀌었다.
L16663	［コウジ］：（フン、この雌犬に奴隷という身分ははもったいない。こいつは私の性玩具にしよう。）
>>	［코우지］：（흥, 이 암캐에게 노예라는 신분은 아깝다. 이놈은 내 성 노리개로 삼자.）
L16666	［恵］：ああン、早くぅ‥‥。
>>	［메구미］：아앙, 빨리이‥‥.
L16669	何も知らない恵は、盛んに尻を振って私を誘っている。
>>	아무것도 모르는 메구미는, 열심히 엉덩이를 흔들며 나를 꾀고 있다.
L16673	［コウジ］：クックック、貴様に奴隷などもったいないというものだ。
>>	［코우지］：큭큭큭, 네놈에게 노예 따위는 아깝다는 것이다.
L16676	［恵］：えっ‥‥？
>>	［메구미］：어‥‥?
L16679	ずりゅぅぅぅ！！
>>	쭈우우우욱!!
L16682	一挙に４本の指を膣内に挿入した私は、中で鈎状に折り曲げて手首をぐるりと回転させる。
>>	단숨에 ４개의 손가락을 질 안에 삽입한 나는, 안에서 갈고리 모양으로 구부려 손목을 빙그르 회전시킨다.
L16685	ぐちゅっ、ぐちゅるぅぅっ。
>>	질척, 질처르르윽.
L16688	［恵］：んあぁぁぁ！　痛い‥‥痛いよぉぉっっ！！
>>	［메구미］：흐아아아!　아파‥‥아파아아!!
L16692	［コウジ］：フン、貴様は私の性玩具だ。この程度で喚き散らすな。
>>	［코우지］：흥, 네놈은 내 성 노리개다. 이 정도로 악을 쓰지 마라.
L16695	ぐちゅぅぅ、ぐちゅるるっっ！
>>	질처어억, 질처르르륵!
L16699	［コウジ］：手首くらいまで入るように、鍛えておけ。バカめ！
>>	［코우지］：손목쯤까지 들어가도록, 단련해 둬라. 멍청한 것!
L16702	［恵］：そ、そんなぁ‥‥無理よぉぉ‥‥んあぅっ！　イヤぁぁぁっ！！
>>	［메구미］：그, 그런‥‥무리야아‥‥흐아웃!　싫어어어!!
L16706	［コウジ］：フン、口ではイヤと言っていても‥‥。
>>	［코우지］：흥, 입으로는 싫다고 말해도‥‥.
L16709	すぐ下にある、豆粒ほどの突起物を、もう片方の指で思いきり弾いた。
>>	바로 아래에 있는, 콩알만 한 돌기를, 다른 한쪽 손가락으로 힘껏 튕겼다.
L16712	［恵］：きゃぅぅっっ！！
>>	［메구미］：꺄으윽!!
L16716	［コウジ］：こんなに歓喜の涙を垂れ流してたら、説得力も何もないなっ。
>>	［코우지］：이렇게 환희의 눈물을 흘려 대서야, 설득력이고 뭐고 없군.
L16719	［恵］：酷い‥‥酷いよぉぉ‥‥。
>>	［메구미］：너무해‥‥너무하잖아아‥‥.
L16722	恵は本気で泣いているようだが、一向に気に触らない。玩具がどのような音を発そうと、意に介さないものだ。
>>	메구미는 진심으로 울고 있는 듯하지만, 조금도 거슬리지 않는다. 장난감이 어떤 소리를 내든, 개의치 않는 법이다.
L16726	［コウジ］：後から後から、際限ないな、貴様の薄汚れたココはっ！
>>	［코우지］：끝없이 계속 나오는군, 네놈의 이 더러운 곳은!
L16729	［恵］：ああン！　そうよぉ、私のアソコは薄汚れていて大洪水よっ！！
>>	［메구미］：아앙!　그래요, 제 그곳은 더럽고 대홍수예요!!
L16732	ぐちゅぅぅ、ぐちゅるるっっ！　ぐちゅっ、ぐちゅっ‥‥。
>>	질퍼억, 질퍼러억!　질퍽, 질퍽‥‥.
L16735	［恵］：あン、あっ、んっ、あぁぁ、も、もう‥‥あぁぁ、イっちゃいそう‥‥あっ！
>>	［메구미］：아응, 앗, 응, 아아아, 이, 이제‥‥아아아, 갈 것 같아‥‥앗!
L16739	［コウジ］：いけ。
>>	［코우지］：가라.
L16742	［恵］：あっ、もう‥‥いっくぅぅぅぅぅぅっっ！！！
>>	［메구미］：앗, 이제‥‥가아아아아아!!!
L16746	［恵］：んっ、どうしちゃったの‥‥宏治、いつもと違うわ‥‥。
>>	［메구미］：응, 왜 그래‥‥코지, 평소랑 달라‥‥.
L16749	下からの光を浴びて、青白い顔をしていたが、屈託のない笑みを浮かべる恵は、なかなかに可愛らしい。
>>	아래에서 오는 빛을 받아 창백한 얼굴이었지만, 근심 없는 웃음을 띤 메구미는 제법 귀엽다.
L16753	［コウジ］：ふむ、奴隷にまで格上げしてやっても、いいか‥‥。
>>	［코우지］：흠, 노예로까지 격상시켜 줘도 괜찮겠군‥‥.
L16756	［恵］：な、なによぉ、それぇ‥‥。
>>	［메구미］：뭐, 뭐야 그게‥‥.
