# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L27685	［宏治］：もっともっと、擦り付けて。
>>	［트레이시］：아하아아아, 더 더, 느껴 주세요‥‥.
L27769	［宏治］：な、何だか膣内で、しごかれてるみたいだ‥‥。
>>	［코지］：뭐, 뭔가 안에서 훑어 대는 것 같아‥‥.
L27772	［トレイシー］：このまま、射精してもいいですわ。
>>	［트레이시］：이대로 사정하셔도 괜찮아요.
L27776	［宏治］：そ、そんなもったいない‥‥。
>>	［코지］：그, 그건 너무 아까워‥‥.
L27779	［トレイシー］：じゃあ、ゆっくり腰を動かしますわね。
>>	［트레이시］：그럼, 천천히 허리를 움직일게요.
L27782	ぬりゅっ、ぬりゅっ、ぬりゅっ‥‥。
>>	미끄윽, 미끄윽, 미끄윽‥‥.
L27786	［宏治］：うぉっ、な、中でしごかれながら、腰の前後運動も加わって‥‥。
>>	［코지］：우옷, 아, 안에서 훑어 대면서, 허리 앞뒤 운동까지 더해져‥‥.
L27789	［トレイシー］：んあぁぁ‥‥どうです？　私の膣内は‥‥あぁぁぁっ！
>>	［트레이시］：응아아‥‥어떠세요?　제 안은‥‥아아아앗!
L27793	［宏治］：も、もう何がなんだか‥‥柔らかくて、キツくて、動いていて‥‥くっ！
>>	［코지］：이, 이젠 뭐가 뭔지‥‥부드럽고, 조이고, 움직이고‥‥큿!
L27796	［トレイシー］：胸も‥‥胸も掴んで下さい。
>>	［트레이시］：가슴도‥‥가슴도 잡아 주세요.
L27799	ぎゅっ！
>>	꽉!
L27802	［トレイシー］：あふぅぅ‥‥乳首もしごいて下さいっ！
>>	［트레이시］：아후우우‥‥젖꼭지도 비벼 주세요!
L27805	グリグリグリ‥‥。
>>	꾹꾹꾹‥‥.
L27809	［宏治］：トレイシーの乳首って、おっきくて硬いなぁ。
>>	［코지］：트레이시 젖꼭지는, 크고 딱딱하네.
L27812	［トレイシー］：あン、噛んでも構いませんわっ！
>>	［트레이시］：아응, 깨무셔도 괜찮아요!
L27816	［宏治］：んじゃ、軽くね。
>>	［코지］：그럼, 살살.
L27819	コリッ。
>>	꾹.
L27822	［トレイシー］：んくぅ、んもっと、もっと強くっ！
>>	［트레이시］：흐윽, 더, 더 세게!
L27826	［宏治］：もっと？
>>	［코지］：더?
L27829	［トレイシー］：あぁぁ、そう‥‥もっと強く噛んで下さいっ！
>>	［트레이시］：아아아, 그래요‥‥더 세게 깨물어 주세요!
L27833	［宏治］：いいんだな？
>>	［코지］：정말 괜찮은 거지?
L27836	［トレイシー］：いいです‥‥あぁぁぁ、早くぅ‥‥。
>>	［트레이시］：괜찮아요‥‥아아아아, 빨리이‥‥.
L27839	ガリィィッ！！！
>>	아드드득!!!
L27842	［トレイシー］：あひぃぃっっ！！
>>	［트레이시］：아히이잇!!
L27845	キュ、キュキュッ！！
>>	꽉, 꽉꽉!!
L27849	［宏治］：うっ！！
>>	［코지］：윽!!
L27852	ドクドクドク‥‥ドクッ、ドクッ、ドクッ‥‥。
>>	울컥울컥울컥‥‥울컥, 울컥, 울컥‥‥.
L27856	［宏治］：や、やば‥‥すっごく締め付けるから、いっちゃった‥‥。
>>	［코지］：이, 이런‥‥너무 조여서, 가버렸어‥‥.
L27859	［トレイシー］：わ、私も‥‥イキましたから‥‥大丈夫‥‥あぅっ‥‥。
>>	［트레이시］：저, 저도‥‥갔으니까‥‥괜찮아요‥‥아읏‥‥.
L27863	［宏治］：だ、大丈夫かい、トレイシー？　血が出ちゃってるよ、乳首から。
>>	［코지］：괘, 괜찮아, 트레이시?　피가 나잖아, 젖꼭지에서.
L27866	［トレイシー］：ううん、構いません‥‥感じるんです‥‥あはぁぁ‥‥。
>>	［트레이시］：아뇨, 괜찮아요‥‥느껴지는걸요‥‥아하아아‥‥.
L27870	［宏治］：舐めてあげるよ。
>>	［코지］：핥아 줄게.
L27874	［トレイシー］：あン‥‥優しいですわ、コウジ様‥‥私も‥‥。
>>	［트레이시］：아응‥‥다정하시네요, 코우지 님‥‥저도‥‥.
L27878	［宏治］：う、うわっ‥‥ま、またアソコが蠢いてる‥‥。
>>	［코지］：우, 우왓‥‥또, 또 거기가 꿈틀대고 있어‥‥.
L27881	［トレイシー］：ンフフ、またすぐに硬くして差し上げます。
>>	［트레이시］：응후후, 금방 다시 단단하게 만들어 드릴게요.
L27885	［宏治］：んくっ‥‥。
>>	［코지］：으윽‥‥.
L27888	［トレイシー］：今度は、お口にお願いします。飲みたいんです‥‥。
>>	［트레이시］：이번엔, 입에 부탁드려요. 마시고 싶어요‥‥.
L27892	［宏治］：しょうがないな、じゃあ、あと１回ね。
>>	［코지］：어쩔 수 없네, 그럼, 한 번만 더.
L27895	［トレイシー］：ありがとうございますっ！
>>	［트레이시］：감사합니다!
L27899	［宏治］：じゃ、お尻の穴も舐めてね。
>>	［코지］：그럼, 엉덩이 구멍도 핥아 줘.
L27903	［トレイシー］：もちろんです。たっぷり、サービスしますわ、コウジ様。クスッ。
>>	［트레이시］：물론이죠. 듬뿍 서비스해 드릴게요, 코우지 님. 후훗.
L27909	［ランファ］：んっ‥‥んんっ‥‥。
>>	［란파］：흣‥‥으응‥‥.
L27913	［宏治］：もっと、横に舌を動かして。
>>	［코지］：더, 옆으로 혀를 움직여.
L27916	［ランファ］：こうですか？
>>	［란파］：이렇게요?
L27919	レロレロレロ。
>>	낼름낼름낼름.
L27923	［宏治］：んー、いい感じだ。もっと下の部分も舐めてね。
>>	［코지］：음, 좋은데. 더 아래쪽도 핥아 줘.
L27926	［ランファ］：はい、ランファ、がんばっちゃいますぅ。
>>	［란파］：네, 란파, 열심히 할게요오.
L27930	［宏治］：もっと、舌の腹全体を使って舐め上げるんだ。
>>	［코지］：더, 혓바닥 전체로 핥아 올리는 거야.
L27933	べろーーーーっ。
>>	낼르으으으읏.
L27936	［ランファ］：トクトクって、波打ってますぅ‥‥あぁぁ‥‥。
>>	［란파］：두근두근 맥이 뛰고 있어요오‥‥아아아‥‥.
L27939	ちゅばっ、ちゅばっ‥‥。
>>	쭈압, 쭈압‥‥.
L27943	［宏治］：よしよし、じゃあ今度は先っぽを口に含んで。
>>	［코지］：좋아 좋아, 그럼 이번엔 끝을 입에 물어.
L27946	んぐんぐ‥‥んんんん‥‥。
>>	응그응그‥‥으으으음‥‥.
L27950	［宏治］：いいぞ、舌でちゃんと包み込むように舐めるんだ。
>>	［코지］：좋아, 혀로 제대로 감싸듯이 핥는 거야.
L27953	［ランファ］：ふぁい‥‥こうれふは？
>>	［란파］：네에‥‥이러케여?
L27957	［宏治］：くわえてる時は、しゃべんなくていいの。そのまま頭を前後に動かして‥‥。
>>	［코지］：물고 있을 땐, 말 안 해도 돼. 그대로 머리를 앞뒤로 움직여‥‥.
L27960	［ランファ］：んっ、んっ、んっ‥‥。
>>	［란파］：흣, 흣, 흣‥‥.
L27964	［宏治］：ん、いいぜ‥‥舌全体で包み込むようにするんだ。
>>	［코지］：응, 좋아‥‥혀 전체로 감싸듯이 하는 거야.
L27967	［ランファ］：んっ‥‥んんんっ‥‥。
>>	［란파］：흣‥‥으으응‥‥.
L27971	［宏治］：もっと、奥まで呑み込むの。
>>	［코지］：더, 목 안쪽까지 삼키는 거야.
L27974	［ランファ］：んぐんぐ‥‥げっ、ゲホゲホっ！
>>	［란파］：응그응그‥‥컥, 콜록콜록!
L27978	［宏治］：しょうがないなぁ。ほら、手も使ってしごいて。
>>	［코지］：어쩔 수 없네. 자, 손도 써서 훑어.
L27981	［ランファ］：んんんっ‥‥んっ、んっ。
>>	［란파］：으으응‥‥흣, 흣.
L27985	［宏治］：あっ、出そう‥‥出すよっ。
>>	［코지］：앗, 나올 것 같아‥‥쌀게.
L27988	［ランファ］：うん。お口に‥‥お口に下さい‥‥。
>>	［란파］：네. 입에‥‥입에 주세요‥‥.
L27992	［宏治］：ランファ、いつも飲んでるだろ？　今日は顔。
>>	［코지］：란파, 늘 마시잖아?　오늘은 얼굴.
L27995	［ランファ］：あン、どっちでもいいですぅ‥‥あはぁぁぁ。
>>	［란파］：아응, 어느 쪽이든 좋아요오‥‥아하아아아.
L27999	［宏治］：出すぜ！
>>	［코지］：쌀 거야!
L28002	［ランファ］：くださいっ！　お顔にぃぃっっ！！
>>	［란파］：주세요!　얼굴에에엣!!
L28005	ドクドクドクっ！！
>>	울컥울컥울컥!!
L28008	［ランファ］：ああン、ネバネバするぅ‥‥。
>>	［란파］：아아응, 끈적끈적해요오‥‥.
L28012	［宏治］：それにはな、タンパク質が、たーっぷりと含まれてるんだぞ。
>>	［코지］：거기엔 말이지, 단백질이 자아아뜩 들어 있다고.
L28015	［ランファ］：ウン、あったかい‥‥。
>>	［란파］：응, 따뜻해요‥‥.
L28019	［宏治］：じゃあ、コレで顔に塗りたくってあげよう。
>>	［코지］：그럼, 이걸로 얼굴에 잔뜩 발라 주지.
L28023	［ランファ］：うん‥‥あはぁぁ、コウジ様の、まだビクビクしてるぅ‥‥。
>>	［란파］：응‥‥아하아아, 코우지 님 거, 아직 움찔거려요오‥‥.
L28027	［宏治］：ほら、またくわえて。
>>	［코지］：자, 다시 물어.
L28030	［ランファ］：ハイ‥‥んっ‥‥んんんっ‥‥。
>>	［란파］：네에‥‥흣‥‥으으응‥‥.
L28034	［宏治］：もっと奥まで入りそう。
>>	［코지］：더 안쪽까지 들어갈 것 같은데.
L28037	ずるっ。
>>	쑤욱.
L28040	［ランファ］：んんぐっ、げぇぇ‥‥ゲホゲホ！
>>	［란파］：으응극, 우웨엑‥‥콜록콜록!
L28044	［宏治］：おっとごめん、奥まで入れすぎちゃった。
>>	［코지］：앗 미안, 너무 깊이 넣어 버렸네.
L28047	［ランファ］：もう、喉が張り裂けそうになりましたぁ～、ケホケホッ。
>>	［란파］：정말, 목이 찢어지는 줄 알았어요오～, 콜록콜록.
L28051	［宏治］：でも、感じたろ？
>>	［코지］：그래도, 느꼈잖아?
L28055	［ランファ］：はい、コウジ様のミルクがまだ残ってましたし。
>>	［란파］：네, 코우지 님 밀크가 아직 남아 있었고요.
L28059	［宏治］：好きだなぁ、ランファは。
>>	［코지］：좋아하는구나, 란파는.
L28062	［ランファ］：ハイ、あのミルクが喉を通る時の感じって、ホントに素敵ですぅ。
>>	［란파］：네, 그 밀크가 목을 넘어갈 때 느낌은 정말 근사해요오.
L28066	［宏治］：感じちゃう？
>>	［코지］：느껴 버려?
L28069	［ランファ］：はいっ‥‥すっごく。
>>	［란파］：네엣‥‥엄청.
L28073	［宏治］：ふーん、どんな感じなんだい？
>>	［코지］：흐음, 어떤 느낌인데?
L28077	［ランファ］：そうですね、コウジ様のオタマジャクシが、のどにチクチク当たって、すっごく気持ちいいんですぅ。
>>	［란파］：글쎄요, 코우지 님 올챙이들이 목에 콕콕 닿아서, 엄청 기분 좋아요오.
L28081	［宏治］：えっ、う、ウソ‥‥。
>>	［코지］：엣, 거, 거짓말‥‥.
L28084	［ランファ］：クスクスっ、ウソですよぉー。
>>	［란파］：큭큭, 거짓말이에요오오.
L28088	［宏治］：こ、コイツ！
>>	［코지］：이, 이 녀석!
L28091	［ランファ］：きゃぁぁぁぁっ！　でもでもぉ、飲むと感じちゃうのは、ホントですよぉ！
>>	［란파］：꺄아아아앗!　그치만요, 마시면 느껴 버리는 건 진짜예요오!
L28095	［宏治］：よーし、じゃあヌレヌレのところで、ランファ、上ね。
>>	［코지］：좋아, 그럼 흠뻑 젖은 김에, 란파, 위야.
L28098	［ランファ］：えー、たまにはランファ、下がいいですぅ。
>>	［란파］：에에, 가끔은 란파, 아래가 좋아요오.
L28102	［宏治］：じゃあ、あげない。
>>	［코지］：그럼, 안 줄래.
L28105	［ランファ］：あーん、ウソウソ、ウソですよぉ～。
>>	［란파］：아아앙, 거짓말 거짓말, 거짓말이에요오～.
L28109	［宏治］：じゃ、はやく。
>>	［코지］：그럼, 빨리.
L28112	［ランファ］：はーい‥‥ん、んしょ、んしょ‥‥。
>>	［란파］：네에‥‥응, 영차, 영차‥‥.
L28115	ずぷぷぷぷぷぷぷぷぷぷっっ‥‥。
>>	쭈뿌뿌뿌뿌뿌뿌뿌뿍‥‥.
L28119	［ランファ］：んあぁぁぁぁっ‥‥あぁぁぁ、コウジ様ぁぁぁぁぁっっ！！
>>	［란파］：응아아아아앗‥‥아아아아, 코우지 니임이이이잇!!
L28123	［宏治］：よーし、じゃ、大きく腰を動かして。
>>	［코지］：좋아, 그럼, 크게 허리를 움직여.
L28126	［ランファ］：はい‥‥あふぅっ！
>>	［란파］：네‥‥아후읏!
L28129	ぬちゃっ、ぬちゃっ、ぬちゃっ‥‥。
>>	찔꺽, 찔꺽, 찔꺽‥‥.
L28132	［ランファ］：あぁぁぁぁ！　ランファ、気持ちいいの‥‥気持ちいいっ！！
>>	［란파］：아아아아아!　란파, 기분 좋아요‥‥기분 좋아요옷!!
L28136	［宏治］：ヌルヌルしてるぜ。
>>	［코지］：미끌미끌한데.
L28139	［ランファ］：そうよっ！　ランファの、ヌルヌルしてるのぉっ！
>>	［란파］：그래요옷!　란파 거, 미끌미끌한 거예요오!
L28143	［宏治］：もっともっと、ケダモノのように腰を振るんだ。
>>	［코지］：더 더, 짐승처럼 허리를 흔드는 거야.
L28146	［ランファ］：あン、こう？　こう！？
>>	［란파］：아응, 이렇게?　이렇게!?
L28150	［宏治］：ワンと鳴いてみろ。
>>	［코지］：멍 하고 짖어 봐.
L28154	［ランファ］：んあぅ、んくっ、あっ、コウジ様ぁぁぁ‥‥あぅっ！
>>	［란파］：응아읏, 흐윽, 앗, 코우지 니임이이‥‥아읏!
L28158	［宏治］：ワンと鳴け！
>>	［코지］：멍 하고 짖어!
L28161	［ランファ］：わ、ワン！
>>	［란파］：머, 멍!
L28165	［宏治］：もっともっと、腰を動かしながら、鳴くんだ！
>>	［코지］：더 더, 허리를 움직이면서 짖는 거야!
L28168	［ランファ］：ワンッ、ワンッ！
>>	［란파］：멍, 멍!
L28171	ずりゅっ、ずりゅっ‥‥。
>>	쭈욱, 쭈욱‥‥.
L28175	［宏治］：もっともっと、アソコを締めろ！
>>	［코지］：더 더, 거기를 조여!
L28179	［宏治］：あぁ、もう‥‥イきそうだぜ。
>>	［코지］：아아, 이제‥‥갈 것 같아.
L28182	［ランファ］：あぁぁぁ、ランファも‥‥ランファも飛んじゃいそうよっ！
>>	［란파］：아아아아, 란파도‥‥란파도 날아가 버릴 것 같아요!
L28186	［宏治］：ワンだろ！？
>>	［코지］：멍이라니까!?
L28189	［ランファ］：ワンワン！　飛びそうなのぉぉっ！！
>>	［란파］：멍멍!　날아갈 것 같아요오옷!!
L28193	［宏治］：よし、一緒に行くぜ。
>>	［코지］：좋아, 같이 가자.
L28196	［ランファ］：ワン！
>>	［란파］：멍!
L28200	［宏治］：くぅっ！！
>>	［코지］：크읏!!
L28203	どぷどぷどぷ‥‥ドクドクッ、ドクッ、ドクッ！
>>	콸콸콸‥‥울컥울컥, 울컥, 울컥!
L28206	［ランファ］：ランファ、飛ぶぅぅぅぅぅぅぅぅぅぅぅぅっっっ！！！
>>	［란파］：란파, 날아가아아아아아아아아아앗!!!
L28213	［ビアンカ］：あぁぁぁぁぁぁぁぁ、コウジぃ、コウジぃっ！！
>>	［비앙카］：아아아아아아아아, 코우지, 코우지이잇!!
L28217	［宏治］：は、激しすぎるよ、ビアンカ‥‥。
>>	［코지］：너, 너무 격해, 비앙카‥‥.
L28220	［ビアンカ］：もっと‥‥もっともっと深くぅ！
>>	［비앙카］：더‥‥더 더 깊게에!
L28223	ずりゅっ、ずちゃっ、ぐちゃっ！
>>	쭈륵, 철퍽, 질퍽!
L28227	［ビアンカ］：ああン、コウジぃ‥‥私のこと、許してくれる？
>>	［비앙카］：아아응, 코우지‥‥날 용서해 줄 거야?
L28231	［宏治］：さぁ、どうしよっかなぁ‥‥。
>>	［코지］：글쎄, 어떻게 할까‥‥.
L28235	［ビアンカ］：そんなぁ‥‥あふぅ、コウジの言うことなら‥‥あっ、何でも‥‥んくっ、聞くわ。
>>	［비앙카］：그런‥‥아후우, 코우지가 말하는 거라면‥‥앗, 뭐든‥‥흐윽, 들을게.
L28239	［宏治］：本当？
>>	［코지］：정말?
L28242	［ビアンカ］：本当よっ、本当よっ！　しろといったら、何でもしてあげる。
>>	［비앙카］：정말이야, 정말이라니까!　하라면 뭐든지 해 줄게.
L28246	［宏治］：何でもするんだなっ！？
>>	［코지］：뭐든지 한다는 거지!?
L28249	［ビアンカ］：何でもするわっ！
>>	［비앙카］：뭐든지 할게!
L28253	［宏治］：じゃあ、あんな所を舐めろっていったら、舐める？
>>	［코지］：그럼, 그런 데를 핥으라고 하면 핥을 거야?
L28256	［ビアンカ］：うん、うん、舐めてあげるっ！
>>	［비앙카］：응, 응, 핥아 줄게!
L28260	［宏治］：（おぉ、何だか、今後が楽しみだなぁ‥‥。）
>>	［코지］：（오오, 왠지 앞으로가 기대되는데‥‥.）
L28264	［ビアンカ］：ああん、コウジぃ、もっともっと、腰を突き上げてっ！
>>	［비앙카］：아아앙, 코우지, 더, 더, 허리를 밀어 올려!
L28268	［宏治］：よーしっ、それ！　それっ！！
>>	［코지］：좋았어, 옜다!　옜다!!
L28271	くちゅっ、りゅっ、むちゅっ！
>>	질척, 쭈욱, 쪽!
L28275	［宏治］：なぁ、ビアンカさぁ。
>>	［코지］：있잖아, 비앙카.
L28278	［ビアンカ］：なに‥‥あっ、んっ、あぁぁぁっ‥‥。
>>	［비앙카］：뭐‥‥앗, 응, 아아아앗‥‥.
L28282	［宏治］：海賊家業で、何をやってたの？
>>	［코지］：해적질로는 뭘 하고 있었어?
L28285	［ビアンカ］：な、なによ急に‥‥んっ、んっ。
>>	［비앙카］：가, 갑자기 뭐야‥‥응, 응.
L28289	［宏治］：いや、何となくきになったもんでさ。
>>	［코지］：아니, 그냥 좀 궁금해져서.
L28293	［ビアンカ］：実を言うと、コウジを追ってたのよ‥‥。
>>	［비앙카］：사실은, 코우지를 쫓고 있었어‥‥.
L28297	［ビアンカ］：あのときは、コウジが憎くてしょうがなかったの‥‥非道な事は１つも行ってないわっ。
>>	［비앙카］：그때는 코우지가 미워서 견딜 수가 없었어‥‥몹쓸 짓은 하나도 안 했어.
L28301	［宏治］：どうやって、生計をたててたのさ。
>>	［코지］：그럼 생계는 어떻게 꾸렸는데.
L28304	［ビアンカ］：そ、それは‥‥行く先々で、ドカチンのバイトをしながら‥‥。
>>	［비앙카］：그, 그건‥‥가는 곳마다 막노동 알바를 하면서‥‥.
L28308	［宏治］：クククッ‥‥苦労したんだなぁ。
>>	［코지］：크크큭‥‥고생했구나.
L28311	［ビアンカ］：そうよっ、３日に１回は、インスタントのチャンポンを食べて‥‥。
>>	［비앙카］：그렇다니까, 사흘에 한 번은 인스턴트 짬뽕을 먹으면서‥‥.
L28315	［宏治］：よし、これからはオレのモノを食わしてやるぞ。
>>	［코지］：좋아, 앞으로는 내 물건을 먹여 주지.
L28318	［ビアンカ］：あぁぁ！　そうよ、嬉しいわっ！　もっともっと、食べさせてぇぇぇっ！！！
>>	［비앙카］：아아앗!　그래, 기뻐!　더, 더 먹여 줘어어!!!
L28322	［宏治］：吸い付くようだね、ビアンカの膣内ってさ。
>>	［코지］：빨아들이는 것 같네, 비앙카 속은 말이야.
L28325	［ビアンカ］：そうよっ！　ここだけは、毎日毎日、この日のために鍛えてきたんだからぁぁっ！！
>>	［비앙카］：그렇다니까!　여기만은 매일매일, 이날을 위해 단련해 왔으니까아앗!!
L28329	［宏治］：くっ、もういっちゃいそう‥‥。
>>	［코지］：큭, 벌써 갈 것 같아‥‥.
L28333	［ビアンカ］：あぁぁぁ、コウジぃ、私、幸せよぉっ！！
>>	［비앙카］：아아아, 코우지, 나 행복해에!!
L28339	［ランファ］：たぶん、牽引ビームに、《クワドラ》が捉えられたんだと思います。
>>	［란파］：아마 견인 빔에 《콰드라》가 붙잡힌 것 같아요.
L28342	［ランファ］：ビアンカさんの、性格でしょうね、きっと。
>>	［란파］：비앙카 씨 성격 탓이겠죠, 분명.
L28345	ランファが隣で、屈託のない笑みをこぼす。
>>	란파가 옆에서 천진한 웃음을 흘린다.
L28348	そうなのだ、この計画ではトレイシーをオトリとして、オレとランファが潜入工作という重責を担うことになった。
>>	그렇다, 이 계획에서는 트레이시를 미끼로 삼고, 나와 란파가 잠입 공작이라는 중책을 맡게 되었다.
L28352	［ランファ］：きっと、成功しますっ。私のコウジ様だもの。
>>	［란파］：분명, 성공할 거예요. 제 코우지 님인걸요.
L28355	ランファは汗かきらしかった。身体中に粒状の粒が浮いている。衣服が肌に密着して、乳房の真ん中の突起が、もろに見えてしまっている。
>>	란파는 땀이 많은 체질인 듯했다. 온몸에 땀방울이 맺혀 있다. 옷이 살갗에 달라붙어, 가슴 한가운데 돌기가 그대로 비쳐 보이고 있다.
L28358	［ランファ］：ちょっぴり、暑いですね。
>>	［란파］：조금, 덥네요.
L28362	［宏治］：ぐびっ。
>>	［코지］：꿀꺽.
L28365	ウンとうなずこうとしたのが、オレの喉から発されたのは、唾液を嚥下する音だった。非常に情けない。
>>	응, 하고 끄덕이려 했으나, 내 목에서 나온 것은 침을 삼키는 소리였다. 참으로 한심하다.
L28369	［ランファ］：どうしました、コウジ様。
>>	［란파］：무슨 일이세요, 코우지 님.
L28373	［宏治］：いや、別に‥‥それにしても、狭いなぁ。
>>	［코지］：아니, 딱히‥‥그건 그렇고, 좁네.
L28377	［ランファ］：しょうがないですよぉ‥‥でも、コウジ様と２人きりなんて、きゃっ！
>>	［란파］：어쩔 수 없죠오‥‥그래도, 코우지 님과 단둘이라니, 꺄앗!
L28380	２人でモゾモゾと動いているので、密着度が、がぜん増加してくるのは避けられない。
>>	둘이서 꼼지락꼼지락 움직이니, 밀착도가 부쩍 높아지는 것은 피할 수 없다.
L28383	ランファの白い太股が、オレの股の間に割って入ってきていた。そ、そんなに動かしたら‥‥。
>>	란파의 새하얀 허벅지가 내 가랑이 사이로 파고들어 와 있었다. 그, 그렇게 움직이면‥‥.
L28386	［ランファ］：あらあら‥‥クスクスッ。
>>	［란파］：어머어머‥‥킥킥.
L28390	［ランファ］：ね、コウジ様ぁ。
>>	［란파］：저기, 코우지 니임.
L28393	ドキッ。
>>	두근.
L28396	オレの傍らで、しおらしく目をつぶる美少女‥‥身体は密着しており、まわりには誰の目もないのだ‥‥。
>>	내 곁에서 얌전히 눈을 감는 미소녀‥‥몸은 밀착해 있고, 주위엔 보는 눈도 없다‥‥.
L28400	［ランファ］：コウジ様ぁ‥‥‥。
>>	［란파］：코우지 니임‥‥‥.
L28404	［宏治］：えっ、なに？
>>	［코지］：엇, 뭐?
L28407	［ランファ］：んもう、早くぅ‥‥純真な乙女を待たさないで下さいまし。
>>	［란파］：아이 참, 빨리이‥‥순진한 처녀를 기다리게 하지 말아 주셔요.
L28411	［宏治］：何語だそりゃ‥‥もう。
>>	［코지］：그건 무슨 말투야‥‥진짜.
L28414	［ランファ］：ああン、ホッペなんて、プリプリですぅ。
>>	［란파］：아앙, 볼이 이렇게 탱글탱글해요오.
L28418	［宏治］：シッ。
>>	［코지］：쉿.
L28421	外から聞こえてくる声を聞いて、オレはあわててランファの口を手でふさいだ。
>>	밖에서 들려오는 목소리를 듣고, 나는 황급히 란파의 입을 손으로 막았다.
L28424	手の中から、フガフガ言う声が聞こえてくるが、やむを得ない。
>>	손 안에서 우물우물 하는 소리가 들려오지만, 어쩔 수 없다.
L28427	［トレイシー］：痛っ‥‥ビアンカさん、もう少し優しくして下さいな。
>>	［트레이시］：아파‥‥비앙카 씨, 조금만 더 살살 해 주세요.
L28430	トレイシーの声が外から聞こえてきた。どうやら、首尾良く事は運んでいるらしい。今の所はな‥‥。
>>	트레이시의 목소리가 밖에서 들려왔다. 아무래도 일은 순조롭게 풀리는 모양이다. 지금까지는 말이지‥‥.
L28433	待っていろよ、トレイシー‥‥オレがコブシを握りしめて決心を改めて固めていたとき‥‥。
>>	기다려라, 트레이시‥‥내가 주먹을 움켜쥐고 결심을 다시 굳히고 있을 때‥‥.
L28437	［宏治］：あれ、どうしたの？　ランファ‥‥ランファ？
>>	［코지］：어라, 왜 그래?　란파‥‥란파?
L28440	いつの間にか、静かになっていると思ったが‥‥。オレはぐったりとしているランファに声をかけたが、身体はフニャフニャで生気がない。
>>	어느새 조용해졌다 싶었는데‥‥. 나는 축 늘어진 란파에게 말을 걸었지만, 몸은 흐물흐물 생기가 없다.
L28444	［宏治］：おい、ど、どうした？
>>	［코지］：이봐, 어, 어떻게 된 거야?
L28447	言ってから気付いた。オレが強くランファの口を抑えていたせいで、彼女は呼吸困難に陥ってしまったのだ。
>>	말하고 나서 깨달았다. 내가 란파의 입을 세게 막고 있던 탓에, 그녀는 호흡 곤란에 빠져 버린 것이다.
L28451	［宏治］：ま、マズい。おい！
