# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L2441	［宏治］：もう、限界だよ‥‥。
L2553	［宏治］：な、なんだよ‥‥。
>>	［코지］：뭐, 뭐야‥‥.
L2556	［恵］：もぉ、１か月ぶりくらいで会えたのに、ちょっとつれないんじゃない？
>>	［메구미］：진짜, 한 달 만에 겨우 만났는데 너무 무심한 거 아냐?
L2560	［宏治］：そうかなぁ‥‥。
>>	［코지］：그런가‥‥.
L2563	［恵］：そうなのっ！
>>	［메구미］：그렇다니까!
L2566	［恵］：‥‥ねっ。
>>	［메구미］：‥‥있잖아.
L2570	［宏治］：な、なに？
>>	［코지］：뭐, 뭔데?
L2573	［恵］：もぉ、早く！
>>	［메구미］：진짜, 빨리!
L2577	［宏治］：だから、なに？
>>	［코지］：그러니까, 뭐?
L2580	［恵］：ちょぉっとぉ。
>>	［메구미］：아 진짜아아.
L2583	［宏治］：わかったよ、はいはい‥‥‥‥<$0C>チュッ。
>>	［코지］：알았어, 그래그래‥‥‥‥<$0C>쪽.
L2586	［恵］：フフ、まぁいいわ。
>>	［메구미］：후후, 뭐 됐어.
L2590	［宏治］：頼むよ、恵‥‥本当にいま、疲れてるんだ。
>>	［코지］：부탁이야, 메구미‥‥지금 정말로 피곤하다고.
L2593	これは本当だった。
>>	이건 사실이었다.
L2596	実際、目の前がクラクラしている。別に恵の魅力のせい、という訳でもなさそうだ。
>>	실제로 눈앞이 어질어질하다. 딱히 메구미의 매력 탓은 아닌 듯하다.
L2599	［恵］：もう、だらしないわ。倦怠期の夫婦じゃないんだから‥‥ほらっ。
>>	［메구미］：진짜, 한심하긴. 권태기 부부도 아닌데‥‥자아.
L2603	［宏治］：な、なんだよ、まさかここで？
>>	［코지］：뭐, 뭐야, 설마 여기서?
L2606	［恵］：フフ、久しぶりだから、身体が火照ってるの！
>>	［메구미］：후후, 오랜만이라 몸이 달아올랐단 말이야!
L2610	［宏治］：‥‥‥本当に今、疲れてるんだって。
>>	［코지］：‥‥‥정말로 지금 피곤하다니까.
L2613	［恵］：夜のおつとめを果たすのが、夫たる者の責務でしょ？
>>	［메구미］：밤의 의무를 다하는 게 남편 된 자의 책무잖아?
L2617	［宏治］：誰が夫‥‥‥‥あれ？
>>	［코지］：누가 남편‥‥‥‥어라?
L2620	［恵］：どうしたの？
>>	［메구미］：왜 그래?
L2624	［宏治］：（あ、ヤバ‥‥ほ、本当にめまいが‥‥‥‥。）
>>	［코지］：（아, 큰일‥‥지, 진짜로 현기증이‥‥‥‥.）
L2627	勢い余って、頭からベッドに沈んでしまった。よけいに頭がクラクラしてくる。
>>	기세를 못 이기고 머리부터 침대에 파묻히고 말았다. 머리가 더 어질어질해진다.
L2631	［恵］：きゃっ、宏治‥‥大丈夫？　宏治！
>>	［메구미］：꺄, 코지‥‥괜찮아?　코지!
L2635	［宏治］：ゴメン、ほんとにマズいみたい‥‥。
>>	［코지］：미안, 진짜로 상태가 안 좋은가 봐‥‥.
L2638	恵がそっと僕を抱き起こす。ふくよかとは言えないが、決して小さくない胸が、僕の身体に密着してくる。
>>	메구미가 살며시 나를 안아 일으킨다. 풍만하다고는 못 해도 결코 작지 않은 가슴이 내 몸에 밀착해 온다.
L2641	こんな状態でも、しっかり反応してしまう男性機能に、呆れると同時に感心もする。
>>	이런 상태에서도 확실히 반응하는 남성 기능에 기가 차면서도 감탄이 나온다.
L2645	［宏治］：（人類が死に絶えない訳だよ‥‥。）
>>	［코지］：（인류가 멸종하지 않는 이유가 있군‥‥.）
L2648	僕がそっと目をあけると、目の前には、目をつぶった恵が迫ってきていた。
>>	내가 살며시 눈을 뜨자, 눈앞에는 눈을 감은 메구미가 다가와 있었다.
L2652	［恵］：宏治‥‥‥‥。
>>	［메구미］：코지‥‥‥‥.
L2655	しょうがないな、そんな風に思ったとき‥‥‥‥。
>>	어쩔 수 없지, 그렇게 생각했을 때‥‥‥‥.
L2658	［女の声］：えへん！
>>	［여자 목소리］：에헴!
L2661	［恵］：きゃっ。
>>	［메구미］：꺄.
L2664	［女］：しょうがないわね、ホテルじゃないのよ、ここは。
>>	［여자］：못 말리겠네, 여긴 호텔이 아니라고.
L2668	［宏治］：さ、沙夜香‥‥さん。
>>	［코지］：사, 사야카‥‥씨.
L2671	［沙夜香］：飢えた若者たちを止めようとは思わないけど、ＴＰＯはわきまえて頂戴ね。
>>	［사야카］：굶주린 젊은이들을 말릴 생각은 없지만, 때와 장소는 가려 줘.
L2675	［恵］：（誰なの？　宏治‥‥。）
>>	［메구미］：（누구야?　코지‥‥.）
L2678	恵が僕の耳にささやいた。恐らく２人は、初対面のはずだった。
>>	메구미가 내 귀에 속삭였다. 아마 두 사람은 초면일 터였다.
L2681	［沙夜香］：こらそこ、内緒話なんかしないの。
>>	［사야카］：거기 둘, 귓속말 같은 거 하는 거 아니야.
L2684	［沙夜香］：恵さん、よね？
>>	［사야카］：메구미 씨, 맞죠?
L2687	［恵］：はい、そうですが‥‥。
>>	［메구미］：네, 그런데요‥‥.
L2690	［沙夜香］：恋人とはいえ、いきなりプライベートルームへ来られては困りますよ。
>>	［사야카］：연인이라 해도 불쑥 개인실에 들어오면 곤란해요.
L2693	［恵］：言っておきますけど、私の父は‥‥‥‥。
>>	［메구미］：말해 두는데, 저희 아버지는‥‥‥‥.
L2696	沙夜香は左の手のひらを恵の前にかざすと、わかっている、というゼスチャーで恵の言葉を制した。
>>	사야카는 왼손바닥을 메구미 앞에 들어 보이며, 안다는 제스처로 메구미의 말을 막았다.
L2699	［沙夜香］：知っているわ、この医療センターのスポンサー様でしょ。
>>	［사야카］：알아요, 이 의료 센터의 스폰서님이시잖아요.
L2702	『様』という部分に、やや皮肉のスパイスがまぶしてあると感じるのは、考えすぎだろうか。恵はちょっとスねたような顔をして、黙っている。
>>	『님』이라는 부분에 살짝 비꼬는 양념이 뿌려져 있다고 느끼는 건 지나친 생각일까. 메구미는 조금 삐친 얼굴로 잠자코 있다.
L2705	［沙夜香］：でも、規則は規則。スポンサーのご令嬢であっても、遵守してもらいますから。
>>	［사야카］：하지만 규칙은 규칙. 스폰서의 따님이라도 지켜 주셔야 해요.
L2708	［恵］：な、なによ、それって‥‥‥‥。
>>	［메구미］：뭐, 뭐야 그게‥‥‥‥.
L2711	［沙夜香］：はい、じゃあ退出して。ほらっ、早く。
>>	［사야카］：자, 그럼 나가 줘요. 어서, 빨리.
L2714	［恵］：あン、もう‥‥覚えてなさい、お父様に言って‥‥。
>>	［메구미］：아, 진짜‥‥두고 봐, 아버지한테 말해서‥‥.
L2717	［沙夜香］：はいはい、さっ、出て。
>>	［사야카］：네네, 자, 나가요.
L2721	［恵］：宏治、また来るからね！
>>	［메구미］：코지, 또 올 거니까!
L2724	バタン。
>>	쾅.
L2727	［沙夜香］：さてと、邪魔者はおっぱらったと。
>>	［사야카］：자아, 방해꾼은 쫓아냈고.
L2731	［宏治］：沙夜香さん、横暴だなぁ‥‥‥。
>>	［코지］：사야카 씨, 횡포가 심하시네요‥‥‥.
L2734	［沙夜香］：規則ですからね、しょうがないわよ。
>>	［사야카］：규칙이니까, 어쩔 수 없지.
L2738	［宏治］：規則規則って、いつも規則を破ってるくせに‥‥。
>>	［코지］：규칙 규칙 하면서, 늘 규칙 어기시면서‥‥.
L2742	［沙夜香］：あら、たまに宏治クンと、夜更かししたりする程度じゃない。
>>	［사야카］：어머, 가끔 코지 군이랑 밤 새우는 정도잖아.
L2746	［宏治］：ちょっ‥‥冗談でも、そんなこと恵には言わないで下さいよ。
>>	［코지］：잠깐‥‥농담이라도 그런 말 메구미한테는 하지 마세요.
L2749	［沙夜香］：残念ねぇ、２人でしっぽりと濡れたあの夜のことを‥‥。
>>	［사야카］：아쉽네, 둘이서 촉촉하게 젖었던 그 밤 일을‥‥.
L2753	［宏治］：ちょっとちょっと、単に夜遅くまで話していただけじゃないですか。
>>	［코지］：아니 잠깐만요, 그냥 밤늦게까지 얘기했을 뿐이잖아요.
L2756	［沙夜香］：そうだったっけ？
>>	［사야카］：그랬던가?
L2759	この、少々とぼけた女性は、沙夜香という。ここの医療センターで何故か、涼子先生の助手のようなことをしているらしい。
>>	이 조금 능청스러운 여자는 사야카라고 한다. 이 의료 센터에서 어째선지 료코 선생님의 조수 같은 일을 하고 있다고 한다.
L2762	相当の才媛のはずなのだが、生憎と雰囲気は、遊び人のお姉さまという感じだった。
>>	상당한 재원일 텐데, 공교롭게도 분위기는 노는 언니 같은 느낌이었다.
L2765	何故か、僕に絡んでくる‥‥迷惑という訳ではないが、その理由がわからない。
>>	어째선지 자꾸 내게 치근덕거린다‥‥귀찮은 건 아니지만, 그 이유를 모르겠다.
L2768	［沙夜香］：理由？　あなたに興味があるというのじゃ、ダメかしら？
>>	［사야카］：이유?　너한테 흥미가 있다는 걸론 안 될까?
L2771	それ以来、理由を聞くのもやめてしまった。どうも捉えどころのない女性だ。
>>	그 뒤로는 이유를 묻는 것도 그만두었다. 아무래도 종잡을 수 없는 여자다.
L2774	［沙夜香］：それよりも、どう、気分は？
>>	［사야카］：그보다, 어때, 기분은?
L2778	［宏治］：どうって‥‥‥見れば分かりませんか？
>>	［코지］：어떠냐니‥‥‥보면 모르시겠어요?
L2781	［沙夜香］：あまり、良くはないようだけど‥‥。
>>	［사야카］：그다지 좋아 보이진 않네‥‥.
L2785	［宏治］：はっきり言って、最悪ですよ。
>>	［코지］：솔직히 말해서, 최악이에요.
L2788	沙夜香は少しだけ心配そうな表情になった。傍らへやってくると、手のひらをそっと僕の額に当てる。
>>	사야카는 조금 걱정스러운 표정이 되었다. 곁으로 다가오더니, 손바닥을 살며시 내 이마에 댄다.
L2792	［宏治］：（ドキッ‥‥。）
>>	［코지］：（두근‥‥.）
L2795	［沙夜香］：ふむ、熱はないようね‥‥。
>>	［사야카］：흠, 열은 없는 것 같네‥‥.
L2798	［沙夜香］：今日は、例のアレを‥‥？
>>	［사야카］：오늘은, 그거‥‥?
L2802	［宏治］：いえ、今日はカウンセリングだけでした。
>>	［코지］：아뇨, 오늘은 카운슬링만 했어요.
L2805	［沙夜香］：そう‥‥近頃うなされてるそうじゃない。
>>	［사야카］：그래‥‥요즘 가위에 눌린다면서.
L2809	［宏治］：えっ、ええ‥‥‥‥。
>>	［코지］：엣, 예‥‥‥‥.
L2812	［沙夜香］：こんな状況下で、精神分析の研究も、無いと思うのだけど‥‥。
>>	［사야카］：이런 상황에서, 정신분석 연구라니, 말이 안 된다고 보는데‥‥.
L2816	［宏治］：でも一応、状況を睨んでの、研究だと聞いています。
>>	［코지］：그래도 일단, 상황을 내다본 연구라고 들었어요.
L2819	［沙夜香］：‥‥‥そう、上手く行けば、ね。
>>	［사야카］：‥‥‥그래, 잘 풀린다면야, 말이지.
L2822	確かに、おかしいと言えば、おかしかった。
>>	확실히, 이상하다면 이상한 일이었다.
L2825	こうした状況下に、この医療センターへ資金を流用させるのは、正直言って僕もどうかと思っている。
>>	이런 상황에 이 의료 센터로 자금을 돌리는 건, 솔직히 나도 어떤가 싶다.
L2828	何か、政治的な思惑があってのことだろうか‥‥恵の父親のことだからな‥‥。
>>	뭔가, 정치적인 속셈이 있어서일까‥‥메구미의 아버지니까‥‥.
L2831	［沙夜香］：フフ、しかし可愛い顔をして、よくやるわよね。大胆というか、若気の至りというか‥‥。
>>	［사야카］：후후, 그래도 귀여운 얼굴로 잘도 하네. 대담하달까, 젊은 혈기랄까‥‥.
L2834	思い出したように、沙夜香は含み笑いを洩らす。恵の事だろう。
>>	생각난 듯이, 사야카는 슬며시 웃음을 흘린다. 메구미 얘기겠지.
L2838	［宏治］：沙夜香さんだって、可愛い顔をしてるくせに、言うことなすこと、妙なことばかり‥‥。
>>	［코지］：사야카 씨야말로, 귀여운 얼굴을 해서는, 하는 말도 하는 짓도, 묘한 것뿐‥‥.
L2841	うっかりと口が滑ってしまった。しめたとばかり、沙夜香は顔をほころばせると、
>>	그만 말이 헛나오고 말았다. 옳거니 하며, 사야카는 얼굴에 미소를 띠더니,
L2844	［沙夜香］：えっ？　誰が可愛いって？
>>	［사야카］：엣?　누가 귀엽다고?
L2848	［宏治］：な、なんのこと？
>>	［코지］：무, 무슨 소리예요?
L2851	［沙夜香］：もう、いま言ったじゃない、誰のことよ。
>>	［사야카］：참, 방금 말했잖아, 누구 얘기냐고.
L2854	語尾にハートマークを付けたくなるほど、甘ったるい声で沙夜香は僕に近づいてきた。顔には媚びた笑みが浮かべている。
>>	말끝에 하트를 붙이고 싶어질 만큼, 달콤한 목소리로 사야카가 내게 다가왔다. 얼굴에는 교태 어린 미소가 떠 있다.
L2857	クスクス、とか、ニコニコ、ではない。女がある目的をもって男に笑いかける、例のあの表情だ。
>>	킥킥이라거나, 생글생글, 이 아니다. 여자가 어떤 목적을 갖고 남자에게 웃어 보이는, 바로 그 표정이다.
L2861	［宏治］：ちょ、ちょっと‥‥ぼ、僕は今、疲れていて‥‥。
>>	［코지］：자, 잠깐‥‥저, 저는 지금, 피곤해서‥‥.
L2864	［沙夜香］：フフ、何を焦っているのよ、ボク。
>>	［사야카］：후후, 뭘 그리 조급해하니, 꼬마.
L2868	［宏治］：あ、あのですね‥‥。
>>	［코지］：저, 저기요‥‥.
L2871	ブチブチ、ブチッ。
>>	뚝뚝, 뚝.
L2874	［沙夜香］：きゃっ、ボタンが‥‥。
>>	［사야카］：꺅, 단추가‥‥.
L2877	パラパラと音をたてて、ボタンが床に散らばっていった。
>>	후드득 소리를 내며, 단추가 바닥에 흩어졌다.
L2880	いわゆる立ちくらみに似ている。倒れる際、ブラウスに手を引っかけて、ボタンを全て外してしまったようだ。
>>	이른바 현기증과 비슷하다. 쓰러질 때, 블라우스에 손이 걸려, 단추를 전부 뜯어 버린 모양이다.
L2883	［沙夜香］：ひっどーい、このベストとブラウス、まだおニューだったのに‥‥。
>>	［사야카］：너무하네, 이 조끼랑 블라우스, 아직 새것이었는데‥‥.
L2887	［宏治］：べ、弁償‥‥しますよ。
>>	［코지］：벼, 변상‥‥할게요.
L2890	［沙夜香］：フフ、いいわ。許してあげる。でもそのかわり‥‥。
>>	［사야카］：후후, 됐어. 용서해 줄게. 하지만 그 대신‥‥.
L2893	［宏治］：そのかわりって、何ですか‥‥<$0C>ちょ、ちょっと‥‥。
>>	［코지］：그 대신이라니, 뭔가요‥‥<$0C>자, 잠깐‥‥.
L2895	［沙夜香］：なに、ビクビクしているのよ‥‥‥‥<$0C>あら？
>>	［사야카］：뭘 그렇게 벌벌 떠는 거야‥‥‥‥<$0C>어라?
L2898	［沙夜香］：ちょっと、顔色、さっきより悪くなっているわ、どうしたのよ‥‥。
>>	［사야카］：잠깐, 안색이, 아까보다 나빠졌잖아, 왜 그래‥‥.
L2902	［宏治］：だ、だから、さっきから‥‥‥‥あれ？　沙夜香さん、どこに行ったの‥‥？
>>	［코지］：그, 그러니까, 아까부터‥‥‥‥어라?　사야카 씨, 어디 간 거죠‥‥?
L2906	［沙夜香］：宏治クン‥‥ちょっと、宏治クン‥‥‥‥‥‥。
>>	［사야카］：코지 군‥‥잠깐, 코지 군‥‥‥‥‥‥.
L2915	やけに、暑かった‥‥‥‥。
>>	유난히, 더웠다‥‥‥‥.
L2918	個室は、ひんやりとしていて、心地よかったはずだ‥‥。
>>	1인실은, 서늘해서, 쾌적했을 텐데‥‥.
L2921	遠くの方で、誰かが僕を呼ぶ声が聞こえてくる‥‥‥‥‥‥。
>>	멀리서, 누군가 나를 부르는 소리가 들려온다‥‥‥‥‥‥.
L2924	ここは、どこなのだろうか‥‥‥‥。
>>	여기는, 어디일까‥‥‥‥.
L2927	消えゆく意識の中で、僕はそんなことを考えていた‥‥‥‥‥。
>>	꺼져 가는 의식 속에서, 나는 그런 생각을 하고 있었다‥‥‥‥‥.
L2933	やけに、暑い‥‥‥‥。
>>	유난히, 덥다‥‥‥‥.
L2936	個室は、ひんやりとしていて、心地よかった‥‥。
>>	1인실은, 서늘해서, 쾌적했다‥‥.
L2939	何だか‥‥‥‥。
>>	어쩐지‥‥‥‥.
L2942	何だか、じっとしているだけで、汗が流れ出るようだ‥‥。
>>	어쩐지, 가만히 있기만 해도, 땀이 흘러내리는 것 같다‥‥.
L2945	しかし、身体の片側は、やけにヒンヤリとしていた。
>>	하지만, 몸 한쪽은, 유난히 서늘했다.
L2948	そのギャップが、不快感をより増大させているようだった‥‥。
>>	그 차이가, 불쾌감을 한층 키우고 있는 듯했다‥‥.
L2951	それに、この‥‥‥‥。
>>	게다가, 이‥‥‥‥.
L2954	何だろう、この音は。
>>	뭘까, 이 소리는.
L2957	重々しいサウンドが、耳に響いてくる‥‥‥‥。
>>	묵직한 소리가, 귓속에 울려온다‥‥‥‥.
L2960	いったいこれは‥‥‥‥。
>>	대체 이건‥‥‥‥.
L2963	（これは‥‥‥‥。）
>>	（이건‥‥‥‥.）
L2966	（何だ、これは‥‥‥‥？）
>>	（뭐지, 이건‥‥‥‥?）
L2969	身を起こした私の目の前には、重厚なサウンドを醸し出している、異様に大きな機械が稼働していた‥‥。
>>	몸을 일으킨 내 눈앞에는, 묵직한 소리를 내뿜는, 기이할 만큼 커다란 기계가 가동되고 있었다‥‥.
L2972	コンソールパネルや、何かのランプが、ちかちかと点滅している。ずっと見ていると、目が痛くなってきそうだ。
>>	콘솔 패널이며, 무언가의 램프가, 깜박깜박 점멸하고 있다. 계속 보고 있으면, 눈이 아파질 것 같다.
L2975	（この暑さは、これのせいか‥‥‥‥。）
>>	（이 더위는, 이것 때문인가‥‥‥‥.）
L2978	（やけに、大きな機械だな‥‥しかも、騒々しい。）
>>	（유난히, 커다란 기계군‥‥게다가, 시끄럽다.）
L2981	何故、自分がこんな場所にいるのか‥‥ふと、その理由を考えてみるが、思い出すことができない。
>>	어째서, 내가 이런 곳에 있는 걸까‥‥문득, 그 이유를 생각해 보지만, 떠올릴 수가 없다.
L2984	私は、病院に居たのではなかったか‥‥？
>>	나는, 병원에 있지 않았던가‥‥?
L2987	ここは‥‥ここは、いったい何処なんだ‥‥？
>>	여기는‥‥여기는, 대체 어디란 말인가‥‥?
L2990	頭が痛かった‥‥。何故か、身体の節々が痛む。
>>	머리가 아팠다‥‥. 어째선지, 온몸의 마디마디가 쑤신다.
L2993	あごの下をぬぐうと、滝のように汗が滴っていた。身体は冷えているのに、汗が止まらない‥‥そんな感じだった。
>>	턱 밑을 훔치자, 폭포처럼 땀이 흐르고 있었다. 몸은 차가운데, 땀이 멎지 않는다‥‥그런 느낌이었다.
L2996	何故、こんなに暑いんだろうか‥‥‥‥。
>>	어째서, 이렇게 더운 걸까‥‥‥‥.
L2999	暑く、息苦しく、騒々しい場所‥‥‥何分もいられる所ではなさそうだった。
>>	덥고, 숨 막히고, 시끄러운 곳‥‥‥몇 분도 있을 만한 데가 아닌 듯했다.
L3002	（どうやったら、ここから出られるんだろうか‥‥‥‥。）
>>	（어떻게 하면, 여기서 나갈 수 있을까‥‥‥‥.）
L3005	ふと、手前右側には、ドアらしきものを発見した。
>>	문득, 앞쪽 오른편에서, 문 같은 것을 발견했다.
L3008	ドアの前に立ってみるが、開く様子は微塵もない。どうしたものかと思案する私の目に、ドア横のレバースイッチが入ってきた。
>>	문 앞에 서 보지만, 열릴 기미는 조금도 없다. 어쩔까 궁리하는 내 눈에, 문 옆의 레버 스위치가 들어왔다.
L3011	もしかすると、これで‥‥？
>>	어쩌면, 이걸로‥‥?
L3014	　◆ レバースイッチを入れてみよう。
>>	　◆ 레버 스위치를 넣어 보자.
L3017	　◆ むやみにスイッチを入れず、別の手段を考えよう。
>>	　◆ 함부로 스위치를 넣지 말고, 다른 수단을 생각하자.
L3020	レバースイッチを入れてみよう。
>>	레버 스위치를 넣어 보자.
L3023	ドアの前でずっと立ちっぱなしというのも、馬鹿馬鹿しい気がする。
>>	문 앞에 계속 서 있기만 하는 것도, 바보 같다는 생각이 든다.
L3026	他の手段が思い浮かばない以上、
>>	다른 수단이 떠오르지 않는 이상,
L3029	（これがドアの、開閉スイッチに違いない‥‥‥‥。）
>>	（이게 문의, 개폐 스위치임이 틀림없다‥‥‥‥.）
L3032	そう確信すると、私はレバーをゆっくりと入れていった。
>>	그렇게 확신하고, 나는 레버를 천천히 밀어 넣었다.
L3035	（な、なんだ‥‥どうしたんだ‥‥‥‥！？）
>>	（뭐, 뭐지‥‥무슨 일이야‥‥‥‥!?）
L3038	どうしたもないだろう。私が入れたスイッチによって鳴り響いたのは、明らかだった。
>>	무슨 일이고 뭐고 없다. 내가 넣은 스위치 때문에 울린 것은, 분명했다.
L3041	レバーを元に戻してみる‥‥たが、鳴り響くこの耳障りな音は、一向にやむ気配がない。
>>	레버를 원래대로 되돌려 본다‥‥지만, 울려 대는 이 거슬리는 소리는, 전혀 멎을 기미가 없다.
L3044	暑く息苦しい上に、けたたましいこの騒音によって、私の脳内神経は今にも麻痺しそうだった。
>>	덥고 숨 막히는 데다, 요란한 이 소음 탓에, 내 뇌 신경은 당장이라도 마비될 것 같았다.
L3047	私が、ドアに体当たりをしようとしたとき‥‥‥‥。
>>	내가, 문에 몸을 부딪치려 했을 때‥‥‥‥.
L3050	（音が‥‥‥‥。）
>>	（소리가‥‥‥‥.）
L3053	（音が、とまった‥‥‥‥？）
>>	（소리가, 멎었다‥‥‥‥?）
L3056	あれほど、けたたましく鳴っていたサイレンが、ピタッとなりやんだ。
>>	그토록, 요란하게 울리던 사이렌이, 뚝 하고 멎었다.
L3059	一瞬、あたりが静寂に包まれたほどだ‥‥。
>>	한순간, 주위가 정적에 휩싸일 정도였다‥‥.
L3062	しかし静寂は長くは続かなかった。透き通った声が、あたりに響きわたった。
>>	하지만 정적은 오래가지 않았다. 맑은 목소리가, 주위에 울려 퍼졌다.
L3065	［女の声］：ここにいたのね‥‥‥‥。
>>	［여자 목소리］：여기 있었구나‥‥‥‥.
L3068	［私］：あっ‥‥き、君は‥‥‥‥。
>>	［나］：앗‥‥다, 당신은‥‥‥‥.
L3071	どこかで見たことがある女性だった。
>>	어딘가에서 본 적 있는 여성이었다.
L3074	透き通った赤い髪‥‥どこかで、見たような‥‥。
>>	비칠 듯 투명한 붉은 머리‥‥어딘가에서, 본 것 같은‥‥.
L3077	［目の前の女］：けたたましく警報が鳴り響いたと思ったら‥‥あなたの仕業だったのね。
>>	［눈앞의 여자］：요란하게 경보가 울리길래 뭔가 했더니‥‥당신 짓이었구나.
L3080	むやみにスイッチを入れず、別の手段を考えよう。
>>	함부로 스위치를 넣지 말고, 다른 수단을 생각하자.
L3083	しかし、別の手段といっても‥‥‥‥。
>>	하지만, 다른 수단이라고 해도‥‥‥‥.
L3086	蒸し暑く、重低音が頭に響きわたる‥‥私の忍耐は、限界近くにまで来ているようだ。
>>	무덥고, 묵직한 저음이 머릿속에 울려 퍼진다‥‥내 인내는, 한계 가까이에 이른 듯하다.
L3089	どうしたら、ここから出ることができるのだろう‥‥。
>>	어떻게 해야, 여기서 나갈 수 있는 걸까‥‥.
