# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L21066	［ファル］：私は出てってと言ったのよ。
>>	［트레이시］：아, 네‥‥일단 이동형 색적 부이를 방출해서 상대의 정체를 확인하는 것이 당면 대처법이 될 것 같습니다.
L21287	［宏治］：うん、じゃあそれでいこう。
>>	［코지］：응, 그럼 그걸로 가자.
L21291	［宏治］：なんかこう、緊迫感がないよなぁ。気にはなるけど‥‥。
>>	［코지］：뭐랄까, 긴박감이 없단 말이지. 신경은 쓰이지만‥‥.
L21295	［宏治］：さぁ‥‥。
>>	［코지］：자‥‥.
L21298	［ファル］：緊迫感がないわね、本当に。
>>	［파르］：긴박감이 없네, 정말.
L21302	［宏治］：いや、全く。
>>	［코지］：응, 전혀.
L21305	［ファル］：訊きたいことがあるって言ったけど、それは訊問？
>>	［파르］：물어볼 게 있다고 했는데, 그거 심문이야?
L21309	［宏治］：いや、任意ってやつさ。どうしても嫌なら、無理強いはしない。
>>	［코지］：아니, 임의라는 거지. 정 싫으면 억지로 시키진 않아.
L21313	［宏治］：どうする？
>>	［코지］：어떻게 할래?
L21316	［ファル］：フン、訊かれてあげるわ。
>>	［파르］：흥, 물어보게 해 주지.
L21320	［宏治］：（素直じゃないんだよな‥‥。）
>>	［코지］：（솔직하지 못하다니까‥‥.）
L21323	［ファル］：何か言った？
>>	［파르］：뭐라고 했어?
L21327	［宏治］：ブグバグブグバグ、ミブグバグ。
>>	［코지］：부구바구부구바구, 미부구바구.
L21330	［ファル］：えっ？
>>	［파르］：어?
L21334	［宏治］：じゃあ、ちょっとだけ話を聞きたいんだけど‥‥。
>>	［코지］：그럼, 조금만 얘기를 듣고 싶은데‥‥.
L21337	覗きのような真似は何だし、ここで待ってみよう。
>>	엿보는 짓 같은 건 좀 그러니, 여기서 기다려 보자.
L21340	ファルネリアか‥‥どういう女性なんだろうな‥‥聞けば聞くほど、評価が下がっていくんだけど。
>>	파르네리아라‥‥어떤 여자일까‥‥들으면 들을수록 평가가 내려가는데.
L21343	あの、妙なカプセルの中に入っていた女性が、彼女か。いったい、何をやっていたんだろう。
>>	그, 이상한 캡슐 안에 들어 있던 여자가 파르네리아인가. 대체 뭘 하고 있었던 걸까.
L21346	触媒とか、言っていなかったっけ‥‥？
>>	촉매라든가, 말하지 않았던가‥‥?
L21350	［宏治］：（‥‥舞さん！？）
>>	［코지］：（‥‥마이 씨!?）
L21354	［舞］：ごめんなさい、お姉さんのせいで、宏治サンが‥‥。
>>	［마이］：미안해요, 언니 탓에 코지 상이‥‥.
L21357	［男の声］：何だ貴様、また私が狂ったとでも言うのか。
>>	［남자 목소리］：뭐냐 네놈, 또 내가 미쳤다는 거냐.
L21361	［宏治］：（また、この男の声が‥‥‥‥。）
>>	［코지］：（또, 이 남자 목소리가‥‥‥‥.）
L21365	［舞］：ううん、違うんです。ただ、元の宏治サンに戻って欲しいって‥‥。
>>	［마이］：아뇨, 그게 아니에요. 그냥, 원래의 코지 상으로 돌아와 주길 바라서‥‥.
L21368	［男の声］：失礼なやつだ。私はもともとこうだぞ。
>>	［남자 목소리］：무례한 녀석이군. 나는 원래부터 이렇다.
L21371	［舞］：すみません‥‥どのような責任でも、私とりますから‥‥。
>>	［마이］：죄송해요‥‥어떤 책임이든 제가 질 테니까‥‥.
L21374	［男の声］：フッフッフ、言ったな、どのような責任でも取ると、いま言ったな。
>>	［남자 목소리］：훗훗훗, 말했겠다, 어떤 책임이든 지겠다고, 방금 말했겠다.
L21377	［舞］：‥‥えっ？
>>	［마이］：‥‥어?
L21380	［男の声］：では、その責任とやらを取って戴こうか。
>>	［남자 목소리］：그럼, 그 책임이란 걸 져 주실까.
L21383	［舞］：えっ、えっ‥‥。
>>	［마이］：어, 어‥‥.
L21387	［宏治］：（ま、舞さん‥‥畜生、こいつめ、弱みにつけ込んで‥‥。）
>>	［코지］：（마, 마이 씨‥‥젠장, 이 자식, 약점을 파고들어‥‥.）
L21391	［宏治］：（舞さーんっ！！）
>>	［코지］：（마이 씨―!!）
L21394	ふにゃ。
>>	후냐.
L21397	［ファル］：きゃっ、何すんのよっ！
>>	［파르］：꺅, 뭐 하는 거야!
L21401	［宏治］：あれ、き、君は‥‥。
>>	［코지］：어라, 너, 너는‥‥.
L21404	［ファル］：こんなとこで何をやってるのよ！
>>	［파르］：이런 데서 뭘 하고 있는 거야!
L21408	［宏治］：おかしいな、舞さんが‥‥。
>>	［코지］：이상하네, 마이 씨가‥‥.
L21411	［ファル］：ぐーすか昼寝とは、いいご身分だこと。
>>	［파르］：쿨쿨 낮잠이라니, 팔자 좋으시네.
L21415	［宏治］：神様だって、昼寝くらいするさ。
>>	［코지］：신이라도 낮잠 정도는 잔다고.
L21419	［宏治］：えっ‥‥監禁って？
>>	［코지］：어‥‥감금이라니?
L21422	［ファル］：しらばくれないでよ、どうせ、覗きにでもきたんでしょう。あなたにお似合いだわ。
>>	［파르］：시치미 떼지 마, 어차피 엿보러 온 거잖아. 너한테 딱 어울려.
L21426	［宏治］：見くびるなよ、オレは覗きなんて低俗な事はしないぞ。
>>	［코지］：얕보지 마, 난 엿보기 같은 저속한 짓은 안 해.
L21429	［ファル］：どうだか‥‥。
>>	［파르］：글쎄‥‥.
L21433	［宏治］：その証拠にほら、君のことをちゃんとここで待っていたじゃないか。
>>	［코지］：그 증거로 이것 봐, 널 이렇게 여기서 얌전히 기다렸잖아.
L21437	［宏治］：エヘン、どうだ。
>>	［코지］：에헴, 어때.
L21440	［ファル］：人のことを誘拐しておいて、いけしゃあしゃあと言うことじゃないわ。
>>	［파르］：남을 유괴해 놓고서 뻔뻔하게 할 소리는 아니야.
L21444	［宏治］：いやいや‥‥。
>>	［코지］：아니 아니‥‥.
L21447	［ファル］：ちょ、ちょっと、どこを見てるのよ。
>>	［파르］：자, 잠깐, 어딜 보는 거야.
L21451	［宏治］：ど、どこって‥‥ムネの谷間をあわわわわ。
>>	［코지］：어, 어디라니‥‥가슴골을 아와와와와.
L21454	［ファル］：も、もう‥‥。
>>	［파르］：저, 정말‥‥.
L21457	［ファル］：きゃぁぁっ！！
>>	［파르］：꺄아앗!!
L21461	［宏治］：うわっ、ナイス！
>>	［코지］：우왓, 나이스!
L21464	バキッ！
>>	퍽!
L21468	［宏治］：んな、バスタオルを身体に巻いただけで、男の上になんてまたがるのが悪いんだよ。
>>	［코지］：에이, 목욕 수건만 몸에 두르고 남자 위에 올라탄 쪽이 잘못이지.
L21471	［ファル］：な、なによぉ‥‥。
>>	［파르］：뭐, 뭐야아‥‥.
L21475	［宏治］：そんな状況でバスタオルがはだけたら、死ぬ間際の爺さんだって目を剥くぜ。
>>	［코지］：그런 상황에서 수건이 벌어지면, 죽기 직전의 노인이라도 눈을 부릅뜬다고.
L21479	［宏治］：そういえば、誘拐とか監禁とか、ちょっと穏やかでない言葉もチラホラ出ていたし‥‥。
>>	［코지］：그러고 보니, 유괴니 감금이니 심상찮은 말도 간간이 나왔고‥‥.
L21483	［宏治］：んー、コウジってヤツは、いったいどういうヤツなんだ。
>>	［코지］：음―, 코우지란 놈은 대체 어떤 놈인 거야.
L21487	［宏治］：なんかこう、緊迫感がないようなぁ。気にはなるけど‥‥。
>>	［코지］：뭐랄까, 긴박감이 없는 것 같단 말이지. 신경은 쓰이지만‥‥.
L21490	［ファル］：お待たせ‥‥。
>>	［파르］：오래 기다렸지‥‥.
L21494	［宏治］：ふぁ、ファルネリア‥‥‥。
>>	［코지］：파, 파르네리아‥‥‥.
L21497	［ファル］：な、なによ‥‥。
>>	［파르］：뭐, 뭐야‥‥.
L21501	［宏治］：いやなに、馬子にも衣装って言葉を思い出してさ。
>>	［코지］：아니 뭐, 옷이 날개라는 말이 생각나서.
L21505	［宏治］：手が早いなぁ、ボクサーにでもなったら？
>>	［코지］：손이 빠르네, 복서라도 되지 그래?
L21508	［ファル］：フン。
>>	［파르］：흥.
L21512	［宏治］：（やっぱ、凶暴だわ‥‥。）
>>	［코지］：（역시, 난폭해‥‥.）
L21516	［宏治］：いや別に。
>>	［코지］：아니 별로.
L21519	　◆ トレイシーって女性だけど、いったいどういう人？
>>	　◆ 트레이시라는 여자 말인데, 대체 어떤 사람이야?
L21522	［ランファ］：私ですかぁ？
>>	［란파］：저 말인가요오?
L21526	［宏治］：そう、きみ。
>>	［코지］：그래, 너.
L21529	［ランファ］：しろみ！　なんちってぇ～。
>>	［란파］：너구리!　농담이에요오～.
L21533	［ランファ］：コウジ様ぁ‥‥ウルウル。
>>	［란파］：코우지 니임‥‥글썽글썽.
L21537	［宏治］：ど、どうしたの、急に涙をためて‥‥。
>>	［코지］：왜, 왜 그래, 갑자기 눈물이 그렁그렁해서‥‥.
L21540	［ランファ］：本当にランファのことを、忘れてしまったんですか？
>>	［란파］：정말로 란파를 잊어버리신 건가요?
L21544	［宏治］：い、いやなんというか、記憶が混乱していて‥‥いや記憶は混乱してないんだけど、状況に混乱していてね。
>>	［코지］：아, 아니 뭐랄까, 기억이 혼란스러워서‥‥아니 기억은 멀쩡한데, 상황이 혼란스러워서 말이야.
L21547	［ランファ］：よくわからないですけど、ランファが誰かってことですね？
>>	［란파］：잘 모르겠지만, 란파가 누구냐는 거군요?
L21551	［宏治］：そ、そう。（さっきから、そう言ってるんだけど‥‥。）
>>	［코지］：그, 그래.（아까부터 그렇게 말하고 있는데‥‥.）
L21554	［ランファ］：私はぁ‥‥。
>>	［란파］：저는요오‥‥.
L21558	［ランファ］：コウジ様の心の恋人、なんですぅ！
>>	［란파］：코우지 님의 마음속 연인이랍니다아!
L21562	［ランファ］：きゃっ、今のは冗談ですからね。本当は、コウジ様をお慕いするランファなんですぅ。
>>	［란파］：꺅, 방금 건 농담이에요. 사실은 코우지 님을 사모하는 란파랍니다아.
L21566	［ランファ］：ここは、コウジ様と愛を育むための、ベッドの上なんですぅ。
>>	［란파］：여긴 코우지 님과 사랑을 키우기 위한 침대 위랍니다아.
L21570	［宏治］：あ、あのね‥‥場所だよ、もっと大きな意味での場所。
>>	［코지］：저, 저기‥‥장소 말이야, 더 넓은 의미의 장소.
L21573	［ランファ］：ここは、《クワドラ》です。
>>	［란파］：여긴 《콰드라》예요.
L21577	［宏治］：くわ‥‥えっ？
>>	［코지］：콰‥‥어?
L21581	［ランファ］：ランファとぉ、コウジ様のぉ、愛の結晶なんですぅ。
>>	［란파］：란파와아, 코우지 님의, 사랑의 결정체랍니다아.
L21585	［ランファ］：ですから、ランファとぉ、コウジ様のぉ、愛の結晶なんですぅ。
>>	［란파］：그러니까, 란파와아, 코우지 님의, 사랑의 결정체랍니다아.
L21589	［宏治］：あっそう。
>>	［코지］：아 그래.
L21592	［ランファ］：はい！
>>	［란파］：네!
L21596	［宏治］：トレイシーって女性だけど、いったいどういう人？
>>	［코지］：트레이시라는 여자 말인데, 대체 어떤 사람이야?
L21599	［ランファ］：トレイシーですか？
>>	［란파］：트레이시요?
L21603	［宏治］：そう、あの眼鏡の美人。
>>	［코지］：그래, 그 안경 쓴 미인.
L21607	［ランファ］：コウジ様っ！
>>	［란파］：코우지 님!
L21610	［ランファ］：いま、何て言いましたか！？
>>	［란파］：방금, 뭐라고 하셨어요!?
L21614	［宏治］：こ、恐い声出して、どうしたんだよ。
>>	［코지］：무, 무서운 목소리를 내다니, 왜 그래.
L21618	［宏治］：な、なんでしょうか。
>>	［코지］：무, 무슨 일이신지요.
L21621	［ランファ］：いま、何て言ったか、言って下さい！
>>	［란파］：방금 뭐라고 했는지, 말해 주세요!
L21625	［宏治］：い、いま？
>>	［코지］：바, 방금?
L21628	［ランファ］：はいっ！
>>	［란파］：네!
L21632	［宏治］：『いま』って言った気がするぞ。
>>	［코지］：『방금』이라고 말한 것 같은데.
L21635	［ランファ］：違いますぅ、トレイシーのことです！
>>	［란파］：아니에요오, 트레이시 얘기예요!
L21639	［宏治］：あぁ、あの眼鏡の美人が？
>>	［코지］：아아, 그 안경 쓴 미인이?
L21642	［ランファ］：ほらぁ！！
>>	［란파］：거봐요!!
L21645	［ランファ］：もうプリプリですぅ。ランファにも、ランファにも言って下さい。
>>	［란파］：진짜 삐졌어요. 란파한테도, 란파한테도 말해주세요.
L21649	［宏治］：も、もしかして、美人？
>>	［코지］：혹, 혹시 미인 말이야?
L21652	［ランファ］：ずるいですぅ。
>>	［란파］：치사해요.
L21656	［宏治］：き、君は美人と言うよりは、可愛らしいって感じだよね。
>>	［코지］：너, 너는 미인이라기보다는 귀엽다는 느낌이지.
L21659	［ランファ］：きゃっ、ホントですか！？
>>	［란파］：꺄앗, 정말요!?
L21663	［ランファ］：あン、コウジ様ぁ‥‥。
>>	［란파］：아앙, 코우지 니임‥‥.
L21667	［宏治］：あ、あのさぁ、トレイシーって人のことだけど‥‥。
>>	［코지］：저, 저기, 트레이시라는 사람 말인데‥‥.
L21670	［ランファ］：トレイシーですか？　もう、ランファの若さと可愛さに嫉妬ばかりしてる、行かず後家なんですぅ。
>>	［란파］：트레이시요?　정말, 란파의 젊음과 귀여움을 질투만 하는, 시집 못 간 노처녀예요.
L21674	［宏治］：‥‥で、彼女、何をしてるんだい？
>>	［코지］：‥‥그래서, 그 여자는 뭘 하고 있는 거지?
L21677	［ランファ］：そうですねぇ、食っちゃ寝ですか？
>>	［란파］：글쎄요, 먹고 자기 아닐까요?
L21681	［宏治］：なんだよ、それは。真面目に言ってよ。
>>	［코지］：뭐야 그게. 진지하게 말해줘.
L21684	［ランファ］：ホントですぅ。でも最近は、ジェネレータの計測をやってたみたいですけど‥‥後はよく知りません。
>>	［란파］：정말이에요. 그래도 요즘은 제너레이터 계측을 하고 있었던 것 같은데‥‥그 뒤는 잘 몰라요.
L21688	［ランファ］：だってぇ、コウジ様はコウジ様じゃないですか。
>>	［란파］：그야, 코우지 님은 코우지 님이잖아요.
L21692	［宏治］：オレは君らのことを、残念ながら知らない‥‥。
>>	［코지］：난 유감스럽게도 너희에 대해 몰라‥‥.
L21695	［ランファ］：ウルウルぅ‥‥。
>>	［란파］：글썽글썽‥‥.
L21699	［宏治］：じゃなくて、覚えてないけど、君らがオレのことを知ってるのはどう考えても不公平じゃないか。
>>	［코지］：아니, 기억은 안 나지만, 너희만 날 아는 건 아무리 봐도 불공평하잖아.
L21703	［ランファ］：だって、コウジ様の事を知らないなんて、ここじゃモグリですぅ。
>>	［란파］：그치만, 코우지 님을 모른다니, 여기선 얼치기예요.
L21707	［宏治］：も、もぐり‥‥うーむ。
>>	［코지］：어, 얼치기‥‥으음.
L21710	［ランファ］：《クワドラ》ですか？
>>	［란파］：《콰드라》요?
L21714	［宏治］：そう。聞かない名前だけど‥‥。
>>	［코지］：그래. 못 들어본 이름인데‥‥.
L21718	［宏治］：じゃなくて、ど忘れってやつかな、うん。
>>	［코지］：아니, 깜빡 잊은 건가, 응.
L21722	［ランファ］：《クワドラ》は、コウジ様とランファの、愛の結晶なんですっ。
>>	［란파］：《콰드라》는 코우지 님과 란파의 사랑의 결정체예요.
L21726	［宏治］：あ、愛の結晶‥‥？
>>	［코지］：사, 사랑의 결정체‥‥?
L21729	［ランファ］：そうです！
>>	［란파］：그래요!
L21733	［宏治］：じゃ、じゃあ愛の結晶の詳細を知りたいな。
>>	［코지］：그, 그럼 사랑의 결정체에 대해 자세히 알고 싶은데.
L21736	［ランファ］：エッヘン、聞いて下さい！
>>	［란파］：에헴, 들어보세요!
L21740	［宏治］：う、うん。
>>	［코지］：으, 응.
L21743	［ランファ］：《クワドラ》はカルバドル級軽機動シップを大幅にチューンナップされた、高速機動シップなのれーす！
>>	［란파］：《콰드라》는 칼바돌급 경기동함을 대폭 튠업한, 고속 기동함이에염!
L21746	［ランファ］：全長は５２メートル、エンジンはエーテル光子動力を利用し、ハイパードライブ機能も備えた‥‥。
>>	［란파］：전장은 ５２미터, 엔진은 에테르 광자 동력을 쓰고, 하이퍼드라이브 기능도 갖췄고‥‥.
L21749	［ランファ］：火器は、な、なんとイオン砲を３門、および光子ブラスターを２連、生半可な巡洋艦など、一発よっ！
>>	［란파］：화기는, 무, 무려 이온포 ３문에 광자 블래스터 ２연장, 어설픈 순양함 따위는 한 방이에요!
L21752	［ランファ］：最大搭乗員数は２０人、でもフルオートのエンジンや航行機能などで、最低３人にまで削減することが可能なのっ。
>>	［란파］：최대 탑승 인원은 ２０명, 하지만 풀오토 엔진과 항행 기능으로 최소 ３명까지 줄일 수 있어요.
L21755	［ランファ］：その他にも、タキオンを利用したハイパーウェイブ通信機能など、あぁ、何て可愛らしい子なのかしらっ。
>>	［란파］：그 밖에도 타키온을 이용한 하이퍼웨이브 통신 기능 등등, 아아, 어쩜 이리 사랑스러운 아이일까.
L21759	［宏治］：ら、ランファ。
>>	［코지］：라, 란파.
L21762	［ランファ］：はい。なんでしょうか？
>>	［란파］：네. 무슨 일인가요?
L21765	［ランファ］：そうですね！　《クワドラ》は冗談って思わないと、他の海賊さんたちは、やってられないと思います。
>>	［란파］：그렇죠!　《콰드라》를 농담이라 여기지 않으면, 다른 해적분들은 견딜 수 없을 거예요.
L21768	［ランファ］：あたりきしゃりきの‥‥。
>>	［란파］：두말하면 잔소리인‥‥.
L21772	［宏治］：‥‥もういい。
>>	［코지］：‥‥이제 됐어.
L21775	［ランファ］：ジェネレータ‥‥ですか？
>>	［란파］：제너레이터‥‥요?
L21778	［ランファ］：私も詳しいことは知らないんですけど‥‥。
>>	［란파］：저도 자세한 건 모르지만‥‥.
L21782	［ランファ］：確かコウジ様、大宇宙海賊御用達霊子エナジー増幅ジェネレータって、言ってました。
>>	［란파］：분명 코우지 님이 대우주 해적 전용 영자 에너지 증폭 제너레이터라고 하셨어요.
L21785	［ランファ］：きゃぁっ！
>>	［란파］：꺄앗!
L21789	［宏治］：ど、どうした！？
>>	［코지］：무, 무슨 일이야!?
L21792	［ランファ］：舌を噛まずに、初めてキチンと言えたんですぅ。
>>	［란파］：혀 안 깨물고 처음으로 제대로 말했어요.
L21796	［宏治］：あ、あのね‥‥それよりも、何だって？
>>	［코지］：저, 저기‥‥그보다, 뭐라고?
L21799	［ランファ］：ですからぁ、大宇宙かいぞきらべまとろろ‥‥。
>>	［란파］：그러니까요, 대우주 해젝 정용달 영자 에너저‥‥.
L21802	［ランファ］：イタタ‥‥舌を噛んじゃったんですぅ‥‥ウルウル。
>>	［란파］：아야야‥‥혀를 깨물어버렸어요‥‥글썽글썽.
L21806	［宏治］：まぁいい、とにかくなんだよ、そのイカれた名前は。
>>	［코지］：뭐 됐어, 아무튼 뭐야 그 정신 나간 이름은.
L21810	［ランファ］：コウジ様が、ご自身で付けたイカした名前ですよっ。
>>	［란파］：코우지 님이 직접 붙이신 끝내주는 이름이라고요.
L21813	［ランファ］：はい、そうでーす。とってもラブリィだと、思いますけどぉ。
>>	［란파］：네, 맞아요오. 아주 러블리하다고 생각하는데요오.
L21816	［ランファ］：はい。
>>	［란파］：네.
L21819	［ランファ］：うーん‥‥。
>>	［란파］：으음‥‥.
L21822	［ランファ］：うーん、うーん‥‥。
>>	［란파］：으음, 으음‥‥.
L21825	［ランファ］：ほげぇぇっ！
>>	［란파］：호게에엣!
