# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L22725	［ファル］：何を訳のわからない事を言ってるのよ。
>>	［코지］：아니, 그렇다니까. 내가 아는 선생도 그런 타입이야. 머리는 엄청 좋은데 상상력이 좀 결여돼 있지.
L22928	［ファル］：でも、基本コンセプトは全然違ったのよ。
>>	［파르］：하지만 기본 콘셉트는 전혀 달랐어.
L22932	［宏治］：どういうこと？
>>	［코지］：무슨 소리야?
L22936	［ファル］：本来は、精神治療のために考えられていた機械を、コウジがああいう形に改悪してしまったんじゃない。
>>	［파르］：원래는 정신 치료를 위해 고안된 기계를 코우지가 그런 식으로 개악해 버린 거잖아.
L22940	［宏治］：‥‥‥そ、そうだっけ？
>>	［코지］：‥‥‥그, 그랬던가?
L22943	［ファル］：なによ、もう！
>>	［파르］：뭐야, 정말!
L22947	［宏治］：まぁいいじゃない、コウジってのは想像力がちょっと欠如していたんだよな。
>>	［코지］：뭐 됐잖아, 코우지란 놈은 상상력이 좀 결여돼 있었던 거지.
L22950	［ファル］：全く逆よ。そう想像したから、改悪したんじゃない。
>>	［파르］：완전 반대야. 그렇게 상상했으니까 개악한 거잖아.
L22954	［宏治］：むぅ‥‥‥。
>>	［코지］：으음‥‥‥.
L22957	　◆ 玉虫色は、どんな感情を表しているんだい？
>>	　◆ 비단벌레색은 어떤 감정을 나타내는 거야?
L22960	　◆ ファルのスリーサイズが知りたいんだ。
>>	　◆ 파르의 스리사이즈를 알고 싶어.
L22963	　◆ 硬さと太さ、どっちの方が重要？
>>	　◆ 단단함과 굵기, 어느 쪽이 더 중요해?
L22967	［宏治］：玉虫色は、どんな感情を表しているんだい？
>>	［코지］：비단벌레색은 어떤 감정을 나타내는 거야?
L22970	［ファル］：た、たまむしいろ？
>>	［파르］：비, 비단벌레색?
L22974	［宏治］：そう、玉虫色。
>>	［코지］：그래, 비단벌레색.
L22977	［ファル］：何なのよ、それは。
>>	［파르］：그게 대체 뭔데.
L22981	［宏治］：知らないのかい？　玉虫って昆虫がいてね、そいつの羽は光線の反射具合で、紫や緑に見えたりするんだ。
>>	［코지］：몰라?　비단벌레라는 곤충이 있는데, 그 날개는 빛의 반사에 따라 보라나 초록으로 보여.
L22984	［ファル］：だから？
>>	［파르］：그래서?
L22988	［宏治］：だから、玉虫色さ。
>>	［코지］：그러니까 비단벌레색이지.
L22991	［ファル］：そんな色は、人間の感情に無いわ。
>>	［파르］：그런 색은 인간의 감정에 없어.
L22995	［宏治］：フッ、思った通りだ。
>>	［코지］：훗, 생각한 대로군.
L22998	［ファル］：で、他に聞きたいことは？
>>	［파르］：그래서, 더 묻고 싶은 건?
L23002	［宏治］：こぶひで殴ることないらろ！
>>	［코지］：주머그로 때릴 껀 업짜나!
L23006	［宏治］：ファルのスリーサイズが知りたいんだ。
>>	［코지］：파르의 스리사이즈를 알고 싶어.
L23009	［ファル］：‥‥つまらない質問は、しないんじゃなかったの？
>>	［파르］：‥‥시시한 질문은 안 하기로 한 거 아니었어?
L23013	［宏治］：つまらなくはないだろう。それとも何かい、ファルのスリーサイズってのは取るに足らないものなの？
>>	［코지］：시시하진 않잖아. 아니면 뭐야, 파르의 스리사이즈는 별것 아니라는 거야?
L23016	［ファル］：そ、そんな訳ないでしょ！
>>	［파르］：그, 그럴 리 없잖아!
L23020	［宏治］：本当かなぁ？
>>	［코지］：정말일까?
L23023	［ファル］：あなたの部下の、眼鏡を掛けた女性には負けるけど、このバストからヒップにかけてのラインには、ちょっと自信があるんですからね。
>>	［파르］：당신 부하인 안경 쓴 여자한텐 지지만, 이 가슴에서 엉덩이로 이어지는 라인엔 좀 자신 있다고.
L23027	［宏治］：ほぉ、で、そのサイズは？
>>	［코지］：호오, 그래서 그 사이즈는?
L23030	［ファル］：上から、８８－５９－８８よ。
>>	［파르］：위에서부터, ８８－５９－８８이야.
L23034	［宏治］：なるほどな、メモメモ。
>>	［코지］：과연, 메모메모.
L23038	［宏治］：硬さと太さ、どっちの方が重要？
>>	［코지］：단단함과 굵기, 어느 쪽이 더 중요해?
L23041	［ファル］：‥‥なに？　それ。
>>	［파르］：‥‥뭐?　그게.
L23045	［宏治］：だ、だから、硬さと太さ‥‥。
>>	［코지］：그, 그러니까, 단단함과 굵기‥‥.
L23048	［ファル］：もう、中年みたいに溜息つかないでよ。
>>	［파르］：정말, 중년처럼 한숨 쉬지 마.
L23052	［宏治］：精神年齢は高い方なんでね。
>>	［코지］：정신연령은 높은 편이거든.
L23055	［ファル］：フフ、バカね‥‥。
>>	［파르］：후후, 바보네‥‥.
L23058	［ファル］：でも信じられないわ‥‥。
>>	［파르］：그래도 믿기지 않아‥‥.
L23062	［宏治］：なにが？
>>	［코지］：뭐가?
L23065	［ファル］：あなたと、こうしてベッドを共にするなんて。
>>	［파르］：당신과 이렇게 침대를 함께하다니.
L23069	［宏治］：そうだよな、ほんの数時間前までは、親のカタキみたいなもんだったし。
>>	［코지］：그러게, 불과 몇 시간 전까진 부모 원수 같은 사이였으니까.
L23073	［宏治］：でも良かったぜ、ホント‥‥大量に出しちゃったよ。
>>	［코지］：근데 좋았어, 정말‥‥엄청 많이 쏟아버렸어.
L23076	［ファル］：もう、猿なみね。オナニーくらい、ちゃんとしなさいよ。
>>	［파르］：정말, 원숭이 수준이네. 자위 정도는 제대로 해 두라고.
L23079	ぎゅっ。
>>	꽉.
L23083	［宏治］：ッテテテ、デリケートな部分なんだから、優しくしてくれよ。
>>	［코지］：아야야야, 예민한 부분이니까 살살 해줘.
L23086	［ファル］：私ね‥‥。
>>	［파르］：나 말이야‥‥.
L23090	［宏治］：なんだい？
>>	［코지］：뭔데?
L23093	［ファル］：私、宇宙海賊なんて、残虐非道で冷徹で、私利私欲しかなくて、おまけに顔も悪くて無茶苦茶イヤな奴だと思ってたの。
>>	［파르］：난 우주해적이란 잔학무도하고 냉혹하고, 사리사욕뿐인 데다 얼굴까지 못생긴 엄청 싫은 놈인 줄 알았어.
L23097	［宏治］：顔は悪くないと思うぞ、顔は。
>>	［코지］：얼굴은 나쁘지 않다고 보는데, 얼굴은.
L23100	［ファル］：フフ、でも今のあなたは、すっごく素敵だわ‥‥。
>>	［파르］：후후, 그래도 지금의 당신은 너무 멋져‥‥.
L23104	［宏治］：コウジじゃなくて、宏治の方な。
>>	［코지］：코우지가 아니라 코지 쪽 말이지.
L23107	［ファル］：そっか、あなた、トイレで転んで記憶を無くしていたのよね。
>>	［파르］：그렇지, 당신 화장실에서 넘어져 기억을 잃었댔지.
L23111	［宏治］：記憶を無くしてるってのは、正確じゃないんだけど。
>>	［코지］：기억을 잃었다는 건 정확하진 않지만.
L23114	［ファル］：フフ、今のあなただったら、どっちでもいいわ。もう、あなたに‥‥。
>>	［파르］：후후, 지금의 당신이라면 어느 쪽이든 좋아. 이제, 당신에게‥‥.
L23118	［宏治］：ほぉ、いつもは、学生たちと乱交してるのに？
>>	［코지］：호오, 평소엔 학생들이랑 난교하면서?
L23121	［ファル］：バカ、そんな訳ないでしょっ！
>>	［파르］：바보, 그럴 리 없잖아!
L23125	［宏治］：怪しいもんだよな、３人としたんだっけ？
>>	［코지］：수상한데 말이야, ３명이랑 했댔지?
L23128	［ファル］：なっ‥‥。
>>	［파르］：뭐‥‥.
L23132	［宏治］：みーんな、はさんでやったんだよな。
>>	［코지］：다아들, 사이에 끼워서 해줬다는 거지.
L23135	［ファル］：なによっ！
>>	［파르］：뭐야!
L23139	［ファル］：もうこの胸は、コウジだけのもの‥‥。
>>	［파르］：이제 이 가슴은 코우지만의 것‥‥.
L23143	［宏治］：ほ、ホント？（殴られるかと思ったぜ‥‥。）
>>	［코지］：저, 정말?（맞을 줄 알았는데‥‥.）
L23147	［ファル］：ホントよ。この胸も、この口も、アソコも‥‥みんなコウジのモノよ。好きにしていいの‥‥。
>>	［파르］：정말이야. 이 가슴도, 이 입도, 거기도‥‥전부 코우지의 것이야. 마음대로 해도 돼‥‥.
L23151	［宏治］：んなこと言うと、海綿体に血液がたまるじゃないか。
>>	［코지］：그런 말 하면 해면체에 피가 몰리잖아.
L23154	［ファル］：‥‥さっき、あんなに出したばかりなのに‥‥すご‥‥。
>>	［파르］：‥‥아까 그렇게 쏟았는데‥‥대단‥‥.
L23158	［宏治］：フェラしてくれる？
>>	［코지］：입으로 해줄래?
L23161	［ファル］：うん。今度は飲ませてねっ。
>>	［파르］：응. 이번엔 마시게 해줘.
L23165	［宏治］：うんうん。
>>	［코지］：응응.
L23168	［ファル］：じゃ‥‥‥‥。
>>	［파르］：그럼‥‥‥‥.
L23171	ゴゴゴゴゴッッ！！
>>	우르르르르릉!!
L23175	［宏治］：イテッ！
>>	［코지］：아얏!
L23178	［ファル］：きゃっ、ごめんなさい‥‥歯形が付いちゃったわ‥‥。
>>	［파르］：꺄악, 미안해‥‥잇자국이 나버렸어‥‥.
L23182	［宏治］：トホホ‥‥。
>>	［코지］：에구구‥‥.
L23185	［ファル］：でも、今のはいったい何かしら？
>>	［파르］：그런데, 방금 건 대체 뭘까?
L23189	［宏治］：そうだな‥‥凄い衝撃だったけど‥‥。
>>	［코지］：글쎄‥‥엄청난 충격이었는데‥‥.
L23193	［宏治］：な、何だ‥‥？
>>	［코지］：무, 뭐지‥‥?
L23197	［宏治］：内線の呼び出しか‥‥誰だろう‥‥。
>>	［코지］：내선 호출인가‥‥누구지‥‥.
L23201	［トレイシー］：コウジ様、お取り込み中申し訳ございません。
>>	［트레이시］：코우지 님, 바쁘신 중에 죄송합니다.
L23204	［ファル］：きゃっ、私、まだ裸よ‥‥。
>>	［파르］：꺄악, 나 아직 알몸이야‥‥.
L23207	［トレイシー］：申し訳ございません。しかし‥‥。
>>	［트레이시］：죄송합니다. 하지만‥‥.
L23211	［宏治］：いいぜ、どうした？
>>	［코지］：괜찮아, 무슨 일이야?
L23214	［トレイシー］：あっ、はい‥‥さきほど、《クワドラ》の航路上にいた大型シップからの威嚇砲撃です。
>>	［트레이시］：아, 예‥‥조금 전, 《쿠와드라》의 항로상에 있던 대형 함선의 위협 포격입니다.
L23218	［宏治］：威嚇砲撃ぃ？
>>	［코지］：위협 포격이이?
L23222	［ファル］：どうしたのよ、コウジ‥‥。
>>	［파르］：무슨 일이야, 코우지‥‥.
L23226	［宏治］：わからんよ、全く状況が見えない。
>>	［코지］：모르겠어, 상황이 전혀 안 보여.
L23229	［トレイシー］：いかがなさいますか？
>>	［트레이시］：어떻게 하시겠습니까?
L23233	［宏治］：んー、そのＧ２型宇宙船は、いまどこだよ。
>>	［코지］：음, 그 Ｇ２형 우주선은 지금 어디 있어.
L23236	［トレイシー］：我々の、すぐ上です。
>>	［트레이시］：저희 바로 위입니다.
L23240	［宏治］：なんだ、どうした！？　また砲撃か！？
>>	［코지］：뭐야, 무슨 일이야!?　또 포격인가!?
L23243	［トレイシー］：接舷されました。
>>	［트레이시］：접현당했습니다.
L23247	［宏治］：せ、接舷！？　何のために。
>>	［코지］：저, 접현!?　뭘 하려고.
L23250	［トレイシー］：恐らくこちらへ乗り込み、白兵戦を行うものと予想されます。
>>	［트레이시］：아마 이쪽으로 넘어와 백병전을 벌일 것으로 예상됩니다.
L23254	［宏治］：は、白兵！？
>>	［코지］：배, 백병!?
L23257	ピュイィィ～～～～。
>>	삐이이이～～～～.
L23260	［ファル］：きゃぁ、なに、どうしたの！？
>>	［파르］：꺄아, 뭐야, 무슨 일이야!?
L23263	［トレイシー］：何者かが、艦内放送を乗っ取りました。
>>	［트레이시］：누군가가 함내 방송을 탈취했습니다.
L23267	［宏治］：なんだって！？
>>	［코지］：뭐라고!?
L23271	［女の声］：『憶病にして脆弱な、宇宙海賊を名乗るコウジに告ぐ‥‥。』
>>	［여자 목소리］：『겁 많고 나약한, 우주해적을 자칭하는 코우지에게 고한다‥‥.』
L23275	［宏治］：お、オレ！？
>>	［코지］：나, 나!?
L23278	［女の声］：『《クワドラ》はすでに拿捕され、我が手中にある。サイキックエンコーダをわたしてもらう。』
>>	［여자 목소리］：『《쿠와드라》는 이미 나포되어 내 손안에 있다. 사이킥 인코더를 넘겨받겠다.』
L23282	［宏治］：エンコーダを奪いに来たのか‥‥やけに挑発的なヤツだな。
>>	［코지］：인코더를 빼앗으러 온 건가‥‥유난히 도발적인 녀석이군.
L23285	［女の声］：『我こそは大宇宙を支配する海賊ビアンカ‥‥いつぞやの借りは返させてもらうぞ。』
>>	［여자 목소리］：『나야말로 대우주를 지배하는 해적 비앙카‥‥그때의 빚은 갚아주마.』
L23289	［宏治］：か、海賊って‥‥。
>>	［코지］：해, 해적이라니‥‥.
L23293	［ファル］：聞いたことがあるわ。ビアンカって、コウジに勝るとも劣らない残虐非道な‥‥。
>>	［파르］：들어본 적 있어. 비앙카는 코우지에 못지않게 잔학무도한‥‥.
L23296	［ファル］：あっ、今は改心して、素敵な人。
>>	［파르］：아, 지금은 개심해서 멋진 사람이야.
L23300	［宏治］：フォローしなくてもいいよ。でも、なんでビアンカとかいうヤツが‥‥。
>>	［코지］：감싸주지 않아도 돼. 근데 비앙카라나 하는 녀석은 왜‥‥.
L23303	ガガーーーーンッ！！
>>	콰가아아아앙!!
L23307	［宏治］：な、何の音だ！？
>>	［코지］：무, 무슨 소리야!?
L23311	［トレイシー］：侵入されました！　コウジ様！！
>>	［트레이시］：침입당했습니다!　코우지 님!!
L23315	［宏治］：侵入！？
>>	［코지］：침입!?
L23319	［宏治］：いかがって‥‥とにかく様子を見に行ってみる。トレイシーも、敵に備えるんだ。
>>	［코지］：어떡하냐니‥‥일단 상황을 보러 갔다 올게. 트레이시도 적에 대비해.
L23322	［トレイシー］：はい、お気をつけて！
>>	［트레이시］：네, 조심하세요!
L23326	［宏治］：どうやら、ちょっとヤバそうだ。オレは様子を見に行く。
>>	［코지］：아무래도 좀 위험한 것 같군. 난 상황을 보러 간다.
L23329	［ファル］：私も‥‥。
>>	［파르］：나도‥‥.
L23333	［宏治］：ファルはここにいろ。さっきの放送を聞いたろ？　ヤツは君とエンコーダが目的だ。
>>	［코지］：파르는 여기 있어. 아까 방송 들었지?　놈의 목적은 너와 인코더야.
L23337	［宏治］：大丈夫だ、すぐに戻ってくる。さっ、着替えて。
>>	［코지］：괜찮아, 금방 돌아올게. 자, 옷 갈아입어.
L23340	［ファル］：‥‥うん。
>>	［파르］：‥‥응.
L23344	［宏治］：さてと‥‥。
>>	［코지］：자, 그럼‥‥.
L23347	［ファル］：お願いよ、気を付けて‥‥。
>>	［파르］：부탁이야, 조심해‥‥.
L23351	［宏治］：うん、ま、何とかやってみるさ。
>>	［코지］：응, 뭐, 어떻게든 해 볼게.
L23355	［ファル］：コウジ‥‥‥‥。
>>	［파르］：코우지‥‥‥‥.
L23358	［ファル］：お願い、キスして‥‥。
>>	［파르］：부탁이야, 키스해 줘‥‥.
L23362	［宏治］：えっ、ああ‥‥。
>>	［코지］：어, 아아‥‥.
L23365	［ファル］：ん‥‥んんっ‥‥。
>>	［파르］：음‥‥으응‥‥.
L23369	［宏治］：（こんな事をしてる場合じゃ、ないんだろうなぁ‥‥。）
>>	［코지］：（이러고 있을 때가 아닐 텐데‥‥.）
L23372	［ファル］：あぁぁ、もっと、もっと舌を差し込んで！
>>	［파르］：아아아, 더, 더 혀를 넣어 줘!
L23375	くちょ、にちょ‥‥。
>>	질척, 찌걱‥‥.
L23379	［宏治］：（や、やば‥‥た、起ってきちゃった‥‥。）
>>	［코지］：（이, 이런‥‥서, 서 버렸어‥‥.）
L23382	［ファル］：あぁぁ、また硬くなってきてる‥‥。
>>	［파르］：아아아, 또 딱딱해지고 있어‥‥.
L23386	［宏治］：ちょ、ほら、もう、ね？
>>	［코지］：자, 잠깐, 이봐, 그만, 응?
L23390	［ファル］：コウジぃ‥‥。
>>	［파르］：코우지이‥‥.
L23394	［宏治］：こ、こら、そんなにしごいたら‥‥ダメったらダメ！
>>	［코지］：이, 이봐, 그렇게 훑으면‥‥안 된다면 안 돼!
L23397	［ファル］：もう、つれないんだから‥‥。
>>	［파르］：정말, 매정하기는‥‥.
L23401	［宏治］：（あれでプロフェッサかね、本当に‥‥。）
>>	［코지］：（저래도 프로페서인가, 정말‥‥.）
L23404	［ファル］：きっと戻ってきてね‥‥。
>>	［파르］：꼭 돌아와야 해‥‥.
L23408	［宏治］：何言ってるんだよ、ちょっと様子を見に行くだけだ。
>>	［코지］：무슨 소리야, 잠깐 상황 보러 가는 것뿐이야.
L23411	［ファル］：うん、待ってる‥‥。
>>	［파르］：응, 기다릴게‥‥.
L23415	［宏治］：すぐに帰ってくるって。
>>	［코지］：금방 돌아온다니까.
L23418	［ファル］：うん‥‥。
>>	［파르］：응‥‥.
L23422	［宏治］：（でも、相手も海賊って言ってたしなぁ。）
>>	［코지］：（그래도 상대도 해적이라고 했었지.）
L23426	［宏治］：（女だったみたいだけど、どんな人なんだろう‥‥。）
>>	［코지］：（여자인 것 같던데, 어떤 사람일까‥‥.）
L23429	外へ出た途端、騒がしい警報がオレの耳に響きわたった。非常事態であることを、改めて認識する。
>>	밖으로 나선 순간, 요란한 경보가 내 귀에 울려 퍼졌다. 비상사태라는 것을 새삼 인식한다.
L23432	ま、招かれざる侵入者がいるんだから、当然かもしれないな。
>>	뭐, 초대받지 않은 침입자가 있으니 당연한 일인지도 모르지.
L23435	オレは誰もいない廊下をぐるりと見回した。さて、これから‥‥‥‥。
>>	나는 아무도 없는 복도를 빙 둘러보았다. 자, 이제부터‥‥‥‥.
L23438	　◆ ブリッジへ行ってみよう。
>>	　◆ 브리지로 가 보자.
L23441	　◆ エンジンルームへ行ってみよう。
>>	　◆ 엔진 룸으로 가 보자.
L23444	　◆ エンコーダが安置されてる部屋へ行ってみよう。
>>	　◆ 인코더가 안치된 방으로 가 보자.
L23447	　◆ 自室に戻って寝よう。
>>	　◆ 내 방으로 돌아가 자자.
L23451	［宏治］：そうだ、ブリッジへ行ってみよう。何かわかるかもしれない‥‥。
>>	［코지］：그래, 브리지로 가 보자. 뭔가 알 수 있을지도 몰라‥‥.
L23454	オレはそう考えると、ブリッジへ急ぎ足で向かっていった‥‥。
>>	나는 그렇게 생각하고 브리지로 서둘러 향했다‥‥.
L23458	［宏治］：エンジンルームへ行ってみよう。ランファがいるかもしれないぞ。
>>	［코지］：엔진 룸으로 가 보자. 란파가 있을지도 몰라.
L23461	オレはそう考えると、エンジンルームへ急ぎ足で向かっていった‥‥。
>>	나는 그렇게 생각하고 엔진 룸으로 서둘러 향했다‥‥.
L23465	［宏治］：そうだな、エンコーダが安置されてる部屋へ行ってみよう。
>>	［코지］：그래, 인코더가 안치된 방으로 가 보자.
L23469	［宏治］：確か、手前のドアだったか‥‥。
>>	［코지］：분명, 앞쪽 문이었던가‥‥.
L23472	オレはそう考えると、エンコーダがある部屋へと入っていった‥‥。
>>	나는 그렇게 생각하고 인코더가 있는 방으로 들어갔다‥‥.
L23476	［宏治］：そうだ、自室に戻って寝よう。オレはとっても眠いんだ。
>>	［코지］：그래, 내 방으로 돌아가 자자. 난 몹시 졸리다고.
L23480	［宏治］：いや、寝る前に『おなにぃ』をせねばなっ。ファルの事を思い出しながら‥‥。
>>	［코지］：아니, 자기 전에 『자위』를 해야지. 파르를 떠올리면서‥‥.
L23484	［宏治］：わかってる、オレがしなくてはならないのは他にある。それは‥‥。
