# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L6394	［ファル］：じゃあコウジは‥‥。
>>	［코우지］：아니, 아쉽게도 전혀‥‥.
L6501	［ファル］：そう‥‥‥‥。
>>	［파르］：그래‥‥‥‥.
L6505	［コウジ］：救難信号は、やはりここから？
>>	［코우지］：구조 신호는, 역시 여기서?
L6508	［ファル］：えぇ、どうやらそうみたいね。誰かが、ここから発信した‥‥。
>>	［파르］：응, 아무래도 그런 모양이야. 누군가가, 여기서 발신했어‥‥.
L6512	［コウジ］：誰が？
>>	［코우지］：누가?
L6515	［ファル］：それを調べるために、はるばる来たんじゃない。
>>	［파르］：그걸 알아보려고, 멀리서 온 거잖아.
L6519	［コウジ］：それもそうだな‥‥。
>>	［코우지］：하긴 그렇군‥‥.
L6522	［ファル］：私は、もう少しここを調べてみるわ。
>>	［파르］：난, 여기를 좀 더 조사해 볼게.
L6526	［コウジ］：じゃあ、私も他をあたってみる。
>>	［코우지］：그럼, 나도 다른 곳을 알아보지.
L6529	［ファル］：ええ‥‥。
>>	［파르］：응‥‥.
L6533	［コウジ］：さてと、どこをあたってみるか‥‥。
>>	［코우지］：자, 어디를 알아볼까‥‥.
L6536	　◆ 格納庫に戻ってみよう‥‥。
>>	　◆ 격납고로 돌아가 보자‥‥.
L6539	　◆ そうだ、クルーの個室も調べてみたら‥‥。
>>	　◆ 그래, 크루 개인실도 조사해 보면‥‥.
L6542	格納庫に戻ってみよう‥‥。
>>	격납고로 돌아가 보자‥‥.
L6545	まだ、あそこでやり残したことがあるような気がする‥‥慎重に事を運ぶに、こしたことはないだろう。
>>	아직, 저기서 못 다한 일이 있는 것 같다‥‥신중하게 일을 진행해서 나쁠 건 없겠지.
L6548	私は、ブリッジを後にした‥‥。
>>	나는, 브리지를 뒤로했다‥‥.
L6551	ムワッとした暖気が、私を襲ってきた。
>>	후덥지근한 열기가, 나를 덮쳐 왔다.
L6554	エンジンの振動と騒音が、私の身体をふるわせる。どうやら、エンジンの型も、ファル達のシップと同型らしい。
>>	엔진의 진동과 소음이, 내 몸을 뒤흔든다. 아무래도, 엔진 형식도, 파르 일행의 함선과 같은 듯하다.
L6558	［コウジ］：（確か、ランファがいるはずだけど‥‥。）
>>	［코우지］：（분명, 란파가 있을 텐데‥‥.）
L6561	エンジンルーム自体は広々としているが、人が歩き回れる空間はかなり限定されている。
>>	엔진 룸 자체는 널찍하지만, 사람이 돌아다닐 수 있는 공간은 상당히 한정되어 있다.
L6564	一目で、人気の有無を確認できる、そんなスペースしかなかった。
>>	한눈에, 인기척의 유무를 확인할 수 있는, 그런 공간밖에 없었다.
L6568	［コウジ］：（どうやら、ここにはいないようだが‥‥‥‥。）
>>	［코우지］：（아무래도, 여기엔 없는 것 같은데‥‥‥‥.）
L6571	　◆ 他の場所を捜してみよう。
>>	　◆ 다른 곳을 찾아보자.
L6574	　◆ いや、もう少し調べてみた方がいいだろう。
>>	　◆ 아니, 좀 더 조사해 보는 편이 좋겠다.
L6577	他の場所を捜してみよう。
>>	다른 곳을 찾아보자.
L6580	私が、エンジンルームを出ていこうとしたとき、後ろの方から、
>>	내가, 엔진 룸을 나가려던 참에, 뒤쪽에서,
L6584	［ランファ］：コウジさん。
>>	［란파］：코우지 씨.
L6588	［コウジ］：ら、ランファ‥‥‥いったい、どこに‥‥‥。
>>	［코우지］：라, 란파‥‥‥대체, 어디에‥‥‥.
L6591	［ランファ］：下にいたんです。そこのハシゴから‥‥。
>>	［란파］：아래에 있었어요. 저기 사다리로‥‥.
L6594	ランファが指さす先には、なるほど、はしごかあってエンジンの下方へと伸びていた。
>>	란파가 가리키는 쪽에는, 과연, 사다리가 있어 엔진 아래쪽으로 뻗어 있었다.
L6597	しかし、エンジン下部でいったい何をやっていたんだろうか‥‥。
>>	하지만, 엔진 하부에서 대체 무엇을 하고 있었던 걸까‥‥.
L6601	［コウジ］：（何か理由があるんだろう‥‥。）
>>	［코우지］：（뭔가 이유가 있겠지‥‥.）
L6604	そんな風に納得をすると、私はその疑問を記憶の片隅へと追いやってしまった。次に思い浮かんだ疑問を呈示する。
>>	그렇게 납득하고는, 나는 그 의문을 기억 한구석으로 밀어내 버렸다. 다음에 떠오른 의문을 꺼낸다.
L6608	［コウジ］：誰か、人はいたかい？
>>	［코우지］：누군가, 사람은 있었나?
L6611	［ランファ］：いいえ、残念ながら‥‥。
>>	［란파］：아뇨, 아쉽게도‥‥.
L6615	［コウジ］：こっちも、さっぱりさ。
>>	［코우지］：이쪽도, 허탕이야.
L6619	［コウジ］：な、なぁランファ、この間の‥‥。
>>	［코우지］：저, 저기 란파, 지난번 그‥‥.
L6623	［ランファ］：では、もう少し私は調べてみます。コウジさんは、どうされるのですか？
>>	［란파］：그럼, 저는 조금 더 조사해 볼게요. 코우지 씨는, 어떻게 하시겠어요?
L6627	［コウジ］：えっ？　あぁそうだね、もう一度、まわってみるかな‥‥。
>>	［코우지］：엇?　아아 그렇군, 한 번 더, 돌아볼까‥‥.
L6630	［ランファ］：そうですか、それでは。
>>	［란파］：그러시군요, 그럼.
L6634	［コウジ］：あっ‥‥‥‥。
>>	［코우지］：앗‥‥‥‥.
L6638	［コウジ］：（せっかちな子だな‥‥。）
>>	［코우지］：（성급한 아이로군‥‥.）
L6642	［コウジ］：（もしかすると、はぐらかされたのかも‥‥。）
>>	［코우지］：（어쩌면, 얼버무리고 넘어간 건지도‥‥.）
L6645	ランファはさっさと私をおいて行ってしまった‥‥どうも、私を避けているような、そんな気もする。
>>	란파는 냉큼 나를 두고 가 버렸다‥‥아무래도, 나를 피하는 듯한, 그런 기분도 든다.
L6649	［コウジ］：さてと、これからどうしようか‥‥。
>>	［코우지］：자, 이제 어떻게 할까‥‥.
L6652	いや、もう少し調べてみた方がいいだろう。
>>	아니, 좀 더 조사해 보는 편이 좋겠다.
L6655	手すりに掌を乗せながら、ゆっくりと歩いてみる。ヒンヤリとした感触が、心地よかった。
>>	난간에 손바닥을 얹은 채, 천천히 걸어 본다. 서늘한 감촉이, 기분 좋았다.
L6659	［コウジ］：（しかし、それにしても‥‥‥‥。）
>>	［코우지］：（하지만, 그건 그렇다 쳐도‥‥‥‥.）
L6662	大きなエンジンだった。重い振動が、ここまでピリピリと伝わってくる。
>>	커다란 엔진이었다. 묵직한 진동이, 여기까지 찌릿찌릿 전해져 온다.
L6664	ずっと下にも続いているようだが‥‥<$0C>下？
>>	한참 아래로도 이어져 있는 것 같은데‥‥<$0C>아래?
L6668	［コウジ］：これは‥‥。
>>	［코우지］：이건‥‥.
L6671	よく見ると、手すりには何かフックが引っかけられている。それはずっと下方にまで伸びていた。
>>	자세히 보니, 난간에는 뭔가 후크가 걸려 있다. 그것은 한참 아래쪽까지 뻗어 있었다.
L6675	［コウジ］：ハシゴ、か‥‥‥‥。
>>	［코우지］：사다리인가‥‥‥‥.
L6678	どうやら、エンジンの下部にまで続いているようだが‥‥‥‥。
>>	아무래도, 엔진 하부까지 이어져 있는 것 같은데‥‥‥‥.
L6681	　◆ ハシゴを降りてみよう‥‥。
>>	　◆ 사다리를 내려가 보자‥‥.
L6684	　◆ エンジンルームを、もう出た方がいいだろう。
>>	　◆ 엔진 룸을, 이제 나가는 편이 좋겠다.
L6687	ハシゴを降りてみよう‥‥。
>>	사다리를 내려가 보자‥‥.
L6690	気にならないと言えば、嘘になる。私はヒンヤリとした感触を掌に感じながら、ハシゴに足を掛けていった‥‥。
>>	신경 쓰이지 않는다고 하면, 거짓말이 된다. 나는 서늘한 감촉을 손바닥에 느끼며, 사다리에 발을 걸었다‥‥.
L6693	長いハシゴだった‥‥。
>>	긴 사다리였다‥‥.
L6696	私は下を見ることのないよう、ゆっくりと、そしてしっかりと、一段一段を降りていった。
>>	나는 아래를 보지 않도록, 천천히, 그리고 단단히, 한 단 한 단 내려갔다.
L6699	ちらっと横を見ると、まだエンジン胴体の中程のようだ。一瞬後悔の念が頭をよぎるが、私は黙々と手足を動かし続けた。
>>	힐끗 옆을 보니, 아직 엔진 동체의 중간쯤인 듯하다. 순간 후회가 머리를 스쳤지만, 나는 묵묵히 손발을 계속 움직였다.
L6703	［コウジ］：‥‥‥‥。
>>	［코우지］：‥‥‥‥.
L6707	［コウジ］：‥‥‥‥‥‥‥‥。
>>	［코우지］：‥‥‥‥‥‥‥‥.
L6711	［コウジ］：ふぅ‥‥‥‥。
>>	［코우지］：후우‥‥‥‥.
L6714	下に着くと、少しだけ安堵する。無限に続く階段という夢を以前見たことがあるためだ。
>>	아래에 닿자, 조금은 안도한다. 무한히 이어지는 계단이라는 꿈을 예전에 꾼 적이 있어서다.
L6718	［コウジ］：（夢、か‥‥‥‥。）
>>	［코우지］：（꿈인가‥‥‥‥.）
L6721	あたりを見回してみる。暗くはないが、視界がはっきりとしない。
>>	주위를 둘러본다. 어둡지는 않지만, 시야가 또렷하지 않다.
L6724	恐らく蒸気か何かが、発生しているせいかもしれなかった。
>>	아마도 증기인지 뭔지가, 발생하고 있는 탓인지도 몰랐다.
L6728	［コウジ］：（人は、いないようだが‥‥‥‥。）
>>	［코우지］：（사람은, 없는 것 같은데‥‥‥‥.）
L6731	キーン‥‥。
>>	쨍‥‥.
L6735	［コウジ］：（な、なんだ‥‥‥‥。）
>>	［코우지］：（뭐, 뭐지‥‥‥‥.）
L6738	何か金属的な音が、あたりに響きわたった。何かを床に落としたような、そんな音だ。
>>	뭔가 금속적인 소리가, 주위에 울려 퍼졌다. 무언가를 바닥에 떨어뜨린 듯한, 그런 소리다.
L6742	［コウジ］：（誰か‥‥いるのか？　ランファ？）
>>	［코우지］：（누군가‥‥있는 건가?　란파?）
L6745	私が、音のした方へ行ってみると‥‥‥‥。
>>	내가, 소리가 난 쪽으로 가 보니‥‥‥‥.
L6749	［コウジ］：（ランファ‥‥何をしているんだろう‥‥？）
>>	［코우지］：（란파‥‥무엇을 하고 있는 걸까‥‥?）
L6752	いくつかの工作器具が床にちらばっていた。修理か何かを、しているんだろうか‥‥。
>>	공구 몇 개가 바닥에 흩어져 있었다. 수리인지 뭔지를, 하고 있는 걸까‥‥.
L6755	別に隠れる必要も感じなかったので、私はごく普通に声を掛けてみた。
>>	딱히 숨을 필요도 느끼지 않아서, 나는 아주 평범하게 말을 걸어 보았다.
L6759	［コウジ］：ランファ。
>>	［코우지］：란파.
L6763	［ランファ］：こ、コウジさん‥‥。
>>	［란파］：코, 코우지 씨‥‥.
L6767	［コウジ］：何をやっているんだい、こんな所で？
>>	［코우지］：뭘 하고 있는 거지, 이런 곳에서?
L6770	［ランファ］：え、ええ‥‥動力部の点検を、少し‥‥。
>>	［란파］：네, 네‥‥동력부 점검을, 조금‥‥.
L6773	どうも妙な案配だった‥‥。
>>	아무래도 묘한 상황이었다‥‥.
L6776	なぜ、第２次調査隊シップの、動力部の点検をする必要があるのか？
>>	어째서, 제２차 조사대 함선의, 동력부 점검을 할 필요가 있는가?
L6779	私は再びハシゴを昇っていくと、元のエンジンルームへと戻っていった。
>>	나는 다시 사다리를 올라가, 원래의 엔진 룸으로 돌아갔다.
L6782	エンジンルームを、もう出た方がいいだろう。
>>	엔진 룸을, 이제 나가는 편이 좋겠다.
L6785	きびすをかえして、エンジンルームを出ていこうとしたとき、後ろの方から、
>>	발길을 돌려, 엔진 룸을 나가려던 참에, 뒤쪽에서,
L6788	ランファは、さきほどのハシゴを指さした。
>>	란파는, 아까 그 사다리를 가리켰다.
L6792	［ランファ］：コウジさんは‥‥？
>>	［란파］：코우지 씨는‥‥?
L6795	ファルの言ったことを、私は思い出していた。
>>	파르가 한 말을, 나는 떠올리고 있었다.
L6798	ところどころのレイアウトは異なっていたが、おおむね、ファル達のシップと構造は同じだった。
>>	군데군데 배치는 달랐지만, 대체로, 파르 일행의 시프와 구조는 같았다.
L6802	［コウジ］：（ファル、いるかな‥‥。）
>>	［코우지］：（파르, 있으려나‥‥.）
L6805	私は、エンジンルームを後にした‥‥。
>>	나는, 엔진 룸을 뒤로했다‥‥.
L6808	私は格納庫へ戻ってきた‥‥。
>>	나는 격납고로 돌아왔다‥‥.
L6811	格納庫内は、肌寒く、シンと静まりかえっている‥‥。
>>	격납고 안은, 쌀쌀하고, 쥐 죽은 듯 조용하다‥‥.
L6814	私の歩く音だけが、あたりに響きわたっていた。
>>	내 발소리만이, 주위에 울려 퍼지고 있었다.
L6817	シャトルのエンジン付近だけは、ものすごい熱を帯びていた。そばを通ると、頬の反面だけ、ジリジリと焼けこげるような感覚を覚える‥‥。
>>	셔틀의 엔진 부근만은, 엄청난 열을 띠고 있었다. 옆을 지나면, 뺨 한쪽만, 지글지글 타는 듯한 감각을 느낀다‥‥.
L6820	あたりの水蒸気は、もう真っ白く気化していて、幻想的な雰囲気を漂わせていた‥‥。
>>	주위의 수증기는, 이미 새하얗게 기화해서, 환상적인 분위기를 자아내고 있었다‥‥.
L6823	生存者とおぼしい人は、見つかりそうもない‥‥格納庫内には、私が１人いるだけだろう‥‥。
>>	생존자로 보이는 사람은, 찾을 수 있을 것 같지 않다‥‥격납고 안에는, 나 혼자 있을 뿐이겠지‥‥.
L6826	そうだ、クルーの個室も調べてみたら‥‥。
>>	그래, 크루 개인실도 조사해 보면‥‥.
L6829	ここからはそう遠くはなかったはずだ。もしかしたら、あるいは‥‥？
>>	여기서 그리 멀지는 않았을 터다. 어쩌면, 혹시‥‥?
L6832	そんなことを考えながら、私は個室へと歩いていった‥‥。
>>	그런 것을 생각하며, 나는 개인실로 걸어갔다‥‥.
L6835	エンジンルームなどとは雲泥の差だった。静かな廊下だ‥‥。
>>	엔진 룸 따위와는 천지 차이였다. 조용한 복도다‥‥.
L6838	しばらく歩いているうちに、シップ内の構造がだいたい頭に入ってきた。このタイプのシップには、個室は数室、備え付けられているだけのようだった。
>>	한동안 걷는 사이, 시프 내부 구조가 대충 머리에 들어왔다. 이 타입의 시프에는, 개인실이 몇 개밖에 갖춰져 있지 않은 듯했다.
L6841	恐らく１０人も搭乗すれば、乗員オーバーになってしまう、小型シップなのだろう。
>>	아마 １０명만 탑승해도, 정원 초과가 되어 버리는, 소형 시프이겠지.
L6844	ゆっくりと廊下を歩いて見ていくうちに、ドアには例外無く小さなプレートが貼り付けてある事に気付いた。
>>	천천히 복도를 걸으며 보는 사이, 문에는 예외 없이 작은 명판이 붙어 있는 것을 알아차렸다.
L6847	恐らくクルーの名前や部署、なのかもしれない。
>>	아마 크루의 이름이나 부서인지도 모른다.
L6850	１つ１つ順に目で追っていくと、ふと目にとまったプレートがある。他のとは大きさが明らかに違っていた。
>>	하나하나 차례로 눈으로 좇아가니, 문득 눈에 띈 명판이 있다. 다른 것과는 크기가 명백히 달랐다.
L6853	それは既にカーキ色へと変色していて、プレート表面には塵が付着している。
>>	그것은 이미 카키색으로 변색되어 있고, 명판 표면에는 먼지가 붙어 있다.
L6856	そっと、人差し指でなぞってみると、そこに彫られてあった文字が浮き上がってくる。
>>	살며시, 검지로 훑어 보니, 거기 새겨져 있던 글자가 떠오른다.
L6863	［コウジ］：（キャプテンというと‥‥このシップの、船長の事か？）
>>	［코우지］：（캡틴이라면‥‥이 시프의, 선장을 말하는 건가?）
L6866	好奇心、とはやや異なっていたと思う。だがこの部屋に、ある程度の興味を覚えたのは事実のようだ。
>>	호기심, 과는 조금 달랐다고 생각한다. 하지만 이 방에, 어느 정도 흥미를 느낀 것은 사실인 듯하다.
L6869	船に動力はまだかよっている。ドアの開閉パネルにそっと手を触れると、ドアは力強く横に開いた。
>>	배에 동력은 아직 흐르고 있다. 문 개폐 패널에 살며시 손을 대자, 문은 힘차게 옆으로 열렸다.
L6872	かなり暗い部屋だ‥‥。
>>	꽤 어두운 방이다‥‥.
L6875	私は、ゆっくりと慎重に、部屋の中へと入っていった。
>>	나는, 천천히 신중하게, 방 안으로 들어갔다.
L6878	部屋の中には、うっすらと埃が積もっているようだった。歩く度に、床からわずかに白煙が昇る。
>>	방 안에는, 옅게 먼지가 쌓여 있는 듯했다. 걸을 때마다, 바닥에서 희미하게 흰 연기가 피어오른다.
L6882	［コウジ］：（いったい、どのくらいの間、放置されていたんだろう‥‥。）
>>	［코우지］：（대체, 얼마나 오랫동안, 방치되어 있었던 걸까‥‥.）
L6885	もう何年も、人が訪れていないような、そんな雰囲気すら漂っている。恐らくここには、誰もいない‥‥。
>>	벌써 몇 년이나, 사람이 찾아오지 않은 듯한, 그런 분위기마저 감돈다. 아마 여기에는, 아무도 없다‥‥.
L6888	私は部屋の奥へ入っていくと、丁度や間取りなどを確認した。間取りは、ファルたちのシップと、そう大差はなさそうだ。
>>	나는 방 안쪽으로 들어가, 가구며 배치 따위를 확인했다. 배치는, 파르 일행의 시프와, 그리 큰 차이는 없을 듯하다.
L6890	ついたてのようなカーテン、ベッド、脇の通信パネル、端末、机と‥‥<$0C>ん？
>>	칸막이 같은 커튼, 침대, 옆의 통신 패널, 단말, 책상‥‥<$0C>응?
L6894	［コウジ］：これは‥‥‥‥。
>>	［코우지］：이건‥‥‥‥.
L6897	端末の脇にあったから気付きにくかったが、横に立てかけるように分厚い本が置いてある。
>>	단말 옆에 있어서 알아채기 어려웠지만, 옆으로 세워 놓듯이 두툼한 책이 놓여 있다.
L6901	［コウジ］：（何の本だろう‥‥？）
>>	［코우지］：（무슨 책일까‥‥?）
L6904	本の表面を軽く撫でてみると、下の文字を辛うじて読みとることができた。
>>	책 표면을 가볍게 쓸어 보니, 아래의 글자를 간신히 읽어낼 수 있었다.
L6908	［コウジ］：（航海日誌、か‥‥‥‥。）
>>	［코우지］：（항해 일지인가‥‥‥‥.）
L6911	中をパラパラとめくってみる。特徴的な筆記体の文字が記してあった。何と、手書きだ。
>>	안을 팔랑팔랑 넘겨 본다. 특징적인 필기체 글자가 적혀 있었다. 놀랍게도, 손글씨다.
L6914	赤茶けた、独特の紙の匂いが鼻こうを突く。私は適当にはしょりながら、読み進めていった。
>>	붉게 바랜, 독특한 종이 냄새가 콧속을 찌른다. 나는 적당히 건너뛰며, 읽어 나갔다.
L6918	［コウジ］：特に、これといって‥‥‥‥ん？
>>	［코우지］：딱히, 이렇다 할‥‥‥‥응?
L6921	最後の数ページに差し掛かったところから、私はその航海日誌を熟読し始めていた。
>>	마지막 몇 페이지에 이르렀을 무렵부터, 나는 그 항해 일지를 정독하기 시작했다.
L6923	宇宙時間：１４５２：０１７０\n今日も１人倒れた‥‥これで３人目だ。このままでは、我が調査隊は全滅してしまう。ヤツが来てからだ‥‥第１次調査隊の生き残りである、あいつが‥‥‥‥。
>>	우주시간：１４５２：０１７０\n오늘도 １명 쓰러졌다‥‥이걸로 ３명째다. 이대로는, 우리 조사대는 전멸하고 만다. 그놈이 온 뒤부터다‥‥제１차 조사대의 생존자인, 그놈이‥‥‥‥.
L6927	［コウジ］：（第１次調査隊の、生き残り‥‥？）
>>	［코우지］：（제１차 조사대의, 생존자‥‥?）
L6930	後は、読解が困難な筆跡になっていて、読みとることができない。私は紙を傷めないよう慎重に、ページをめくっていった。
>>	그 뒤는, 판독이 곤란한 필적이 되어 있어, 읽어낼 수 없다. 나는 종이가 상하지 않도록 신중하게, 페이지를 넘겨 갔다.
L6933	例の原因不明の昏睡だ。恐らく明日はこの私だろう‥‥私は調査隊のリーダーとして、最後までこのシップに残らねばならぬ。せめて、娘のビアンカだけでも‥‥‥‥。
>>	예의 그 원인 불명의 혼수다. 아마 내일은 나겠지‥‥나는 조사대의 리더로서, 끝까지 이 시프에 남아야만 한다. 적어도, 딸 비앙카만이라도‥‥‥‥.
L6937	［コウジ］：（ビアンカ‥‥？）
>>	［코우지］：（비앙카‥‥?）
L6941	［コウジ］：（そうか、あの脱出ポッドの‥‥‥‥。）
>>	［코우지］：（그렇군, 그 탈출 포드의‥‥‥‥.）
L6944	よほど焦って書いたのかもしれなかった。私は、いよいよ最後の１枚をめくってみた。
>>	어지간히 다급하게 쓴 것인지도 몰랐다. 나는, 드디어 마지막 １장을 넘겨 보았다.
L6948	［コウジ］：ん？　これは‥‥。
>>	［코우지］：응?　이건‥‥.
L6951	そこには、小さな記録用マイクロディスク（ＭＤ）がはさんであった。
>>	거기에는, 작은 기록용 마이크로디스크（ＭＤ）가 끼워져 있었다.
L6954	航海日誌の最後に‥‥一体、どういうことだろうか。
>>	항해 일지의 마지막에‥‥대체, 어떻게 된 일일까.
L6957	私はＭＤを傍らに置くと、最後のページをゆっくりと読み始めた。
>>	나는 ＭＤ를 곁에 두고, 마지막 페이지를 천천히 읽기 시작했다.
L6960	何という事だ。ヤツは‥‥何という事だ。この映像記録用のＭＤが無ければ、見誤るところだった。先史文明の遺跡だと！？　違う、ヤツは‥‥‥。
>>	이럴 수가. 그놈은‥‥이럴 수가. 이 영상 기록용 ＭＤ가 없었다면, 잘못 볼 뻔했다. 선사 문명의 유적이라고!?　아니다, 그놈은‥‥‥.
L6963	航海日誌は、ここで終わっていた‥‥‥‥。
>>	항해 일지는, 여기서 끝나 있었다‥‥‥‥.
L6967	［コウジ］：（このＭＤに、何が記録してあるんだろうか‥‥。）
>>	［코우지］：（이 ＭＤ에, 무엇이 기록되어 있는 걸까‥‥.）
L6970	私は、小さな記録用ＭＤを胸のポケットにしまうと、ゆっくりとあたりを見回した‥‥。
>>	나는, 작은 기록용 ＭＤ를 가슴 주머니에 넣고, 천천히 주위를 둘러보았다‥‥.
L6973	　◆ もう少し、この部屋を調べてみよう。
>>	　◆ 좀 더, 이 방을 조사해 보자.
L6976	　◆ 他の部屋も、調べてみた方がいいだろう。
>>	　◆ 다른 방도, 조사해 보는 편이 좋겠다.
L6979	もう少し、この部屋を調べてみよう。
>>	좀 더, 이 방을 조사해 보자.
L6982	机の上を改めて見てみるが、もう何も置いてはいないようだ‥‥端末などにも、電源はやってきていない。
>>	책상 위를 다시 봐도, 이제 아무것도 놓여 있지 않은 듯하다‥‥단말 따위에도, 전원은 들어와 있지 않다.
L6985	ふと、ベッド脇のパネルも見てみる。普段であれば、いくつかのランプが点灯しているはずだが‥‥。
>>	문득, 침대 옆의 패널도 살펴본다. 평소라면, 몇 개의 램프가 켜져 있을 텐데‥‥.
L6989	［コウジ］：（これでは、通信もままならないな‥‥‥。）
>>	［코우지］：（이래서는, 통신도 뜻대로 안 되겠군‥‥‥.）
L6992	点灯していないパネルを見ながら、私は溜息を１つ吐く。
>>	켜지지 않은 패널을 보며, 나는 한숨을 한 번 내쉰다.
L6996	［コウジ］：（そういえば、格納庫のシャトルの所で、ファルたちと待ち合わせをしていたな。）
>>	［코우지］：（그러고 보니, 격납고 셔틀 있는 곳에서, 파르 일행과 만나기로 했었지.）
L7000	［コウジ］：（生存者の有無に関わらず、１時間後くらいに落ち合う手はずだったはずだ。）
>>	［코우지］：（생존자의 유무와 관계없이, １시간쯤 뒤에 합류하기로 되어 있었을 터다.）
L7004	［コウジ］：（あと、どのくらいだろうか‥‥‥。）
>>	［코우지］：（앞으로, 얼마나 남았을까‥‥‥.）
L7007	無駄とはわかっているが、パネルのスイッチを入れてみる。予想通り、反応は無い。
>>	소용없다는 건 알지만, 패널의 스위치를 켜 본다. 예상대로, 반응은 없다.
L7011	［コウジ］：（そろそろ、戻った方がいいかな‥‥。）
>>	［코우지］：（슬슬, 돌아가는 게 좋을까‥‥.）
L7014	と私がドアに向かいかけたとき‥‥‥‥。
>>	하고 내가 문 쪽으로 향하려던 때‥‥‥‥.
