# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L20268	［ランファ］：クスッ、変なコウジ様っ。
L20582	重厚なプレートに、ＶＩＰルームと書かれた部屋の前にオレは立った。
>>	묵직한 플레이트에 ＶＩＰ룸이라 적힌 방 앞에 나는 섰다.
L20585	聞けば聞くほど、ファルネリアという女性は、偏屈というイメージしかわかない。賓客ならば、寝心地や食事に文句を言うなどもってのほかだ。
>>	들으면 들을수록 파르네리아라는 여성은 괴팍하다는 인상밖에 안 든다. 빈객이라면 잠자리나 식사에 불평을 하는 건 당치도 않은 일이다.
L20588	傍らのコンパネに手を伸ばしてみる。見よう見まねだ。
>>	옆의 콘솔 패널로 손을 뻗어 본다. 어깨너머로 배운 대로다.
L20591	［ファル］：フンフン、フフン‥‥。
>>	［파르］：흠흠, 흐흠‥‥.
L20594	後ろでドアが閉まった途端、あたりが静寂に包まれる。
>>	뒤에서 문이 닫히자마자, 주위가 정적에 휩싸인다.
L20597	オレは、いぶかしげに部屋の中をぐるりと見回した。見覚えのある間取りを視界に捉える。
>>	나는 미심쩍은 얼굴로 방 안을 빙 둘러보았다. 눈에 익은 구조가 시야에 들어온다.
L20600	これがＶＩＰルーム、なのか‥‥？
>>	이게 ＶＩＰ룸이란 말인가‥‥?
L20603	長椅子にライティングデスク、そしてその上にのっかってる端末。奥の方には、応接セットが申し訳程度に置いてあった。
>>	긴 의자에 라이팅 데스크, 그리고 그 위에 얹혀 있는 단말기. 안쪽에는 응접 세트가 구색만 갖춘 듯 놓여 있었다.
L20606	部屋の中の間取りは、どこも同じなのかもしれない。概ね、質素という言葉が当てはまるようだ。
>>	방 안 구조는 어디나 똑같은지도 모르겠다. 대체로 검소하다는 말이 들어맞는 듯하다.
L20609	意外にチープな賓客なのかも知れないな。あるいは、重要度が比較的低いとか‥‥。
>>	의외로 값싼 빈객인지도 모르겠군. 아니면, 중요도가 비교적 낮다든가‥‥.
L20612	良く考えてみたら、オレの部屋とそう大差が無いことに気付いた。なーにが大宇宙海賊だよ。
>>	잘 생각해 보니, 내 방과 별반 다를 게 없다는 걸 깨달았다. 무슨 놈의 대우주 해적이야.
L20615	改めて室内を見回してみる。人の姿は無い。しかし、外のプレートを見る限り、ファルネリアという女性がこの部屋にいるのは確かだろう。
>>	다시 한번 실내를 둘러본다. 사람 모습은 없다. 하지만 밖의 플레이트를 보는 한, 파르네리아라는 여성이 이 방에 있는 건 확실하겠지.
L20618	すると‥‥‥。
>>	그렇다면‥‥‥.
L20621	まあいい、ここで待つことにしようか‥‥別に急ぎの用があるという訳でもないし‥‥。
>>	뭐 됐어, 여기서 기다리기로 할까‥‥딱히 급한 볼일이 있는 것도 아니고‥‥.
L20624	そう考えると、オレはソファの上に深々と座った。
>>	그렇게 생각하고, 나는 소파에 깊숙이 앉았다.
L20627	妙な音が室内に響きわたっていたが、オレは気にせずくつろぐことにする。
>>	묘한 소리가 실내에 울려 퍼지고 있었지만, 나는 개의치 않고 편히 쉬기로 한다.
L20630	背もたれに両腕を乗せて、天井を見つめた。オレは、色々と考えをまとめてみようという気に、なってきていた‥‥。
>>	등받이에 양팔을 걸치고 천장을 바라봤다. 나는 여러모로 생각을 정리해 보자는 마음이 들기 시작했다‥‥.
L20633	　◆ ここは本当に‥‥‥‥。
>>	　◆ 여기는 정말로‥‥‥‥.
L20636	　◆ あのジェネレータという装置は‥‥‥‥。
>>	　◆ 그 제너레이터라는 장치는‥‥‥‥.
L20639	　◆ 《クワドラ》というのは‥‥‥‥。
>>	　◆ 《콰드라》라는 건‥‥‥‥.
L20642	　◆ 大宇宙海賊というのは‥‥‥‥。
>>	　◆ 대우주 해적이라는 건‥‥‥‥.
L20645	　◆ トレイシーという女性は‥‥‥‥。
>>	　◆ 트레이시라는 여성은‥‥‥‥.
L20648	　◆ ランファという女性は‥‥‥‥。
>>	　◆ 란파라는 여성은‥‥‥‥.
L20651	　◆ ファルネリアという女性は‥‥‥‥。
>>	　◆ 파르네리아라는 여성은‥‥‥‥.
L20655	［宏治］：ここは本当に‥‥‥‥。
>>	［코지］：여기는 정말로‥‥‥‥.
L20659	［宏治］：色々歩き回ってみて思ったが、セットにしてはやけにリアル過ぎるじゃないか。
>>	［코지］：여기저기 돌아다녀 보고 든 생각인데, 세트치고는 너무 리얼하잖아.
L20663	［宏治］：しかも‥‥。
>>	［코지］：게다가‥‥.
L20667	［宏治］：窓の外を見れば漆黒の闇、おまけにブリッジはあるわ、馬鹿でかいエンジンはあるわ‥‥。
>>	［코지］：창밖을 보면 칠흑 같은 어둠, 거기에 브리지는 있지, 터무니없이 큰 엔진은 있지‥‥.
L20671	［宏治］：いや、宇宙船という夢を見せられているとしたら‥‥？
>>	［코지］：아니, 우주선이라는 꿈을 보여주고 있는 거라면‥‥?
L20675	［宏治］：確か涼子先生、言っていたじゃないか。ドリームプログラムとか、何とか‥‥。
>>	［코지］：분명 료코 선생님이 말했잖아. ONEIROS 프로그램이라던가, 뭐라던가‥‥.
L20679	［宏治］：だけど、これ本当に夢？
>>	［코지］：하지만, 이게 정말 꿈이야?
L20682	ギュッ。
>>	꽉.
L20686	［宏治］：イチチチ‥‥やっぱ痛い。
>>	［코지］：아야야야‥‥역시 아프잖아.
L20690	［宏治］：でも、痛いという夢を見ているだけなのかも、しれないぞ。
>>	［코지］：하지만, 아프다는 꿈을 꾸고 있는 것뿐일지도, 모르지.
L20694	［宏治］：とりあえず、現実を受けとめることも必要だろうな‥‥。
>>	［코지］：일단은, 현실을 받아들이는 것도 필요하겠지‥‥.
L20698	［宏治］：じゃあここが、宇宙で、なおかつそこを航行するシップの中としてだ、さぁどうする。
>>	［코지］：그럼 여기가 우주고, 게다가 그곳을 항행하는 함선 안이라 치자, 자 어쩔 거야.
L20702	［宏治］：何のことはない、考えても分からないってことだ。
>>	［코지］：별거 아니야, 생각해도 모른다는 얘기지.
L20706	［宏治］：しょうがない、もっと他の事を考えようぜ。
>>	［코지］：어쩔 수 없군, 좀 더 다른 걸 생각하자고.
L20710	［宏治］：あのジェネレータという装置は、いったい何だろうか‥‥。
>>	［코지］：그 제너레이터라는 장치는, 대체 뭘까‥‥.
L20714	［宏治］：何と言ったっけな‥‥正式名称は。
>>	［코지］：뭐라고 했더라‥‥정식 명칭은.
L20718	［宏治］：そうそう、大宇宙海賊霊子エナジー‥‥‥‥。
>>	［코지］：그래그래, 대우주 해적 영자 에너지‥‥‥‥.
L20722	［宏治］：‥‥増幅ジェネレータ、だったっけ。
>>	［코지］：‥‥증폭 제너레이터, 였던가.
L20726	［宏治］：そうだ、大宇宙海賊霊子エナジー増幅ジェネレータ。これだ！
>>	［코지］：그래, 대우주 해적 영자 에너지 증폭 제너레이터. 이거다!
L20730	［宏治］：面倒くさいから、ジェネレータと呼ぼう。
>>	［코지］：귀찮으니까, 그냥 제너레이터라고 부르자.
L20734	［宏治］：確かトレイシーが言っていたよな、あれの副作用とか、触媒がどうとか‥‥。
>>	［코지］：분명 트레이시가 말했었지, 그것의 부작용이라든가, 촉매가 어떻다든가‥‥.
L20738	［宏治］：やけに仰々しいメカだったけど、いったい何に‥‥。
>>	［코지］：유난히 거창한 기계였는데, 대체 무엇에‥‥.
L20742	［宏治］：もしかすると、涼子先生が言っていた、ドリームプログラムとかいうのと、関係があるんだろうか。
>>	［코지］：어쩌면, 료코 선생님이 말했던 ONEIROS 프로그램이라는 것과, 관계가 있는 걸까.
L20746	［宏治］：んー、考え出すときりがないな‥‥他の事を考えよう。
>>	［코지］：으음, 생각하기 시작하면 끝이 없군‥‥다른 걸 생각하자.
L20750	［宏治］：《クワドラ》というのは、確かこの宇宙船の名前だったな。
>>	［코지］：《콰드라》라는 건, 분명 이 우주선의 이름이었지.
L20754	［宏治］：細かいスペックはどうでもいいが、彼女らに言わせてみれば、結構な宇宙船らしい。
>>	［코지］：세세한 스펙은 아무래도 좋지만, 그녀들 말을 빌리면 꽤 대단한 우주선인 모양이다.
L20758	［宏治］：で、オレはこのシップに乗って、宇宙を駆けめぐる大宇宙海賊、らしい。
>>	［코지］：그리고 나는 이 함선을 타고 우주를 누비는 대우주 해적이라는 모양이다.
L20762	［宏治］：わかってるよ、くだらない夢だってのは。
>>	［코지］：알고 있어, 시시한 꿈이라는 건.
L20766	［宏治］：だが、この感覚、こうしてオレは今ここにいるんじゃないのか？
>>	［코지］：하지만, 이 감각, 이렇게 나는 지금 여기 있는 게 아닌가?
L20770	［宏治］：窓から真っ暗な外を見たというだけで、ここが宇宙船だっていう確証は何もないぞ、まだ。
>>	［코지］：창으로 새카만 바깥을 봤다는 것뿐이지, 여기가 우주선이라는 확증은 아무것도 없어, 아직.
L20774	［宏治］：ブリッジのメカメカしい装置類と、馬鹿でかいエンジンを見ただけじゃないか‥‥。
>>	［코지］：브리지의 기계투성이 장치들과, 터무니없이 큰 엔진을 봤을 뿐이잖아‥‥.
L20778	［宏治］：別のことを考えよう‥‥。
>>	［코지］：다른 걸 생각하자‥‥.
L20782	［宏治］：大宇宙海賊というのは、いったいなんだ？
>>	［코지］：대우주 해적이라는 건, 대체 뭐지?
L20786	［宏治］：彼女らは知ってか知らずか、オレのことをコウジだと思ってるってことだ。
>>	［코지］：그녀들은 알고 그러는지 모르고 그러는지, 나를 코우지라고 여기고 있다는 거다.
L20790	［宏治］：コウジってのは、どうも大宇宙海賊と名乗っているらしくて‥‥。
>>	［코지］：코우지라는 자는, 아무래도 대우주 해적이라 자칭하는 모양이고‥‥.
L20794	［宏治］：彼女らは、そのコウジってヤツをかなり敬愛していて‥‥。
>>	［코지］：그녀들은, 그 코우지라는 녀석을 상당히 경애하고 있고‥‥.
L20798	［宏治］：別に畜生だなんて思ってないぞ。ただちょっと、ムカついただけだ。
>>	［코지］：딱히 개자식이라고 여기는 건 아니야. 그저 좀, 열받았을 뿐이다.
L20802	［宏治］：だいたい何だよ、大宇宙海賊ってのは。センス悪すぎだぜ。
>>	［코지］：대체 뭐야, 대우주 해적이라니. 센스가 너무 없잖아.
L20806	［宏治］：わかりにくいが、つまり、彼女らはオレのことを、同名の他のヤツと勘違いしてるってことだ。
>>	［코지］：알기 어렵지만, 요컨대 그녀들은 나를 이름이 같은 다른 놈으로 착각하고 있다는 거다.
L20810	［宏治］：そう、オレは宏治であって、コウジではない。
>>	［코지］：그래, 나는 코지지, 코우지가 아니다.
L20814	［宏治］：何だか不毛な気がしてきた。他の事を考えよう。
>>	［코지］：왠지 헛수고 같은 기분이 든다. 다른 걸 생각하자.
L20818	［宏治］：トレイシーという女性は、どうもオレの秘書みたいな感じがする。
>>	［코지］：트레이시라는 여성은, 아무래도 내 비서 같은 느낌이 든다.
L20822	［宏治］：だがあのナイスバデーは、犯罪的だな‥‥。
>>	［코지］：하지만 그 끝내주는 몸매는, 범죄적이군‥‥.
L20826	［宏治］：うーん、いったいどのくらいあるんだろうな‥‥。
>>	［코지］：으음, 대체 얼마나 되는 걸까‥‥.
L20830	［宏治］：今度聞いてみよう。うん。
>>	［코지］：다음에 물어보자. 응.
L20834	［宏治］：いつも笑顔を絶やさないし、オレのことをかなり気遣っているけど‥‥。
>>	［코지］：늘 웃음을 잃지 않고, 나를 꽤나 신경 써 주고 있지만‥‥.
L20838	［宏治］：それは、オレが宇宙海賊とやらだから？
>>	［코지］：그건, 내가 우주 해적인지 뭔지라서?
L20842	［宏治］：オレの言うことは何でも聞くとか、言っていたしなぁ。
>>	［코지］：내가 하는 말은 뭐든 듣는다던가, 그런 말도 했었고.
L20846	［宏治］：じゃあ廊下で出会うなり、尻をこっちにむけてアソコを両手で開け！
>>	［코지］：그럼 복도에서 마주치자마자, 엉덩이를 이쪽으로 돌리고 거길 두 손으로 벌려!
L20850	［宏治］：とか言ったらどうなるのかな。
>>	［코지］：라고 하면 어떻게 될까.
L20854	［宏治］：実行しそうで、ちょっと恐いかも知れない。
>>	［코지］：정말 실행할 것 같아서, 좀 무서울지도 모르겠다.
L20858	［宏治］：そんなことを考えてる場合じゃないのはわかってる。問題は彼女が何者かってことだ。
>>	［코지］：그런 걸 생각할 때가 아니란 건 안다. 문제는 그녀의 정체가 뭐냐는 거다.
L20862	［宏治］：考えてもわからないに決まっている。他の事を考えよう。
>>	［코지］：생각해 봤자 모를 게 뻔하다. 다른 걸 생각하자.
L20866	［宏治］：ランファという女性は、ちっこくて可愛らしかったな。
>>	［코지］：란파라는 여성은, 자그맣고 귀여웠지.
L20870	［宏治］：確か、ここではメカ関連を一手に担っているということだが。顔に似合わず機械好きなんだろうか。
>>	［코지］：분명 여기선 기계 관련을 혼자 도맡고 있다던데. 얼굴과 안 어울리게 기계를 좋아하는 걸까.
L20874	［宏治］：コウジ様、コウジ様って慕ってくれんのはいいけど‥‥。
>>	［코지］：코우지 님, 코우지 님 하며 따라 주는 건 좋은데‥‥.
L20878	［宏治］：何だか精神年齢が低いような気が‥‥。
>>	［코지］：왠지 정신 연령이 낮은 것 같은 느낌이‥‥.
L20882	［宏治］：知識年齢は、高いんだろうけどなぁ‥‥。
>>	［코지］：지식 연령은, 높겠지만 말이야‥‥.
L20886	［宏治］：可愛いからいいか。
>>	［코지］：귀여우니까 됐나.
L20890	［宏治］：ファルネリアという女性は‥‥‥‥。
>>	［코지］：파르네리아라는 여성은‥‥‥‥.
L20893	そう考え始めたとき、ふとオレは彼女の部屋でくつろいでいることに気が付いた。
>>	그렇게 생각하기 시작했을 때, 문득 나는 그녀의 방에서 쉬고 있다는 걸 깨달았다.
L20896	そうだ、ＶＩＰルームとやらは彼女の部屋で、オレはいまそこにいる訳だから‥‥。
>>	그래, ＶＩＰ룸인지 뭔지는 그녀의 방이고, 나는 지금 거기 있는 셈이니까‥‥.
L20899	彼女に関しては、直接聞けば手っ取り早いじゃないか。
>>	그녀에 관해서는, 직접 물어보면 빠르잖아.
L20902	しかし彼女、何をしてるのかな‥‥トイレにしては長すぎるし‥‥。
>>	그런데 그녀, 뭘 하고 있는 걸까‥‥화장실치고는 너무 길고‥‥.
L20905	ひょっとして、腹をくだしてるとか？
>>	혹시, 배탈이라도 난 걸까?
L20908	ふと耳を澄ましてみる。別に、彼女の用足しの音を聞こうとした訳じゃないぞ。
>>	문득 귀를 기울여 본다. 딱히, 그녀의 볼일 보는 소리를 들으려던 건 아니다.
L20911	さっきから聞こえてくるんだ。この音は‥‥。
>>	아까부터 들려오고 있다. 이 소리는‥‥.
L20914	最初は耳鳴りだと思っていたが、なにやら甲高い音が微かに聞こえてくる。
>>	처음엔 이명이라고 생각했지만, 뭔가 새된 소리가 희미하게 들려온다.
L20917	何の音かな‥‥。
>>	무슨 소리일까‥‥.
L20919	シャワー‥‥？<$0C>　バスルームか？
>>	샤워‥‥?<$0C>　욕실인가?
L20922	　◆ バスルームの様子を見に行ってみよう‥‥。
>>	　◆ 욕실 상태를 보러 가 보자‥‥.
L20925	　◆ 覗きのような真似は何だし、ここで待ってみよう。
>>	　◆ 훔쳐보는 짓은 좀 그러니, 여기서 기다려 보자.
L20928	バスルームの様子を見に行ってみよう‥‥。
>>	욕실 상태를 보러 가 보자‥‥.
L20931	オレは誘われるように、音のする方へと足を進めていった‥‥。
>>	나는 이끌리듯이, 소리가 나는 쪽으로 발을 옮겨 갔다‥‥.
L20934	狭いドアをくぐると、洗面所に出た。狭い洗面台には、申し訳なさそうに蛇口が付いていて、まるでオレが住んでるワンルームみたいだった。狭い。
