# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L25212	［宏治］：何が、お願いなんだい？
>>	［파르］：（그곳이, 저렇게 질척질척 소리를 내고 있어‥‥.）
L25474	［ファル］：（乳首もしごかれてる‥‥。）
>>	［파르］：（젖꼭지도 주물러지고 있어‥‥.）
L25477	［ファル］：（もう、どうにかなっちゃいそうよっ！）
>>	［파르］：（이제, 미쳐 버릴 것 같아!）
L25480	［ビアンカ］：私を忘れられないように、してあげるわ‥‥。
>>	［비앙카］：날 잊을 수 없게, 해 줄게‥‥.
L25483	［ファル］：いや‥‥イヤよ‥‥。
>>	［파르］：싫어‥‥싫어‥‥.
L25486	［ビアンカ］：舌を出しなさい。
>>	［비앙카］：혀를 내밀어.
L25489	［ファル］：あっ‥‥ダメ‥‥。
>>	［파르］：앗‥‥안 돼‥‥.
L25492	［ビアンカ］：出すのよっ！
>>	［비앙카］：내미는 거야!
L25495	コリッ！
>>	꾹!
L25498	［ファル］：あぅぅっ！　わ、わかったわ‥‥。
>>	［파르］：아윽!　아, 알겠어‥‥.
L25501	［ビアンカ］：そうそう、最初からそうしていればいいのよ。
>>	［비앙카］：그래그래, 처음부터 그렇게 했으면 되는 거야.
L25504	ぬりゅぅぅっ。
>>	미끄으으윽.
L25507	［ファル］：んぐっ‥‥。
>>	［파르］：윽‥‥.
L25510	［ファル］：（舌が吸い取られそう‥‥。）
>>	［파르］：（혀가 빨려 들어갈 것 같아‥‥.）
L25513	［ファル］：（す、凄い舌使いだわ‥‥絡みつくようで‥‥。）
>>	［파르］：（구, 굉장한 혀 솜씨야‥‥얽혀드는 것 같아‥‥.）
L25516	［ファル］：（あっ、いや‥‥唾液を流し込まないで‥‥。）
>>	［파르］：（아, 싫어‥‥침을 흘려 넣지 마‥‥.）
L25519	［ファル］：んぐ、ごくっ、ごくっ‥‥。
>>	［파르］：윽, 꿀꺽, 꿀꺽‥‥.
L25522	［ビアンカ］：フフッ、アソコもずいぶんと濡れてるようじゃない。
>>	［비앙카］：후훗, 거기도 꽤 젖어 있는 것 같은데.
L25525	［ファル］：あぁぁ、そ、そんなに深く入れないで‥‥。
>>	［파르］：아아아, 그, 그렇게 깊게 넣지 마‥‥.
L25528	［ファル］：（熱いわ‥‥凄くアソコが、熱いっ！）
>>	［파르］：（뜨거워‥‥거기가 너무, 뜨거워!）
L25531	［ファル］：（あっイヤ！　２本も指を入れたら‥‥。）
>>	［파르］：（아, 싫어!　손가락을 두 개나 넣으면‥‥.）
L25534	にちゃっ、くちゃっ、にちゃっ‥‥。
>>	찌걱, 질척, 찌걱‥‥.
L25537	［ファル］：んくっ、あぅぅっ！
>>	［파르］：윽, 아윽!
L25540	［ビアンカ］：フフ、このままアタシのモノになっちゃいなさいよ。
>>	［비앙카］：후후, 이대로 내 것이 되어 버려.
L25543	［ファル］：イヤよ、イヤ！
>>	［파르］：싫어, 싫어!
L25546	［ビアンカ］：聞き分けの無い子は‥‥。
>>	［비앙카］：말을 안 듣는 애는‥‥.
L25549	ズリュッ！
>>	쭈욱!
L25553	［ファル］：あぁぁぁぁっっ！　コウジぃぃ！！
>>	［파르］：아아아아아앗!　코우지이이!!
L25556	［ビアンカ］：ムカッ！
>>	［비앙카］：짜증나!
L25560	［ファル］：コウジが、きっと助けに来てくれるわ‥‥。
>>	［파르］：코우지가, 꼭 구해 주러 올 거야‥‥.
L25563	［ビアンカ］：フン、どうやってアイツをたぶらかしたんだい？
>>	［비앙카］：흥, 어떻게 그 녀석을 홀린 거야?
L25566	［ファル］：た、たぶらかすなんて‥‥。
>>	［파르］：홀, 홀리다니‥‥.
L25569	［ビアンカ］：このイヤらしい胸か？
>>	［비앙카］：이 야한 가슴으로?
L25572	［ファル］：い、痛っ‥‥。
>>	［파르］：아, 아파‥‥.
L25575	［ビアンカ］：フン、プロフェッサだか何だか知らないが、なんだい、このイヤらしい胸は。
>>	［비앙카］：흥, 프로페서니 뭐니 모르겠지만, 뭐야, 이 야한 가슴은.
L25578	［ファル］：い、イヤらしくなんて、ないわ‥‥。
>>	［파르］：야, 야하지 않아‥‥.
L25581	［ビアンカ］：こんなに、乳首を押っ立ててるのにかい？
>>	［비앙카］：이렇게, 젖꼭지를 세우고 있는데도?
L25584	［ファル］：う、ウソよ‥‥ウソよ‥‥。
>>	［파르］：거, 거짓말이야‥‥거짓말이야‥‥.
L25587	［ビアンカ］：ここがこんなに濡れているのに‥‥。
>>	［비앙카］：여기가 이렇게 젖어 있는데‥‥.
L25590	［ファル］：んくっ‥‥あぁぁぁぁぁ‥‥。
>>	［파르］：윽‥‥아아아아아아‥‥.
L25593	［ビアンカ］：とぉっても、気持ちよくしてあげる‥‥。
>>	［비앙카］：아주아주, 기분 좋게 해 줄게‥‥.
L25596	ずぷぷぷぷぷぷぷっっ‥‥‥‥。
>>	쭈뿌뿌뿌뿌뿌뿌뿌뿍‥‥‥‥.
L25599	［ファル］：んあぅ、いやっ‥‥いやぁぁぁぁぁっ！
>>	［파르］：으아윽, 싫어‥‥싫어어어어엇!
L25602	［ビアンカ］：フン、奥まで呑み込んでおいて、何を言ってるんだい。
>>	［비앙카］：흥, 안쪽까지 삼켜 놓고, 무슨 소리야.
L25605	［ファル］：（あぁぁ、ダメ‥‥ふ、深すぎる‥‥。）
>>	［파르］：（아아아, 안 돼‥‥너, 너무 깊어‥‥.）
L25608	［ファル］：（お尻も、お尻にも指が‥‥あぁぁ‥‥。）
>>	［파르］：（엉덩이도, 엉덩이에도 손가락이‥‥아아아‥‥.）
L25611	［ファル］：（も、もうダメ‥‥‥‥。）
>>	［파르］：（이, 이제 안 돼‥‥‥‥.）
L25614	［ビアンカ］：フフ、遊んでる割には、ピンク色じゃない‥‥。
>>	［비앙카］：후후, 놀아난 치고는, 분홍빛이네‥‥.
L25617	じゅるるるるっ‥‥。
>>	쥬루루루룹‥‥.
L25620	［ファル］：あぁぁ、そんなに‥‥そんなに吸ったら‥‥。
>>	［파르］：아아아, 그렇게‥‥그렇게 빨면‥‥.
L25623	［ファル］：（イっちゃいそうよ‥‥‥‥。）
>>	［파르］：（가버릴 것 같아‥‥‥‥.）
L25626	［ファル］：あっ、お尻は、ダメ！
>>	［파르］：아, 엉덩이는, 안 돼!
L25629	ずぷっ。
>>	쭈뿍.
L25632	［ファル］：んあぅっ！　あっ、そんな‥‥イヤっ、あっ‥‥だめっ！
>>	［파르］：으아윽!　아, 그런‥‥싫어, 아‥‥안 돼!
L25635	［ビアンカ］：ほら、もぉっと奥まで入れてあげるわ‥‥。
>>	［비앙카］：자, 더더 안쪽까지 넣어 줄게‥‥.
L25638	［ファル］：あっ、舌を差し込まないで‥‥んくぅぅっ！
>>	［파르］：아, 혀를 넣지 마‥‥으윽!
L25641	［ビアンカ］：フフン、私を忘れられないように、してあげるわ‥‥。
>>	［비앙카］：후훗, 나를 잊지 못하도록, 해 줄게‥‥.
L25645	［ファル］：イヤァァァ、コウジぃぃ！
>>	［파르］：싫어어어, 코우지이이!
L25649	［トレイシー］：コウジ様。
>>	［트레이시］：코우지 님.
L25652	［ランファ］：鼻血が出てますぅ‥‥フキフキ。
>>	［란파］：코피가 나와요오‥‥쓱쓱.
L25655	［トレイシー］：目が血走ってますわ‥‥。
>>	［트레이시］：눈이 충혈되셨어요‥‥.
L25659	［宏治］：す、凄すぎる‥‥。
>>	［코지］：어, 엄청나다‥‥.
L25663	［トレイシー］：このままずっと、見ているのですか？　コウジ様。
>>	［트레이시］：이대로 계속 보고 계실 건가요?　코우지 님.
L25666	［ランファ］：そうですぅ、早くファルネリア様を助けに行きましょう。
>>	［란파］：맞아요오, 어서 파르네리아 님을 구하러 가요.
L25669	傍らで、トレイシーとランファがか細い声で耳打ちする。
>>	옆에서 트레이시와 란파가 가느다란 목소리로 귓속말을 한다.
L25672	首尾良くランファを助け出したオレたちは、ビアンカの私室にまでやってきていた。
>>	무사히 란파를 구해낸 우리는, 비앙카의 개인실까지 와 있었다.
L25675	しかし不用心なシップである。クルーは彼女の１人、他は全てオートメーションというから、誰にも出会わなかった訳だ。
>>	그나저나 부주의한 배다. 크루는 그녀 한 명뿐, 나머지는 전부 자동화라니, 아무와도 마주치지 않은 것도 당연하다.
L25679	［宏治］：そうだな、たっぷり堪能させてもらったし‥‥。
>>	［코지］：그러게, 실컷 감상했으니‥‥.
L25683	［トレイシー］：ウフフ‥‥私がいますわよ、コウジ様。
>>	［트레이시］：우후후‥‥저도 있어요, 코우지 님.
L25686	［ランファ］：そんなに見たいなら、ランファのを見せてあげますぅ。
>>	［란파］：그렇게 보고 싶으면, 란파 걸 보여드릴게요오.
L25689	［トレイシー］：ムッ。
>>	［트레이시］：발끈.
L25692	［ランファ］：なによっ、トレイシー。
>>	［란파］：뭐야, 트레이시.
L25696	［宏治］：ちょっと、やめてくれ、こんなトコで。
>>	［코지］：야, 그만해, 이런 데서.
L25699	［トレイシー・ランファ］：はーい。
>>	［트레이시・란파］：네에.
L25703	［宏治］：（もうちょっとかな‥‥。）
>>	［코지］：（조금만 더‥‥.）
L25707	［トレイシー］：コウジ様、さっきから何を気にされているのですか？
>>	［트레이시］：코우지 님, 아까부터 뭘 그리 신경 쓰시나요?
L25711	［宏治］：ん？　いやその、時間がね‥‥。
>>	［코지］：응?　아니 그, 시간이 말이지‥‥.
L25714	［ランファ］：おトイレですかぁ？
>>	［란파］：화장실이에요오?
L25718	［宏治］：何でそうなるの。よし、そろそろ行くぞ。
>>	［코지］：왜 그렇게 되는 건데. 좋아, 슬슬 가자.
L25721	［トレイシー・ランファ］：はい！
>>	［트레이시・란파］：네!
L25725	［宏治］：んー、じゃあランファ、かな？
>>	［코지］：으음, 그럼 란파, 일까?
L25729	［コウジ］：黙って聞くのだ。あの時の君は本当にラブリィだったと言うのだ。
>>	［코우지］：잠자코 들어라. 그때의 그대는 정말 러블리했다고 말하는 거다.
L25733	［コウジ］：いいから、この通り言うのだ。ただし、トレイシーの前では決して言うな。いいな？
>>	［코우지］：됐으니까, 이대로 말하는 거다. 단, 트레이시 앞에서는 절대 말하지 마라. 알겠나?
L25737	［宏治］：あっ、ランファは、ちょっとまだ残ってくれ。
>>	［코지］：아, 란파는, 잠깐 남아 줘.
L25740	［ランファ］：はい、なんですか？
>>	［란파］：네, 무슨 일이에요?
L25744	［トレイシー］：ランファ、ちゃんとコウジ様の面倒を看てあげるのですよ。
>>	［트레이시］：란파, 코우지 님을 잘 돌봐 드려야 해요.
L25747	［ランファ］：わかってるわよぉ、もう、早く行って。
>>	［란파］：알고 있다고오, 정말, 얼른 가.
L25750	［ランファ］：トレイシーったら、いつまでたってもランファのことを子供扱いなんだからぁ。
>>	［란파］：트레이시는 정말, 언제까지고 란파를 애 취급이라니까아.
L25754	［宏治］：と、とりあえず、明かりが眩しいから、少し暗くしてくれよ。
>>	［코지］：이, 일단, 불빛이 눈부시니까, 좀 어둡게 해 줘.
L25757	パチッ。
>>	딸깍.
L25761	［宏治］：ちょっと暗すぎるんだけど‥‥。
>>	［코지］：좀 너무 어두운데‥‥.
L25764	［ランファ］：んー、加減がむつかしいですぅ‥‥。
>>	［란파］：으음, 조절이 어려워요오‥‥.
L25767	［ランファ］：なんでしょうか‥‥。
>>	［란파］：무슨 일이신가요‥‥.
L25771	［宏治］：（ラブリィだったなんて、言うのかよ‥‥。）
>>	［코지］：（러블리했다니, 그걸 말하라고‥‥.）
L25774	［ランファ］：あの、何かランファ、怒られるようなこと‥‥。
>>	［란파］：저, 혹시 란파, 혼날 만한 일이라도‥‥.
L25778	［宏治］：いや、違うって。
>>	［코지］：아니, 그런 거 아니야.
L25782	［宏治］：いや、何でもない‥‥気にしないでくれ。
>>	［코지］：아니, 아무것도 아니야‥‥신경 쓰지 마.
L25785	［ランファ］：あの‥‥どうしたんですか？
>>	［란파］：저‥‥무슨 일이에요?
L25788	［ランファ］：はい、なんでしょうか。
>>	［란파］：네, 무슨 일이신가요.
L25792	［宏治］：ランファに話さなきゃならない事があるんだ。
>>	［코지］：란파한테 해야 할 얘기가 있어.
L25795	［ランファ］：ま、まさか‥‥。
>>	［란파］：서, 설마‥‥.
L25799	［宏治］：そのまさかさ。
>>	［코지］：그 설마야.
L25803	［ランファ］：ランファは、もうコウジ様に必要ないんでしょうか？
>>	［란파］：란파는, 이제 코우지 님한테 필요 없는 건가요?
L25807	［宏治］：ガクッ、何か話がそれてるような‥‥。
>>	［코지］：휘청, 뭔가 얘기가 빗나가는 것 같은데‥‥.
L25810	［ランファ］：ランファ、がんばります。何でもします。エンジンも格納庫も、もっともっとピカピカにします。掃除炊事お洗濯も、がんばっちゃいますぅ。
>>	［란파］：란파, 열심히 할게요. 뭐든 할게요. 엔진도 격납고도, 더더욱 반짝반짝하게 할게요. 청소 밥짓기 빨래도, 열심히 할 거예요오.
L25813	［ランファ］：だから‥‥だから、捨てないで下さいぃ～うるうるぅ。
>>	［란파］：그러니까‥‥그러니까, 버리지 말아 주세요오～글썽글썽.
L25817	［宏治］：誰が捨てるって言ってるのさ。
>>	［코지］：누가 버린다고 했어.
L25820	［ランファ］：捨てないんですか？
>>	［란파］：안 버려요?
L25824	［宏治］：人聞きの悪い、オレはそんなこと、しないぞ。
>>	［코지］：말 험하게 하네, 난 그런 짓 안 해.
L25827	［ランファ］：ホント？
>>	［란파］：정말요?
L25831	［宏治］：本当。
>>	［코지］：정말.
L25834	［ランファ］：ウソですぅ‥‥。
>>	［란파］：거짓말이에요오‥‥.
L25838	［宏治］：なんで。
>>	［코지］：왜.
L25841	［ランファ］：だってだって‥‥顔が真面目ですぅ‥‥。
>>	［란파］：그치만 그치만‥‥얼굴이 진지해요오‥‥.
L25845	［宏治］：顔が真面目だと、何でウソなの。
>>	［코지］：얼굴이 진지하면, 왜 거짓말인 건데.
L25849	［ランファ］：だってだって‥‥コウジ様って、真面目な顔をしてウソを吐きます。
>>	［란파］：그치만 그치만‥‥코우지 님은, 진지한 얼굴로 거짓말을 해요.
L25853	［宏治］：（何てヤツだ、コウジ！）
>>	［코지］：（뭐 저런 놈이 다 있나, 코우지!）
L25856	［ランファ］：違うんですか？
>>	［란파］：아닌가요?
L25860	［宏治］：捨てるなんて、もったいない‥‥じゃなくて、とにかく違う。
>>	［코지］：버리다니, 아까워‥‥가 아니라, 아무튼 아니야.
L25863	［ランファ］：なんでしょうか？
>>	［란파］：무슨 일이신가요?
L25867	［ランファ］：どうしたんですか、宏治様ぁ。
>>	［란파］：무슨 일이에요, 코지 니임.
L25871	［宏治］：何の話をしてたっけ？
>>	［코지］：무슨 얘기 하고 있었더라?
L25874	［ランファ］：んと、ランファを捨てないって話です。
>>	［란파］：음, 란파를 안 버린다는 얘기요.
L25878	［宏治］：違うよ、最初の方。
>>	［코지］：아니, 그 앞쪽.
L25881	［ランファ］：んー、なんでした？
>>	［란파］：으음, 뭐였죠?
L25885	［宏治］：なんだっけ。
>>	［코지］：뭐였더라.
L25888	［ランファ］：んー。
>>	［란파］：으음.
