# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L1637	［涼子］：‥‥宏治クン、どうもあなた、言っていることに矛盾があるようだわ。
>>	［코지］：소망 충족‥‥‥‥소망의 충족, 말인가요?
L1837	［涼子］：フフ、面白いわね、キミ。
>>	［료코］：후후, 재미있네, 너.
L1840	涼子は薄く笑みをこぼすと、ゆっくり足を組み替えた。不本意ながら、目がそちらへ向いてしまう。
>>	료코는 옅게 미소를 흘리며, 천천히 다리를 고쳐 꼬았다. 본의 아니게, 눈이 그쪽으로 향하고 만다.
L1843	［涼子］：願望充足の評価は、夢を分析するときの、１つの指標の事よ。
>>	［료코］：소망 충족의 평가는, 꿈을 분석할 때 쓰는, 하나의 지표야.
L1847	［宏治］：指標？
>>	［코지］：지표요?
L1850	［涼子］：どんな夢にもね、一定以上の意味があり、心的価値が存在するという学説があるの。
>>	［료코］：어떤 꿈에도 말이지, 일정 이상의 의미가 있고, 정신적 가치가 존재한다는 학설이 있어.
L1854	［宏治］：でも‥‥‥‥。
>>	［코지］：하지만‥‥‥‥.
L1857	どうも納得がいかない。僕の見た夢は、息苦しく、孤独感に苛まされ、ひしひしと恐怖が伝わってくるという感じだった。
>>	도무지 납득이 가지 않는다. 내가 꾼 꿈은, 숨 막히고, 고독감에 시달리며, 절절히 공포가 전해져 오는 느낌이었다.
L1860	どこが願望の充足になるというのだろうか。僕はそのことを、彼女に伝えた。
>>	어디가 소망의 충족이라는 걸까. 나는 그 점을, 그녀에게 말했다.
L1863	［涼子］：見た目で判断するのは、良くないわね。
>>	［료코］：겉모습으로 판단하는 건, 좋지 않아.
L1867	［宏治］：でも、あの夢が僕の願望をあらわしているなんて‥‥僕は別にマゾじゃありません。
>>	［코지］：하지만, 그 꿈이 제 소망을 나타낸다니‥‥저는 딱히 마조히스트가 아니에요.
L1870	［涼子］：じゃあ、潜在的なマゾかもね。
>>	［료코］：그럼, 잠재적인 마조히스트일지도.
L1874	［宏治］：先生‥‥。
>>	［코지］：선생님‥‥.
L1877	僕は思いの外、不本意な顔をしていたのだろう。涼子はちょっと悪戯っ子のような表情をすると、
>>	나는 생각보다, 언짢은 얼굴을 하고 있었던 모양이다. 료코는 조금 장난꾸러기 같은 표정을 짓더니,
L1880	［涼子］：フフ、冗談よ。そんな顔をしないの。
>>	［료코］：후후, 농담이야. 그런 얼굴 하지 마.
L1883	［涼子］：でも精神医学の分野ではね、その夢があらわす本当の意味を考察しなくては、意味がないの。
>>	［료코］：하지만 정신의학 분야에서는, 그 꿈이 나타내는 진짜 의미를 고찰하지 않으면, 의미가 없어.
L1887	［宏治］：本当の意味‥‥？
>>	［코지］：진짜 의미‥‥?
L1890	［涼子］：そう。例えば夢の冒頭‥‥確か、病室のようなベッドで１人きり‥‥。
>>	［료코］：그래. 예를 들어 꿈의 첫머리‥‥분명, 병실 같은 곳의 침대에 혼자‥‥.
L1893	［涼子］：それは、あなたの現状をあらわしているわ。確か昨日、恵さんが今日来るという連絡を受けたわよね？
>>	［료코］：그건, 네 현재 상황을 나타내는 거야. 분명 어제, 메구미 씨가 오늘 온다는 연락을 받았지?
L1897	［宏治］：恵？
>>	［코지］：메구미요?
L1900	［涼子］：あなたの、ガールフレンドでしょう？
>>	［료코］：네 여자친구잖아?
L1903	そうだった。恵というのは、僕のガールフレンドの事だ。
>>	그랬다. 메구미라는 건, 내 여자친구를 말한다.
L1906	彼女は今日、僕の様子を見にやってくることになっていた。
>>	그녀는 오늘, 내 상태를 보러 오기로 되어 있었다.
L1910	［宏治］：えぇ、確かに今日、恵が来ますけど‥‥。
>>	［코지］：네, 확실히 오늘, 메구미가 오지만‥‥.
L1913	［涼子］：それで、あなたの願望が強い孤独感となって現れたのね。
>>	［료코］：그래서, 네 소망이 강한 고독감이 되어 나타난 거야.
L1916	［涼子］：外に出ると聞こえてきた心音のような音は、孤独なあなたの回帰願望をあらわしているのでしょう。
>>	［료코］：밖에 나가자 들려온 심장 박동 같은 소리는, 고독한 네 퇴행 욕구를 나타내는 거겠지.
L1920	［宏治］：回帰願望？
>>	［코지］：퇴행 욕구?
L1923	［涼子］：えぇ。母胎こそ孤独をいやす安息の地、という訳。
>>	［료코］：그래. 모태야말로 고독을 달래는 안식처라는 뜻이지.
L1926	［涼子］：でも、そんな息苦しく孤独な夢に現れた１人の女性‥‥彼女と会ったとき、安堵にも似た感覚を抱かなかった？
>>	［료코］：그런데, 그 숨 막히고 고독한 꿈에 나타난 한 여자‥‥그녀를 만났을 때, 안도에 가까운 감각을 느끼지 않았어?
L1930	［宏治］：言われてみれば‥‥。
>>	［코지］：듣고 보니‥‥.
L1933	［涼子］：露出度も高いことを考慮すると、あなたのリビド（性衝動）も誘因するかもしれない。
>>	［료코］：노출도가 높은 점도 고려하면, 네 리비도（성충동）도 유인이 될지 몰라.
L1937	［宏治］：え？
>>	［코지］：네?
L1940	［涼子］：最近ガールフレンドと、していないんじゃなくて？
>>	［료코］：요즘 여자친구와, 하지 않는 거 아니야?
L1944	［宏治］：そ、それは‥‥ぷ、プライベートな事です。
>>	［코지］：그, 그건‥‥사, 사생활이에요.
L1947	あまりに図星だったので、少々どもってしまった。それを見すかしたように、彼女は目を細めて薄く笑う。
>>	너무나 정곡이라, 조금 말을 더듬고 말았다. 그걸 꿰뚫어 본 듯, 그녀는 눈을 가늘게 뜨고 옅게 웃는다.
L1951	［宏治］：（何でこうなるかなぁ‥‥。）
>>	［코지］：（어쩌다 이렇게 되는 걸까‥‥.）
L1954	［涼子］：フフ、このくらいにしておきましょうか、今日は。
>>	［료코］：후후, 오늘은 이쯤 해 둘까.
L1958	［宏治］：ええ‥‥。
>>	［코지］：네‥‥.
L1961	僕は椅子を立ち上がった。膝が少し痛い。長い間、同じ格好で座っていたせいだろう。
>>	나는 의자에서 일어섰다. 무릎이 조금 아프다. 오랫동안, 같은 자세로 앉아 있던 탓이겠지.
L1964	ブラインドからもれる陽射しは、かなり長く、オレンジ色の光を室内に満たしていた。
>>	블라인드 사이로 새는 햇살은, 꽤 길게 늘어져, 주황색 빛을 실내에 채우고 있었다.
L1968	［宏治］：（今日は、ずいぶんと長いカウンセリングになったな‥‥。）
>>	［코지］：（오늘은, 꽤나 긴 상담이 되었군‥‥.）
L1971	［涼子］：そうそう、肝心な事を聞かなくては‥‥。
>>	［료코］：맞다, 중요한 걸 물어봐야지‥‥.
L1974	涼子は真面目な表情に戻ると、僕の方を向いた。切れ長の目が、冷静に僕を射ていた。
>>	료코는 진지한 표정으로 돌아와, 내 쪽을 향했다. 가늘고 긴 눈이, 냉정하게 나를 꿰뚫고 있었다.
L1977	［涼子］：最近、変わったこと、ある？　特に、メンタルな部分で‥‥。
>>	［료코］：요즘, 달라진 거, 있어?　특히, 정신적인 부분에서‥‥.
L1981	［宏治］：メンタルな部分、ですか‥‥。
>>	［코지］：정신적인 부분, 말인가요‥‥.
L1984	［涼子］：そう。
>>	［료코］：그래.
L1988	［宏治］：別に無いですね。ちょっと物忘れが多い、程度かな。
>>	［코지］：딱히 없네요. 좀 건망증이 심한, 정도랄까.
L1991	［涼子］：フフ、それは元々じゃないの？
>>	［료코］：후후, 그건 원래 그렇잖아?
L1995	［宏治］：あっ、酷いなぁ。でも、最近うっかりというのが多くて。
>>	［코지］：앗, 너무하네요. 그래도, 요즘 깜빡하는 일이 많아서.
L1998	［涼子］：もしかして、固有名詞とかがすぐに出てこないとか？
>>	［료코］：혹시, 고유명사 같은 게 바로 안 떠오른다든가?
L2002	［宏治］：そう、それ。
>>	［코지］：맞아요, 그거.
L2005	［涼子］：固有名詞の忘却は、老化の第１歩と言うわ。気を付けなさい。
>>	［료코］：고유명사 망각은, 노화의 첫걸음이라고 해. 조심하렴.
L2008	［涼子］：フフ、またそんな顔をする。冗談よ、まだ若いんだから、沢山吸収して、沢山忘れなさい。
>>	［료코］：후후, 또 그런 얼굴을 하네. 농담이야, 아직 젊으니까, 많이 흡수하고, 많이 잊으렴.
L2011	かなわないな、この人には‥‥。
>>	당해낼 수가 없군, 이 사람한테는‥‥.
L2014	しかし最近、物忘れがひどいのは確かだった。どうも記憶がはっきりとしない、そんな事を考える事が、少なくなかった。
>>	하지만 요즘, 건망증이 심한 건 사실이었다. 아무래도 기억이 또렷하지 않다, 그런 생각을 하는 일이, 적지 않았다.
L2017	何と言ったらいいのだろう‥‥。
>>	뭐라고 하면 좋을까‥‥.
L2020	ほんの数時間前のことも、あまり自信がなかった。いや、もしかしたら、数分前のことさえ‥‥。
>>	불과 몇 시간 전의 일도, 그다지 자신이 없었다. 아니, 어쩌면, 몇 분 전의 일조차‥‥.
L2023	意外に考えていた時間が短くなかったようだ。涼子は心配そうに僕をのぞき込んできた。
>>	의외로 생각에 잠긴 시간이 짧지 않았던 모양이다. 료코가 걱정스러운 얼굴로 나를 들여다보았다.
L2026	［涼子］：どうしたの？　これから何をするか、もう忘れたとか？
>>	［료코］：무슨 일이야?　이제 뭘 할지, 벌써 잊은 거야?
L2030	［宏治］：ち、違いますよ。少し考え事をしていただけで‥‥。
>>	［코지］：아, 아니에요. 좀 생각에 잠겨 있었을 뿐이에요‥‥.
L2033	［涼子］：今日は、アレの採取は無しですからね。
>>	［료코］：오늘은, 그거 채취는 없으니까.
L2037	［宏治］：な、何言ってるんですか！
>>	［코지］：무, 무슨 소리 하시는 거예요!
L2040	僕は、少しムキになって強い口調で抗議した。涼子は僕の顔を見て、クスクスと笑っている。顔が赤らんでいたかもしれない。
>>	나는, 조금 발끈해서 강한 어조로 항의했다. 료코는 내 얼굴을 보며, 킥킥 웃고 있다. 얼굴이 붉어졌을지도 모른다.
L2043	先日、データの採集ということで、妙なモノを採取された覚えがある。僕は怪訝に思いながらも、協力はした。
>>	며칠 전, 데이터 채집이라는 명목으로, 묘한 것을 채취당한 기억이 있다. 나는 미심쩍어하면서도, 협조는 했다.
L2046	でも、精神分析に、なんで必要なのかな‥‥健康診断でもあるまいに‥‥。
>>	그런데, 정신분석에, 왜 필요한 걸까‥‥건강검진도 아닐 텐데‥‥.
L2050	［宏治］：今日はもう、失礼して構いませんか？
>>	［코지］：오늘은 이만, 물러가도 괜찮을까요?
L2053	［涼子］：えぇ‥‥明日は、また協力してもらうわ。
>>	［료코］：그래‥‥내일은, 또 협조해 줘야겠어.
L2057	［宏治］：精神分析、の方ですよね。
>>	［코지］：정신분석, 쪽이죠?
L2060	［涼子］：フフ、もちろんよ。
>>	［료코］：후후, 물론이지.
L2063	涼子が面白そうな目で僕を見つめている。
>>	료코가 재미있다는 눈으로 나를 바라보고 있다.
L2066	僕は先ほど、恵のことを思い出せなかったことが、気になっていた‥‥。
>>	나는 아까, 메구미를 떠올리지 못했던 것이, 마음에 걸렸다‥‥.
L2069	外はムワッとした暖気が充満していた。
>>	밖은 후텁지근한 온기가 가득 차 있었다.
L2072	すっかり寒い季節だというのに‥‥‥‥。
>>	완연히 추운 계절인데도‥‥‥‥.
L2075	室内は冷房を入れていたか、あるいは廊下に暖房をきかせているのか‥‥。
>>	실내에 냉방을 켜 두었던 걸까, 아니면 복도에 난방을 세게 튼 걸까‥‥.
L2078	放課後、数時間が経過した校内‥‥そんな形容が当てはまる場所だ。
>>	방과 후, 몇 시간이 지난 교내‥‥그런 표현이 어울리는 곳이다.
L2082	［宏治］：今日はまた、一段と人の数が少ないな‥‥。
>>	［코지］：오늘은 또, 유난히 사람 수가 적군‥‥.
L2085	たまにすれ違う何人かの人たちは、午後の気だるさを表情に浮かべ、僕の傍らを寡黙に通り過ぎていく。
>>	이따금 스쳐 지나는 몇몇 사람들은, 오후의 나른함을 표정에 띄운 채, 내 곁을 말없이 지나쳐 간다.
L2088	こうして見ると、ごく普通の病棟の一風景という感じがする。
>>	이렇게 보면, 지극히 평범한 병동의 한 풍경이라는 느낌이 든다.
L2092	［宏治］：しかし、それにしても‥‥。
>>	［코지］：하지만, 그건 그렇다 쳐도‥‥.
L2095	僕は先ほどの、涼子先生の言った、あの言葉を思い起こしていた。
>>	나는 아까, 료코 선생님이 했던, 그 말을 떠올리고 있었다.
L2098	『どんな夢にも一定以上の意味があり、心的価値が存在する‥‥。』
>>	『어떤 꿈에도 일정 이상의 의미가 있고, 정신적 가치가 존재한다‥‥.』
L2101	心的価値？
>>	정신적 가치?
L2104	例えば僕が昨日見たあの夢‥‥‥‥。
>>	예를 들어 내가 어제 꾼 그 꿈‥‥‥‥.
L2107	あれに、どんな意味があるというのだろう‥‥？
>>	거기에, 어떤 의미가 있다는 걸까‥‥?
L2110	ま、ここで考えても、しょうがないだろうな‥‥。
>>	뭐, 여기서 생각해 봐야, 소용없겠지‥‥.
L2113	　◆ このまま自室に戻って、少し休もう。
>>	　◆ 이대로 방으로 돌아가, 조금 쉬자.
L2116	　◆ ロビーにでも行って、考えをまとめてみよう。
>>	　◆ 로비에라도 가서, 생각을 정리해 보자.
L2119	このまま自室に戻って、少し休もう。
>>	이대로 방으로 돌아가, 조금 쉬자.
L2122	僕の自室は３階にある。ここ２階から、階段１階分だけ上らなくてはならない。
>>	내 방은 ３층에 있다. 여기 ２층에서, 계단으로 １개 층만 올라가야 한다.
L2126	［宏治］：（疲れるな‥‥‥‥。）
>>	［코지］：（지치는군‥‥‥‥.）
L2129	他人に聞かれたら呆れられそうだったが、実際、今の僕は頭がぼやけていて、足どりも至極重い。
>>	남이 들으면 기가 막히겠지만, 실제로, 지금의 나는 머리가 멍하고, 발걸음도 지극히 무겁다.
L2132	まるで、自分の身体では無いような気がした。
>>	마치, 내 몸이 아닌 것 같은 기분이 들었다.
L2136	［宏治］：（催眠療法のせいかもしれないな‥‥‥‥。）
>>	［코지］：（최면 요법 탓일지도 모르겠군‥‥‥‥.）
L2140	［宏治］：（しばらく自室で、横にでもなろう。）
>>	［코지］：（한동안 방에서, 좀 누워 있자.）
L2143	自室といっても、ごく普通の個人用の病室だ。僕はここ数週間、そこで寝泊まりしていた。
>>	방이라고 해도, 지극히 평범한 개인용 병실이다. 나는 요 몇 주간, 거기서 묵고 있었다.
L2147	［宏治］：（そうだ、エレベータを‥‥‥‥。）
>>	［코지］：（그래, 엘리베이터를‥‥‥‥.）
L2150	幸い、エレベータは２階にとどまっていたようだ。上のボタンを押すと、ドアはすぐに開いた。
>>	다행히, 엘리베이터는 ２층에 멈춰 있었던 모양이다. 위 버튼을 누르자, 문은 곧바로 열렸다.
L2153	僕は頭を振りながら、重い足取りでエレベータに乗り込んで行った‥‥。
>>	나는 고개를 저으며, 무거운 발걸음으로 엘리베이터에 올라탔다‥‥.
L2156	ロビーにでも行って、考えをまとめてみよう。
>>	로비에라도 가서, 생각을 정리해 보자.
L2159	そう考えたものの、頭は若干ぼやけているし、足どりも重い‥‥。
>>	그렇게 생각은 했지만, 머리는 다소 멍하고, 발걸음도 무겁다‥‥.
L2162	しかし、今はあの夢のことを、自分なりにもう少し考察してみたかった。
>>	하지만, 지금은 그 꿈에 대해, 나름대로 조금 더 고찰해 보고 싶었다.
L2166	［宏治］：（考えて、どうなるというものでも、ないんだけどな‥‥。）
>>	［코지］：（생각해 봐야, 뭐가 달라지는 것도, 아니지만‥‥.）
L2169	でも何も考えないよりはマシじゃないか‥‥そんな考えも、頭をよぎる。
>>	그래도 아무 생각 안 하는 것보단 낫지 않나‥‥그런 생각도, 머리를 스친다.
L2173	［宏治］：（ロビーは確か、１階だったか‥‥疲れるな。）
>>	［코지］：（로비는 분명, １층이었던가‥‥지치는군.）
L2176	ロビーは１階にある。ここ２階から、１階分だけ階段を利用しなくてはならない。
>>	로비는 １층에 있다. 여기 ２층에서, 계단으로 １개 층만 내려가야 한다.
L2179	幸い、エレベータは２階にとどまっていたようだ。下のボタンを押すと、ドアはすぐに開いた。
>>	다행히, 엘리베이터는 ２층에 멈춰 있었던 모양이다. 아래 버튼을 누르자, 문은 곧바로 열렸다.
L2182	エレベータに人は乗って居なかった。ここでゴミゴミと満員のエレベータなどに乗ったら、卒倒してしまう。
>>	엘리베이터에 사람은 타고 있지 않았다. 여기서 북적이는 만원 엘리베이터라도 탔다간, 졸도해 버린다.
L2185	壁に寄り掛かる。背中にヒンヤリとした温度を感じた。
>>	벽에 기댄다. 등에 서늘한 기운이 느껴졌다.
L2188	どうやら不愉快な暖気は、廊下にのみ、充満していたようだった。
>>	아무래도 그 불쾌한 온기는, 복도에만, 가득 차 있었던 모양이었다.
L2192	［宏治］：（少しは、気分が楽になったかな‥‥‥‥。）
>>	［코지］：（조금은, 기분이 나아졌으려나‥‥‥‥.）
L2195	ずっとこのままエレベータに乗っていたい‥‥そんな淡い願望を抱いていたとき、
>>	계속 이대로 엘리베이터에 타고 있고 싶다‥‥그런 옅은 소망을 품고 있을 때,
L2198	チーン‥‥。
>>	띵‥‥.
L2202	［宏治］：現実とは、こういうものさ‥‥。
>>	［코지］：현실이란, 이런 것이지‥‥.
L2205	あらためてそう認識すると、僕はエレベータをゆっくりと降りていった。
>>	새삼 그렇게 자각하고, 나는 엘리베이터에서 천천히 내려갔다.
L2208	危うく、ぶつかりそうになってしまう。どうも、注意力が散漫だ。
>>	하마터면, 부딪칠 뻔했다. 아무래도, 주의력이 산만하다.
L2211	その女性は、僕を見ると少し驚いたような顔をした。でもそれは一瞬で、すぐにいつも通りの笑顔になる。
>>	그 여성은, 나를 보자 조금 놀란 듯한 얼굴을 했다. 하지만 그건 한순간이고, 곧 여느 때의 미소로 돌아온다.
L2215	［宏治］：やぁ、ええと‥‥。
>>	［코지］：안녕, 그러니까‥‥.
L2218	［目の前の女性］：舞です。
>>	［눈앞의 여성］：마이예요.
L2222	［宏治］：そうそう、舞さん、だったよね。
>>	［코지］：맞다 맞아, 마이 씨였지.
L2226	［舞］：こんにちは、宏治サン。
>>	［마이］：안녕하세요, 코지 상.
L2229	最後の「さん」のイントネーションが、少し妙な発音になっている。この子の特徴だった。
>>	마지막 「상」의 억양이, 조금 묘한 발음이 되어 있다. 이 아이의 특징이었다.
L2232	静かな廊下、無機質な空間。そこに咲く一輪の花という形容が、舞には相応しい気がした。
>>	조용한 복도, 삭막한 공간. 거기 피어난 한 송이 꽃이라는 표현이, 마이에게는 어울리는 것 같았다.
L2235	気分が低下していた僕にとって、ある種の清涼剤になったのは事実のようだった。
>>	기분이 가라앉아 있던 나에게, 일종의 청량제가 된 것은 사실인 듯했다.
L2238	［舞］：フフ、どうしたんですか？
>>	［마이］：후후, 무슨 일이세요?
L2242	［宏治］：いや、ごめん。ちょっと、考え事をしていたんだ。
>>	［코지］：아니, 미안. 좀, 생각에 잠겨 있었어.
L2245	［舞］：考え事？
>>	［마이］：생각이요?
L2249	［宏治］：うん‥‥ま、大したことじゃないんだけどね。
>>	［코지］：응‥‥뭐, 대단한 건 아니지만.
L2252	［舞］：そう‥‥‥。
>>	［마이］：그래요‥‥‥.
L2255	彼女は舞という名前だ。それ以上の事は知らないし、教えてもくれない。
>>	그녀의 이름은 마이. 그 이상은 모르고, 알려주지도 않는다.
L2258	僕も、彼女が話さない以上、率先して聞き出そうとはしなかった。
>>	나도 그녀가 말하지 않는 이상, 굳이 캐물으려 하지 않았다.
L2261	どこか陰があるような、憂いがかった女性だった。
>>	어딘가 그늘이 있는, 우수에 젖은 여성이었다.
L2264	［舞］：今日も？
>>	［마이］：오늘도요?
L2268	［宏治］：うん。
>>	［코지］：응.
L2271	舞が言っているのは、カウンセリングの事だ。
>>	마이가 말하는 건 카운슬링 얘기다.
L2274	僕はそれを肯定する‥‥そんなやりとりは、もうかれこれ何度目になるか‥‥。
>>	나는 그렇다고 답한다‥‥이런 대화도 벌써 몇 번째인지‥‥.
L2278	［宏治］：舞さんは、ここで何を？
>>	［코지］：마이 씨는, 여기서 뭘?
L2281	［舞］：お散歩。
>>	［마이］：산책이요.
L2285	［宏治］：散歩？　ここを？
>>	［코지］：산책?　여기를?
L2288	［舞］：ええ‥‥。
>>	［마이］：네‥‥.
L2291	少し気のない声が、僕の耳に届いてくる。何かいいたげだ。
>>	조금 심드렁한 목소리가 내 귀에 닿는다. 뭔가 하고 싶은 말이 있는 듯하다.
L2294	僕は黙って、舞の話の続きを待った。
