# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L24412	［トレイシー］：んっ‥‥んあぅ‥‥あぁぁぁぁぁぁぁぁっっ！！
>>	나는 몇 번째인지 모를 무의미한 상황 확인을 했다. 같은 자세로 오랜 시간, 석고상 같은 모양새로 서 있는 것이다.
L24628	とにかく、狭い‥‥。
>>	어쨌든, 좁다‥‥.
L24631	額に手の甲を当てると、べっとりと汗が付着する。しかも、暑い‥‥。
>>	이마에 손등을 대자 땀이 흥건히 묻어난다. 게다가, 덥다‥‥.
L24634	眉毛を通り抜け、汗がまぶたの縁にまでたれてくる。まばたきで、汗を追い払おうとする。だがこういう時に限って、汗は妙な曲線を描きながらオレの目に入ってくる。
>>	눈썹을 지나 땀이 눈꺼풀 가장자리까지 흘러내린다. 눈을 깜빡여 땀을 쫓아내려 한다. 하지만 꼭 이럴 때면, 땀은 묘한 곡선을 그리며 내 눈으로 들어온다.
L24637	なおかつ、非常に不愉快だ‥‥。
>>	더욱이, 몹시 불쾌하다‥‥.
L24640	上着の内側といったら、汗でもうベトベトになっていた。肌にぴったりと付着するシャツが、非常にうっとうしい。
>>	겉옷 안쪽은 땀으로 이미 끈적끈적해져 있었다. 살갗에 착 달라붙는 셔츠가 몹시 성가시다.
L24643	オレは再び身体をモソモソと動かした。少しでも、隙間から外の冷風を取り入れようとするが、ほとんど意味はない。
>>	나는 다시 몸을 꼼지락꼼지락 움직였다. 조금이라도 틈으로 바깥의 찬바람을 들이려 하지만 거의 소용없다.
L24646	狭くて、暑くて、不愉快だった‥‥。
>>	좁고, 덥고, 불쾌했다‥‥.
L24649	エアコン無しの、真夏の満員電車のようだった。これでセミが鳴いていて、オーデコロンばりばりのバーコードヘッドが鼻先にあったりしたら、オレは発狂していたかもしれない。
>>	에어컨 없는 한여름 만원 전철 같았다. 여기에 매미까지 울고, 오드콜로뉴 범벅인 바코드 머리가 코앞에 있었다면 나는 미쳐 버렸을지도 모른다.
L24653	［宏治］：ふぅ‥‥まだかな‥‥。
>>	［코지］：후우‥‥아직인가‥‥.
L24656	とりあえず、待つしかないのだ、今は‥‥。
>>	일단은 기다릴 수밖에 없다, 지금은‥‥.
L24659	オレは今現在、ある作戦計画の実行段階にあった。ビアンカ追撃＆ファルネリア奪回作戦、である。
>>	나는 지금 어떤 작전 계획의 실행 단계에 있었다. 비앙카 추격＆파르네리아 탈환 작전, 이다.
L24662	オレの考えた計画はこうだ。
>>	내가 짠 계획은 이렇다.
L24665	わざと、この高機動シップ《クワドラ》を、ビアンカの悪趣味な戦艦に捉えさせる。
>>	일부러 이 고기동 함선 《쿠와드라》를 비앙카의 악취미 전함에 붙잡히게 한다.
L24669	コウジは賢しい、という話だ。そして中を検分したときに１人しか発見できなければ、当然《クワドラ》をオトリにしたと考えるだろう。
>>	코우지는 영리하다는 이야기다. 그리고 안을 조사했을 때 한 명밖에 발견하지 못하면, 당연히 《쿠와드라》를 미끼로 썼다고 생각하겠지.
L24672	奴等が船外を模索している間に、《クワドラ》内部に隠れていた俺たちは、速やかにその場を脱出、敵船内に進入する。
>>	놈들이 배 밖을 뒤지는 사이에, 《쿠와드라》 내부에 숨어 있던 우리는 재빨리 그곳을 빠져나와 적함 내부로 진입한다.
L24675	そして潜入した後は‥‥‥‥。
>>	그리고 잠입한 뒤에는‥‥‥‥.
L24678	高度な柔軟性を維持しつつ、臨機応変に対処する。これしかない！
>>	고도의 유연성을 유지하면서 임기응변으로 대처한다. 이것뿐이다!
L24681	名付けて、トロイの木馬大作戦！
>>	이름하여, 트로이 목마 대작전!
L24684	わかっている、陳腐な作戦なんてことは。もともと思いつきを、そのまま実行したようなものだ。
>>	안다, 진부한 작전이라는 것쯤은. 애초에 떠오른 생각을 그대로 실행한 것이나 다름없다.
L24687	だがこの計画を２人に聞かせ、彼女らが目を潤ませて『ス・テ・キ』と言った時、オレはこの計画の成功を確信した。
>>	하지만 이 계획을 두 사람에게 들려주고, 그녀들이 눈을 적시며 『멋・져・요』라고 했을 때, 나는 이 계획의 성공을 확신했다.
L24690	美女２人のお墨付きだ、きっと成功するに違いない。
>>	미녀 두 사람의 보증이다, 분명 성공할 게 틀림없다.
L24693	ゴゴゴゴゴゴッッ！！
>>	쿠구구구구궁!!
L24697	［宏治］：な、何だ‥‥。
>>	［코지］：뭐, 뭐야‥‥.
L24700	［トレイシー］：牽引ビームに、《クワドラ》が捉えられたのですわ。
>>	［트레이시］：견인 빔에 《쿠와드라》가 붙잡힌 거예요.
L24704	［宏治］：荒っぽいなぁ。
>>	［코지］：거칠기도 하네.
L24707	［トレイシー］：ビアンカさんの、性格でしょうか。
>>	［트레이시］：비앙카 씨의 성격이겠죠.
L24710	クスリとトレイシーが笑みをこぼす。
>>	트레이시가 살짝 웃음을 흘린다.
L24713	そうなのだ、この計画ではランファをオトリとして、オレとトレイシーが潜入工作という重責を担うことになった。
>>	그렇다, 이 계획에서는 란파를 미끼로 삼고, 나와 트레이시가 잠입 공작이라는 중책을 맡게 되었다.
L24716	いつまでも、ここでこうしている訳にはいかない。ビアンカが《クワドラ》を調べ終わった後、オレたちは彼女のシップへ潜入し、ファルを助け出さなければならないのだ。
>>	언제까지고 여기서 이러고 있을 수는 없다. 비앙카가 《쿠와드라》를 다 조사한 뒤, 우리는 그녀의 함선에 잠입해 파르를 구해 내야 한다.
L24720	［宏治］：さぁ、これからだな。
>>	［코지］：자, 지금부터다.
L24723	［トレイシー］：はい。きっと、成功すると思いますわ。
>>	［트레이시］：네. 분명 성공할 거라고 생각해요.
L24726	トレイシーは薄く微笑みながら、人差し指の先で、そっと額を拭った。
>>	트레이시는 옅게 미소 지으며, 검지 끝으로 살며시 이마를 훔쳤다.
L24729	美人は汗をかかないと言うが、さすがにこの暑さに狭さだ。しかしそれでもトレイシーは、額にうっすらと汗をかく程度で、不満などは微塵も感じさせない。
>>	미인은 땀을 흘리지 않는다지만, 이 더위에 이 비좁음이니 별수 없다. 그래도 트레이시는 이마에 옅게 땀이 밸 정도일 뿐, 불만 따위는 티끌만큼도 내비치지 않는다.
L24732	しかし汗で髪が乱れ、顔にまとわりついていた。豊満でこぼれそうな乳房には、汗が粒状に浮いている。
>>	하지만 땀에 머리카락이 흐트러져 얼굴에 달라붙어 있었다. 풍만해 흘러넘칠 듯한 가슴에는 땀이 방울져 맺혀 있다.
L24735	いけない、ここでこうしている場合では‥‥。
>>	안 돼, 여기서 이러고 있을 때가‥‥.
L24739	［トレイシー］：どうなさいました？　コウジ様。
>>	［트레이시］：무슨 일이세요?　코우지 님.
L24742	［トレイシー］：お顔が、嬉しそうです。
>>	［트레이시］：표정이, 기뻐 보이세요.
L24746	［宏治］：そ、そうかな
>>	［코지］：그, 그런가
L24749	［トレイシー］：ええ、とっても。
>>	［트레이시］：네, 아주.
L24753	［宏治］：武者震いってヤツかな。戦いを目の前にして起きるあれさ。
>>	［코지］：전투를 앞둔 떨림이라는 거려나. 싸움을 눈앞에 두고 일어나는 그거야.
L24756	［トレイシー］：ス・テ・キ‥‥。
>>	［트레이시］：멋・져・요‥‥.
L24759	オレはトレイシーの潤んだ目から、視線をそらした。別にやましいことがあった訳じゃあない。
>>	나는 트레이시의 촉촉한 눈에서 시선을 돌렸다. 딱히 켕기는 게 있었던 건 아니다.
L24762	オレは、必要以上に真面目な顔をして、話題を転換する。
>>	나는 필요 이상으로 진지한 얼굴을 하고 화제를 돌린다.
L24766	［宏治］：なぁトレイシー、ビアンカのことだけどさ‥‥。
>>	［코지］：있잖아 트레이시, 비앙카 말인데‥‥.
L24769	［トレイシー］：あ、はい‥‥なんでしょうか？
>>	［트레이시］：아, 네‥‥무슨 일이신가요?
L24772	トレイシーは笑顔を絶やさない。この女性が、泣いたり笑ったりするところを、見てみたいものだ。
>>	트레이시는 미소를 거두지 않는다. 이 여성이 울거나 웃거나 하는 모습을 한번 보고 싶다.
L24776	［宏治］：それにしても、ビアンカって、相当コウジのことを恨んでいたようだけど‥‥。
>>	［코지］：그건 그렇고, 비앙카는 코우지를 꽤나 원망하고 있던 것 같던데‥‥.
L24779	［トレイシー］：えぇ、あれは、あの方なりに歪んだ感情表現なのです。
>>	［트레이시］：네, 그건 그분 나름의 뒤틀린 감정 표현이에요.
L24783	［宏治］：そういえば何だか、知っている口振りだな。ビアンカのこと。
>>	［코지］：그러고 보니 뭔가 아는 듯한 말투인데. 비앙카에 대해.
L24787	［トレイシー］：えぇ、彼女はもともと、コウジ様の良きパートナーとして、コウジ様共々、この銀河に君臨されていました。
>>	［트레이시］：네, 그녀는 원래 코우지 님의 좋은 파트너로서, 코우지 님과 함께 이 은하에 군림하셨어요.
L24791	［宏治］：へっ？
>>	［코지］：엥?
L24795	［トレイシー］：コウジ様と彼女は、私とランファが入り込む隙がないくらい、接近していましたのよ。
>>	［트레이시］：코우지 님과 그녀는, 저와 란파가 끼어들 틈이 없을 만큼 가까웠답니다.
L24799	［宏治］：へぇ、そうだったんだ。
>>	［코지］：허, 그랬구나.
L24802	［トレイシー］：少し妬けましたわ、本当に。
>>	［트레이시］：조금 질투했어요, 정말로.
L24806	［宏治］：そ、そうなのか‥‥。
>>	［코지］：그, 그런가‥‥.
L24810	［トレイシー］：でも、どういう訳か、ビアンカさんは、コウジ様を奸計にはめ、裏切って独立なさいました。
>>	［트레이시］：하지만 무슨 영문인지, 비앙카 씨는 코우지 님을 간계에 빠뜨리고 배신해 독립하셨어요.
L24814	［宏治］：何だか、話が逆のような‥‥。
>>	［코지］：어쩐지 이야기가 반대인 것 같은데‥‥.
L24818	［トレイシー］：ビアンカさんも、コウジ様のことを、もしかすると‥‥。
>>	［트레이시］：비앙카 씨도 코우지 님을, 어쩌면‥‥.
L24822	［宏治］：じょ、冗談言うなよ。電撃ムチでの愛情なんて、ゴメン被るね。
>>	［코지］：노, 농담하지 마. 전격 채찍으로 하는 애정 따윈 사양이야.
L24825	［トレイシー］：そういう愛の形も、あるのではないでしょうか。
>>	［트레이시］：그런 사랑의 형태도 있지 않을까요.
L24829	［宏治］：そ、そうか‥‥まぁ、それはそれとして。
>>	［코지］：그, 그런가‥‥뭐, 그건 그렇다 치고.
L24832	やはり苦しい‥‥。
>>	역시 괴롭다‥‥.
L24835	せまいロッカーの中にオレとトレイシーは、身体をほとんど密着させて立っていた。
>>	좁은 로커 안에서 나와 트레이시는 몸을 거의 밀착시킨 채 서 있었다.
L24838	彼女の肉厚は凄いものがある。はちきれんほどのバストが、オレの身体をロッカーの壁に、窒息しそうなほど押しつけていた。
>>	그녀의 살집은 대단한 데가 있다. 터질 듯한 가슴이 내 몸을 로커 벽에 질식할 만큼 밀어붙이고 있었다.
L24841	だがこうした状況にも関わらず、オレの顔は余計に崩れていたかもしれない。健康優良な男なら、むしろ当然だ。
>>	하지만 이런 상황인데도 내 얼굴은 한층 더 헤벌어져 있었을지도 모른다. 건강한 남자라면 오히려 당연하다.
L24844	などと自己正当化をしている間も、トレイシーはモソモソと身体を動かして、オレのことを乳房の肉圧で、ギュウギュウと押してくる。苦しいが嬉しい。
>>	그렇게 자기 정당화를 하는 동안에도, 트레이시는 꼼지락꼼지락 몸을 움직여 가슴의 압력으로 나를 꾹꾹 눌러 온다. 괴롭지만 기쁘다.
L24847	［トレイシー］：窮屈ですね。
>>	［트레이시］：답답하네요.
L24850	考えを見透かされたと思い、オレはドキッとしてしまった。
>>	생각을 들켰다고 여겨, 나는 흠칫하고 말았다.
L24854	［宏治］：しょうがないだろう、もともとここは、人間が２人も並んで入るように設計されていないし。
>>	［코지］：어쩔 수 없잖아, 원래 여긴 사람이 둘이나 나란히 들어가게 설계된 곳이 아니니까.
L24857	［トレイシー］：フフ、そう言われてみれば、そうですわね。
>>	［트레이시］：후후, 듣고 보니 그렇네요.
L24860	クスクスと笑う度に、それに同調してユサユサとバストが揺れる。オレの目は釘付けだ。思い切って訊いてみる。
>>	킥킥 웃을 때마다 그에 맞춰 가슴이 출렁출렁 흔들린다. 내 눈은 못 박힌 듯하다. 큰맘 먹고 물어본다.
L24864	［宏治］：ねっ。
>>	［코지］：저기.
L24868	［宏治］：‥‥カップはいくつ？
>>	［코지］：‥‥컵은 몇이야?
L24871	［トレイシー］：カップ‥‥とおっしゃられても。
>>	［트레이시］：컵‥‥이라고 하셔도.
L24874	当惑したような表情でオレの目を見つめているが、優しそうな笑顔は崩さない。ついつい、それに乗じてしまう。
>>	당혹스러운 표정으로 내 눈을 바라보면서도, 다정한 미소는 흐트러뜨리지 않는다. 나도 모르게 거기에 편승하고 만다.
L24878	［宏治］：いやその、それなんだけど。
>>	［코지］：아니 그, 그거 말인데.
L24881	オレは、目の前でユサユサと揺れているトレイシーの胸の隆起を、人差し指の先で軽く押してみる。押し返そうとする胸の弾力はさすがだった。
>>	나는 눈앞에서 출렁출렁 흔들리는 트레이시의 가슴 융기를 검지 끝으로 가볍게 눌러 본다. 밀어내려는 가슴의 탄력은 과연 대단했다.
L24884	どうも危機的な状況では人間、大胆になってしまうらしい。普段だったら、こんな事は絶対にできない。
>>	아무래도 위기 상황에서는 사람이 대담해지는 모양이다. 평소라면 이런 짓은 절대 못 한다.
L24887	［トレイシー］：胸の大きさ、ですの？
>>	［트레이시］：가슴 크기, 말인가요?
L24891	［宏治］：そ、そう。
>>	［코지］：그, 그래.
L24894	目をじっと見つめられながら、改めてはっきりそう言われると、こちらが赤面してしまう。
>>	그녀가 눈을 빤히 들여다보는 가운데 새삼 또렷하게 그런 말을 들으니, 이쪽이 얼굴을 붉히고 만다.
L24897	我ながら情けないとは思うが、聞かずにはいられないのも事実だった。それくらい、この巨大な胸は、オレの好奇心をビンビンに刺激してやまない。
>>	스스로도 한심하다 싶지만, 묻지 않고는 못 배기는 것도 사실이었다. 그만큼 이 거대한 가슴은 내 호기심을 세차게 자극해 온다.
L24900	［トレイシー］：乳房の大きさを、カップというの単位で表す方法を、私は知りません。
>>	［트레이시］：가슴 크기를 컵이라는 단위로 나타내는 법을, 저는 몰라요.
L24903	［トレイシー］：だけど、教えて戴ければ‥‥。
>>	［트레이시］：하지만 가르쳐 주신다면‥‥.
L24907	［宏治］：教えてくれるの？
>>	［코지］：가르쳐 주는 거야?
L24910	ニコッと微笑みながら、トレイシーはうなずいた。この笑顔を見ていると、聞かなくてはいけない強迫観念に襲われてくる。
>>	생긋 미소 지으며 트레이시는 고개를 끄덕였다. 이 미소를 보고 있으면, 물어야만 한다는 강박 관념에 사로잡힌다.
L24913	オレはニヤける顔を引き締めながら、真面目な趣で彼女に言って聞かせた。
>>	나는 실실 풀리는 얼굴을 다잡으며, 진지한 태도로 그녀에게 설명해 주었다.
L24917	［宏治］：オレも詳しくは知らないんだけど、確かアンダーバストとトップの差で決まると思った。
>>	［코지］：나도 자세히는 모르지만, 아마 언더버스트와 톱의 차이로 정해지는 걸로 기억해.
L24920	［トレイシー］：アンダーとトップの差？
>>	［트레이시］：언더와 톱의 차이요?
L24924	［宏治］：そう、確かアンダーとトップの差が１０センチだとＡ、以後２．５センチ増加する度に、Ｂ、Ｃ、Ｄ‥‥となった気がする。
>>	［코지］：그래, 아마 언더와 톱의 차이가 １０센티면 Ａ, 이후 ２．５센티 늘 때마다 Ｂ, Ｃ, Ｄ‥‥가 됐던 것 같아.
L24927	［トレイシー］：でもそれだと‥‥。
>>	［트레이시］：하지만 그러면‥‥.
L24931	［宏治］：それだと？
>>	［코지］：그러면?
L24934	［トレイシー］：Ｚ以降の方は、どうなさっていたのですか？
>>	［트레이시］：Ｚ 이후인 분은 어떻게 하셨던 건가요?
L24938	［宏治］：んな、Ｚなんてヤツが‥‥。
>>	［코지］：그, 그런 Ｚ 같은 녀석이‥‥.
L24941	いる訳が無いと言いかけて、少し躊躇した。この宇宙は広い、どんなヤツがいるか、わからない。
>>	있을 리 없다고 말하려다 조금 망설였다. 이 우주는 넓다, 어떤 녀석이 있을지 모른다.
L24944	しかしＺといったら、アンダーとトップの差が７０センチをオーバーする。それはもはや人類とは呼べない。いや、そうか、人間でなければいるかも‥‥。
>>	하지만 Ｚ라면 언더와 톱의 차이가 ７０센티를 넘는다. 그건 이미 인류라 부를 수 없다. 아니, 그런가, 인간이 아니라면 있을지도‥‥.
L24947	［トレイシー］：どうなさったのですか？
>>	［트레이시］：무슨 일이신가요?
L24951	［宏治］：い、いやその、Ｚ以降の人は多分特注ということに、なったんじゃないかな。
>>	［코지］：아, 아니 그게, Ｚ 이상인 사람은 아마 특별 주문 제작이 됐을 거야.
L24954	［トレイシー］：そうですの‥‥。
>>	［트레이시］：그런가요‥‥.
L24957	残念そうなトレイシーに、オレは少し困惑してしまった。彼女は、もしかするとＺなヤツを知っているのではないか？
>>	아쉬워하는 트레이시에게, 나는 조금 당황하고 말았다. 그녀는, 혹시 Ｚ인 녀석을 알고 있는 게 아닐까?
L24960	背筋に寒気をおぼえたオレは、先程の質問に戻るよう示唆をした。
>>	등줄기에 한기를 느낀 나는, 아까 하던 질문으로 돌아가자고 넌지시 일렀다.
L24964	［宏治］：まあいい、その‥‥Ｚな人はともかく。
>>	［코지］：뭐 됐어, 그‥‥Ｚ인 사람은 그렇다 치고.
L24967	君のことだ、と真顔でトレイシーに聞いた。実際、マジだ。
>>	네 얘기 말이야, 하고 진지한 얼굴로 트레이시에게 물었다. 실제로, 진심이다.
L24971	［トレイシー］：ええ、コウジ様のおっしゃる通りに計算しますと‥‥。
>>	［트레이시］：네, 코우지 님 말씀대로 계산하면‥‥.
L24974	［トレイシー］：私のアンダーは７２で、トップが‥‥‥ですから‥‥‥‥。
>>	［트레이시］：제 언더는 ７２이고, 톱이‥‥‥라서‥‥‥‥.
L24977	トップのサイズを聞いて、オレは生唾をゴクっと呑み込んでしまった。聞かれなかったろうな。
>>	톱 사이즈를 듣고, 나는 군침을 꿀꺽 삼키고 말았다. 들리지는 않았겠지.
L24980	だがしかし、計算すると彼女のカップサイズは‥‥。
>>	하지만 그래도, 계산하면 그녀의 컵 사이즈는‥‥.
L24983	［トレイシー］：そうですね、約Ｇ、というサイズ換算になると思います。
