# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L26002	［ランファ］：コウジ様、ランファ、あの時の事を忘れたこと、ありませんっ。
>>	나는 란파의 입술을 내 입술로 막았다. 눈을 크게 뜨더니, 당황과 난처한 표정으로 나를 바라보고 있다.
L26046	こうなったら仕方がない。ヒステリーの女性を黙らせるのは、これが１番だ。
>>	이렇게 되면 어쩔 수 없다. 히스테리인 여자를 잠잠하게 하는 건, 이게 최고다.
L26049	［ランファ］：んっ‥‥‥‥んん‥‥‥‥。
>>	［란파］：응‥‥‥‥음‥‥‥‥.
L26052	手は若干強張っているが、オレの胸に軽く添えられているだけで、拒絶はない。
>>	손은 조금 경직돼 있지만, 내 가슴에 가볍게 대어져 있을 뿐, 거절은 없다.
L26055	次第に身体の強張りが解けてくると、ランファは目をトロンとさせてこの状況に陶酔してきた。
>>	점차 몸의 긴장이 풀리자, 란파는 눈이 풀리며 이 상황에 도취되어 갔다.
L26058	腕を遠慮がちに、おずおずとオレの首の後ろにまわしてくる。口で言っているほど、慣れてはいないな、こいつ。
>>	팔을 망설이며, 조심스레 내 목 뒤로 돌린다. 입으로 말하는 것만큼, 익숙하진 않구나, 이 녀석.
L26062	［ランファ］：コウジ様、嬉しい‥‥コウジ様ぁ‥‥。
>>	［란파］：코우지 님, 기뻐요‥‥코우지 님‥‥.
L26065	オレは彼女の柔らかい唇をふさぎながら、ゆっくりと後ろのベッドへ倒れていった‥‥。
>>	나는 그녀의 부드러운 입술을 막으며, 천천히 뒤의 침대로 쓰러져 갔다‥‥.
L26068	［ランファ］：優しくして‥‥下さい‥‥。
>>	［란파］：부드럽게‥‥해주세요‥‥.
L26072	［宏治］：あぁ、わかってる。
>>	［코지］：아아, 알고 있어.
L26076	［ランファ］：コウジ様‥‥‥‥。
>>	［란파］：코우지 님‥‥‥‥.
L26079	ランファは、濡れそぼった子猫の様に震えているようだった。しかし目はうるみ、頬も身体も、ほんのりと赤みがかっている。
>>	란파는, 물에 젖은 새끼 고양이처럼 떨고 있는 듯했다. 그러나 눈은 촉촉하고, 볼도 몸도, 살짝 붉은기가 돌고 있다.
L26082	彼女は何かを訴えかけるような、そんな表情でオレを見つめていた。オレは彼女が‥‥ランファのことが、たまらなく愛しく感じてきた。
>>	그녀는 무언가를 호소하는 듯한, 그런 표정으로 나를 바라보고 있었다. 나는 그녀가‥‥란파가, 견딜 수 없이 사랑스럽게 느껴졌다.
L26086	［宏治］：ランファ‥‥‥‥。
>>	［코지］：란파‥‥‥‥.
L26089	そっと抱きしめてみる。ビクっと一度だけ身体を硬直させるが、それはすぐに解けた。
>>	살짝 안아 본다. 한번 움찔하며 몸을 굳히지만, 그건 곧 풀렸다.
L26092	ふわりとしていて、柔らかかった。きゃしゃのようで、意外に肉付きは悪くない。
>>	폭신하고, 부드러웠다. 가냘픈 듯하면서도, 의외로 살이 잘 붙어 있다.
L26095	首筋に息を吹きかけると、ビクっと身体が痙攣させる。
>>	목덜미에 숨을 불어넣자, 움찔하며 몸이 경련한다.
L26099	［ランファ］：コウジ様‥‥あぁ、コウジ様ぁ‥‥‥。
>>	［란파］：코우지 님‥‥아아, 코우지 님‥‥‥.
L26102	ランファはオレに甘えるように、頬をすり寄せてくる。ただ抱き合っているだけで、こんなにも幸せな気分になるものだろうか。
>>	란파는 내게 애교 부리듯, 볼을 비벼 온다. 그저 안고 있을 뿐인데, 이렇게나 행복한 기분이 드는 걸까.
L26105	そっとランファの唇を自分のでふさいだ。柔らかく、暖かい。オレは構わず舌を奥深く差し込んだ。
>>	살짝 란파의 입술을 내 것으로 막았다. 부드럽고, 따뜻하다. 나는 아랑곳없이 혀를 깊숙이 밀어 넣었다.
L26108	［ランファ］：んっ‥‥んんん‥‥。
>>	［란파］：응‥‥음음음‥‥.
L26111	差し込まれたオレの舌に、ランファは自分の舌を遠慮がちに絡めてきた。オレはその舌を思いきり吸って、自分の口腔へと招き入れる。
>>	밀려 들어온 내 혀에, 란파는 자신의 혀를 망설이며 얽어 왔다. 나는 그 혀를 마음껏 빨아, 내 입안으로 끌어들인다.
L26114	［ランファ］：んぐ‥‥んんんんっ‥‥‥‥。
>>	［란파］：응그‥‥음음음음‥‥‥‥.
L26117	唾液を流し込むと、ランファは喉をならして飲んだ。オレの背中に回されていた手に、力が入る。
>>	침을 흘려 넣자, 란파는 목을 울리며 삼켰다. 내 등에 돌아간 손에, 힘이 들어간다.
L26121	［ランファ］：んはぁぁ、コウジ様ぁ‥‥。
>>	［란파］：음하아아, 코우지 님‥‥.
L26125	［宏治］：柔らかいな、ランファの身体は。
>>	［코지］：부드럽구나, 란파의 몸은.
L26128	さすがに胸や腰などは、あのトレイシーなどには及ばないが、要所要所は意外に肉付きが悪くない。
>>	하긴 가슴이나 허리 등은, 그 트레이시한테는 못 미치지만, 군데군데는 의외로 살이 잘 붙어 있다.
L26131	オレは、腰を抱き寄せて、尻の肉を軽く掴んだ。ふにゃっという柔らかい感触が伝わってくる。
>>	나는, 허리를 끌어안고, 엉덩이 살을 가볍게 움켜쥐었다. 폭신한 부드러운 감촉이 전해져 온다.
L26135	［宏治］：柔らかいね、ランファのお尻。
>>	［코지］：부드럽네, 란파의 엉덩이.
L26138	［ランファ］：もっともっと、揉んで下さい‥‥。
>>	［란파］：더 더, 주물러 주세요‥‥.
L26141	オレは、小さな胸とお尻を抱き寄せながら、彼女の服を丁寧に１枚ずつ、剥いでいった‥‥。
>>	나는, 작은 가슴과 엉덩이를 끌어안으며, 그녀의 옷을 정성스레 한 장씩, 벗겨 나갔다‥‥.
L26145	［宏治］：面白いブラだね。
>>	［코지］：재미있는 브라네.
L26148	［ランファ］：はい、形状記憶合金性のスティールが、中に入っていて、身体の格好に合わせてくれるという‥‥。
>>	［란파］：네, 형상 기억 합금 스틸이, 안에 들어 있어, 몸의 모양에 맞춰 준다고‥‥.
L26152	［宏治］：わ、わかったわかった‥‥。
>>	［코지］：아, 알았어 알았어‥‥.
L26155	［ランファ］：それで、この‥‥んっ！
>>	［란파］：그래서, 이‥‥응!
L26158	オレは盛んに開く可愛らしい唇を、再びオレのでふさいだ。今度は、ランファの方から舌を差し込んでくる。
>>	나는 자꾸 벌어지는 귀여운 입술을, 다시 내 것으로 막았다. 이번엔, 란파 쪽에서 혀를 밀어 넣는다.
L26161	優しく胸元の下着を横にずらしていく。どのような体型にもマッチするそれは、しかしたやすくオレの思い通りに横にずれた。
>>	살며시 가슴의 속옷을 옆으로 밀어 간다. 어떤 체형에도 맞는다는 그게, 그러나 쉽게 내 뜻대로 옆으로 밀렸다.
L26164	可愛らしい小さな乳首を指の腹で転がしてみる。次第に硬くなってコリコリしていくのがわかった。
>>	귀여운 작은 젖꼭지를 손가락 끝으로 굴려 본다. 점차 굳어지며 탱탱해지는 게 느껴졌다.
L26167	［ランファ］：んはぁぁ、気持ちいいです‥‥あん‥‥。
>>	［란파］：음하아아, 기분 좋아요‥‥앙‥‥.
L26170	髪の毛に触れてみる。フワリとした感触が、手のひらに心地よさを伝えてくる。柔らかく、流れるような髪の毛だった。
>>	머리카락에 손을 대 본다. 폭신한 감촉이, 손바닥에 기분 좋음을 전해 온다. 부드럽고, 흐르는 듯한 머리카락이었다.
L26174	［宏治］：じゃあ、邪魔な下着はとっちゃおうな。
>>	［코지］：그럼, 방해되는 속옷은 벗겨 버리자.
L26177	［ランファ］：恥ずかしいですぅ‥‥。
>>	［란파］：부끄러워요‥‥.
L26180	下半身のハイレグショーツを下にずらすと、薄い茂みが姿を現す。触ってみるとサラサラしている。オレのとは大違いだ。
>>	하반신의 하이레그 팬티를 아래로 밀자, 얇은 수풀이 모습을 드러낸다. 만져 보니 사르르하다. 내 것과는 천지 차이다.
L26184	［ランファ］：あン、そこは‥‥あっ、コウジ様ぁ‥‥。
>>	［란파］：앙, 거기는‥‥앗, 코우지 님‥‥.
L26187	膣内はしっとりと湿っていた。オレの指先で、クチャクチャと、湿った音を立てている。
>>	질 안은 촉촉하게 젖어 있었다. 내 손가락 끝으로, 축축, 젖은 소리를 내고 있다.
L26190	［ランファ］：んっ‥‥あぁぁ、もう‥‥あぁぁぁ、ダメですぅ‥‥。
>>	［란파］：응‥‥아아아, 이제‥‥아아아아, 안 돼요‥‥.
L26194	［宏治］：何が、ダメなんだい？
>>	［코지］：뭐가, 안 된다는 거야?
L26197	［ランファ］：お願いですぅ‥‥あぁぁ、お願いしますぅ‥‥。
>>	［란파］：부탁이에요‥‥아아아, 부탁드려요‥‥.
L26201	［宏治］：フフン、何のお願い？
>>	［코지］：후후, 무슨 부탁?
L26204	［ランファ］：ああン、イジワルしないで下さい。欲しいんです、アレが欲しいんですっ！
>>	［란파］：아앙, 못되게 굴지 마세요. 갖고 싶어요, 그게 갖고 싶어요!
L26208	［宏治］：よし、上になってみな。
>>	［코지］：좋아, 위로 올라와 봐.
L26211	むにゅむにゅ‥‥‥‥。
>>	뭉글뭉글‥‥‥‥.
L26215	［ランファ］：あふぅぅぅぅぅっ、コウジ様ぁぁぁぁっ！
>>	［란파］：아후우우우우웃, 코우지이이이이임!
L26219	［宏治］：うわっ、ランファのアソコって、結構ムニュムニュしてるね。
>>	［코지］：우왓, 란파의 거긴, 꽤 말캉말캉하네.
L26222	［ランファ］：ああン！　ムニュムニュしてるんですぅ‥‥もっともっと、エッチなことを言って下さい！
>>	［란파］：아앙!　말캉말캉하고 있어요‥‥더 더, 야한 말 해주세요!
L26226	［宏治］：白い液がアソコから出てるぞ。
>>	［코지］：하얀 액이 거기서 나오고 있어.
L26229	［ランファ］：あぁ、イヤ、ランファ、そんなにエッチじゃありませんっ！
>>	［란파］：아아, 싫어, 란파, 그렇게 야하지 않아요!
L26233	［宏治］：こんなにＨな液を出していて、そんなことを言うのか！
>>	［코지］：이렇게 야한 액을 흘리면서, 그런 말을 하는 거야!
L26236	ずりゅっ、ずりゅっ、ずりゅっ、ずりゅっ。
>>	쭈욱, 쭈욱, 쭈욱, 쭈욱.
L26239	［ランファ］：あはぁぁぁぁ、も、もう‥‥ああぁぁ、凄いっっ！！
>>	［란파］：아하아아아아, 이, 이제‥‥아아아아, 굉장해엣!!
L26243	［宏治］：もっともっと、腰を大きく動かすんだ。
>>	［코지］：더 더, 허리를 크게 움직이는 거야.
L26246	［ランファ］：はい、こうですか‥‥こうですか！？
>>	［란파］：네, 이렇게요‥‥이렇게요!?
L26250	［宏治］：そう‥‥もっと速く！
>>	［코지］：그래‥‥더 빨리!
L26253	［ランファ］：アン、アン、あっ、あっ、も、もう‥‥ダメ‥‥あっ！
>>	［란파］：앙, 앙, 앗, 앗, 이, 이제‥‥안 돼‥‥앗!
L26257	［宏治］：出すぜ。
>>	［코지］：싼다.
L26260	［ランファ］：あぁぁ、ランファ、いっちゃうぅぅぅぅぅぅぅぅぅっ！！！
>>	［란파］：아아아, 란파, 가버려어어어어어어어엇!!!
L26263	ドクドクドクドク、ドクッ、ドクッ‥‥。
>>	울컥울컥울컥울컥, 울컥, 울컥‥‥.
L26267	［ランファ］：あはぁぁぁぁぁぁ‥‥コウジ様ぁぁぁ‥‥。
>>	［란파］：아하아아아아아아‥‥코우지이이이임‥‥.
L26270	ドクドク、ドクッ、ドクッ‥‥‥‥。
>>	울컥울컥, 울컥, 울컥‥‥‥‥.
L26273	［ランファ］：あふっ、んく、あぁぁ、んんん‥‥いやん、ビクビクしてるぅ‥‥。
>>	［란파］：아훗, 응크, 아아아, 으으음‥‥싫어앙, 펄떡이고 있어요‥‥.
L26277	［宏治］：すげぇ締め付けだなぁ‥‥ま、まさか処女とか？
>>	［코지］：엄청 조이네‥‥마, 설마 처녀인가?
L26281	［ランファ］：んもう、プリプリですぅ、処女はコウジ様に捧げましたっ！
>>	［란파］：으이그, 아직 탱탱해요우, 처녀는 코우지 님께 바쳤어요!
L26285	［宏治］：そ、そうだったか‥‥‥‥うーむ‥‥‥‥。
>>	［코지］：그, 그랬나‥‥‥‥으음‥‥‥‥.
L26289	［宏治］：ランファさ、処女をコウジに捧げたって言ってたよな。
>>	［코지］：란파 말이야, 처녀를 코우지에게 바쳤다고 했었지.
L26292	［ランファ］：はい‥‥ポッ。
>>	［란파］：네‥‥발그레.
L26296	［宏治］：いつも、こんなことしていたの？
>>	［코지］：늘 이런 걸 해 왔던 거야?
L26299	［ランファ］：そんなぁ‥‥エイレートが初めてで、今回が２回目ですぅ。
>>	［란파］：그런‥‥에이레이트가 처음이고, 이번이 두 번째예요.
L26303	［宏治］：に、２回目！？　２回目であんな大胆な‥‥。
>>	［코지］：드, 두 번째!?　두 번째에 그렇게 대담한 짓을‥‥.
L26307	［ランファ］：コウジ様を‥‥その‥‥。
>>	［란파］：코우지 님을‥‥그‥‥.
L26310	やや物怖じしたような表情を浮かべながら、ランファはオレを見つめている。
>>	다소 주눅 든 듯한 표정을 띠며, 란파는 나를 바라보고 있다.
L26314	［宏治］：‥‥なんだい？
>>	［코지］：‥‥뭔데?
L26317	［ランファ］：その‥‥‥‥。
>>	［란파］：그‥‥‥‥.
L26321	［宏治］：どうしたのさ。
>>	［코지］：왜 그래.
L26324	今のランファは、叱られやしないかと、言い出せずにいる子供という感じだった。
>>	지금의 란파는, 혼나지 않을까 싶어 말을 못 꺼내는 아이 같은 느낌이었다.
L26327	ピンときたオレは、顔に笑みを浮かべて、
>>	감이 온 나는, 얼굴에 미소를 띠고,
L26331	［宏治］：別に怒りやしないから、言ってごらん。
>>	［코지］：딱히 화내지 않을 테니까, 말해 봐.
L26334	［ランファ］：好きって言ってしまって、構いませんか？
>>	［란파］：좋아한다고 말해 버려도, 괜찮을까요?
L26338	［宏治］：‥‥えっ？　な、なんで？
>>	［코지］：‥‥엇?　어, 어째서?
L26341	［ランファ］：構いませんか？
>>	［란파］：괜찮을까요?
L26344	ともすれば厳しすぎるくらいの顔で、ランファはオレに質問をした。
>>	자칫 너무 엄해 보일 정도의 얼굴로, 란파는 내게 물었다.
L26348	［宏治］：その‥‥全然、構わないと思うけど‥‥。
>>	［코지］：그‥‥전혀, 상관없다고 생각하는데‥‥.
L26352	［ランファ］：ンフフ‥‥コウジ様、好きですっ、きゃっ！
>>	［란파］：후후후‥‥코우지 님, 좋아해요, 꺄앗!
L26355	彼女は両手を頬に当てて、左右に身体を振っている。いったいどうしたというのだ。
>>	그녀는 두 손을 뺨에 대고, 좌우로 몸을 흔들고 있다. 대체 어떻게 된 거지.
L26359	［宏治］：ど、どうしたの？
>>	［코지］：어, 어떻게 된 거야?
L26362	［ランファ］：好きって言ったのって、本当に久々で‥‥感激してるんですぅ。
>>	［란파］：좋아한다고 말한 게, 정말 오랜만이라‥‥감격하고 있는 거예요.
L26366	［宏治］：なんで？
>>	［코지］：어째서?
L26370	［ランファ］：だって、コウジ様、好きって言うなって言うから‥‥。
>>	［란파］：그야, 코우지 님이 좋아한다고 말하지 말라고 하셔서‥‥.
L26374	［宏治］：（な、何てやつだ‥‥コウジのやつ、処女まで奪っておきながら‥‥。）
>>	［코지］：（무, 무슨 놈이야‥‥코우지 녀석, 처녀까지 빼앗아 놓고선‥‥.）
L26378	［宏治］：ま、あれだね。
>>	［코지］：뭐, 그거겠지.
L26382	［ランファ］：それは、コウジ様の自信のなせるワザですね。もうすぐ、ビアンカさんのシップに追いつきますよ。
>>	［란파］：그건 코우지 님의 자신감 덕분이네요. 이제 곧 비앙카 씨의 함선을 따라잡을 거예요.
L26386	［ランファ］：さぁ、コウジ様って、本当に凄く予想外の事をするヒトでしたしぃ‥‥。
>>	［란파］：글쎄요, 코우지 님은 정말 굉장히 예상 밖의 일을 하는 분이었으니까요‥‥.
L26389	［ランファ］：はい、奇計とか奇策とか、よく相手に言われてました。
>>	［란파］：네, 기발한 계략이니 기묘한 책략이니, 상대한테 자주 그런 소리를 들었어요.
L26392	［ランファ］：何を考えてるんですか？
>>	［란파］：무슨 생각 하세요?
L26395	［ランファ］：もちろん、知ってます。だって、ビアンカさんは‥‥。
>>	［란파］：물론, 알고 있어요. 그야, 비앙카 씨는‥‥.
L26398	［ランファ］：どうしましたんですか？
>>	［란파］：무슨 일 있으세요?
L26401	［ランファ］：さっすがぁ。バッチグーですねっ！
>>	［란파］：역시 대단하세요오. 완벽해요!
L26405	［ランファ］：それでこそ、コウジ様ですっ。
>>	［란파］：그래야 코우지 님이죠.
L26409	［ビアンカ］：フハハ、よく来たな、コウジ。
>>	［비앙카］：후하하, 잘 왔군, 코우지.
L26412	［ビアンカ］：フッ、私の姿に臆したか。
>>	［비앙카］：훗, 내 모습에 겁먹었나.
L26416	［宏治］：まあ、確かにその姿を見れば、誰でもびっくりするだろうな‥‥。
>>	［코지］：뭐, 확실히 그 모습을 보면 누구든 놀라겠지‥‥.
L26419	［ビアンカ］：フッ、あまりに遅いので、待ちわびだぞ。
>>	［비앙카］：훗, 너무 늦어서 기다리다 지쳤다.
L26423	［宏治］：何だか、来るのが分かっていたような口振りだな。
>>	［코지］：어쩐지, 내가 올 걸 알고 있었다는 말투로군.
L26426	［ビアンカ］：そうだ、貴様と再び闘うためにな‥‥貴様の奴隷らの言い分だと、貴様はあのとき本調子では無かったと言うではないか。
>>	［비앙카］：그렇다, 네놈과 다시 싸우기 위해서다‥‥네놈의 노예들 말로는, 네놈은 그때 제 실력이 아니었다고 하지 않느냐.
L26430	［宏治］：まぁ、本来のコウジではないって意味じゃ、そうだな。
>>	［코지］：뭐, 본래의 코우지가 아니라는 의미라면, 그렇지.
L26433	［ビアンカ］：フン、何度闘っても同じだと思うが、貴様にそう思われるのもしゃくだ。
>>	［비앙카］：흥, 몇 번을 싸워도 마찬가지라고 보지만, 네놈이 그리 여기는 것도 아니꼽다.
L26437	［宏治］：お心遣い、痛み入りますね。
>>	［코지］：배려에, 몸 둘 바를 모르겠군요.
L26441	［宏治］：（もうすぐ時間か‥‥。）
>>	［코지］：（이제 곧 시간인가‥‥.）
L26444	［ビアンカ］：では‥‥。
>>	［비앙카］：그럼‥‥.
L26448	［宏治］：あっ、ちょっとタンマ。
>>	［코지］：앗, 잠깐 타임.
L26451	［ビアンカ］：貴様、この期におよんで‥‥。
>>	［비앙카］：네놈, 이 마당에 와서‥‥.
L26455	［宏治］：そうじゃなくて‥‥いやぁ、本日はお日柄もよく‥‥。
>>	［코지］：그게 아니라‥‥아니, 오늘은 날씨도 좋고‥‥.
L26458	［ビアンカ］：貴様、私を愚弄するかっ！？
>>	［비앙카］：네놈, 나를 우롱하는 것이냐!?
L26462	［宏治］：ぐ、ぐろーなんて、とんでもないってば。ただ、今はまだ‥‥そう、本調子じゃなくて‥‥。
>>	［코지］：우, 우롱이라니, 당치도 않다니까. 다만, 지금은 아직‥‥그래, 제 실력이 아니라서‥‥.
L26465	［ビアンカ］：では、いつなら本調子なのだ？
>>	［비앙카］：그럼, 언제라면 제 실력인 것이냐?
L26469	［宏治］：そうだな、あと５分くらい、かな？
>>	［코지］：글쎄, 앞으로 ５분쯤인가?
L26472	［ビアンカ］：貴様ぁ、やはり私を愚弄しているなっ！
>>	［비앙카］：네놈, 역시 나를 우롱하고 있구나!
L26476	［宏治］：ほ、本当だってば！
>>	［코지］：저, 정말이라니까!
L26479	ビシィィィッッ！！！
>>	철써어어억!!!
L26483	［宏治］：ちょ、ちょっと今のは効いたぞ。
>>	［코지］：바, 방금 건 좀 아팠다고.
L26486	［ビアンカ］：オーッホホホ！　当たり前だ、効かなくては武器にならないではないか。
>>	［비앙카］：오호호호!　당연하지, 먹히지 않으면 무기가 아니지 않느냐.
L26489	ビシィ、ビシィ！
>>	철써억, 철써억!
L26493	［宏治］：いたっ、いたっ‥‥痛いってば！
>>	［코지］：아야, 아야‥‥아프다니까!
L26496	［ビアンカ］：このぉ、私の恨みがわかってたまるかっ！
>>	［비앙카］：이것이, 내 원한을 알 리가 있겠느냐!
L26500	［宏治］：うわっ、やめっ‥‥やめろってば！
>>	［코지］：우왓, 그만‥‥그만하라니까!
L26503	［ビアンカ］：よけるなっ、当たらないではないか！
>>	［비앙카］：피하지 마라, 맞지 않잖느냐!
L26507	［宏治］：当たらないために、よけてるんだよっ！
>>	［코지］：맞지 않으려고 피하는 거잖아!
L26510	［ビアンカ］：いや違う、お前がよけるから当たらないんだ。
>>	［비앙카］：아니 틀렸다, 네가 피하니까 안 맞는 것이다.
L26514	［宏治］：なに言ってるんだよ、ビアンカ。
>>	［코지］：무슨 소리야, 비앙카.
L26518	［宏治］：《コウジ！　おい、コウジ！》
>>	［코지］：《코우지!　어이, 코우지!》
L26522	［宏治］：《寝てるのかよ、この、うすらトンカチ！》
>>	［코지］：《자는 거냐, 이, 얼간망치야!》
L26526	［コウジ］：《何語だ？　その、うすらトンカチとは。》
>>	［코우지］：《어느 나라 말이냐?　그, 얼간망치라는 건.》
L26530	［宏治］：《褒め言葉だ。》
>>	［코지］：《칭찬하는 말이다.》
L26534	［コウジ］：《ふむ、ではありがとうと言っておこう。》
>>	［코우지］：《흠, 그럼 고맙다고 해 두지.》
L26538	［宏治］：《こいつ‥‥。》
>>	［코지］：《이 자식‥‥.》
L26542	［コウジ］：《まあ、いいタイミングと言えるだろう。》
>>	［코우지］：《뭐, 좋은 타이밍이라 할 수 있겠지.》
L26546	［宏治］：《遅いんだよ！》
>>	［코지］：《늦잖아!》
L26550	［コウジ］：《こちらにも、色々と都合があるのでな。》
>>	［코우지］：《이쪽에도, 이런저런 사정이 있어서 말이다.》
L26554	［宏治］：《さっさと、シンクロとやらをしろ！》
>>	［코지］：《얼른, 싱크로인지 뭔지를 해라!》
L26558	［コウジ］：《うむ、まず心を落ちつけ、思考を安定させろ。》
>>	［코우지］：《음, 우선 마음을 가라앉히고, 사고를 안정시켜라.》
L26562	［宏治］：《心を落ちつけ、思考を安定させるんだな。よし。》
>>	［코지］：《마음을 가라앉히고, 사고를 안정시키라는 거지. 좋아.》
L26566	［宏治］：‥‥‥‥‥‥‥‥‥うひっ。
>>	［코지］：‥‥‥‥‥‥‥‥‥우힛.
L26570	［コウジ］：《誰がファルネリアの裸を思い浮かべろと言った。》
>>	［코우지］：《누가 파르네리아의 알몸을 떠올리라고 했나.》
L26574	［宏治］：《しょうがないだろう、何も考えないようにすると、何か考えちゃうんだよ。》
>>	［코지］：《어쩔 수 없잖아, 아무것도 생각 안 하려고 하면 뭔가 떠오른다고.》
L26578	［コウジ］：《私は心を落ちつけろと言っただけだ。何も考えるなとは、言っていない。》
>>	［코우지］：《나는 마음을 가라앉히라고 했을 뿐이다. 아무것도 생각 말라고는 안 했다.》
L26582	［宏治］：《じゃあどうやって心を落ちつけるんだよ。》
>>	［코지］：《그럼 어떻게 마음을 가라앉히라는 건데.》
L26586	［コウジ］：《そうだな、意外に難しい問題だ。》
>>	［코우지］：《그렇군, 의외로 어려운 문제다.》
L26589	［ビアンカ］：何をゴチャゴチャ言ってるんだい、そらそら、どうした！
>>	［비앙카］：뭘 그렇게 중얼중얼대는 거야, 자자, 왜 그래!
L26593	［コウジ］：《少しは避ける努力をしろ。このままでは、いくら私の強靭な肉体とて‥‥。》
>>	［코우지］：《조금은 피하려고 노력해라. 이대로는 아무리 나의 강인한 육체라도‥‥.》
L26597	［宏治］：《避けようとしてるぞ！　だが、上手く避けられないだけだ。》
>>	［코지］：《피하려고 하고 있다고!　다만 잘 피해지지 않을 뿐이야.》
L26601	［コウジ］：《やはり、宿る精神が脆弱なれば‥‥。》
>>	［코우지］：《역시, 깃든 정신이 나약하면‥‥.》
L26605	［宏治］：《そんな講釈はどうでもいい。さっさとシンクロをしろっての。》
>>	［코지］：《그런 장광설은 아무래도 좋아. 얼른 싱크로나 하라고.》
L26609	［コウジ］：《その前に、心を落ちつけてだな‥‥。》
>>	［코우지］：《그 전에, 마음을 가라앉히고 말이지‥‥.》
L26613	［宏治］：《禅問答をやってるんじゃないんだ！　さっさとしろ。》
>>	［코지］：《선문답 하는 게 아니라고!　얼른 해.》
L26617	［コウジ］：《うむ、では荒っぽいが、いくぞ！》
>>	［코우지］：《음, 그럼 거칠지만, 간다!》
L26621	［宏治］：《おう！　フェード、イン！！》
>>	［코지］：《오냐!　페이드, 인!!》
L26625	［コウジ］：《‥‥なんだ、それは。》
>>	［코우지］：《‥‥뭐냐, 그건.》
L26629	［宏治］：《ノリの悪いヤツだな。ＯＫというオレの時代の俗語だよ！》
>>	［코지］：《분위기 못 맞추는 녀석이군. ＯＫ라는 뜻의 내 시대 속어야!》
L26633	［コウジ］：《うむ、ではいくぞ。》
>>	［코우지］：《음, 그럼 간다.》
L26637	［宏治］：（な、なんだ‥‥凄い感覚が‥‥。）
>>	［코지］：（뭐, 뭐지‥‥굉장한 감각이‥‥.）
L26641	［宏治］：（身体が何倍にも大きくなったような感じだ‥‥これが‥‥。）
>>	［코지］：（몸이 몇 배로 커진 것 같은 느낌이다‥‥이게‥‥.）
L26645	［宏治］：（これが、コウジの思念‥‥？）
>>	［코지］：（이게, 코우지의 사념‥‥?）
L26649	［コウジ］：久々だな、ビアンカ。
>>	［코우지］：오랜만이군, 비앙카.
L26652	［ビアンカ］：フン、やっとその気になったか。
>>	［비앙카］：흥, 드디어 그럴 마음이 들었나.
L26656	［コウジ］：１秒でカタをつける。さっさと掛かってこい。
>>	［코우지］：１초에 끝내주지. 어서 덤벼라.
L26659	［ビアンカ］：ざけんなっ！　昔の私と一緒にするんじゃないよっ！！
>>	［비앙카］：웃기지 마!　옛날의 나랑 똑같이 보지 마!!
L26663	［コウジ］：いちっ！！！
>>	［코우지］：하나!!!
L26666	［ビアンカ］：な、何の‥‥真似だ‥‥。
>>	［비앙카］：무, 무슨‥‥짓이냐‥‥.
L26670	［宏治］：うん、何の真似だろうな。
