# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L7202	［コウジ］：まさか君が、このシップを‥‥‥‥。
>>	［마이］：코지 상이, 그 무슨 무슨 실에서 손에 넣은, 마이크로 디스크요.
L7335	［舞］：ディスクの再生ができると、いいですね。
>>	［마이］：디스크를 재생할 수 있으면, 좋겠네요.
L7339	［宏治］：だって‥‥ゆ、夢だろう？
>>	［코지］：하지만‥‥꾸, 꿈이잖아?
L7342	［舞］：フフ、夢の中で出来たら面白いかなって、思ったんです。
>>	［마이］：후후, 꿈속에서 할 수 있으면 재미있겠다고, 생각했어요.
L7345	［舞］：どうかなさいましたか？
>>	［마이］：무슨 일 있으세요?
L7349	［宏治］：そ、そんな‥‥‥‥。
>>	［코지］：그, 그런‥‥‥‥.
L7352	［舞］：‥‥？
>>	［마이］：‥‥?
L7356	［宏治］：そんなことまで、話したかな、僕。
>>	［코지］：그런 것까지, 이야기했었나, 내가.
L7360	［舞］：どうしたんですか？　宏治サン‥‥。
>>	［마이］：무슨 일이세요?　코지 상‥‥.
L7363	本当に、一体どうしたというんだ、僕は‥‥‥‥。
>>	정말로, 대체 어떻게 된 걸까, 나는‥‥‥‥.
L7366	記憶が、妙に曖昧だった。僕は今、舞とこうして話をしている。それは恐らく真実だろう‥‥。
>>	기억이, 묘하게 애매했다. 나는 지금, 마이와 이렇게 이야기하고 있다. 그건 아마 사실이겠지‥‥.
L7369	僕がここに来てから、いったいどのくらいの時間が過ぎたのだろうか‥‥。
>>	내가 여기 온 뒤로, 대체 얼마나 시간이 흐른 걸까‥‥.
L7372	今日は、いったい何日の何曜日なのか‥‥‥‥。
>>	오늘은, 대체 며칠이고 무슨 요일인가‥‥‥‥.
L7376	［舞］：お疲れのようですね、宏治サン‥‥。
>>	［마이］：피곤하신 모양이네요, 코지 상‥‥.
L7380	［宏治］：うん、どうも疲れてるみたいだよ、本当に。
>>	［코지］：응, 아무래도 지친 모양이야, 정말로.
L7383	［舞］：自室に戻られたら、どうですか？
>>	［마이］：방으로 돌아가시는 게, 어떠세요?
L7387	［宏治］：そうした方が、良さそうな気が‥‥‥‥。
>>	［코지］：그러는 편이, 좋을 것 같은 기분이‥‥‥‥.
L7390	［女性の声］：舞さん、ここにいたの。
>>	［여자 목소리］：마이 씨, 여기 있었구나.
L7394	［涼子］：あら、宏治クンも一緒だったのね。
>>	［료코］：어머, 코지 군도 함께였구나.
L7397	［舞］：先生‥‥‥‥。
>>	［마이］：선생님‥‥‥‥.
L7400	［涼子］：さぁ、カウンセリングの時間よ。
>>	［료코］：자, 카운슬링 시간이야.
L7403	［舞］：はい‥‥‥‥。
>>	［마이］：네‥‥‥‥.
L7406	舞は消え入りそうなか細い声で返事をすると、涼子の後にトコトコと付いていく。
>>	마이는 꺼질 듯 가냘픈 목소리로 대답하고는, 료코의 뒤를 종종걸음으로 따라간다.
L7410	［宏治］：舞さん。
>>	［코지］：마이 씨.
L7414	［宏治］：舞さん、その‥‥‥‥。
>>	［코지］：마이 씨, 저기‥‥‥‥.
L7418	［舞］：宏治サン、また聞かせて下さいね。
>>	［마이］：코지 상, 또 들려주세요.
L7422	［宏治］：えっ？　あ、ああ‥‥。
>>	［코지］：엣?　아, 아아‥‥.
L7426	［宏治］：舞さん‥‥‥‥。
>>	［코지］：마이 씨‥‥‥‥.
L7429	静寂だけが残った‥‥。
>>	정적만이 남았다‥‥.
L7432	都会の雑踏とは無縁のこの場所は、夜になると木々の音が遠くから聞こえてくるだけになる。
>>	도시의 번잡함과는 무관한 이곳은, 밤이 되면 멀리서 나무들의 소리가 들려올 뿐이다.
L7435	ときおり、季節外れの虫の音が、かすかに聞こてくるだけだった。
>>	이따금, 철 지난 벌레 소리가, 희미하게 들려올 뿐이었다.
L7438	暗く沈んだ外に、あかりはほとんど存在しない。遠くの方で、宝石のようにきらめく光が、幻想的だった。
>>	어둡게 가라앉은 바깥에, 불빛은 거의 없다. 저 멀리서, 보석처럼 반짝이는 빛이, 환상적이었다.
L7442	［宏治］：（幻想的だな‥‥まるで‥‥‥‥。）
>>	［코지］：（환상적이군‥‥마치‥‥‥‥.）
L7445	夢のようだと思いかけて、はっと気付いた。
>>	꿈 같다고 생각하려다, 퍼뜩 깨달았다.
L7448	夢‥‥‥？
>>	꿈‥‥‥?
L7451	暗く寒々とした屋上で、僕はそんなことを考えていた‥‥。
>>	어둡고 스산한 옥상에서, 나는 그런 생각을 하고 있었다‥‥.
L7454	あたりは静かだった。ここへやって来るまで、誰にもすれ違わず、動く者は僕以外にいそうもなかった。
>>	주위는 조용했다. 여기 오기까지, 아무와도 마주치지 않았고, 움직이는 자는 나 말고는 없을 듯했다.
L7457	もともと、この医療センターは人が多い方ではなかった。時間を考えれば当然と言えるかもしれないが、受付に誰もいないというのはどういうことだろうか。
>>	원래, 이 의료 센터는 사람이 많은 편이 아니었다. 시간을 생각하면 당연하다 할 수도 있겠지만, 접수처에 아무도 없다는 건 어찌 된 일일까.
L7461	［宏治］：（夢の風景みたいだな‥‥。）
>>	［코지］：（꿈속 풍경 같군‥‥.）
L7464	いや、これは現実だ‥‥現に、今こうして誰にも会わなかったじゃないか‥‥。
>>	아니, 이건 현실이다‥‥실제로, 지금 이렇게 아무도 만나지 않았잖은가‥‥.
L7467	そうだ、これが現実にあり得るのかという疑問は、現実からの逃避に過ぎない‥‥そう考えた時点で、この現状を否定している。
>>	그렇다, 이것이 현실에 있을 수 있냐는 의문은, 현실 도피에 지나지 않는다‥‥그렇게 생각한 시점에서, 이 현 상황을 부정하고 있다.
L7470	僕はそう考えると、誰もいない廊下を歩きだした。
>>	나는 그렇게 생각하고는, 아무도 없는 복도를 걷기 시작했다.
L7473	本当に静かだった‥‥静寂の音が聞こえてきそうな、そんな感じだ。
>>	정말로 조용했다‥‥정적의 소리가 들려올 듯한, 그런 느낌이다.
L7476	自分の耳がおかしくなったのではなかった。現に、こうして足音は聞こえてくる。
>>	내 귀가 이상해진 것은 아니었다. 실제로, 이렇게 발소리는 들려온다.
L7479	だがしかし、全く何の音もない医療センターなど、あり得るのだろうか‥‥？
>>	그러나, 아무 소리도 없는 의료 센터 따위가, 있을 수 있는 걸까‥‥?
L7482	いや、その疑問それ自体が、現実からの逃避なんだ。僕はもう一度、念を押した。現に僕はここにいて、無音の、誰もいない廊下をこうして歩いているじゃないか。
>>	아니, 그 의문 자체가, 현실 도피다. 나는 다시 한 번, 되뇌었다. 실제로 나는 여기 있고, 소리 없는, 아무도 없는 복도를 이렇게 걷고 있잖은가.
L7485	そう自分に言い聞かせると、自室へと歩を進めていった‥‥。
>>	그렇게 스스로를 타이르고는, 내 방으로 발걸음을 옮겨 갔다‥‥.
L7488	部屋の前へやってくると、妙な事に気付いた。
>>	방 앞에 다다르자, 묘한 것을 알아차렸다.
L7491	ドアがうっすらと開いていて、その隙間から細い光が、薄暗い廊下に洩れている。部屋に誰かいる‥‥？
>>	문이 살짝 열려 있어, 그 틈으로 가느다란 빛이, 어둑한 복도로 새어 나오고 있다. 방에 누군가 있다‥‥?
L7495	［宏治］：（以前も、こんな状況に出会ったような‥‥‥‥。）
>>	［코지］：（전에도, 이런 상황을 겪었던 것 같은‥‥‥‥.）
L7498	最近、立て続けに起こるこの既視感覚に、僕はめまいにも似た感覚を抱いていた。
>>	요즘, 잇달아 일어나는 이 기시감각에, 나는 현기증에 가까운 감각을 느끼고 있었다.
L7501	おかしい‥‥‥‥。
>>	이상하다‥‥‥‥.
L7504	僕は自室のドアのノブにかけた手を、そっと戻した‥‥。
>>	나는 내 방 문손잡이에 얹었던 손을, 슬며시 거두었다‥‥.
L7507	　◆ 部屋に入るのは、待った方がいいかもしれない‥‥。
>>	　◆ 방에 들어가는 건, 미루는 편이 좋을지도 모른다‥‥.
L7510	　◆ いや、このまま部屋に入ってみよう。
>>	　◆ 아니, 이대로 방에 들어가 보자.
L7513	部屋に入るのは、待った方がいいかもしれない‥‥。
>>	방에 들어가는 건, 미루는 편이 좋을지도 모른다‥‥.
L7516	何故そう思ったのか、自分でもわからない。直感、という言葉が相応しいかもしれなかった。
>>	어째서 그렇게 생각했는지, 나 자신도 모르겠다. 직감이라는 말이 어울릴지도 몰랐다.
L7520	［宏治］：（そういえば、舞さんたち、どこへ行ったんだろう‥‥。）
>>	［코지］：（그러고 보니, 마이 씨 일행은, 어디로 갔을까‥‥.）
L7524	［宏治］：（例の、コンピュータルームだろうか‥‥？）
>>	［코지］：（예의 그, 컴퓨터룸일까‥‥?）
L7527	そんな風に考えていたとき‥‥‥‥。
>>	그런 식으로 생각하고 있을 때‥‥‥‥.
L7530	プルルルル‥‥‥‥プルルルル‥‥‥‥。
>>	따르르르릉‥‥‥‥따르르르릉‥‥‥‥.
L7534	［宏治］：（な、なんだ‥‥。）
>>	［코지］：（뭐, 뭐지‥‥.）
L7537	それが自室から聞こえてくる電話の音だと、僕はなかなか気付かなかった。
>>	그것이 내 방에서 들려오는 전화 소리라는 걸, 나는 좀처럼 알아차리지 못했다.
L7540	電話の音だと認識してから、さらに数秒ほど、僕は思考は止まっていた。
>>	전화 소리라고 인식하고 나서도, 다시 몇 초쯤, 내 사고는 멈춰 있었다.
L7544	［宏治］：（電話‥‥いったい、誰から‥‥？）
>>	［코지］：（전화‥‥대체, 누구한테서‥‥?）
L7547	そう考えると同時に、僕は部屋の中へと入っていた。
>>	그렇게 생각함과 동시에, 나는 방 안으로 들어서 있었다.
L7550	電話に出れば、他の人間の存在を感じられる‥‥その思いは、意外に弱くなかったようだった。
>>	전화를 받으면, 다른 인간의 존재를 느낄 수 있다‥‥그 마음은, 의외로 약하지 않았던 모양이다.
L7553	部屋には誰もいなかった‥‥僕は電話のところへまっすぐ進むと、一呼吸おいてから、受話器を耳にあてた。
>>	방에는 아무도 없었다‥‥나는 전화기 쪽으로 곧장 나아가, 한 호흡 두고서, 수화기를 귀에 댔다.
L7556	いや、このまま部屋に入ってみよう。
>>	아니, 이대로 방에 들어가 보자.
L7559	誰かが居たらいたで、訪問の理由を聞けばいいのだし、居なければいないで、僕は自室で寝るだけだ。
>>	누군가 있으면 있는 대로 찾아온 이유를 물으면 되고, 없으면 없는 대로 나는 내 방에서 잘 뿐이다.
L7562	どちらにしても、部屋に入らない理由は何もないようだし、この際白黒つけるのも合理的だろう。
>>	어느 쪽이든, 방에 들어가지 않을 이유는 없어 보이고, 이참에 흑백을 가리는 것도 합리적이겠지.
L7565	第一、自分にあてがわれた部屋へ入れないというのが、しゃくに触る。
>>	애초에, 나에게 배정된 방에 들어가지 못한다는 게 부아가 치민다.
L7568	そんな風に考えると、僕はドアのノブをつかみ、そっと手前に引いてみた。
>>	그렇게 생각하자, 나는 문손잡이를 잡고, 살며시 앞으로 당겨 보았다.
L7571	キーーーー‥‥‥‥。
>>	끼이이이‥‥‥‥.
L7574	今度、潤滑油でも買ってこないと‥‥そんなつまらないことを考えながら、僕は部屋へ入っていった‥‥。
>>	다음에 윤활유라도 사 와야겠다‥‥그런 시시한 생각을 하며, 나는 방으로 들어갔다‥‥.
L7577	部屋には誰もいないようだ‥‥電気は、単に僕の消し忘れだったのだろう。
>>	방에는 아무도 없는 것 같다‥‥불은, 그냥 내가 끄는 걸 잊었던 거겠지.
L7580	やけに静かだ‥‥気味が悪いくらいに‥‥。
>>	유난히 조용하다‥‥으스스할 만큼‥‥.
L7583	ふと前を見ると、戸棚の上にテレビがデンとのっかっている。
>>	문득 앞을 보니, 수납장 위에 텔레비전이 떡하니 놓여 있다.
L7587	［宏治］：（テレビでも付けて、気を紛らわすかな‥‥。）
>>	［코지］：（텔레비전이라도 켜서, 기분을 달래 볼까‥‥.）
L7590	だが得てしてこういう時に限って、リモコンが見あたらない。
>>	그런데 꼭 이럴 때만, 리모컨이 보이지 않는다.
L7593	しかもこのテレビは、リモコンのみの操作を受け付けるタイプだった。
>>	게다가 이 텔레비전은, 리모컨으로만 조작되는 타입이었다.
L7597	［宏治］：（ちぇっ、まあいいさ‥‥。）
>>	［코지］：（쳇, 뭐 됐어‥‥.）
L7600	僕は手を首の後ろで組むと、ベッドへ仰向けに横たわった。柔らかくて、居心地が悪くない。
>>	나는 목 뒤로 손깍지를 끼고, 침대에 반듯이 누웠다. 푹신해서, 나쁘지 않은 기분이다.
L7604	［宏治］：（このまま眠ってしまおうかな‥‥そうさ、眠って楽しい夢でもみて‥‥‥‥‥‥。）
>>	［코지］：（이대로 잠들어 버릴까‥‥그래, 잠들어서 즐거운 꿈이라도 꾸고‥‥‥‥‥‥.）
L7608	［宏治］：‥‥！？
>>	［코지］：‥‥!?
L7612	［宏治］：で、電話だ‥‥こんな夜に、いったい誰が‥‥。
>>	［코지］：저, 전화다‥‥이런 밤에, 대체 누가‥‥.
L7615	静寂を打ち破るように、無機質な電話の音が部屋中に響きわたる。僕は心臓の動悸が速くなっていくのを感じていた‥‥。
>>	정적을 깨뜨리듯, 삭막한 전화 소리가 방 안에 울려 퍼진다. 나는 심장의 고동이 빨라지는 것을 느끼고 있었다‥‥.
L7619	［宏治］：や、やっぱり出るのが普通だよな‥‥。
>>	［코지］：여, 역시 받는 게 보통이겠지‥‥.
L7622	妙な納得の仕方をしながら、僕はゆっくりと受話器を耳にあてた‥‥。
>>	묘한 방식으로 스스로를 납득시키며, 나는 천천히 수화기를 귀에 댔다‥‥.
L7626	［恵］：宏治‥‥？
>>	［메구미］：코지‥‥?
L7630	［宏治］：恵か？
>>	［코지］：메구미야?
L7633	妙な雑音と共に聞こえてきたのは、恵の声だった。いったい、どこにいるんだろうか。
>>	묘한 잡음과 함께 들려온 것은, 메구미의 목소리였다. 대체, 어디 있는 걸까.
L7636	もっとも意外な相手に、やや安堵もする。不安が取り除かれた僕の声は、少し高揚していたかも知れない。
>>	가장 뜻밖의 상대라, 조금 안도하기도 한다. 불안이 걷힌 내 목소리는, 조금 들떠 있었을지도 모른다.
L7640	［宏治］：雑音が多いけど、どこにいるんだい。
>>	［코지］：잡음이 심한데, 어디 있는 거야.
L7643	［恵］：この医療センターの中よ‥‥。
>>	［메구미］：이 의료 센터 안이야‥‥.
L7647	［宏治］：なんだ、それだったらここに‥‥。
>>	［코지］：뭐야, 그럼 여기로‥‥.
L7651	［恵］：いいから聞いて頂戴、宏治。
>>	［메구미］：됐으니까 들어, 코지.
L7655	［宏治］：フフン、愛の告白かい？
>>	［코지］：흐흥, 사랑 고백이라도 하려고?
L7658	［恵］：冗談言わないで、すぐにそこを出るのよ。
>>	［메구미］：농담하지 말고, 당장 거기서 나와.
L7662	［宏治］：なっ‥‥ど、どういうこと？
>>	［코지］：뭐‥‥무, 무슨 소리야?
L7665	［恵］：訳は後で話すわ。そこにいたら、あなたは‥‥。
>>	［메구미］：사정은 나중에 얘기할게. 거기 있으면, 넌‥‥.
L7669	［宏治］：えっ‥‥？　よく聞こえないけど‥‥。
>>	［코지］：어‥‥?　잘 안 들리는데‥‥.
L7672	［恵］：あなたの頭は、無茶苦茶よ！
>>	［메구미］：네 머리는, 엉망진창이야!
L7676	［宏治］：ぼ、僕の頭が‥‥それはちょっと、酷いんじゃないか？
>>	［코지］：내, 내 머리가‥‥그건 좀, 너무한 거 아냐?
L7679	［恵］：バカ！　冗談じゃないのよ、あのマインドコントール・マシンには‥‥‥‥。
>>	［메구미］：바보!　농담이 아니야, 그 마인드 컨트롤 머신에는‥‥‥‥.
L7683	［宏治］：恵？　ゴメン、よく聞こえないんだ。
>>	［코지］：메구미?　미안, 잘 안 들려.
L7687	［宏治］：おい‥‥恵？　どうしたんよ。
>>	［코지］：이봐‥‥메구미?　무슨 일이야.
L7689	［恵］：や、やめ‥‥‥‥<$0C>きゃぁぁっっ！！！
>>	［메구미］：그, 그만‥‥‥‥<$0C>꺄아아앗!!!
L7693	［宏治］：め、恵‥‥じょ、冗談だろう？　おい、恵！？
>>	［코지］：메, 메구미‥‥노, 농담이지?　이봐, 메구미!?
L7696	しかし、恵の声はもう聞こえてこない。電話は無機質な発信音を、僕の耳に届けるだけだった‥‥。
>>	하지만, 메구미의 목소리는 더 이상 들려오지 않는다. 전화는 삭막한 발신음을, 내 귀에 전할 뿐이었다‥‥.
L7700	［宏治］：（いったい何が起きたんだ‥‥！？　恵‥‥‥‥‥‥。）
>>	［코지］：（대체 무슨 일이 일어난 거야‥‥!?　메구미‥‥‥‥‥‥.）
L7704	［宏治］：（ここから早く出ろって、急にいったい‥‥。）
>>	［코지］：（여기서 빨리 나가라니, 갑자기 대체‥‥.）
L7708	［宏治］：（僕の頭が無茶苦茶になるって、どういうことだ？）
>>	［코지］：（내 머리가 엉망진창이 된다니, 무슨 소리지?）
L7712	［宏治］：（マインドコントールって、一体何だよ‥‥？）
>>	［코지］：（마인드 컨트롤이라니, 대체 뭐야‥‥?）
L7716	［宏治］：（いや、落ちつくんだ‥‥こんなところで取り乱したって、何のメリットもない‥‥。）
>>	［코지］：（아니, 침착하자‥‥이런 데서 허둥대 봐야, 아무 득도 없어‥‥.）
L7720	［宏治］：（と、とにかく受話器を置いて‥‥。）
>>	［코지］：（이, 일단 수화기를 놓고‥‥.）
L7724	［宏治］：（そうだ、とにかく恵に会って、訳を聞けばいい。）
>>	［코지］：（그래, 아무튼 메구미를 만나서, 사정을 들으면 된다.）
L7728	［宏治］：（でもアイツ、いったいどこから‥‥‥‥。）
>>	［코지］：（그런데 그 녀석, 대체 어디서‥‥‥‥.）
L7732	［宏治］：（そういえば恵、この医療センターにいるって言っていなかったか‥‥？）
>>	［코지］：（그러고 보니 메구미, 이 의료 센터에 있다고 하지 않았나‥‥?）
L7736	［宏治］：（そうだ、確かそんなことを言っていた‥‥。）
>>	［코지］：（그래, 분명 그런 말을 했어‥‥.）
L7740	［宏治］：（だけど、なんでここに来ないんだろう‥‥？）
>>	［코지］：（하지만, 왜 여기로 오지 않는 걸까‥‥?）
L7744	［宏治］：（だから、それは恵に会ってからだ。うん。）
>>	［코지］：（그러니까, 그건 메구미를 만나고 나서다. 그래.）
L7748	［宏治］：（だけど、一体どこから掛けてきたんだ？　それが分からないことには‥‥‥‥。）
>>	［코지］：（그런데, 대체 어디서 건 걸까?　그걸 모르고서는‥‥‥‥.）
L7752	［宏治］：‥‥‥‥‥‥‥。
>>	［코지］：‥‥‥‥‥‥‥.
L7756	［宏治］：‥‥‥‥‥‥‥‥‥‥。
>>	［코지］：‥‥‥‥‥‥‥‥‥‥.
L7760	［宏治］：（そういえば、あの妙な雑音‥‥‥‥。）
>>	［코지］：（그러고 보니, 그 묘한 잡음‥‥‥‥.）
L7764	［宏治］：（恐らく恵がいた場所で聞こえる音なんだ‥‥そうに違いない。）
>>	［코지］：（아마 메구미가 있던 곳에서 나는 소리다‥‥틀림없어.）
L7768	［宏治］：（そうだ‥‥確か、聞き覚えがある‥‥聞き覚えがあるぞ。）
>>	［코지］：（그래‥‥분명, 들어 본 적이 있어‥‥들어 본 적이 있다고.）
L7772	［宏治］：（あれは確か‥‥‥‥‥‥。）
>>	［코지］：（그건 분명‥‥‥‥‥‥.）
L7775	　◆ ロビーにあった扇風機の音に違いない。
>>	　◆ 로비에 있던 선풍기 소리가 틀림없다.
L7778	　◆ コンピュータ・ルームの空調機の音だ。
>>	　◆ 컴퓨터 룸의 공조기 소리다.
L7781	　◆ 屋上の風の音かもしれない‥‥。
>>	　◆ 옥상의 바람 소리일지도 모른다‥‥.
L7784	ロビーにあった扇風機の音に違いない。
>>	로비에 있던 선풍기 소리가 틀림없다.
L7787	僕はそう考えると同時に、走り出していた。ロビーには恵がいるに違いない‥‥？
>>	나는 그렇게 생각함과 동시에, 달려 나가고 있었다. 로비에는 메구미가 있는 게 틀림없다‥‥?
L7790	コンピュータ・ルームの空調機の音だ。
>>	컴퓨터 룸의 공조기 소리다.
L7794	［宏治］：（そうだ、確か沙夜香さんと一緒に行ったときも‥‥。）
>>	［코지］：（그래, 분명 사야카 씨와 같이 갔을 때도‥‥.）
L7797	そう思い始めると、これが限りなく正解に近いような気がしてくる。
>>	그렇게 생각하기 시작하니, 이게 한없이 정답에 가까운 것 같은 기분이 든다.
L7800	コンピュータ・ルームへ足を向けた時には、僕はほとんど確信すらしていた。
>>	컴퓨터 룸으로 발길을 돌렸을 때는, 나는 거의 확신하고 있었다.
L7804	［宏治］：（コンピュータ・ルームだ‥‥。）
>>	［코지］：（컴퓨터 룸이다‥‥.）
L7807	僕はそう確信すると、コンピュータ・ルームへと足を向けた‥‥。
>>	나는 그렇게 확신하고, 컴퓨터 룸으로 발길을 돌렸다‥‥.
L7810	屋上の風の音かもしれない‥‥。
>>	옥상의 바람 소리일지도 모른다‥‥.
L7813	そうだ、確か屋上にはあのレトロな赤電話もあったし‥‥。
>>	그래, 분명 옥상에는 그 복고풍 빨간 공중전화도 있었고‥‥.
L7816	僕はそう考えると同時に、走り出していた。屋上には恵がいるんだ‥‥。
>>	나는 그렇게 생각함과 동시에, 달려 나가고 있었다. 옥상에 메구미가 있는 거다‥‥.
L7819	意に反して、ロビーに人影は見えなかった‥‥恵どころか、ひと１人見つけることができない。
>>	예상과 달리, 로비에 사람 그림자는 보이지 않았다‥‥메구미는커녕, 사람 하나 찾을 수 없다.
L7822	天井のレトロな扇風機も、今は稼働を止めているようだった‥‥。
>>	천장의 복고풍 선풍기도, 지금은 가동을 멈춘 듯했다‥‥.
L7826	［宏治］：（ここじゃなかったのかな‥‥‥‥。）
>>	［코지］：（여기가 아니었나‥‥‥‥.）
L7829	シンと静まり返ったロビーには、僕の吐く息の音だけが聞こえていた‥‥。
>>	쥐 죽은 듯 고요한 로비에는, 내가 내쉬는 숨소리만이 들리고 있었다‥‥.
L7833	［宏治］：（勘違いだったのか‥‥‥‥。）
>>	［코지］：（착각이었던 걸까‥‥‥‥.）
L7837	［宏治］：（じゃあ、あの電話の音は‥‥‥‥。）
>>	［코지］：（그럼, 그 전화 소리는‥‥‥‥.）
L7841	［宏治］：（誰も、いないか‥‥‥‥。）
>>	［코지］：（아무도, 없는 건가‥‥‥‥.）
L7844	屋上は暗く、人影は全く見えない‥‥妙に肌寒い‥‥。
>>	옥상은 어둡고, 사람 그림자는 전혀 보이지 않는다‥‥묘하게 쌀쌀하다‥‥.
L7848	［宏治］：人はいないようだが‥‥‥‥。
>>	［코지］：사람은 없는 것 같은데‥‥‥‥.
L7851	僕は改めて、恵の電話のことを思い起こしてみた‥‥。
>>	나는 새삼, 메구미의 전화를 떠올려 보았다‥‥.
L7854	あのとき受話器の向こうで聞こえてきた音は‥‥‥‥。
>>	그때 수화기 너머로 들려온 소리는‥‥‥‥.
L7857	あのコンピュータ・ルームでは‥‥‥‥。
>>	그 컴퓨터 룸에서는‥‥‥‥.
L7860	僕は、この医療センターで精神分析のデータ標本として、協力していた。
>>	나는, 이 의료 센터에서 정신분석 데이터 표본으로서, 협력하고 있었다.
L7863	こんなご時世に、精神医学もイカの頭も無いと世間では批判されているようだけど‥‥‥‥。
>>	이런 시대에, 정신의학이고 뭐고 없다며 세간에서는 비판하는 모양이지만‥‥‥‥.
L7866	世間でどう言われようと、僕にとっては単なる割の良いバイト、以上の意味は無かった。
>>	세간에서 뭐라 하든, 나에게는 그저 벌이 좋은 아르바이트, 그 이상의 의미는 없었다.
L7869	週に２回ほど、コンピュータを利用した精神分析と、カウンセリングを受けるというノルマを、約３か月間続ける‥‥。
>>	주 ２회 정도, 컴퓨터를 이용한 정신분석과 카운슬링을 받는 과제를, 약 ３개월간 계속한다‥‥.
L7872	これだけで決して少なくない額のお金を、僕は手に入れることができるはずだった‥‥。
