# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L8828	［コウジ］：（どうしたらいいんだろうか‥‥。）
L9114	しかしその存在すら否定された今‥‥‥‥私は、いったい誰なんだ？
>>	그러나 그 존재조차 부정된 지금‥‥‥‥나는 도대체 누구란 말인가?
L9118	［ファル］：コウジ、あなたは一体、何者なの‥‥。
>>	［파르］：코우지, 당신은 대체 누구인 거야‥‥.
L9121	自分が聞きたいくらいだ、そんなことを私は考えていた‥‥‥‥。
>>	내가 묻고 싶을 정도다, 그런 것을 나는 생각하고 있었다‥‥‥‥.
L9124	私はいったい、誰なんだ‥‥‥‥？
>>	나는 도대체 누구란 말인가‥‥‥‥?
L9127	静かな部屋だった‥‥。
>>	조용한 방이었다‥‥.
L9130	ここは私の部屋で、１人しかいない私が押し黙っているのだから、静かに決まっている。
>>	여기는 내 방이고, 혼자뿐인 내가 입을 다물고 있으니 조용한 게 당연하다.
L9133	他の人たちは、私の今後の対処、という議題で、どうやら議論を交わしている真っ最中なのだろう。
>>	다른 사람들은 나의 향후 처우라는 의제로 아무래도 한창 논의를 나누고 있겠지.
L9136	ドアにはハードウェア的にロックされていて、外には出られないようになっていた。
>>	문은 하드웨어적으로 잠겨 있어서, 밖으로는 나갈 수 없게 되어 있었다.
L9139	私は手を頭の後ろで組んで、天井をぼーっと見つめる。議論は、私自身の中で、既に散々なされていた。
>>	나는 손을 머리 뒤로 깍지 끼고 천장을 멍하니 바라본다. 논의는 나 자신 안에서 이미 지겹도록 이루어졌다.
L9143	［コウジ］：自分は一体、誰なのか‥‥。
>>	［코우지］：나는 대체, 누구인 걸까‥‥.
L9146	私はもう何度めかになる自問を、繰り返した。
>>	나는 벌써 몇 번째인지 모를 자문을 되풀이했다.
L9149	そんなことを考えながら、私はまぶたを閉じた‥‥。
>>	그런 것을 생각하면서, 나는 눈꺼풀을 감았다‥‥.
L9152	吸い込まれるような感覚を、身体に感じながら‥‥‥‥。
>>	빨려 들어가는 듯한 감각을 몸에 느끼면서‥‥‥‥.
L9156	［宏治］：ここは‥‥。
>>	［코지］：여기는‥‥.
L9159	どうやら、いつも僕がカウンセリングを受ける、診療室のようだった‥‥。
>>	아무래도, 늘 내가 카운슬링을 받는 진료실인 듯했다‥‥.
L9163	［宏治］：（そうか‥‥でも涼子先生、どうしたんだろう‥‥。）
>>	［코지］：（그런가‥‥그런데 료코 선생님, 어떻게 된 거지‥‥.）
L9166	この風景は馴染み深いものとなっているが、涼子、というオブジェを取り除くだけで、これだけの違和感が襲ってくる。
>>	이 풍경은 이제 익숙해진 것이지만, 료코라는 오브제를 걷어내는 것만으로 이만큼의 위화감이 덮쳐 온다.
L9169	どうも妙な気分だった‥‥。
>>	아무래도 묘한 기분이었다‥‥.
L9173	［宏治］：（静かだな‥‥‥‥。）
>>	［코지］：（조용하군‥‥‥‥.）
L9176	ブラインドから差し込む光は、長くオレンジ色に光っていて、もう昼間が終わることを告げていた。
>>	블라인드 사이로 비쳐 드는 빛은 길게 주황빛으로 물들어, 낮이 이미 저물어 감을 알리고 있었다.
L9179	ゆっくりとあたりを見回してみるが、狭い部屋の中だ、誰もいるはずがない。
>>	천천히 주위를 둘러보지만, 좁은 방 안이다, 아무도 있을 리가 없다.
L9182	僕は、いつも涼子先生が座っていた灰色の椅子に座ってみた。背もたれがフワリと柔らかく、意外に座り心地が悪くない。
>>	나는 늘 료코 선생님이 앉아 있던 회색 의자에 앉아 보았다. 등받이가 폭신하게 부드러워, 의외로 앉은 느낌이 나쁘지 않다.
L9186	［宏治］：ん？　これは‥‥‥‥。
>>	［코지］：응?　이건‥‥‥‥.
L9190	［宏治］：（これは‥‥航海日誌‥‥？）
>>	［코지］：（이건‥‥항해 일지‥‥?）
L9193	不思議と、『航海日誌』という単語が頭に浮かんだ。もちろん、航海日誌などというモノが、ここにある訳がない。
>>	이상하게도 『항해 일지』라는 단어가 머리에 떠올랐다. 물론 항해 일지 따위가 여기 있을 리가 없다.
L9196	いけないとは思いつつも、ページをめくってみる。
>>	안 된다고 생각하면서도, 페이지를 넘겨 본다.
L9199	そこには小さな細かい文字で、診断書のようなものが書き記されていた。書いた人の几帳面な性格が想像される。
>>	거기에는 작고 빽빽한 글씨로, 진단서 같은 것이 적혀 있었다. 쓴 사람의 꼼꼼한 성격이 짐작된다.
L9203	［宏治］：涼子先生、かな‥‥？
>>	［코지］：료코 선생님인가‥‥?
L9206	もっともまだこの日誌になってから、さほど日数は経っていないようだ。最初の数ページにしか、文字が書き記されていない。
>>	하기야 이 일지를 쓰기 시작한 지는 아직 그리 날이 지나지 않은 모양이다. 처음 몇 페이지에만 글씨가 적혀 있다.
L9209	ページを斜めに読んでいくと、見覚えのある単語の所ではたと目が止まる。
>>	페이지를 대충 훑어 나가는데, 낯익은 단어가 있는 곳에서 문득 눈이 멎는다.
L9212	マインドコントロールは、ドーパミン作用を著しく促進させ、間脳及び小脳を直接刺激することにより‥‥‥‥
>>	마인드 컨트롤은 도파민 작용을 현저히 촉진시켜, 간뇌 및 소뇌를 직접 자극함으로써‥‥‥‥
L9215	さらに、そこの部分から先に読み進めていく‥‥。
>>	계속해서 그 부분에서부터 읽어 나간다‥‥.
L9218	しかし被験者の、身体的精神的な安全は保障されず‥‥‥‥。
>>	그러나 피험자의 신체적, 정신적 안전은 보장되지 않으며‥‥‥‥.
L9221	どうやら、マインドコントロールとやらの、機能と効能が記述されているらしかった。
>>	아무래도 마인드 컨트롤이라는 것의 기능과 효능이 기술되어 있는 모양이었다.
L9224	僕はゆっくりとページをめくる。しかしそこには、もう何も記されてはいなかった。ここで終わりか‥‥‥‥。
>>	나는 천천히 페이지를 넘긴다. 그러나 거기에는 이제 아무것도 적혀 있지 않았다. 여기서 끝인가‥‥‥‥.
L9228	［宏治］：（‥‥ん？）
>>	［코지］：（‥‥응?）
L9231	変わりに、メモ用紙がしおりの様にページの間に挟まっていた。そこには、先程の落ちついた様子は微塵もなく、かなり慌てたような字で、こう書きなぐってあった。
>>	대신 메모지가 책갈피처럼 페이지 사이에 끼워져 있었다. 거기에는 조금 전의 차분함은 조금도 없이, 몹시 당황한 듯한 글씨로 이렇게 갈겨 쓰여 있었다.
L9233	‥‥‥‥沙夜香　連絡先：法務局\n　　　　　　　　電話番号××××－××××－‥‥‥‥。
>>	‥‥‥‥사야카　연락처：법무국\n　　　　　　　　전화번호××××－××××－‥‥‥‥.
L9236	はっと気付いた僕は、ポケットからしわくちゃになったメモ用紙を取り出した。丸い可愛らしい字で、同じ電話番号が記載されているのを確認する。
>>	퍼뜩 깨달은 나는 주머니에서 구겨진 메모지를 꺼냈다. 둥글고 귀여운 글씨로 같은 전화번호가 적혀 있는 것을 확인한다.
L9240	［宏治］：（沙夜香さん‥‥？）
>>	［코지］：（사야카 씨‥‥?）
L9243	僕は日誌を乱暴に戻すと、部屋を急ぎ足で出ていった‥‥。
>>	나는 일지를 거칠게 되돌려 놓고, 서둘러 방을 나섰다‥‥.
L9246	エレベータから降りると、部屋までは一直線だ。僕の目的は、部屋に置いてある電話だった。
>>	엘리베이터에서 내리자, 방까지는 일직선이다. 내 목적은 방에 놓여 있는 전화였다.
L9250	［宏治］：（しかし‥‥‥‥。）
>>	［코지］：（하지만‥‥‥‥.）
L9253	日に日に、人の数が減っているような感じがした。気のせいとは思う。
>>	날이 갈수록 사람 수가 줄어드는 듯한 느낌이 들었다. 기분 탓이라고는 생각한다.
L9256	だが今、僕の目の前にいったい何人の人がいるんだろうか‥‥？
>>	하지만 지금, 내 눈앞에 도대체 몇 사람이나 있는 걸까‥‥?
L9260	［宏治］：（数える必要もないな‥‥‥‥。）
>>	［코지］：（셀 필요도 없군‥‥‥‥.）
L9263	荒涼とした廊下に、僕の足音だけが響きわたっていった‥‥。
>>	황량한 복도에 내 발소리만이 울려 퍼져 갔다‥‥.
L9266	部屋は相変わらず薄暗い。部屋へ帰ってくるなり、僕は電話の受話器を手に取った。
>>	방은 여전히 어둑하다. 방에 돌아오자마자 나는 전화 수화기를 집어 들었다.
L9269	しわくちゃのメモを見ながら、数字を慎重に押していった。震える手を、かろうじて抑える‥‥。
>>	구겨진 메모를 보면서 숫자를 신중히 눌러 나갔다. 떨리는 손을 간신히 억누른다‥‥.
L9272	一向に出る気配のない呼び出し音が、虚しく耳に響いてくる。僕は、受話器を握りしめる手に、力を込めていった。
>>	도무지 받을 기색이 없는 신호음이 공허하게 귀에 울려 온다. 나는 수화기를 움켜쥔 손에 점점 힘을 주었다.
L9276	［宏治］：（どうしたんだ‥‥‥‥。）
>>	［코지］：（어떻게 된 거지‥‥‥‥.）
L9279	何回目かの呼び出し音を聞いたところで、僕は受話器を置いた。
>>	몇 번째인지 모를 신호음을 듣고서, 나는 수화기를 내려놓았다.
L9283	［宏治］：どうしたんだろうか‥‥。
>>	［코지］：어떻게 된 걸까‥‥.
L9286	受話器を置くと同時に、ドアのノックが部屋に響きわたる。まるで、オフフックがスイッチになっていたかのようだ。
>>	수화기를 놓음과 동시에 문 두드리는 소리가 방에 울려 퍼진다. 마치 오프훅이 스위치였던 것만 같다.
L9289	誰だろうか‥‥？
>>	누구일까‥‥?
L9292	カチャ‥‥‥‥。
>>	철컥‥‥‥‥.
L9295	ドアを開けて入ってきた人物を見て、僕はかなり驚いてしまった。
>>	문을 열고 들어온 인물을 보고, 나는 꽤나 놀라고 말았다.
L9299	［宏治］：舞さん‥‥？
>>	［코지］：마이 씨‥‥?
L9303	［舞］：こんにちは、宏治サン‥‥。
>>	［마이］：안녕하세요, 코지 상‥‥.
L9307	［宏治］：こんな時間に‥‥‥‥。
>>	［코지］：이런 시간에‥‥‥‥.
L9310	そう言いかけたが、いったい今が何時なのか、僕にもわかっていなかった。
>>	그렇게 말하려다 말았다. 도대체 지금이 몇 시인지 나도 알지 못했다.
L9313	舞を見ると意外に深刻そうな表情をしている。どうしたんだろうか。
>>	마이를 보니 의외로 심각한 표정을 하고 있다. 무슨 일일까.
L9316	　◆ こんな時間に、いったい‥‥。
>>	　◆ 이런 시간에, 도대체‥‥.
L9319	　◆ 恵を見かけなかったかな‥‥。
>>	　◆ 혹시 메구미를 못 봤어‥‥.
L9322	　◆ いったいみんな、どこへ行ってしまったんだろう‥‥。
>>	　◆ 도대체 다들 어디로 가 버린 걸까‥‥.
L9325	　◆ 君はこの医療センターで‥‥。
>>	　◆ 너는 이 의료 센터에서‥‥.
L9329	［宏治］：こんな時間に、いったいどうしたんだい、舞さん。
>>	［코지］：이런 시간에 도대체 무슨 일이야, 마이 씨.
L9333	［舞］：宏治サンと、お話がしたくて‥‥。
>>	［마이］：코지 상과 이야기가 하고 싶어서‥‥.
L9337	［宏治］：僕と？
>>	［코지］：나와?
L9340	静かにうなずく舞は、何か言いたげだった。上目遣いの視線は、懇願するような光を帯びている。
>>	조용히 고개를 끄덕이는 마이는 무언가 말하고 싶은 듯했다. 치켜뜬 시선은 애원하는 듯한 빛을 띠고 있다.
L9343	胸が高鳴っている。シンと静まり返った室内では、自分の心臓の動悸音すら聞こえてくるようだった。
>>	가슴이 두근거린다. 쥐 죽은 듯 고요한 실내에서는 내 심장의 고동 소리마저 들려오는 듯했다.
L9347	［舞］：私、宏治サンにお話をしに来たんです‥‥‥。
>>	［마이］：전 코지 상에게 이야기를 하러 온 거예요‥‥‥.
L9351	［宏治］：ど、どんな？
>>	［코지］：어, 어떤?
L9355	［舞］：宏治サンが、このあいだ話して下さった夢‥‥。
>>	［마이］：코지 상이 요전에 이야기해 주신 꿈‥‥.
L9358	［舞］：マイクロディスクは、どうなりましたか？
>>	［마이］：마이크로 디스크는 어떻게 됐나요?
L9362	［宏治］：ま、マイクロ‥‥ディスク？
>>	［코지］：마, 마이크로‥‥디스크?
L9365	なぜ、彼女がそんなことを、しかもいま聞いてくるんだろうか。
>>	어째서 그녀가 그런 것을, 그것도 지금 물어 오는 걸까.
L9368	［舞］：お願いです‥‥思い出して下さい。
>>	［마이］：부탁이에요‥‥떠올려 주세요.
L9372	［宏治］：ま、マイクロディスクは‥‥再生できなかったような気がする。
>>	［코지］：마, 마이크로 디스크는‥‥재생하지 못했던 것 같아.
L9376	［宏治］：そうだ、途中で意識が途切れて‥‥再び気付いた時には、もう既に目の前から消えていたんだ。
>>	［코지］：맞아, 도중에 의식이 끊겨서‥‥다시 정신이 들었을 때는 이미 눈앞에서 사라져 있었어.
L9380	［宏治］：あっ、もちろん夢の中での事だけど‥‥変だよね、夢の中で意識が途切れるなんて‥‥。
>>	［코지］：앗, 물론 꿈속에서의 일이지만‥‥이상하지, 꿈속에서 의식이 끊긴다니‥‥.
L9383	少し寂しそうな顔つきに見えるのは、気のせいだろうか。舞は黙って僕の言うことを聞いているようだが‥‥。
>>	조금 쓸쓸해 보이는 표정은 기분 탓일까. 마이는 잠자코 내 말을 듣고 있는 듯하지만‥‥.
L9387	［舞］：宏治サンに教えてあげます。
>>	［마이］：코지 상에게 알려 드릴게요.
L9391	［宏治］：えっ‥‥な、何を？
>>	［코지］：엇‥‥뭐, 뭘?
L9394	［舞］：目をつぶって、胸の前で手を組んで、そして‥‥。
>>	［마이］：눈을 감고, 가슴 앞에서 손을 모으고, 그리고‥‥.
L9397	［舞］：そしてじっと考えるんです。そうすると、無くしたものを取り戻すことができるかも知れません。
>>	［마이］：그리고 가만히 생각하는 거예요. 그러면 잃어버린 것을 되찾을 수 있을지도 몰라요.
L9401	［宏治］：な、無くしたモノ‥‥？
>>	［코지］：이, 잃어버린 것‥‥?
L9404	舞はニッコリと僕に笑いかけた。だが僕の心は堅く、重々しい‥‥。
>>	마이는 방긋 나에게 미소 지었다. 하지만 내 마음은 굳고 무겁다‥‥.
L9407	もう少し舞に問いかけたかったが、彼女の笑顔を見ていると、非常にやりにくい。
>>	좀 더 마이에게 캐묻고 싶었지만, 그녀의 웃는 얼굴을 보고 있으면 몹시 하기 어렵다.
L9410	僕は他の話題を提供することにした‥‥。
>>	나는 다른 화제를 꺼내기로 했다‥‥.
L9414	［宏治］：恵を見かけなかったかな‥‥？
>>	［코지］：혹시 메구미를 못 봤어‥‥?
L9417	［舞］：恵さん‥‥ですか？
>>	［마이］：메구미 씨‥‥말인가요?
L9421	［宏治］：何だか彼女、妙だったんだ。この医療センター内にいるって、言っていたんだけど‥‥。
>>	［코지］：어쩐지 그녀, 이상했어. 이 의료 센터 안에 있다고 말했었는데‥‥.
L9424	［舞］：いいえ、見かけませんでした。
>>	［마이］：아니요, 보지 못했어요.
L9428	［宏治］：そうか‥‥‥‥。
>>	［코지］：그런가‥‥‥‥.
L9431	知らないものを聞き出すことはできない。これ以上、彼女に問いかけても無駄だろう。
>>	모르는 것을 캐낼 수는 없다. 더 이상 그녀에게 물어봐야 소용없을 것이다.
L9435	［宏治］：いったいみんな、どこへ行ってしまったんだろう‥‥。
>>	［코지］：도대체 다들 어디로 가 버린 걸까‥‥.
L9439	［宏治］：いくら普通の病院とは訳が違うといっても、これはちょっと変じゃないかな。
>>	［코지］：아무리 보통 병원과는 사정이 다르다 해도, 이건 좀 이상하지 않나.
L9442	［舞］：変でしょうか？
>>	［마이］：이상한가요?
L9446	［宏治］：うん、凄く変だ。
>>	［코지］：응, 굉장히 이상해.
L9449	僕は思ったことをそのまま舞に言ってみた。舞は興味深そうに僕の言うことを聞いている。
>>	나는 생각한 것을 그대로 마이에게 말해 보았다. 마이는 흥미롭다는 듯 내 말을 듣고 있다.
L9453	［宏治］：舞さんは、この状況が変だとは、感じないのかい？
