# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L12842	歌舞伎のような格好をやめると、私は襟元をただして周りを見る。
L12939	ウルトラスーパーマグナム・キックをお見舞いしてやろう。
>>	울트라 슈퍼 매그넘・킥을 먹여 주도록 하지.
L12943	［コウジ］：ゆくぞ、ウルトラスーパーマグナム‥‥キィィックゥ！！
>>	［코우지］：간다, 울트라 슈퍼 매그넘‥‥키이이익!!
L12946	ゴーーーン‥‥‥‥。
>>	고오오옹‥‥‥‥.
L12950	［コウジ］：スネから血が出てしまったではないか‥‥おっ。
>>	［코우지］：정강이에서 피가 나와 버리지 않았나‥‥엇.
L12954	［コウジ］：なぜ、目から涙がにじみでているのだ‥‥？
>>	［코우지］：어째서, 눈에서 눈물이 배어 나오는 것이냐‥‥?
L12958	［コウジ］：フム、この脆弱な肉体では、恐らくマグナムキックの１００分の１ほどの威力も出まい。
>>	［코우지］：흠, 이 허약한 육체로는 아마 매그넘킥의 １００분의 １ 정도 위력도 안 나오겠군.
L12962	［コウジ］：フン、このくらいで勘弁しておいてやろう。
>>	［코우지］：흥, 이쯤에서 봐주도록 하지.
L12965	マシンから顔を上げると、私は近くの椅子に座り、一息吐く。
>>	머신에서 얼굴을 들고, 나는 가까운 의자에 앉아 한숨 돌린다.
L12968	どうやら伝送系ルーチンに、バグが残っているらしい。そこのアルゴリズムを正せば‥‥。
>>	아무래도 전송계 루틴에 버그가 남아 있는 모양이다. 그 부분의 알고리즘을 바로잡으면‥‥.
L12972	［コウジ］：いや、これはダメだな‥‥。
>>	［코우지］：아니, 이건 안 되겠군‥‥.
L12975	いや、しかしこちらからのアクセスだけでは、いくら圧力を高めたところで、シンクロできるタイムは高々知れている。
>>	아니, 하지만 이쪽에서의 접속만으로는 아무리 압력을 높인들 싱크로할 수 있는 시간은 뻔하다.
L12978	両装置が、どう位相上、しかも時間軸上での座標上で同時に、装置を作動させる必要がある。
>>	양 장치를 같은 위상, 게다가 시간축상의 좌표에서 동시에 작동시킬 필요가 있다.
L12981	しかし、そんな確率は限りなくゼロに近い‥‥。
>>	하지만 그런 확률은 한없이 제로에 가깝다‥‥.
L12984	いや、その確率にあたったからこそ、私が今ここにいる訳だ。
>>	아니, 그 확률에 당첨됐기에 내가 지금 여기 있는 것이다.
L12987	こちらから強制的に意識を投影しても、恐らく思念体の強制排他がおきるだけだ。恐らく数秒しかシンクロできまい。
>>	이쪽에서 강제로 의식을 투영해도, 아마 사념체의 강제 배타가 일어날 뿐이다. 기껏해야 몇 초밖에 싱크로하지 못하겠지.
L12991	［コウジ］：フン、まぁいいだろう。
>>	［코우지］：흥, 뭐 됐다.
L12994	私が立ち上がりかけたとき‥‥。
>>	내가 일어서려던 때‥‥.
L12998	［コウジ］：‥‥ん？
>>	［코우지］：‥‥응?
L13001	［女］：何をしているの。
>>	［여자］：뭘 하고 있어.
L13004	［女］：それは私のセリフよ。誰よ、あなたは。
>>	［여자］：그건 내 대사야. 누구야, 당신은.
L13008	［コウジ］：私は、宇宙海賊コウジである。
>>	［코우지］：나는, 우주 해적 코우지다.
L13011	［女］：あー、あなたね。おかしくなっちゃった子は。
>>	［여자］：아-, 당신이구나. 이상해져 버렸다는 애가.
L13015	［コウジ］：‥‥貴様は？
>>	［코우지］：‥‥네놈은?
L13018	［女］：沙夜香よ。
>>	［여자］：사야카야.
L13022	［コウジ］：フン、こんな所に何の用だ。
>>	［코우지］：흥, 이런 곳에 무슨 볼일이냐.
L13025	［沙夜香］：あなたこそ何の用よ。一般人が立ち入る場所じゃないわよ。
>>	［사야카］：당신이야말로 무슨 볼일이야. 일반인이 들어올 곳이 아니야.
L13029	［コウジ］：私は一般人ではない。
>>	［코우지］：나는 일반인이 아니다.
L13032	［沙夜香］：じゃあ、何よ。
>>	［사야카］：그럼, 뭔데.
L13036	［コウジ］：宇宙海賊だ。
>>	［코우지］：우주 해적이다.
L13039	［沙夜香］：‥‥ここまでイっちゃってるとはねぇ。
>>	［사야카］：‥‥이 정도로 맛이 갔을 줄이야.
L13043	［コウジ］：貴様の番だ。
>>	［코우지］：네놈 차례다.
L13046	［沙夜香］：私は‥‥政府関係の人間よ。
>>	［사야카］：나는‥‥정부 관계자야.
L13050	［コウジ］：政府？　すると権力に寄生する犬か？
>>	［코우지］：정부?　그럼 권력에 기생하는 개냐?
L13053	［沙夜香］：ずいぶんな言い分ね。
>>	［사야카］：꽤나 심한 말투네.
L13057	［コウジ］：フン、事実を述べたまでだ。このマシンと貴様との関係は？
>>	［코우지］：흥, 사실을 말했을 뿐이다. 이 머신과 네놈의 관계는?
L13060	［沙夜香］：ま、私が開発に関与したというところかしら。
>>	［사야카］：뭐, 내가 개발에 관여했다고나 할까.
L13064	［コウジ］：ほぉ、それでは‥‥。
>>	［코우지］：호오, 그렇다면‥‥.
L13067	　◆ では、このマシンの基本コンセプトを言ってみろ。
>>	　◆ 그럼, 이 머신의 기본 콘셉트를 말해 봐라.
L13070	　◆ では、貴様のスリーサイズを言ってみろ。
>>	　◆ 그럼, 네놈의 스리사이즈를 말해 봐라.
L13073	　◆ では、さようなら。
>>	　◆ 그럼, 잘 있어라.
L13077	［コウジ］：では、このマシンの基本コンセプトを言ってみろ。
>>	［코우지］：그럼, 이 머신의 기본 콘셉트를 말해 봐라.
L13080	［沙夜香］：な、なんですって？
>>	［사야카］：뭐, 뭐라고?
L13084	［コウジ］：このマシンの、基本コンセプトだ。
>>	［코우지］：이 머신의, 기본 콘셉트 말이다.
L13087	［沙夜香］：なぜ‥‥あなたに言わなくては、ならないのよ。
>>	［사야카］：어째서‥‥당신한테 말해야만 하는 건데.
L13091	［コウジ］：フン、言えないのか。
>>	［코우지］：흥, 말 못 하는 건가.
L13094	［沙夜香］：違うわ、あなたに言う必要性がないからよ。
>>	［사야카］：아니야, 당신한테 말할 필요가 없어서야.
L13098	［コウジ］：なるほど、小悪党の匂いがプンプンと漂ってくるな。
>>	［코우지］：과연, 잔챙이 악당의 냄새가 풀풀 풍겨 오는군.
L13101	［沙夜香］：ど、どういうことよ。
>>	［사야카］：무, 무슨 소리야.
L13105	［コウジ］：わからないか、他人の功績をさも自分のモノだと振りかざす、小心者の悪党の事だ。
>>	［코우지］：모르겠나, 남의 공적을 마치 제 것인 양 휘두르는, 소심한 악당 말이다.
L13108	［沙夜香］：‥‥それが、私だというの？
>>	［사야카］：‥‥그게, 나라는 거야?
L13112	［コウジ］：違うと言うなら、このマシンの基本コンセプトを言ってみるがいい。
>>	［코우지］：아니라면, 이 머신의 기본 콘셉트를 말해 보시지.
L13116	［コウジ］：では私が言ってやろう。このマシンは、霊子エナジーを増幅するジェネレータだ。
>>	［코우지］：그럼 내가 말해 주지. 이 머신은, 영자 에너지를 증폭하는 제너레이터다.
L13120	［コウジ］：これを利用すれば、思念体と物理的肉体の分離を行うことができるが‥‥。
>>	［코우지］：이걸 이용하면, 사념체와 물리적 육체를 분리할 수 있지만‥‥.
L13123	［沙夜香］：‥‥‥‥。
>>	［사야카］：‥‥‥‥.
L13127	［コウジ］：いかんせん、この装置の電送系ルーチンにバグが残っている。
>>	［코우지］：안타깝게도, 이 장치의 전송계 루틴에 버그가 남아 있다.
L13130	［沙夜香］：バグが‥‥？
>>	［사야카］：버그가‥‥?
L13134	［コウジ］：これは致命的なものだ。だが運良く、同じ時間位相軸上で、同コンセプトのマシンが稼働していたために、被験者の思念体は、彼方へと時間を越えていったのだ。
>>	［코우지］：이건 치명적인 것이다. 하지만 운 좋게, 같은 시간 위상축상에서 동일 콘셉트의 머신이 가동 중이었기에, 피험자의 사념체는 저편으로 시간을 넘어간 것이다.
L13137	［沙夜香］：な、何のことを言っているの‥‥。
>>	［사야카］：무, 무슨 소릴 하는 거야‥‥.
L13141	［コウジ］：普段だったら、被験者の脳シナプスの２～３万本は、焼き切れていただろうがな‥‥。
>>	［코우지］：평소라면, 피험자의 뇌 시냅스 ２～３만 가닥은 타서 끊겼겠지만‥‥.
L13145	［コウジ］：もっとも私は、それをデバッグする術を知っているが‥‥。
>>	［코우지］：하기야 나는, 그걸 디버그할 방법을 알고 있지만‥‥.
L13149	［涼子］：宏治クン！
>>	［료코］：코지 군!
L13153	［コウジ］：貴様は、涼子‥‥。
>>	［코우지］：네놈은, 료코‥‥.
L13157	［涼子］：さっ、宏治クン、お部屋に帰りましょうね。
>>	［료코］：자, 코지 군, 방으로 돌아가자.
L13160	［沙夜香］：ちょっと、涼子先生、いきなり‥‥。
>>	［사야카］：잠깐, 료코 선생님, 갑자기‥‥.
L13163	［涼子］：ホホホ、ごめんなさいね、沙夜香さん。それじゃ‥‥。
>>	［료코］：호호호, 미안해요, 사야카 씨. 그럼‥‥.
L13167	［コウジ］：では、貴様のスリーサイズを言ってみろ。
>>	［코우지］：그럼, 네놈의 스리사이즈를 말해 봐라.
L13170	［沙夜香］：はぁ？
>>	［사야카］：하아?
L13174	［コウジ］：言えないらしいな。
>>	［코우지］：말 못 하는 모양이군.
L13177	［沙夜香］：何の脈絡があるっていうのよ。
>>	［사야카］：무슨 맥락이 있다는 건데.
L13181	［コウジ］：フン、では私が当ててやろう。上から８５－６１－８６というところだな。
>>	［코우지］：흥, 그럼 내가 맞혀 주지. 위에서부터 ８５－６１－８６ 정도겠군.
L13184	［沙夜香］：なっ‥‥！？
>>	［사야카］：뭐‥‥!?
L13188	［コウジ］：フン、図星らしいな。
>>	［코우지］：흥, 정곡을 찌른 모양이군.
L13191	バキッ！！
>>	퍽!!
L13194	［沙夜香］：私はね、ウエストが６０をオーバーしたことがないのよ。
>>	［사야카］：난 말이야, 허리가 ６０을 넘은 적이 없어.
L13198	［コウジ］：バカめ、貴様の手に、私の鼻血が付いているぞ。
>>	［코우지］：바보 같으니, 네놈 손에 내 코피가 묻었다.
L13201	［沙夜香］：何が言いたいの、あなた。
>>	［사야카］：무슨 말이 하고 싶은 거야, 당신.
L13205	［コウジ］：フン、私が言いたいのはだな‥‥‥‥。
>>	［코우지］：흥, 내가 하고 싶은 말은 말이다‥‥‥‥.
L13209	［コウジ］：では、さようなら。
>>	［코우지］：그럼, 잘 있어라.
L13213	［コウジ］：では、さようなら、と言ったのだ。聞こえなかったのか、このバカ者が。
>>	［코우지］：그럼, 잘 있어라, 라고 말했다. 못 들었나, 이 멍청이가.
L13216	［沙夜香］：気を付けた方がいいわよ、私はね、バカにされるのが大嫌いなの。
>>	［사야카］：조심하는 게 좋을 거야, 난 말이지, 바보 취급당하는 게 제일 싫거든.
L13220	［コウジ］：フン、少し口が滑っただけだ。私が言いたいのはだな‥‥‥‥。
>>	［코우지］：흥, 조금 말이 헛나왔을 뿐이다. 내가 하고 싶은 말은 말이다‥‥‥‥.
L13224	［コウジ］：どういうつもりだ、ここは私の部屋ではないか。
>>	［코우지］：무슨 속셈이냐, 여긴 내 방이 아닌가.
L13228	［涼子］：ねぇ、宏治クン‥‥さっき彼女に話していたこと‥‥。
>>	［료코］：저기, 코지 군‥‥아까 그 여자한테 했던 이야기‥‥.
L13232	［コウジ］：あっ？
>>	［코우지］：엉?
L13235	［涼子］：ほら、伝送系ルーチンにバグがあるって‥‥。
>>	［료코］：왜, 전송계 루틴에 버그가 있다는 거‥‥.
L13239	［コウジ］：あぁ、それがどうした？
>>	［코우지］：아아, 그게 어쨌다는 거냐?
L13242	［涼子］：本当なの？
>>	［료코］：정말이야?
L13246	［コウジ］：本当だ。とんだ欠陥品だな。
>>	［코우지］：사실이다. 형편없는 결함품이군.
L13249	［涼子］：そんな‥‥‥‥。
>>	［료코］：그런‥‥‥‥.
L13253	［コウジ］：（むっ‥‥‥ビアンカ！？）
>>	［코우지］：（윽‥‥‥비앙카!?）
L13257	［ビアンカ］：裏切った代償は、それなりに払って貰うぞ、コウジ！
>>	［비앙카］：배신한 대가는, 그만큼 치르게 해 주마, 코우지!
L13260	［男の声］：裏切る？
>>	［남자 목소리］：배신?
L13263	［ビアンカ］：くだらぬ話はここまでだ、エンコーダと触媒の女は、もらっていく！
>>	［비앙카］：쓸데없는 이야긴 여기까지다, 인코더와 촉매인 여자는 가져가겠다!
L13266	［男の声］：ファルを！？
>>	［남자 목소리］：파르를!?
L13270	［コウジ］：（どうやら、こちらの世界の宏治とやらいうヤツか‥‥。）
>>	［코우지］：（아무래도, 이쪽 세계의 코지라는 녀석인가‥‥.）
L13274	［コウジ］：（みすみす、エンコーダを‥‥。）
>>	［코우지］：（눈 뜨고, 인코더를‥‥.）
L13277	［ビアンカ］：ほう、さすがに表情が変わったな。そうでなくては、奪い甲斐が無いというものだ。
>>	［비앙카］：호오, 과연 표정이 변했군. 그렇지 않으면 빼앗는 보람이 없지.
L13280	［男の声］：エンコーダなんかに未練は無いが、ファルは置いていけ。
>>	［남자 목소리］：인코더 따위엔 미련 없지만, 파르는 두고 가라.
L13284	［コウジ］：（バカな事を言うな。あのエンコーダ無くして‥‥。）
>>	［코우지］：（바보 같은 소리 마라. 그 인코더 없이는‥‥.）
L13287	［ビアンカ］：フン、命令できる立場か！
>>	［비앙카］：흥, 명령할 수 있는 처지냐!
L13291	［コウジ］：マズい‥‥よけろ！　電撃がくるぞ！！
>>	［코우지］：위험하다‥‥피해라!　전격이 온다!!
L13295	［涼子］：ど、どうしたの宏治クン‥‥。
>>	［료코］：무, 무슨 일이야 코지 군‥‥.
L13299	［コウジ］：黙っていろ‥‥これは‥‥。
>>	［코우지］：잠자코 있어라‥‥이건‥‥.
L13303	［コウジ］：どうやら、不定期にシンクロしているらしい‥‥。
>>	［코우지］：아무래도, 부정기적으로 싱크로하고 있는 모양이군‥‥.
L13307	［涼子］：ねぇ、宏治くぅん。
>>	［료코］：저기, 코지 구운.
L13311	［コウジ］：なんだ？
>>	［코우지］：뭐냐?
L13314	［涼子］：ね、さっき言っていた、伝送系ルーチンのバグって‥‥。
>>	［료코］：저기, 아까 말했던, 전송계 루틴의 버그 말인데‥‥.
L13318	［コウジ］：ん？
>>	［코우지］：응?
L13322	［涼子］：ねぇ、ねぇねぇ‥‥宏治くぅん。
>>	［료코］：저기, 저기저기‥‥코지 구운.
L13326	［コウジ］：身体をくねらせて、何をしているのだ。気持ち悪いヤツだ。
>>	［코우지］：몸을 배배 꼬면서, 뭘 하는 거냐. 징그러운 녀석이군.
L13329	［涼子］：んもう、ねぇ、ちょっと‥‥。
>>	［료코］：아 정말, 저기, 잠깐‥‥.
L13332	涼子はベッドに腰をおろすと、切れながの目で、私の方をチラリと見た。
>>	료코는 침대에 걸터앉더니, 가늘고 긴 눈으로 내 쪽을 힐끗 보았다.
L13336	［コウジ］：なんだ、ベッドに連れてきて。
>>	［코우지］：뭐냐, 침대로 데려와서는.
L13339	［涼子］：さっきのアレなんだけどぉ‥‥。
>>	［료코］：아까 그거 말인데에‥‥.
L13343	［コウジ］：アレ？
>>	［코우지］：그거?
L13346	［涼子］：うん。ほら、ね？
>>	［료코］：응. 자, 알지?
L13349	わかるでしょ？　という表情で、涼子は両肩を揺らせた。形の良いバストも、それに付随して揺れている。
>>	알겠지?　하는 표정으로, 료코는 두 어깨를 흔들었다. 모양 좋은 가슴도 거기 따라 흔들리고 있다.
L13353	［コウジ］：意味がわからんが‥‥。
>>	［코우지］：무슨 뜻인지 모르겠는데‥‥.
L13357	［涼子］：ねぇ宏治クン、ほら、こっちにきて。
>>	［료코］：저기 코지 군, 자, 이리로 와.
L13360	［涼子］：んもう、わかってるくせに。伝送系ルーチンのバグのことよ。
>>	［료코］：아 정말, 알면서. 전송계 루틴의 버그 말이야.
L13364	［コウジ］：バグ？
>>	［코우지］：버그?
L13367	［涼子］：うん。教えてくれたら、いいことさせて、あ・げ・る。
>>	［료코］：응. 가르쳐 주면, 좋은 거 하게 해・줄・게.
L13371	［コウジ］：ほぉ、いいこと？
>>	［코우지］：호오, 좋은 거?
L13374	［涼子］：ねっ、だからさぁ‥‥。
>>	［료코］：응, 그러니까아‥‥.
L13378	［コウジ］：クックックッ‥‥。
>>	［코우지］：큭큭큭‥‥.
L13382	［涼子］：こ、宏治クン‥‥？
>>	［료코］：코, 코지 군‥‥?
L13386	［コウジ］：フハハハハ、はーっはっはっは！
>>	［코우지］：후하하하하, 하-핫핫핫하!
L13390	［涼子］：ど、どうしちゃったの‥‥こ、宏治クン！？
>>	［료코］：무, 무슨 일이야‥‥코, 코지 군!?
L13393	涼子は恐いモノでも見るように、私のことを怪訝そうに見つめていた。口元は辛うじて笑みを保っているが、動揺は隠せない。
>>	료코는 무서운 것이라도 보듯, 나를 미심쩍게 응시하고 있었다. 입가는 간신히 미소를 유지하고 있지만, 동요는 감추지 못한다.
L13397	［コウジ］：これが笑わずにいられるか‥‥。
>>	［코우지］：이걸 웃지 않고 배기겠나‥‥.
L13400	［涼子］：‥‥？
>>	［료코］：‥‥?
L13404	［コウジ］：フン、状況は大体呑み込めたしな、そろそろ動き出す頃合だろう‥‥おい、貴様。
>>	［코우지］：흥, 상황은 대충 파악했으니, 슬슬 움직일 때겠지‥‥이봐, 네놈.
L13407	［涼子］：な、何よ‥‥。
>>	［료코］：뭐, 뭐야‥‥.
L13411	［コウジ］：それで、私を誘惑しているつもりか。
>>	［코우지］：그걸로, 나를 유혹하고 있는 셈이냐.
L13414	［涼子］：ば、バカ言わないでよ。そんな訳‥‥。
>>	［료코］：바, 바보 같은 소리 마. 그럴 리‥‥.
L13418	［コウジ］：フッ、それじゃあ望み通りにしてやる。
>>	［코우지］：훗, 그럼 바라는 대로 해 주지.
L13421	［涼子］：えっ？
>>	［료코］：어?
L13425	［コウジ］：脱げ。
>>	［코우지］：벗어라.
L13428	動揺がこちらに伝わってくる。空気がピリピリと振動しているようだった。
>>	동요가 이쪽까지 전해져 온다. 공기가 찌릿찌릿 진동하는 듯했다.
L13431	［涼子］：な、何を‥‥。
>>	［료코］：무, 무슨‥‥.
L13435	［コウジ］：脱ぐんだ。そうしたら、研究を手伝ってやろう。
>>	［코우지］：벗으란 말이다. 그러면, 연구를 도와주지.
L13439	［コウジ］：貴様は頭がいい。差し引きの勘定くらい、できるのではないか？
>>	［코우지］：네놈은 머리가 좋다. 득실 계산 정도는 할 수 있지 않나?
L13442	［涼子］：そ、そんな‥‥。
>>	［료코］：그, 그런‥‥.
L13446	［コウジ］：脱ぐんだ。
>>	［코우지］：벗으란 말이다.
L13450	［コウジ］：フン、ではあの沙夜香とやらに、伝送系のデバッグ方法を教える事にしよう。
>>	［코우지］：흥, 그럼 그 사야카라는 자에게 전송계 디버그 방법을 가르쳐 주기로 하지.
L13453	涼子の顔には、あからさまに動揺と焦りの表情が浮かんだ。フン、おちたも同然だな。
>>	료코의 얼굴에는, 노골적으로 동요와 초조한 기색이 떠올랐다. 흥, 넘어온 거나 다름없군.
L13456	［涼子］：ま、待って！
>>	［료코］：자, 잠깐!
L13460	［コウジ］：何だ？
>>	［코우지］：뭐냐?
L13463	［涼子］：わ、わかったわ‥‥い、言うとおりにする。
>>	［료코］：아, 알았어‥‥마, 말한 대로 할게.
L13467	［コウジ］：ほぉ、ずいぶんと派手な下着を着けているな。
>>	［코우지］：호오, 꽤나 화려한 속옷을 입고 있군.
L13470	［涼子］：し、下着くらい！　おしゃれしたって、いいじゃない‥‥。
>>	［료코］：소, 속옷쯤이야!　멋 좀 부리면 어때‥‥.
L13474	［コウジ］：フン。
>>	［코우지］：흥.
L13477	むぎゅぅっ。
>>	꽈악.
L13480	［涼子］：きゃっ、何をするの！？
>>	［료코］：꺄앗, 뭐 하는 거야!?
L13484	［コウジ］：お願いするときはムネを出すモノだ。ふむ、揉みがいはあるようだな。
>>	［코우지］：부탁할 땐 가슴을 내미는 법이다. 흠, 주무를 맛은 있겠군.
L13487	もみもみ‥‥。
>>	조물조물‥‥.
L13490	［涼子］：あっ‥‥や、やめて‥‥。
>>	［료코］：앗‥‥그, 그만해‥‥.
L13494	［コウジ］：フン、鼻息を荒くしながら何を言っている。
>>	［코우지］：흥, 콧김을 거칠게 내쉬면서 무슨 소리냐.
L13497	［涼子］：あっイヤ！　そこは‥‥あっ、ダメっっ！！
>>	［료코］：앗 싫어!　거긴‥‥앗, 안 돼!!
L13501	［コウジ］：小さくはないな。だが、まだまだだ。
>>	［코우지］：작지는 않군. 하지만, 아직 멀었다.
L13505	［涼子］：こ、宏治クン、あなたどうしちゃったの‥‥そんな‥‥。
>>	［료코］：코, 코지 군, 대체 왜 이러는 거야‥‥그런‥‥.
L13508	むぎゅぅぅぅぅぅぅっっ！！！
>>	꽈아아아아아악!!!
L13511	［涼子］：あぁ、痛っ！！
>>	［료코］：아아, 아파!!
L13515	［コウジ］：貴様、それほど男を知っている訳ではないな。
>>	［코우지］：네년, 그리 남자를 아는 편은 아니로군.
L13518	［涼子］：な、何のことよっ！
>>	［료코］：무, 무슨 소리야!
L13522	［コウジ］：フフン、青臭い匂いが、プンプン漂ってくる。この耳の裏側からな‥‥？
>>	［코우지］：후훗, 풋내가 물씬 풍겨온다. 이 귀 뒤쪽에서 말이지‥‥?
L13525	［涼子］：あっ‥‥いやっ‥‥。
>>	［료코］：앗‥‥싫어‥‥.
L13529	［コウジ］：耳の中か？
>>	［코우지］：귓속인가?
L13532	［涼子］：いやよ、舐めたりしないで‥‥あっ！
>>	［료코］：싫어, 핥지 마‥‥앗!
L13536	［コウジ］：クックック‥‥よーし、じゃあこのしゃれた下着も脱いでもらおうか。
>>	［코우지］：크큭큭‥‥좋아, 그럼 이 멋들어진 속옷도 벗어 주실까.
L13539	［涼子］：な、何を言ってるのよ‥‥そんなこと‥‥。
>>	［료코］：무, 무슨 소리를 하는 거야‥‥그런 건‥‥.
L13543	［コウジ］：フン、男が欲しくて欲しくて溜まらない匂いが、プンプンしてくるぞ！
>>	［코우지］：흥, 남자가 고파 죽겠다는 냄새가 물씬 풍겨오는군!
L13546	ビリビリビリッ！！
>>	찌직찌직찌지직!!
L13549	［涼子］：や、やめて‥‥お、お願い‥‥。
>>	［료코］：그, 그만‥‥제, 제발‥‥.
L13553	［コウジ］：足を開け。
>>	［코우지］：다리를 벌려라.
L13556	［涼子］：いやぁぁぁっ！！
>>	［료코］：싫어어어!!
L13560	［コウジ］：聞き分けの無いヤツめ。開いて見せろ！
>>	［코우지］：말귀를 못 알아듣는군. 벌려 보여라!
L13563	にちゃっ‥‥。
>>	찌걱‥‥.
L13567	［コウジ］：フン、今のは何の音だ。
>>	［코우지］：흥, 방금 그건 무슨 소리냐.
L13570	［涼子］：し、知らないわよぉ‥‥。
>>	［료코］：모, 모른다니까‥‥.
L13574	［コウジ］：もっと開くんだ‥‥。
>>	［코우지］：더 벌려라‥‥.
L13577	［涼子］：こ、これでいい？
>>	［료코］：이, 이러면 됐어?
L13580	ずりゅぅっ！
>>	쭈우욱!
L13583	［涼子］：んきゃぁぅっ！　ゆ、指を入れないでっ！！
>>	［료코］：응꺄아앗!　소, 손가락 넣지 마!!
L13587	［コウジ］：フン、こんなに濡らして、恥ずかしい女だ‥‥。
>>	［코우지］：흥, 이리 흠뻑 젖어서는, 부끄러운 줄도 모르는 여자로군‥‥.
L13590	［涼子］：あっ‥‥お、お願い‥‥乱暴にしないで‥‥。
>>	［료코］：앗‥‥제, 제발‥‥거칠게 하지 마‥‥.
L13594	［コウジ］：心と裏腹なことを言うな。
>>	［코우지］：속마음과는 반대되는 소리를 하는군.
L13597	［涼子］：そんな‥‥。
>>	［료코］：그런‥‥.
L13601	［コウジ］：乱暴にして、だろう？
>>	［코우지］：「거칠게 해 줘」겠지?
L13605	［涼子］：お願いよ、宏治クン‥‥‥‥。
>>	［료코］：제발, 코지 군‥‥‥‥.
L13609	［コウジ］：乱暴にしてと、言ってみろ。
>>	［코우지］：거칠게 해 달라고, 말해 봐라.
L13612	ぐちゅっ、ぐちゅっ、ぐちゅっ‥‥。
>>	철퍽, 철퍽, 철퍽‥‥.
L13615	［涼子］：あぁぁ、ら、乱暴に‥‥して‥‥。
