# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L11246	［沙夜香］：よかったわ、間にあって‥‥大丈夫だった？
L11399	［コウジ］：大丈夫だよ、もう‥‥。
>>	［코우지］：괜찮아, 이제‥‥.
L11402	風化寸前の機器類の陰から、ランファが姿を現した。突然、その場に現れたように‥‥‥‥。
>>	풍화 직전의 기기들 그늘에서, 란파가 모습을 드러냈다. 갑자기, 그 자리에 나타난 것처럼‥‥‥‥.
L11405	彼女は私の前に、ゆっくりとやって来る。
>>	그녀는 내 앞으로, 천천히 다가온다.
L11409	［ランファ］：コウジさん‥‥。
>>	［란파］：코우지 씨‥‥.
L11413	［コウジ］：だいたい、思い出したよ。
>>	［코우지］：대충, 생각났어.
L11416	［ランファ］：そうですか、良かった‥‥。
>>	［란파］：그런가요, 다행이에요‥‥.
L11420	［コウジ］：あれから、どのくらいの時間が経ったのかな。
>>	［코우지］：그 뒤로, 얼마나 시간이 지났을까.
L11423	［ランファ］：あれから‥‥？
>>	［란파］：그 뒤로‥‥?
L11427	［コウジ］：そう、人類の全てが死に絶えてから‥‥。
>>	［코우지］：그래, 인류 전부가 죽어 사라진 뒤로‥‥.
L11430	［ランファ］：地球時間で、ちょうど６千と１２年ほどです。
>>	［란파］：지구 시간으로, 정확히 ６천 １２년 정도예요.
L11434	［コウジ］：６千年か‥‥長いようで、短かったな‥‥。
>>	［코우지］：６천 년인가‥‥긴 것 같으면서도, 짧았군‥‥.
L11438	［コウジ］：君と、君の姉さんは、重核中性子爆弾による人類の滅亡を予期していた。
>>	［코우지］：너와, 네 언니는, 중핵 중성자 폭탄에 의한 인류의 멸망을 예견하고 있었어.
L11441	［ランファ］：はい。ですが人類の種は滅びても、その記憶だけは残しておきたかった‥‥。
>>	［란파］：네. 하지만 인류의 씨는 멸망해도, 그 기억만은 남겨 두고 싶었어요‥‥.
L11445	［コウジ］：そう‥‥そうだった。
>>	［코우지］：그래‥‥그랬지.
L11448	［ランファ］：だから、マインド・コントロールという軍要請の当初の計画を変更し、サイバープロジェクタとして‥‥。
>>	［란파］：그래서, 마인드 컨트롤이라는 군이 요청한 당초 계획을 변경해, 사이버 프로젝터로서‥‥.
L11452	［コウジ］：人間の意識を、機械の中へと投影した‥‥。
>>	［코우지］：인간의 의식을, 기계 속으로 투영했다‥‥.
L11455	［ランファ］：私たち２人だけは、思念体となって、意識だけは残ったのです。
>>	［란파］：저희 ２명만은, 사념체가 되어, 의식만은 남은 거예요.
L11459	［コウジ］：人間の持つパーソナリティ‥‥人格をも、電子頭脳へと投影した‥‥。
>>	［코우지］：인간이 가진 퍼스낼리티‥‥인격마저, 전자 두뇌로 투영했다‥‥.
L11462	［ランファ］：はい、私たちは人類の終焉を見てもなお、生き続けた。いえ、記憶を残し続けた、メモリーの中に‥‥。
>>	［란파］：네, 저희는 인류의 종언을 보고도 계속 살았어요. 아뇨, 계속 기억을 남겼어요, 메모리 속에‥‥.
L11466	［コウジ］：こうして、思念を実体化させ、様々な事をやってきたんだ。
>>	［코우지］：이렇게, 사념을 실체화시켜, 여러 가지 일을 해 온 거야.
L11469	［ランファ］：そしてそれは、もうすぐ成就するのです。
>>	［란파］：그리고 그것은, 이제 곧 이루어져요.
L11473	［コウジ］：そうだったね‥‥ごめんよ、忘れてしまって‥‥。
>>	［코우지］：그랬지‥‥미안해, 잊어버려서‥‥.
L11477	［コウジ］：今にして思えば、私はこの現状から逃避したかったのかもしれない。懐かしい昔のあの時へと‥‥。
>>	［코우지］：지금 와서 생각하면, 나는 이 현실에서 도피하고 싶었는지도 모르겠어. 그리운 옛날 그때로‥‥.
L11480	［ランファ］：はい‥‥。
>>	［란파］：네‥‥.
L11484	［コウジ］：だから、証拠となるＭＤを再生しようとしたとき、無意識の排斥が働いたのだろう。自分自身、ＭＤから遠ざかりたかった。
>>	［코우지］：그래서, 증거가 되는 ＭＤ를 재생하려 했을 때, 무의식의 배척이 작용했겠지. 나 자신, ＭＤ에서 멀어지고 싶었던 거야.
L11487	［ランファ］：でも、メモリーが物理的に破損していたというのも事実です。
>>	［란파］：하지만, 메모리가 물리적으로 파손돼 있었다는 것도 사실이에요.
L11490	［ランファ］：あのとき、沙夜香さんの撃った銃弾が、運悪くあなたのメモリーの一部を破損させてしまいました。
>>	［란파］：그때, 사야카 씨가 쏜 총탄이, 운 나쁘게 당신 메모리의 일부를 파손시키고 말았어요.
L11494	［コウジ］：そうだった。メモリーは所々が欠損していて、記憶違いが物理的に起きていたんだ‥‥。
>>	［코우지］：그랬지. 메모리는 군데군데 결손돼 있어서, 기억 착오가 물리적으로 일어나고 있었던 거야‥‥.
L11497	［ランファ］：私は、それを気付かせるために、色々な示唆をしました。あなたのメモリーへとアクセスして‥‥。
>>	［란파］：저는, 그걸 깨닫게 하려고, 여러 가지 시사를 했어요. 당신의 메모리에 액세스해서‥‥.
L11501	［コウジ］：あぁ‥‥自分の過去の記憶に、キミの呼びかけがシンクロしたんだろうな‥‥。
>>	［코우지］：아아‥‥내 과거의 기억에, 네 부름이 싱크로한 거겠지‥‥.
L11504	［ランファ］：そうですね。
>>	［란파］：그렇네요.
L11508	［コウジ］：ランファ、か‥‥。確か、異国の言葉で『舞う』という意味だそうだね。
>>	［코우지］：란파인가‥‥. 분명, 이국의 말로 『춤춘다』는 뜻이라지.
L11511	［ランファ］：はい。本当に、良かったですね‥‥。
>>	［란파］：네. 정말로, 다행이네요‥‥.
L11515	［コウジ］：‥‥上にいるファルたちは、どうするんだい？
>>	［코우지］：‥‥위에 있는 파르 일행은, 어쩔 거지?
L11518	［ランファ］：あの異星の方々は、私たち人類の文明を、単なる興味と利権のみの対象でしか、見ていなかった‥‥。
>>	［란파］：그 외계의 분들은, 저희 인류의 문명을, 그저 흥미와 이권의 대상으로밖에 보지 않았어요‥‥.
L11522	［コウジ］：前回と前々回の彼らには、穏便に退場願ったけどね。
>>	［코우지］：지난번과 지지난번 그들에게는, 조용히 물러나 달라고 했지만.
L11525	［ランファ］：ええ‥‥でも、ファルたちは違うような気がします。
>>	［란파］：네‥‥하지만, 파르 일행은 다른 것 같은 느낌이 들어요.
L11529	［コウジ］：あぁ、確かに心に暖かさを感じた‥‥。
>>	［코우지］：아아, 확실히 마음에 따뜻함을 느꼈어‥‥.
L11532	［ランファ］：フフ、ちょっぴりやけちゃいました。
>>	［란파］：후후, 조금 질투해 버렸어요.
L11535	［ランファ］：でも、もう行ってしまわれました‥‥。
>>	［란파］：하지만, 이미 가 버리셨어요‥‥.
L11539	［コウジ］：また、記憶を？
>>	［코우지］：또, 기억을?
L11542	［ランファ］：はい、でも今度再びやって来たときには‥‥‥‥。
>>	［란파］：네, 하지만 다음에 다시 찾아왔을 때에는‥‥‥‥.
L11546	［コウジ］：なぁ、我々はあとどのくらい、生きていられるんだろうね。
>>	［코우지］：있잖아, 우리는 앞으로 얼마나, 살아 있을 수 있을까.
L11549	［ランファ］：生きる、というのは正確ではありません。
>>	［란파］：산다는 것은, 정확하지 않아요.
L11553	［コウジ］：そうだったな‥‥あとどのくらい、稼働していられるのかな。
>>	［코우지］：그랬지‥‥앞으로 얼마나, 가동할 수 있을까.
L11556	［ランファ］：概算ですが、超伝導原子力電池の蓄電量は、あと２千年ほどです‥‥。
>>	［란파］：어림짐작이지만, 초전도 원자력 전지의 축전량은, 앞으로 ２천 년 정도예요‥‥.
L11560	［コウジ］：２千年か‥‥‥‥。
>>	［코우지］：２천 년인가‥‥‥‥.
L11563	私はもう一度、あたりを見回してみた。あと２千年、か‥‥‥‥。
>>	나는 다시 한 번, 주위를 둘러보았다. 앞으로 ２천 년인가‥‥‥‥.
L11566	「長いようで、短い時間だ‥‥‥‥。」
>>	「긴 것 같으면서도, 짧은 시간이군‥‥‥‥.」
L11569	「はい‥‥‥‥。」
>>	「네‥‥‥‥.」
L11572	「また、２人きりになってしまったね。」
>>	「또, 둘만 남게 되었군.」
L11575	「私、あなたとだったら‥‥‥‥。」
>>	「저, 당신과 함께라면‥‥‥‥.」
L11578	私は、彼女に微笑み掛けた。彼女は恥じらうように俯いている。正確には恥じらうような彼女の意識を、私が認識したと言うべきか‥‥。
>>	나는, 그녀에게 미소 지었다. 그녀는 부끄러운 듯 고개를 숙이고 있다. 정확히는 부끄러워하는 그녀의 의식을, 내가 인식했다고 해야 할까‥‥.
L11581	私は部屋の一角へ歩いていくと、彼女の方へ振り返って、
>>	나는 방 한구석으로 걸어가서는, 그녀 쪽으로 돌아보며,
L11584	「どうなの、これ。」
>>	「어때, 이건.」
L11587	「はい、外の放射能反応は、ほぼゼロになりました。それに必要な機材が、手に入りましたから‥‥。」
>>	「네, 바깥의 방사능 반응은, 거의 제로가 되었어요. 게다가 필요한 기자재도, 손에 넣었으니까요‥‥.」
L11590	「ファルたちには、感謝しなくちゃなんないね。」
>>	「파르 일행에게는, 감사해야겠군.」
L11593	「ええ、後は‥‥‥‥。」
>>	「네, 이제 남은 건‥‥‥‥.」
L11596	「１０か月？」
>>	「１０개월?」
L11599	「クスッ、そうですね‥‥。」
>>	「킥, 그렇네요‥‥.」
L11602	「アダムとイブ、だよな‥‥まるで。」
>>	「아담과 이브, 로군‥‥마치.」
L11605	「そうですね‥‥時間はたっぷりとあります。私たちだけの時間が‥‥。」
>>	「그렇네요‥‥시간은 충분히 있어요. 우리만의 시간이‥‥.」
L11608	「あぁ‥‥ゆっくり考えよう、これからのことは。」
>>	「아아‥‥천천히 생각하자, 앞으로의 일은.」
L11611	「‥‥眠るのですか？」
>>	「‥‥잠드시는 건가요?」
L11614	「眠って夢でもみよう。人間が再び、繁栄することを思いながら‥‥。」
>>	「잠들어 꿈이라도 꾸자. 인간이 다시, 번영하기를 생각하면서‥‥.」
L11617	もう夢を見ても大丈夫だろう‥‥懐かしいあの頃の‥‥‥‥。
>>	이제 꿈을 꿔도 괜찮겠지‥‥그리운 그 시절의‥‥‥‥.
L11620	私は再び、傍らに置いてあった試験管を見る‥‥。
>>	나는 다시, 곁에 놓여 있던 시험관을 본다‥‥.
L11623	そこには私と舞の‥‥人類の唯一の種が、眠っているのだ‥‥‥‥。
>>	그곳에는 나와 마이의‥‥인류의 유일한 씨가, 잠들어 있는 것이다‥‥‥‥.
L11629	言い様のない不安に襲われていたのも事実だった。私は、手近なドアを開けると、その中に身を潜めた‥‥。
>>	뭐라 말할 수 없는 불안에 휩싸여 있던 것도 사실이었다. 나는, 가까운 문을 열고, 그 안에 몸을 숨겼다‥‥.
L11632	（寒いな‥‥‥‥。）
>>	（춥군‥‥‥‥.）
L11635	その部屋は寒々としていた。目の前には、口から吐かれる白い煙が、ゆらゆらと揺れている。
>>	그 방은 싸늘했다. 눈앞에는, 입에서 나오는 하얀 김이, 하늘하늘 흔들리고 있다.
L11638	どうやら、妙な場所へ出てしまったようだが‥‥。
>>	아무래도, 묘한 장소로 나와 버린 모양이지만‥‥.
L11641	私は屈んでパネルをのぞき込んだ。そこには小さな文字で、こうディスプレイされていた。
>>	나는 몸을 굽혀 패널을 들여다보았다. 거기에는 작은 글자로, 이렇게 표시되어 있었다.
L11644	（そうだ、だんだん、思い出してきたぞ‥‥‥‥。）
>>	（그래, 점점, 기억이 나기 시작했다‥‥‥‥.）
L11647	（私は、これを利用して‥‥‥‥。）
>>	（나는, 이것을 이용해서‥‥‥‥.）
L11660	［トレイシー］：コウジ様、お気をつけ下さい。
>>	［트레이시］：코우지 님, 조심하세요.
L11664	［ランファ］：コウジ様ぁ、ランファの為に、きっと帰ってきて下さぁい。
>>	［란파］：코우지 니임, 란파를 위해서, 꼭 돌아와 주세요오.
L11668	［コウジ］：うむ、このジェネレータは私が大幅に改良したものだからな。理論上は完璧だ。
>>	［코우지］：음, 이 제너레이터는 내가 대폭 개량한 것이니까. 이론상으로는 완벽하다.
L11671	［トレイシー］：はい、そう信じています。
>>	［트레이시］：네, 그렇게 믿고 있어요.
L11674	［ランファ］：私も‥‥私もですぅ。
>>	［란파］：저도‥‥저도요오.
L11677	私は、あまり上等とは言えないクッションの上に仰向けになりながら、２人の心配そうな顔を交互に見た。
>>	나는, 그다지 고급이라 할 수 없는 쿠션 위에 반듯이 누운 채, ２명의 걱정스러운 얼굴을 번갈아 보았다.
L11680	小さな眼鏡を掛けてる金髪の女は、トレイシーという。私の秘書兼、参謀でかつ奴隷の女だ。
>>	작은 안경을 낀 금발 여자는, 트레이시라고 한다. 내 비서 겸, 참모이자 노예인 여자다.
L11683	よく気の付く性格は、まことに秘書に相応しい。全銀河秘書にしたいベスト１０というのがあれば、その中に間違いなく名を連ねたろう。
>>	눈치 빠른 성격은, 참으로 비서에 어울린다. 전 은하 비서로 삼고 싶은 베스트 １０이란 게 있다면, 그 안에 틀림없이 이름을 올렸으리라.
L11686	そして、大きなレモンイエローのリボンがトレードマークの、まだあどけなさの取れない顔つきの女は、ランファという。
>>	그리고, 커다란 레몬옐로 리본이 트레이드마크인, 아직 앳된 티가 가시지 않은 얼굴의 여자는, 란파라고 한다.
L11689	この機動シップ《クワドラ》の機関士兼、航海士でかつ私の奴隷だ。
>>	이 기동 시프 《콰드라》의 기관사 겸, 항해사이자 내 노예다.
L11692	脳のシナプスの２、３万本は、常に焼き切れている、ちょっと間の抜けた女だ。だが、メカに対する知識は深く、この《クワドラ》に無くてはならない存在である。
>>	뇌의 시냅스 ２, ３만 가닥은, 늘 타서 끊어져 있는, 좀 얼빠진 여자다. 하지만, 메카에 대한 지식은 깊어, 이 《콰드라》에 없어서는 안 될 존재다.
L11696	［コウジ］：大宇宙海賊御用達霊子エナジー増幅ジェネレータの準備は万端か？
>>	［코우지］：대우주 해적 전용 영자 에너지 증폭 제너레이터의 준비는 만전인가?
L11699	［ランファ］：はい、言われたとおりの数値データは、すでにインプットされてます。
>>	［란파］：네, 말씀하신 대로의 수치 데이터는, 이미 입력돼 있어요.
L11702	［トレイシー］：後は、ファルネリアさんのシンクロを待つだけですわ。
>>	［트레이시］：이제 남은 건, 파르네리아 씨의 싱크로를 기다리는 것뿐이에요.
L11706	［コウジ］：うむ。
>>	［코우지］：음.
L11709	私はうなずきながら、隣の装置に入っている女性を横目で見た。
>>	나는 고개를 끄덕이며, 옆 장치에 들어 있는 여성을 곁눈으로 보았다.
L11713	［コウジ］：（後は、あの女が上手くシンクロしてくれれば‥‥。）
>>	［코우지］：（이제 저 여자가 잘 싱크로해 주기만 하면‥‥.）
L11716	彼女‥‥ファルネリアという名前の女性は、非常に精神感応の力に優れている。今回この計画には、彼女のような人材が必要不可欠だったのだ。
>>	그녀‥‥파르네리아라는 이름의 여성은, 정신감응 능력이 대단히 뛰어나다. 이번 이 계획에는, 그녀 같은 인재가 필수불가결했던 것이다.
L11719	大宇宙海賊御用達霊子エナジー増幅ジェネレータ‥‥私が付けたナイスネームのこの装置は、人体から霊子エネルギーを分離する。
>>	대우주 해적 전용 영자 에너지 증폭 제너레이터‥‥내가 나이스 네임을 붙인 이 장치는, 인체에서 영자 에너지를 분리한다.
L11722	早い話が、幽体分離装置である。
>>	쉽게 말해, 유체 분리 장치다.
L11725	私のような屈強の宇宙海賊は、力だけではない。広大な銀河宇宙の情報をも、一手に担っておかなくてはならない。
>>	나 같은 굴강한 우주 해적은, 힘만이 아니다. 광대한 은하 우주의 정보까지, 한 손에 쥐고 있어야만 한다.
L11728	そして今回の計画は、大宇宙海賊という地位を、さらに不動のモノにしてしまおうという試みなのだ。
>>	그리고 이번 계획은, 대우주 해적이란 지위를, 한층 더 부동의 것으로 만들어 버리려는 시도다.
L11731	幽体となれば、どのような場所であれ入り込むことが可能な上、時間的距離はゼロに等しくなる。つまり、情報の隠蔽は、私に対しては事実上不可能となるのだ。
>>	유체가 되면, 어떤 장소든 들어갈 수 있는 데다, 시간적 거리는 제로와 같아진다. 즉, 정보의 은폐는, 나에게는 사실상 불가능해지는 것이다.
L11734	もっとも幽体フライトには、強力な精神感応者が触媒として必要になった。そこでファルネリアというプロフェッサを、かっぱらってきたという次第だ。
>>	다만 유체 플라이트에는, 강력한 정신감응자가 촉매로 필요했다. 그래서 파르네리아라는 프로페서를, 낚아채 왔다는 얘기다.
L11737	屈強の大宇宙海賊でかつ大天才である私が、改良をくわえたジェネレータだ。万が一にも失敗は無い‥‥はずだ。
>>	굴강한 대우주 해적이자 대천재인 내가, 개량을 가한 제너레이터다. 만에 하나도 실패는 없다‥‥없을 것이다.
L11741	［トレイシー］：コウジ様、いかがなされましたか？
>>	［트레이시］：코우지 님, 무슨 일이신가요?
L11745	［コウジ］：うむ、武者震いというやつだろう。少しゾクゾクする。
>>	［코우지］：음, 결전을 앞둔 떨림이라는 거겠지. 조금 짜릿짜릿하군.
L11748	［トレイシー］：頼もしい限りですわ。
>>	［트레이시］：더없이 든든하네요.
L11752	［ランファ］：がんばって下さいね、コウジ様ぁ。
>>	［란파］：힘내 주세요, 코우지 니임.
L11756	［コウジ］：では、行ってくることにしよう。
>>	［코우지］：그럼, 다녀오도록 하지.
L11759	私はそう言うと、ゆっくりと目をつぶった。まわりで響いていた重々しい稼働音が、少しずつ小さくなっていく。
>>	나는 그렇게 말하고는, 천천히 눈을 감았다. 주위에 울리던 묵직한 가동음이, 조금씩 작아져 간다.
L11762	私は心地よい振動と静寂に、身を委ねていった‥‥‥‥。
>>	나는 기분 좋은 진동과 정적에, 몸을 맡겨 갔다‥‥‥‥.
L11766	［涼子］：宏治クン、大丈夫だった？
>>	［료코］：코지 군, 괜찮았어?
L11769	［涼子］：ゴメンなさい、ちょっと刺激が強すぎたのかしら。
>>	［료코］：미안해, 자극이 좀 너무 강했나.
L11772	［涼子］：まだ、少し混乱しているようね。でも、脳のシナプスは焼き切れていないようだから、安心して。
>>	［료코］：아직, 좀 혼란스러운 모양이네. 하지만, 뇌의 시냅스는 타서 끊어지진 않은 것 같으니, 안심해.
L11775	［涼子］：あっ、まだしゃべらないでいいわ。私の言うことが理解できる？　できるなら一回だけ、うなずいて。
>>	［료코］：앗, 아직 말하지 않아도 돼. 내가 하는 말 이해돼?　된다면 한 번만, 고개를 끄덕여.
L11778	コクン。
>>	끄덕.
L11781	［涼子］：いいわ、じゃあ、私のことは見えているわね？
>>	［료코］：좋아, 그럼, 내 모습은 보이는 거지?
L11784	［涼子］：良かったぁ‥‥意識昏倒で倒れたときは、さすがの私もビビっちゃったわ。
>>	［료코］：다행이다아‥‥의식을 잃고 쓰러졌을 때는, 나도 어지간히 겁먹었었어.
L11788	［涼子］：一応、宏治クンの身体は精密検査をしておいたけど、異状はなさそうよ。
>>	［료코］：일단, 코지 군 몸은 정밀 검사를 해 뒀는데, 이상은 없는 것 같아.
L11791	［涼子］：でもあのドリームプログラムマシンもね、一応理論上は完璧だったのよ。
>>	［료코］：하지만 그 ONEIROS 프로그램 머신도 말이야, 일단 이론상으로는 완벽했었어.
L11794	［涼子］：ま、理論と実際に隔たりがあるのは、研究者の宿命よね。
>>	［료코］：뭐, 이론과 실제에 차이가 있는 건, 연구자의 숙명이지.
L11797	［涼子］：でも言うでしょ？　失敗は成功の元って。これに懲りずに、また協力して頂戴。
>>	［료코］：그래도 말하잖아?　실패는 성공의 어머니라고. 이번 일에 질리지 말고, 또 협력해 줘.
L11800	［涼子］：だーいじょうぶよ、そんな顔をしなくても。今度こそ、成功してみせるわっ。
>>	［료코］：괘―찮아, 그런 얼굴 하지 않아도. 이번에야말로, 성공해 보이겠어.
L11803	［涼子］：でも、舞の取り乱しようといったら、なかったわ‥‥あの子ね、あれでもあなたの事が好きなのよ。
>>	［료코］：그래도, 마이가 허둥대던 건, 말도 못 할 정도였어‥‥그 애 말이야, 저래 봬도 널 좋아하는 거야.
L11806	［涼子］：姉の私から言うのも何だけど、あの子の気持ち、無にしないで欲しいわ。
>>	［료코］：언니인 내가 말하기도 뭐하지만, 그 애 마음, 헛되이 하지 말아 줬으면 해.
L11810	［涼子］：フフ、あなたにガールフレンドがいるのは、わかっているわよ。でもね‥‥あら、宏治クン？
>>	［료코］：후후, 너한테 여자친구가 있는 건, 알고 있어. 하지만 말이야‥‥어머, 코지 군?
L11813	ドサッ。
>>	털썩.
L11817	［涼子］：ちょっと、宏治クン、ねぇ、大丈夫？　宏治クン！？
>>	［료코］：잠깐, 코지 군, 이봐, 괜찮아?　코지 군!?
L11821	［涼子］：大変だわ、顔が真っ青‥‥宏治クン、ねぇ、宏治クン‥‥‥‥。
>>	［료코］：큰일이야, 얼굴이 새파래‥‥코지 군, 이봐, 코지 군‥‥‥‥.
L11824	そうか‥‥私は、ジェネレータを利用して‥‥。
>>	그런가‥‥나는, 제너레이터를 이용해서‥‥.
L11827	だが、この脆弱な肉体は、いったいどうしたことだ。これが、私の身体なのか‥‥？
>>	하지만, 이 연약한 육체는, 대체 어찌 된 일인가. 이것이, 내 몸이란 말인가‥‥?
L11830	やけに、動きにくい。
>>	유난히, 움직이기 힘들다.
L11833	いや、私の意識自体に問題があるのか‥‥。
>>	아니, 내 의식 자체에 문제가 있는 것인가‥‥.
L11836	‥‥さま‥‥。
>>	‥‥님‥‥.
L11839	ん‥‥？
>>	응‥‥?
L11843	《コウジ様‥‥‥‥。》
>>	《코우지 님‥‥‥‥.》
L11846	ん、この声は‥‥‥‥。
>>	응, 이 목소리는‥‥‥‥.
L11849	《まだ‥‥‥‥混乱しているのですか‥‥‥‥。》
>>	《아직‥‥‥‥혼란스러우신 건가요‥‥‥‥.》
L11852	誰だ、貴様は‥‥‥‥。
>>	누구냐, 네놈은‥‥‥‥.
L11855	いや、これは私に語りかける声ではない。直接脳に‥‥？
>>	아니, 이건 내게 말을 거는 목소리가 아니다. 직접 뇌에‥‥?
L11858	聞き覚えがある‥‥そうだ、あれは‥‥‥‥。
>>	들어본 적이 있다‥‥그래, 저건‥‥‥‥.
