# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L31722	［トレイシー］：明後日？
L31800	［トレイシー］：（人間便器である、私の特権なのよ。コウジ様は、私にだけ、飲ませて下さるのよ。）
>>	［트레이시］：（인간 변기인 내 특권이야. 코우지 님은 나한테만 마시게 해 주시니까.）
L31804	［コウジ］：どうだ、トレイシー。
>>	［코우지］：어떠냐, 트레이시.
L31808	［トレイシー］：あぁぁぁ、コウジ様‥‥‥愛してますっ！
>>	［트레이시］：아아아아, 코우지 님‥‥‥사랑해요!
L31812	［コウジ］：フン、今日はいけそうか！？
>>	［코우지］：흥, 오늘은 나올 것 같나!?
L31815	［トレイシー］：はい、イけとおっしゃれば、いつでも‥‥あぅぅぅっ！
>>	［트레이시］：네, 싸라고 하시면, 언제든‥‥아으으읏!
L31819	［コウジ］：たっぷりと、しぼりだしてやるぞ、今日はな‥‥。
>>	［코우지］：듬뿍, 짜내 줄 테다, 오늘은‥‥.
L31823	［トレイシー］：あぁぁ、光栄です‥‥コウジ様ぁぁぁ‥‥私のお乳を、たっぷりとしぼって下さいっ！
>>	［트레이시］：아아아, 영광이에요‥‥코우지 니이임‥‥제 젖을, 듬뿍 짜 주세요엇!
L31827	［コウジ］：フン、もう出そうだな、パンパンに張っているぞ。
>>	［코우지］：흥, 이제 나올 것 같군, 빵빵하게 부풀어 있어.
L31831	［トレイシー］：そうです‥‥んくっ、コウジ様がオッパイと乳首をしごくから、沢山沢山出てしまいそうですぅっ！
>>	［트레이시］：그래요‥‥응긋, 코우지 님이 가슴이랑 젖꼭지를 주무르시니까, 많이많이 나올 것 같아요옷!
L31835	［コウジ］：トレイシー、今度はファルのヤツをお前の虜にするのだ。
>>	［코우지］：트레이시, 이번엔 파르 그 녀석을 네 포로로 만드는 거다.
L31839	［トレイシー］：あぁぁぁ、何でも命じて下さい‥‥私はコウジ様の‥‥あがっ！
>>	［트레이시］：아아아아, 뭐든 명해 주세요‥‥저는 코우지 님의‥‥아각!
L31843	［コウジ］：聞こえないぞ！？
>>	［코우지］：안 들리는데!?
L31847	［トレイシー］：私はコウジ様の‥‥。
>>	［트레이시］：저는 코우지 님의‥‥.
L31851	［コウジ］：そら、出せぇっ！！
>>	［코우지］：자, 내놔앗!!
L31854	ぎゅぅぅぅぅぅっっ！！
>>	꽈아아아아악!!
L31857	［トレイシー］：肉奴隷ぃぃぃぃぃぃぃっっっ！！！
>>	［트레이시］：육노예이이이이이이잇!!!
