# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L10436	［ファル］：このシップは単層構造だから、下のブロックというのは存在しないわ。
L10699	私はそう考えると、足を伸ばし、シートにぐっともたれ掛かった。惑星エイレートはもう、目の前にまで迫っている‥‥。
>>	나는 그렇게 생각하고는, 다리를 뻗고, 시트에 푹 기댔다. 행성 에이레이트는 이미, 눈앞까지 다가와 있다‥‥.
L10702	惑星は、暗く、じめじめとした場所だった‥‥。
>>	행성은, 어둡고, 축축한 곳이었다‥‥.
L10705	ちょうど、夜の側に入ってしまったからだろうが、全体的に暗く、湿度が高い。
>>	마침, 밤 쪽으로 들어와 버려서겠지만, 전체적으로 어둡고, 습도가 높다.
L10708	砂漠と見間違うほど、あたり一面に砂丘が広がっていた。砂丘のあちこちから、何かの建造物とおぼしい遺跡が突出しているのが確認できる。
>>	사막으로 착각할 만큼, 사방 일면에 사구가 펼쳐져 있었다. 사구 여기저기에서, 어떤 건조물로 보이는 유적이 돌출해 있는 것을 확인할 수 있다.
L10712	［コウジ］：（かつての文明のレベルは、それほど低くは無かったのかもしれないが‥‥。）
>>	［코우지］：（예전 문명의 수준은, 그리 낮지는 않았을지도 모르지만‥‥.）
L10715	長い年月のあいだ、恒星の強い光と風雨にさらされて、もはや原型をとどめぬほど色あせ、風化していた。
>>	긴 세월 동안, 항성의 강한 빛과 비바람에 노출되어, 이미 원형을 알아볼 수 없을 만큼 색이 바래고, 풍화되어 있었다.
L10718	周囲が霞んで見えるのは、うっすらと漂う霧のせいだった。
>>	주위가 흐릿하게 보이는 것은, 엷게 감도는 안개 탓이었다.
L10721	［コウジ］：（まるで、夢の中みたいだな‥‥‥‥<$0C>夢？）
>>	［코우지］：（마치, 꿈속 같군‥‥‥‥<$0C>꿈?）
L10724	私は黙って、窮屈なコクピットから身体を押し出した。棒状のハシゴへ足を掛けた途端‥‥。
>>	나는 잠자코, 비좁은 콕핏에서 몸을 밀어냈다. 봉 모양의 사다리에 발을 건 순간‥‥.
L10727	［ファル］：やぁぁっ！！
>>	［파르］：야아앗!!
L10730	フワリと無重力状態になったかと思うと、次の瞬間、私は地面に背中をしたたか打ちつけていた。ファルが後ろから突き落としたのだ。
>>	붕 하고 무중력 상태가 되었나 싶더니, 다음 순간, 나는 땅바닥에 등을 세게 부딪히고 말았다. 파르가 뒤에서 밀어 떨어뜨린 것이다.
L10734	［コウジ］：くっ‥‥‥‥。
>>	［코우지］：윽‥‥‥‥.
L10737	一瞬息が詰まり、呼吸が困難になる。激しくむせかえり、意識が遠くなっていった‥‥。
>>	순간 숨이 막히고, 호흡이 곤란해진다. 심하게 사레들려, 의식이 멀어져 갔다‥‥.
L10740	目をつむったまま、無意識に手を動かし銃を捜してみる。見あたらない‥‥。
>>	눈을 감은 채, 무의식적으로 손을 움직여 총을 찾아본다. 보이지 않는다‥‥.
L10743	彼女がそれを奪い返し、私に向けるのは、想像に難くなく、おまけに私は身体がしびれて、しばらく動くことすらままならなかった‥‥。
>>	그녀가 그것을 되빼앗아, 나에게 겨누리라는 건 상상하기 어렵지 않고, 게다가 나는 몸이 저려서, 한동안 움직이는 것조차 여의치 않았다‥‥.
L10747	［コウジ］：（どうやら、ここまでかな‥‥。）
>>	［코우지］：（아무래도, 여기까지인가‥‥.）
L10750	覚悟を決めて、目を開けてみると‥‥‥‥。
>>	각오를 다지고, 눈을 떠 보니‥‥‥‥.
L10754	［コウジ］：ふ、ファル‥‥‥‥。
>>	［코우지］：파, 파르‥‥‥‥.
L10758	［ファル］：ゴメンね、コウジ‥‥痛かった？
>>	［파르］：미안해, 코우지‥‥아팠어?
L10761	少しすまなそうな表情をしながら、ファルは私の身体を抱きかかえていた。意外に顔が近いので、少し焦ってしまう。
>>	조금 미안한 듯한 표정을 하면서, 파르는 내 몸을 안아 일으키고 있었다. 의외로 얼굴이 가까워서, 조금 당황하고 만다.
L10765	［コウジ］：べ、別にその‥‥こっちこそ、ゴメン。
>>	［코우지］：벼, 별로 그‥‥이쪽이야말로, 미안.
L10768	［ファル］：いつまでも銃を突きつけられてるのって、ストレス溜まるのよね。
>>	［파르］：언제까지고 총이 겨눠져 있는 건, 스트레스 쌓이거든.
L10771	ファルはクスっと笑みをこぼしながら、傍らの手で銃を弄んでいた。少し心臓の動悸が速くなる。
>>	파르는 킥 하고 미소를 흘리면서, 한쪽 손으로 총을 만지작거리고 있었다. 조금 심장 박동이 빨라진다.
L10774	［ファル］：あら、少し恐怖の色が出たわね‥‥フフ、安心して。
>>	［파르］：어머, 조금 공포의 빛이 나왔네‥‥후후, 안심해.
L10777	［ファル］：ま、セーフティロックは掛かったままだったから、身の危険は感じなかったけど。
>>	［파르］：뭐, 세이프티 록은 걸린 채였으니까, 신변의 위험은 느끼지 않았지만.
L10781	［コウジ］：そ、それって‥‥‥‥。
>>	［코우지］：그, 그건‥‥‥‥.
L10784	［ファル］：さっきので、今までの事は帳消しにしてあげる。もう話してよ。何か、訳ありなんでしょう？
>>	［파르］：방금 걸로, 지금까지의 일은 없던 걸로 해 줄게. 이제 말해 줘. 뭔가, 사정이 있는 거지?
L10788	［コウジ］：信じてくれるのか‥‥？
>>	［코우지］：믿어 주는 건가‥‥?
L10791	［ファル］：正直言うと、こうして話している今も、半信半疑なんだけどね。
>>	［파르］：솔직히 말하면, 이렇게 얘기하는 지금도 반신반의지만 말이야.
L10794	［ファル］：でも、私に銃を突きつけてる間も、私の事を気遣ってくれてたし、酷いこともしなかった‥‥。
>>	［파르］：하지만, 나한테 총을 겨누고 있는 동안도, 날 신경 써 줬고, 심한 짓도 안 했어‥‥.
L10797	［ファル］：だから‥‥‥‥。
>>	［파르］：그러니까‥‥‥‥.
L10801	［コウジ］：ゴメン、あのときは、ああする他は無かった‥‥。
>>	［코우지］：미안, 그때는 그럴 수밖에 없었어‥‥.
L10804	［ファル］：うん、わかってる。
>>	［파르］：응, 알고 있어.
L10807	ファルは、少しだけあたりを見回した。どんよりと曇った空から、パラパラと雨が降り注ぎはじめている。
>>	파르는 잠시 주위를 둘러보았다. 잔뜩 흐린 하늘에서, 후드득 비가 쏟아지기 시작하고 있다.
L10810	［ファル］：どうするの、これから‥‥。
>>	［파르］：어떻게 할 거야, 이제부터‥‥.
L10814	［コウジ］：どうするもこうするも‥‥私は行くために、ここへ降りてきたんだ。
>>	［코우지］：어쩌고 뭐고‥‥나는 가기 위해 여기로 내려온 거야.
L10817	［ファル］：私も一緒に行くわ。
>>	［파르］：나도 같이 갈게.
L10821	［コウジ］：いや、これはどうやら私自身の問題らしい‥‥１人で行かせて欲しいんだ。
>>	［코우지］：아니, 이건 아무래도 나 자신의 문제인 것 같아‥‥혼자 가게 해 줬으면 해.
L10825	［コウジ］：頼む‥‥。
>>	［코우지］：부탁해‥‥.
L10828	［ファル］：わかったわ‥‥でも、気を付けなさい。銃は？
>>	［파르］：알았어‥‥하지만, 조심해. 총은?
L10831	差し出された銃を私は押し返す。これから行くところは、恐らく銃など不要な気がしたのだ。
>>	내민 총을 나는 도로 밀어 돌려준다. 앞으로 갈 곳에는, 아마 총 따위 필요 없을 것 같았다.
L10835	［コウジ］：気持ちだけ、ありがたく受け取っておくよ。
>>	［코우지］：마음만 고맙게 받아 둘게.
L10838	［ファル］：ここで待っているわ。
>>	［파르］：여기서 기다리고 있을게.
L10842	［コウジ］：帰ってこないかも、しれないよ。
>>	［코우지］：돌아오지 못할지도, 몰라.
L10845	［ファル］：そうかしら‥‥。
>>	［파르］：글쎄, 어떨까‥‥.
L10848	ゆっくりと立ち上がると、身体に付いた砂を手ではらった。砂が風にのって、パラパラと舞っていく。
>>	천천히 일어서서, 몸에 붙은 모래를 손으로 털어냈다. 모래가 바람을 타고, 사락사락 흩날려 간다.
L10851	私は１人、地平線のかなたに見えかくれする、黒々しい巨大な遺跡に向かって歩き出した。
>>	나는 홀로, 지평선 저편에 보였다 안 보였다 하는, 시커멓고 거대한 유적을 향해 걷기 시작했다.
L10854	ファルの視線を背中に感じながら‥‥‥‥。
>>	파르의 시선을 등에 느끼면서‥‥‥‥.
L10857	［ファル］：‥‥‥‥。
>>	［파르］：‥‥‥‥.
L10860	［ファル］：‥‥‥‥‥‥‥‥。
>>	［파르］：‥‥‥‥‥‥‥‥.
L10863	［ファル］：私、こんな所でいったい何をやっていたのかしら‥‥。
>>	［파르］：나, 이런 곳에서 대체 뭘 하고 있었던 걸까‥‥.
L10866	［ファル］：なぜ、１人でこの惑星に‥‥‥‥？
>>	［파르］：어째서, 혼자서 이 행성에‥‥‥‥?
L10869	ほとんど廃墟と化した遺跡の中を、私は歩いていた。
>>	거의 폐허로 변한 유적 안을, 나는 걷고 있었다.
L10872	黄褐色の不気味な光が、うっすらと差し込んで足下を照らしている‥‥恐らくこの惑星の、年老いた衛星が放つ光だろう。
>>	황갈색의 불길한 빛이, 희미하게 스며들어 발밑을 비추고 있다‥‥아마 이 행성의, 늙은 위성이 내는 빛이리라.
L10875	私は暗がりの中を慎重に進んでいった。床は意外に堅く、足音が洞窟内にコツコツと、寂しく響きわたる。
>>	나는 어둠 속을 신중히 나아갔다. 바닥은 의외로 단단해서, 발소리가 동굴 안에 또각또각, 쓸쓸히 울려 퍼진다.
L10878	明らかに人工物とおぼしい瓦礫の中を、私は黙々と歩いていた。加工された木材や金属らしきものが、あちこちから飛び出している。
>>	명백히 인공물로 보이는 잔해 속을, 나는 묵묵히 걷고 있었다. 가공된 목재나 금속 같은 것이, 여기저기서 삐져나와 있다.
L10881	しかし、長い年月のあいだに風化したそれらは、私の靴底で簡単に砕け散り、砂と変わっていった。
>>	하지만, 긴 세월 동안 풍화된 그것들은, 내 신발 밑창에 쉽게 부서져, 모래로 변해 갔다.
L10884	ふと立ち止まって脇を見ると、階段らしきものを発見した。手すりのようなものに、弦巻状の植物が複雑に絡み付いている。
>>	문득 멈춰 서서 옆을 보니, 계단 같은 것을 발견했다. 난간 같은 것에, 덩굴 모양의 식물이 복잡하게 얽혀 있다.
L10887	構造的な建設ができるということは、意外に文明が、栄えていたのかもしれない‥‥。
>>	구조적인 건설이 가능했다는 것은, 의외로 문명이, 번성했었는지도 모른다‥‥.
L10891	［コウジ］：（上の階には、いったい何があるんだろう‥‥。）
>>	［코우지］：（위층에는, 대체 무엇이 있는 걸까‥‥.）
L10894	塵や埃、ツタ系の植物が鬱蒼と生い茂っていて、足場の確認がかなり困難だった。ライトを持ってこなかったことを、少しだけ後悔する。
>>	먼지와 티끌, 덩굴류 식물이 울창하게 우거져 있어, 발판 확인이 상당히 어려웠다. 라이트를 가져오지 않은 것을, 조금 후회한다.
L10897	もっとも目の前の苦難は、私の好奇心を負かす事ができなかったようだった。
>>	하기야 눈앞의 고난은, 내 호기심을 이기지는 못한 모양이었다.
L10901	［コウジ］：（行ってみるか‥‥。）
>>	［코우지］：（가 볼까‥‥.）
L10904	ところどころ破損した箇所を慎重に避けながら、私はゆっくりと階段を上がっていった。
>>	군데군데 파손된 곳을 신중히 피하면서, 나는 천천히 계단을 올라갔다.
L10908	［コウジ］：（ここは‥‥‥‥。）
>>	［코우지］：（여기는‥‥‥‥.）
L10911	目の前には、比較的長い道が、一直線に奥へと伸びていた‥‥。
>>	눈앞에는, 비교적 긴 길이, 일직선으로 안쪽까지 뻗어 있었다‥‥.
L10914	地面や側壁などにはヒビが入り、あれ果てた状態だったが、はるか昔は、綺麗に整備された気配をうかがわせる。
>>	바닥이나 측벽에는 금이 가고 황폐해진 상태였지만, 아득한 옛날에는, 깨끗이 정비되어 있던 흔적을 엿보게 한다.
L10917	先史文明とやらの、レベルの高さという訳だろうか。
>>	선사 문명이라는 것의 수준이 높다는 얘기일까.
L10921	［コウジ］：（しかし、ここはどこかで‥‥‥‥。）
>>	［코우지］：（하지만, 여기는 어딘가에서‥‥‥‥.）
L10924	例の既視感覚、というやつだろうか‥‥単なる思い違いか、あるいは予知と呼ばれるものなのか‥‥。
>>	예의 그 기시감각이라는 걸까‥‥단순한 착각인가, 아니면 예지라 불리는 것인가‥‥.
L10927	だが、構造的に明らかに覚えがあった。私はゆっくりと、記憶の糸を手繰りだした。
>>	하지만, 구조적으로 분명히 기억이 있었다. 나는 천천히, 기억의 실을 더듬어 나갔다.
L10931	［コウジ］：（そういえば‥‥‥‥。）
>>	［코우지］：（그러고 보니‥‥‥‥.）
L10935	［コウジ］：（ま、まさか‥‥‥‥。）
>>	［코우지］：（서, 설마‥‥‥‥.）
L10938	そのまさかのようだ‥‥私は、どうやら夢の中の世界へと、迷い込んでしまったらしい。
>>	그 설마인 모양이다‥‥나는, 아무래도 꿈속 세계로 헤매 들어와 버린 듯했다.
L10941	夢の中‥‥‥‥？
>>	꿈속‥‥‥‥?
L10944	これは、現実ではなかったのか‥‥？
>>	이것은, 현실이 아니었던 건가‥‥?
L10947	私は夢の中の記憶を頼りに、慎重に進んでいく‥‥。
>>	나는 꿈속의 기억에 의지해, 신중히 나아간다‥‥.
L10950	この脇に椅子が置いてあり、そしてこの先の角には階段が‥‥風化しているとはいえ、私の思ったとおりの配置に愕然とする。
>>	이 옆에 의자가 놓여 있고, 이 앞 모퉁이에는 계단이‥‥풍화됐다고는 해도, 내 생각 그대로인 배치에 아연실색한다.
L10953	このドアの向こう側は診療室だったはずだ。そして‥‥‥‥。
>>	이 문 저편은 진료실이었을 터다. 그리고‥‥‥‥.
L10956	私は、ある大きなドアの前に立った‥‥。
>>	나는, 어느 커다란 문 앞에 섰다‥‥.
L10960	［コウジ］：（このドアの向こう側に‥‥‥‥。）
>>	［코우지］：（이 문 저편에‥‥‥‥.）
L10963	緊張感が高まり、心臓の動悸速度が増加していく。このドアの向こう側に‥‥‥‥？
>>	긴장감이 높아지고, 심장의 고동이 빨라져 간다. 이 문 저편에‥‥‥‥?
L10966	予測以上の確信をもって、私はドアを開けた‥‥‥‥。
>>	예측 이상의 확신을 갖고, 나는 문을 열었다‥‥‥‥.
L10970	［宏治］：ここは‥‥コンピュータ・ルーム！？
>>	［코지］：여기는‥‥컴퓨터 룸!?
L10973	重々しい稼働音が耳に響いてくる。ここは、あのコンピュータ・ルームだ。
>>	묵직한 가동음이 귀에 울려온다. 여기는, 그 컴퓨터 룸이다.
L10976	僕は‥‥‥‥。
>>	나는‥‥‥‥.
L10979	いったいどうしたというんだ‥‥。
>>	대체 어떻게 된 거란 말인가‥‥.
L10982	なぜ、僕はここに‥‥‥‥。
>>	어째서, 나는 여기에‥‥‥‥.
L10986	［恵］：宏治ぃ！
>>	［메구미］：코지이!
L10990	［宏治］：だ、誰だ！？
>>	［코지］：누, 누구야!?
L10993	［恵］：私よ‥‥ここよぉ！
>>	［메구미］：나야‥‥여기야아!
L10997	［宏治］：め、恵か！？
>>	［코지］：메, 메구미냐!?
L11001	［宏治］：恵じゃないか、何をやっているんだ‥‥。
>>	［코지］：메구미잖아, 뭘 하고 있는 거야‥‥.
L11005	［恵］：宏治、バカぁ！
>>	［메구미］：코지, 바보오!
L11009	［宏治］：ば‥‥いきなり、バカはないだろう？
>>	［코지］：바‥‥다짜고짜, 바보는 너무하잖아?
