# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L30950	［コウジ］：ときに、さっきの女性は誰だ？
>>	［트레이시］：（어머, 이렇게 즙을 흘리면서‥‥얼마나 음란한 아이일까‥‥.）
L31273	［トレイシー］：（お仕置きしてあげるわ‥‥‥‥。）
>>	［트레이시］：（혼내 줄게‥‥‥‥.）
L31276	［ランファ］：んはぁぁぁぁっ、ダメぇぇぇぇっ！！
>>	［란파］：응하아아아앗, 안 돼애애애엣!!
L31279	［トレイシー］：（甘いわね、お口があんなに開いちゃって‥‥。）
>>	［트레이시］：（순진하네, 입이 그렇게 벌어져서‥‥.）
L31282	れろっ。
>>	낼름.
L31285	［ランファ］：んんっ！
>>	［란파］：응읏!
L31288	［トレイシー］：（口腔の隅から隅まで、なぞってあげるわ‥‥。）
>>	［트레이시］：（입안 구석구석까지, 훑어 줄게‥‥.）
L31291	［トレイシー］：（もちろん、舌の下側も‥‥歯茎も‥‥口腔の全てを私の舌で、なぞっていってあげる‥‥。）
>>	［트레이시］：（물론, 혀 아래쪽도‥‥잇몸도‥‥입안 전부를 내 혀로, 훑어 줄게‥‥.）
L31294	［ランファ］：んあぁぁぁぁぁ‥‥トレイシー‥‥何だか、ランファ‥‥何だか‥‥。
>>	［란파］：응아아아아아‥‥트레이시‥‥뭔가, 란파‥‥뭔가‥‥.
L31297	［トレイシー］：いいのよ、ランファ‥‥自分の気持ちに、正直になりなさい‥‥。
>>	［트레이시］：괜찮아, 란파‥‥자기 기분에, 솔직해지렴‥‥.
L31300	［ランファ］：あぁぁ、トレイシー‥‥ランファ、何だか変なの‥‥こんなの、初めて‥‥。
>>	［란파］：아아아, 트레이시‥‥란파, 뭔가 이상해‥‥이런 거, 처음이야‥‥.
L31303	［トレイシー］：ウフフ、私にもね、そういうときがあったの。
>>	［트레이시］：우후후, 나도 말이야, 그런 때가 있었어.
L31306	［ランファ］：‥‥トレイシーにも？
>>	［란파］：‥‥트레이시도?
L31309	［トレイシー］：そうよ、だけど、ご主人様の言うとおりにしたら、私は本当の私を見つけることができたわ‥‥。
>>	［트레이시］：그래, 그래도, 주인님 말씀대로 했더니, 나는 진짜 나를 찾을 수 있었어‥‥.
L31312	［ランファ］：ご主人様‥‥？
>>	［란파］：주인님‥‥?
L31315	［トレイシー］：そうよ、そのお方のおかげで、本当の私を見つけられたの。
>>	［트레이시］：그래, 그분 덕분에, 진짜 나를 찾을 수 있었어.
L31318	［ランファ］：本当の‥‥私？
>>	［란파］：진짜‥‥나?
L31321	［トレイシー］：そうよ、あなたも、きっと見つけられる。
>>	［트레이시］：그래, 너도, 분명 찾을 수 있어.
L31324	［ランファ］：ランファも、本当のランファを見つけられるの？
>>	［란파］：란파도, 진짜 란파를 찾을 수 있어?
L31327	［トレイシー］：もちろんよ、私に任せて‥‥‥‥。
>>	［트레이시］：물론이지, 내게 맡기렴‥‥‥‥.
L31330	［ランファ］：トレイシー‥‥なんだか、ランファ、恐い‥‥。
>>	［란파］：트레이시‥‥왠지, 란파, 무서워‥‥.
L31333	［トレイシー］：大丈夫よ。確かに本当の自分を見つけるのは、とっても勇気がいるの。
>>	［트레이시］：괜찮아. 확실히 진짜 자신을 찾는 건, 아주 용기가 필요해.
L31336	［ランファ］：うん‥‥。
>>	［란파］：응‥‥.
L31339	［トレイシー］：だけど一度見つけたら、とっても幸せな気分になれるわ。
>>	［트레이시］：그래도 한번 찾으면, 아주 행복한 기분이 될 거야.
L31342	［ランファ］：本当に‥‥？
>>	［란파］：정말‥‥?
L31345	［トレイシー］：本当よ。私はいま、幸せの絶頂にいるわ‥‥。
>>	［트레이시］：정말이야. 나는 지금, 행복의 절정에 있어‥‥.
L31348	［ランファ］：トレイシー‥‥。
>>	［란파］：트레이시‥‥.
L31351	［トレイシー］：ランファ、私に心と身体を開くのよ‥‥。
>>	［트레이시］：란파, 내게 마음과 몸을 여는 거야‥‥.
L31354	［ランファ］：うん‥‥トレイシー、好きよ‥‥最初は恐かったの、だけど、後でキスしたことを思い出したとき、どうしようもなくなって‥‥。
>>	［란파］：응‥‥트레이시, 좋아해‥‥처음엔 무서웠어, 그래도, 나중에 키스한 걸 떠올렸을 때, 어쩔 수가 없어져서‥‥.
L31357	［トレイシー］：自分自身で、慰めてしまったのね‥‥。
>>	［트레이시］：스스로, 달래 버린 거네‥‥.
L31360	［ランファ］：そうなの‥‥ランファ、トレイシーのことが好きよ。
>>	［란파］：그래‥‥란파, 트레이시가 좋아.
L31363	［トレイシー］：さっ、足をお開きなさい‥‥。
>>	［트레이시］：자, 다리를 벌리렴‥‥.
L31366	［ランファ］：ランファ、どうなっちゃうの‥‥これから‥‥。
>>	［란파］：란파, 어떻게 되는 거야‥‥이제부터‥‥.
L31369	［トレイシー］：とっても素敵な気分になれるわ‥‥忘れられないくらいの‥‥。
>>	［트레이시］：아주 멋진 기분이 될 거야‥‥잊을 수 없을 만큼‥‥.
L31372	［ランファ］：何だか、恐い‥‥‥‥。
>>	［란파］：뭔가, 무서워‥‥‥‥.
L31375	［トレイシー］：大丈夫よ、身体の隅々まで、私が愛を注いであげるわ‥‥恐いなんて事、全然ないのよ‥‥。
>>	［트레이시］：괜찮아, 몸 구석구석까지, 내가 사랑을 부어 줄게‥‥무서울 건 전혀 없어‥‥.
L31378	［ランファ］：うん、わかった‥‥これでいいの？
>>	［란파］：응, 알겠어‥‥이걸로 돼?
L31381	［トレイシー］：そうよ、もっとお尻の穴がよく見えるように‥‥そう、それでいいわ‥‥。
>>	［트레이시］：그래, 엉덩이 구멍이 더 잘 보이게‥‥그래, 그걸로 돼‥‥.
L31384	［ランファ］：あっ、な、何を‥‥きゃぅっ！
>>	［란파］：앗, 무, 뭘‥‥꺄윽!
L31387	［トレイシー］：んっ‥‥んんっ‥‥。
>>	［트레이시］：읏‥‥으읏‥‥.
L31390	［ランファ］：あぁぁ、トレイシーの舌が、ランファのお尻に‥‥お尻に入ってくるぅぅぅっっ！！
>>	［란파］：아아아, 트레이시의 혀가, 란파 엉덩이에‥‥엉덩이에 들어온다아아아앗!!
L31393	［ランファ］：ランファ、どうなっちゃうの‥‥あぅっ‥‥何だか‥‥トレイシー！　あぁぁぁぁぁっっ！！
>>	［란파］：란파, 어떻게 되는 거야‥‥아윽‥‥뭔가‥‥트레이시!　아아아아아아앗!!
L31396	［トレイシー］：ウフフ、可愛らしい子‥‥。
>>	［트레이시］：우후후, 귀여운 아이‥‥.
L31399	［ランファ］：あふぅぅぅ‥‥トレイシー‥‥。
>>	［란파］：아후우우‥‥트레이시‥‥.
L31402	［トレイシー］：どうしたの？　ランファ。
>>	［트레이시］：왜 그래?　란파.
L31405	［ランファ］：あン、もっとぉ‥‥もっとオッパイ頂戴‥‥。
>>	［란파］：아응, 더어‥‥더 가슴 줘‥‥.
L31408	［トレイシー］：しょうがない子ね‥‥オッパイは、さっき散々あげたじゃない。
>>	［트레이시］：어쩔 수 없는 아이네‥‥가슴은, 아까 실컷 줬잖아.
L31411	［ランファ］：お願いぃ‥‥じゃないと、ランファ、泣いちゃう！
>>	［란파］：부탁해애‥‥아니면, 란파, 울어 버릴 거야!
L31414	［トレイシー］：しょうがないわ、ほら、歯を立ててはダメよ。
>>	［트레이시］：어쩔 수 없네, 자, 이빨로 물면 안 돼.
L31417	［ランファ］：んんぐんぐ‥‥ちゅばっ、ちゅばっ。
>>	［란파］：응응흡흡‥‥츄밧, 츄밧.
L31420	［トレイシー］：ウフフ、まるで赤ん坊ね‥‥。
>>	［트레이시］：우후후, 꼭 아기 같네‥‥.
L31423	［ランファ］：ちゅばっ、ちゅばっ。
>>	［란파］：츄밧, 츄밧.
L31426	［トレイシー］：あぁぁ、そんなに舌で転がしたら、ダメよ。
>>	［트레이시］：아아아, 그렇게 혀로 굴리면, 안 돼.
L31429	［ランファ］：だってだって、おいしいんだもの‥‥。
>>	［란파］：그치만그치만, 맛있는걸‥‥.
L31432	［トレイシー］：もう、悪戯っ子ね‥‥たっぷりとしゃぶっていなさい。
>>	［트레이시］：정말, 장난꾸러기네‥‥실컷 빨고 있으렴.
L31435	［ランファ］：んぐんぐ‥‥。
>>	［란파］：응그응그‥‥.
L31439	［コウジ］：よくやったな、トレイシー。
>>	［코우지］：잘했다, 트레이시.
L31443	［コウジ］：見させてもらったが、なかなかの手際だぞ。
>>	［코우지］：지켜봤는데, 제법 능숙하군.
L31447	［トレイシー］：はい‥‥コウジ様のためなら‥‥。
>>	［트레이시］：네‥‥코우지 님을 위해서라면‥‥.
L31450	［ランファ］：トレイシー‥‥誰？
>>	［란파］：트레이시‥‥누구야?
L31454	［トレイシー］：コウジ様よ‥‥ランファ、あなたのご主人様になるお方‥‥。
>>	［트레이시］：코우지 님이셔‥‥란파, 네 주인님이 되실 분‥‥.
L31457	［ランファ］：トレイシーのご主人様？
>>	［란파］：트레이시의 주인님?
L31460	［トレイシー］：そうよ、とっても素敵なお方よ‥‥。
>>	［트레이시］：그래, 무척 멋진 분이셔‥‥.
L31463	［ランファ］：ランファ、あの人の奴隷になっちゃうの？
>>	［란파］：란파, 저 사람의 노예가 되는 거야?
L31466	ピシッ。
>>	찰싹.
L31469	［ランファ］：きゃン！
>>	［란파］：꺄앙!
L31472	［トレイシー］：こら、あの人なんて言い方がありますか。ご主人様と言いなさい。
>>	［트레이시］：얘, 저 사람이라니 그게 무슨 말버릇이니. 주인님이라고 해.
L31475	［ランファ］：はーい、ご主人様。
>>	［란파］：네에, 주인님.
L31479	［コウジ］：フッ、元気があっていい。今日から、僕の部屋に来させろ。
>>	［코우지］：훗, 기운이 넘쳐서 좋군. 오늘부터, 내 방으로 오게 해라.
L31482	［トレイシー］：えっ‥‥きょ、今日から‥‥！？
>>	［트레이시］：엣‥‥오, 오늘부터‥‥!?
L31485	［トレイシー］：わ、わかりました‥‥。
>>	［트레이시］：아, 알겠어요‥‥.
L31489	［コウジ］：お前も、来るんだ。
>>	［코우지］：너도, 오는 거다.
L31492	［トレイシー］：わ、私も？
>>	［트레이시］：저, 저도요?
L31496	［コウジ］：ただし、お前は見ているだけだがな‥‥フフッ。
>>	［코우지］：단, 너는 보고만 있는 거지만‥‥후훗.
L31499	［トレイシー］：そ、そんな‥‥。
>>	［트레이시］：그, 그런‥‥.
L31503	［トレイシー］：い、いえ‥‥こ、コウジ様の命じるままに‥‥。
>>	［트레이시］：아, 아뇨‥‥코, 코우지 님이 명하시는 대로‥‥.
L31507	［トレイシー］：（そうよ、コウジ様は私が一番と言って下さったわ‥‥。）
>>	［트레이시］：（그래, 코우지 님은 내가 제일이라고 말씀해 주셨어‥‥.）
L31510	［トレイシー］：（ランファとしたって、別に構わないわ‥‥。）
>>	［트레이시］：（란파와 하신다 해도, 딱히 상관없어‥‥.）
L31514	［トレイシー］：（コウジ様は、私だけのご主人様よ‥‥。）
>>	［트레이시］：（코우지 님은, 나만의 주인님이야‥‥.）
L31517	［トレイシー］：（そうよ‥‥ずっと、ずっと‥‥。）
>>	［트레이시］：（그래‥‥언제까지나, 언제까지나‥‥.）
L31520	［ランファ］：んんっ‥‥んんんんっ‥‥‥‥。
>>	［란파］：응응‥‥응응응응‥‥‥‥.
L31524	［コウジ］：フン、なかなか達者だな。
>>	［코우지］：흥, 꽤 능숙하군.
L31527	［ランファ］：ああン、ご主人様ぁ‥‥もっともっと、お口に頬張りたいですぅ。
>>	［란파］：아앙, 주인니임‥‥더더더, 입에 가득 넣고 싶어요우.
L31531	［トレイシー］：（違うわっ、そこじゃないわよ、コウジ様が感じるのは‥‥。）
>>	［트레이시］：（아니야앗, 거기가 아니야, 코우지 님이 느끼시는 건‥‥.）
L31534	［トレイシー］：（んもう、何をやっているのよ‥‥。）
>>	［트레이시］：（정말, 뭘 하고 있는 거야‥‥.）
L31537	［ランファ］：んぐ、んぐ、んぐ、んぐ‥‥。
>>	［란파］：응그, 응그, 응그, 응그‥‥.
L31541	［コウジ］：そうだ、もっと顔を横に動かして‥‥うむ。
>>	［코우지］：그래, 더 얼굴을 옆으로 움직여‥‥음.
L31544	［ランファ］：んはぁぁ、硬くて凄いですぅ‥‥。
>>	［란파］：응하아아, 딱딱해서 굉장해요우‥‥.
L31548	［コウジ］：コレが、これからお前の膣内に入るんだぞ。
>>	［코우지］：이게, 이제부터 네 질 안에 들어가는 거다.
L31551	［ランファ］：なんだか、ゾクゾクしちゃいます。
>>	［란파］：왠지, 짜릿짜릿해요.
L31555	［コウジ］：フン‥‥まぁはじめてにしては、上出来だろう。
>>	［코우지］：흥‥‥뭐 처음치고는, 잘한 편이겠지.
L31558	［トレイシー］：（私に比べたら、下手もいいところよっ。）
>>	［트레이시］：（나에 비하면, 서툰 것도 정도가 있지.）
L31562	［コウジ］：フン、初めの頃は、今のお前よりも、もっと下手なヤツもいたしな‥‥。
>>	［코우지］：흥, 처음엔, 지금 너보다도, 더 서툰 놈도 있었으니까‥‥.
L31565	［ランファ］：そうなんですか‥‥？
>>	［란파］：그런가요‥‥?
L31568	［トレイシー］：（な、なんで‥‥。）
>>	［트레이시］：（왜, 왜‥‥.）
L31572	［トレイシー］：（なぜ、そこで私を見るのですか、コウジ様！）
>>	［트레이시］：（왜, 거기서 저를 보시는 건가요, 코우지 님!）
L31576	［トレイシー］：（私はもう、コウジ様のをくわえたら、絶対に喜ばせて差し上げる自信がありますっ。）
>>	［트레이시］：（저는 이제, 코우지 님 것을 입에 물면, 반드시 기쁘게 해드릴 자신 있어요.）
L31579	［トレイシー］：（喉の奥までだって呑み込めるし、お尻の穴だって、舐めて差し上げますっ！）
>>	［트레이시］：（목구멍 끝까지라도 삼킬 수 있고, 엉덩이 구멍이라도, 핥아 드릴게요!）
L31583	［コウジ］：よーし、では上に乗るんだ。
>>	［코우지］：좋아, 그럼 위에 올라타는 거다.
L31587	［ランファ］：はい、コウジ様‥‥。
>>	［란파］：네, 코우지 님‥‥.
L31590	ずりゅぅぅぅぅぅぅぅっ！
>>	쭈우우우우우우욱!
L31593	［ランファ］：ああン、凄い‥‥凄いわぁぁぁぁっ！！
>>	［란파］：아앙, 굉장해‥‥굉장해아아아아앗!!
L31597	［コウジ］：ほぉ、吸い付くようだな。トレイシーとは中身が違う。
>>	［코우지］：호오, 빨아들이는군. 트레이시와는 속이 다르군.
L31600	［トレイシー］：（そ、そんな言い方、されなくても‥‥。）
>>	［트레이시］：（그, 그런 식으로, 말씀하지 않으셔도‥‥.）
L31603	［ランファ］：あぅ、あン、んくっ、んあっ、ダメっ、キツいっ！
>>	［란파］：아우, 아앙, 응긋, 응앗, 안 돼, 너무 세!
L31607	［コウジ］：もっともっと、腰を振れ！
>>	［코우지］：더더더, 허리를 흔들어!
