# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L12046	私の状況分析は的確だ。どうやら、かなり原始文明らしいな、ここは‥‥。
L12132	　◆ 自室に戻った方が、よさそうだな‥‥。
>>	　◆ 내 방으로 돌아가는 편이 좋겠군‥‥.
L12135	　◆ 下に降りて、いろいろと観察してみよう。
>>	　◆ 아래로 내려가서, 이것저것 관찰해 보자.
L12138	とりあえず上に昇ってみよう。
>>	일단 위로 올라가 보자.
L12141	上から、この惑星を見おろして状況を確認し、しかるのち、今後のプランを練る‥‥。
>>	위에서 이 행성을 내려다보며 상황을 확인하고, 그런 다음 앞으로의 계획을 짠다‥‥.
L12145	［コウジ］：うむ、我ながら名案だ‥‥。
>>	［코우지］：음, 내가 생각해도 명안이다‥‥.
L12148	とすると、屋上か‥‥。
>>	그렇다면, 옥상인가‥‥.
L12151	ふと脇のエレベータに目が止まる。
>>	문득 옆의 엘리베이터에 눈이 멎는다.
L12155	［コウジ］：決して、楽をしようという訳ではないが‥‥。
>>	［코우지］：결코, 편하게 가려는 것은 아니다만‥‥.
L12158	そう、文明の進行度を確かめるのだ。どの程度の文明レベルを持っているのか、確かめるのは決して無為とは思えない。
>>	그렇다, 문명의 진행도를 확인하는 것이다. 어느 정도의 문명 수준을 지녔는지 확인하는 건 결코 무의미하지 않다.
L12162	［コウジ］：ふぅ、ラクチンだ‥‥。
>>	［코우지］：휴, 편하군‥‥.
L12165	エレベータの中は、空調が行き届いているようだった。汗をかいた身体には、やや涼しかったが、寒いほどではない。
>>	엘리베이터 안은 공조가 잘 되어 있는 듯했다. 땀에 젖은 몸에는 다소 서늘했지만, 추울 정도는 아니다.
L12168	１つずつ、光る番号が増えていくのをボーっと見ていると、何故か庶民に成り下がった気がするのは何故か‥‥。
>>	빛나는 숫자가 하나씩 늘어 가는 걸 멍하니 보고 있자니, 어쩐지 서민으로 전락한 기분이 드는 건 왜일까‥‥.
L12172	［コウジ］：フン、私らしからぬ‥‥。
>>	［코우지］：흥, 나답지 않군‥‥.
L12175	ゴミゴミとした惑星だった。
>>	너저분한 행성이었다.
L12178	不規則な建物の並びは土地開発の未熟を露呈し、スモッグに覆われた空は環境保全が行き届いていないことを証明している。
>>	불규칙한 건물 배열은 토지 개발의 미숙함을 드러내고, 스모그에 덮인 하늘은 환경 보전이 미흡함을 증명하고 있다.
L12181	おまけに、この屋上ときたら、恒星の紫外線をそのまま浴びる危険な場所で、しかも掃除も満足にされていないらしく、薄汚い。
>>	게다가 이 옥상으로 말하자면, 항성의 자외선을 그대로 쬐는 위험한 장소인 데다, 청소도 제대로 안 된 듯 꾀죄죄하다.
L12185	［コウジ］：とんだ開発途上の惑星だ‥‥。
>>	［코우지］：어처구니없는 개발 도상 행성이다‥‥.
L12188	宇宙は広い。どのような惑星があるかはわからない。しかしここは格別だ。格別に酷い。
>>	우주는 넓다. 어떤 행성이 있을지는 알 수 없다. 하지만 여기는 각별하다. 각별히 끔찍하다.
L12192	［コウジ］：フン‥‥。
>>	［코우지］：흥‥‥.
L12195	私がきびすをかえしかけたとき、後ろから、
>>	내가 발길을 돌리려던 그때, 뒤에서,
L12199	［女の声］：宏治サン‥‥。
>>	［여자 목소리］：코지 상‥‥.
L12202	［女の子］：良かった、死んでしまったかと思った‥‥。
>>	［소녀］：다행이다, 죽어 버린 줄 알았어요‥‥.
L12205	失礼な女だった。いきなり人を殺そうとするとは。
>>	무례한 여자였다. 다짜고짜 사람을 죽이려 들다니.
L12209	［コウジ］：誰だ、貴様は？
>>	［코우지］：누구냐, 네놈은?
L12213	［女の子］：舞です‥‥宏治サン。どうしたんですか？　私、屋上が好きだから、よく来てるんです。
>>	［소녀］：마이예요‥‥코지 상. 왜 그러세요?　저, 옥상을 좋아해서 자주 와요.
L12217	［コウジ］：私の知り合いに舞という女はいない。誰かと間違えているのではないか？
>>	［코우지］：내 지인 중에 마이라는 여자는 없다. 누군가와 착각하는 게 아닌가?
L12221	［舞］：そ、そんな‥‥宏治サン。
>>	［마이］：그, 그런‥‥코지 상.
L12224	さんの敬称に、妙な発音をする女だった。この女は私のことを知っているらしいが‥‥。
>>	「상」이라는 경칭을 묘하게 발음하는 여자였다. 이 여자는 나를 아는 모양이지만‥‥.
L12228	［コウジ］：誰だ、貴様は。
>>	［코우지］：누구냐, 네놈은.
L12232	［舞］：ですから舞です。宏治サン、怒ってるんですか？
>>	［마이］：그러니까 마이예요. 코지 상, 화나셨어요?
L12236	［コウジ］：怒ってなどいない。質問をしているだけだ。
>>	［코우지］：화 따위 나지 않았다. 질문을 하고 있을 뿐이다.
L12239	［舞］：ま、まさか‥‥そんな‥‥。
>>	［마이］：서, 설마‥‥그럴 리가‥‥.
L12243	［コウジ］：どうしたのだ？
>>	［코우지］：무슨 일이냐?
L12247	［舞］：宏治サン、お、おかしくなっちゃったの？
>>	［마이］：코지 상, 이, 이상해져 버린 거예요?
L12250	舞は、私の顔をおそるおそる、のぞき見るような目で凝視している。
>>	마이는 내 얼굴을 조심조심, 엿보는 듯한 눈으로 응시하고 있다.
L12253	重ね重ね、失礼な女だった。今度は人を変人扱いか。
>>	거듭거듭 무례한 여자였다. 이번엔 사람을 괴짜 취급인가.
L12257	［コウジ］：いいか、良く聞け。どうも私のことを変人扱いしているようだが、それは違う。私は宇宙海賊のコウジだ。
>>	［코우지］：잘 들어라, 똑똑히. 아무래도 나를 괴짜 취급하는 모양인데, 그건 틀렸다. 나는 우주 해적 코우지다.
L12260	［舞］：や、やっぱり‥‥おかしくなっちゃったんですね。
>>	［마이］：여, 역시‥‥이상해져 버린 거군요.
L12264	［舞］：私が、きっと宏治サンを元通りにします。ですから、ですから‥‥。
>>	［마이］：제가 꼭 코지 상을 원래대로 되돌릴게요. 그러니까, 그러니까‥‥.
L12268	［コウジ］：何を泣いているのだ。
>>	［코우지］：왜 울고 있는 것이냐.
L12272	［舞］：だって‥‥だって‥‥宏治サンがおかしくなって‥‥。
>>	［마이］：그치만‥‥그치만‥‥코지 상이 이상해져서‥‥.
L12276	［コウジ］：そんなに私の顔がおかしいか。
>>	［코우지］：그렇게 내 얼굴이 이상한가.
L12279	［舞］：やっぱり、おかしいです。
>>	［마이］：역시, 이상해요.
L12282	私は、このぶしつけな女を無視することにした。どうやら、私の事をからかっているようだ。
>>	나는 이 무례한 여자를 무시하기로 했다. 아무래도 나를 놀리고 있는 모양이다.
L12286	［舞］：私、お姉さんに言ってきます。宏治サン、病室でお休みになっていて下さい。お願いです。
>>	［마이］：저, 언니한테 말하고 올게요. 코지 상, 병실에서 쉬고 계세요. 부탁이에요.
L12290	［コウジ］：フン、開発途上惑星の原住民は、礼儀を知らんらしいな。
>>	［코우지］：흥, 개발 도상 행성의 원주민은 예의를 모르는 모양이군.
L12293	自室に戻った方が、よさそうだな‥‥。
>>	내 방으로 돌아가는 편이 좋겠군‥‥.
L12296	まずは自室に戻り、現状の考察を行う。しかるのち、何らかの行動を起こすのが合理的だろう。
>>	우선 내 방으로 돌아가 현상을 고찰한다. 그런 다음 어떤 행동을 취하는 게 합리적이겠지.
L12299	ここでこうしていても、ラチがあかないのは事実のようだ。大宇宙海賊は、無駄なことはしないのだ。
>>	여기서 이러고 있어 봐야 진전이 없는 건 사실인 듯하다. 대우주 해적은 헛된 짓은 하지 않는 법이다.
L12303	［コウジ］：うむ、我ながら、論理的だ‥‥。
>>	［코우지］：음, 내가 생각해도 논리적이다‥‥.
L12306	別に部屋へ涼みに戻るわけではない。そんな情けないことは、私のプライドが許さない。
>>	딱히 방으로 더위를 식히러 돌아가는 건 아니다. 그런 한심한 짓은 내 자존심이 허락하지 않는다.
L12310	［コウジ］：ふぅ、なかなか涼しい‥‥身体が休まるというものだ。
>>	［코우지］：휴, 제법 시원하군‥‥이래야 몸이 편안해지는 법이다.
L12313	部屋へ入ると、冷風が傍らを通り過ぎる。心地よい感覚を少しだけ味わった。
>>	방에 들어서자 찬바람이 곁을 스쳐 간다. 기분 좋은 감각을 조금 맛보았다.
L12316	部屋へ戻ってくると、妙なことに気付いた。部屋を出たときと、間取りが違うような気がする。
>>	방으로 돌아오자 묘한 것을 깨달았다. 방을 나섰을 때와 구조가 다른 것 같다.
L12319	いや、間取り以前に、根本的に部屋が違う。答えは単純だ。部屋を間違えたのだろう。
>>	아니, 구조 이전에 근본적으로 방이 다르다. 답은 단순하다. 방을 잘못 든 것이겠지.
L12322	ここはどうやら、私があの涼子とかいう女と対面した場所だった。
>>	여기는 아무래도, 내가 그 료코라는 여자와 마주했던 장소였다.
L12326	［コウジ］：涼子はいないようだな‥‥。
>>	［코우지］：료코는 없는 모양이군‥‥.
L12329	部屋の中には、何かの専門書の他は、これといって置いてはいない。典型的な書斎とも言うべき場所だ。
>>	방 안에는 무슨 전문서 말고는 이렇다 할 것이 놓여 있지 않다. 전형적인 서재라 할 만한 곳이다.
L12332	本は、精神医学から病理医学、応用物理工学、数理科学など、多彩に取り揃えてある。
>>	책은 정신의학부터 병리의학, 응용물리공학, 수리과학까지 다채롭게 갖춰져 있다.
L12336	［コウジ］：ふむ、未開の文明地にしては、そこそこの本を読んでいるな。
>>	［코우지］：흠, 미개한 문명치고는 제법 책을 읽고 있군.
L12339	ふと傍らにある本が目についた。専門書とは違ったが、分厚く、意味深である。
>>	문득 곁에 있는 책이 눈에 띄었다. 전문서와는 달랐지만, 두껍고 의미심장했다.
L12342	中には、ドリームプログラムと命名された機械の設計図とその概要が網羅されていた。
>>	안에는 ONEIROS 프로그램이라 명명된 기계의 설계도와 그 개요가 망라돼 있었다.
L12345	速読を用いて、ものの１０秒ほどで読破する。
>>	속독을 써서, 불과 １０초 만에 독파한다.
L12349	［コウジ］：ほぉ、なるほど。コンピュータ・ルームか‥‥。
>>	［코우지］：호오, 과연. 컴퓨터 룸인가‥‥.
L12352	私は、本をもとあった場所に、丁寧に戻しておいた。
>>	나는 책을 원래 있던 자리에 얌전히 되돌려 놓았다.
L12355	あの涼子という女、使えそうだ‥‥。
>>	그 료코라는 여자, 쓸모가 있겠군‥‥.
L12359	［コウジ］：さてと、どうしたものかな‥‥。
>>	［코우지］：자 그럼, 어떻게 할까‥‥.
L12362	下に降りて、いろいろと観察してみよう。
>>	아래로 내려가서, 이것저것 관찰해 보자.
L12365	まずは階下に降り、現状の観察および分析を行う。しかるのち、何らかの行動を起こすのが合理的だろう。
>>	우선 아래층으로 내려가 현상을 관찰하고 분석한다. 그런 다음 어떤 행동을 취하는 게 합리적이겠지.
L12368	大宇宙海賊は、効率を優先する。無駄なことは一切省くポリシーを私は持っている。
>>	대우주 해적은 효율을 우선한다. 헛된 것은 일절 생략하는 것이 내 방침이다.
L12372	［コウジ］：うむ、我ながら、効率的だ‥‥。
>>	［코우지］：음, 내가 생각해도 효율적이다‥‥.
L12375	別にロビーに置いてあるであろう新聞の類を、読みにいく訳ではない。大宇宙海賊は、そんなオヤジ臭いことはしないのだ。
>>	딱히 로비에 놓여 있을 신문 따위를 읽으러 가는 건 아니다. 대우주 해적은 그런 아저씨 같은 짓은 하지 않는다.
L12378	エレベータから降りると、まっさきにソファの傍らに置いてある新聞コーナーへと行く。
>>	엘리베이터에서 내리자, 나는 곧장 소파 옆에 놓인 신문 코너로 향한다.
L12381	ニュースペーパーこそ、その地域の文化文明を知る、もっとも効率的な情報源なのだ。
>>	뉴스페이퍼야말로 그 지역의 문화 문명을 아는 가장 효율적인 정보원이다.
L12384	パサッ。
>>	사락.
L12388	［女］：宏治！
>>	［여자］：코지!
L12391	［女］：何だ、ちゃんと生きてるじゃない。立って新聞なんて広げて、オジン臭いことしないでよ。
>>	［여자］：뭐야, 멀쩡히 살아 있잖아. 서서 신문이나 펼쳐 들고, 영감 냄새 나는 짓 하지 마.
L12394	［女］：舞さんから連絡があったときは、心臓が停止するかと思ったわ。
>>	［여자］：마이 씨한테 연락 왔을 땐, 심장이 멎는 줄 알았어.
L12398	［コウジ］：舞？
>>	［코우지］：마이?
L12401	［女］：そうよ‥‥でも、ちょっぴり安心したわ。
>>	［여자］：그래‥‥그래도, 조금은 안심했어.
L12404	［女］：なによぉ、あなたの恋人の、恵でしょ？　もう、しっかりしてよ。
>>	［여자］：뭐야아, 네 애인인 메구미잖아?　정말, 정신 좀 차려.
L12407	恵と名乗る女は、私の両肩に手をかけて、ガクガクと前後ゆさぶった。少しめまいがしてくる。
>>	메구미라 자칭하는 여자는 내 양어깨를 붙잡고 앞뒤로 거칠게 흔들어 댔다. 살짝 현기증이 난다.
L12410	［恵］：あの先生には気をつけなさいって、いつも言っていたのに‥‥。
>>	［메구미］：그 선생은 조심하라고 늘 말했는데‥‥.
L12414	［コウジ］：あの先生とは、涼子のことか？
>>	［코우지］：그 선생이란, 료코를 말하는 건가?
L12417	［恵］：当たり前でしょ。
>>	［메구미］：당연하잖아.
L12421	［コウジ］：なぜ、涼子に気を付けねばならないのだ。
>>	［코우지］：어째서 료코를 조심해야 한다는 거지.
L12424	［恵］：そ、それは、あの先生がちょっとイっちゃってるから‥‥あっ、このこと、彼女に言っちゃダメよ。
>>	［메구미］：그, 그건, 그 선생이 좀 맛이 갔으니까‥‥앗, 이건 그 사람한테 말하면 안 돼.
L12427	バツの悪そうな表情を浮かべながら、恵は私に耳打ちをする。どうも意味がよくわからない。
>>	겸연쩍은 표정을 지으며 메구미는 내게 귓속말을 한다. 도무지 의미를 알 수 없다.
L12431	［コウジ］：イっちゃうと、なぜ気を付けねばならないのだ。
>>	［코우지］：맛이 갔으면, 어째서 조심해야 하지.
L12434	［恵］：ちょっと、ふざけてる場合？　まぁ、簡単な試験で割のいいバイトとかいって、最初に紹介したのは私だけど‥‥。
>>	［메구미］：야, 지금 장난칠 때야?　뭐, 간단한 시험으로 벌이 좋은 알바라며 처음 소개한 건 나지만‥‥.
L12438	［恵］：でもあの先生、宏治のこと妙に気に入っちゃってるのよね。
>>	［메구미］：근데 그 선생, 코지를 묘하게 마음에 들어 하거든.
L12442	［コウジ］：そうなのか。
>>	［코우지］：그런가.
L12446	［恵］：そうよぉ‥‥あっ、宏治！
>>	［메구미］：그렇다니까아‥‥앗, 코지!
L12450	［コウジ］：なんだ。
>>	［코우지］：뭐지.
L12453	［恵］：‥‥あの女性と、別に何もないでしょうねっ。
>>	［메구미］：‥‥그 여자랑, 별다른 일 없는 거겠지.
L12457	［コウジ］：何もないとは、何だ？
>>	［코우지］：아무 일도 없다니, 무슨 소리지?
L12460	［恵］：あなた、どうも年増好みっぽいとこがあるし。
>>	［메구미］：너, 아무래도 연상 취향인 구석이 있잖아.
L12464	［コウジ］：ふむ、肉の交わりのことか？
>>	［코우지］：흠, 살을 섞는 일 말인가?
L12467	［恵］：ばっ‥‥直接的過ぎるわよっ、なによ、もう‥‥。
>>	［메구미］：바‥‥너무 직설적이잖아, 뭐야, 정말‥‥.
L12470	自分で話を振っておいて、恥ずかしがるとは身勝手な女だ。私は、強引に話題を元に戻した。
>>	제가 먼저 꺼내 놓고 부끄러워하다니 제멋대로인 여자다. 나는 억지로 화제를 원래대로 되돌렸다.
L12474	［コウジ］：さきほどの話だが、なぜあの涼子が‥‥？
>>	［코우지］：아까 그 얘기 말인데, 어째서 그 료코가‥‥?
L12477	［恵］：そうそう、あの先生、次々と使えない機械を作っては、開発費を大量に消費してるんだから。
>>	［메구미］：맞아 맞아, 그 선생, 쓸모없는 기계만 줄줄이 만들어서 개발비를 잔뜩 축내고 있다니까.
L12481	［コウジ］：ほぅ、次々と。
>>	［코우지］：호오, 줄줄이 말이지.
L12484	［恵］：もう、パパに言って、厳重に抗議してもらおうかしら。
>>	［메구미］：정말, 아빠한테 말해서 엄중히 항의해 달라고 할까.
L12488	［コウジ］：パパ？　パパというとパトロンのことか？
>>	［코우지］：아빠?　아빠라면 후원자를 말하는 건가?
L12491	［恵］：ば、バカ言わないでよ！　私のパパよ、この医療センターのスポンサーだって、あなた知ってるでしょ？
>>	［메구미］：바, 바보 같은 소리 마!　우리 아빠 말이야, 이 의료 센터 스폰서인 거 너도 알잖아?
L12494	［恵］：とにかく今から涼子先生のところへ行くわ。後で貴方の部屋にも行くから、待っていて頂戴。
>>	［메구미］：어쨌든 지금부터 료코 선생한테 갈 거야. 나중에 네 방에도 갈 테니 기다리고 있어 줘.
L12498	［コウジ］：待て、恵とやら。
>>	［코우지］：기다려라, 메구미라던가.
L12501	［恵］：な、なによぉ、その呼び方は。
>>	［메구미］：뭐, 뭐야아, 그 부르는 말투는.
L12505	［コウジ］：ここは、何という惑星だ？
>>	［코우지］：여기는 무슨 행성이지?
L12508	［恵］：はぁ？
>>	［메구미］：하아?
L12512	［コウジ］：惑星名を答えよと言っている。
>>	［코우지］：행성 이름을 대라고 했다.
L12515	［恵］：あんた、頭これ？
>>	［메구미］：너, 머리 이거 아냐?
L12518	目の前の女は、こめかみの横で人差し指をクルクル回している。私はその手を握りしめ、真顔でもう一度、
>>	눈앞의 여자는 관자놀이 옆에서 검지를 빙빙 돌리고 있다. 나는 그 손을 붙잡고, 정색한 얼굴로 다시 한 번,
L12522	［コウジ］：惑星名は？
>>	［코우지］：행성 이름은?
L12525	［恵］：ど、どうしちゃったのよ‥‥そんな‥‥。
>>	［메구미］：어, 왜 이러는 거야‥‥말도 안 돼‥‥.
L12529	［コウジ］：ふむ、知らない訳か。無教養はこれだから‥‥。
>>	［코우지］：흠, 모른다는 건가. 교양 없는 것들은 이래서‥‥.
L12532	［恵］：バカ言わないでよ。地球に決まってるでしょ！　もう行くわ！
>>	［메구미］：바보 같은 소리 마. 당연히 지구잖아!　이제 갈래!
L12536	［コウジ］：地球、だと‥‥？
>>	［코우지］：지구라고‥‥?
L12540	［コウジ］：フン、まぁいい‥‥。
>>	［코우지］：흥, 뭐 됐다‥‥.
L12544	［コウジ］：まぁいい、部屋へ戻って、少し休みたい気分だ。
>>	［코우지］：뭐 됐다, 방으로 돌아가 좀 쉬고 싶은 기분이다.
L12547	最強の宇宙海賊とはいえ、疲労もすればトイレにもいく。しかもこの脆弱な身体は、どうも疲労度が激しい。
>>	최강의 우주 해적이라 해도 지치기도 하고 화장실도 간다. 게다가 이 취약한 육체는 아무래도 피로가 심하다.
L12550	少し、部屋で休み、しかるのちに行動を起こすことにしよう。
>>	잠시 방에서 쉬고, 그런 다음에 행동에 나서기로 하자.
L12554	［コウジ］：フン、合理的だ‥‥。まさに論理的で効率的だ。とにかく、夜まで‥‥。
>>	［코우지］：흥, 합리적이다‥‥. 그야말로 논리적이고 효율적이다. 어쨌든, 밤까지‥‥.
L12557	妙な夢だった‥‥。
>>	묘한 꿈이었다‥‥.
L12560	私が、《クワドラ》で、貧弱な精神を持ちながら、シップ内をさまようのだ。
>>	내가 《콰드라》에서 빈약한 정신을 지닌 채 함선 안을 헤매는 것이다.
L12563	ファルネリアか‥‥‥‥彼女が、なぜここに‥‥？
>>	파르네리아인가‥‥‥‥그녀가, 어째서 여기에‥‥?
L12566	［男］：これから、どうするんだい？
>>	［남자］：이제부터 어떻게 할 거야?
L12569	［ファル］：私の自由を保証してくれるなら‥‥。
>>	［파르］：내 자유를 보장해 준다면‥‥.
L12572	［男］：無論、そういう約束だからね。
>>	［남자］：물론, 그런 약속이니까.
L12575	［ファル］：じゃあ、手近の有人惑星で下ろして頂戴。
>>	［파르］：그럼, 가까운 유인 행성에 내려 줘.
L12578	［男］：ああ、オーケーだ。
>>	［남자］：그래, 오케이.
L12581	何だと、彼女がいなければ、ジェネレータは機能しないではないか。極めて合理的であるはずの私が、一体何を言っている。
>>	뭐라고, 그녀가 없으면 제너레이터는 작동하지 않잖은가. 지극히 합리적이어야 할 내가 대체 무슨 소리를 하고 있나.
L12585	［ファル］：でもコウジ、エンコーダは、どうするの‥‥？
>>	［파르］：하지만 코우지, 인코더는 어쩔 거야‥‥?
L12588	［男］：‥‥残念だけど、あいつは返せない。
>>	［남자］：‥‥유감이지만, 그건 돌려줄 수 없어.
L12591	その通りだ。さすが私だ。
>>	그렇고말고. 역시 나다.
L12594	［男］：そんな恐そうな顔をするなよ。別にあれを悪用するつもりはないぜ。
>>	［남자］：그렇게 무서운 얼굴 하지 마. 딱히 그걸 악용할 생각은 없어.
L12597	何だと。
>>	뭐라고.
L12600	［ファル］：どういうことなの？
>>	［파르］：그게 무슨 소리야?
L12603	［男］：さっきも言ったろう？　そのエンコーダとやらを利用してやるってヨコシマな輩は、いくらでも出てきそうなもんだって。
>>	［남자］：아까도 말했잖아?　그 인코더인지 뭔지를 써먹으려는 사악한 놈들은 얼마든지 나올 거라고.
L12606	［ファル］：じゃあ、あれを‥‥。
>>	［파르］：그럼, 그걸‥‥.
L12609	［男］：うん、とりあえず君には悪いけど、破棄させてもらう。あんなの、百害あって一利無しだ。
>>	［남자］：응, 일단 너한텐 미안하지만 폐기하겠어. 그런 건 백해무익이야.
L12612	これは夢だ、夢に違いない。私が、このような非合理的な事をする訳がないではないか。
>>	이건 꿈이다, 꿈임에 틀림없다. 내가 이런 비합리적인 짓을 할 리가 없잖은가.
L12615	うむ、だとすれば極めて合理的かつ論理的だ。しかし、夢の中の自分とはいえ‥‥。
>>	음, 그렇다면 지극히 합리적이고 논리적이다. 그러나 꿈속의 나라고는 해도‥‥.
L12619	［コウジ］：何たる無様な醜態だ。
>>	［코우지］：이 무슨 꼴사나운 추태인가.
L12622	［男］：えっ？　何か言った？
>>	［남자］：어?　뭐라고 했어?
L12625	［ファル］：ううん。
>>	［파르］：아니.
L12628	フン、まぁいい。つまらん夢を見ることも、あるだろう‥‥。
>>	흥, 뭐 됐다. 시시한 꿈을 꿀 때도 있는 법이겠지‥‥.
L12631	そう考えると、私は再び深い眠りの域へと落ちていった‥‥‥‥。
>>	그렇게 생각하며, 나는 다시 깊은 잠의 영역으로 빠져들었다‥‥‥‥.
L12635	［コウジ］：夜、か‥‥。
>>	［코우지］：밤인가‥‥.
L12638	この部屋には、いつもカーテンが閉まっていて、時間の感覚が捉えにくい。
>>	이 방은 늘 커튼이 닫혀 있어서 시간 감각을 잡기 어렵다.
L12641	しかし人間の体内には、生物時計とも言うべきものが存在する。私のそれは極めて正確に、現在の時間を言い当てる事ができるのだ。
>>	그러나 인간의 몸속에는 생체 시계라 할 만한 것이 존재한다. 나의 그것은 지극히 정확하게 현재 시각을 맞힐 수 있다.
L12645	［コウジ］：フン、だいたい午前２時というところか‥‥。
>>	［코우지］：흥, 대략 오전 ２시쯤이겠군‥‥.
L12648	ベッドの脇の時計は、やはり２時を指していた。さすが、私だ。
>>	침대 옆 시계는 역시 ２시를 가리키고 있었다. 역시, 나다.
L12651	いくぶん、非合理的な考察を行った気がするが、気にしないでおく。これから私には、やることがあった。
>>	다소 비합리적인 고찰을 한 기분이 들지만 신경 쓰지 않기로 한다. 이제 내게는 할 일이 있었다.
L12654	それは‥‥‥‥‥‥。
>>	그것은‥‥‥‥‥‥.
L12657	　◆ 屋上へ行くことだ。
>>	　◆ 옥상으로 가는 것이다.
L12660	　◆ コンピュータ・ルームへ行くことだ。
>>	　◆ 컴퓨터 룸으로 가는 것이다.
L12663	　◆ ロビーへ行くことだ。
>>	　◆ 로비로 가는 것이다.
L12666	　◆ ここで寝ることだ。
>>	　◆ 여기서 자는 것이다.
L12669	屋上へ行くことだ。
>>	옥상으로 가는 것이다.
L12672	この気だるい眠気を、屋上へ行って冷ますのもいいだろう。それに夜の風景は、また違ったものを私に見せてくれるかもしれない‥‥。
>>	이 나른한 졸음을 옥상에 가서 식히는 것도 좋겠지. 게다가 밤 풍경은 또 다른 것을 내게 보여 줄지도 모른다‥‥.
