# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L4795	いきなり目の前にやってくるものだから、少し焦ってしまう。
L4845	［涼子］：宏治クン、あなただったの‥‥。
>>	［료코］：코지 군, 너였구나‥‥.
L4849	［宏治］：どうも、お邪魔してます。
>>	［코지］：아, 실례하고 있어요.
L4852	［涼子］：ここはね、部外者は立ち入り禁止なのよ。
>>	［료코］：여기는 말이야, 외부인은 출입 금지야.
L4856	［宏治］：僕は、部外者じゃないでしょう？
>>	［코지］：저는, 외부인이 아니잖아요?
L4859	涼子は少し目を細めて、僕のことを凝視した。ややキツい顔立ちだけに、迫力がある。
>>	료코는 조금 눈을 가늘게 뜨고, 나를 응시했다. 다소 날카로운 이목구비인 만큼, 박력이 있다.
L4863	［涼子］：そうね‥‥宏治クンは、関係者だったわ。
>>	［료코］：그렇네‥‥코지 군은, 관계자였지.
L4866	少しだけ口元をほころばせると、涼子は幾分穏和な口調で肯定した。
>>	입가에 살짝 미소를 머금더니, 료코는 다소 온화한 말투로 수긍했다.
L4869	目線を僕の隣に移す。沙夜香の緊張が微かに伝わってきた。
>>	시선을 내 옆으로 옮긴다. 사야카의 긴장이 희미하게 전해져 왔다.
L4873	［沙夜香］：あのぉ、私‥‥そう、宏治クンがどうしてもここを見せたいと言うものだから‥‥‥‥。
>>	［사야카］：저어, 저‥‥맞아, 코지 군이 꼭 여기를 보여 주고 싶다고 해서‥‥‥‥.
L4876	僕は、かなり呆れた顔をしていたに違いなかった。しかし、この沙夜香のたくましさに、同時に感心もする。
>>	나는, 꽤나 어이없는 얼굴을 하고 있었음이 틀림없다. 하지만, 이 사야카의 넉살에, 동시에 감탄도 한다.
L4879	沙夜香は、僕の方をチラっとみると、軽く舌を出した。しょうがないな‥‥。
>>	사야카는 내 쪽을 힐끗 보더니, 살짝 혀를 내밀었다. 어쩔 수 없군‥‥.
L4883	［涼子］：そうなの？　宏治クン。
>>	［료코］：그래?　코지 군.
L4887	［沙夜香］：そうよね？　宏治クン。
>>	［사야카］：그렇지?　코지 군.
L4890	２人から同時にステレオで話されては、混乱してしまう。とりあえず、沙夜香に助け船はだしてやることにした。
>>	두 사람이 동시에 스테레오로 말해대니, 혼란스러워진다. 일단, 사야카에게 도움의 손길을 내밀어 주기로 했다.
L4894	［宏治］：すみません、僕が誘いました。
>>	［코지］：죄송해요, 제가 불렀어요.
L4897	［涼子］：しょうがないわ、今後、気を付けてね。
>>	［료코］：어쩔 수 없지, 앞으로는 조심해.
L4901	［宏治］：すみません‥‥。
>>	［코지］：죄송해요‥‥.
L4904	［涼子］：沙夜香‥‥さんだったわね。
>>	［료코］：사야카‥‥ 씨였던가.
L4907	［沙夜香］：‥‥はい。
>>	［사야카］：‥‥네.
L4910	［涼子］：助手勤務とはいえ、部外者は立ち入り禁止です。今後、留意なさい。
>>	［료코］：조수 근무라고는 해도, 외부인은 출입 금지입니다. 앞으로 유의하도록.
L4913	［沙夜香］：はい、申し訳ありませんでした‥‥では、失礼します。
>>	［사야카］：네, 죄송했습니다‥‥그럼, 실례하겠습니다.
L4916	涼子の鋭い目が沙夜香を射るが、彼女は別段気にした風もなく、そそくさと部屋を退出する。
>>	료코의 날카로운 눈이 사야카를 쏘아보지만, 그녀는 별로 개의치 않는 기색으로, 총총히 방을 나선다.
L4920	［宏治］：じゃあ、僕も‥‥。
>>	［코지］：그럼, 저도‥‥.
L4924	［涼子］：宏治クンは、ちょっと残って頂戴。
>>	［료코］：코지 군은, 잠깐 남아 줘.
L4928	［宏治］：‥‥えっ？
>>	［코지］：‥‥네?
L4931	［涼子］：お話があるの。
>>	［료코］：할 이야기가 있어.
L4934	涼子は、ゆっくりと部屋の中を見回していった。沙夜香の使用した端末は、まだ電源が入ったままだった‥‥。
>>	료코는, 천천히 방 안을 둘러보았다. 사야카가 쓰던 단말기는, 아직 전원이 켜진 채였다‥‥.
L4937	涼子の目が止まる。あの、端末の所で。
>>	료코의 눈이 멈춘다. 그, 단말기가 있는 곳에서.
L4940	僕は今にも逃げ出したい気持ちを、必死に抑えなければならなかった。
>>	나는 당장이라도 도망치고 싶은 마음을, 필사적으로 억눌러야만 했다.
L4944	［涼子］：ねぇ、宏治クン‥‥。
>>	［료코］：있잖아, 코지 군‥‥.
L4948	［宏治］：は、はい。
>>	［코지］：네, 네.
L4951	必要以上に大きな返事になってしまった。涼子は、僕のことを見つめると、フッと笑みをもらして、
>>	필요 이상으로 큰 대답이 되고 말았다. 료코는, 나를 바라보더니, 픽 하고 웃음을 흘리고,
L4954	［涼子］：気分はどう？
>>	［료코］：기분은 어때?
L4958	［宏治］：き、気分ですか？
>>	［코지］：기, 기분 말이에요?
L4961	［涼子］：そう、気分。
>>	［료코］：그래, 기분.
L4965	［宏治］：‥‥悪くはないと思います。
>>	［코지］：‥‥나쁘지는 않은 것 같아요.
L4968	［涼子］：微妙な回答ね。
>>	［료코］：미묘한 대답이네.
L4972	［宏治］：精神に関することは微妙だと、涼子先生が言われたことでしょう？
>>	［코지］：정신에 관한 건 미묘하다고, 료코 선생님이 말씀하셨잖아요?
L4975	［涼子］：フフ、そうだったわね。
>>	［료코］：후후, 그랬었지.
L4978	白衣のポケットに両手を入れると、涼子はコツコツと、僕の前を横に往復しだした。
>>	흰 가운 주머니에 두 손을 넣고, 료코는 또각또각, 내 앞을 가로질러 오가기 시작했다.
L4981	何かを考えているのだろうが、僕にはそれがわからない。涼子は、目の前でおもむろに立ち止まると、
>>	무언가 생각하고 있는 것이겠지만, 나로서는 알 수 없다. 료코는, 눈앞에서 천천히 걸음을 멈추더니,
L4985	［涼子］：ねぇ、宏治クン。
>>	［료코］：있잖아, 코지 군.
L4989	［宏治］：‥‥なんでしょうか。
>>	［코지］：‥‥무슨 일이세요.
L4992	［涼子］：その他に、メンタルな部分で、変わったこととか、ない？
>>	［료코］：그 밖에, 정신적인 부분에서, 달라진 건, 없어?
L4996	［宏治］：メンタルな部分、ですか。
>>	［코지］：정신적인 부분, 말이에요.
L4999	［涼子］：そう、メンタルな部分。
>>	［료코］：그래, 정신적인 부분.
L5002	さきほどの沙夜香の質問と、ほぼ同じだった。その時に得た回答をここで言って良いものかどうか‥‥‥‥。
>>	조금 전 사야카의 질문과, 거의 같았다. 그때 내놓은 대답을 여기서 말해도 될지 어떨지‥‥‥‥.
L5005	僕はしばらく思案していたが、
>>	나는 한동안 궁리하고 있었지만,
L5009	［涼子］：大丈夫よ、宏治クン。
>>	［료코］：괜찮아, 코지 군.
L5012	と、まるで僕の心を見透かしたように、涼子は微笑み掛けてきた。
>>	하고, 마치 내 마음을 꿰뚫어 본 듯이, 료코는 미소를 지어 보였다.
L5015	少し安心するが、不安が拭われた訳ではない。それでも、言ってみようという気にはなってきた。
>>	조금 안심하지만, 불안이 가신 것은 아니다. 그래도, 말해 보자는 마음은 들었다.
L5019	［宏治］：それでは言いますけど‥‥。
>>	［코지］：그럼 말씀드리겠지만‥‥.
L5022	［涼子］：どうぞ。
>>	［료코］：어서.
L5026	［宏治］：ここで、涼子先生の精神分析に協力し始めてから、どうも記憶力に自信がなくなりました。
>>	［코지］：여기서, 료코 선생님의 정신분석에 협력하기 시작한 뒤로, 아무래도 기억력에 자신이 없어졌어요.
L5029	［涼子］：それで？
>>	［료코］：그래서?
L5033	［宏治］：決して涼子先生の研究とか学術にケチを付ける訳じゃないんですが、ちょっと普段の生活に差し支えます。
>>	［코지］：결코 료코 선생님의 연구나 학술에 트집을 잡으려는 건 아니지만, 좀 일상생활에 지장이 있어요.
L5036	涼子は俯いて、何かを考えているようだった。表情はほとんど無く、考えている内容までは分かりそうにない。
>>	료코는 고개를 숙이고, 무언가 생각하는 듯했다. 표정은 거의 없어서, 무슨 생각을 하는지까지는 알 수 없을 듯했다.
L5039	僕は、もう１つ考えていたことを、涼子に言ってみた。
>>	나는, 또 하나 생각하고 있던 것을, 료코에게 말해 보았다.
L5043	［宏治］：副作用、ということはないんですか？
>>	［코지］：부작용이라는 건 없나요?
L5046	［涼子］：精神分析の？
>>	［료코］：정신분석의?
L5050	［宏治］：ええ、そうです。
>>	［코지］：네, 그래요.
L5053	［涼子］：副作用ということは、あり得ないわ。絶対に。
>>	［료코］：부작용이라는 건, 있을 수 없어. 절대로.
L5057	［宏治］：では、何なのでしょうか。
>>	［코지］：그럼, 대체 뭘까요.
L5060	［涼子］：健忘症。
>>	［료코］：건망증.
L5063	涼子はクスっと笑みをこぼすと、再び白衣のポケットに手を入れて、部屋の奥へと歩き出した。
>>	료코는 킥 하고 웃음을 흘리더니, 다시 흰 가운 주머니에 손을 넣고, 방 안쪽으로 걸어갔다.
L5066	からかわれたのだと気付いた時には、涼子は部屋の奥へと消えていってしまった。
>>	놀림을 당한 것임을 깨달았을 때는, 료코는 이미 방 안쪽으로 사라져 버린 뒤였다.
L5070	［宏治］：結構、切実な問題なんだけどな‥‥‥‥。
>>	［코지］：꽤나, 절실한 문제인데 말이지‥‥‥‥.
L5073	僕は早々に部屋を退出することにしたが、僕の背後から涼子の声が聞こえてくる。
>>	나는 서둘러 방을 나서기로 했지만, 등 뒤에서 료코의 목소리가 들려온다.
L5076	［涼子］：そういえば、舞さんがあなたを捜していたわよ‥‥。
>>	［료코］：그러고 보니, 마이 씨가 널 찾고 있었어‥‥.
L5079	［涼子］：そういえば、恵さん、ロビーにいたわよ‥‥。
>>	［료코］：그러고 보니, 메구미 씨, 로비에 있었어‥‥.
L5082	相変わらず、外は蒸し暑かった。
>>	여전히, 밖은 후텁지근했다.
L5085	引いていた汗が、再び吹き出してくる不愉快さに、耐えねばならなかった。
>>	가셨던 땀이, 다시 뿜어져 나오는 불쾌함을, 견뎌야만 했다.
L5088	さて、これから‥‥‥‥。
>>	자, 이제부터‥‥‥‥.
L5091	　◆ ロビーへ行ってよう。
>>	　◆ 로비로 가 보자.
L5094	　◆ 屋上に、確か用があったような‥‥。
>>	　◆ 옥상에, 분명 볼일이 있었던 것 같은데‥‥.
L5097	ロビーへ行ってみよう。
>>	로비로 가 보자.
L5100	屋上に、確か用があったような‥‥。
>>	옥상에, 분명 볼일이 있었던 것 같은데‥‥.
L5103	そうだ、確か舞さんが屋上で待っているって、言っていた‥‥。
>>	그렇지, 분명 마이 씨가 옥상에서 기다린다고, 말했었지‥‥.
L5106	いや、そんなことを、言ったかな‥‥記憶違い？
>>	아니, 그런 말을, 했던가‥‥기억 착오인가?
L5110	［宏治］：（まぁ、いいさ‥‥‥‥。）
>>	［코지］：（뭐, 됐어‥‥‥‥.）
L5113	屋上で少し気分を一新させたいところだった。そんな風に自分を納得させると、僕は近くのエレベータに乗り込んでいった。
>>	옥상에서 조금 기분을 새로이 하고 싶던 참이었다. 그런 식으로 스스로를 납득시키고, 나는 가까운 엘리베이터에 올라탔다.
L5116	そうだ、確か恵がいたって、言っていたけど‥‥。
>>	그렇지, 분명 메구미가 있었다고, 말했었는데‥‥.
L5119	エレベータの表示を見てみる。この階にやってくるまで、少し時間が掛かりそうだった。
>>	엘리베이터의 표시를 본다. 이 층까지 오는 데, 조금 시간이 걸릴 듯했다.
L5122	ロビーはここからだと、１階分降りるだけだが‥‥。
>>	로비는 여기서라면, 한 층만 내려가면 되지만‥‥.
L5126	［宏治］：最近、怠慢かもしれないな‥‥。
>>	［코지］：요즘, 게을러진 걸지도 모르겠군‥‥.
L5129	僕はエレベータのボタンを押しながら、そんなことを考えていた。
>>	나는 엘리베이터 버튼을 누르면서, 그런 생각을 하고 있었다.
L5132	何だか気になった。それが何かはわからないけど、舞に会ってみたいという欲求が、意外に強い。
>>	어쩐지 마음에 걸렸다. 그게 무엇인지는 모르겠지만, 마이를 만나 보고 싶다는 욕구가, 의외로 강하다.
L5135	ロビーはここからだと、それほど階段を使用しなくても大丈夫そうだが‥‥。
>>	로비는 여기서라면, 계단을 그리 많이 쓰지 않아도 될 것 같지만‥‥.
L5138	さすがに、ロビーにはある程度の人を見かけることができた。僕はゆっくりと辺りを見回してみる。
>>	역시, 로비에는 어느 정도 사람이 눈에 띄었다. 나는 천천히 주위를 둘러본다.
L5141	インフォメーションボードには、現在の場所やら設備の詳細が記されている。あらためて見ると、意外に広い。
>>	인포메이션 보드에는, 현재 위치며 설비의 상세가 적혀 있다. 새삼 보니, 의외로 넓다.
L5144	３階建ての建物ではあったが、横への広がりが充実していた。この狭い国には、いささか相応しくない造りと言える。
>>	3층짜리 건물이기는 했지만, 옆으로 널찍하게 뻗어 있었다. 이 좁은 나라에는, 다소 어울리지 않는 구조라 할 수 있다.
L5148	［恵］：宏治！
>>	［메구미］：코지!
L5151	活発な声が僕の耳に響いてきた。あれ、この声は‥‥。
>>	활기찬 목소리가 내 귀에 울려 왔다. 어라, 이 목소리는‥‥.
L5154	［恵］：今日はあの女性、いないでしょうね。
>>	［메구미］：오늘은 그 여자, 없겠지.
L5158	［宏治］：沙夜香さんの事かい？
>>	［코지］：사야카 씨 말이야?
L5161	［恵］：もう、このあいだは酷い目にあった。
>>	［메구미］：정말, 지난번엔 험한 꼴 당했어.
L5165	［宏治］：‥‥？　このあいだって‥‥。
>>	［코지］：‥‥?　지난번이라니‥‥.
L5169	［恵］：ね、宏治。
>>	［메구미］：있잖아, 코지.
L5173	［宏治］：‥‥な、なに？
>>	［코지］：‥‥뭐, 뭔데?
L5176	［恵］：ここのお仕事紹介して、ちょっと後悔してる。
>>	［메구미］：여기 일 소개해 준 거, 좀 후회하고 있어.
L5180	［宏治］：なんだよ、今さら。
>>	［코지］：뭐야, 이제 와서.
L5183	［恵］：いいお金になるっていうから、紹介したんだけど‥‥‥‥。
>>	［메구미］：돈벌이가 괜찮다길래, 소개한 건데‥‥‥‥.
L5186	［恵］：昨日、パパから聞いたの。ここ、もうすぐ閉鎖されるんですって。
>>	［메구미］：어제, 아빠한테 들었어. 여기, 곧 폐쇄된대.
L5190	［宏治］：ええ！？　僕の今までの給料は、いったいどうなるのさ。
>>	［코지］：뭐어!?　지금까지의 내 급료는, 대체 어떻게 되는 거야.
L5193	［恵］：あなたねぇ、もう少し真面目になりなさいよ。
>>	［메구미］：너 말이야, 조금은 더 진지해지렴.
L5197	［宏治］：僕は十分真面目だ。給料の問題は、切実なんだぞ。
>>	［코지］：난 충분히 진지해. 급료 문제는, 절실하다고.
L5200	［恵］：とにかく聞いて。閉鎖は政治的な思惑かもしれないけど、やっぱり第一は先立つもの、みたいね。
>>	［메구미］：아무튼 들어 봐. 폐쇄는 정치적인 속셈일지도 모르지만, 역시 제일은 돈 문제인가 봐.
L5204	［宏治］：資金的な理由、か。こりゃいよいよ給料が‥‥。
>>	［코지］：자금상의 이유인가. 이거 정말로 급료가‥‥.
L5207	［恵］：今の現状で、ここに回す資金は無いわよね、やっぱり。
>>	［메구미］：지금 상황에, 여기 돌릴 자금은 없겠지, 역시.
L5211	［宏治］：まあね。穏やかじゃないし‥‥涼子先生、がっかりするだろうな。
>>	［코지］：뭐 그렇지. 상황이 심상치 않고‥‥료코 선생님, 실망하시겠군.
L5214	［恵］：その先生よ、問題は。
>>	［메구미］：그 선생이야, 문제는.
L5218	［宏治］：‥‥どういうこと？
>>	［코지］：‥‥무슨 소리야?
L5221	［恵］：あまり大きな声じゃ言えないけど、何かカウンセリングがあやしいのよね。
>>	［메구미］：큰 소리로는 말 못 하겠지만, 어쩐지 카운슬링이 수상하단 말이야.
L5225	［宏治］：‥‥まさか。
>>	［코지］：‥‥설마.
L5229	［恵］：だから宏治、あなたも気を付けないと。
>>	［메구미］：그러니까 코지, 너도 조심해야 해.
L5233	［宏治］：考えすぎだよ、恵は。
>>	［코지］：생각이 지나친 거야, 메구미는.
L5236	［恵］：最近あなた、身体に不調とか、ない？
>>	［메구미］：요즘 너, 몸에 이상 같은 거, 없어?
L5240	［宏治］：べ、別にないけど‥‥。
>>	［코지］：벼, 별로 없는데‥‥.
L5243	［恵］：特に、メンタル部分で‥‥‥‥。
>>	［메구미］：특히, 정신적인 부분에서‥‥‥‥.
L5246	［恵］：どこかの調査機関も動いてるらしいって、パパが言ってたわ。
>>	［메구미］：어딘가의 조사 기관도 움직이고 있는 것 같다고, 아빠가 말했어.
L5250	［宏治］：物騒な話だね。
>>	［코지］：흉흉한 이야기군.
L5253	［恵］：なに当たり前のこと言っているのよ。
>>	［메구미］：무슨 당연한 소릴 하고 있어.
L5256	［恵］：ま、契約ってものもあるでしょうし、できるだけ早く引き上げられるようにするから。
>>	［메구미］：뭐, 계약이란 것도 있을 테니, 되도록 빨리 빠져나올 수 있게 해 줄게.
L5260	［宏治］：ちょっと、どこに行くんだい？
>>	［코지］：잠깐, 어디 가는 거야?
L5263	［恵］：あのセンセのとこ。交渉よ、交渉。
>>	［메구미］：그 선생한테. 협상이야, 협상.
L5267	［宏治］：そっちは階段だよ。
>>	［코지］：그쪽은 계단이야.
L5270	［恵］：あなたねぇ‥‥。
>>	［메구미］：너 말이야‥‥.
L5273	恵は、目の前にやってくると、僕の襟元を直し始めた。通り過ぎる人は、それを見てクスクスと笑っているようだ。
>>	메구미는, 눈앞까지 다가오더니, 내 옷깃을 매만지기 시작했다. 지나가는 사람들은, 그걸 보고 킥킥 웃는 듯했다.
L5276	［恵］：はい、これでＯＫ。男前になったわよ。じゃね。
>>	［메구미］：자, 이걸로 ＯＫ. 훤한 남자가 됐네. 그럼.
L5279	恵は再び、階段に行きかけて、こちらを振り向くと、
>>	메구미는 다시, 계단 쪽으로 가려다, 이쪽을 돌아보더니,
L5282	［恵］：階段くらい、昇りなさい。たった、３階でしょ？
>>	［메구미］：계단 정도는, 걸어 올라가. 겨우, 3층이잖아?
L5286	［宏治］：横着が文明を発展させてきたんだ。
>>	［코지］：게으름이 문명을 발전시켜 온 거야.
L5289	［恵］：なによ、それ。
>>	［메구미］：뭐야, 그게.
L5293	［宏治］：恵も、昨日みたいに、沙夜香さんに追い出されないようにね。
>>	［코지］：메구미도, 어제처럼, 사야카 씨한테 쫓겨나지 않도록 해.
L5296	［恵］：昨日？　何を言っているのよ、１週間も前の事じゃない‥‥。
>>	［메구미］：어제?　무슨 소리야, 1주일이나 전 일이잖아‥‥.
L5299	恵は、軽快な足取りで階段を昇っていった。僕はその後ろ姿を、じっと見つめていた‥‥。
>>	메구미는, 경쾌한 발걸음으로 계단을 올라갔다. 나는 그 뒷모습을, 가만히 바라보고 있었다‥‥.
L5302	　◆ 自室へ戻ってみるかな‥‥。
>>	　◆ 내 방으로 돌아가 볼까‥‥.
L5305	　◆ 屋上へ行ってみようか‥‥。
>>	　◆ 옥상에 가 볼까‥‥.
L5308	自室へ戻ってみるかな‥‥。
>>	내 방으로 돌아가 볼까‥‥.
L5311	さすがに３階まで階段を使う気にはなれなかった。僕はエレベータの上ボタンを押すと、しばし立ち尽くしていた。
>>	아무래도 3층까지 계단을 쓸 마음은 들지 않았다. 나는 엘리베이터의 위 버튼을 누르고, 한동안 우두커니 서 있었다.
L5314	そういえば、エレベータを待っている人って、みんな上の表示部分をぼーっと眺めているよな‥‥。
>>	그러고 보니, 엘리베이터를 기다리는 사람은, 다들 위쪽 표시부를 멍하니 바라보고 있단 말이지‥‥.
L5317	そんなことを考えていたとき‥‥。
>>	그런 생각을 하고 있을 때‥‥.
L5321	［涼子］：宏治クン。
>>	［료코］：코지 군.
L5325	［宏治］：涼子先生‥‥。
>>	［코지］：료코 선생님‥‥.
L5328	［涼子］：いま話していたの、恵さん？
>>	［료코］：방금 이야기하던 사람, 메구미 씨?
L5332	［宏治］：そ、そうですけど。
>>	［코지］：그, 그런데요.
L5336	［宏治］：あっ‥‥‥‥。
>>	［코지］：앗‥‥‥‥.
L5340	［宏治］：（何か言いたげだったけど‥‥。）
>>	［코지］：（뭔가 하고 싶은 말이 있는 눈치였는데‥‥.）
L5343	屋上へ行ってみようか‥‥。
>>	옥상에 가 볼까‥‥.
L5346	さすがに屋上まで階段を使う気にはなれない。僕はエレベータの上ボタンを押すと、しばし立ち尽くしていた。
>>	아무래도 옥상까지 계단을 쓸 마음은 들지 않는다. 나는 엘리베이터의 위 버튼을 누르고, 한동안 우두커니 서 있었다.
L5349	涼子先生の後ろ姿を後目に、僕はエレベータへと乗り込んでいった。
>>	료코 선생님의 뒷모습을 곁눈질하며, 나는 엘리베이터에 올라탔다.
L5352	屋上は広々としていて、清々しかった。陽射しはまだ弱くなく、見上げると空は青々としている。
>>	옥상은 널찍하고, 상쾌했다. 햇살은 아직 약하지 않고, 올려다보니 하늘은 새파랗다.
L5355	だが人の姿が見えないぶん、荒涼感も漂っていた‥‥。
>>	하지만 사람 그림자가 보이지 않는 만큼, 황량한 느낌도 감돌았다‥‥.
L5358	僕はあたりをぐるりと見回してみたが、舞らしき女性は、見あたらなかった。
>>	나는 주위를 빙 둘러보았지만, 마이인 듯한 여성은, 보이지 않았다.
L5362	［宏治］：（まだ、来ていないのかな‥‥。）
>>	［코지］：（아직, 오지 않은 걸까‥‥.）
L5365	かなり落胆している自分に気付く。舞に会えないことが、意外に僕の気持ちを沈ませていた。
>>	꽤나 낙담한 자신을 깨닫는다. 마이를 만나지 못한 것이, 의외로 내 기분을 침울하게 만들고 있었다.
L5368	この気持ちは、いったい何だろうか‥‥。
>>	이 감정은, 대체 무엇일까‥‥.
L5372	［宏治］：（ここでこうして考えていても、しょうがないよな‥‥。）
>>	［코지］：（여기서 이러고 생각해 봐야, 소용없겠지‥‥.）
L5375	ここでずっと待っているという方法もあったが、僕はとりあえず他の場所へ行くことにした。
>>	여기서 계속 기다리는 방법도 있었지만, 나는 일단 다른 곳으로 가 보기로 했다.
L5378	　◆ 自室へ戻ってみよう‥‥。
>>	　◆ 내 방으로 돌아가 보자‥‥.
L5381	　◆ ロビーに行ってみよう‥‥。
>>	　◆ 로비에 가 보자‥‥.
L5384	自室へ戻ってみよう‥‥。
>>	내 방으로 돌아가 보자‥‥.
L5387	ロビーに行ってみよう‥‥。
>>	로비에 가 보자‥‥.
L5391	［宏治］：もう、こんな時間なのか‥‥。
>>	［코지］：벌써, 이런 시간인가‥‥.
L5394	いつの間にか、あたりはすっかりと暗くなっていた。
>>	어느새, 주위는 완전히 어두워져 있었다.
L5397	エレベータ脇に置いてある時代錯誤の赤電話が、やけに寂しそうに映った。
>>	엘리베이터 옆에 놓인 시대착오적인 빨간 공중전화가, 유난히 쓸쓸해 보였다.
L5400	踊り場の電気が、うっすらと屋上を照らしている。僕は暗がりの中で、舞を捜してみた‥‥。
>>	계단참의 전등이, 어슴푸레 옥상을 비추고 있다. 나는 어둠 속에서, 마이를 찾아보았다‥‥.
L5404	［宏治］：舞さん、まだいないのかな‥‥しょうがない。
>>	［코지］：마이 씨, 아직 없는 걸까‥‥어쩔 수 없군.
L5407	と僕がきびすを返したとき‥‥。
>>	하고 내가 발길을 돌렸을 때‥‥.
L5411	［舞］：宏治サン‥‥。
>>	［마이］：코지 상‥‥.
L5415	［宏治］：ま、舞さん。いつの間に‥‥。
>>	［코지］：마, 마이 씨. 어느 틈에‥‥.
L5418	目の前には、いつの間にか舞が立っていた。表情がやや翳って見えるのは、明かりの加減のせいだろうか‥‥。
>>	눈앞에는, 어느새 마이가 서 있었다. 표정이 조금 어두워 보이는 건, 불빛 탓일까‥‥.
L5422	［舞］：宏治サン、来てくれたんですね。
>>	［마이］：코지 상, 와 주셨군요.
L5426	［宏治］：う、うん‥‥。
>>	［코지］：으, 응‥‥.
L5429	何か、妙だった‥‥‥‥。
>>	뭔가, 이상했다‥‥‥‥.
L5432	舞は確かに僕の目の前に立っている。そして話をしている‥‥それなのに、これほど彼女の存在に不安をおぼえるのは、一体どうしたことだろうか‥‥。
>>	마이는 분명 내 눈앞에 서 있다. 그리고 이야기를 하고 있다‥‥그런데도, 이토록 그녀의 존재에 불안을 느끼는 건, 대체 어찌 된 일일까‥‥.
L5435	舞が‥‥？　それとも、屋上のせい？
>>	마이가‥‥?　아니면, 옥상 탓인가?
L5438	いや、僕自身が‥‥‥‥？
>>	아니, 나 자신이‥‥‥‥?
L5441	［舞］：どうしたんですか？
>>	［마이］：무슨 일 있으세요?
L5445	［宏治］：い、いや‥‥それよりも、何か話があるんじゃなかったの？
>>	［코지］：아, 아니‥‥그보다, 뭔가 할 얘기가 있던 거 아니야?
L5448	［舞］：話‥‥？
>>	［마이］：얘기‥‥?
L5452	［宏治］：い、いや僕の勘違いだったら、いいんだ。
>>	［코지］：아, 아니 내 착각이었다면, 됐어.
L5455	自信がなかった‥‥。
>>	자신이 없었다‥‥.
L5458	なぜ、自分の記憶に、これほどまで自信がないのか‥‥。
>>	어째서, 내 기억에, 이토록 자신이 없는 걸까‥‥.
L5462	［舞］：ねぇ、宏治サン‥‥。
>>	［마이］：저기, 코지 상‥‥.
L5465	ドキリとするほど、舞の肌は透き通っていた。ある意味では非現実的な感じすらする。
>>	섬뜩할 만큼, 마이의 피부는 투명했다. 어떤 의미에선 비현실적인 느낌마저 든다.
L5469	［舞］：宏治サンは‥‥。
>>	［마이］：코지 상은‥‥.
L5473	［舞］：宏治サンは、何故この医療センターへ？
>>	［마이］：코지 상은, 왜 이 의료 센터에?
L5477	［宏治］：あぁ、そのこと‥‥。
>>	［코지］：아아, 그 얘기‥‥.
L5480	お金のため、とダイレクトに答えるのも格好悪いので、少し気取った回答を敢えて呈示してみた。
>>	돈 때문이라고 곧이곧대로 답하기도 멋없어서, 조금 폼 잡은 대답을 굳이 내놓아 보았다.
L5484	［宏治］：やはり、科学の発展の為かな。
>>	［코지］：역시, 과학의 발전을 위해서랄까.
L5488	［宏治］：サイコロジーの分野は、まだまだ未知数だからね。
>>	［코지］：사이콜로지 분야는, 아직 미지수투성이니까.
L5491	舞があまりに深刻な顔をし出したので、少しおちゃらけてみる事にする。
