# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L3997	この先に何があるのか‥‥期待と不安を抱きながら、私は黙々と通路を進んでいった。
>>	이상한 식으로 묻는군‥‥그것 말고, 달리 어떻게 받아들이란 말인가.
L4170	［ランファ］：それは、夢です‥‥。
>>	［란파］：그건, 꿈이에요‥‥.
L4174	［コウジ］：‥‥夢だって？
>>	［코우지］：‥‥꿈이라고?
L4178	［ランファ］：コウジさんは、夢を見ないのですか？
>>	［란파］：코우지 씨는, 꿈을 꾸지 않나요?
L4182	［コウジ］：私は‥‥‥‥。
>>	［코우지］：나는‥‥‥‥.
L4185	そういえば、最近はいつ眠ったのだろうか‥‥。
>>	그러고 보니, 최근에 언제 잠들었던 걸까‥‥.
L4188	思い出せない‥‥私はいつ‥‥‥‥。
>>	기억나지 않는다‥‥나는 언제‥‥‥‥.
L4192	［ランファ］：コウジさん‥‥‥‥。
>>	［란파］：코우지 씨‥‥‥‥.
L4196	［コウジ］：な、なんだい？
>>	［코우지］：뭐, 뭐지?
L4199	［ランファ］：思い出して下さい。
>>	［란파］：떠올려 주세요.
L4203	［コウジ］：な、なぜ‥‥‥‥。
>>	［코우지］：어, 어째서‥‥‥‥.
L4207	［コウジ］：なぜ、そんなことを言うんだ。
>>	［코우지］：어째서, 그런 말을 하는 거야.
L4211	［コウジ］：君は、何を知っているんだ‥‥。
>>	［코우지］：너는, 뭘 알고 있는 거야‥‥.
L4214	君は、何を‥‥‥‥‥。
>>	너는, 뭘‥‥‥‥‥.
L4218	［涼子］：どうしたの？　宏治クン。
>>	［료코］：무슨 일이야?　코지 군.
L4222	［宏治］：せ、先生‥‥‥‥。
>>	［코지］：서, 선생님‥‥‥‥.
L4225	［涼子］：なにかしら、あらたまって。
>>	［료코］：왜 그래, 새삼스럽게.
L4229	［宏治］：以前、同じ事を言いませんでしたか？
>>	［코지］：전에, 같은 말을 하지 않으셨나요?
L4232	［涼子］：同じ‥‥こと？
>>	［료코］：같은‥‥말?
L4236	［宏治］：以前も、同じ様なことがあった気がします。
>>	［코지］：전에도, 같은 일이 있었던 것 같아요.
L4239	［涼子］：それは、既視感覚というやつね。
>>	［료코］：그건, 기시감각이라는 거네.
L4243	［宏治］：既視感覚？
>>	［코지］：기시감각?
L4246	［涼子］：それまで１度も体験したことが無いのに、あたかも体験したかのように感じてしまうことよ。
>>	［료코］：그때까지 한 번도 겪은 적이 없는데도, 마치 겪은 것처럼 느껴 버리는 거야.
L4249	［涼子］：フフ、まさにそういう感じね。
>>	［료코］：후후, 딱 그런 느낌이지.
L4253	［宏治］：ええ、妙な感じです。
>>	［코지］：네, 묘한 느낌이에요.
L4256	［涼子］：オカルトマニアなんかは、たいてい超常現象と結びつけたがるのだけどね。
>>	［료코］：오컬트 마니아들은, 대개 초상현상과 엮고 싶어 하지만 말이야.
L4260	［宏治］：涼子先生は？
>>	［코지］：료코 선생님은요?
L4264	［涼子］：私はこう見えても科学者よ、宏治クン。
>>	［료코］：나도 이래 봬도 과학자야, 코지 군.
L4267	ブラインドから洩れる陽射しが、天候の良さを物語っている。外からは時折、鳥のさえずり声が聞こえるだけで、辺りはおおむね静かだ‥‥。
>>	블라인드 사이로 새어드는 햇살이, 좋은 날씨를 말해 준다. 밖에서는 이따금, 새 지저귀는 소리가 들릴 뿐, 주위는 대체로 조용하다‥‥.
L4271	［涼子］：じゃあ宏治クン、今日は、その‥‥。
>>	［료코］：그럼 코지 군, 오늘은, 그‥‥.
L4275	［宏治］：先生。
>>	［코지］：선생님.
L4278	［涼子］：えっ？　な、何かしら‥‥。
>>	［료코］：엣?　무, 무슨 일이지‥‥.
L4282	［宏治］：いま、先生は夢のことを聞こうとしたんじゃありませんか？
>>	［코지］：방금, 선생님은 꿈 이야기를 물으려 하신 게 아닌가요?
L4285	［涼子］：な、何を言っているの‥‥。
>>	［료코］：무, 무슨 소리를 하는 거야‥‥.
L4289	［宏治］：お願いがあります、涼子先生。
>>	［코지］：부탁이 있어요, 료코 선생님.
L4292	［涼子］：な、何かしら‥‥‥‥。
>>	［료코］：무, 무슨 일이지‥‥‥‥.
L4296	［宏治］：今日のカウンセリングは、これくらいにしてもらえませんか？
>>	［코지］：오늘 카운슬링은, 이쯤에서 마쳐 주실 수 없을까요?
L4300	［宏治］：お願いします。
>>	［코지］：부탁드려요.
L4303	［涼子］：わかったわ。
>>	［료코］：알겠어.
L4306	涼子は、怪訝そうな表情で僕のことを見つめていたが、しょうがないわ、と一言もらすと、手に持っていたペンを机に置いた。
>>	료코는, 의아한 표정으로 나를 바라보고 있었지만, 어쩔 수 없지, 하고 한마디 흘리더니, 손에 쥐고 있던 펜을 책상에 놓았다.
L4309	［涼子］：じゃあ、１つだけ聞かせて頂戴。
>>	［료코］：그럼, 하나만 물어볼게.
L4313	［宏治］：なんでしょうか。
>>	［코지］：무엇인가요.
L4316	以前も、こんなやりとりをしたような、そんな気がした‥‥。
>>	전에도, 이런 대화를 나눴던 것 같은, 그런 기분이 들었다‥‥.
L4319	やはり、涼子先生の言うとおり、ある種の錯覚なのだろうか‥‥‥‥。
>>	역시, 료코 선생님 말대로, 일종의 착각인 걸까‥‥‥‥.
L4322	どうも、ここへ来てから、のような気がした。
>>	아무래도, 여기 오고 나서부터인 것 같은 기분이 들었다.
L4325	ここへ来てから、もう‥‥‥‥。
>>	여기 온 뒤로, 벌써‥‥‥‥.
L4329	［宏治］：ち、違いますよ。少し考え事をしていただけで‥‥じゃあ今日はこれで。
>>	［코지］：아, 아니에요. 잠깐 생각에 잠겼을 뿐이라‥‥그럼 오늘은 이만.
L4333	［宏治］：はい。じゃあ失礼します‥‥。
>>	［코지］：네. 그럼 실례할게요‥‥.
L4336	僕は椅子から立ち上がると、軽くおじぎをして、部屋を退出した。
>>	나는 의자에서 일어나, 가볍게 고개를 숙이고, 방을 나섰다.
L4339	涼子先生が、じっと僕のことを見つめていたような、そんな気がしながら‥‥。
>>	료코 선생님이, 가만히 나를 바라보고 있었던 듯한, 그런 기분을 느끼면서‥‥.
L4342	いつもと変わらない風景が、そこにはあった。
>>	여느 때와 다름없는 풍경이, 그곳에 있었다.
L4345	静かな昼下がり、人の姿があまり見えない往来の廊下、そしてむせ返りそうな気温と湿度‥‥。
>>	조용한 오후, 오가는 사람이 드문 복도, 그리고 숨 막힐 듯한 기온과 습도‥‥.
L4348	空調設備は稼働しているはずだが、額を拭うと、手の甲にべっとりと汗が付着する。相変わらず蒸し暑い気温に、辟易してしまう。
>>	공조 설비는 가동 중일 텐데, 이마를 훔치면, 손등에 땀이 흥건히 묻어난다. 여전히 무더운 기온에, 진저리가 난다.
L4352	［宏治］：（廊下に、エアコンは付いていないのかな‥‥‥。）
>>	［코지］：（복도에는, 에어컨이 없는 걸까‥‥‥.）
L4355	熱気と湿気が廊下一杯に広がっていて、僕の不快感をより一層増加させていた。
>>	열기와 습기가 복도 가득 퍼져 있어, 내 불쾌감을 한층 더 키우고 있었다.
L4358	ボーっと立っているだけで息苦しくなる、そんな状況だ。
>>	멍하니 서 있기만 해도 숨이 막혀 오는, 그런 상황이다.
L4361	冬だというのに、何故こんなに‥‥‥‥。
>>	겨울인데도, 어째서 이렇게‥‥‥‥.
L4364	以前も、こんなことを思わなかっただろうか‥‥‥‥。
>>	전에도, 이런 생각을 하지 않았던가‥‥‥‥.
L4367	廊下に出ると、やけに蒸し暑い‥‥‥‥‥。
>>	복도로 나오니, 유난히 후텁지근하다‥‥‥‥‥.
L4371	［宏治］：（そうだ、今日は確か恵がやって来る‥‥‥‥‥‥。）
>>	［코지］：（그래, 오늘은 분명 메구미가 오기로‥‥‥‥‥‥.）
L4374	そこまで考えて、はたと気付いた。恵が、今日？
>>	거기까지 생각하다, 문득 깨달았다. 메구미가, 오늘?
L4378	［宏治］：（恵は、もうやってきたんじゃなかったのか？）
>>	［코지］：（메구미는, 이미 왔던 게 아니었나?）
L4382	［宏治］：（そうだ、それで確か沙夜香さんに追い出されて‥‥。）
>>	［코지］：（그래, 그래서 분명 사야카 씨한테 쫓겨나서‥‥.）
L4386	［宏治］：自室に戻れば、わかることだな‥‥。
>>	［코지］：내 방으로 돌아가면, 알 수 있는 일이지‥‥.
L4389	僕はそう納得して、エレベータに乗り込もうとした。その時‥‥‥‥。
>>	나는 그렇게 납득하고, 엘리베이터에 타려 했다. 그때‥‥‥‥.
L4393	［宏治］：あれ‥‥舞さん？
>>	［코지］：어라‥‥마이 씨?
L4396	舞が優雅に僕の傍らを通り過ぎていった。僕に気付いた様子はなかったが‥‥。
>>	마이가 우아하게 내 곁을 스쳐 지나갔다. 나를 알아챈 기색은 없었지만‥‥.
L4399	僕が振り向くと、彼女はもう階段を降り始めていた。ロビーにでも、行くつもりだろうか。
>>	내가 돌아보니, 그녀는 벌써 계단을 내려가기 시작하고 있었다. 로비에라도 갈 생각인 걸까.
L4402	　◆ 僕もロビーに行ってみよう。
>>	　◆ 나도 로비에 가 보자.
L4405	　◆ とりあえず、自室に戻ってみるか。
>>	　◆ 일단, 내 방으로 돌아가 볼까.
L4408	僕もロビーに行ってみよう。
>>	나도 로비에 가 보자.
L4411	とりあえず、自室に戻ってみるか。
>>	일단, 내 방으로 돌아가 볼까.
L4414	タイミング良く、エレベータのドアが僕の目の前で開きだす。自室へ戻れと、誰かの意志が働いているかのようだった。
>>	때마침, 엘리베이터 문이 내 눈앞에서 열리기 시작한다. 방으로 돌아가라고, 누군가의 의지가 작용하는 듯했다.
L4417	相変わらず、ひんやりとした場所だった。人は乗っておらず、正方形の一辺に、ゆったりともたれ掛かることができる。
>>	여전히, 서늘한 공간이었다. 탄 사람은 없어서, 정사각형의 한쪽 면에 느긋하게 기대설 수 있다.
L4420	僕の部屋は、３階にあった。それほど移動距離はないはずだが、ずいぶんと長く動いているものだ。
>>	내 방은 ３층에 있었다. 이동 거리는 얼마 안 될 텐데, 꽤나 오래 움직이는군.
L4423	どうやら着いたようだ。ここから自室までは、すぐだった。
>>	아무래도 도착한 모양이다. 여기서 내 방까지는, 금방이었다.
L4426	僕は、少ない人の合間を縫いながら、自室へと向かっていった‥‥。
>>	나는, 드문드문한 사람들 사이를 누비며, 내 방으로 향해 갔다‥‥.
L4429	別に舞とは、今後ずっと会えない訳じゃないだろう。今は自室に戻って、いろいろと考えたい気分だった‥‥。
>>	딱히 마이와 앞으로 영영 못 만나는 것도 아닐 테지. 지금은 방으로 돌아가, 이것저것 생각하고 싶은 기분이었다‥‥.
L4432	チーン‥‥‥‥。
>>	띵‥‥‥‥.
L4435	タイミング良く、エレベータのドアが僕の目の前で開きだした。
>>	때마침, 엘리베이터 문이 내 눈앞에서 열리기 시작했다.
L4438	自室へ戻れと、誰かの意志が働いているかのようだった。
>>	방으로 돌아가라고, 누군가의 의지가 작용하는 듯했다.
L4441	相変わらず、ひんやりとした場所だった。人は乗っておらず、壁にゆったりともたれ掛かることができた。
>>	여전히, 서늘한 공간이었다. 탄 사람은 없어서, 벽에 느긋하게 기대설 수 있었다.
L4444	自室の前までやってきたが、ドアがうっすらと開いていた。僕は几帳面な方だから、ドアはいつも締めて出る。
>>	방 앞까지 왔는데, 문이 살짝 열려 있었다. 나는 꼼꼼한 편이라, 문은 늘 닫고 나간다.
L4447	誰かいる‥‥‥‥？
>>	누군가 있나‥‥‥‥?
L4450	ドアの隙間から、チラっと青い服が見えた。女性のようだ。
>>	문틈으로, 언뜻 파란 옷이 보였다. 여자인 듯하다.
L4453	もしかして、恵‥‥？
>>	혹시, 메구미‥‥?
L4456	いや、恵はあんなジャケットを着たりしない。すると‥‥。
>>	아니, 메구미는 저런 재킷을 입지 않는다. 그렇다면‥‥.
L4459	　◆ そっと、部屋に入って様子をうかがってみよう。
>>	　◆ 살며시, 방에 들어가 상황을 살펴보자.
L4462	　◆ いや、恵に決まってる。思いきり入って驚かせよう。
>>	　◆ 아니, 메구미가 분명해. 힘차게 들어가 놀래켜 주자.
L4465	そっと、部屋に入って様子をうかがってみよう。
>>	살며시, 방에 들어가 상황을 살펴보자.
L4468	僕はドアを静かにあけると、中の様子をうかがってみた。
>>	나는 문을 조용히 열고, 안의 상황을 살펴보았다.
L4471	ドアのきしむ音が、少しだけ響いた。今度、油でもさしておいてやろう‥‥。
>>	문이 삐걱대는 소리가, 조금 울렸다. 다음에, 기름이라도 쳐 둬야겠군‥‥.
L4475	［宏治］：（あれ？　さっきまで居たのに‥‥‥‥。）
>>	［코지］：（어라?　방금까지 있었는데‥‥‥‥.）
L4478	腰をかがめながら、僕が部屋の中へ入っていくと‥‥‥‥。
>>	허리를 굽힌 채, 내가 방 안으로 들어가자‥‥‥‥.
L4481	バタン！
>>	쾅!
L4485	［宏治］：わっ！！
>>	［코지］：으왓!!
L4488	［沙夜香］：フフ、おかえりなさい。
>>	［사야카］：후후, 어서 와.
L4491	僕の背後には、後ろ手にドアを閉めた沙夜香が立っていた。
>>	내 등 뒤에는, 손을 뒤로 뻗어 문을 닫은 사야카가 서 있었다.
L4494	いや、恵に決まってる。思いきり入って驚かせよう。
>>	아니, 메구미가 분명해. 힘차게 들어가 놀래켜 주자.
L4497	僕はドアをあけ、後ろ手に思いきりしめた。
>>	나는 문을 열고, 뒤로 손을 뻗어 힘껏 닫았다.
L4500	［沙夜香］：びっくりしたわ、どうしちゃったの？
>>	［사야카］：깜짝 놀랐잖아, 무슨 일이야?
L4504	［宏治］：さ、沙夜香さん‥‥ここで何を？
>>	［코지］：사, 사야카 씨‥‥여기서 뭘?
L4507	まるで、僕が帰ってくるのを、待ちかまえていたかのようだが‥‥。
>>	마치, 내가 돌아오기를, 기다리고 있었던 것 같은데‥‥.
L4510	［沙夜香］：用がなければ、来てはいけないのかしら。
>>	［사야카］：볼일이 없으면, 오면 안 되는 걸까.
L4514	［宏治］：やめましょうよ、そういう言い方は。
>>	［코지］：그만해요, 그런 말투는.
L4517	ごめんねと、悪戯っ子のような笑みを浮かべて、沙夜香は僕のそばへ寄ってきた。
>>	미안, 하고 장난꾸러기 같은 미소를 띠며, 사야카는 내 곁으로 다가왔다.
L4520	こういうズケズケしたところに、少し感心してしまう。
>>	이런 거침없는 구석에는, 조금 감탄하고 만다.
L4523	［沙夜香］：今日は、例のことを？
>>	［사야카］：오늘은, 그 일을?
L4526	［沙夜香］：ふーん、今日もカウセリングだけだったんだ。
>>	［사야카］：흐음, 오늘도 카운슬링만 했구나.
L4529	微妙な言い回しの違いに、僕は気付いた。沙夜香は「今日も」と言わなかったか‥‥？
>>	미묘한 말투 차이를, 나는 알아챘다. 사야카는 「오늘도」라고 하지 않았나‥‥?
L4532	じゃあ、昨日はいったい何をやったのかというと‥‥‥‥。
>>	그럼, 어제는 대체 무엇을 했느냐 하면‥‥‥‥.
L4536	［沙夜香］：どうしたのよ、宏治クン。
>>	［사야카］：왜 그래, 코지 군.
L4539	［沙夜香］：ここ最近、ボーっとしている時が、少なくないわね。
>>	［사야카］：요즘 들어, 멍하니 있을 때가, 적지 않네.
L4543	［宏治］：いえ‥‥ところで、恵を知りませんか？
>>	［코지］：아뇨‥‥그런데, 메구미 못 보셨어요?
L4546	［沙夜香］：恵さん？　会えなかったの？
>>	［사야카］：메구미 씨?　못 만났어?
L4550	［宏治］：昨日、もしかすると恵は、ここに来ましたよね？
>>	［코지］：어제, 혹시 메구미가, 여기 왔었죠?
L4554	［沙夜香］：フフ、どうしたのよ宏治クン。
>>	［사야카］：후후, 왜 그래 코지 군.
L4558	［宏治］：‥‥教えて下さい。
>>	［코지］：‥‥알려 주세요.
L4561	［沙夜香］：昨日、自室で不純異性交遊に励もうとした所を、私に止められたでしょ？
>>	［사야카］：어제, 방에서 불순 이성 교제에 힘쓰려다가, 나한테 저지당했잖아?
L4564	どうやら記憶に、間違いはなかったようだ。
>>	아무래도 기억에, 틀림은 없었던 모양이다.
L4567	すると、さきほどの涼子先生の所での記憶に、誤りがあったのだろうか‥‥。
>>	그렇다면, 아까 료코 선생님 방에서의 기억에, 오류가 있었던 걸까‥‥.
L4570	［沙夜香］：おかしな子ね。
>>	［사야카］：이상한 애네.
L4574	［宏治］：子供扱いは止めて下さいよ、こうみえても‥‥。
>>	［코지］：어린애 취급은 그만해 주세요, 이래 봬도‥‥.
L4577	［沙夜香］：はいはい、じゃあどこ行く？　ボク。
>>	［사야카］：네네, 그럼 어디 갈까?　꼬마야.
L4580	少し、感情が表に出てしまったらしい。沙夜香は僕の顔を見ると、ペロっと舌を出して、
>>	조금, 감정이 겉으로 드러나 버린 모양이다. 사야카는 내 얼굴을 보더니, 혀를 쏙 내밀고는,
L4583	［沙夜香］：ウソウソ、そんな顔をしないの。フフ‥‥。
>>	［사야카］：농담이야, 그런 얼굴 하지 마. 후후‥‥.
L4586	どうもこの人は苦手だった。恵がここにいない以上、長居は無用かもしれない。
>>	아무래도 이 사람은 어려웠다. 메구미가 여기 없는 이상, 오래 머물 필요는 없겠지.
L4590	［沙夜香］：ね、宏治クン。
>>	［사야카］：있잖아, 코지 군.
L4594	［宏治］：なんですか？
>>	［코지］：뭔가요?
L4597	［沙夜香］：そんな、つっけんどんに言わないでよ。
>>	［사야카］：그렇게, 퉁명스럽게 말하지 마.
L4600	［沙夜香］：ね、例の精神分析のあれ、一回見てみたいのよね。
>>	［사야카］：있지, 그 정신분석이란 거, 한 번 보고 싶단 말이야.
L4604	［宏治］：え？　だって、沙夜香さん‥‥。
>>	［코지］：네?　하지만, 사야카 씨‥‥.
L4607	［沙夜香］：助手なんて肩書きだけよ。見せてくれないのよね、涼子センセ‥‥。
>>	［사야카］：조수라 해 봤자 직함뿐이야. 안 보여 준다니까, 료코 선생‥‥.
L4610	［沙夜香］：ほら、行きましょう！
>>	［사야카］：자, 가자!
L4614	［宏治］：か、勝手に決めて‥‥関係者以外はダメなんですよ。
>>	［코지］：마, 맘대로 정하고‥‥관계자 외에는 안 된다고요.
L4618	［沙夜香］：あら、宏治クン、関係者でしょ？
>>	［사야카］：어머, 코지 군, 관계자잖아?
L4622	［宏治］：そ、それはそうですけど‥‥だ、ダメですってば、そんなに押したって‥‥。
>>	［코지］：그, 그건 그렇지만‥‥아, 안 된다니까요, 그렇게 밀어도‥‥.
L4625	［沙夜香］：いいから、外に出るの、ほら！
>>	［사야카］：됐으니까, 밖으로 나가는 거야, 자!
L4629	［舞］：あっ、宏治サン‥‥‥‥。
>>	［마이］：아, 코지 상‥‥‥‥.
L4632	相変わらず、「さん」のイントネーションが少し変だったが、そこがまた魅力のような気がする‥‥舞だ。
>>	여전히 「상」의 억양이 조금 이상했지만, 그게 또 매력처럼 느껴진다‥‥마이다.
L4636	［宏治］：舞さん、さっき見かけて声を掛けようとしたんだけど‥‥。
>>	［코지］：마이 씨, 아까 보고 말을 걸려고 했는데‥‥.
L4639	何だか、少し言いにくそうだった。目は伏し目がちだし‥‥どうしたんだろう。
>>	어쩐지, 조금 말하기 힘들어 보였다. 눈은 내리깔고 있고‥‥무슨 일일까.
L4643	［沙夜香］：あら、宏治。どうしたの？　誰なの、この女の子。
>>	［사야카］：어머, 코지. 무슨 일이야?　누구야, 이 여자애.
L4646	そうだった‥‥沙夜香はずいと僕の隣に陣取り、舞を品定めするような視線を送っていたのだ。
>>	그랬지‥‥사야카는 불쑥 내 옆에 자리를 잡고, 마이를 품평하는 듯한 시선을 보내고 있었던 것이다.
L4650	［宏治］：さ、沙夜香さん‥‥。
>>	［코지］：사, 사야카 씨‥‥.
L4653	［沙夜香］：フフ、なーに？
>>	［사야카］：후후, 왜애?
L4656	僕が少しきつく言おうとしたとき、
>>	내가 조금 세게 말하려던 때,
L4660	［舞］：じゃ、宏治サン、これで‥‥‥‥。
>>	［마이］：그럼, 코지 상, 이만‥‥‥‥.
L4663	舞は僕の傍らを通り過ぎる際、「屋上で」と言い残していった。僕の耳にしか届かないような小声で‥‥。
>>	마이는 내 곁을 지나칠 때, 「옥상에서」라고 남기고 갔다. 내 귀에만 닿을 듯한 작은 목소리로‥‥.
L4667	［宏治］：（屋上‥‥‥‥？）
>>	［코지］：（옥상‥‥‥‥?）
L4670	［沙夜香］：あーぁ、行っちゃった。フフ‥‥。
>>	［사야카］：아아, 가 버렸네. 후후‥‥.
L4674	［宏治］：‥‥ちょっと、沙夜香さん。
>>	［코지］：‥‥저기요, 사야카 씨.
L4677	［沙夜香］：ダメよ、だめ。そんな声出したって、恐くないんだから。
>>	［사야카］：안 돼, 안 돼. 그런 목소리 내 봤자, 무섭지 않으니까.
L4681	［宏治］：そんなこと言って‥‥‥。
>>	［코지］：그런 말 하면서‥‥‥.
L4685	［沙夜香］：宏治クンには、恵さんという恋人がいるんでしょ？　ダメよ、浮気なんかしちゃ。
>>	［사야카］：코지 군한테는, 메구미 씨라는 연인이 있잖아?　안 돼, 바람피우면.
L4688	［沙夜香］：そんなことより、ほら、早く連れていってよ。
>>	［사야카］：그런 것보다, 자, 얼른 데려가 줘.
L4691	どうやら、舞の事はもう忘却してしまったらしい。
>>	아무래도, 마이 일은 벌써 잊어버린 모양이다.
L4694	僕としても、ねちねち突っ込まれるよりは、大分ましだった。
>>	나로서도, 끈질기게 추궁당하는 것보다는, 훨씬 나았다.
L4698	［宏治］：知りませんよ、どうなっても。
>>	［코지］：어떻게 되든, 난 몰라요.
L4701	［沙夜香］：大丈夫、お姉さんに任せて。
>>	［사야카］：괜찮아, 누나한테 맡겨.
L4705	［宏治］：本当に、大丈夫なのかな‥‥‥‥。
