# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L28530	［ランファ］：もちろんですぅ、ずっと一緒に暮らしてきましたし。
L28588	［ランファ］：はい。トレイシーと私と、４人で。
>>	［란파］：네. 트레이시와 저까지, 넷이서.
L28592	［宏治］：よ、４人も、ここに？　せまくないかい？
>>	［코지］：네, 넷이나, 여기에?　좁지 않아?
L28595	［ランファ］：んー、多少狭いかもしれませんけどねっ、やっぱし、愛がありますから。
>>	［란파］：음, 다소 좁을지도 모르지만요, 역시 사랑이 있으니까요.
L28598	どうも話が食い違っているような気がするが、とりあえずビアンカと一緒にいたということは理解できた。
>>	아무래도 얘기가 어긋나는 느낌이 들지만, 일단 비앙카와 함께 있었다는 것은 이해할 수 있었다.
L28602	［宏治］：ふーんなるほどね‥‥ちょっ、ちょっ、ちょ‥‥。
>>	［코지］：흐음, 그렇군‥‥자, 잠, 잠깐‥‥.
L28606	［ランファ］：あン、コウジ様ぁ、さっきの続きぃ‥‥。
>>	［란파］：아앙, 코우지 니임, 아까 하던 거어‥‥.
L28609	しなだれかかってくるランファを抱き留めながら、オレは後ろによりかかった。
>>	기대어 오는 란파를 받아 안으면서, 나는 뒤로 몸을 기댔다.
L28612	ドンガラガッシャーン！
>>	우당탕 콰장창!
L28616	［宏治］：ま、まずい！
>>	［코지］：이, 이런!
L28620	［ランファ］：ああン、コウジ様ぁ‥‥。
>>	［란파］：아아앙, 코우지 니임‥‥.
L28623	目を閉じて、口を突き出しながらオレにしがみつくランファを、何とか引き剥がそうとする。こんな事をしてる場合じゃない。
>>	눈을 감고 입술을 내민 채 내게 매달리는 란파를, 어떻게든 떼어 내려 한다. 이럴 때가 아니다.
L28627	［宏治］：おい、コラ、くのっ、なかなか‥‥。
>>	［코지］：이봐, 야, 이거, 좀처럼‥‥.
L28630	［ランファ］：どうしちゃったんですかぁ‥‥あら？
>>	［란파］：왜 그러세요오‥‥어라?
L28633	やっと状況を認識してくれたようである。したたか打ちつけた腰をさすりながら、オレはランファを丁寧に引き剥がす。
>>	겨우 상황을 알아차려 준 모양이다. 세게 부딪친 허리를 문지르며, 나는 란파를 조심스레 떼어 놓는다.
L28637	［宏治］：さっ、いこうか。
>>	［코지］：자, 가 볼까.
L28640	［ランファ］：はい、また、後でねっ。
>>	［란파］：네, 이따가 또 해요.
L28643	ランファは元通りの笑顔に戻ると、ニコっと微笑む。オレはまたしても、ムラムラとくる情熱を、頭の隅へ追いやる労力に勤しむことになった。
>>	란파는 원래의 웃는 얼굴로 돌아와, 방긋 미소 짓는다. 나는 또다시 치미는 욕정을, 머리 한구석으로 밀어내는 수고를 해야 했다.
L28646	首尾良くトレイシーを助け出したオレたちは、ビアンカの私室にまでやってきていた。
>>	무사히 트레이시를 구해 낸 우리는, 비앙카의 개인실까지 와 있었다.
L28649	［ファル］：どうしたの？
>>	［파르］：무슨 일이야?
L28652	［ファル］：夢遊病者みたいよ、あなた。
>>	［파르］：몽유병 환자 같아, 너.
L28655	［私］：プロフェッサ‥‥。
>>	［나］：프로페서‥‥.
L28658	［ファル］：ストレス？　私がカウンセリングしてあげましょうか？
>>	［파르］：스트레스?　내가 상담해 줄까?
L28661	［私］：いいえ、そんなんじゃ、ありません。
>>	［나］：아뇨, 그런 거 아니에요.
L28664	［ファル］：フフ、目の下にクマができているわよ。あなたの彼、夜が激しいのかな‥‥？
>>	［파르］：후후, 눈 밑에 다크서클 생겼네. 네 남자친구, 밤일이 격한 걸까‥‥?
L28667	［ファル］：今日は、エイレートの遺跡発掘がメインになるわ、準備しておいて頂戴。
>>	［파르］：오늘은 에이레이트 유적 발굴이 중심이 될 거야, 준비해 둬.
L28670	［私］：ええ‥‥。
>>	［나］：네‥‥.
L28673	［ファル］：それから、彼だけど‥‥。
>>	［파르］：그리고, 그 사람 말인데‥‥.
L28676	［私］：‥‥彼？
>>	［나］：‥‥그 사람?
L28679	［ファル］：ほら、第２次調査隊からこちらにきた。
>>	［파르］：왜, 제２차 조사대에서 이쪽으로 온.
L28683	［私］：コウジ‥‥？
>>	［나］：코우지‥‥?
L28687	［ファル］：そうそう、そのコウジ。ウフフ、そういえば、あなたの彼と名前がいっしょじゃない。
>>	［파르］：맞아 맞아, 그 코우지. 우후후, 그러고 보니, 네 남자친구랑 이름이 같잖아.
L28690	［ファル］：ちゃんと、面倒見てあげてね。
>>	［파르］：잘 좀 챙겨 줘.
L28693	［私］：‥‥ええ。
>>	［나］：‥‥네.
L28696	［ファル］：ちょっとイイ男だからって、浮気なんか、しちゃだめよ。じゃね。
>>	［파르］：좀 괜찮은 남자라고 해서, 바람 같은 건 피우면 안 돼. 그럼.
L28699	［私］：浮気‥‥浮気じゃないわ‥‥。
>>	［나］：바람‥‥바람이 아니야‥‥.
L28702	［私］：私は‥‥‥‥。
>>	［나］：나는‥‥‥‥.
L28705	［男の声］：トレイシー。
>>	［남자 목소리］：트레이시.
L28709	［トレイシー］：あっ‥‥コウジ様‥‥。
>>	［트레이시］：앗‥‥코우지 님‥‥.
L28713	［コウジ］：どうした、ベッドから抜け出して‥‥。
>>	［코우지］：무슨 일이지, 침대에서 빠져나와서‥‥.
L28716	［トレイシー］：はい、その‥‥外の空気にあたりたくなって‥‥。
>>	［트레이시］：네, 그‥‥바깥바람을 쐬고 싶어져서‥‥.
L28720	［コウジ］：ほぉ、その姿を、誰かに見てもらいたくなったのではないか？
>>	［코우지］：호오, 그 모습을 누군가에게 보이고 싶어진 것 아닌가?
L28723	［トレイシー］：そ、そんなこと‥‥ありません。
>>	［트레이시］：그, 그런 일‥‥없어요.
L28726	［トレイシー］：あっ、ダメ‥‥こんなところで‥‥。
>>	［트레이시］：앗, 안 돼요‥‥이런 데서‥‥.
L28729	［トレイシー］：んっ‥‥。
>>	［트레이시］：응‥‥.
L28732	［トレイシー］：（こ、こんなところでキスなんて‥‥。）
>>	［트레이시］：（이, 이런 데서 키스라니‥‥.）
L28735	［トレイシー］：（んん‥‥情熱的なキス‥‥あぁぁぁ‥‥。）
>>	［트레이시］：（으응‥‥정열적인 키스‥‥아아아‥‥.）
L28739	［コウジ］：フン、何がダメなんだ？　すっかり気分を出して‥‥。
>>	［코우지］：흥, 뭐가 안 된다는 거지?　완전히 달아올라 놓고‥‥.
L28742	［トレイシー］：んんんっ‥‥‥‥。
>>	［트레이시］：으으응‥‥‥‥.
L28746	［コウジ］：もっと舌を突き出せ。しゃぶってやるぞ。
>>	［코우지］：혀를 더 내밀어라. 빨아 주지.
L28749	［トレイシー］：はい‥‥んんんっ‥‥‥‥。
>>	［트레이시］：네‥‥으으응‥‥‥‥.
L28752	ぬちょ、にちょ、むちゅっ。
>>	찔꺽, 질척, 쪽.
L28755	［トレイシー］：（あぁぁ‥‥舌をなぶられているのね‥‥。）
>>	［트레이시］：（아아‥‥혀를 희롱당하고 있어‥‥.）
L28758	［トレイシー］：（好きなようにして欲しい‥‥もっともっと‥‥。）
>>	［트레이시］：（마음대로 해 주었으면‥‥더, 더‥‥.）
L28762	［コウジ］：フン、相変わらず凄いボリュームだな、これは‥‥。
>>	［코우지］：흥, 여전히 엄청난 볼륨이군, 이건‥‥.
L28765	［トレイシー］：な、何が、でしょうか？
>>	［트레이시］：무, 무엇이, 말인가요?
L28769	［コウジ］：こんなにイヤらしく大きな胸で、何人の男をたらしこんだ？
>>	［코우지］：이렇게 음란하게 큰 가슴으로, 남자를 몇 명이나 홀렸지?
L28772	［トレイシー］：そんな‥‥私は、あなただけ‥‥。
>>	［트레이시］：그런‥‥저는, 당신뿐이에요‥‥.
L28775	［トレイシー］：あっ！　そんなダメ！‥‥人が来たら‥‥。
>>	［트레이시］：앗!　그건 안 돼요!‥‥사람이 오면‥‥.
L28778	［トレイシー］：い、いえ‥‥その、何でもありません‥‥。
>>	［트레이시］：아, 아뇨‥‥그, 아무것도 아니에요‥‥.
L28782	［コウジ］：こんなにイヤらしい胸をしやがって‥‥。
>>	［코우지］：이렇게 음란한 가슴을 하고 있다니‥‥.
L28785	［トレイシー］：あぁぁ、はい‥‥私のはイヤらしい胸です。
>>	［트레이시］：아아, 네‥‥제 건 음란한 가슴이에요.
L28789	［コウジ］：ふん、こんなに乳首を硬くシコらせて‥‥淫乱なメス犬が。
>>	［코우지］：흥, 젖꼭지를 이렇게 딱딱하게 세우고‥‥음란한 암캐가.
L28792	こりっ、こりっ、こりっ。
>>	꾹, 꾹, 꾹.
L28795	［トレイシー］：あふぅぅぅ‥‥あぁぁ、もっと‥‥もっと、しごいて下さい‥‥。
>>	［트레이시］：아후우우‥‥아아, 더‥‥더, 비벼 주세요‥‥.
L28799	［コウジ］：往来の廊下で、悶えるお前はいったい何だ！？
>>	［코우지］：사람 다니는 복도에서 몸부림치는 넌 대체 뭐냐!?
L28802	［トレイシー］：いつ人が通るかもしれない廊下で悶える私は、淫乱なメス犬です‥‥あぁぁぁ‥‥。
>>	［트레이시］：언제 사람이 지날지 모르는 복도에서 몸부림치는 저는, 음란한 암캐예요‥‥아아아‥‥.
L28805	ぎゅぅぅぅっ！
>>	꽈아아악!
L28808	［トレイシー］：きゃぅぅっ！　そ、そんなにひねったら、取れちゃう！
>>	［트레이시］：꺄우웃!　그, 그렇게 비틀면, 떨어져 버려요!
L28812	［コウジ］：今度、ここにピアスをしてやろう。
>>	［코우지］：다음엔, 여기에 피어싱을 해 주지.
L28815	［トレイシー］：あぁぁ‥‥嬉しい‥‥無茶苦茶にして下さい‥‥。
>>	［트레이시］：아아‥‥기뻐요‥‥엉망으로 만들어 주세요‥‥.
L28819	［コウジ］：アソコは、どうなっているかな‥‥。
>>	［코우지］：거긴, 어떻게 됐으려나‥‥.
L28822	くちゃっ。
>>	질척.
L28825	［トレイシー］：んあぅぅ‥‥そ、そこは‥‥。
>>	［트레이시］：응아우우‥‥거, 거긴‥‥.
L28829	［コウジ］：これは、いったい何の音だ？
>>	［코우지］：이건, 대체 무슨 소리지?
L28832	［トレイシー］：あぁぁぁ、そんな‥‥いや‥‥。
>>	［트레이시］：아아아, 그런‥‥싫어‥‥.
L28836	［コウジ］：フン、きちんと挿入しているな、アレを‥‥。
>>	［코우지］：흥, 제대로 넣고 있군, 그걸‥‥.
L28839	［トレイシー］：はい‥‥いつもいつも、あなたに言われる通り、アレを前と後ろに挿入しています‥‥。
>>	［트레이시］：네‥‥언제나 언제나, 말씀하신 대로, 그걸 앞과 뒤에 넣고 있어요‥‥.
L28843	［コウジ］：どれ‥‥。
>>	［코우지］：어디‥‥.
L28846	にちゃっ。
>>	찌걱.
L28849	［トレイシー］：んくぅぅ‥‥。
>>	［트레이시］：응쿠우‥‥.
L28853	［コウジ］：フン、こんなに濡らしおってからに‥‥淫乱女が‥‥。
>>	［코우지］：흥, 이렇게 젖어 가지고‥‥음란한 계집이‥‥.
L28856	［トレイシー］：あぁぁ、そうよ‥‥私は‥‥私は淫乱な女‥‥。
>>	［트레이시］：아아, 그래요‥‥저는‥‥저는 음란한 여자‥‥.
L28860	［コウジ］：お前はオレの肉奴隷だ。いいか？
>>	［코우지］：넌 내 육노예다. 알겠나?
L28863	［トレイシー］：はい‥‥私は、あなたの肉奴隷です。ご存分におなぶり下さい。
>>	［트레이시］：네‥‥저는, 당신의 육노예예요. 마음껏 희롱해 주세요.
L28866	ぐちゅっ、ぐちゅっ。
>>	철퍽, 철퍽.
L28869	［トレイシー］：あぉぉぉっ！　そ、そんなにお尻のモノを出し入れしたら‥‥いやっ‥‥あぁっ！
>>	［트레이시］：아오오옷!　그, 그렇게 엉덩이의 걸 넣었다 뺐다 하면‥‥싫어‥‥아앗!
L28873	［コウジ］：なぜ、こんなに濡れているのだ？
>>	［코우지］：어째서, 이렇게 젖어 있는 거지?
L28876	［トレイシー］：それは‥‥それは‥‥。
>>	［트레이시］：그건‥‥그건‥‥.
L28880	［コウジ］：なぜか、言ってみろっ！
>>	［코우지］：어째서인지, 말해 봐라!
L28884	［トレイシー］：それは‥‥あぁぁ、コウジ様‥‥。
>>	［트레이시］：그건‥‥아아, 코우지 님‥‥.
L28888	［コウジ］：言うんだ、なぜこんなに濡れているかを。
>>	［코우지］：말해, 왜 이렇게 젖어 있는지를.
L28891	［トレイシー］：それは‥‥それは、私が淫乱な肉奴隷っ！
>>	［트레이시］：그건‥‥그건, 제가 음란한 육노예라서!
L28895	［コウジ］：よーし、では、いつ人が通るかわからないこの廊下で、オレのモノをくわえてもらおうか。
>>	［코우지］：좋아, 그럼, 언제 사람이 지날지 모르는 이 복도에서, 내 걸 물어 봐라.
L28898	［トレイシー］：はい、光栄にございます。くわえさせて、戴きます‥‥。
>>	［트레이시］：네, 영광이에요. 물게 해 주세요‥‥.
L28902	［コウジ］：今日は顔にかけてやる。
>>	［코우지］：오늘은 얼굴에 뿌려 주지.
L28905	［トレイシー］：はい‥‥ご存分に、お出し下さいませ‥‥。
>>	［트레이시］：네‥‥마음껏, 내 주세요‥‥.
L28909	［コウジ］：精液を顔にこびり付かせたまま、艦内を散歩して、それから僕の部屋だ。
>>	［코우지］：정액을 얼굴에 묻힌 채로, 함내를 산책하고, 그다음 내 방이다.
L28912	［トレイシー］：はい、わかりました‥‥。
>>	［트레이시］：네, 알겠어요‥‥.
L28915	［トレイシー］：んん‥‥あぅぅぅぅ‥‥。
>>	［트레이시］：으응‥‥아우우우우‥‥.
L28919	［コウジ］：フン、何を言っているのか、わからないな。
>>	［코우지］：흥, 무슨 말을 하는지, 모르겠군.
L28922	［トレイシー］：あぁぁ、お願い‥‥もう、もう‥‥‥‥。
>>	［트레이시］：아아, 부탁이에요‥‥이제, 이제‥‥‥‥.
L28925	［トレイシー］：んくぅぅ‥‥あぅ、あぅぅぅ‥‥。
>>	［트레이시］：응쿠우‥‥아우, 아우우우‥‥.
L28929	［コウジ］：嬉しいのか、そんなに‥‥。
>>	［코우지］：그렇게 기쁘냐‥‥.
L28932	［トレイシー］：ち、ちが‥‥‥‥んくっ！
>>	［트레이시］：아, 아니‥‥‥‥응큭!
L28936	［コウジ］：フン、浣腸液３リットルだからな‥‥アヌスがひくついているぞ。
>>	［코우지］：흥, 관장액 ３리터니까‥‥항문이 실룩거리는군.
L28939	［トレイシー］：あっ、そんなに刺激しないで下さい‥‥もう‥‥あっ！
>>	［트레이시］：앗, 그렇게 자극하지 말아 주세요‥‥이제‥‥앗!
L28943	［コウジ］：フン、まさか人前で垂れ流すほど、恥知らずじゃあるまい？
>>	［코우지］：흥, 설마 남들 앞에서 싸지를 만큼, 뻔뻔하진 않겠지?
L28946	［トレイシー］：（ダメ‥‥耐えようとすればす、るほど‥‥。）
>>	［트레이시］：（안 돼‥‥참으려 하면 할, 수록‥‥.）
L28949	［トレイシー］：（んはぁぁ‥‥で、出ちゃそう‥‥くぅぅぅ‥‥。）
>>	［트레이시］：（응하아아‥‥나, 나올 것 같아‥‥크으으‥‥.）
L28953	［コウジ］：そろそろかな‥‥じゃあ出やすいように、尻の穴をほぐしてやろう。
>>	［코우지］：슬슬인가‥‥그럼 잘 나오도록, 항문을 풀어 주지.
L28956	［トレイシー］：そ、そんな、ダメ‥‥あっ、ダメぇぇぇっ！！
>>	［트레이시］：그, 그런, 안 돼‥‥앗, 안 돼애애앳!!
L28959	じゅぷっ、じゅぷっ、じゅぷっ。
>>	질퍽, 질퍽, 질퍽.
L28962	［トレイシー］：そ、そんなに出し入れしたら、で‥‥んぐっ‥‥出ちゃう‥‥出ちゃうっ！！
>>	［트레이시］：그, 그렇게 넣었다 뺐다 하면, 나‥‥응극‥‥나와요‥‥나와 버려요!!
L28966	［コウジ］：フン、だいぶ柔らかくなってきたな。
>>	［코우지］：흥, 꽤 부드러워졌군.
L28969	［トレイシー］：（ダメ‥‥我慢するのよ‥‥。）
>>	［트레이시］：（안 돼‥‥참는 거야‥‥.）
L28972	［トレイシー］：（ここで出してしまったら‥‥‥‥。）
>>	［트레이시］：（여기서 싸 버리면‥‥‥‥.）
L28975	［トレイシー］：（あぁぁ、ダメよダメ‥‥‥‥。）
>>	［트레이시］：（아아, 안 돼 안 돼‥‥‥‥.）
L28978	［トレイシー］：（で、でも‥‥‥‥。）
>>	［트레이시］：（하, 하지만‥‥‥‥.）
L28981	［トレイシー］：（指が出し入れするたびに‥‥あぁぁ！　便意が襲ってくる‥‥。）
>>	［트레이시］：（손가락이 드나들 때마다‥‥아아!　변의가 밀려와‥‥.）
L28985	［トレイシー］：こ、コウジ‥‥お、お願い‥‥んがっ！　お、お願い‥‥も、もう‥‥あぅっ！
>>	［트레이시］：코, 코우지‥‥부, 부탁‥‥응각!　부, 부탁이야‥‥이, 이제‥‥아웃!
L28989	［コウジ］：コウジ様だろう？　ええ？
>>	［코우지］：코우지 님이겠지?　응?
L28992	じゅぷっ。
>>	질퍽.
L28996	［トレイシー］：あぁぁ、コウジ様‥‥コウジ‥‥んぐぅっ！
>>	［트레이시］：아아, 코우지 님‥‥코우지‥‥응구웃!
L28999	［トレイシー］：も、もう‥‥お腹が‥‥くぅぅぅぅっ‥‥。
>>	［트레이시］：이, 이제‥‥배가‥‥크으으으윽‥‥.
L29003	［コウジ］：フン、おまけにこんなマン汁を垂れ流しやがって、ええ？
>>	［코우지］：흥, 게다가 이런 애액을 흘려 대다니, 응?
L29006	グチャッ‥‥。
>>	철퍽‥‥.
L29009	［トレイシー］：んくぅぅぅぅ‥‥‥‥。
>>	［트레이시］：응쿠우우우‥‥‥‥.
L29012	［トレイシー］：（そんなに‥‥あぁぁ‥‥‥‥。）
>>	［트레이시］：（그렇게‥‥아아‥‥‥‥.）
L29015	［トレイシー］：（指を２本も入れたら‥‥ダメぇぇぇっ！）
>>	［트레이시］：（손가락을 ２개나 넣으면‥‥안 돼애애앳!）
L29018	ぐちゃっ、ぐちゃっ、ぐちゃっ。
>>	철퍽, 철퍽, 철퍽.
L29022	［コウジ］：フン、凄い蜜の量だな‥‥それ、３本目だ。
>>	［코우지］：흥, 꿀 양이 굉장하군‥‥자, ３개째다.
L29025	［トレイシー］：（あぁぁ、そんなに‥‥あっ‥‥。）
>>	［트레이시］：（아아, 그렇게‥‥앗‥‥.）
L29028	［トレイシー］：（３本の指が別々に動いてるぅ‥‥だめよ、だめ‥‥。）
>>	［트레이시］：（３개의 손가락이 따로따로 움직여어‥‥안 돼, 안 돼‥‥.）
L29031	［トレイシー］：（そんなに激しく動かしたら、出ちゃうぅ！）
>>	［트레이시］：（그렇게 격하게 움직이면, 나와 버려어!）
L29035	［コウジ］：４本目！
>>	［코우지］：４개째!
L29038	ずりゅぅぅぅっっ！！
>>	쭈우우우욱!!
L29041	［トレイシー］：んごぉぉぉぉっっ！！
>>	［트레이시］：응고오오오옷!!
L29045	［コウジ］：フン、すぐに呑み込みおって。淫乱女が。
>>	［코우지］：흥, 냉큼 삼켜 버리다니. 음란한 계집이.
L29049	［トレイシー］：んくぅぅぅっ！！　あはぁぁ、コウジ様ぁぁ、お願い‥‥あぁぁ、お願いぃぃ！！
>>	［트레이시］：응쿠우우웃!!　아하아아, 코우지 니임, 부탁‥‥아아, 부탁이에요오오!!
L29053	［コウジ］：フン、こんなに濡らしながら、何をお願いしているんだ！？　アレか？　アレが欲しいのかっ！？
>>	［코우지］：흥, 이렇게 젖어 놓고, 뭘 부탁하는 거냐!?　그건가?　그게 갖고 싶은 거냐!?
L29056	じゅぷっ、じゅぷっ。
>>	질퍽, 질퍽.
L29059	［トレイシー］：んあぁぁぁぁぁぁっ！　違うぅぅぅっ！！
>>	［트레이시］：응아아아아아앗!　아니야아아앗!!
L29062	［トレイシー］：（アレじゃないわ‥‥私は‥‥私は‥‥。）
>>	［트레이시］：（그게 아니야‥‥나는‥‥나는‥‥.）
L29065	［トレイシー］：（私は、おトイレに行きたいの‥‥。）
>>	［트레이시］：（나는, 화장실에 가고 싶은 거야‥‥.）
L29068	じゅぷぷぷぷっ‥‥。
>>	질퍽퍽퍽퍽‥‥.
L29071	［トレイシー］：あおぉぉぉぉぉっ！！
>>	［트레이시］：아오오오오오옷!!
L29075	［コウジ］：そら、何をお願いしているんだ？
>>	［코우지］：자, 뭘 부탁하는 거냐?
L29078	［トレイシー］：お、おトイレ‥‥。
>>	［트레이시］：화, 화장실‥‥.
L29081	じゅぶっ！
>>	쑤욱!
L29084	［トレイシー］：あはぁぁぁぁっ！
>>	［트레이시］：아하아아아앗!
L29087	［トレイシー］：も、もう‥‥‥‥。
>>	［트레이시］：이, 이제‥‥‥‥.
L29091	［コウジ］：何を、お願いしているんだ？
>>	［코우지］：뭘, 부탁하는 거냐?
L29094	［トレイシー］：あふぅ‥‥あふぅ‥‥。
>>	［트레이시］：아후우‥‥아후우‥‥.
L29098	［コウジ］：そら、言え！
>>	［코우지］：자, 말해!
L29101	［トレイシー］：入れてぇぇぇぇぇぇぇぇぇっっっ！！！
>>	［트레이시］：넣어 줘어어어어어어어어엇!!!
L29105	［コウジ］：メス犬め！
>>	［코우지］：암캐 같으니!
L29108	［トレイシー］：あぁぁ、私はメス犬ぅぅっ！　入れてぇぇぇぇっ！！
>>	［트레이시］：아아, 저는 암캐예요오옷!　넣어 줘어어어엇!!
L29111	ずりゅぅぅぅぅぅぅぅぅぅぅぅぅっっ！！！
>>	쭈우우우우우우욱!!!
L29114	［トレイシー］：あぁぁぁぁぁぁぁぁっ！　いいぃぃぃぃぃぃっっ！！
>>	［트레이시］：아아아아아아아앗!　좋아아아아아아앗!!
L29118	［コウジ］：フン、メス犬がっ！
>>	［코우지］：흥, 암캐가!
L29121	［トレイシー］：凄いぃぃ、凄くいいのっ！！
>>	［트레이시］：굉장해요오, 너무 좋아요!!
L29124	ずちゅっ、ずちゅっ、ずちゅっ。
>>	질컥, 질컥, 질컥.
L29127	［トレイシー］：あっ、あっ、あっ！　ダメっ、そんなっ‥‥強くしたらっ‥‥あぁぁぁぁっ！！
>>	［트레이시］：앗, 앗, 앗!　안 돼, 그렇게‥‥세게 하면‥‥아아아아앗!!
L29130	［トレイシー］：（だ、ダメぇぇぇ‥‥突かれるたびに、お腹が‥‥。）
>>	［트레이시］：（아, 안 돼애애‥‥찔릴 때마다, 배가‥‥.）
L29133	ずちゅぅっ！
>>	질커억!
L29136	［トレイシー］：あがっ！
>>	［트레이시］：아각!
L29140	［コウジ］：どうした、突けと言ったのは、お前だぞ。
>>	［코우지］：왜 그러나, 찌르라고 한 건, 너다.
L29143	［トレイシー］：そうです‥‥私です‥‥もっともっと、突いて下さいっ！
>>	［트레이시］：그래요‥‥저예요‥‥더, 더, 찔러 주세요!
L29146	ずりゅぅぅぅぅぅっ！！
>>	쭈우우우우우욱!!
L29149	［トレイシー］：あくぅぅぅぅっ！
>>	［트레이시］：아쿠우우우웃!
L29152	［トレイシー］：（だ、ダメ‥‥便意が限界に‥‥来てる‥‥んぐっ！）
>>	［트레이시］：（아, 안 돼‥‥변의가 한계에‥‥달했어‥‥응극!）
L29156	［コウジ］：フン、まだだ、指で栓をしておいてやるぞ。今度は、親指だ。
>>	［코우지］：흥, 아직이다, 손가락으로 막아 주지. 이번엔, 엄지다.
L29159	［トレイシー］：んがぁぁぁ、も、もう‥‥お願いです、おトイレに‥‥行かせ‥‥んあぁっ！
>>	［트레이시］：응가아아, 이, 이제‥‥부탁이에요, 화장실에‥‥보내‥‥응아앗!
L29163	［コウジ］：肉奴隷の分際で、何を言っているか。ここで垂れ流すんだ。
>>	［코우지］：육노예 주제에, 무슨 소리냐. 여기서 싸지르는 거다.
L29166	［トレイシー］：イヤです‥‥いやぁぁぁ‥‥くぅぅぅぅ‥‥。
>>	［트레이시］：싫어요‥‥싫어어어‥‥크으으으‥‥.
L29169	［トレイシー］：（お尻の穴が、ヒクヒクしてるぅ‥‥。）
>>	［트레이시］：（항문이, 실룩실룩거려어‥‥.）
L29172	［トレイシー］：（我慢するのよ、トレイシー‥‥んぐっ。）
>>	［트레이시］：（참는 거야, 트레이시‥‥응극.）
L29175	［トレイシー］：（ここでお漏らしをしたら‥‥あぁぁ、ダメよダメぇ！）
>>	［트레이시］：（여기서 지려 버리면‥‥아아, 안 돼 안 돼애!）
L29179	［トレイシー］：コウジ様、お願いです‥‥何でもさせて戴きます。ですから‥‥ですからぁぁぁぁぁっ！
>>	［트레이시］：코우지 님, 부탁이에요‥‥뭐든 할게요. 그러니까‥‥그러니까아아아앗!
L29183	［コウジ］：フン、では百叩きだ。
>>	［코우지］：흥, 그럼 백 대다.
L29186	［トレイシー］：ひっ‥‥！？
>>	［트레이시］：히익‥‥!?
L29190	［コウジ］：と言いたいところだが、１０回で勘弁してやる。１０回耐えたら、トイレに行かせてやる。
>>	［코우지］：라고 하고 싶다만, １０번으로 봐주지. １０번 견디면, 화장실에 보내 주마.
L29193	［トレイシー］：んがっ‥‥あくぅぅぅ‥‥。
>>	［트레이시］：응각‥‥아쿠우우‥‥.
L29197	［コウジ］：どうした？　返事は？
>>	［코우지］：왜 그러나?　대답은?
L29200	［トレイシー］：あぁぁぁ、わ、わかり‥‥あくっ、ました‥‥は、早く‥‥。
>>	［트레이시］：아아아, 아, 알겠‥‥아큭, 어요‥‥빠, 빨리‥‥.
L29204	［コウジ］：早くだと？
>>	［코우지］：빨리라고?
L29207	［トレイシー］：あぁぁ、ダメよダメ！　あぁぁ、早く‥‥早く叩いて下さい！
>>	［트레이시］：아아, 안 돼 안 돼!　아아, 빨리‥‥빨리 때려 주세요!
L29211	［コウジ］：フハハ‥‥早く叩けときたか。この淫乱マゾ牛女め、早く叩けだと？
>>	［코우지］：후하하‥‥빨리 때려 달라고? 이 음란한 마조 암소 계집이, 빨리 때리라니?
L29214	［トレイシー］：あふぅぅぅ‥‥お、おねが‥‥んがっ！
>>	［트레이시］：아후우우‥‥부, 부탁‥‥응각!
L29218	［コウジ］：もう１回、言ってみろ。
>>	［코우지］：１번 더, 말해 봐라.
