# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L23572	［宏治］：それくらい聞いていればわかるさ。で、エンコーダを奪いに来たんだろ？
L23648	［ビアンカ］：知れたこと！　私を置き去りにして‥‥私は脱獄するまで軍収容所でわびしい毎日を‥‥。
>>	［비앙카］：뻔한 일!　나를 버리고 가서‥‥나는 탈옥할 때까지 군 수용소에서 쓸쓸한 나날을‥‥.
L23652	［宏治］：苦労したんだなぁ。
>>	［코지］：고생 많았구나.
L23655	［ビアンカ］：ええい、黙れ黙れ！　奸計にハメた当事者の貴様に、私の悔しさがわかってたまるか！！
>>	［비앙카］：에잇, 닥쳐 닥쳐!　간계에 빠뜨린 장본인인 네놈이 내 분함을 알 리가 있나!!
L23659	［宏治］：コブシを握りしめながら、熱演するなよ。
>>	［코지］：주먹까지 꽉 쥐고 열연하지 마.
L23663	［宏治］：裏切る？
>>	［코지］：배신?
L23667	［宏治］：ファルを！？
>>	［코지］：파르를!?
L23671	［宏治］：エンコーダなんかに未練は無いが、ファルは置いていけ。
>>	［코지］：인코더 따위엔 미련 없지만, 파르는 두고 가라.
L23674	［男］：《よけろ！　電撃がくるぞ！！》
>>	［남자］：《피해라!　전격이 온다!!》
L23678	［宏治］：な、何だ、誰だ！？
>>	［코지］：뭐, 뭐야, 누구냐!?
L23681	ビシィィィィッッ！！！
>>	철써어어어억!!!
L23685	［宏治］：（で、電撃‥‥！？）
>>	［코지］：（저, 전격‥‥!?）
L23688	［ビアンカ］：フッ、私の電撃ムチをもろに受けるとは、おろかな男よ‥‥。
>>	［비앙카］：훗, 내 전격 채찍을 정통으로 맞다니, 어리석은 남자로군‥‥.
L23692	［宏治］：（か、身体が、痺れて‥‥‥‥。）
>>	［코지］：（모, 몸이, 저려서‥‥‥‥.）
L23695	［ビアンカ］：フハハハハ‥‥エンコーダと、触媒の女はもらっていくぞ！
>>	［비앙카］：후하하하하‥‥인코더와 촉매인 여자는 받아 가겠다!
L23699	［宏治］：くっ‥‥。
>>	［코지］：큭‥‥.
L23702	［ビアンカ］：命だけは取らないでおいてやる。悔しかったら、奪い返しに来て見ろ！
>>	［비앙카］：목숨만은 살려 두마. 분하거든 되찾으러 와 봐라!
L23705	［ビアンカ］：ハッハッハ‥‥‥‥。
>>	［비앙카］：핫핫하‥‥‥‥.
L23712	［宏治］：（ここは‥‥どこだ‥‥？）
>>	［코지］：（여기는‥‥어디지‥‥?）
L23716	［宏治］：（夢の中にいるみたいだ‥‥このフワフワした感覚‥‥。）
>>	［코지］：（꿈속에 있는 것 같다‥‥이 붕 뜬 감각‥‥.）
L23720	［宏治］：（オレはどこにいるんだろう‥‥。）
>>	［코지］：（나는 어디에 있는 걸까‥‥.）
L23724	［宏治］：（ファル‥‥‥‥。）
>>	［코지］：（파르‥‥‥‥.）
L23728	［宏治］：（そうだ、ファルがエンコーダと一緒に‥‥。）
>>	［코지］：（그렇지, 파르가 인코더와 함께‥‥.）
L23732	［宏治］：（‥‥絶対に助けに行ってやるからな。待っていろ‥‥。）
>>	［코지］：（‥‥반드시 구하러 갈 테니까. 기다리고 있어‥‥.）
L23735	［男の声］：貴様では無理だ。
>>	［남자의 목소리］：네놈으론 무리다.
L23739	［宏治］：な、なに‥‥。
>>	［코지］：뭐, 뭐라고‥‥.
L23742	［男の声］：貴様では無理だと言ったのだ。
>>	［남자의 목소리］：네놈으론 무리라고 말했다.
L23745	［男］：貴様では、ビアンカには勝てん。
>>	［남자］：네놈으론, 비앙카를 이길 수 없다.
L23749	［宏治］：さ、さっき、『よけろ』って耳元で叫んだ男か！？
>>	［코지］：바, 방금, 『피해라』라고 귓가에 외친 남자냐!?
L23752	［男］：そうだ。
>>	［남자］：그렇다.
L23756	［宏治］：誰だ、お前は。
>>	［코지］：누구냐, 너는.
L23759	［男］：私のことか？
>>	［남자］：나 말이냐?
L23763	［宏治］：そうだよ。
>>	［코지］：그래.
L23766	［男］：私は‥‥‥‥。
>>	［남자］：나는‥‥‥‥.
L23770	［宏治］：ま、待て。オレが当てよう。
>>	［코지］：자, 잠깐. 내가 맞혀 보지.
L23773	［男］：‥‥‥‥‥‥。
>>	［남자］：‥‥‥‥‥‥.
L23777	［宏治］：答え、オレの妄想の産物。
>>	［코지］：정답, 내 망상의 산물.
L23781	［宏治］：違うのか？　じゃあ、２重人格のもう１人。
>>	［코지］：아닌가?　그럼, ２중인격의 또 １명.
L23785	［宏治］：単なる夢。
>>	［코지］：단순한 꿈.
L23788	［男］：私は妄想でもないし、２重人格でもないし、そしてこれは夢ではない。
>>	［남자］：나는 망상도 아니고, ２중인격도 아니며, 그리고 이건 꿈이 아니다.
L23792	［宏治］：じゃあ何だよ。
>>	［코지］：그럼 뭐냐고.
L23795	［男］：私こそ、天才かつ大宇宙の覇者たらんとする、大海賊である。
>>	［남자］：내가 바로, 천재이자 대우주의 패자가 되려는, 대해적이다.
L23798	［男］：ビアンカとの一件、こちらから見させてもらった。どうやら、意識が不定期にシンクロしているようだ。
>>	［남자］：비앙카와의 그 건, 이쪽에서 지켜보았다. 아무래도, 의식이 부정기적으로 싱크로하고 있는 모양이다.
L23802	［宏治］：ま、まさか、こっちで言うところのコウジ？　宇宙海賊とかいう？
>>	［코지］：서, 설마, 여기서 말하는 그 코우지?　우주 해적이라던?
L23806	［宏治］：んー、じゃあトレイシー、かな？
>>	［코지］：음, 그럼 트레이시인가?
L23810	［コウジ］：よし、では惑星エイレートで過ごしたあのときを、覚えているか？
>>	［코우지］：좋아, 그럼 행성 에이레이트에서 지낸 그때를, 기억하나?
L23814	［コウジ］：黙って聞くのだ。あの時の君は本当に素敵だったと言ってやれ。それで恐らく確信してもらえる事だろう。
>>	［코우지］：잠자코 들어라. 그때의 너는 정말 근사했다고 말해 줘라. 그것으로 아마 확신하게 될 거다.
L23818	［コウジ］：いいから、この通り言うのだ。ただし、ランファの前では決して言うな。いいな？
>>	［코우지］：됐으니까 이대로 말해라. 단, 란파 앞에서는 결코 말하지 마라. 알겠나?
L23822	［宏治］：ぶちって、電話じゃないんだ、おい！
>>	［코지］：뚝 끊다니, 전화도 아니고, 이봐!
L23826	［宏治］：ちょっと、まだ聞きたいことが‥‥この‥‥。
>>	［코지］：잠깐, 아직 묻고 싶은 게‥‥이‥‥.
L23830	［宏治］：大バカ野郎！！
>>	［코지］：이 멍청한 자식!!
L23833	［ランファ］：きゃぅっ！
>>	［란파］：꺄읏!
L23837	［トレイシー］：こ、コウジ様‥‥。
>>	［트레이시］：코, 코우지 님‥‥.
L23841	［宏治］：あれ、トレイシーにランファ‥‥。
>>	［코지］：어라, 트레이시에 란파‥‥.
L23845	［トレイシー］：よかったですわ、コウジ様。
>>	［트레이시］：다행이에요, 코우지 님.
L23849	［ランファ］：コウジ様ぁ‥‥ランファ、ランファ、すっっごく‥‥。
>>	［란파］：코우지 니임‥‥란파, 란파, 어어엄청‥‥.
L23852	［トレイシー］：心配していましたのよ、私‥‥。
>>	［트레이시］：걱정했었어요, 저‥‥.
L23855	［ランファ］：ちょっとぉ、私が感激の言葉を言おうとしてたんですからねっ！
>>	［란파］：잠깐만요, 제가 감격의 말을 하려던 참이었잖아요!
L23858	［トレイシー］：私もです。
>>	［트레이시］：저도예요.
L23861	［ランファ］：なによぉ、プリプリよぉ、トレイシー！
>>	［란파］：뭐야아, 뾰로통하기는, 트레이시!
L23865	［宏治］：話の腰を折って申し訳ないが、今、何時だ！？
>>	［코지］：말 끊어서 미안한데, 지금 몇 시야!?
L23869	［宏治］：今は何時かと訊いてるんだ。
>>	［코지］：지금 몇 시냐고 묻고 있잖아.
L23872	［トレイシー］：銀河標準時で１５時ちょうど、というところですわ。
>>	［트레이시］：은하 표준시로 １５시 정각쯤이에요.
L23876	［宏治］：そうか‥‥ビアンカは？
>>	［코지］：그런가‥‥비앙카는?
L23879	［トレイシー］：エンコーダを奪って去りました。
>>	［트레이시］：인코더를 빼앗아 떠났어요.
L23883	［宏治］：ファルは？
>>	［코지］：파르는?
L23886	［ランファ］：ビアンカさんと一緒ですぅ‥‥。
>>	［란파］：비앙카 씨랑 같이 갔어요오‥‥.
L23890	［宏治］：そうか、オレはあの電撃ムチをモロにくらって‥‥。
>>	［코지］：그런가, 난 그 전격 채찍을 정통으로 맞고‥‥.
L23894	［トレイシー］：どういたします？　コウジ様。
>>	［트레이시］：어떻게 하시겠어요?　코우지 님.
L23898	［ランファ］：コウジ様ぁ‥‥。
>>	［란파］：코우지 니임‥‥.
L23902	［宏治］：フン、君らの言いたいことはわかってるさ。
>>	［코지］：흥, 너희가 하고 싶은 말은 알고 있어.
L23906	［宏治］：ビアンカのシップを追跡、しかる後、エンコーダとファルを奪い返す！
>>	［코지］：비앙카의 함선을 추적, 그 후 인코더와 파르를 되찾는다!
L23909	［ランファ］：きゃっ、そうこなくっちゃぁ！
>>	［란파］：꺄앗, 그래야죠오!
L23912	［トレイシー］：私も賛成ですわ、そう思って、既にビアンカさんのシップを追跡中です。
>>	［트레이시］：저도 찬성이에요, 그럴 줄 알고 이미 비앙카 씨의 함선을 추적 중이에요.
L23916	［宏治］：手回しがいいね‥‥。
>>	［코지］：준비성이 좋네‥‥.
L23919	［トレイシー］：ウフフ、ガツーンとやり返しましょう！
>>	［트레이시］：우후후, 한 방 세게 되갚아 줘요!
L23923	［宏治］：が、ガツーンってね‥‥。
>>	［코지］：하, 한 방 세게라니‥‥.
L23927	［宏治］：（フン、コウジってヤツの言うとおりにするのはシャクだけど、ファルを助けるのが最優先だからな‥‥。）
>>	［코지］：（흥, 코우지란 놈 말대로 하는 건 아니꼽지만, 파르를 구하는 게 최우선이니까‥‥.）
L23931	［宏治］：（あれが夢でないとすると、今は１５時、２０時にシンクロが行われるという訳か‥‥。）
>>	［코지］：（그게 꿈이 아니라면, 지금은 １５시, ２０시에 싱크로가 일어난다는 건가‥‥.）
L23935	［宏治］：（夢でないとすると‥‥？）
>>	［코지］：（꿈이 아니라면‥‥?）
L23938	［ランファ］：じゃあランファは、エンジンや格納庫のチェックにはいりまーす。
>>	［란파］：그럼 란파는 엔진이랑 격납고 점검하러 갈게요오.
L23941	［トレイシー］：自動航行を行っていますので、私はブリッジで監視を‥‥。
>>	［트레이시］：자동 항행 중이니, 저는 브리지에서 감시를‥‥.
L23945	［宏治］：あっ、トレイシーは、ちょっとまだ残ってくれ。
>>	［코지］：아, 트레이시는 잠깐 더 남아 줘.
L23949	［ランファ］：トレイシー、ちゃんとコウジ様の面倒を見てあげてよっ。
>>	［란파］：트레이시, 코우지 님 잘 챙겨 드려야 해.
L23952	［トレイシー］：わかっています。さっ、行ってらっしゃい。
>>	［트레이시］：알고 있어요. 자, 다녀와요.
L23955	［トレイシー］：フフ、あの子ったら、しょうがないわね‥‥。
>>	［트레이시］：후후, 저 아이도 참, 어쩔 수 없네요‥‥.
L23959	［宏治］：なぁ、トレイシー。
>>	［코지］：저기, 트레이시.
L23962	［トレイシー］：はい、なんでしょうか。
>>	［트레이시］：네, 무슨 일이신가요.
L23966	［宏治］：その‥‥とりあえず、こっちに座らない？
>>	［코지］：그‥‥일단, 이쪽에 앉지 않을래?
L23970	［トレイシー］：なんでしょうか、コウジ様。
>>	［트레이시］：무슨 일이신가요, 코우지 님.
L23974	［宏治］：（素敵だったなんて、言うのかよ‥‥。）
>>	［코지］：（멋졌다느니, 그런 말을 하라고‥‥.）
L23977	［トレイシー］：あの、どうしたのですか？
>>	［트레이시］：저, 무슨 일 있으세요?
L23981	［宏治］：いや、ゴメン、その‥‥‥。
>>	［코지］：아니, 미안, 그‥‥‥.
L23984	　◆ 惑星エイレートで過ごしたときのことを‥‥。
>>	　◆ 행성 에이레트에서 지냈던 때의 일을‥‥.
L23987	　◆ いや、何でもない。気にしないでくれ‥‥。
>>	　◆ 아니, 아무것도 아니야. 신경 쓰지 마‥‥.
L23991	［宏治］：いや、何でもない。気にしないでくれ‥‥。
>>	［코지］：아니, 아무것도 아니야. 신경 쓰지 마‥‥.
L23995	［トレイシー］：フフ、変なコウジ様‥‥。
>>	［트레이시］：후후, 이상한 코우지 님‥‥.
L23999	［宏治］：（そうだよな、夢か否かの保証なんて、つまらん‥‥。）
>>	［코지］：（그래, 꿈인지 아닌지 확인하는 것 따위, 시시하지‥‥.）
L24002	［トレイシー］：どうしましたか？
>>	［트레이시］：무슨 일이신가요?
L24006	［宏治］：いや、ビアンカのシップに追いつくまで、少し寝る。
>>	［코지］：아니, 비앙카의 함선을 따라잡을 때까지 좀 잘게.
L24009	［トレイシー］：はい、では‥‥。
>>	［트레이시］：네, 그럼‥‥.
L24012	シュルッ‥‥。
>>	스르륵‥‥.
L24016	［宏治］：ちょちょちょ、何で服を脱ぎ出すの‥‥。
>>	［코지］：자자잠깐, 왜 옷을 벗는 거야‥‥.
L24019	［トレイシー］：ですが、少し寝ると‥‥。
>>	［트레이시］：하지만, 좀 주무신다고‥‥.
L24023	［宏治］：だから、オレが寝ると、何でトレイシーが服を脱ぐのさ。
>>	［코지］：그러니까, 내가 잔다는데 왜 트레이시가 옷을 벗어.
L24026	［トレイシー］：今まで、そうしてきましたから‥‥。
>>	［트레이시］：지금까지 늘 그래 왔으니까요‥‥.
L24030	［宏治］：えっ？　そ、そうなの‥‥？
>>	［코지］：엇?　그, 그래‥‥?
L24033	［トレイシー］：‥‥どうされました？
>>	［트레이시］：‥‥왜 그러세요?
L24037	［宏治］：女性に添い寝してもらうなんて、始めてなんだよ。ホント。
>>	［코지］：여자가 옆에서 자 준 건 처음이란 말이야. 정말로.
L24040	［トレイシー］：まぁ‥‥。
>>	［트레이시］：어머‥‥.
L24044	［宏治］：トレイシーに話しておかなくちゃならない事がある。
>>	［코지］：트레이시에게 말해 둬야 할 게 있어.
L24047	［トレイシー］：何でしょうか？
>>	［트레이시］：뭔가요?
L24051	［宏治］：オレは宏治であって、海賊のコウジではない。
>>	［코지］：나는 코지이지, 해적 코우지가 아니야.
L24055	［宏治］：は、はいってさ‥‥え。
>>	［코지］：그, 그런 거야‥‥어.
L24059	［トレイシー］：コウジ様、あなたのそういう優しさが、私は好き‥‥。
>>	［트레이시］：코우지 님, 당신의 그런 다정함이, 저는 좋아요‥‥.
L24063	［宏治］：そんなに、コウジの事が‥‥。
>>	［코지］：그렇게까지, 코우지를‥‥.
L24066	［トレイシー］：ウフフ、違いますのよ。
>>	［트레이시］：우후후, 그게 아니에요.
L24070	［トレイシー］：私がコウジ様を敬愛している‥‥ある意味では正しいのですけど、ある意味では違いますわ。
>>	［트레이시］：제가 코우지 님을 경애한다‥‥어떤 의미로는 맞지만, 어떤 의미로는 달라요.
L24074	［トレイシー］：あなたが、本来のコウジ様ではないことは、早い時期からわかっていました‥‥。
>>	［트레이시］：당신이 본래의 코우지 님이 아니란 건, 진작부터 알고 있었어요‥‥.
L24078	［トレイシー］：でも、あなたには暖かさを感じる。コウジ様の雄々しい気質には、存在しないものだったかもしれない‥‥。
>>	［트레이시］：하지만 당신에게선 따스함이 느껴져요. 코우지 님의 늠름한 기질엔 없던 것일지도 몰라요‥‥.
L24082	［宏治］：と、トレイシー‥‥。
>>	［코지］：트, 트레이시‥‥.
L24085	［トレイシー］：ファルネリア様を救出しに行くと、お決めになりましたよね。
>>	［트레이시］：파르네리아 님을 구하러 가겠다고, 결정하셨죠.
L24089	［トレイシー］：恐らく、コウジ様も同じ決定をなさったと思います。
>>	［트레이시］：아마 코우지 님도 같은 결정을 하셨을 거예요.
L24093	［トレイシー］：私には偶然とは思えません。あなたと、コウジ様が同一人物だとしても、ちっとも驚きません。
>>	［트레이시］：저는 우연이라 생각지 않아요. 당신과 코우지 님이 동일인이라 해도 조금도 놀랍지 않아요.
L24097	［宏治］：あんな軽薄なヤツと一緒にしないで欲しいな。
>>	［코지］：그런 경박한 놈이랑 묶지 말아 줬으면 좋겠는데.
L24100	［トレイシー］：ウフフ、どちらも魅力的ですのよ。
>>	［트레이시］：우후후, 둘 다 매력적인걸요.
L24104	［宏治］：惑星エイレートで過ごしたときのことを、覚えているかい？
>>	［코지］：행성 에이레트에서 지냈던 때의 일을, 기억하고 있어?
L24107	［トレイシー］：えっ‥‥。
>>	［트레이시］：엇‥‥.
L24111	［宏治］：いやその、覚えていないのなら、別にいいんだけど。
>>	［코지］：아니 그, 기억 안 난다면 딱히 상관없지만.
L24114	［トレイシー］：そ、そんなこと、ありませんわっ！
>>	［트레이시］：그, 그렇지 않아요!
L24117	トレイシーは出した声の大きさに、自分で驚いてしまったようだ。ぐっと、トレイシーの中で緊張が高まる。
>>	트레이시는 자기가 낸 목소리의 크기에 스스로 놀란 듯했다. 트레이시 안에서 긴장이 확 높아진다.
L24120	続くオレの言葉を、息を潜めて待っている、そんな感じだった。
>>	이어질 내 말을 숨죽이고 기다리는, 그런 느낌이었다.
L24124	［宏治］：その‥‥あの時の君は、とっても‥‥。
>>	［코지］：그‥‥그때의 넌, 정말‥‥.
L24127	［トレイシー］：と、とっても‥‥な、なんでしょうか‥‥。
>>	［트레이시］：저, 정말‥‥뭐, 뭔가요‥‥.
L24130	トレイシーの声はやや震えていた。オレの言葉を聞きたいけど恐いような、そんな複雑な表情を浮かべ、オレの目をジッと見つめている。
>>	트레이시의 목소리는 조금 떨렸다. 내 말을 듣고 싶지만 두렵기도 한, 그런 복잡한 표정으로 내 눈을 가만히 응시하고 있다.
L24134	［宏治］：とっても、素敵だったよ‥‥。
>>	［코지］：정말, 멋졌어‥‥.
L24137	［トレイシー］：う、ウソ‥‥。
>>	［트레이시］：거, 거짓말‥‥.
L24141	［トレイシー］：だってコウジ様、あのときのことはもう忘れろって‥‥。
>>	［트레이시］：그치만 코우지 님, 그때 일은 이제 잊으라고‥‥.
L24145	［宏治］：そんなこと言ったの？あいつ。しょうがないなぁ‥‥。
>>	［코지］：그런 말을 했어? 그 녀석. 못 말리는군‥‥.
L24148	［トレイシー］：私、片時も忘れたことはありません！
>>	［트레이시］：저, 한시도 잊은 적 없어요!
L24151	［トレイシー］：なぜ、今になってそのことを‥‥？
>>	［트레이시］：어째서, 이제 와서 그 일을‥‥?
L24155	［宏治］：夢かどうかを確かめるため、なんだけど‥‥。
>>	［코지］：꿈인지 아닌지 확인하기 위해서인데‥‥.
L24158	［トレイシー］：そんな、夢だなんて‥‥あれは現実、私とあなたの‥‥。
>>	［트레이시］：그런, 꿈이라니‥‥그건 현실이에요, 저와 당신의‥‥.
L24162	［宏治］：あ、あなた‥‥？
>>	［코지］：다, 당신‥‥?
L24165	［トレイシー］：あなたさえ許して下さるなら、私‥‥。
>>	［트레이시］：당신만 허락해 주신다면, 저‥‥.
L24169	［トレイシー］：コウジ様？
>>	［트레이시］：코우지 님?
L24173	［宏治］：ゴメンよ、トレイシー。オレが軽率だった。
>>	［코지］：미안해, 트레이시. 내가 경솔했어.
L24176	［トレイシー］：なぜ、謝られるのですか？
>>	［트레이시］：어째서 사과하시는 건가요?
L24180	［宏治］：その、君がそういう反応を示すとは思わなかった。ヤツの言うとおりとはいえ、軽率な発言だった。
>>	［코지］：그, 네가 그런 반응을 보일 줄은 몰랐어. 그 녀석 말대로였다곤 해도, 경솔한 발언이었어.
L24184	［宏治］：オレは宏治であって、海賊のコウジではない。だから、君の気持ちには応えられない。
>>	［코지］：나는 코지이지, 해적 코우지가 아니야. 그러니 네 마음엔 답해 줄 수 없어.
L24187	［トレイシー］：なぜ‥‥？
>>	［트레이시］：어째서‥‥?
L24191	［宏治］：なぜって、君とその素敵な過去を共有していないからさ。
>>	［코지］：어째서냐면, 너와 그 멋진 과거를 공유하지 않았으니까.
L24194	［トレイシー］：あなたはおっしゃいました。ゴメンと‥‥そのお気持ちだけで、私の中は暖かさに満たされるのです。
>>	［트레이시］：당신은 말씀하셨어요. 미안하다고‥‥그 마음만으로 제 안은 따스함으로 채워져요.
L24198	［宏治］：じゃあ、コウジのことは‥‥。
>>	［코지］：그럼, 코우지에 대해선‥‥.
L24202	［トレイシー］：でも、私はコウジ様も敬愛していますわ。あなたと同様に‥‥。
>>	［트레이시］：하지만 저는 코우지 님도 경애해요. 당신과 마찬가지로‥‥.
L24205	［トレイシー］：ファルネリア様を救出しに行くと、お決めになりました。
>>	［트레이시］：파르네리아 님을 구하러 가겠다고, 결정하셨어요.
L24209	［宏治］：そ、それはさぁ‥‥。
>>	［코지］：그, 그건 말이야‥‥.
L24212	［トレイシー］：素敵な思い出を共有しないことが、私を拒否される理由ですの？
>>	［트레이시］：멋진 추억을 공유하지 않는 게, 저를 거부하시는 이유인가요?
L24216	［宏治］：‥‥んー、やっぱりそういうことに、なるのかな。
>>	［코지］：‥‥음, 역시 그런 셈이, 되려나.
L24219	［トレイシー］：フフ、それなら簡単に解決ですわ。
>>	［트레이시］：후후, 그렇다면 간단히 해결돼요.
L24222	［宏治］：それって、どういう‥‥<$0C>んっ！？
>>	［코지］：그게 무슨‥‥<$0C>읏!?
L24225	柔らかい唇が、そっとオレの口にかぶさってきた。熱い吐息を口腔に感じながら、オレは痺れるような感覚に見舞われてきた。
>>	부드러운 입술이 살며시 내 입을 덮어 왔다. 뜨거운 숨결을 입안에 느끼며, 나는 저릿한 감각에 휩싸였다.
L24228	ただ唇を押しつけているだけの、ライトなキスだったが、オレの感覚を麻痺させるに十分過ぎるほど濃厚だった。
>>	그저 입술을 맞대고 있을 뿐인 가벼운 키스였지만, 내 감각을 마비시키기엔 지나칠 만큼 짙었다.
L24231	オレはゆっくりと、身体をベッドへ倒していった‥‥。
>>	나는 천천히 몸을 침대로 눕혔다‥‥.
L24235	［トレイシー］：コウジ様‥‥。
>>	［트레이시］：코우지 님‥‥.
L24238	ゾクッとするような、色っぽい目だった。溜まってる時だったら、この目で見つめられるだけで、イっちまいそうだ。
>>	오싹할 만큼 요염한 눈이었다. 쌓여 있을 때였다면 이런 눈으로 쳐다보기만 해도 가 버릴 것 같다.
L24241	オレは、透き通るような髪の毛に、そっと手を触れた。指の間から、キラキラと流れ落ちるそれは、掌に心地よい感触をもたらす。
>>	나는 비칠 듯 투명한 머리카락에 살며시 손을 댔다. 손가락 사이로 반짝이며 흘러내리는 그것은 손바닥에 기분 좋은 감촉을 준다.
L24244	［トレイシー］：あぁ‥‥優しいのですね‥‥んっ‥‥。
>>	［트레이시］：아아‥‥다정하시네요‥‥읏‥‥.
L24247	顔を近づけて、もう一度トレイシーの唇に口づけをする。今度はねっとりとした彼女の舌が、生き物のようにオレの口腔へと入り込んできた。
>>	얼굴을 가까이해 다시 한번 트레이시의 입술에 입을 맞춘다. 이번엔 끈적한 그녀의 혀가 살아 있는 것처럼 내 입안으로 파고들었다.
L24250	絶妙な舌使いだった。オレの舌をからめ取るように吸い込み、柔らかい彼女の口内で、思うように弄ばれた。
>>	절묘한 혀놀림이었다. 내 혀를 휘감듯 빨아들여, 부드러운 그녀의 입속에서 마음껏 농락당했다.
L24253	オレたちは夢中で舌を絡め合い、双方の唾液を飲み合った。
>>	우리는 정신없이 혀를 얽고, 서로의 타액을 삼켰다.
L24257	［トレイシー］：ん‥‥コウジ様‥‥んっ‥‥んんっ‥‥。
>>	［트레이시］：응‥‥코우지 님‥‥읏‥‥으읏‥‥.
L24260	トレイシーは両手でオレの髪を優しくかき上げると、そっと唇を離す。唾液が薄く、口の間に糸を引いていた。
>>	트레이시는 양손으로 내 머리를 부드럽게 쓸어올리곤 살며시 입술을 뗀다. 타액이 입 사이로 가느다란 실을 늘어뜨리고 있었다.
L24263	［トレイシー］：どうなさいまいした？
>>	［트레이시］：어떠셨나요?
L24267	［宏治］：トレイシー、君、キスが上手いよ。
>>	［코지］：트레이시, 너 키스 잘하는구나.
L24270	［トレイシー］：フフ、ありがとうございます。嬉しいですわ。
>>	［트레이시］：후후, 고마워요. 기뻐요.
L24273	トレイシーは改めて見ると、もの凄いボディだった。髪は、まるで濡れ髪のように艶かしく身体に絡み付き‥‥。
>>	트레이시는 새삼 보니 굉장한 몸매였다. 머리카락은 마치 젖은 머리처럼 요염하게 몸에 휘감기고‥‥.
L24276	そして彼女のヒップはまさに、後ろから犯してと言わんばかりの肉が詰まっていた。目の前で振られたら、誰もが無我夢中でしゃぶりつくに違いない。
>>	그리고 그녀의 엉덩이는 그야말로 뒤에서 범해 달라는 듯한 살로 꽉 차 있었다. 눈앞에서 흔들면 누구든 정신없이 달려들 게 틀림없다.
L24279	さらにトレイシーの胸といったら‥‥恥知らずなくらい、胸元の布地を押し上げ、谷間の陰を俺の目に焼き付ける。
>>	게다가 트레이시의 가슴은‥‥뻔뻔할 만큼 가슴팍의 천을 밀어 올려, 골짜기의 그늘을 내 눈에 새긴다.
L24282	まるで、揉みしだいてと懇願するようだった‥‥。
>>	마치 주물러 달라고 애원하는 듯했다‥‥.
L24286	［宏治］：と、ととととと‥‥。
>>	［코지］：트, 트트트트트‥‥.
L24289	トレイシーと言おうとしたが舌がもつれて上手く言えない。みんな、この身体のせいだ。
>>	트레이시라고 말하려 했지만 혀가 꼬여 제대로 나오지 않는다. 전부 이 몸매 탓이다.
