# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L18609	［宏治］：あ、あのさ‥‥。
L18879	［トレイシー］：どういう女性と言われても‥‥。
>>	［트레이시］：어떤 여자냐고 하셔도‥‥.
L18883	［宏治］：トレイシーが感じる事で構わないよ。
>>	［코지］：트레이시가 느낀 대로면 돼.
L18887	［トレイシー］：ちょっとコウジ様に優しくしてもらってるからって、やたらと鼻にかけてる子ですね。
>>	［트레이시］：코우지 님이 조금 다정하게 대해 주신다고, 유난히 우쭐대는 애예요.
L18890	［トレイシー］：その他には？
>>	［트레이시］：그 밖에는?
L18894	［宏治］：彼女は、ここで何をしているの？
>>	［코지］：걔는, 여기서 뭘 하고 있어?
L18897	［トレイシー］：こことおっしゃられますと、《クワドラ》でですか？
>>	［트레이시］：여기라고 하시면, 《콰드라》에서 말인가요?
L18901	［宏治］：クワドラ？
>>	［코지］：콰드라?
L18904	［トレイシー］：《クワドラ》がなにか？
>>	［트레이시］：《콰드라》가, 무슨 문제라도?
L18908	［宏治］：いやその、話の腰を折って悪かった。続けてくれ。
>>	［코지］：아니 그, 말을 끊어서 미안. 계속해 줘.
L18911	［トレイシー］：彼女は主に機関部の整備やチェック、航行機器類を任されていますわ。
>>	［트레이시］：그 애는 주로 기관부 정비나 점검, 항행 기기류를 맡고 있어요.
L18915	［宏治］：機関部？　航行機器？
>>	［코지］：기관부?　항행 기기?
L18918	［トレイシー］：それが、なにか‥‥？
>>	［트레이시］：그게, 무슨‥‥?
L18922	［宏治］：い、いや‥‥じゃあ君は？
>>	［코지］：아, 아니‥‥그럼 넌?
L18926	［トレイシー］：コウジ様が行う様々なことを、サポートさせて戴くのが、私の役目です。
>>	［트레이시］：코우지 님이 하시는 여러 일을, 보조해 드리는 것이 제 역할이에요.
L18930	［宏治］：うーん‥‥。
>>	［코지］：으음‥‥.
L18934	［宏治］：なぜオレの事を知っているんだい？
>>	［코지］：어째서 나에 대해 알고 있는 거지?
L18937	［トレイシー］：あの‥‥どういう意味でしょうか？
>>	［트레이시］：저‥‥무슨 뜻이신가요?
L18941	［宏治］：コウジ、コウジって。オレは君たちのことなんて、全然知らないんだぜ。
>>	［코지］：코우지, 코우지 하는데. 난 너희에 대해선, 전혀 모른다고.
L18944	［トレイシー］：それは、恐らく記憶が一時的に混乱しているからですわ。
>>	［트레이시］：그건, 아마 기억이 일시적으로 혼란스러워서일 거예요.
L18948	［宏治］：だから、記憶は確かだってば。オレは宏治であって‥‥。
>>	［코지］：그러니까, 기억은 확실하다니까. 난 코지고‥‥.
L18952	［トレイシー］：ええ、コウジ様です。
>>	［트레이시］：네, 코우지 님이세요.
L18956	［宏治］：だからぁ‥‥だいたい何さ、さっきからその『コウジ様』ってのは。
>>	［코지］：그러니까아‥‥대체 뭐야, 아까부터 그 『코우지 님』이라는 건.
L18960	［トレイシー］：コウジ様は、コウジ様です。それ以外に、お呼びできません。
>>	［트레이시］：코우지 님은, 코우지 님이에요. 그 외로는, 부를 수 없어요.
L18964	［宏治］：んー‥‥。
>>	［코지］：음‥‥.
L18968	［宏治］：《クワドラ》とはいったい何なんだい？
>>	［코지］：《콰드라》란 대체 뭐지?
L18971	［トレイシー］：と、おっしゃられますと？
>>	［트레이시］：라고 하시면?
L18975	［宏治］：さっき、その‥‥《クワドラ》がどうとか、そういう話をしただろう？
>>	［코지］：아까, 그‥‥《콰드라》가 어쩌고, 그런 얘길 했잖아?
L18978	［トレイシー］：ええ、しました。
>>	［트레이시］：네, 했어요.
L18982	［宏治］：じゃあ《クワドラ》とはいったい何か？　という疑問を呈示させてもらおう。
>>	［코지］：그럼 《콰드라》란 대체 뭐냐?　라는 의문을 제시하도록 하지.
L18985	［トレイシー］：スペックを言えばよろしいのですか？
>>	［트레이시］：스펙을 말씀드리면 될까요?
L18989	［宏治］：‥‥ま、まあそうかな。
>>	［코지］：‥‥뭐, 뭐 그렇겠지.
L18992	［トレイシー］：《クワドラ》はカルバドル級軽機動シップを大幅にチューンナップされた、高速機動シップです。
>>	［트레이시］：《콰드라》는 칼바돌급 경기동함을 대폭 튠업한, 고속 기동함이에요.
L18995	［トレイシー］：全長は５２メートル、エンジンはエーテル光子動力を利用し、ハイパードライブ機能も備えた‥‥。
>>	［트레이시］：전장은 ５２미터, 엔진은 에테르 광자 동력을 이용하고, 하이퍼드라이브 기능도 갖춘‥‥.
L18998	［トレイシー］：火器はイオン砲を３門、および光子ブラスターを２連、生半可な巡洋艦など一発ですわ‥‥あら、私としたことが。ホホホ。
>>	［트레이시］：화기는 이온포 ３문, 그리고 광자 블래스터 ２연장, 어설픈 순양함쯤은 한 방이에요‥‥어머, 저답지 않게. 호호호.
L19002	［宏治］：ええと‥‥。
>>	［코지］：그러니까‥‥.
L19005	［トレイシー］：最大搭乗員数は２０人、でもフルオートのエンジンや航行機能などで、最低３人にまで削減することが可能です。
>>	［트레이시］：최대 탑승 인원은 ２０인, 하지만 풀오토 엔진과 항행 기능으로, 최소 ３인까지 줄일 수 있어요.
L19009	［宏治］：ね、ねぇ‥‥。
>>	［코지］：저, 저기‥‥.
L19012	［トレイシー］：その他にも、タキオンを利用したハイパーウェイブ通信機能や‥‥。
>>	［트레이시］：그 밖에도, 타키온을 이용한 하이퍼웨이브 통신 기능이나‥‥.
L19016	［宏治］：トレイシー。
>>	［코지］：트레이시.
L19019	［トレイシー］：はい。なんでしょうか？
>>	［트레이시］：네. 무슨 일이신가요?
L19023	［宏治］：その、それって何の冗談？
>>	［코지］：그, 그거 무슨 농담이야?
L19027	［トレイシー］：冗談？　私、冗談とイカの頭は嫌いですの。コウジ様、知ってらっしゃるはずでしょう？
>>	［트레이시］：농담?　저, 농담이랑 오징어 머리는 질색이에요. 코우지 님, 아실 텐데요?
L19031	［宏治］：じゃあ何かい、ここはその、《クワドラ》とやらいう宇宙船の中で、もしかして宇宙空間中に浮かんでいるとか？
>>	［코지］：그럼 뭐야, 여긴 그, 《콰드라》인지 뭔지 하는 우주선 안이고, 혹시 우주 공간에 떠 있다는 거야?
L19034	［トレイシー］：もしかしなくても、おっしゃる通りですわ。
>>	［트레이시］：혹시가 아니라, 말씀하신 그대로예요.
L19038	［宏治］：‥‥質問を変えよう。
>>	［코지］：‥‥질문을 바꾸지.
L19042	［宏治］：ジェネレータって言っていたけど‥‥。
>>	［코지］：제너레이터라고 했었는데‥‥.
L19045	［トレイシー］：ジェネレータ‥‥ですか？
>>	［트레이시］：제너레이터‥‥말인가요?
L19049	［宏治］：そう、さっきから、ちらほら耳にするんだけど。
>>	［코지］：그래, 아까부터, 심심찮게 귀에 들어오는데.
L19053	［トレイシー］：あれは、コウジ様が手に入れられた、大宇宙海賊御用達霊子エナジー増幅ジェネレータです。
>>	［트레이시］：저건, 코우지 님이 손에 넣으신, 대우주 해적 전용 영자 에너지 증폭 제너레이터예요.
L19057	［宏治］：だ、大宇宙‥‥なんだって？
>>	［코지］：대, 대우주‥‥뭐라고?
L19060	［トレイシー］：大宇宙海賊御用達霊子エナジー増幅ジェネレータ、です。
>>	［트레이시］：대우주 해적 전용 영자 에너지 증폭 제너레이터, 예요.
L19064	［宏治］：なんだよ、そのイカれた名前は。
>>	［코지］：뭐야, 그 정신 나간 이름은.
L19068	［トレイシー］：コウジ様が自ら、命名されたのではありませんか。
>>	［트레이시］：코우지 님이 손수, 명명하신 거 아닌가요.
L19072	［宏治］：えっ？　お、オレが‥‥？
>>	［코지］：뭐?　내, 내가‥‥?
L19075	［トレイシー］：はい、そうですわ。
>>	［트레이시］：네, 그래요.
L19079	［宏治］：‥‥‥‥‥。
>>	［코지］：‥‥‥‥‥.
L19083	［宏治］：じゃあさ‥‥。
>>	［코지］：그럼 말이야‥‥.
L19086	［トレイシー］：はい。
>>	［트레이시］：네.
L19090	［宏治］：その、大宇宙‥‥‥あぁ、どうでもいい、ジェネレータって呼ぶけど、それって一体何なのさ。
>>	［코지］：그, 대우주‥‥‥아아, 됐어, 제너레이터라고 부르겠는데, 그건 대체 뭐야.
L19093	［トレイシー］：機能の概説を、お求めになられているのでしょうか？
>>	［트레이시］：기능 개요를, 원하시는 건가요?
L19097	［宏治］：そ。そのジェネレータの機能の概説とやらを、教えてくれ。
>>	［코지］：그래. 그 제너레이터의 기능 개요라는 걸, 알려 줘.
L19101	［トレイシー］：私も詳しくは知らないのですが、コウジ様がおっしゃるに、何でも大変なシロモノとか。
>>	［트레이시］：저도 자세히는 모르지만, 코우지 님 말씀으로는, 뭔가 굉장한 물건이라던가요.
L19105	［宏治］：た、大変なシロモノ‥‥それが機能の概説？
>>	［코지］：굉, 굉장한 물건‥‥그게 기능 개요야?
L19109	［トレイシー］：コウジ様が、それしかお教え下さらなかったのではありませんか。
>>	［트레이시］：코우지 님이, 그것밖에 안 가르쳐 주신 거 아닌가요.
L19113	［宏治］：そ、そうだっけ？
>>	［코지］：그, 그랬던가?
L19116	［トレイシー］：そうですわ。
>>	［트레이시］：그래요.
L19120	［宏治］：んー、じゃあオレはそれを、どうやって使用していた？
>>	［코지］：음, 그럼 난 그걸, 어떻게 사용하고 있었지?
L19123	［トレイシー］：ファルネリア様を触媒になさって、それを利用して霊子エナジーを解放するとか、おっしゃっていました。
>>	［트레이시］：파르네리아 님을 촉매로 삼아, 그걸 이용해 영자 에너지를 해방한다고, 말씀하셨어요.
L19127	［宏治］：ファルネリア‥‥？
>>	［코지］：파르네리아‥‥?
L19130	［トレイシー］：触媒の女性です。
>>	［트레이시］：촉매인 여성이에요.
L19134	［宏治］：ファルネリアって、いったい誰のことさ。
>>	［코지］：파르네리아라니, 대체 누구 말이야.
L19137	［トレイシー］：ジェネレータを利用するための、触媒の女性です。
>>	［트레이시］：제너레이터를 이용하기 위한, 촉매인 여성이에요.
L19141	［宏治］：触媒の女性って？
>>	［코지］：촉매인 여성이라니?
L19144	［トレイシー］：詳しくは存じません。
>>	［트레이시］：자세히는 몰라요.
L19148	［宏治］：あっ、もしかして変なカプセルの中にいた、赤毛の女の子？
>>	［코지］：앗, 혹시 이상한 캡슐 안에 있던, 빨간 머리 여자애?
L19151	［トレイシー］：そうです。あのカプセルこそが、大宇宙海賊‥‥。
>>	［트레이시］：그래요. 그 캡슐이야말로, 대우주 해적‥‥.
L19155	［宏治］：それはもういいよ。でも、その大宇宙海賊ってのは、いったい何のことさ。
>>	［코지］：그건 됐어. 근데, 그 대우주 해적이란 건, 대체 뭘 말하는 거야.
L19159	［トレイシー］：コウジ様の事ですわ。
>>	［트레이시］：코우지 님을 말하는 거예요.
L19163	［宏治］：お、オレ？
>>	［코지］：내, 내가?
L19167	［宏治］：‥‥冗談だろ？
>>	［코지］：‥‥농담이겠지?
L19170	［トレイシー］：そんな、恐れ多い。
>>	［트레이시］：그런, 당치도 않아요.
L19174	［宏治］：本当なの？
>>	［코지］：정말이야?
L19177	［トレイシー］：もちろんですわ。
>>	［트레이시］：물론이에요.
L19181	［宏治］：わははは。
>>	［코지］：와하하하.
L19185	［トレイシー］：こ、コウジ様？
>>	［트레이시］：코, 코우지 님?
L19189	［宏治］：涼子先生だな、その手は喰わないぜ。わははは。
>>	［코지］：료코 선생이지, 그 수엔 안 넘어가. 와하하하.
L19193	［トレイシー］：コウジ様、お気を確かに‥‥‥。
>>	［트레이시］：코우지 님, 정신 차리세요‥‥‥.
L19197	［宏治］：おーい、涼子せんせー！　その辺に隠れてるんだろ！？
>>	［코지］：어이, 료코 선생니임!　그 근처에 숨어 있는 거지!?
L19201	［トレイシー］：こ、コウジ様、ゴミ箱をあさって一体何を‥‥。
>>	［트레이시］：코, 코우지 님, 쓰레기통을 뒤지시며 대체 뭘‥‥.
L19205	［宏治］：出てこいよぉ、涼子先生！
>>	［코지］：나오라고, 료코 선생!
L19209	［トレイシー］：ど、どうしましょう‥‥コウジ様がとうとう‥‥。
>>	［트레이시］：어, 어떡하죠‥‥코우지 님이 결국‥‥.
L19213	［宏治］：とうとうって何だよ、とうとうって。失礼な。
>>	［코지］：결국이라니 뭐야, 결국이라니. 실례잖아.
L19216	［トレイシー］：で、ですが‥‥‥。
>>	［트레이시］：하, 하지만‥‥‥.
L19220	［宏治］：君も君だよ。涼子先生に言われて、オレを騙そうとしたって、そうは問屋が‥‥。
>>	［코지］：너도 너야. 료코 선생이 시켜서, 날 속이려 해도, 그렇게는 안‥‥.
L19223	［トレイシー］：あら、呼び出しだわ。誰かしら？
>>	［트레이시］：어머, 호출이네요. 누구실까?
L19226	［ランファ］：トレイシー、まだそこにいるの？
>>	［란파］：트레이시, 아직 거기 있어?
L19229	［トレイシー］：ランファ、何があったのです？
>>	［트레이시］：란파, 무슨 일이 있었죠?
L19233	［ランファ］：もうプリプリよぉ。コウジ様のおそばに、そんなに長く‥‥。
>>	［란파］：나 완전 뿔났단 말이야. 코우지 님 곁에, 그렇게 오래‥‥.
L19236	［トレイシー］：人それぞれに、役割というものがあるのです。それより用はなんですか？
>>	［트레이시］：사람에겐 저마다, 역할이란 게 있어요. 그보다 용건은 뭐죠?
L19239	［ランファ］：ファルネリア様が、お目覚めになって‥‥。
>>	［란파］：파르네리아 님이, 깨어나셔서‥‥.
L19242	［トレイシー］：それで、どうしたのです？
>>	［트레이시］：그래서, 어떻게 됐죠?
L19245	［ランファ］：暴れ出しちゃって、手に負えなくなっちゃったの‥‥。
>>	［란파］：난동을 부리기 시작해서, 감당이 안 되게 돼 버렸어‥‥.
L19248	［トレイシー］：何とかなさい。あなたの役目でしょう？
>>	［트레이시］：어떻게든 해요. 당신 역할이잖아요?
L19251	［ランファ］：そんなぁ、看護はむしろトレイシーの役目じゃない。私はぜんぜんダメよぉ。
>>	［란파］：그런 게 어딨어, 간호는 오히려 트레이시 역할이잖아. 난 전혀 못 한다고.
L19254	［トレイシー］：しょうがないわね、じゃあファルネリア様の部屋は？
>>	［트레이시］：어쩔 수 없네요, 그럼 파르네리아 님 방은?
L19257	［ランファ］：ＶＩＰルーム。
>>	［란파］：ＶＩＰ룸.
L19260	［トレイシー］：わかったわ、今からいきます。
>>	［트레이시］：알았어요, 지금 갈게요.
L19264	［ランファ］：早くしてね。あっ、コウジ様ぁ。
>>	［란파］：서둘러 줘. 앗, 코우지 니임.
L19268	［ランファ］：ランファ、コウジ様が記憶を無くされても、ずっと愛して‥‥。
>>	［란파］：란파는, 코우지 님이 기억을 잃으셔도, 계속 사랑해‥‥.
L19271	［トレイシー］：さて、雑音は消してと。
>>	［트레이시］：자, 잡음은 꺼 두고.
L19274	［トレイシー］：何かありましたら、ベッド傍らのコンパネを利用して下さい。
>>	［트레이시］：무슨 일 있으시면, 침대 옆의 콘솔 패널을 이용해 주세요.
L19278	［宏治］：あ、あぁ‥‥。
>>	［코지］：아, 아아‥‥.
L19281	［トレイシー］：それでは、ごゆっくりお休み下さい‥‥。
>>	［트레이시］：그럼, 편히 쉬세요‥‥.
L19284	トレイシーという女性がいなくなると、あたりは途端に静寂が訪れた。
>>	트레이시라는 여성이 사라지자, 주위엔 순식간에 정적이 찾아왔다.
L19287	オレは手を頭の後ろにまわすと、ベッドの上に仰向けに倒れ込む。
>>	나는 손을 머리 뒤로 돌리고, 침대 위에 반듯이 드러누웠다.
L19290	静寂が耳に痛かった。だがそれ以上に頭も痛い。
>>	정적이 귀에 아팠다. 하지만 그 이상으로 머리도 아프다.
L19293	混乱していないと言えば嘘になる。むしろ、オレはさっきから混乱のしっぱなしだ。
>>	혼란스럽지 않다고 하면 거짓말이다. 오히려, 나는 아까부터 계속 혼란스러운 상태다.
L19296	ここが、大宇宙に浮かぶ宇宙船の中で、しかも何とか砲とかいう武器がついてる高機動シップだと？
>>	여기가, 대우주에 떠 있는 우주선 안이고, 게다가 무슨 포라던가 하는 무기가 달린 고기동함이라고?
L19299	霊子エナジーなんとかという、ジェネレータがどうした、あげくの果てに、このオレが大宇宙海賊ときた時には‥‥‥‥。
>>	영자 에너지 어쩌고 하는, 제너레이터가 어쨌다는 둥, 급기야는, 이 내가 대우주 해적이라니‥‥‥‥.
L19302	オレは仏頂面のまま手を頭の後ろに組み、ベッドに仰向けに倒れ込んだ。
>>	나는 뚱한 얼굴로 손을 머리 뒤에 깍지 끼고, 침대에 반듯이 드러누웠다.
L19305	しかしリアルと言えば、リアルだった。本当にここは、宇宙‥‥？
>>	하지만 리얼하다면, 리얼했다. 정말로 여기는, 우주‥‥?
L19308	いやいや、そんな非科学的な。ありえないことだ。
>>	아니 아니, 그런 비과학적인 소리가. 있을 수 없는 일이다.
L19311	まっ、慌てる必要はないさ‥‥ゆっくりと‥‥。
>>	뭐, 서두를 필요는 없지‥‥천천히‥‥.
L19317	［宏治］：（ドキッ‥‥涼子先生！？）
>>	［코지］：（철렁‥‥료코 선생!?）
L19320	［涼子］：さっき彼女に話していたこと‥‥。
>>	［료코］：아까 그 여자한테 했던 이야기‥‥.
L19323	［男］：あぁ、それがどうした？
>>	［남자］：아아, 그게 어쨌다는 거냐?
L19327	［宏治］：（誰だ、この男の声は‥‥。）
>>	［코지］：（누구지, 이 남자 목소리는‥‥.）
L19330	［男］：本当だ。とんだ欠陥品だな。
>>	［남자］：사실이다. 형편없는 결함품이군.
L19333	夢にしてはやけにリアルだった。涼子先生と話している、このぶしつけな男はいったい‥‥。
>>	꿈치고는 유난히 리얼했다. 료코 선생과 얘기하는, 이 무례한 남자는 대체‥‥.
L19336	しばらく寝てしまったんだろうか‥‥オレの足下に、キチンと畳まれた着替えが置いてあった。あのトレイシーという女性が、置いていったのかもしれない。
>>	잠시 잠들어 버렸던 걸까‥‥내 발치에, 가지런히 개어진 갈아입을 옷이 놓여 있었다. 그 트레이시라는 여성이, 두고 간 것인지도 모른다.
L19339	肌触りの良い衣服だった。セパレートタイプだったが、着てみるとツナギのように見えるデザインだ。
>>	감촉이 좋은 옷이었다. 세퍼레이트 타입이었지만, 입어 보니 점프슈트처럼 보이는 디자인이다.
L19342	オレは着替えをすますと、室内を見回した。別にこれといって変化はなかった‥‥‥‥。
>>	나는 옷을 갈아입고, 실내를 둘러보았다. 딱히 이렇다 할 변화는 없었다‥‥‥‥.
L19345	　◆ ここでジッとしてるより、部屋を出よう。
>>	　◆ 여기서 가만있느니, 방을 나가자.
L19348	　◆ 状況がわかるまで、ここにいた方がいいだろう。
>>	　◆ 상황을 알 때까지, 여기 있는 편이 낫겠지.
L19351	ここでジッとしているより、部屋を出よう。まっ、散歩でもしてみるかな。
>>	여기서 가만있느니, 방을 나가자. 뭐, 산책이라도 해 볼까.
L19354	そう考えると、さっそくオレはドアへと向かった。元来、ジッとしているのは性分じゃあない。
>>	그렇게 생각하자, 당장 나는 문으로 향했다. 원래, 가만있는 건 내 성미가 아니다.
