# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L16952	［女］：起きなさい、宏治クン。
>>	［사야카］：당신에게는 굉장히 기대하고 있어.
L17051	［コウジ］：過分な期待は、ありがた迷惑だが。
>>	［코우지］：과분한 기대는, 고맙기보다 민폐다만.
L17054	［沙夜香］：あなた、ずいぶんとあの涼子を、てなずけたものね。
>>	［사야카］：당신, 그 료코를 어지간히도 길들였더군.
L17058	［コウジ］：フン、あの女は私の奴隷だ。誰にもわたさんぞ。
>>	［코우지］：흥, 그 여자는 내 노예다. 누구에게도 넘기지 않겠다.
L17061	［沙夜香］：あきれた、恵さんという恋人がいるのに？
>>	［사야카］：기가 막히네, 메구미 씨라는 연인이 있는데도?
L17065	［コウジ］：恵は私の妻だ。父親の権力は私のモノだ。
>>	［코우지］：메구미는 내 아내다. 그 아버지의 권력은 내 것이다.
L17068	［沙夜香］：‥‥恵さんのお父上も、知っているの？
>>	［사야카］：‥‥메구미 씨의 아버님도 알고 있어?
L17072	［コウジ］：うむ、知っている。
>>	［코우지］：음, 알고 있다.
L17075	［沙夜香］：ほ、本当に？
>>	［사야카］：저, 정말로?
L17078	沙夜香の表情が明るくなる。権力にこびを売る輩の、典型的な卑屈の表情だ。
>>	사야카의 표정이 밝아진다. 권력에 아첨하는 무리의, 전형적인 비굴한 표정이다.
L17082	［コウジ］：無論、嘘などではない。
>>	［코우지］：물론, 거짓말 따위가 아니다.
L17085	実際、嘘ではない。私は嘘は嫌いだ。確かに恵に父親がいるのは、彼女から聞いている。
>>	실제로 거짓말은 아니다. 나는 거짓말이 싫다. 메구미에게 아버지가 있다는 건 본인에게 들었다.
L17088	だが知っているのと、親しいのとでは、雲泥くらいの隔たりがあるのだ。
>>	하지만 안다는 것과 친하다는 것 사이엔, 하늘과 땅만큼의 격차가 있는 법이다.
L17091	もっともそのことを、この高慢チキな女に教えてやる義務を、私は背負ってはいない。
>>	하기야 그것을 이 오만방자한 여자에게 가르쳐 줄 의무를, 나는 지고 있지 않다.
L17094	［沙夜香］：私に協力してくれるなら、あなたには悪いようにしないわ。
>>	［사야카］：나에게 협력해 준다면, 당신을 나쁘게 대하진 않을게.
L17098	［コウジ］：これのどこが、悪くないのだ？
>>	［코우지］：이게 어디가 나쁘지 않다는 거냐?
L17101	私は、縛り上げられている自分の身体を、ぐるりと見回した。首から上だけが、かろうじて動く程度だ。
>>	나는 묶여 있는 내 몸을 빙 둘러보았다. 목 위쪽만이 간신히 움직이는 정도다.
L17104	［沙夜香］：まだ、あなたの協力を得られると決まった訳ではないですからね。協力を拒否した場合は‥‥。
>>	［사야카］：아직, 당신의 협력을 얻는다고 정해진 건 아니니까요. 협력을 거부할 경우엔‥‥.
L17108	［コウジ］：どうなるのだ。
>>	［코우지］：어떻게 되는 거냐.
L17111	［沙夜香］：その辺は、たくましい想像力を働かせて頂戴。
>>	［사야카］：그 부분은 풍부한 상상력을 발휘해 줘.
L17114	［沙夜香］：何かご質問は？
>>	［사야카］：뭔가 질문은?
L17118	［コウジ］：ある。
>>	［코우지］：있다.
L17121	［沙夜香］：あら、なにかしら。
>>	［사야카］：어머, 뭘까.
L17125	［コウジ］：フン、それはな‥‥‥‥。
>>	［코우지］：흥, 그건 말이다‥‥‥‥.
L17128	　◆ 貴様の目的は‥‥‥‥。
>>	　◆ 네놈의 목적은‥‥‥‥.
L17131	　◆ 舞をどうする気だ‥‥‥‥。
>>	　◆ 마이를 어쩔 셈이냐‥‥‥‥.
L17134	　◆ 涼子はどこに‥‥‥‥。
>>	　◆ 료코는 어디에‥‥‥‥.
L17137	　◆ 恵はこれからどうなる‥‥‥‥。
>>	　◆ 메구미는 앞으로 어떻게 되나‥‥‥‥.
L17141	［コウジ］：貴様の目的は、いったい何だ？
>>	［코우지］：네놈의 목적은, 대체 뭐냐?
L17144	［沙夜香］：全世界の征服よ。
>>	［사야카］：전 세계 정복이야.
L17147	［沙夜香］：フフ、あなた流のジョークを言ったのだけど、お気に召さなかったようね。
>>	［사야카］：후후, 당신 식의 농담을 해 본 건데, 마음에 안 드셨나 보네.
L17151	［コウジ］：では、本当は何だ？
>>	［코우지］：그럼, 진짜는 뭐냐?
L17154	［沙夜香］：あのドリームプログラムというマシンが実用化されれば、人の精神を自由に操ることができるのでしょう？
>>	［사야카］：그 ONEIROS 프로그램이라는 머신이 실용화되면, 사람의 정신을 자유로이 조종할 수 있는 거잖아?
L17158	［コウジ］：そんなことはできんぞ、あの大宇宙海賊霊子エナジー増幅ジェネレータ２ではなっ。
>>	［코우지］：그런 건 불가능하다, 그 대우주 해적 영자 에너지 증폭 제너레이터２로는 말이지.
L17161	［沙夜香］：まぁいいわ。それを利用して法務局での、私の地位の確立が目的よ。
>>	［사야카］：뭐 됐어. 그걸 이용해서 법무국에서 내 지위를 확립하는 게 목적이야.
L17165	［コウジ］：くだらん‥‥‥‥。
>>	［코우지］：시시하군‥‥‥‥.
L17168	［沙夜香］：くだらないですって！？
>>	［사야카］：시시하다고!?
L17172	［コウジ］：くだらんから、くだらんと言ったまでだ。
>>	［코우지］：시시하니까, 시시하다고 했을 뿐이다.
L17175	あまりの下等な正当化に、反吐が出そうになってしまった。
>>	너무나 저급한 정당화에, 구역질이 날 뻔했다.
L17178	バカな女め、目的が全世界の征服であれば、いくらでも手を組んでやったものを。
>>	어리석은 여자로군, 목적이 전 세계 정복이었다면, 얼마든지 손을 잡아 줬을 것을.
L17181	［沙夜香］：あまり、私を怒らせない方がいいわよ。
>>	［사야카］：너무 나를 화나게 하지 않는 편이 좋을 거야.
L17185	［コウジ］：ほぉ、怒らせると、どうなるのだ？
>>	［코우지］：호오, 화나게 하면 어떻게 되는 거냐?
L17188	バシィ！
>>	철썩!
L17191	［沙夜香］：おわかり？　もう質問はないのかしら。
>>	［사야카］：알겠어?　이제 질문은 없으려나.
L17195	［コウジ］：舞をどうする気だ。
>>	［코우지］：마이를 어쩔 셈이냐.
L17198	［沙夜香］：別に、彼女は殺しやしないわよ。ただ、触媒とかいうのに使うのでしょう？
>>	［사야카］：딱히 그 애를 죽이진 않아. 다만, 촉매라든가 하는 것에 쓰는 거잖아?
L17201	［沙夜香］：彼女には、普通の人と異なった感応力があるそうね。それを利用できないか、模索しているところよ。
>>	［사야카］：그 애에겐 보통 사람과 다른 감응력이 있다더군. 그걸 이용할 수 없을까, 모색하는 중이야.
L17205	［コウジ］：舞は私のモノだ。
>>	［코우지］：마이는 내 것이다.
L17208	［沙夜香］：はいはい、じゃあ、あなたが私に協力してくれるのかしら？
>>	［사야카］：네네, 그럼, 당신은 나에게 협력해 주는 걸까?
L17212	［コウジ］：涼子はどこにいる？
>>	［코우지］：료코는 어디에 있지?
L17215	［沙夜香］：とりあえず、私の手中にあるとだけ言っておきましょう。
>>	［사야카］：일단, 내 손안에 있다고만 말해 두죠.
L17219	［沙夜香］：あの女、宏治様、宏治様って、バカじゃないかしら。あなたのどこが、そんなにいいのかしらねぇ。
>>	［사야카］：그 여자, 코지 님, 코지 님 하고, 바보 아닐까. 당신 어디가 그렇게 좋다는 걸까.
L17223	［コウジ］：フン、愚か者には、決してわからないのだろう。
>>	［코우지］：흥, 어리석은 자는 결코 알 수 없겠지.
L17226	沙夜香の片方の眉が、ピクリと跳ね上がる。つくづく、感情的な女だった。
>>	사야카의 한쪽 눈썹이 씰룩 치켜올라간다. 참으로 감정적인 여자였다.
L17229	［沙夜香］：フフ、よっぽど涼子先生のこと、気に入っているようね。
>>	［사야카］：후후, 어지간히 료코 선생을 마음에 들어 하나 보네.
L17232	勘のいい女だ、私の一番嫌いなタイプだ。
>>	눈치 빠른 여자다, 내가 제일 싫어하는 타입이다.
L17235	［沙夜香］：あの涼子は目障りだわ。マシンのアーキテクチャを聞いたら、殺してしまおうかしら。
>>	［사야카］：그 료코는 눈엣가시야. 머신의 아키텍처를 듣고 나면, 죽여 버릴까.
L17239	［コウジ］：なに！　あれは私のモノだ。何かしてみろ、ただじゃすまさんぞ、女。
>>	［코우지］：뭐!　그건 내 것이다. 뭔가 해 봐라, 가만두지 않겠다, 여자.
L17242	バシィッ！
>>	철써억!
L17246	［コウジ］：フン、この私が暴力に屈すると思っているのか。
>>	［코우지］：흥, 이 내가 폭력에 굴복할 것 같으냐.
L17249	［沙夜香］：黙っていなさい。
>>	［사야카］：잠자코 있어.
L17253	［コウジ］：フン、私は暴力には屈しないぞ、決してな。
>>	［코우지］：흥, 나는 폭력에 굴하지 않는다, 결코.
L17257	［コウジ］：痛い、ご免なさい‥‥私が悪かった、もうしゃべりません‥‥えん。
>>	［코우지］：아파, 죄송합니다‥‥제가 잘못했습니다, 이제 말 안 하겠습니다‥‥엔.
L17260	［沙夜香］：最初から、そうすればいいの。
>>	［사야카］：처음부터 그렇게 하면 되잖아.
L17263	フン、『しゃべりません』の後に“円”をくっつけたのに、こいつは気付かないようだ。バカめ、誰もそんな約束はしていないのになっ。
>>	흥, 『말 안 하겠습니다』 뒤에 '엔'을 붙여 뒀는데 이 녀석은 눈치채지 못한 모양이다. 바보 같으니, 아무도 그런 약속은 하지 않았는데 말이지.
L17267	［コウジ］：フハハハハッ。
>>	［코우지］：후하하하핫.
L17270	私は状況判断も的確だ。無為に騒ぎ立てるのは、愚の骨頂というものだろう。しばらくだけ、静かにしてやるとするか。
>>	나는 상황 판단도 정확하다. 무의미하게 소란을 피우는 건 어리석음의 극치겠지. 잠시만 조용히 있어 주기로 할까.
L17273	［沙夜香］：もう、質問はないのかしら？
>>	［사야카］：이제, 질문은 없으려나?
L17277	［コウジ］：恵はこれからどうなるのか？
>>	［코우지］：메구미는 앞으로 어떻게 되는 거지?
L17280	［沙夜香］：あなたが協力してくれないのなら、彼女を利用するしかないわよね。
>>	［사야카］：당신이 협력해 주지 않는다면, 저 애를 이용할 수밖에 없겠지.
L17283	［沙夜香］：彼女を利用して、父親からたっぷりと資金をしぼりとるのよ。
>>	［사야카］：저 애를 이용해서, 아버지한테 자금을 듬뿍 짜내는 거야.
L17287	［コウジ］：資金をしぼりとるだけか？
>>	［코우지］：자금을 짜내기만 할 셈인가?
L17290	［沙夜香］：無論、涼子に協力してもらうことになるでしょうね。
>>	［사야카］：물론, 료코에게 협력을 받게 되겠지.
L17294	［コウジ］：涼子が研究を続行するものか。
>>	［코우지］：료코가 연구를 계속할 리가 있나.
L17297	［沙夜香］：フフン、あなたのためなら、するでしょうよ。
>>	［사야카］：후훙, 너를 위해서라면 하겠지.
L17300	［沙夜香］：涼子先生には、せいぜいただ働きをして戴くことになるわね、フフ‥‥。
>>	［사야카］：료코 선생님께는 실컷 무보수로 일해 주셔야겠네, 후후‥‥.
L17304	［コウジ］：なかなか小賢しいことを、考えているな。気に入った。
>>	［코우지］：제법 잔꾀를 부리는군. 마음에 들었다.
L17307	［沙夜香］：あなたが協力してくれれば、全て落着するのだけど。
>>	［사야카］：네가 협력해 준다면 전부 매듭지어질 텐데.
L17311	［コウジ］：質問はもうない。貴様の小賢しい企みは、全て理解した。
>>	［코우지］：질문은 이제 없다. 네놈의 잔꾀 어린 계략은 전부 이해했다.
L17315	［コウジ］：ときに、沙夜香とやら。
>>	［코우지］：그런데, 사야카라고 했나.
L17318	［沙夜香］：なにかしら？
>>	［사야카］：무슨 일이지?
L17322	［コウジ］：今の正確な時間を教えて欲しい。
>>	［코우지］：지금 정확한 시각을 알려 줬으면 한다.
L17325	［沙夜香］：どうしたのよ、急に。
>>	［사야카］：왜 그래, 갑자기.
L17329	［コウジ］：いや、見たいＴＶ番組があるのでな。
>>	［코우지］：아니, 보고 싶은 ＴＶ 프로가 있어서 말이야.
L17332	時刻を聞いて、唖然とした。何ということだ、ビアンカとの戦いまで、あと数分しかないではないか‥‥。
>>	시각을 듣고 아연실색했다. 이럴 수가, 비앙카와의 싸움까지 이제 몇 분밖에 남지 않았단 말인가‥‥.
L17335	焦りを感じるが、これを沙夜香に気取られてはならなかった。こちらが弱みを見せれば、ハイエナのごとく食らい付くに違いない。
>>	초조하지만, 이걸 사야카에게 들켜서는 안 됐다. 이쪽이 약점을 보이면 하이에나처럼 물고 늘어질 게 틀림없다.
L17338	［沙夜香］：少しは協力する気になったかしら。
>>	［사야카］：조금은 협력할 마음이 생겼나.
L17342	［コウジ］：フン、そうだな。
>>	［코우지］：흥, 그렇군.
L17345	沙夜香は満足そうに私の目の前までやってくると、懐から黒っぽいケースを取り出した。どうやら、タバコらしい。
>>	사야카는 만족스러운 듯 내 눈앞까지 다가오더니, 품에서 거무스름한 케이스를 꺼냈다. 아무래도 담배인 모양이다.
L17348	［沙夜香］：どう、吸う？
>>	［사야카］：어때, 피울래?
L17351	沙夜香は、やけに慣れた手つきでパックから１本取り出すと、私の鼻の前にヒラヒラとタバコをかざした。
>>	사야카는 유난히 익숙한 손놀림으로 팩에서 한 개비를 꺼내더니, 내 코앞에서 담배를 살랑살랑 흔들어 보였다.
L17354	決して安っぽくない匂いが、鼻こうをツンとつく。私はこう見えてもタバコにはうるさい。
>>	결코 싸구려가 아닌 향이 콧속을 톡 쏜다. 나는 이래 봬도 담배에는 까다롭다.
L17358	［コウジ］：もらおうか。
>>	［코우지］：하나 받지.
L17361	ぶっきらぼうにそう言うと、私は首を伸ばし、ゴールドで縁取られたフィルタの部分を口にくわえた。
>>	무뚝뚝하게 그렇게 말하고, 나는 목을 뻗어 금색으로 테두리를 두른 필터 부분을 입에 물었다.
L17364	沙夜香は、これまた決して安物ではなさそうなライターで火を点けた。
>>	사야카는 이 또한 결코 싸구려는 아닐 듯한 라이터로 불을 붙였다.
L17367	少しだけ気分が晴れるようだった。深く、深呼吸をするように肺の中を煙で満たす。
>>	조금은 기분이 풀리는 듯했다. 깊이, 심호흡을 하듯 폐 속을 연기로 채운다.
L17370	甚だ遺憾ながら、どうやら宇宙海賊ご用達のモノより、ちょびっとだけウマいようだった。
>>	심히 유감스럽게도, 아무래도 우주 해적 애용품보다 아주 조금 더 맛있는 모양이었다.
L17373	もっともそれを認めるのは、宇宙海賊の名に恥じるというものだ。
>>	하기야 그걸 인정하는 건 우주 해적의 이름에 부끄러운 일이다.
L17377	［コウジ］：フッ、青臭いのを吸っているな‥‥。
>>	［코우지］：훗, 풋내 나는 걸 피우는군‥‥.
L17380	［沙夜香］：あっ、そう。
>>	［사야카］：아, 그래.
L17383	沙夜香は別に憶した様子もなく、私の唇に挟んであったタバコを引き抜くと、床にポイと投げ捨てた。
>>	사야카는 별로 개의치 않는 기색으로, 내 입술에 물려 있던 담배를 뽑아내더니 바닥에 휙 던져 버렸다.
L17386	未練がましくタバコの後を追う私の目の先で、沙夜香のハイヒールが、先程まで私の口にあったタバコを踏みつける。
>>	미련스레 담배를 눈으로 좇는 내 시선 끝에서, 사야카의 하이힐이 방금 전까지 내 입에 있던 담배를 짓밟는다.
L17389	ご丁寧に、足首のひねりまで入れられて、それは無惨な姿になり果ててしまった。
>>	친절하게도 발목 비틀기까지 곁들여져, 그것은 처참한 몰골이 되고 말았다.
L17392	くっ‥‥まだ一息しか吸っていないのだぞ。
>>	큭‥‥아직 한 모금밖에 안 피웠단 말이다.
L17395	［沙夜香］：‥‥呆れた、泣いているの？　あなた。
>>	［사야카］：‥‥어이없네, 울고 있는 거야?　너.
L17399	［コウジ］：誰が泣いているか。涙は心の汗だ。
>>	［코우지］：누가 운다는 거냐. 눈물은 마음의 땀이다.
L17402	［沙夜香］：何を訳の分からない事を言っているのよ。
>>	［사야카］：무슨 말도 안 되는 소리를 하는 거야.
L17405	沙夜香は肩をしゃくりあげると、両手を腰に添えて私の目の前に立った。仁王立ちだ。
>>	사야카는 어깨를 으쓱하더니, 두 손을 허리에 짚고 내 눈앞에 섰다. 떡 버티고 선 자세다.
L17408	［沙夜香］：じゃあ、そろそろ本題に入らせて戴くわ。
>>	［사야카］：그럼, 슬슬 본론으로 들어가도록 하지.
L17412	［コウジ］：本題？
>>	［코우지］：본론?
L17415	［沙夜香］：答えは２つに１つ。私に協力して生きながらえるか、拒否して死ぬか。
>>	［사야카］：답은 둘 중 하나. 나에게 협력해 살아남을지, 거부하고 죽을지.
L17418	拒否しての生、という選択肢は、どうやら状況的に無いらしい。最強の宇宙海賊は、状況分析も的確なのだ。
>>	거부하고서 산다는 선택지는 아무래도 상황상 없는 모양이다. 최강의 우주 해적은 상황 분석도 정확하다.
L17422	［コウジ］：フン、最近の政府機関は、恫喝も仕事にはいっているのか。
>>	［코우지］：흥, 요즘 정부 기관은 공갈도 업무에 들어가 있나.
L17425	［沙夜香］：聞き分けがない人に対してだけ、ね。
>>	［사야카］：말귀를 못 알아듣는 사람한테만, 말이지.
L17429	［コウジ］：人にお願いをする時は、お願いしますと頭を下げるものだ。父親にそう教わらなかったのか？
>>	［코우지］：남에게 부탁할 때는 부탁드립니다 하고 고개를 숙이는 법이다. 아버지에게 그리 배우지 않았나?
L17432	［沙夜香］：減らず口はそこまでよ。返事は？
>>	［사야카］：말대꾸는 거기까지야. 대답은?
L17436	［コウジ］：さてな‥‥‥‥。
>>	［코우지］：글쎄다‥‥‥‥.
L17439	目の前に立つ女性の目尻が、キリリとつり上がったように見えた。剣呑な光を目の中から発している。
>>	눈앞에 선 여자의 눈꼬리가 매섭게 치켜올라간 듯 보였다. 눈 속에서 위험한 빛을 뿜고 있다.
L17442	自分でも損な性格とは思うが、私の自尊心が許さない。敵に迎合して、自分の信念を曲げるくらいなら、玉砕を選んだ方がましである。
>>	스스로도 손해 보는 성격이라 여기지만, 내 자존심이 허락하지 않는다. 적에게 영합해 신념을 굽힐 바에는 산화하는 편이 낫다.
L17446	しかも、この肉体は脆弱な宏治とやらいう男のものだ。この肉体が滅びたとき、私の思念体がいかなる運命を辿るのか、多少の興味もあった。
>>	게다가 이 육체는 나약한 코지라던가 하는 남자의 것이다. 이 육체가 스러졌을 때 내 사념체가 어떤 운명을 걷게 될지, 다소 흥미도 있었다.
L17450	［コウジ］：私は最強の宇宙海賊だ。貴様ごときに指図される謂れはない。
>>	［코우지］：나는 최강의 우주 해적이다. 네놈 따위에게 지시받을 이유는 없다.
L17453	胸を張って言ったつもりだったが、椅子に縛られているのでモゾモゾと上半身を動かしただけにとどまった。非常に情けない。
>>	가슴을 펴고 말할 셈이었지만, 의자에 묶여 있어 꾸물꾸물 상체를 움직인 것에 그쳤다. 몹시 한심하다.
L17456	［沙夜香］：フン、何が宇宙海賊よ。どこでかじったかは知らないけど、その知識と才能はぜひ貸してもらうわ。
>>	［사야카］：흥, 무슨 우주 해적이야. 어디서 주워들었는지는 모르겠지만, 그 지식과 재능은 꼭 빌리겠어.
L17460	［コウジ］：地位の確立のためか？
>>	［코우지］：지위 확립을 위해서인가?
L17463	［沙夜香］：そうよっ！
>>	［사야카］：그래!
L17466	バカなやつめ。世界征服と言えば、まだ心が動かされたのだがな‥‥。
>>	어리석은 것. 세계 정복이라 했다면 그나마 마음이 움직였을 텐데‥‥.
L17469	典型的な官僚主義、権威主義だった。権威への忠誠が絶対善としか考えられない偏狭な輩には、相応しい処遇があるものだ。
>>	전형적인 관료주의, 권위주의였다. 권위에 대한 충성만이 절대선이라 여기는 편협한 무리에게는 걸맞은 처우가 있는 법이다.
L17472	［沙夜香］：じゃあ、あなたに用はないわ。可愛さ余ってにくさ百倍よ。
>>	［사야카］：그럼, 너한테 볼일은 없어. 귀여움이 넘치면 미움이 백 배인 법이지.
L17475	［沙夜香］：この装置を稼働させれば、シナプスの２～３万本は焼き切れるそうじゃない。
>>	［사야카］：이 장치를 가동시키면 시냅스 ２～３만 가닥은 타 버린다지 않아.
L17479	［コウジ］：ほぉ、それは楽しみだ‥‥。
>>	［코우지］：호오, 그거 기대되는군‥‥.
L17483	［舞］：宏治サン！
>>	［마이］：코지 상!
L17487	［舞］：宏治サン、これはいったい‥‥。
>>	［마이］：코지 상, 이게 대체‥‥.
L17491	［コウジ］：気付いたか。
>>	［코우지］：눈치챘나.
L17494	［舞］：これはいったい、どういうことなんですか？
>>	［마이］：이게 대체 어떻게 된 일인가요?
L17498	［コウジ］：うむ、どうやら私はいま、沙夜香という女に殺されかかっているらしい。
>>	［코우지］：음, 아무래도 나는 지금 사야카라는 여자에게 죽임당하기 직전인 모양이다.
L17501	［舞］：そ、そんな‥‥！？
>>	［마이］：그, 그런‥‥!?
L17505	［コウジ］：舞、私は貴様の事を、一番大事に思っていた。それだけは、忘れないで欲しい。
>>	［코우지］：마이, 나는 네놈을 가장 소중히 여기고 있었다. 그것만은 잊지 말아 줬으면 한다.
L17509	［舞］：私も‥‥私も、宏治サンのことを好きでした‥‥。
>>	［마이］：저도‥‥저도, 코지 상을 좋아했어요‥‥.
L17513	［コウジ］：ではあの世というものがあれば、そこでいつか会おう。
>>	［코우지］：그럼 저승이란 것이 있다면, 거기서 언젠가 만나자.
L17517	［舞］：そ、そんな‥‥宏治サン‥‥いや‥‥。
>>	［마이］：그, 그런‥‥코지 상‥‥싫어‥‥.
L17520	［沙夜香］：純愛ドラマは、そこまでよっ！
>>	［사야카］：순애 드라마는 거기까지야!
L17524	［コウジ］：フン、悪玉らしくなってきたではないか。
>>	［코우지］：흥, 제법 악당다워졌지 않은가.
L17527	［沙夜香］：このスイッチを入れれば、あなたは死ぬわ。
>>	［사야카］：이 스위치를 넣으면 너는 죽어.
L17531	［コウジ］：それはどうかな。
>>	［코우지］：그건 어떨까.
L17534	［沙夜香］：フン、強がりもこれまでね。
>>	［사야카］：흥, 허세도 여기까지네.
L17538	［コウジ］：その前に１つ。
>>	［코우지］：그 전에 하나.
L17541	［沙夜香］：なに？　もう遅いわよ。
>>	［사야카］：뭐지?　이미 늦었어.
L17545	［コウジ］：いや、コンパネから次の数式を打ち込まれると、非常に困るのでな。
>>	［코우지］：아니, 컨트롤 패널로 다음 수식을 입력해 버리면 매우 곤란해서 말이지.
L17548	私が、延々とデバッグ用ルーチンの数式を言い始めると、沙夜香は興味津々に聞き耳をたてている。
>>	내가 끝없이 디버그용 루틴의 수식을 읊기 시작하자, 사야카는 흥미진진하게 귀를 기울이고 있다.
L17551	［沙夜香］：それが、なんなのよ。
>>	［사야카］：그게 뭐라는 거야.
L17555	［コウジ］：いや、これを入力されると、私は非常に恐い。恐ろしい苦しみに悶えながら、死んでしまうのだからな。
>>	［코우지］：아니, 이걸 입력해 버리면 나는 몹시 무섭다. 무시무시한 고통에 몸부림치며 죽어 버릴 테니 말이다.
L17558	［沙夜香］：ふーん。
>>	［사야카］：흐응.
L17561	バカめ、まんじゅう恐い攻撃とも知らずになっ！
>>	바보 같으니, 『만두가 무서워』 공격인 줄도 모르고!
L17564	［沙夜香］：そこまでしたら、さすがに可哀想よね。楽に死なせてあげるわ。
>>	［사야카］：그렇게까지 하면 아무리 그래도 가엾긴 하네. 편히 죽게 해 주지.
L17568	［コウジ］：な、なんだと！
>>	［코우지］：뭐, 뭐라고!
L17571	［沙夜香］：せめてもの情けよ。
>>	［사야카］：그나마의 자비야.
L17575	［コウジ］：ばーか、ばーか、お前のかあちゃんデーベーソ！
>>	［코우지］：바―보, 바―보, 네 엄마 배꼽은 툭 튀어나왔대!
L17578	［沙夜香］：な、なんですって！
>>	［사야카］：뭐, 뭐라는 거야!
L17582	［コウジ］：おら、恐かったらかかってこい、この放射性回虫のダブル年増ババアがっ！！
>>	［코우지］：어이, 무서우면 덤벼라, 이 방사성 회충 같은 곱빼기 노처녀 할멈아!!
L17585	オーラグラスを眼前にかけていれば、彼女の身体から憤怒の光が漏れていたに違いない。
>>	오라 글라스를 눈앞에 걸치고 있었다면, 그녀의 몸에서 분노의 빛이 새어 나오고 있었을 게 틀림없다.
L17589	［コウジ］：沙夜香。
>>	［코우지］：사야카.
L17592	［沙夜香］：なによっ！
>>	［사야카］：뭐야!
L17596	［コウジ］：いま何時だっ！？
>>	［코우지］：지금 몇 시냐!?
