# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L30167	［コウジ］：もっと、両側に開くんだ。
L30248	［トレイシー］：そう‥‥そうよ、愛しているの‥‥あぁぁぁ‥‥も、もう‥‥あぁぁぁぁ‥‥‥‥。
>>	［트레이시］：그래‥‥그래, 사랑해‥‥아아아‥‥이, 이제‥‥아아아아‥‥‥‥.
L30252	［コウジ］：イキそうなのかい？　僕の目の前で。
>>	［코우지］：갈 것 같은 거야?　내 눈앞에서.
L30255	［トレイシー］：恥ずかしいわ‥‥でも、感じているの‥‥本当よ、あなたの為に‥‥。
>>	［트레이시］：부끄러워‥‥하지만, 느끼고 있어‥‥정말이야, 당신을 위해‥‥.
L30259	［コウジ］：もう、膣内はグショグショに濡れている。マゾめ。
>>	［코우지］：벌써, 안은 흠뻑 젖어 있어. 마조 같으니.
L30262	［トレイシー］：あぁぁ、私はマゾ‥‥マゾよっ。
>>	［트레이시］：아아, 난 마조‥‥마조야.
L30266	［コウジ］：こんなに大きくてイヤらしい胸を持った、淫乱なマゾだ。
>>	［코우지］：이렇게 크고 야한 가슴을 가진, 음란한 마조야.
L30269	［トレイシー］：そう‥‥私は、イヤらしい胸を持った、淫乱なマゾ‥‥。
>>	［트레이시］：그래‥‥난, 야한 가슴을 가진, 음란한 마조‥‥.
L30273	［コウジ］：その素敵な胸を、僕にしぼらせてくれ、トレイシー。
>>	［코우지］：그 멋진 가슴을, 내가 짜게 해 줘, 트레이시.
L30276	［トレイシー］：いいわ‥‥これはあなたのモノよ‥‥。
>>	［트레이시］：좋아‥‥이건 당신 거야‥‥.
L30279	ぎゅぎゅぎゅぅぅぅぅぅぅぅぅっ！！！
>>	꽉꽉꽈아아아아아악!!!
L30282	［トレイシー］：あくぅぅぅ‥‥痛っ‥‥あぁぁぁぁ、そ、そんなにしぼらないで‥‥。
>>	［트레이시］：아쿠우우‥‥아파‥‥아아아아, 그, 그렇게 짜지 마‥‥.
L30286	［コウジ］：‥‥これは、誰のだ？
>>	［코우지］：‥‥이건, 누구 거지?
L30289	［トレイシー］：あぁぁ、ご、ごめんなさい‥‥あなたのよ‥‥好きにしていいの‥‥。
>>	［트레이시］：아아, 미, 미안해‥‥당신 거야‥‥마음대로 해도 돼‥‥.
L30293	［コウジ］：よし‥‥ぎゅぅぅぅぅっ！！
>>	［코우지］：좋아‥‥꾸우우우욱!!
L30296	［トレイシー］：んあぅぅっ！！　そんなにしぼったら‥‥あぅ！　で、出ちゃう！！
>>	［트레이시］：응아웅!!　그렇게 짜면‥‥아읏!　나, 나와 버려!!
L30300	［コウジ］：フッ、何が、出ちゃうんだい？
>>	［코우지］：훗, 뭐가, 나와 버리는 거지?
L30304	［コウジ］：君の胸には秘密があるね。
>>	［코우지］：네 가슴엔 비밀이 있지.
L30307	［トレイシー］：（ドキッ‥‥。）
>>	［트레이시］：（철렁‥‥.）
L30311	［コウジ］：さぁ、僕の目の前で、それを見せてくれ。
>>	［코우지］：자, 내 눈앞에서, 그걸 보여 줘.
L30314	［トレイシー］：な、何で‥‥‥‥。
>>	［트레이시］：어, 어째서‥‥‥‥.
L30318	［コウジ］：君が寝ているとき、ソレを見てしまってね、偶然。
>>	［코우지］：네가 자고 있을 때, 그걸 봐 버렸거든, 우연히.
L30321	［トレイシー］：（あぁぁ、見られてしまったの‥‥アレを‥‥あんな恥ずかしいのを‥‥。）
>>	［트레이시］：（아아, 들켜 버린 거야‥‥그걸‥‥그런 부끄러운 걸‥‥.）
L30325	［コウジ］：でも、気にする必要はない。女性なら、誰しも経験することさ。
>>	［코우지］：하지만, 신경 쓸 것 없어. 여자라면, 누구나 겪는 일이야.
L30328	［トレイシー］：だ、だって‥‥。
>>	［트레이시］：그, 그치만‥‥.
L30332	［コウジ］：君は、たまたま、他の人とちょっとだけ、違うというだけだ。それがいったい何のハンディになるんだ？
>>	［코우지］：넌, 어쩌다, 남들과 조금, 다를 뿐이야. 그게 대체 무슨 핸디캡이 된다는 거지?
L30335	［トレイシー］：ほ、本当に？
>>	［트레이시］：저, 정말?
L30339	［コウジ］：あぁ、本当さ。
>>	［코우지］：아아, 정말이야.
L30343	［トレイシー］：こ、コウジさん‥‥‥‥嬉しい‥‥‥‥。
>>	［트레이시］：코, 코우지 씨‥‥‥‥기뻐‥‥‥‥.
L30347	［コウジ］：フッ、まぁ今度にしよう、楽しみは今度にね。
>>	［코우지］：훗, 뭐 다음에 하자, 즐거움은 다음에.
L30350	［トレイシー］：あぁぁ‥‥もっともっと、しぼってもいいんです。私‥‥。
>>	［트레이시］：아아‥‥더 더, 짜도 괜찮아. 나‥‥.
L30354	［コウジ］：君にはもっと良いモノをあげよう。
>>	［코우지］：너에겐 더 좋은 걸 주지.
L30357	［トレイシー］：い、いいもの？
>>	［트레이시］：조, 좋은 거?
L30361	［コウジ］：僕のモノが欲しいなら、そう言うんだ。
>>	［코우지］：내 걸 원한다면, 그렇게 말하는 거야.
L30364	［トレイシー］：あぁぁ、欲しい‥‥欲しいわ‥‥凄く‥‥。
>>	［트레이시］：아아, 갖고 싶어‥‥갖고 싶어‥‥너무‥‥.
L30368	［コウジ］：では、お願いするんだ。きちんと。
>>	［코우지］：그럼, 부탁하는 거야. 제대로.
L30371	［トレイシー］：あはぁぁぁ‥‥欲しいの‥‥お願い‥‥。
>>	［트레이시］：아하아아‥‥갖고 싶어‥‥부탁이야‥‥.
L30375	［コウジ］：ダメだな、それでは。お願いするときの言葉遣いは？
>>	［코우지］：안 되겠는데, 그래선. 부탁할 때의 말씨는?
L30378	［トレイシー］：お願いです、あなたのモノが‥‥とっても欲しいんです。お願いします。
>>	［트레이시］：부탁이에요, 당신 것이‥‥너무 갖고 싶어요. 부탁드려요.
L30382	［コウジ］：僕の為に、何でもするね？
>>	［코우지］：날 위해, 뭐든지 하겠지?
L30385	［トレイシー］：はい、何でもします。
>>	［트레이시］：네, 뭐든지 할게요.
L30389	［コウジ］：じゃあ、上になるんだ。よく、擦り付けるんだぞ。
>>	［코우지］：그럼, 위로 올라와. 잘, 문질러 대는 거야.
L30392	［トレイシー］：んぐっ‥‥あっ‥‥も、もうダメ‥‥。
>>	［트레이시］：응윽‥‥앗‥‥이, 이제 안 돼‥‥.
L30396	［コウジ］：もっともっと、自分のにこすりつけるんだ。
>>	［코우지］：더 더, 네 것에 문질러 대는 거야.
L30399	［トレイシー］：（ど、どうしたというの‥‥これって‥‥。）
>>	［트레이시］：（어, 어떻게 된 거야‥‥이건‥‥.）
L30402	［トレイシー］：（こんなに‥‥こんなに感じてるなんて‥‥。）
>>	［트레이시］：（이렇게‥‥이렇게 느끼고 있다니‥‥.）
L30405	［トレイシー］：（アソコを少しこすっただけで‥‥んあぅ！）
>>	［트레이시］：（거기를 조금 문질렀을 뿐인데‥‥응아읏!）
L30408	［トレイシー］：（こんなに濡れて‥‥こんなに敏感になって‥‥。）
>>	［트레이시］：（이렇게 젖어서‥‥이렇게 민감해져서‥‥.）
L30411	［トレイシー］：（あぁぁ、アレもパンパンに腫れ上がっている‥‥ここからでもわかるわ‥‥。）
>>	［트레이시］：（아아, 그것도 빵빵하게 부풀어 올랐어‥‥여기서도 알 수 있어‥‥.）
L30414	［トレイシー］：（こんな状態で、アソコに入れたら‥‥。）
>>	［트레이시］：（이런 상태로, 거기에 넣으면‥‥.）
L30417	［トレイシー］：（き、気が狂っちゃう！）
>>	［트레이시］：（미, 미쳐 버릴 거야!）
L30421	［コウジ］：そろそろ、入れてみろ。
>>	［코우지］：슬슬, 넣어 봐.
L30424	［トレイシー］：はい‥‥あぁぁぁ、恐い‥‥。
>>	［트레이시］：네‥‥아아아, 무서워‥‥.
L30428	［コウジ］：少しずつ、そして深く挿入するんだ。
>>	［코우지］：조금씩, 그리고 깊이 삽입하는 거야.
L30431	［トレイシー］：あぁぁ‥‥‥‥。
>>	［트레이시］：아아아‥‥‥‥.
L30434	ずぷぷぷぷぷぷぷぷぷぷぷぷぷぷぷぷぷっっっ‥‥。
>>	쭈뿌뿌뿌뿌뿌뿌뿌뿍‥‥.
L30437	［トレイシー］：んあぁぁぁぁぁぁぁぁぁぁぁぁっっっ！！！
>>	［트레이시］：응아아아아아아아아아아아앗!!!
L30440	きゅっきゅっきゅっきゅっ‥‥。
>>	꽉꽉꽉꽉‥‥.
L30444	［コウジ］：凄い締め付けだな‥‥挿入しただけでイったな。
>>	［코우지］：굉장한 조임이군‥‥넣기만 했는데 갔구나.
L30447	［トレイシー］：あはぁぁぁ‥‥わ、私‥‥んくっ‥‥あン‥‥だ、ダメ‥‥あっ！
>>	［트레이시］：아하아아‥‥나, 나‥‥응윽‥‥아앙‥‥아, 안 돼‥‥앗!
L30451	［コウジ］：感じるかい？
>>	［코우지］：느껴지나?
L30454	［トレイシー］：か、感じ‥‥あぅっ！　感じ過ぎちゃうの‥‥な、何で‥‥。
>>	［트레이시］：느, 느껴‥‥아윽!　너무 느껴져 버려‥‥어, 어째서‥‥.
L30457	きゅっ、きゅっきゅっ。
>>	꽉, 꽉꽉.
L30461	［コウジ］：すごい締め付けだな‥‥君のアソコは。
>>	［코우지］：대단한 조임이군‥‥네 거긴.
L30464	［トレイシー］：あっイヤ！　動かしたら、ダメ！
>>	［트레이시］：앗 싫어!　움직이면, 안 돼!
L30468	［コウジ］：フン、凄いな、膣内でしごかれるようだ。
>>	［코우지］：흥, 굉장하군, 질 안에서 훑어대는 것 같아.
L30471	［トレイシー］：な、なぜ‥‥なぜなの‥‥？
>>	［트레이시］：어, 어째서‥‥어째서인 거야‥‥?
L30475	［コウジ］：わからないかい？
>>	［코우지］：모르겠나?
L30478	［トレイシー］：わ、わからないわ‥‥こ、こんなの‥‥初めて‥‥んっ。
>>	［트레이시］：모, 모르겠어‥‥이, 이런 건‥‥처음‥‥응.
L30482	［コウジ］：これから、お前は僕のモノになる。
>>	［코우지］：이제부터, 넌 내 것이 된다.
L30485	［トレイシー］：そうなの‥‥私‥‥。
>>	［트레이시］：그런 거야‥‥나‥‥.
L30489	［コウジ］：お前は、僕のモノだ。僕の言うことに、絶対逆らってはいけないよ。
>>	［코우지］：넌, 내 것이다. 내 말에, 절대 거스르면 안 돼.
L30492	［トレイシー］：はい‥‥あぁぁぁ、はい‥‥あぅっ！
>>	［트레이시］：네‥‥아아아, 네‥‥아윽!
L30496	［コウジ］：本当だね？
>>	［코우지］：정말이지?
L30499	［トレイシー］：わかった‥‥わかったわ‥‥。
>>	［트레이시］：알았어‥‥알겠어‥‥.
L30502	ずりゅぅぅぅっ！
>>	쭈우우우욱!
L30505	［トレイシー］：きゃぁぅぅぅぅっ！！　あっ‥‥あぁぁぁぁ‥‥。
>>	［트레이시］：꺄아으으으윽!!　앗‥‥아아아아‥‥.
L30509	［コウジ］：トレイシー、君はもう僕の奴隷になると誓ったんだ。言葉遣いが、なっていないよ。
>>	［코우지］：트레이시, 넌 이미 내 노예가 되겠다고 맹세했다. 말버릇이, 글러먹었군.
L30513	［トレイシー］：わかりました‥‥あぁぁ‥‥コウジ様ぁ‥‥。
>>	［트레이시］：알겠습니다‥‥아아‥‥코우지 니임‥‥.
L30517	［コウジ］：そう、それでいい。それでこそ、僕が愛する女性だ‥‥。
>>	［코우지］：그래, 그거면 됐어. 그래야 내가 사랑하는 여자지‥‥.
L30521	［コウジ］：もう一度、自分の立場を言ってみるんだ。
>>	［코우지］：다시 한 번, 자기 입장을 말해 봐라.
L30524	［トレイシー］：わ、私は‥‥あぁぁぁ‥‥。
>>	［트레이시］：저, 저는‥‥아아아‥‥.
L30528	［コウジ］：言うんだ‥‥。
>>	［코우지］：말하는 거다‥‥.
L30532	［トレイシー］：私は、コウジ様の奴隷です‥‥。
>>	［트레이시］：저는, 코우지 님의 노예입니다‥‥.
L30536	［コウジ］：そうだ、愛しているよ、トレイシー。
>>	［코우지］：그렇지, 사랑한다, 트레이시.
L30539	ずちゅぅぅぅっ！！
>>	질커어어억!!
L30543	［トレイシー］：コウジ様ぁぁぁぁぁぁぁぁぁっっ！！！
>>	［트레이시］：코우지 니이이이이이이임!!!
L30546	［トレイシー］：それからというもの‥‥。
>>	［트레이시］：그 뒤로 줄곧‥‥.
L30549	［トレイシー］：あのお方の私に対する仕打ちは、それはもう壮絶の一言‥‥。
>>	［트레이시］：그분이 내게 한 처사는, 그야말로 처절하다는 한마디‥‥.
L30552	［トレイシー］：あのお方にお仕えする、肉奴隷としての心得を存分に教え込まれ‥‥。
>>	［트레이시］：그분을 모시는, 육노예로서의 마음가짐을 실컷 주입당하고‥‥.
L30555	［トレイシー］：そして私は、あのお方がお望みになられる、あらゆる変態的な行為をしたの‥‥。
>>	［트레이시］：그리고 나는, 그분이 원하시는, 온갖 변태적인 행위를 했어‥‥.
L30558	［トレイシー］：ある時は、薄手の上着の下に、全く何も着用せず、艦内を何分も散歩をさせられたわ。
>>	［트레이시］：어떤 때는, 얇은 겉옷 아래에 아무것도 걸치지 않고, 함내를 몇 분이나 산책해야 했어.
L30561	［トレイシー］：あぁぁ、あの時は顔から火がでるほど恥ずかしかった‥‥。
>>	［트레이시］：아아, 그때는 얼굴에서 불이 날 만큼 부끄러웠어‥‥.
L30564	［トレイシー］：上着といっても、上は大きくＶの字にカットされ、私の大きな乳房がこぼれ落ちそうなほど‥‥。
>>	［트레이시］：겉옷이라 해도, 위는 크게 Ｖ자로 파여서, 내 큰 젖가슴이 흘러내릴 듯했고‥‥.
L30567	［トレイシー］：そして下の丈は、辛うじてヒップが隠れる程度‥‥。
>>	［트레이시］：그리고 아래 기장은, 겨우 엉덩이가 가려질 정도‥‥.
L30570	［トレイシー］：屈んだら、もちろんお尻とアソコが、衆目にさらされてしまうの。
>>	［트레이시］：몸을 굽히면, 당연히 엉덩이와 거기가, 뭇 시선에 드러나 버려.
L30573	［トレイシー］：艦内は、１０分も歩けば１周できてしまうけど、その間に学術調査団のクルーたちに、何人も出会うの。
>>	［트레이시］：함내는 １０분만 걸으면 １바퀴 돌지만, 그사이 학술조사단 크루들을 몇 명이나 마주쳐.
L30576	［トレイシー］：そこを、３周も‥‥約３０分にわたって、私はあの恥ずかしい姿で１人、歩いていたわ。
>>	［트레이시］：그곳을 ３바퀴나‥‥약 ３０분에 걸쳐, 나는 그 부끄러운 모습으로 혼자 걸었어.
L30579	［トレイシー］：絶対に、淫乱で変態な女と思われたに違いないのよ‥‥。
>>	［트레이시］：분명, 음란하고 변태적인 여자라고 여겨졌을 게 틀림없어‥‥.
L30582	［トレイシー］：だけど、それからあのお方のお部屋へ行くと、あのお方は優しく抱いて下さった‥‥。
>>	［트레이시］：하지만, 그 뒤 그분의 방으로 가면, 그분은 다정하게 안아 주셨어‥‥.
L30585	［トレイシー］：そして、私に優しい言葉をかけてくれた。『なぜ太股の内側が、そんなに濡れている。淫乱マゾ女め』と‥‥。
>>	［트레이시］：그리고 다정한 말을 건네주셨지. 『어째서 허벅지 안쪽이 그렇게 젖어 있지. 음란한 마조 계집』이라고‥‥.
L30588	［トレイシー］：それから私は無茶苦茶に犯され、何度も何度も、絶頂を迎えてしまったの‥‥。
>>	［트레이시］：그 뒤 나는 엉망진창으로 범해져, 몇 번이고 몇 번이고 절정을 맞고 말았어‥‥.
L30591	［トレイシー］：またある時は、ブラジャーとパンティしか着用を認められず‥‥。
>>	［트레이시］：또 어떤 때는, 브래지어와 팬티밖에 착용이 허락되지 않아‥‥.
L30594	［トレイシー］：しかも、それらの下着は、女性用下着の機能を度外視した、ヒモのようなブラとパンティー。
>>	［트레이시］：게다가 그 속옷들은, 여성용 속옷의 기능을 도외시한, 끈 같은 브라와 팬티.
L30597	［トレイシー］：お尻とアソコを隠す布地は、細いヒモのような布地しかない、見ているだけで興奮する下着。。
>>	［트레이시］：엉덩이와 거기를 가리는 천은, 가느다란 끈 같은 천뿐인, 보고만 있어도 흥분되는 속옷.
L30600	［トレイシー］：その頃はもう、私のアソコは剃毛されていたので、下半身は十分に隠すことができたわ。けど乳首の大きさだけは、隠すことができない。
>>	［트레이시］：그 무렵엔 이미 내 거기는 제모돼 있어서, 하반신은 충분히 가릴 수 있었어. 하지만 젖꼭지 크기만은 감출 수가 없어.
L30603	［トレイシー］：それらの着用しか許してもらえず、往来の廊下で、自慰行為をするように言われたとき、私はそれだけでイってしまいそうになったわ‥‥。
>>	［트레이시］：그것만 걸치는 게 허락된 채, 사람이 오가는 복도에서 자위를 하라는 말을 들었을 때, 나는 그것만으로 가 버릴 뻔했어‥‥.
L30606	［トレイシー］：いつ誰が来るかもわからず、私は恐怖に打ちふるえ、しかしそれが一層、私の心の中の青白い炎を燃やすの‥‥。
>>	［트레이시］：언제 누가 올지도 모른 채 나는 공포에 떨었지만, 그것이 한층 더 내 마음속의 푸르스름한 불꽃을 태우는 거야‥‥.
L30609	［トレイシー］：いく寸前、私はあのお方のモノをくわさせて戴いた‥‥。
>>	［트레이시］：가기 직전, 나는 그분의 것을 물도록 허락받았어‥‥.
L30612	［トレイシー］：あのお方も、より興奮されたらしく、いつもより量の多い精液を、私の口内にたっぷりと射精されたわ。
>>	［트레이시］：그분도 더욱 흥분하셨는지, 평소보다 많은 양의 정액을 내 입안에 잔뜩 사정하셨어.
L30615	［トレイシー］：あのお方の精液が喉元を通るとき、私はたまらずに絶頂を迎えてしまったのよ‥‥。
>>	［트레이시］：그분의 정액이 목구멍을 지날 때, 나는 견디지 못하고 절정을 맞고 말았어‥‥.
L30618	［トレイシー］：そしてある時は、生まれたままの姿で、男性用トイレに手かせと足かせを付けられ、何時間も放置され‥‥。
>>	［트레이시］：그리고 어떤 때는, 태어난 그대로의 모습으로 남자 화장실에 수갑과 족쇄가 채워진 채, 몇 시간이나 방치되고‥‥.
L30621	［トレイシー］：だけど、トイレで啜り泣く私に優しくキスをされ、オッパイを絞りながら、後ろから犯してくれたの‥‥。
>>	［트레이시］：하지만, 화장실에서 흐느끼는 내게 다정하게 입 맞춰 주시고, 가슴을 쥐어짜면서 뒤에서 범해 주셨어‥‥.
L30624	［トレイシー］：あのお方の喜びは私の喜び、私はあのお方が望むことに、生き甲斐すら感じてきた‥‥。
>>	［트레이시］：그분의 기쁨은 나의 기쁨, 나는 그분이 원하시는 일에 삶의 보람마저 느끼게 됐어‥‥.
L30627	［トレイシー］：だけど、そうした現状に、横槍が入るような展開が訪れたのよ‥‥。
>>	［트레이시］：하지만, 그런 현실에 훼방이 끼어드는 전개가 찾아왔어‥‥.
L30630	［ビアンカ］：ねぇ、トレイシー。
>>	［비앙카］：있잖아, 트레이시.
L30633	［トレイシー］：‥‥あっ、はい、なんでしょうか？
>>	［트레이시］：‥‥앗, 네, 무슨 일이신가요?
L30636	［ビアンカ］：今日、やっと調査隊がエイレートから帰ってくるけど‥‥。
>>	［비앙카］：오늘, 드디어 조사대가 에이레이트에서 돌아오는데‥‥.
L30639	［トレイシー］：そうですね‥‥今回は、少し長かったですね。
>>	［트레이시］：그렇네요‥‥이번엔, 조금 길었죠.
L30642	［ビアンカ］：そうかい？　私も行きたかったなぁ。
>>	［비앙카］：그래?　나도 가고 싶었는데.
L30645	［トレイシー］：‥‥ビアンカさんはパイロットですから、本船の《クワドラ》を離れられないでしょう。
>>	［트레이시］：‥‥비앙카 씨는 파일럿이니까, 본선 《콰드라》를 떠날 수 없잖아요.
L30648	［ビアンカ］：そう、それが頭にくるのよ。私だって、太古の遺跡とやらをこの目で見てみたいさ。
>>	［비앙카］：그래, 그게 열받는다니까. 나도 태고의 유적인가 뭔가를 이 눈으로 보고 싶다고.
L30651	［トレイシー］：‥‥適材適所ですわ。
>>	［트레이시］：‥‥적재적소예요.
L30654	［ビアンカ］：ほんとに冷静だね、トレイシーって。
>>	［비앙카］：정말 냉정하네, 트레이시는.
L30657	［トレイシー］：そんなこと、ありませんよ。私にだって、心に燃え盛る情熱はありますわ。
>>	［트레이시］：그렇지 않아요. 저한테도, 마음에 타오르는 정열은 있어요.
L30660	［ビアンカ］：へぇ、なに？
>>	［비앙카］：흐응, 뭔데?
L30663	［トレイシー］：内緒です。
>>	［트레이시］：비밀이에요.
L30666	［ビアンカ］：トレイシーの事だから、どうせ数式とか、理学に対する情熱だろう？
>>	［비앙카］：트레이시니까, 어차피 수식이라든가 이학에 대한 정열이겠지?
L30669	［トレイシー］：（私の本性を知ったら、ビアンカ、どうするかしら？）
>>	［트레이시］：（내 본성을 알면, 비앙카, 어쩌려나?）
L30672	［トレイシー］：（本当の私の姿を‥‥‥‥。）
>>	［트레이시］：（진짜 내 모습을‥‥‥‥.）
L30675	［トレイシー］：（この服の下で、革ベルトに縛られたメス犬の身体があるのを知ったら‥‥。）
>>	［트레이시］：（이 옷 아래, 가죽 벨트에 묶인 암캐의 몸이 있다는 걸 알면‥‥.）
L30678	［トレイシー］：（前と後ろに大きなバイブを挿入して、愛液を垂れ流していると知ったら‥‥。）
>>	［트레이시］：（앞뒤에 커다란 바이브를 넣고, 애액을 흘리고 있다는 걸 알면‥‥.）
L30681	［トレイシー］：（いつ、バイブが稼働するかわからない緊張感に、私が耐えていると知ったら‥‥。）
>>	［트레이시］：（언제 바이브가 작동할지 모르는 긴장감을 내가 견디고 있다는 걸 알면‥‥.）
L30684	［トレイシー］：（やだ、音が‥‥‥‥。）
>>	［트레이시］：（어머, 소리가‥‥‥‥.）
L30687	［トレイシー］：（ビアンカに聞こえなかったかしら‥‥。）
>>	［트레이시］：（비앙카에게 들리지 않았을까‥‥.）
L30690	［トレイシー］：（そしてそれを、ビアンカに見せたがっていると知ったら‥‥。）
>>	［트레이시］：（그리고 그걸, 비앙카에게 보여 주고 싶어 한다는 걸 알면‥‥.）
L30693	［トレイシー］：（あぁぁぁ、早く‥‥‥‥。）
>>	［트레이시］：（아아아, 어서‥‥‥‥.）
L30696	［トレイシー］：（早く気付いて、ビアンカ‥‥私は淫乱でメス犬の肉奴隷なの‥‥。）
>>	［트레이시］：（어서 알아채, 비앙카‥‥나는 음란한 암캐 육노예야‥‥.）
L30699	［トレイシー］：（口汚く罵って‥‥メス犬の肉奴隷って！）
>>	［트레이시］：（입 험하게 욕해 줘‥‥암캐 육노예라고!）
L30702	［トレイシー］：（ほら、太股の内側を良く見て‥‥白く汚らしい粘液が、垂れ流れているでしょう？）
>>	［트레이시］：（봐, 허벅지 안쪽을 잘 봐‥‥희고 더러운 점액이 흘러내리고 있잖아?）
L30705	［トレイシー］：（私は、淫乱でメス犬なのよっ！）
>>	［트레이시］：（나는, 음란한 암캐라고!）
L30708	［ビアンカ］：ど、どうしたのさ。私のことを見つめて‥‥。
>>	［비앙카］：무, 무슨 일이야. 날 그렇게 빤히 보고‥‥.
L30711	［トレイシー］：‥‥えっ？
>>	［트레이시］：‥‥네?
L30714	［ビアンカ］：ボーっとしちゃって、トレイシーらしくないじゃない。
>>	［비앙카］：멍하니 있다니, 트레이시답지 않잖아.
L30717	［トレイシー］：そ、そうかしら‥‥ごめんなさい、ちょっと考え事をしていて‥‥あっ！
>>	［트레이시］：그, 그런가요‥‥죄송해요, 잠깐 생각에 잠겨 있어서‥‥앗!
L30720	［ビアンカ］：ど、どうしたの？　顔が真っ赤だぜ。
>>	［비앙카］：무, 무슨 일이야?　얼굴이 새빨간데.
L30723	［トレイシー］：ううん、何でもないの‥‥あぁぁ‥‥。
>>	［트레이시］：아니, 아무것도 아니에요‥‥아아‥‥.
L30727	［トレイシー］：（バイブのスイッチが、入ったんだわ‥‥遠隔リモコンの‥‥コウジ様が‥‥。）
>>	［트레이시］：（바이브 스위치가 켜진 거야‥‥원격 리모컨의‥‥코우지 님이‥‥.）
L30730	［ビアンカ］：トレイシー、病室に案内しようか？
>>	［비앙카］：트레이시, 병실로 데려다줄까?
L30733	［トレイシー］：大丈夫よ、心配しないで‥‥ちょっと外に出てくる。
>>	［트레이시］：괜찮아요, 걱정 마세요‥‥잠깐 밖에 나갔다 올게요.
L30736	［ビアンカ］：えぇ、気を付けなさいよ、あなた、最近働きすぎなんだから‥‥。
>>	［비앙카］：그래, 조심해. 너, 요즘 너무 무리하니까‥‥.
L30739	［トレイシー］：（んくぅぅ‥‥２つのバイブが膣内と腸内で暴れ回って‥‥。）
>>	［트레이시］：（응그으‥‥두 개의 바이브가 질 안과 장 안에서 날뛰어‥‥.）
L30742	［トレイシー］：（あぁぁ、こすれあってるの‥‥‥‥。）
>>	［트레이시］：（아아, 서로 스치고 있어‥‥‥‥.）
L30745	［トレイシー］：‥‥んっ‥‥‥‥。
>>	［트레이시］：‥‥응‥‥‥‥.
