# _script-korean.txt 의 줄번호 기준. L<번호> 줄이 한국어 번역의 위치다.
L19438	隣のドアが気になる。中に入ってみよう。確か、この辺はみんな自動ドアだよな‥‥。
L19516	今度は、どこへ通じているのやら‥‥。
>>	이번엔, 어디로 통하는 걸까‥‥.
L19519	手前左の方から、異音が聞こえてくるようだが‥‥。
>>	앞쪽 왼편에서, 이상한 소리가 들려오는 것 같은데‥‥.
L19522	良く見ると、階段がある。どうやら、下っているようだ。しかも、この身体に響きわたる重低音は、この先から聞こえてくるようだった。
>>	자세히 보니, 계단이 있다. 아무래도, 아래로 내려가는 모양이다. 게다가, 이 몸에 울려 퍼지는 중저음은, 그 너머에서 들려오는 듯했다.
L19525	オレは手すりにつかまりながら、慎重に階段を下りていった。
>>	나는 난간을 붙잡으면서, 신중하게 계단을 내려갔다.
L19529	［トレイシー］：あら、コウジ様、いかがなさいました？　ご用なら、お呼びして下されば‥‥。
>>	［트레이시］：어머, 코우지 님, 무슨 일이신가요?　볼일이 있으시면, 불러 주시면‥‥.
L19533	［宏治］：トレイシーじゃないか。
>>	［코지］：트레이시 아닌가.
L19536	［トレイシー］：ご気分は良くなられましたか？
>>	［트레이시］：기분은 좀 나아지셨나요?
L19539	にっこりと微笑むトレイシーよりも、オレはその背後に見える、仰々しい機器類に目を奪われてしまった。
>>	생긋 미소 짓는 트레이시보다도, 나는 그 뒤로 보이는, 거창한 기기들에 눈을 빼앗기고 말았다.
L19542	ディスプレイには何かの記号が網羅され、あちこちのランプは忙しく点滅を繰り返し、コンパネからは断続的に電子音が流れ出て、重々しい稼働音が部屋内にこだましている。
>>	디스플레이에는 알 수 없는 기호가 빼곡하고, 곳곳의 램프는 바쁘게 점멸을 반복하며, 콘솔 패널에서는 단속적으로 전자음이 흘러나오고, 묵직한 가동음이 방 안에 울리고 있다.
L19545	何よりもオレを驚かせたのは、正面の窓の外に見える風景だった。漆黒の闇の向こうに見えたものは‥‥。
>>	무엇보다 나를 놀라게 한 것은, 정면 창밖으로 보이는 풍경이었다. 칠흑 같은 어둠 너머로 보인 것은‥‥.
L19549	［宏治］：星だ‥‥。
>>	［코지］：별이다‥‥.
L19553	［宏治］：星が見える‥‥。
>>	［코지］：별이 보인다‥‥.
L19556	［トレイシー］：ええ、いちおう窓は毎日拭いていますから、いつも綺麗に‥‥。
>>	［트레이시］：네, 일단 창은 매일 닦고 있으니, 늘 깨끗하게‥‥.
L19560	［宏治］：違う、そういうことじゃない。
>>	［코지］：아니, 그런 얘기가 아니야.
L19564	［トレイシー］：あの‥‥コウジ様？
>>	［트레이시］：저‥‥코우지 님?
L19568	［宏治］：お、オレは認めないぞ。何かのトリックに決まっている。
>>	［코지］：나, 난 인정 못 해. 무슨 속임수인 게 분명해.
L19571	［トレイシー］：何が、でしょうか。
>>	［트레이시］：무엇이, 말인가요.
L19575	［宏治］：夢だ、これは夢なんだ。確か涼子先生、ドリームプログラムとか何とか、言っていたじゃないか。
>>	［코지］：꿈이다, 이건 꿈이야. 분명 료코 선생님이, ONEIROS 프로그램인가 뭔가라고 말했잖아.
L19578	［トレイシー］：ど、どうなさったのですか？
>>	［트레이시］：어, 어찌 된 일이신가요?
L19582	［宏治］：夢に違いない。そうだ、コレは夢だ。その証拠に、見ろっ！
>>	［코지］：꿈인 게 틀림없어. 그래, 이건 꿈이다. 그 증거로, 봐라!
L19585	わははと笑いながら、オレは自分のコブシを、手近の、やたらと堅そうな黒光りする壁に、思いきり叩きつけた。夢ならば痛くない‥‥。
>>	하하하 웃으면서, 나는 내 주먹을, 가까이 있는, 몹시 단단해 보이는 검게 빛나는 벽에, 있는 힘껏 내리쳤다. 꿈이라면 아프지 않다‥‥.
L19588	ゴーーーんッ！！
>>	고오오옹!!
L19592	［トレイシー］：きゃっ！　こ、コウジ様、大丈夫ですか！？
>>	［트레이시］：꺄앗!　코, 코우지 님, 괜찮으세요!?
L19595	頬を伝う涙の感触を感じながら、オレはコブシを抱えてうずくまった。痛いぞ、これは‥‥無茶苦茶、痛い。
>>	뺨을 타고 흐르는 눈물의 감촉을 느끼며, 나는 주먹을 감싸 쥐고 웅크렸다. 아프다, 이건‥‥엄청나게, 아프다.
L19599	［トレイシー］：こ、コウジ様‥‥大変だわ、ちょっとお待ちになって下さいね。あっ、怪我した方の手に、触らないようお願いします！
>>	［트레이시］：코, 코우지 님‥‥큰일이네, 잠시만 기다려 주세요. 앗, 다치신 손은, 만지지 마시길 부탁드려요!
L19602	トレイシーが部屋の隅にある戸棚を開けて、何かをゴソゴソと捜している間、オレは真っ赤に腫れ上がったコブシをさすりながら、ボーっと窓の外を見ていた。
>>	트레이시가 방구석의 수납장을 열고, 무언가를 부스럭부스럭 찾는 동안, 나는 새빨갛게 부어오른 주먹을 문지르며, 멍하니 창밖을 보고 있었다.
L19605	痛い‥‥‥‥。
>>	아프다‥‥‥‥.
L19608	オレのコブシは、焼けヒバシを当てたくらい熱を帯びていた。痛覚はもはや麻痺し、熱くジンジンとした動悸だけが伝わってくる。
>>	내 주먹은, 달군 부젓가락을 댄 것만큼 열을 띠고 있었다. 통각은 이미 마비되고, 뜨겁게 욱신거리는 맥동만이 전해져 온다.
L19611	本当にここは、宇宙‥‥？
>>	정말로 여기는, 우주‥‥?
L19614	いやまさか、そんな非科学的な。夢だ。そうだ、コブシを痛めるという夢を見ている最中なのだ、オレは。
>>	아니 설마, 그런 비과학적인. 꿈이다. 그래, 주먹을 다치는 꿈을 꾸고 있는 중인 거다, 나는.
L19617	白い箱を抱えて、慌てて駆け寄ってくるトレイシーが視界に入った。彼女も、やっぱり夢の中の人物なのかな‥‥。
>>	하얀 상자를 안고, 황급히 달려오는 트레이시가 시야에 들어왔다. 그녀도, 역시 꿈속의 인물인 걸까‥‥.
L19621	［トレイシー］：さぁ、コウジ様、手をお出しになって下さい。
>>	［트레이시］：자, 코우지 님, 손을 내밀어 주세요.
L19625	［宏治］：えっ？　あぁ‥‥。
>>	［코지］：어?　아아‥‥.
L19628	［トレイシー］：ちょっと痛いかもしれませんが、我慢して下さいね。
>>	［트레이시］：조금 아플지도 모르지만, 참아 주세요.
L19631	［宏治］：えっ‥‥<$0C>んぎゃぉう！！
>>	［코지］：어‥‥<$0C>응갸오우!!
L19634	どこかに得体の知れない猛獣がいるのではと一瞬疑ったが、何のことはない、自分の声だった。
>>	어딘가에 정체 모를 맹수가 있는 게 아닌가 한순간 의심했지만, 별것 아니었다, 내 목소리였다.
L19637	トレイシーはオレのコブシ部分をさすっている。骨折の有無でも、確かめているのだろうか。何とも乱暴だと思うが‥‥。
>>	트레이시는 내 주먹 부위를 문지르고 있다. 골절 여부라도, 확인하고 있는 걸까. 어지간히 거칠다 싶지만‥‥.
L19640	［トレイシー］：大丈夫です、軽い打撲ですね。よかったですわ‥‥軽くシップしておけば、すぐに良くなります。
>>	［트레이시］：괜찮아요, 가벼운 타박이네요. 다행이에요‥‥가볍게 찜질해 두면, 금방 좋아져요.
L19643	デレっとした顔をしているに違いないと思った。誰だって、美人に優しく手を握られてニコっと微笑まれたら、今のオレのようになるだろう。
>>	헤벌쭉한 얼굴을 하고 있는 게 틀림없다고 생각했다. 누구든, 미인이 다정하게 손을 잡고 생긋 웃어 주면, 지금의 나처럼 될 것이다.
L19646	［トレイシー］：あの‥‥どうかなさいましたか？
>>	［트레이시］：저‥‥무슨 일이신가요?
L19650	［宏治］：い、いや‥‥その、ありがとう、トレイシー。
>>	［코지］：아, 아니‥‥그, 고마워, 트레이시.
L19653	［トレイシー］：そ、そんな‥‥ありがとうだなんて‥‥。
>>	［트레이시］：그, 그런‥‥고맙다니‥‥.
L19656	トレイシーは、頬を赤く染めて俯きながらモジモジと肩を横に動かしている。それに同期して、量感溢れるバストがユサユサと揺れるのはさすがだった。
>>	트레이시는, 뺨을 붉게 물들이고 고개를 숙인 채 배배 꼬며 어깨를 좌우로 움직이고 있다. 거기에 맞춰, 풍만한 가슴이 출렁출렁 흔들리는 건 역시 대단했다.
L19659	単に礼を言っただけなのだが、彼女の挙動は、いちいち意味がよくわからない。
>>	그저 고맙다고 했을 뿐인데, 그녀의 행동은, 하나하나 의미를 잘 모르겠다.
L19662	［トレイシー］：私の顔に、何か付いています？
>>	［트레이시］：제 얼굴에, 뭔가 묻었나요?
L19666	［宏治］：い、いや‥‥その‥‥。
>>	［코지］：아, 아니‥‥그‥‥.
L19670	［宏治］：（何か、話題、話題と‥‥。）
>>	［코지］：（뭔가, 화젯거리, 화젯거리를‥‥.）
L19673	　◆ ファルネリアとかいう女性は‥‥。
>>	　◆ 파르네리아라던 여성은‥‥.
L19676	　◆ ランファは、いまどこにいるのかな‥‥。
>>	　◆ 란파는, 지금 어디 있을까‥‥.
L19679	　◆ んじゃ、そういうことで。
>>	　◆ 그럼, 그런 걸로.
L19683	［宏治］：そ、そうだトレイシー。ファルネリアとかいう女性は、どうなったんだい？
>>	［코지］：그, 그렇지 트레이시. 파르네리아라던 여성은, 어떻게 됐지?
L19686	［トレイシー］：自室におられますが‥‥それが、なにか？
>>	［트레이시］：자기 방에 계시는데요‥‥그게, 무슨 일이라도?
L19690	［宏治］：自室って？
>>	［코지］：자기 방이라니?
L19694	［トレイシー］：ＶＩＰルームです。大切な賓客をお招きしたとき、コウジ様がいつもお使いになるお部屋ですわ。
>>	［트레이시］：ＶＩＰ룸이에요. 소중한 빈객을 초대하셨을 때, 코우지 님이 늘 쓰시는 방이랍니다.
L19698	［宏治］：ふーん‥‥。
>>	［코지］：흐응‥‥.
L19702	［宏治］：（賓客ねぇ‥‥大切なお客様なのかな‥‥。）
>>	［코지］：（빈객이라‥‥소중한 손님인 걸까‥‥.）
L19706	［トレイシー］：コウジ様のお部屋から、比較的近いはずですわ。
>>	［트레이시］：코우지 님 방에서, 비교적 가까울 거예요.
L19710	［宏治］：（後で行ってみるのも、手だな‥‥。）
>>	［코지］：（나중에 가 보는 것도, 방법이겠군‥‥.）
L19714	［宏治］：ランファは、いまどこにいるのかな‥‥。
>>	［코지］：란파는, 지금 어디 있을까‥‥.
L19717	［トレイシー］：ランファ‥‥何故でしょうか？
>>	［트레이시］：란파‥‥어째서인가요?
L19720	トレイシーの表情が、やや翳る。
>>	트레이시의 표정이, 다소 흐려진다.
L19724	［宏治］：ほら、君らのことを把握しておくのは、多分オレの役目みたいだし‥‥。
>>	［코지］：그, 너희를 파악해 두는 건, 아마 내 역할인 것 같으니까‥‥.
L19727	［トレイシー］：ウフフ、そうですわね。
>>	［트레이시］：우후후, 그렇네요.
L19730	トレイシーの表情から険が取れて、いくぶん和やかになる。んー、何だかこの辺は複雑そうだ。
>>	트레이시의 표정에서 날이 가시고, 다소 부드러워진다. 음, 어쩐지 이 부분은 복잡한 모양이다.
L19733	［トレイシー］：彼女はこのブリッジか、エンジンルーム、あるいは格納庫に行けば大抵いると思います。
>>	［트레이시］：그녀는 이 브리지나, 엔진 룸, 아니면 격납고에 가면 대개 있을 거예요.
L19737	［宏治］：ふーん、メカのあるところに彼女ありって感じだね。
>>	［코지］：흐응, 기계 있는 곳에 그녀가 있다는 느낌이군.
L19740	［トレイシー］：フフ、そうですわね。
>>	［트레이시］：후후, 그렇네요.
L19744	［宏治］：んじゃ、そういうことで。
>>	［코지］：그럼, 그런 걸로.
L19747	［トレイシー］：あら、もう行ってしまわれるのですか？
>>	［트레이시］：어머, 벌써 가시는 건가요?
L19751	［宏治］：とりあえず、色々と見てみたいんでね。
>>	［코지］：일단, 이것저것 둘러보고 싶어서.
L19755	［トレイシー］：ここはコウジ様のシップです。遠慮なさらずに、存分に見て下さい。
>>	［트레이시］：여기는 코우지 님의 함선이에요. 사양 마시고, 마음껏 둘러보세요.
L19759	［宏治］：存分に、ねぇ‥‥。
>>	［코지］：마음껏이라‥‥.
L19762	［トレイシー］：えぇ、何かあれば、遠慮無く呼んで下さい。
>>	［트레이시］：네, 무슨 일 있으면, 사양 말고 불러 주세요.
L19766	［宏治］：うん、そうさせてもらうよ‥‥。
>>	［코지］：응, 그렇게 할게‥‥.
L19770	［宏治］：さて、どうしたものかな‥‥。
>>	［코지］：자, 어떻게 할까‥‥.
L19773	一際、大きなドアの前に立った。中からは、重厚な音が響きわたり、鼓膜を盛んに刺激する。
>>	유난히 큰 문 앞에 섰다. 안에서는, 육중한 소리가 울려 퍼지며, 고막을 세차게 자극한다.
L19776	この中は‥‥‥‥。
>>	이 안은‥‥‥‥.
L19780	［宏治］：‥‥‥‥‥‥‥‥‥。
>>	［코지］：‥‥‥‥‥‥‥‥‥.
L19783	様々な種類のコンパネが整然と並んだ部屋だった。あちこちで、用途不明のランプがチカチカと点滅し、騒音が耳から入り込み頭を駆けめぐる。
>>	온갖 종류의 콘솔 패널이 가지런히 늘어선 방이었다. 곳곳에서, 용도 불명의 램프가 반짝반짝 점멸하고, 소음이 귀로 파고들어 머릿속을 휘젓는다.
L19786	なによりも、目の前にそびえ立つ円筒形の機械を見て、オレは息を呑んだ。
>>	무엇보다, 눈앞에 우뚝 솟은 원통형 기계를 보고, 나는 숨을 삼켰다.
L19790	［宏治］：なんだ、これは。
>>	［코지］：뭐야, 이건.
L19793	セットにしては、やけに大がかりだ。あの質感を醸し出す光具合といい、身体をふるわせるほどの重低音といい‥‥。
>>	세트치고는, 유난히 대규모다. 그 질감을 자아내는 빛의 느낌이며, 몸을 떨게 할 만큼의 중저음이며‥‥.
L19797	［宏治］：誰もいないようだが‥‥。
>>	［코지］：아무도 없는 것 같은데‥‥.
L19800	ふと、手前の手すりを見てみると、何かフックのようなものが掛けてあった。良く見てみると、それはハシゴのようだが‥‥。
>>	문득, 앞쪽 난간을 보니, 뭔가 고리 같은 것이 걸려 있었다. 자세히 보니, 그것은 사다리인 듯한데‥‥.
L19803	　◆ このままエンジンルームを出た方が良さそうだな。
>>	　◆ 이대로 엔진룸을 나가는 편이 좋겠군.
L19806	気にならないと言えば、嘘になる。オレはヒンヤリとした感触を掌に感じながら、ハシゴを一段ずつ、慎重に降りていった‥‥。
>>	신경 쓰이지 않는다고 하면, 거짓말이다. 나는 서늘한 감촉을 손바닥으로 느끼며, 사다리를 한 단씩, 신중하게 내려갔다‥‥.
L19809	長いハシゴだった。
>>	긴 사다리였다.
L19812	オレは下を見ることのないよう、ゆっくりと、そしてしっかりと、一段一段を降りていった。
>>	나는 아래를 보지 않도록, 천천히, 그리고 확실하게, 한 단 한 단 내려갔다.
L19815	ちらっと横を見ると、まだエンジン胴体の中程のようだ。一瞬後悔の念が頭をよぎるが、オレは黙々と手足を動かし続けた。
>>	힐끗 옆을 보니, 아직 엔진 몸체의 중간쯤인 듯하다. 한순간 후회가 머리를 스치지만, 나는 묵묵히 손발을 계속 움직였다.
L19818	だいたい、物事を途中で放り出すのは、性に合わない。
>>	애초에, 일을 도중에 내팽개치는 건, 성미에 맞지 않는다.
L19822	［宏治］：ふぅ‥‥‥‥。
>>	［코지］：후우‥‥‥‥.
L19825	やっとの思いで下に着くと、少しだけ安堵する。無限に続く階段という夢を以前見たことがあるが‥‥。
>>	겨우겨우 아래에 닿자, 조금은 안도한다. 끝없이 이어지는 계단이라는 꿈을 전에 꾼 적이 있는데‥‥.
L19829	［宏治］：（夢、か‥‥‥‥。）
>>	［코지］：（꿈인가‥‥‥‥.）
L19833	［宏治］：（人は、いないようだが‥‥‥‥。）
>>	［코지］：（사람은, 없는 것 같은데‥‥‥‥.）
L19837	［宏治］：（な、なんだ‥‥‥‥。）
>>	［코지］：（뭐, 뭐지‥‥‥‥.）
L19841	［宏治］：（誰か‥‥いるのか？）
>>	［코지］：（누군가‥‥있는 건가?）
L19844	オレが、音のした方へ行ってみると‥‥‥‥。
>>	내가, 소리가 난 쪽으로 가 보니‥‥‥‥.
L19848	［宏治］：（あれは‥‥ランファ？　何をしているんだろう‥‥？）
>>	［코지］：（저건‥‥란파?　뭘 하고 있는 걸까‥‥?）
L19851	別に隠れる必要も感じなかったので、オレはごく普通に声を掛けてみた。
>>	딱히 숨을 필요도 느끼지 않아서, 나는 아주 평범하게 말을 걸어 보았다.
L19855	［宏治］：ランファ。
>>	［코지］：란파.
L19859	［ランファ］：あっ、コウジ様！
>>	［란파］：앗, 코우지 님!
L19862	ランファはオレに気付くと、手を止めてすぐに顔を破顔させる。彼女は、嬉しさを全身で表現する女の子だった。
>>	란파는 나를 알아채자, 손을 멈추고 곧바로 환하게 웃는다. 그녀는, 기쁨을 온몸으로 표현하는 여자아이였다.
L19866	［ランファ］：コウジ様、ランファに会いに来て下さったんですねっ。
>>	［란파］：코우지 님, 란파를 만나러 와 주신 거군요!
L19870	［宏治］：えっ、あぁ、まぁそうなるのかな。
>>	［코지］：어, 아아, 뭐 그런 셈인가.
L19874	［ランファ］：あーン、コウジ様のおそばに行きたいのに‥‥んもう！　このっ、このっ！
>>	［란파］：아앙, 코우지 님 곁에 가고 싶은데‥‥아 정말!　이 녀석, 이 녀석!
L19877	ランファは、手にした工具類で、手先の配線を乱暴に取り付けている。エンジンのメンテナンスか何かを、している最中なのかもしれない。
>>	란파는, 손에 든 공구로, 손끝의 배선을 거칠게 달고 있다. 엔진 정비인가 뭔가를, 하고 있는 중인지도 모른다.
L19880	あんなに乱暴に扱って大丈夫なのかなぁ‥‥。
>>	저렇게 거칠게 다뤄도 괜찮은 걸까‥‥.
L19884	［宏治］：‥‥また、後で来るよ。忙しそうだし。
>>	［코지］：‥‥또, 나중에 올게. 바빠 보이니까.
L19887	［ランファ］：そ、そんなことありません‥‥でもあと、これとこれを取り付けないと、エンジンが爆発しちゃうから‥‥。
>>	［란파］：그, 그렇지 않아요‥‥하지만 이제, 이것과 이것을 달지 않으면, 엔진이 폭발해 버리니까‥‥.
L19891	［宏治］：なっ‥‥ちょっと、ゆ、ゆっくりやって構わないよ。うん。
>>	［코지］：뭐‥‥잠깐, 처, 천천히 해도 괜찮아. 응.
L19894	［ランファ］：もうすぐ終わりますから‥‥これと、これと‥‥んしょっ。
>>	［란파］：이제 곧 끝나니까요‥‥이것과, 이것과‥‥영차.
L19898	［ランファ］：ところでコウジ様、どこから来られたんですか？
>>	［란파］：그런데 코우지 님, 어디서 오신 건가요?
L19901	［ランファ］：そちらの方には、何もないはずですけど‥‥。
>>	［란파］：그쪽에는, 아무것도 없을 텐데요‥‥.
L19905	［宏治］：ハシゴがあったから、それで。
>>	［코지］：사다리가 있길래, 그걸로.
L19908	［ランファ］：ハシゴ？　緊急用のを降りてらしたんですか！？
>>	［란파］：사다리요?　비상용을 내려오신 건가요!?
L19912	［宏治］：い、いけなかったかな。
>>	［코지］：그, 그러면 안 됐나.
L19916	［ランファ］：いいえ、でも珍しいですね。コウジ様は、いつもリフトを利用なさるのに‥‥。
>>	［란파］：아뇨, 하지만 드문 일이네요. 코우지 님은, 늘 리프트를 이용하시는데‥‥.
L19920	［宏治］：リフト？
>>	［코지］：리프트?
L19923	［ランファ］：ええ、それだとアッという間に、上へ着きますよ。
>>	［란파］：네, 그거라면 눈 깜짝할 사이에, 위에 도착해요.
L19927	［宏治］：（骨折り損の何とやらってヤツかよ‥‥。）
>>	［코지］：（헛고생만 실컷 했다는 그거로군‥‥.）
L19930	［ランファ］：ふぅ‥‥終わりました！　とりあえず、上へ参りましょう！
>>	［란파］：후우‥‥끝났어요!　일단, 위로 가시죠!
L19934	［宏治］：うん‥‥。
>>	［코지］：응‥‥.
L19938	［宏治］：その、大丈夫なの。
>>	［코지］：그, 괜찮은 거야.
L19941	［ランファ］：何が、でしょうか。
>>	［란파］：무엇이, 말인가요.
L19945	［宏治］：爆発するとか、言っていたじゃないか。
>>	［코지］：폭발한다느니, 말했잖아.
L19948	［ランファ］：もちろん、抜かりはありません。
>>	［란파］：물론, 빈틈은 없어요.
L19952	［宏治］：（本当に大丈夫かなぁ‥‥。）
>>	［코지］：（정말 괜찮은 걸까‥‥.）
L19956	［ランファ］：エヘ、コウジ様っ。
>>	［란파］：에헤, 코우지 님.
L19959	ランファは人差し指の腹で、自分の鼻の下を軽く２、３度こすった。顔には屈託のない笑みが浮かんでいる。
>>	란파는 검지 안쪽으로, 자기 코밑을 가볍게 두세 번 문질렀다. 얼굴에는 천진한 미소가 떠올라 있다.
L19962	身体のそこかしこが油で汚れていて、おまけに油の付いた手で、顔をこするものだから、顔も少し赤茶けていた。
>>	몸 여기저기가 기름으로 더러워져 있고, 게다가 기름 묻은 손으로, 얼굴을 문지르니, 얼굴도 조금 불그죽죽해져 있었다.
L19965	そうだ確か、尻のポケットに‥‥‥‥。
>>	그래 분명, 뒷주머니에‥‥‥‥.
L19968	オレはフワリとした繊維のハンカチをポケットから取り出すと、ランファを手招きした。
>>	나는 보드라운 천 손수건을 주머니에서 꺼내고는, 란파를 손짓해 불렀다.
L19972	［宏治］：ランファ、おいで。
>>	［코지］：란파, 이리 와.
L19975	［ランファ］：はい？
>>	［란파］：네?
L19979	［宏治］：いいから、来るの。
>>	［코지］：됐으니까, 오라고.
L19983	［ランファ］：何ですか、コウジさ‥‥あっ。
>>	［란파］：뭔가요, 코우지 니‥‥앗.
L19986	ふきふき。
>>	쓱쓱.
L19989	［ランファ］：あン‥‥。
>>	［란파］：아앙‥‥.
L19993	［宏治］：よーし、綺麗になってきたぞ。
>>	［코지］：좋―아, 깨끗해졌군.
L19997	［宏治］：女の子がこんなに顔を汚しちゃ、ダメだぜ。
>>	［코지］：여자애가 얼굴을 이렇게 더럽히면 못써.
L20001	［ランファ］：こ、コウジ様‥‥‥‥。
>>	［란파］：코, 코우지 님‥‥‥‥.
L20005	［宏治］：よし、これでＯＫだ。可愛くなった。
>>	［코지］：좋아, 이걸로 ＯＫ다. 귀여워졌군.
L20008	［ランファ］：ら、ランファ‥‥ランファ、超カンゲキですぅ！
>>	［란파］：라, 란파‥‥란파, 완전 감격이에요!
L20012	［宏治］：お、おい‥‥。
>>	［코지］：어, 어이‥‥.
L20015	オレがまごついたのは、ランファがいきなりオレの右腕をとって、両腕を絡めとったからだ。
>>	내가 당황한 건, 란파가 갑자기 내 오른팔을 붙잡고 두 팔을 휘감았기 때문이다.
L20018	切なそうに見上げる目を見ていると、何だかこっちもまんざらじゃない気がしてくる。
>>	애타는 듯 올려다보는 눈을 보고 있자니, 어쩐지 나도 싫지만은 않은 기분이 든다.
L20022	［宏治］：べ、別にただ顔を拭いただけじゃないか。
>>	［코지］：벼, 별로 그냥 얼굴을 닦아준 것뿐이잖아.
L20026	［ランファ］：あぁ、コウジ様ぁ‥‥うるうる。
>>	［란파］：아아, 코우지 님‥‥글썽글썽.
L20029	オレは一息吐くと、彼女の身体を丁重にオレの腕から引き離した。ランファは切なそうな目をしてオレを見つめるが、ぐっと堪える。
>>	나는 한숨 돌리고, 그녀의 몸을 정중히 내 팔에서 떼어냈다. 란파는 애타는 눈으로 나를 바라보지만, 나는 꾹 참는다.
L20033	［宏治］：なぁ、ランファ。
>>	［코지］：있잖아, 란파.
L20036	［ランファ］：はい、なんでしょうか？
>>	［란파］：네, 무슨 일이신가요?
L20040	［宏治］：ええと‥‥‥‥。
>>	［코지］：그러니까‥‥‥‥.
L20043	このままエンジンルームを出た方が良さそうだな。
>>	이대로 엔진룸을 나가는 편이 좋겠군.
L20046	そう考えると、オレは今来たドアの方へ向き直った。そのとき‥‥。
>>	그렇게 생각하고, 나는 방금 들어온 문 쪽으로 돌아섰다. 그때‥‥.
L20049	重々しいサウンドの中で、やけにクリアな音が響きわたった。下の方からみたいだが‥‥。
>>	묵직한 소리들 속에서, 유난히 맑은 음이 울려 퍼졌다. 아래쪽에서 나는 것 같은데‥‥.
L20052	ハシゴを降りてみようか‥‥。
>>	사다리를 내려가 볼까‥‥.
L20055	気にならないと言えば、嘘になる。危険そうだったら、すぐに戻ってくればいいじゃないか。
>>	신경 쓰이지 않는다고 하면 거짓말이다. 위험해 보이면 바로 돌아오면 되잖아.
L20058	オレはヒンヤリとした感触を掌に感じながら、ハシゴを一段ずつ、慎重に降りていった‥‥。
>>	나는 손바닥에 서늘한 감촉을 느끼며, 사다리를 한 단씩 신중하게 내려갔다‥‥.
L20061	　◆ このデカブツはいったい‥‥‥‥。
>>	　◆ 이 거대한 물건은 대체‥‥‥‥.
